,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,JACKSONVILLE_homegame,JACKSONVILLE_homegame2,JACKSONVILLE_home,JACKSONVILLE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-07-18-jacksonville,36.4,8,8.8,3,105.1,67.7,21,0.37,69,0.319,22,0.188,13,0.6920000000000001,9,5,200,76.9,10.6,5,16,60,,10.3,8,0.391,27,0.259,7,33.3,26,0.39899999999999997,9.7,8,42,0.35700000000000004,15,0.5,5,"December 7, 2019",59.3,16,4.8,2,76.9,89.4,42,0.534,59,0.45799999999999996,27,0.39,23,0.826,19,6,200,105.1,32.3,10,16,82,,7.7,6,0.424,25,0.36,9,66.7,52,0.586,19.7,17,34,0.529,18,0.455,5,"Swisher Gymnasium, Jacksonville, Florida",BETHUNE-COOKMAN,Bethune-Cookman,77.6,Home,JACKSONVILLE,Jacksonville,Jacksonville,atlantic-sun,10,True,False,True,Home,True,9,18,59,52,78,7,15,69,1,0,66,164,555,0.4738738738738738,341,670,0.5089552238805971,70,170,596,0.4614093959731543,0.4
11,2019-12-14-14-jacksonville,31.3,10,8.6,3,116.3,63.9,23,0.473,74,0.4320000000000001,32,0.17600000000000002,13,0.6920000000000001,9,0,200,98.8,22.0,9,21,79,,8.8,7,0.324,24,0.25,6,41.6,32,0.493,11.1,10,50,0.52,26,0.0,0,"December 14, 2019",53.3,16,2.0,1,98.8,78.0,32,0.563,63,0.47600000000000003,30,0.47600000000000003,30,0.733,22,6,200,116.3,36.1,13,13,93,,5.0,4,0.444,28,0.39299999999999996,11,58.4,45,0.602,16.4,15,35,0.5429999999999999,19,0.5,6,"Swisher Gymnasium, Jacksonville, Florida","Middle Georgia State
			","Middle Georgia State
			",80.2,Home,JACKSONVILLE,Jacksonville,Jacksonville,atlantic-sun,11,True,False,True,Home,True,11,19,63,45,77,6,26,74,1,0,75,182,614,0.4796416938110749,393,748,0.5254010695187166,77,185,665,0.4518796992481203,0.4545454545454545
12,2019-12-18-19-presbyterian,40.0,12,4.0,1,87.9,80.8,21,0.598,61,0.4920000000000001,30,0.18,11,0.727,8,6,200,122.7,38.5,10,15,81,,9.1,6,0.508,31,0.419,13,59.6,31,0.612,13.2,10,30,0.5670000000000001,17,0.5379999999999999,7,"December 18, 2019",30.0,6,6.7,2,122.7,61.5,16,0.489,46,0.435,20,0.348,16,0.813,13,9,200,87.9,19.2,5,15,58,,6.1,4,0.457,21,0.23800000000000002,5,40.4,21,0.541,25.3,18,25,0.6,15,0.182,2,"Ross E.Templeton Center, Clinton, South Carolina",PRESBYTERIAN,Presbyterian,66.4,Away,JACKSONVILLE,Jacksonville,Jacksonville,atlantic-sun,12,False,False,False,Away,True,13,17,61,31,52,5,15,46,1,0,86,201,677,0.4874446085672083,438,825,0.5309090909090909,83,211,739,0.4539918809201624,0.5
13,2019-12-20-21-clemson,64.3,9,0.0,0,109.7,71.0,22,0.318,55,0.255,14,0.127,7,0.5710000000000001,4,7,200,62.9,19.5,8,11,39,,8.1,5,0.564,31,0.226,7,41.7,30,0.33399999999999996,15.9,11,24,0.292,7,0.5,7,"December 20, 2019",52.0,13,8.3,2,62.9,80.5,33,0.509,57,0.439,25,0.228,13,0.769,10,5,200,109.7,29.0,9,7,68,,4.8,3,0.491,28,0.28600000000000003,8,58.3,42,0.5379999999999999,11.3,8,29,0.586,17,0.545,6,"Littlejohn Coliseum, Clemson, South Carolina",JACKSONVILLE,Jacksonville,61.8,Home,CLEMSON,Clemson,Jacksonville,atlantic-sun,13,False,False,False,Away,False,7,7,55,30,72,8,17,57,0,1,99,218,738,0.4966124661246613,469,877,0.5347776510832383,88,226,785,0.4560509554140128,0.5384615384615384
14,2019-12-30-19-jacksonville,57.1,12,12.9,4,77.6,81.1,30,0.369,65,0.32299999999999995,21,0.24600000000000002,16,0.625,10,7,200,86.6,25.0,11,16,58,,9.0,6,0.385,25,0.24,6,50.6,41,0.39899999999999997,5.3,4,40,0.375,15,0.41700000000000004,5,"December 30, 2019",66.7,12,15.0,6,86.6,75.0,33,0.38,54,0.33299999999999996,18,0.35200000000000004,19,0.579,11,8,200,77.6,18.9,7,18,52,,3.0,2,0.426,23,0.217,5,49.4,40,0.413,16.1,12,31,0.419,13,0.467,7,"Swisher Gymnasium, Jacksonville, Florida",JACKSONVILLE,Jacksonville,66.8,Away,SOUTH-CAROLINA-STATE,South Carolina State,Jacksonville,atlantic-sun,14,False,True,True,Home,False,5,13,54,40,81,6,15,65,0,1,106,225,793,0.4842370744010088,499,949,0.5258166491043204,96,243,842,0.4596199524940617,0.5
15,2020-01-02-19-north-alabama,19.0,4,5.7,2,79.5,77.8,28,0.469,48,0.43799999999999994,21,0.41700000000000004,20,0.6,12,9,200,73.1,20.8,5,21,57,,6.4,5,0.271,13,0.231,3,55.0,33,0.496,31.4,26,35,0.514,18,0.43799999999999994,7,"January 2, 2020",35.0,7,0.0,0,73.1,79.2,19,0.409,55,0.364,20,0.509,28,0.607,17,8,200,79.5,22.2,8,23,62,,15.4,12,0.364,20,0.25,5,45.0,27,0.45399999999999996,20.2,17,35,0.429,15,0.429,6,"Flowers Hall, Florence, Alabama",JACKSONVILLE,Jacksonville,77.9,Home,NORTH-ALABAMA,North Alabama,Jacksonville,atlantic-sun,15,False,False,False,Away,False,3,18,48,33,60,5,15,55,0,1,111,238,847,0.4775678866587957,539,1030,0.5233009708737864,102,258,907,0.4531422271223815,0.4666666666666667
16,2020-01-09-19-jacksonville,50.0,10,9.5,4,103.0,60.7,17,0.405,58,0.345,20,0.172,10,0.5,5,12,200,78.8,21.2,7,17,52,,6.1,4,0.379,22,0.318,7,39.3,24,0.414,15.0,11,36,0.361,13,0.2,3,"January 9, 2020",40.7,11,2.8,1,78.8,78.8,26,0.509,56,0.48200000000000004,27,0.321,18,0.611,11,9,200,103.0,39.3,11,12,68,,9.1,6,0.25,14,0.214,3,60.7,37,0.527,14.7,11,42,0.5710000000000001,24,0.47100000000000003,8,"Swisher Gymnasium, Jacksonville, Florida",NJIT,NJIT,65.7,Home,JACKSONVILLE,Jacksonville,Jacksonville,atlantic-sun,16,True,False,True,Home,True,3,24,56,37,61,7,13,58,1,0,114,256,895,0.4770949720670391,572,1090,0.5247706422018349,107,273,962,0.4506237006237006,0.4375
17,2020-01-11-17-liberty,42.9,6,0.0,0,94.7,72.4,21,0.294,51,0.275,14,0.17600000000000002,9,0.778,7,10,200,64.9,31.3,10,11,37,,8.8,5,0.255,13,0.154,2,50.8,31,0.335,19.1,13,38,0.316,12,0.444,8,"January 11, 2020",47.6,10,5.3,2,64.9,68.8,22,0.49,50,0.42,21,0.14,7,0.7140000000000001,5,1,200,94.7,27.6,8,12,54,,15.8,9,0.38,19,0.368,7,49.2,30,0.506,17.2,11,31,0.452,14,0.9470000000000001,18,"Vines Center, Lynchburg, Virginia",JACKSONVILLE,Jacksonville,57.3,Home,LIBERTY,Liberty,Jacksonville,atlantic-sun,17,False,False,False,Away,False,2,12,51,31,61,7,14,50,0,1,117,280,951,0.4789695057833859,609,1151,0.529105125977411,114,286,1020,0.4480392156862745,0.4705882352941176
18,2020-01-16-19-jacksonville,48.0,12,11.3,6,97.1,65.6,21,0.491,58,0.431,25,0.36200000000000004,21,0.857,18,9,200,107.1,23.3,7,12,75,,7.1,5,0.379,22,0.318,7,45.2,28,0.552,10.6,8,36,0.5,18,0.55,11,"January 16, 2020",37.9,11,11.1,4,107.1,76.7,23,0.447,66,0.439,29,0.16699999999999998,11,0.818,9,11,200,97.1,34.4,11,14,68,,8.6,6,0.19699999999999998,13,0.077,1,54.8,34,0.47700000000000004,13.4,11,53,0.528,28,0.42100000000000004,8,"Swisher Gymnasium, Jacksonville, Florida",JACKSONVILLE,Jacksonville,70.1,Away,NORTH-FLORIDA,North Florida,Jacksonville,atlantic-sun,18,False,True,True,Home,False,1,28,66,34,62,7,18,58,0,1,119,292,1002,0.469560878243513,640,1212,0.5280528052805279,121,300,1070,0.45,0.4444444444444444
19,2020-01-18-18-jacksonville,25.0,6,13.8,4,89.4,77.4,24,0.491,56,0.429,24,0.28600000000000003,16,0.563,9,11,200,97.0,38.2,13,13,64,,10.6,7,0.25,14,0.5,7,56.9,37,0.503,17.1,13,42,0.405,17,0.45,9,"January 18, 2020",38.1,8,4.8,2,97.0,61.8,21,0.445,55,0.382,21,0.218,12,0.833,10,12,200,89.4,22.6,7,17,59,,7.6,5,0.473,26,0.26899999999999996,7,43.1,28,0.486,18.8,14,29,0.483,14,0.4,8,"Swisher Gymnasium, Jacksonville, Florida",JACKSONVILLE,Jacksonville,65.7,Away,STETSON,Stetson,Jacksonville,atlantic-sun,19,False,True,True,Home,False,7,14,55,28,65,7,17,56,0,1,120,320,1068,0.4681647940074906,674,1274,0.5290423861852434,128,318,1128,0.4521276595744681,0.42105263157894735
20,2020-01-23-19-lipscomb,32.3,10,8.0,4,107.6,78.9,30,0.59,61,0.508,31,0.39299999999999996,24,0.708,17,12,225,112.7,25.8,8,19,89,,6.3,5,0.377,23,0.435,10,55.1,38,0.615,15.4,13,38,0.5529999999999999,21,0.429,9,"January 23, 2020",43.3,13,7.9,3,112.7,74.2,23,0.486,70,0.429,30,0.35700000000000004,25,0.68,17,13,225,107.6,21.1,8,23,85,,10.1,8,0.28600000000000003,20,0.4,8,44.9,31,0.519,8.0,7,50,0.44,22,0.35,7,"Allen Arena, Nashville, Tennessee",LIPSCOMB,Lipscomb,70.3,Away,JACKSONVILLE,Jacksonville,Jacksonville,atlantic-sun,20,False,False,False,Away,True,10,21,61,38,69,8,22,70,1,0,127,334,1123,0.4670525378450579,702,1339,0.5242718446601942,135,335,1184,0.4539695945945946,0.4
21,2020-01-25-16-kennesaw-state,51.6,16,6.8,3,91.4,80.0,24,0.634,56,0.5539999999999999,31,0.321,18,0.667,12,12,200,118.6,30.8,8,18,83,,8.6,6,0.35700000000000004,20,0.45,9,57.1,32,0.643,15.8,12,36,0.611,22,0.455,10,"January 25, 2020",33.3,7,5.6,2,118.6,69.2,18,0.39299999999999996,56,0.375,21,0.429,24,0.833,20,19,200,91.4,20.0,6,19,64,,10.0,7,0.214,12,0.16699999999999998,2,42.9,24,0.475,13.1,10,44,0.4320000000000001,19,0.05,1,"KSU Convocation Center , Kennesaw, Georgia",KENNESAW-STATE,Kennesaw State,70.0,Away,JACKSONVILLE,Jacksonville,Jacksonville,atlantic-sun,21,False,False,False,Away,True,9,22,56,32,56,2,19,56,1,0,137,355,1184,0.4733952702702703,740,1408,0.5255681818181818,143,357,1254,0.4557416267942584,0.42857142857142855
22,2020-01-30-19-jacksonville,39.1,9,11.1,4,96.8,80.6,25,0.475,59,0.39,23,0.153,9,0.778,7,16,200,100.0,25.7,9,12,63,,6.3,4,0.475,28,0.35700000000000004,10,51.5,34,0.498,8.7,6,31,0.419,13,0.304,7,"January 30, 2020",69.6,16,6.5,2,100.0,74.3,26,0.474,57,0.40399999999999997,23,0.228,13,0.5379999999999999,7,13,200,96.8,19.4,6,12,61,,4.8,3,0.368,21,0.381,8,48.5,32,0.483,12.5,9,36,0.41700000000000004,15,0.435,10,"Swisher Gymnasium, Jacksonville, Florida",JACKSONVILLE,Jacksonville,63.2,Away,FLORIDA-GULF-COAST,Florida Gulf Coast,Jacksonville,atlantic-sun,22,False,True,True,Home,False,8,15,57,32,66,10,13,59,0,1,146,377,1240,0.4806451612903226,772,1464,0.5273224043715847,145,376,1310,0.4530534351145038,0.4545454545454545
23,2020-02-01-18-jacksonville,34.6,9,11.9,5,110.4,60.5,23,0.516,61,0.426,26,0.41,25,0.8,20,12,200,107.8,31.4,11,28,83,,11.7,9,0.41,25,0.44,11,46.6,34,0.569,15.3,13,36,0.41700000000000004,15,0.455,10,"February 1, 2020",42.3,11,22.2,8,107.8,68.6,24,0.484,62,0.419,26,0.516,32,0.7809999999999999,25,13,200,110.4,39.5,15,20,85,,1.3,1,0.32299999999999995,20,0.4,8,53.4,39,0.551,17.4,16,42,0.429,18,0.45799999999999996,11,"Swisher Gymnasium, Jacksonville, Florida",NORTH-ALABAMA,North Alabama,76.5,Home,JACKSONVILLE,Jacksonville,Jacksonville,atlantic-sun,23,True,False,True,Home,True,8,18,62,39,73,11,15,61,1,0,154,392,1297,0.4803392444101773,804,1530,0.5254901960784314,155,389,1369,0.4539810080350621,0.43478260869565216
24,2020-02-06-19-jacksonville,44.8,13,5.4,2,98.4,84.0,21,0.542,59,0.4920000000000001,29,0.22,13,0.5379999999999999,7,3,200,112.7,31.3,10,12,71,,4.8,3,0.39,23,0.261,6,54.4,31,0.545,11.0,8,36,0.639,23,0.88,22,"February 6, 2020",33.3,8,8.3,3,112.7,68.8,22,0.52,51,0.47100000000000003,24,0.275,14,0.643,9,14,200,98.4,16.0,4,17,62,,4.8,3,0.275,14,0.35700000000000004,5,45.6,26,0.5379999999999999,14.9,10,37,0.514,19,0.44,11,"Swisher Gymnasium, Jacksonville, Florida",JACKSONVILLE,Jacksonville,63.4,Away,LIBERTY,Liberty,Jacksonville,atlantic-sun,24,False,True,True,Home,False,5,19,51,26,57,6,23,59,0,1,162,410,1359,0.4805003679175864,843,1603,0.5258889582033687,166,404,1430,0.4566433566433567,0.4583333333333333
25,2020-02-08-16-njit,17.4,4,11.9,5,77.1,77.8,28,0.424,59,0.39,23,0.33899999999999997,20,0.75,15,14,200,92.9,36.4,12,17,65,,12.9,9,0.254,15,0.267,4,58.0,40,0.474,16.1,13,44,0.4320000000000001,19,0.462,12,"February 8, 2020",35.0,7,13.6,6,92.9,63.6,21,0.377,57,0.35100000000000003,20,0.263,15,0.733,11,16,200,77.1,22.2,8,17,54,,8.6,6,0.263,15,0.2,3,42.0,29,0.42100000000000004,18.0,14,42,0.405,17,0.304,7,"Estelle and Zoom Fleisher Athletic Center, Newark, New Jersey",NJIT,NJIT,69.8,Away,JACKSONVILLE,Jacksonville,Jacksonville,atlantic-sun,25,False,False,False,Away,True,4,19,59,40,69,3,17,57,1,0,167,429,1410,0.4819148936170213,869,1660,0.5234939759036145,172,427,1489,0.4600402955003358,0.44
26,2020-02-13-19-north-florida,36.7,11,12.5,4,122.7,77.8,21,0.525,61,0.4920000000000001,30,0.066,4,0.5,2,15,200,100.0,33.3,10,16,66,,3.0,2,0.213,13,0.308,4,54.4,31,0.525,16.1,12,48,0.542,26,0.444,12,"February 13, 2020",43.3,13,6.3,3,100.0,66.7,20,0.5760000000000001,59,0.508,30,0.271,16,0.813,13,10,200,122.7,22.2,6,10,81,,9.1,6,0.45799999999999996,27,0.29600000000000004,8,45.6,26,0.608,8.3,6,32,0.688,22,0.63,17,"UNF Arena , Jacksonville, Florida",JACKSONVILLE,Jacksonville,65.8,Home,NORTH-FLORIDA,North Florida,Jacksonville,atlantic-sun,26,False,False,False,Away,False,4,26,61,31,57,8,22,59,0,1,171,448,1469,0.4795779441797141,909,1729,0.5257374204742625,175,444,1546,0.4569857697283312,0.4615384615384616
