,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LEHIGH_homegame,LEHIGH_homegame2,LEHIGH_home,LEHIGH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-21-18-auburn,42.1,8,11.1,3,105.7,63.3,19,0.377,53,0.358,19,0.28300000000000003,15,0.733,11,8,200,72.9,25.0,8,21,51,,7.1,5,0.20800000000000002,11,0.182,2,43.5,27,0.424,23.2,18,42,0.405,17,0.273,3,"December 21, 2019",65.2,15,16.7,7,72.9,75.0,24,0.473,55,0.418,23,0.509,28,0.7859999999999999,22,0,200,105.7,36.7,11,16,74,12.0,11.4,8,0.509,28,0.214,6,56.5,35,0.542,16.2,13,27,0.63,17,1.0,11,"Auburn Arena, Auburn, Alabama",LEHIGH,Lehigh,70.2,Home,AUBURN,Auburn,Lehigh,patriot,10,False,False,False,Away,False,2,17,53,27,62,6,17,55,0,1,51,219,598,0.4941471571906354,330,652,0.5061349693251533,82,163,598,0.4782608695652174,0.3
11,2019-12-29-16-princeton,33.3,7,10.3,3,104.4,75.0,21,0.489,47,0.447,21,0.38299999999999995,18,0.889,16,9,200,91.2,25.0,6,21,62,,2.9,2,0.213,10,0.4,4,51.9,27,0.5579999999999999,25.7,19,37,0.45899999999999996,17,0.25,3,"December 29, 2019",57.7,15,10.8,4,91.2,75.0,18,0.5539999999999999,56,0.46399999999999997,26,0.214,12,0.75,9,8,200,104.4,25.0,7,18,71,,14.7,10,0.48200000000000004,27,0.37,10,48.1,25,0.575,16.4,12,29,0.552,16,0.33299999999999996,4,"Jadwin Gymnasium, Princeton, New Jersey",LEHIGH,Lehigh,67.6,Home,PRINCETON,Princeton,Lehigh,patriot,11,False,False,False,Away,False,4,17,47,27,52,10,16,56,0,1,53,236,651,0.4846390168970814,357,714,0.5,88,180,653,0.4777947932618683,0.2727272727272727
12,2020-01-02-19-navy,61.9,13,17.4,4,98.5,73.1,19,0.48100000000000004,53,0.396,21,0.151,8,0.875,7,10,200,89.2,25.0,7,21,58,,15.4,10,0.47200000000000003,25,0.36,9,48.1,26,0.511,22.1,16,28,0.429,12,0.231,3,"January 2, 2020",52.6,10,0.0,0,89.2,75.0,21,0.5,47,0.40399999999999997,19,0.489,23,0.7390000000000001,17,5,200,98.5,26.9,7,15,64,,9.2,6,0.511,24,0.375,9,51.9,28,0.552,19.7,14,23,0.435,10,0.583,7,"Alumni Hall, Annapolis, Maryland",LEHIGH,Lehigh,65.4,Home,NAVY,Navy,Lehigh,patriot,12,False,False,False,Away,False,9,12,53,26,54,9,10,47,0,1,57,253,698,0.4849570200573066,384,766,0.5013054830287206,98,196,709,0.4837799717912553,0.25
13,2020-01-05-14-lehigh,56.0,14,9.8,4,111.4,74.2,23,0.5,54,0.46299999999999997,25,0.426,23,0.7390000000000001,17,6,200,101.4,36.0,9,13,71,,7.1,5,0.37,20,0.2,4,57.1,32,0.547,19.0,15,34,0.618,21,0.6,9,"January 5, 2020",66.7,20,5.9,2,101.4,64.0,16,0.557,61,0.4920000000000001,30,0.19699999999999998,12,0.833,10,10,200,111.4,25.8,8,20,78,,11.4,8,0.32799999999999996,20,0.4,8,42.9,24,0.585,14.2,11,41,0.537,22,0.28600000000000003,4,"Stabler Arena, Bethlehem, Pennsylvania",LOYOLA-MD,Loyola (MD),70.3,Home,LEHIGH,Lehigh,Lehigh,patriot,13,True,False,True,Home,True,8,22,61,24,56,4,21,54,1,0,66,265,751,0.4846870838881491,410,820,0.5,107,206,756,0.4847883597883598,0.2307692307692308
14,2020-01-08-19-boston-university,34.6,9,5.3,2,115.1,73.7,28,0.475,61,0.426,26,0.19699999999999998,12,0.75,9,11,200,91.8,12.9,4,18,67,,9.6,7,0.32799999999999996,20,0.3,6,46.4,32,0.502,10.8,8,41,0.488,20,0.267,4,"January 8, 2020",53.3,16,7.3,3,91.8,87.1,27,0.515,65,0.462,30,0.4,26,0.654,17,8,200,115.1,26.3,10,11,84,,6.8,5,0.415,27,0.259,7,53.6,37,0.5429999999999999,9.5,8,38,0.605,23,0.5,8,"Case Gym, Boston, Massachusetts",LEHIGH,Lehigh,73.0,Home,BOSTON-UNIVERSITY,Boston University,Lehigh,patriot,14,False,False,False,Away,False,6,20,61,32,69,7,23,65,0,1,74,287,812,0.4901477832512315,434,876,0.4954337899543379,111,227,810,0.4858024691358025,0.2857142857142857
15,2020-01-11-19-lehigh,55.6,15,7.1,3,107.9,80.0,16,0.43799999999999994,72,0.375,27,0.23600000000000002,17,0.588,10,9,200,96.1,33.3,14,20,73,,14.5,11,0.431,31,0.29,9,48.4,30,0.456,10.2,9,41,0.439,18,0.4,6,"January 11, 2020",57.1,16,4.9,2,96.1,66.7,28,0.5770000000000001,52,0.5379999999999999,28,0.5,26,0.846,22,11,200,107.9,20.0,4,16,82,,5.3,4,0.192,10,0.4,4,51.6,32,0.637,20.1,16,42,0.5710000000000001,24,0.312,5,"Stabler Arena, Bethlehem, Pennsylvania",AMERICAN,American,75.7,Home,LEHIGH,Lehigh,Lehigh,patriot,15,True,False,True,Home,True,4,24,52,32,62,9,18,72,1,0,80,307,873,0.4891179839633448,466,945,0.4931216931216931,118,250,875,0.488,0.26666666666666666
16,2020-01-15-19-lehigh,58.6,17,2.3,1,120.3,72.4,21,0.596,57,0.509,29,0.439,25,0.8,20,7,200,127.5,26.9,7,16,88,,5.8,4,0.386,22,0.455,10,50.9,28,0.639,10.5,8,35,0.5429999999999999,19,0.562,9,"January 15, 2020",41.4,12,5.7,2,127.5,73.1,19,0.568,59,0.4920000000000001,29,0.33899999999999997,20,0.8,16,12,200,120.3,27.6,8,17,83,,2.9,2,0.254,15,0.6,9,49.1,27,0.606,9.4,7,44,0.455,20,0.294,5,"Stabler Arena, Bethlehem, Pennsylvania",LEHIGH,Lehigh,68.7,Away,NAVY,Navy,Lehigh,patriot,16,False,True,True,Home,False,9,20,59,27,55,10,19,57,0,1,84,331,925,0.4940540540540541,498,1007,0.4945382323733863,127,268,947,0.4841605068637804,0.3125
17,2020-01-18-19-bucknell,33.3,6,0.0,0,105.9,81.5,22,0.37,54,0.33299999999999996,18,0.444,24,0.667,16,13,200,82.4,20.6,7,19,56,,10.3,7,0.259,14,0.28600000000000003,4,47.5,29,0.428,14.6,11,40,0.35,14,0.278,5,"January 18, 2020",56.0,14,10.0,4,82.4,79.4,27,0.602,49,0.51,25,0.408,20,0.65,13,11,200,105.9,18.5,5,18,72,,8.8,6,0.429,21,0.429,9,52.5,32,0.615,19.5,14,28,0.5710000000000001,16,0.42100000000000004,8,"Sojka Pavilion, Lewisburg, Pennsylvania",LEHIGH,Lehigh,68.5,Home,BUCKNELL,Bucknell,Lehigh,patriot,17,False,False,False,Away,False,4,14,54,29,61,9,16,49,0,1,93,351,984,0.4984756097560976,525,1062,0.4943502824858757,137,287,1004,0.4905378486055777,0.29411764705882354
18,2020-01-22-19-holy-cross,47.2,17,8.3,3,117.1,83.3,25,0.603,68,0.529,36,0.235,16,0.813,13,14,225,115.9,25.0,8,22,95,,8.5,7,0.294,20,0.5,10,53.2,33,0.628,15.7,14,48,0.542,26,0.263,5,"January 22, 2020",53.1,17,14.6,7,115.9,75.0,24,0.639,61,0.525,32,0.39299999999999996,24,0.75,18,17,225,117.1,16.7,5,18,96,,11.0,9,0.41,25,0.56,14,46.8,29,0.6629999999999999,17.3,15,36,0.5,18,0.15,3,"Hart Recreation Center, Worcester, Massachusetts",LEHIGH,Lehigh,72.9,Home,HOLY-CROSS,Holy Cross,Lehigh,patriot,18,False,False,False,Away,False,10,26,68,33,62,14,18,61,0,1,97,365,1038,0.4918111753371869,554,1123,0.4933214603739982,146,303,1053,0.4957264957264957,0.2777777777777778
19,2020-01-25-12-lehigh,57.1,16,5.3,2,82.4,83.9,26,0.598,56,0.5,28,0.14300000000000002,8,0.875,7,7,200,108.8,15.4,4,15,74,,8.8,6,0.5,28,0.39299999999999996,11,52.6,30,0.619,15.6,11,28,0.607,17,0.632,12,"January 25, 2020",50.0,11,0.0,0,108.8,84.6,22,0.43799999999999994,56,0.39299999999999996,22,0.161,9,0.778,7,15,200,82.4,16.1,5,12,56,,5.9,4,0.321,18,0.278,5,47.4,27,0.465,18.9,14,38,0.447,17,0.25,5,"Stabler Arena, Bethlehem, Pennsylvania",LEHIGH,Lehigh,68.0,Away,LAFAYETTE,Lafayette,Lehigh,patriot,19,False,True,True,Home,False,5,17,56,27,57,11,17,56,0,1,107,391,1106,0.4986437613019892,587,1185,0.4953586497890296,160,321,1114,0.5035906642728905,0.2631578947368421
20,2020-01-27-19-american,40.0,8,11.8,4,111.6,68.2,15,0.384,56,0.35700000000000004,20,0.5,28,0.46399999999999997,13,16,200,81.2,18.9,7,21,56,,10.1,7,0.33899999999999997,19,0.158,3,37.3,22,0.40399999999999997,10.5,8,37,0.45899999999999996,17,0.23800000000000002,5,"January 27, 2020",56.5,13,10.8,4,81.2,81.1,30,0.5539999999999999,46,0.5,23,0.674,31,0.8390000000000001,26,10,200,111.6,31.8,7,22,77,,7.2,5,0.261,12,0.41700000000000004,5,62.7,37,0.634,17.9,13,34,0.529,18,0.5,10,"Bender Arena, Washington, District of Columbia",LEHIGH,Lehigh,68.5,Home,AMERICAN,American,Lehigh,patriot,20,False,False,False,Away,False,3,17,56,22,59,5,18,46,0,1,112,408,1162,0.495697074010327,614,1242,0.4943639291465378,171,338,1170,0.5081196581196581,0.25
21,2020-02-01-19-lehigh,50.0,15,0.0,0,114.5,85.7,18,0.603,58,0.517,30,0.259,15,0.667,10,10,200,115.9,26.7,8,13,80,,10.1,7,0.32799999999999996,19,0.526,10,51.0,26,0.614,14.6,11,39,0.513,20,0.524,11,"February 1, 2020",63.3,19,7.7,3,115.9,73.3,22,0.625,56,0.536,30,0.196,11,0.818,9,17,200,114.5,14.3,3,16,79,,4.3,3,0.41100000000000003,23,0.435,10,49.0,25,0.645,15.3,11,33,0.606,20,0.22699999999999998,5,"Stabler Arena, Bethlehem, Pennsylvania",LEHIGH,Lehigh,68.7,Away,ARMY,Army,Lehigh,patriot,21,False,True,True,Home,False,10,20,56,25,51,10,20,58,0,1,115,425,1218,0.4905582922824302,636,1301,0.4888547271329746,176,356,1216,0.5098684210526315,0.2380952380952381
22,2020-02-05-19-lehigh,57.1,16,17.6,6,70.8,92.6,25,0.516,64,0.43799999999999994,28,0.297,19,0.789,15,6,200,112.5,28.6,10,19,81,,13.9,10,0.406,26,0.385,10,56.5,35,0.555,11.1,9,38,0.474,18,0.75,18,"February 5, 2020",64.7,11,5.3,2,112.5,71.4,25,0.396,48,0.354,17,0.354,17,0.765,13,18,200,70.8,7.4,2,16,51,,4.2,3,0.292,14,0.28600000000000003,4,43.5,27,0.455,24.5,18,34,0.382,13,0.217,5,"Stabler Arena, Bethlehem, Pennsylvania",LEHIGH,Lehigh,72.1,Away,COLGATE,Colgate,Lehigh,patriot,22,False,True,True,Home,False,4,13,48,27,62,10,18,64,0,1,125,445,1274,0.4964678178963893,661,1352,0.48890532544378706,186,376,1274,0.5141287284144427,0.2272727272727273
23,2020-02-08-14-lafayette,31.6,6,7.4,2,84.3,90.9,30,0.384,56,0.33899999999999997,19,0.446,25,0.76,19,18,200,88.6,24.3,9,16,62,,8.6,6,0.33899999999999997,19,0.263,5,55.7,39,0.457,14.1,11,37,0.37799999999999995,14,0.25,6,"February 8, 2020",55.0,11,21.6,8,88.6,75.7,28,0.426,54,0.37,20,0.33299999999999996,18,0.722,13,8,200,84.3,9.1,3,21,59,,8.6,6,0.5,27,0.222,6,44.3,31,0.47200000000000003,15.1,11,27,0.519,14,0.652,15,"Kirby Sports Center, Easton, Pennsylvania",LAFAYETTE,Lafayette,70.2,Away,LEHIGH,Lehigh,Lehigh,patriot,23,False,False,False,Away,True,5,14,56,39,70,6,14,54,1,0,129,458,1322,0.4928139183055976,688,1414,0.4865629420084866,196,394,1338,0.5142002989536621,0.21739130434782608
24,2020-02-12-19-lehigh,32.1,9,4.8,2,123.6,63.0,17,0.594,53,0.528,28,0.434,23,0.826,19,23,200,113.9,16.7,4,18,82,,8.3,6,0.28300000000000003,15,0.467,7,41.2,21,0.6409999999999999,16.0,12,38,0.5529999999999999,21,0.115,3,"February 12, 2020",54.8,17,5.3,2,113.9,83.3,20,0.573,62,0.5,31,0.33899999999999997,21,0.857,18,18,200,123.6,37.0,10,22,89,,5.6,4,0.32299999999999995,20,0.45,9,58.8,30,0.618,13.4,11,42,0.524,22,0.28,7,"Stabler Arena, Bethlehem, Pennsylvania",HOLY-CROSS,Holy Cross,72.5,Home,LEHIGH,Lehigh,Lehigh,patriot,24,True,False,True,Home,True,9,22,62,30,51,7,21,53,1,0,134,472,1378,0.488388969521045,727,1484,0.4898921832884097,202,408,1392,0.5107758620689655,0.25
25,2020-02-15-13-army,44.4,12,3.0,1,117.9,88.5,23,0.536,55,0.491,27,0.23600000000000002,13,0.5379999999999999,7,19,200,98.5,19.4,6,21,66,,9.0,6,0.29100000000000004,16,0.313,5,50.9,29,0.539,16.5,12,39,0.564,22,0.26899999999999996,7,"February 15, 2020",60.7,17,2.6,1,98.5,80.6,25,0.633,49,0.5710000000000001,28,0.49,24,0.708,17,12,200,117.9,11.5,3,20,79,,10.4,7,0.327,16,0.375,6,49.1,28,0.654,14.4,10,33,0.667,22,0.52,13,"Christl Arena, West Point, New York",LEHIGH,Lehigh,67.3,Home,ARMY,Army,Lehigh,patriot,25,False,False,False,Away,False,5,22,55,29,57,6,22,49,0,1,143,494,1440,0.4920138888888889,757,1535,0.4931596091205212,209,429,1445,0.513840830449827,0.28
26,2020-02-19-19-colgate,44.4,12,0.0,0,102.9,80.0,28,0.5870000000000001,52,0.519,27,0.26899999999999996,14,0.429,6,20,200,98.5,32.0,8,20,67,,4.4,3,0.34600000000000003,18,0.389,7,60.0,36,0.5710000000000001,24.6,19,34,0.588,20,0.259,7,"February 19, 2020",61.5,16,8.8,3,98.5,68.0,17,0.508,59,0.441,26,0.271,16,0.625,10,7,200,102.9,20.0,7,13,70,,13.2,9,0.45799999999999996,27,0.29600000000000004,8,40.0,24,0.526,9.6,7,32,0.563,18,0.75,21,"Cotterell Court, Hamilton, New York",LEHIGH,Lehigh,68.1,Home,COLGATE,Colgate,Lehigh,patriot,26,False,False,False,Away,False,7,20,52,36,60,8,18,59,0,1,148,516,1495,0.4936454849498328,786,1592,0.4937185929648241,215,451,1494,0.5177376171352075,0.2692307692307692
27,2020-02-23-12-lehigh,50.0,12,7.5,3,104.5,64.3,18,0.451,61,0.39299999999999996,24,0.14800000000000002,9,0.556,5,18,200,90.9,22.2,8,17,60,,9.1,6,0.525,32,0.21899999999999997,7,40.6,26,0.46,12.2,9,29,0.586,17,0.379,11,"February 23, 2020",50.0,12,6.9,2,90.9,77.8,28,0.5,52,0.462,24,0.442,23,0.7390000000000001,17,20,200,104.5,35.7,10,14,69,,9.1,6,0.231,12,0.33299999999999996,4,59.4,38,0.5479999999999999,16.2,12,40,0.5,20,0.28600000000000003,8,"Stabler Arena, Bethlehem, Pennsylvania",BUCKNELL,Bucknell,65.6,Home,LEHIGH,Lehigh,Lehigh,patriot,27,True,False,True,Home,True,4,20,52,38,64,7,17,61,1,0,155,536,1547,0.4967679379444085,822,1652,0.4975786924939467,223,469,1553,0.5173857050869285,0.25925925925925924
