,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MISSISSIPPI_homegame,MISSISSIPPI_homegame2,MISSISSIPPI_home,MISSISSIPPI_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-21-14-mississippi,75.0,24,0.0,0,120.3,54.8,17,0.6729999999999999,55,0.5820000000000001,32,0.091,5,0.4,2,8,200,110.1,17.4,4,26,76,,2.9,2,0.273,15,0.667,10,38.9,21,0.662,21.9,16,40,0.55,22,0.273,3,"December 21, 2019",63.3,19,10.0,4,110.1,82.6,19,0.578,58,0.517,30,0.431,25,0.64,16,3,200,120.3,45.2,14,13,83,,5.8,4,0.414,24,0.292,7,61.1,33,0.594,15.9,13,34,0.6759999999999999,23,0.727,8,"University Center, Hammond, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,69.1,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,10,True,False,True,Home,True,7,23,58,33,54,10,22,55,1,0,70,177,556,0.5071942446043165,313,615,0.5089430894308943,50,175,544,0.4595588235294117,0.7
11,2019-12-29-16-mississippi,54.2,13,6.3,2,114.3,84.0,21,0.45799999999999996,60,0.4,24,0.16699999999999998,10,0.8,8,10,200,90.0,16.7,6,21,63,,7.1,5,0.3,18,0.389,7,44.3,27,0.486,13.4,10,42,0.405,17,0.231,3,"December 29, 2019",73.3,22,9.5,4,90.0,83.3,30,0.609,55,0.545,30,0.382,21,0.619,13,3,200,114.3,16.0,4,11,80,,7.1,5,0.418,23,0.304,7,55.7,34,0.616,14.6,11,32,0.7190000000000001,23,0.75,9,"The Pavilion at Ole Miss, Oxford, Mississippi",TENNESSEE-TECH,Tennessee Tech,70.4,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,11,True,False,True,Home,True,7,23,55,34,61,7,17,60,1,0,77,200,614,0.5138436482084691,346,669,0.5171898355754858,60,197,599,0.4791318864774624,0.7272727272727273
12,2020-01-04-16-wichita-state,31.3,5,14.8,4,108.8,69.2,18,0.34600000000000003,52,0.308,16,0.442,23,0.7829999999999999,18,4,200,79.4,20.6,7,20,54,,5.9,4,0.34600000000000003,18,0.222,4,41.7,25,0.429,18.4,14,34,0.353,12,0.6920000000000001,9,"January 4, 2020",39.1,9,5.9,2,79.4,79.4,27,0.542,48,0.479,23,0.688,33,0.667,22,1,200,108.8,30.8,8,19,74,24.0,11.8,8,0.43799999999999994,21,0.28600000000000003,6,58.3,35,0.581,13.8,10,27,0.63,17,0.929,13,"Charles Koch Arena, Wichita, Kansas",MISSISSIPPI,Ole Miss,67.8,Home,WICHITA-STATE,Wichita State,Mississippi,sec,12,False,False,False,Away,False,4,12,52,25,60,6,17,48,0,1,84,223,669,0.5216741405082213,380,730,0.5205479452054794,67,214,659,0.4772382397572079,0.75
13,2020-01-07-21-texas-am,66.7,12,0.0,0,91.9,75.0,21,0.358,60,0.3,18,0.11699999999999999,7,0.5710000000000001,4,5,200,75.8,27.5,11,20,47,,9.7,6,0.45,27,0.259,7,47.1,32,0.371,12.5,9,33,0.33299999999999996,11,0.643,9,"January 7, 2020",42.1,8,21.2,7,75.8,72.5,29,0.4270000000000001,48,0.396,19,0.396,19,0.8420000000000001,16,6,200,91.9,25.0,7,13,57,,4.8,3,0.354,17,0.17600000000000002,3,52.9,36,0.5,17.6,12,31,0.516,16,0.5379999999999999,7,"Reed Arena, College Station, Texas",MISSISSIPPI,Ole Miss,61.7,Home,TEXAS-AM,Texas A&M,Mississippi,sec,13,False,False,False,Away,False,7,11,60,32,68,3,16,48,0,1,88,235,721,0.5090152565880721,405,790,0.5126582278481012,73,231,707,0.4816124469589816,0.6923076923076923
14,2020-01-11-18-mississippi,56.5,13,9.8,4,98.6,71.9,23,0.48200000000000004,56,0.41100000000000003,23,0.48200000000000004,27,0.815,22,2,200,104.1,14.7,5,18,76,,9.6,7,0.35700000000000004,20,0.4,8,42.4,28,0.552,12.8,10,36,0.41700000000000004,15,0.867,13,"January 11, 2020",27.3,6,11.1,4,104.1,85.3,29,0.435,54,0.40700000000000003,22,0.48100000000000004,26,0.9620000000000001,25,6,200,98.6,28.1,9,24,72,,6.8,5,0.24100000000000002,13,0.231,3,57.6,38,0.5429999999999999,18.6,15,41,0.46299999999999997,19,0.6,9,"The Pavilion at Ole Miss, Oxford, Mississippi",MISSISSIPPI,Ole Miss,73.1,Away,ARKANSAS,Arkansas,Mississippi,sec,14,False,True,True,Home,False,3,19,54,38,66,8,15,56,0,1,95,246,781,0.4974391805377721,437,858,0.5093240093240093,76,247,755,0.4781456953642384,0.6428571428571429
15,2020-01-14-19-florida,16.7,3,5.4,2,110.9,68.0,17,0.433,45,0.4,18,0.444,20,0.8,16,7,200,85.9,25.0,6,20,55,,10.9,7,0.35600000000000004,16,0.188,3,46.9,23,0.505,21.8,15,29,0.517,15,0.562,9,"January 14, 2020",44.4,12,17.2,5,85.9,75.0,18,0.57,50,0.54,27,0.46,23,0.609,14,5,200,110.9,32.0,8,18,71,,14.1,9,0.26,13,0.231,3,53.1,26,0.583,15.5,11,37,0.649,24,0.688,11,"Stephen C. O'Connell Center, Gainesville, Florida",MISSISSIPPI,Ole Miss,63.7,Home,FLORIDA,Florida,Mississippi,sec,15,False,False,False,Away,False,3,15,45,23,49,3,24,50,0,1,98,265,835,0.4934131736526946,475,924,0.5140692640692641,84,262,811,0.4784217016029593,0.6
16,2020-01-18-20-mississippi,41.7,10,11.9,5,98.7,86.5,32,0.491,57,0.42100000000000004,24,0.474,27,0.889,24,4,200,103.9,32.3,10,17,80,,3.9,3,0.368,21,0.381,8,61.8,42,0.573,18.9,16,36,0.444,16,0.765,13,"January 18, 2020",65.5,19,2.8,1,103.9,67.7,21,0.515,65,0.446,29,0.292,19,0.474,9,8,200,98.7,13.5,5,21,76,,13.0,10,0.354,23,0.391,9,38.2,26,0.513,12.0,10,42,0.47600000000000003,20,0.529,9,"The Pavilion at Ole Miss, Oxford, Mississippi",MISSISSIPPI,Ole Miss,77.4,Away,LOUISIANA-STATE,LSU,Mississippi,sec,16,False,True,True,Home,False,9,20,65,26,68,8,16,57,0,1,101,280,880,0.4903409090909091,498,973,0.5118191161356629,87,286,861,0.48373983739837395,0.5625
17,2020-01-21-21-tennessee,31.6,6,6.3,2,109.0,85.7,24,0.341,63,0.302,19,0.175,11,0.455,5,9,200,71.6,24.3,9,22,48,,9.0,6,0.397,25,0.2,5,50.8,33,0.35200000000000004,12.8,10,38,0.368,14,0.5,9,"January 21, 2020",75.0,18,13.2,5,71.6,75.7,28,0.541,49,0.49,24,0.49,24,0.833,20,6,200,109.0,14.3,4,14,73,,9.0,6,0.34700000000000003,17,0.294,5,49.2,32,0.604,11.8,8,32,0.594,19,0.667,12,"Thompson-Boling Arena, Knoxville, Tennessee",MISSISSIPPI,Ole Miss,66.8,Home,TENNESSEE,Tennessee,Mississippi,sec,17,False,False,False,Away,False,5,14,63,33,65,5,19,49,0,1,110,300,945,0.492063492063492,524,1041,0.5033621517771374,95,302,918,0.4842047930283224,0.5294117647058824
18,2020-01-25-17-georgia,30.8,8,12.5,4,90.9,58.3,21,0.57,50,0.52,26,0.34,17,0.765,13,9,200,106.1,17.4,4,18,70,,10.6,7,0.18,9,0.556,5,42.4,25,0.603,17.3,12,41,0.512,21,0.526,10,"January 25, 2020",47.1,8,9.8,4,106.1,82.6,19,0.373,55,0.309,17,0.455,25,0.76,19,8,200,90.9,41.7,15,19,60,,9.1,6,0.418,23,0.304,7,57.6,34,0.449,17.5,14,32,0.313,10,0.579,11,"Stegeman Coliseum, Athens, Georgia",GEORGIA,Georgia,66.0,Away,MISSISSIPPI,Ole Miss,Mississippi,sec,18,False,False,False,Away,True,5,21,50,25,59,7,10,55,1,0,115,314,1008,0.4826388888888889,557,1106,0.5036166365280289,100,321,967,0.4870734229576008,0.5
19,2020-01-28-21-mississippi,45.8,11,2.6,1,98.8,82.4,28,0.452,63,0.381,24,0.5710000000000001,36,0.722,26,2,250,100.0,40.0,14,24,83,17.0,13.3,11,0.47600000000000003,30,0.3,9,60.9,42,0.518,18.6,18,33,0.455,15,0.9,18,"January 28, 2020",53.8,14,9.1,3,100.0,60.0,21,0.5,58,0.44799999999999995,26,0.552,32,0.75,24,10,250,98.8,17.6,6,24,82,,10.8,9,0.345,20,0.3,6,39.1,27,0.56,17.2,15,38,0.526,20,0.5,10,"The Pavilion at Ole Miss, Oxford, Mississippi",MISSISSIPPI,Ole Miss,66.5,Away,AUBURN,Auburn,Mississippi,sec,19,False,True,True,Home,False,6,20,58,27,69,9,15,63,0,1,120,335,1058,0.4867674858223062,582,1165,0.4995708154506438,107,331,1022,0.4809197651663405,0.5263157894736842
20,2020-02-01-12-louisiana-state,47.6,10,5.3,2,104.3,70.0,21,0.40700000000000003,59,0.35600000000000004,21,0.322,19,0.789,15,11,200,90.0,17.5,7,27,63,,5.7,4,0.373,22,0.273,6,40.0,28,0.46299999999999997,12.9,10,37,0.405,15,0.47600000000000003,10,"February 1, 2020",34.8,8,16.2,6,90.0,82.5,33,0.521,48,0.479,23,0.708,34,0.6759999999999999,23,4,200,104.3,30.0,9,16,73,22.0,8.6,6,0.20800000000000002,10,0.4,4,60.0,42,0.569,17.1,13,38,0.5,19,0.81,17,"Maravich Assembly Center, Baton Rouge, Louisiana",MISSISSIPPI,Ole Miss,69.6,Home,LOUISIANA-STATE,LSU,Mississippi,sec,20,False,False,False,Away,False,6,15,59,28,70,4,19,48,0,1,126,355,1116,0.4874551971326165,609,1234,0.493517017828201,116,346,1085,0.4792626728110599,0.5
21,2020-02-05-19-mississippi,69.6,16,6.7,3,107.7,67.9,19,0.46399999999999997,56,0.41100000000000003,23,0.41100000000000003,23,0.7829999999999999,18,9,200,89.7,8.0,2,25,70,,6.4,5,0.35700000000000004,20,0.3,6,39.6,21,0.523,17.5,14,36,0.47200000000000003,17,0.591,13,"February 5, 2020",55.6,15,8.3,3,89.7,92.0,23,0.526,57,0.474,27,0.561,32,0.75,24,11,200,107.7,32.1,9,22,84,,10.3,8,0.21100000000000002,12,0.5,6,60.4,32,0.5820000000000001,16.5,14,45,0.467,21,0.5,11,"The Pavilion at Ole Miss, Oxford, Mississippi",SOUTH-CAROLINA,South Carolina,78.1,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,21,True,False,True,Home,True,6,21,57,32,53,6,17,56,1,0,132,370,1175,0.4834042553191489,637,1304,0.4884969325153374,120,365,1133,0.4810238305383937,0.4761904761904762
22,2020-02-08-14-mississippi,50.0,9,10.3,4,104.6,88.5,23,0.38,54,0.33299999999999996,18,0.204,11,0.909,10,9,200,78.5,21.2,7,10,51,,7.7,5,0.426,23,0.217,5,50.8,30,0.431,16.9,12,31,0.419,13,0.609,14,"February 8, 2020",61.5,16,6.5,2,78.5,78.8,26,0.536,55,0.473,26,0.182,10,0.9,9,11,200,104.6,11.5,3,13,68,,12.3,8,0.29100000000000004,16,0.43799999999999994,7,49.2,29,0.569,13.2,9,39,0.48700000000000004,19,0.522,12,"The Pavilion at Ole Miss, Oxford, Mississippi",FLORIDA,Florida,65.0,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,22,True,False,True,Home,True,7,19,55,29,59,5,13,54,1,0,138,391,1232,0.4853896103896104,669,1357,0.4929992630803242,126,382,1189,0.4802354920100925,0.5
23,2020-02-11-19-mississippi,83.3,15,5.3,2,118.6,75.0,24,0.38799999999999996,49,0.3670000000000001,18,0.551,27,0.741,20,9,200,82.9,22.6,7,18,58,,4.3,3,0.327,16,0.125,2,49.2,31,0.469,21.8,17,33,0.485,16,0.625,15,"February 11, 2020",39.3,11,9.1,3,82.9,77.4,24,0.552,58,0.483,28,0.414,24,0.792,19,11,200,118.6,25.0,8,19,83,,10.0,7,0.345,20,0.4,8,50.8,32,0.598,9.3,7,38,0.526,20,0.542,13,"The Pavilion at Ole Miss, Oxford, Mississippi",MISSISSIPPI-STATE,Mississippi State,70.1,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,23,True,False,True,Home,True,8,20,58,32,63,2,16,49,1,0,145,410,1287,0.4875679875679876,698,1416,0.4929378531073446,131,395,1243,0.4758648431214803,0.5217391304347826
24,2020-02-15-14-kentucky,12.5,3,10.8,4,95.7,72.7,24,0.45,60,0.4,24,0.183,11,0.727,8,12,200,88.6,22.2,8,19,62,,12.9,9,0.28300000000000003,17,0.353,6,46.4,32,0.475,14.5,11,43,0.419,18,0.52,13,"February 15, 2020",34.8,8,9.3,4,88.6,77.8,28,0.40700000000000003,59,0.39,23,0.40700000000000003,24,0.792,19,5,200,95.7,27.3,9,16,67,12.0,4.3,3,0.373,22,0.091,2,53.6,37,0.47600000000000003,13.7,11,37,0.568,21,0.8,20,"Rupp Arena, Lexington, Kentucky",MISSISSIPPI,Ole Miss,70.3,Home,KENTUCKY,Kentucky,Mississippi,sec,24,False,False,False,Away,False,6,18,60,32,69,2,21,59,0,1,153,430,1345,0.4903345724907063,730,1479,0.4935767410412441,133,411,1292,0.4725232198142415,0.5416666666666666
25,2020-02-18-20-missouri,42.9,9,3.0,1,102.9,57.6,19,0.433,52,0.40399999999999997,21,0.5770000000000001,30,0.767,23,13,200,98.6,34.5,10,20,68,,8.7,6,0.25,13,0.231,3,46.8,29,0.513,18.7,15,39,0.462,18,0.5,13,"February 18, 2020",47.6,10,15.4,6,98.6,65.5,19,0.436,55,0.382,21,0.491,27,0.852,23,13,200,102.9,42.4,14,23,71,,8.7,6,0.4,22,0.273,6,53.2,33,0.523,15.2,12,33,0.455,15,0.5,13,"Mizzou Arena, Columbia, Missouri",MISSISSIPPI,Ole Miss,68.5,Home,MISSOURI,Missouri,Mississippi,sec,25,False,False,False,Away,False,3,18,52,29,62,6,15,55,0,1,159,448,1405,0.4886120996441281,762,1548,0.4922480620155039,135,432,1351,0.4696521095484826,0.52
26,2020-02-22-20-mississippi,67.6,25,13.8,4,98.7,87.0,20,0.649,67,0.552,37,0.418,28,0.5710000000000001,16,12,200,130.4,33.3,10,22,103,,5.1,4,0.44799999999999995,30,0.433,13,56.6,30,0.6409999999999999,12.2,11,37,0.649,24,0.556,15,"February 22, 2020",57.7,15,5.4,2,130.4,66.7,20,0.617,47,0.5529999999999999,26,0.574,27,0.741,20,14,200,98.7,13.0,3,24,78,,8.9,7,0.38299999999999995,18,0.33299999999999996,6,43.4,23,0.652,25.4,20,29,0.69,20,0.48100000000000004,13,"The Pavilion at Ole Miss, Oxford, Mississippi",MISSISSIPPI,Ole Miss,79.1,Away,ALABAMA,Alabama,Mississippi,sec,26,False,True,True,Home,False,6,20,47,23,53,13,24,67,0,1,162,466,1457,0.4866163349347976,791,1610,0.491304347826087,141,447,1406,0.4683499288762447,0.5
