,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,RICE_homegame,RICE_homegame2,RICE_home,RICE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-14-20-rice,41.2,14,0.0,0,123.1,74.3,26,0.591,66,0.515,34,0.16699999999999998,11,0.545,6,8,199,107.7,36.7,11,22,84,,6.4,5,0.39399999999999996,26,0.385,10,56.9,37,0.59,19.4,17,40,0.6,24,0.0,0,"December 14, 2019",57.1,20,5.0,2,107.7,63.3,19,0.614,66,0.53,35,0.33299999999999996,22,0.682,15,4,199,123.1,25.7,9,15,96,,11.5,9,0.455,30,0.3670000000000001,11,43.1,28,0.628,12.7,11,36,0.667,24,0.636,7,"Tudor Fieldhouse, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,78.2,Home,RICE,Rice,Rice,cusa,10,True,False,True,Home,True,11,24,66,28,65,10,24,66,1,0,95,139,565,0.4982300884955752,345,696,0.4956896551724138,61,213,630,0.4833333333333333,0.6
11,2019-12-19-12-rice,59.3,16,5.9,2,132.1,57.6,19,0.4320000000000001,73,0.37,27,0.12300000000000001,9,0.778,7,0,200,89.7,22.7,10,15,70,,10.3,8,0.397,29,0.31,9,37.7,29,0.45299999999999996,12.5,11,44,0.409,18,0.0,0,"December 19, 2019",63.2,24,11.4,5,89.7,77.3,34,0.625,72,0.528,38,0.292,21,0.619,13,4,200,132.1,42.4,14,9,103,,10.3,8,0.528,38,0.368,14,62.3,48,0.628,11.0,10,34,0.706,24,0.667,8,"Tudor Fieldhouse, Houston, Texas","St. Thomas (TX)
			","St. Thomas (TX)
			",78.1,Home,RICE,Rice,Rice,cusa,11,True,False,True,Home,True,14,24,72,48,77,9,18,73,1,0,106,163,631,0.5103011093502378,373,761,0.4901445466491458,71,237,696,0.4935344827586207,0.6363636363636364
12,2019-12-29-15-rice,53.3,16,0.0,0,84.7,76.9,30,0.5589999999999999,59,0.508,30,0.16899999999999998,10,0.9,9,4,200,104.2,23.1,6,19,75,,11.1,8,0.28800000000000003,17,0.353,6,55.4,36,0.588,17.0,13,42,0.5710000000000001,24,0.6920000000000001,9,"December 29, 2019",65.0,13,4.8,2,104.2,76.9,20,0.39799999999999996,59,0.33899999999999997,20,0.33899999999999997,20,0.7,14,5,200,84.7,23.1,9,9,61,,11.1,8,0.525,31,0.226,7,44.6,29,0.445,17.1,14,28,0.46399999999999997,13,0.615,8,"Tudor Fieldhouse, Houston, Texas",RICE,Rice,72.1,Away,SAM-HOUSTON-STATE,Sam Houston State,Rice,cusa,12,False,True,True,Home,False,7,13,59,29,65,6,24,59,0,1,120,187,703,0.5220483641536273,421,838,0.5023866348448688,80,255,769,0.4876462938881664,0.6666666666666666
13,2020-01-02-19-marshall,27.3,6,0.0,0,109.9,67.9,19,0.424,59,0.373,22,0.424,25,0.76,19,6,200,85.2,8.8,3,15,69,,12.3,10,0.35600000000000004,21,0.28600000000000003,6,35.5,22,0.48700000000000004,18.6,16,38,0.42100000000000004,16,0.5710000000000001,8,"January 2, 2020",62.9,22,26.3,10,85.2,91.2,31,0.65,60,0.583,35,0.35,21,0.524,11,7,200,109.9,32.1,9,19,89,,11.1,9,0.38299999999999995,23,0.348,8,64.5,40,0.636,19.7,17,37,0.73,27,0.5,7,"Henderson Center, Huntington, West Virginia",RICE,Rice,80.9,Home,MARSHALL,Marshall,Rice,cusa,13,False,False,False,Away,False,6,16,59,22,62,8,27,60,0,1,127,200,762,0.5124671916010499,450,903,0.4983388704318937,86,279,828,0.4927536231884058,0.6153846153846154
14,2020-01-04-17-western-kentucky,37.5,9,10.8,4,100.0,78.1,25,0.467,60,0.4,24,0.133,8,0.625,5,7,200,89.7,22.9,8,16,61,,7.4,5,0.483,29,0.276,8,49.3,33,0.478,17.0,13,31,0.516,16,0.5329999999999999,8,"January 4, 2020",45.8,11,9.7,3,89.7,77.1,27,0.45799999999999996,59,0.40700000000000003,24,0.254,15,0.9329999999999999,14,5,200,100.0,21.9,7,11,68,,8.8,6,0.373,22,0.273,6,50.7,34,0.514,10.9,8,37,0.486,18,0.643,9,"E.A. Diddle Arena, Bowling Green, Kentucky",RICE,Rice,68.0,Home,WESTERN-KENTUCKY,Western Kentucky,Rice,cusa,14,False,False,False,Away,False,8,16,60,33,67,6,18,59,0,1,133,216,821,0.5060901339829477,472,965,0.489119170984456,94,306,888,0.5033783783783784,0.5714285714285714
15,2020-01-09-20-rice,34.4,11,6.5,2,97.4,77.8,28,0.551,69,0.46399999999999997,32,0.11599999999999999,8,0.625,5,5,200,103.8,25.7,9,20,81,,11.5,9,0.449,31,0.387,12,52.1,37,0.556,18.1,16,38,0.526,20,0.688,11,"January 9, 2020",50.0,11,0.0,0,103.8,74.3,26,0.456,57,0.386,22,0.474,27,0.889,24,8,200,97.4,22.2,8,12,76,,10.3,8,0.456,26,0.308,8,47.9,34,0.544,16.9,14,31,0.452,14,0.5,8,"Tudor Fieldhouse, Houston, Texas",RICE,Rice,77.8,Away,FLORIDA-ATLANTIC,Florida Atlantic,Rice,cusa,15,False,True,True,Home,False,8,14,57,34,71,12,20,69,0,1,141,232,881,0.503405221339387,505,1032,0.4893410852713178,100,324,947,0.5005279831045406,0.5333333333333333
16,2020-01-11-15-rice,34.5,10,18.2,6,124.3,78.8,26,0.516,62,0.46799999999999997,29,0.355,22,0.636,14,6,200,105.4,23.5,8,15,78,,6.8,5,0.40299999999999997,25,0.24,6,50.7,34,0.5379999999999999,14.3,12,37,0.622,23,0.647,11,"January 11, 2020",52.8,19,0.0,0,105.4,76.5,26,0.632,68,0.529,36,0.11800000000000001,8,0.75,6,8,200,124.3,21.2,7,19,92,,6.8,5,0.515,35,0.4,14,49.3,33,0.6409999999999999,7.7,6,33,0.667,22,0.529,9,"Tudor Fieldhouse, Houston, Texas",FLORIDA-INTERNATIONAL,Florida International,73.6,Home,RICE,Rice,Rice,cusa,16,True,False,True,Home,True,14,22,68,33,67,6,23,62,1,0,149,246,938,0.5005330490405118,539,1103,0.4886672710788758,112,344,1016,0.5039370078740157,0.5
17,2020-01-16-19-louisiana-tech,65.0,13,4.9,2,107.5,70.6,24,0.48,51,0.392,20,0.235,12,0.583,7,9,200,83.6,10.3,3,11,56,,1.5,1,0.608,31,0.29,9,42.9,27,0.494,21.0,15,20,0.55,11,0.5,9,"January 16, 2020",53.3,16,15.0,3,83.6,89.7,26,0.5,65,0.462,30,0.154,10,0.7,7,4,200,107.5,29.4,10,11,72,,14.9,10,0.369,24,0.20800000000000002,5,57.1,36,0.516,8.0,6,41,0.61,25,0.765,13,"Thomas Assembly Center, Ruston, Louisiana",RICE,Rice,67.2,Home,LOUISIANA-TECH,Louisiana Tech,Rice,cusa,17,False,False,False,Away,False,9,11,51,27,63,5,25,65,0,1,163,268,1006,0.5094433399602386,572,1170,0.4888888888888889,118,367,1078,0.5046382189239332,0.5294117647058824
18,2020-01-18-15-southern-mississippi,59.1,13,8.3,3,115.7,76.9,20,0.442,60,0.3670000000000001,22,0.4,24,0.625,15,10,200,97.1,20.5,8,14,68,,8.6,6,0.583,35,0.257,9,43.1,28,0.47600000000000003,10.2,8,25,0.52,13,0.474,9,"January 18, 2020",82.8,24,12.0,3,97.1,79.5,31,0.578,58,0.5,29,0.293,17,0.8240000000000001,14,14,200,115.7,23.1,6,19,81,,4.3,3,0.379,22,0.409,9,56.9,37,0.613,10.9,8,36,0.556,20,0.263,5,"Reed Green Coliseum, Hattiesburg, Mississippi",RICE,Rice,69.7,Home,SOUTHERN-MISSISSIPPI,Southern Miss,Rice,cusa,18,False,False,False,Away,False,9,13,60,28,65,9,20,58,0,1,172,279,1057,0.5080416272469253,599,1233,0.4858069748580697,123,392,1143,0.5043744531933508,0.5
19,2020-01-20-20-north-texas,45.5,10,6.3,2,119.7,87.5,21,0.47200000000000003,54,0.40700000000000003,22,0.204,11,0.727,8,11,200,89.4,30.0,9,18,59,,6.1,4,0.35200000000000004,19,0.368,7,55.6,30,0.498,20.3,15,35,0.429,15,0.45,9,"January 20, 2020",33.3,9,11.4,4,89.4,70.0,21,0.62,50,0.54,27,0.46,23,0.7390000000000001,17,8,200,119.7,12.5,3,12,79,,13.6,9,0.36,18,0.444,8,44.4,24,0.648,13.0,9,32,0.594,19,0.6,12,"UNT Coliseum, Denton, Texas",RICE,Rice,66.1,Home,NORTH-TEXAS,North Texas,Rice,cusa,19,False,False,False,Away,False,7,15,54,30,54,8,19,50,0,1,181,292,1117,0.5044762757385854,627,1298,0.4830508474576271,132,412,1201,0.507910074937552,0.4736842105263158
20,2020-01-23-20-rice,37.5,9,19.0,4,98.5,81.3,26,0.5,53,0.45299999999999996,24,0.47200000000000003,25,0.76,19,8,200,110.8,23.1,6,17,72,,4.6,3,0.528,28,0.179,5,55.2,32,0.555,9.9,7,25,0.76,19,0.6,12,"January 23, 2020",65.0,13,0.0,0,110.8,76.9,20,0.455,55,0.364,20,0.364,20,0.7,14,12,200,98.5,18.8,6,19,64,,4.6,3,0.618,34,0.294,10,44.8,26,0.496,7.3,5,21,0.47600000000000003,10,0.429,9,"Tudor Fieldhouse, Houston, Texas",RICE,Rice,64.7,Away,TEXAS-EL-PASO,UTEP,Rice,cusa,20,False,True,True,Home,False,10,10,55,26,58,5,19,53,0,1,188,307,1171,0.5029888983774552,657,1352,0.4859467455621302,140,431,1251,0.5123900879296562,0.45
21,2020-01-25-20-rice,45.5,15,14.3,4,118.9,64.5,20,0.591,66,0.5,33,0.212,14,0.857,12,11,200,121.6,35.5,11,13,90,,8.1,6,0.409,27,0.444,12,50.0,31,0.619,14.3,12,39,0.5379999999999999,21,0.47600000000000003,10,"January 25, 2020",62.1,18,15.4,6,121.6,64.5,20,0.603,63,0.46,29,0.254,16,0.75,12,13,200,118.9,35.5,11,16,88,,9.5,7,0.556,35,0.514,18,50.0,31,0.623,17.6,15,28,0.39299999999999996,11,0.409,9,"Tudor Fieldhouse, Houston, Texas",RICE,Rice,74.1,Away,TEXAS-SAN-ANTONIO,UTSA,Rice,cusa,21,False,True,True,Home,False,18,11,63,31,62,12,21,66,0,1,198,317,1226,0.5008156606851549,683,1410,0.4843971631205674,145,450,1304,0.5118865030674846,0.42857142857142855
22,2020-02-01-15-rice,61.5,16,0.0,0,131.3,76.2,16,0.667,51,0.51,26,0.196,10,0.7,7,9,200,117.2,26.1,6,15,75,,6.3,4,0.647,33,0.485,16,50.0,22,0.6729999999999999,21.3,15,18,0.556,10,0.609,14,"February 1, 2020",81.3,26,0.0,0,117.2,73.9,17,0.76,52,0.615,32,0.154,8,0.625,5,13,200,131.3,23.8,5,13,84,,14.1,9,0.5379999999999999,28,0.536,15,50.0,22,0.753,19.0,13,24,0.708,17,0.435,10,"Tudor Fieldhouse, Houston, Texas",NORTH-TEXAS,North Texas,64.3,Home,RICE,Rice,Rice,cusa,22,True,False,True,Home,True,15,17,52,22,44,16,10,51,1,0,216,328,1289,0.5058184639255237,714,1472,0.48505434782608703,157,471,1370,0.5156934306569343,0.4090909090909091
23,2020-02-06-20-alabama-birmingham,51.7,15,9.1,3,104.3,78.6,22,0.645,55,0.527,29,0.364,20,0.75,15,13,200,124.6,14.8,4,20,86,,7.2,5,0.509,28,0.46399999999999997,13,47.3,26,0.667,11.1,8,27,0.593,16,0.45799999999999996,11,"February 6, 2020",64.3,18,11.1,3,124.6,85.2,23,0.623,53,0.528,28,0.358,19,0.316,6,10,200,104.3,21.4,6,19,72,,4.3,3,0.377,20,0.5,10,52.7,29,0.58,18.6,14,33,0.545,18,0.583,14,"Bartow Arena, Birmingham, Alabama",ALABAMA-BIRMINGHAM,Alabama-Birmingham,69.3,Away,RICE,Rice,Rice,cusa,23,False,False,False,Away,True,13,16,55,26,55,10,18,53,1,0,231,345,1341,0.5156599552572707,736,1516,0.4854881266490765,173,481,1421,0.5211118930330753,0.43478260869565216
24,2020-02-08-18-middle-tennessee,46.4,13,0.0,0,122.1,60.5,23,0.594,53,0.528,28,0.7170000000000001,38,0.737,28,13,200,133.8,37.9,11,19,91,,5.9,4,0.396,21,0.33299999999999996,7,50.7,34,0.64,9.1,7,32,0.6559999999999999,21,0.48,12,"February 8, 2020",59.3,16,0.0,0,133.8,62.1,18,0.508,64,0.42200000000000004,27,0.375,24,0.75,18,19,200,122.1,39.5,15,28,83,,5.9,4,0.516,33,0.33299999999999996,11,49.3,33,0.55,10.8,9,31,0.516,16,0.24,6,"Murphy Athletic Center, Murfreesboro, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,68.2,Away,RICE,Rice,Rice,cusa,24,False,False,False,Away,True,7,21,53,34,67,11,16,64,1,0,244,361,1396,0.5207736389684814,762,1571,0.4850413749204329,183,499,1474,0.5247625508819539,0.4583333333333333
25,2020-02-13-20-rice,65.4,17,4.2,1,93.3,87.2,34,0.467,61,0.426,26,0.39299999999999996,24,0.667,16,15,200,97.3,16.7,6,20,73,,8.0,6,0.426,26,0.192,5,53.3,40,0.504,8.9,7,35,0.6,21,0.423,11,"February 13, 2020",40.9,9,5.7,2,97.3,83.3,30,0.426,61,0.361,22,0.377,23,0.7829999999999999,18,14,200,93.3,12.8,5,17,70,,2.7,2,0.607,37,0.21600000000000005,8,46.7,35,0.48700000000000004,11.2,9,24,0.583,14,0.462,12,"Tudor Fieldhouse, Houston, Texas",RICE,Rice,74.7,Away,OLD-DOMINION,Old Dominion,Rice,cusa,25,False,True,True,Home,False,8,14,61,35,75,5,21,61,0,1,251,382,1449,0.5234644582470669,796,1638,0.485958485958486,194,515,1538,0.5240572171651495,0.48
26,2020-02-15-15-rice,73.7,14,0.0,0,104.5,69.6,16,0.442,52,0.365,19,0.212,11,0.727,8,11,200,80.6,15.2,5,11,54,,11.9,8,0.5,26,0.308,8,37.5,21,0.47200000000000003,20.9,15,26,0.423,11,0.56,14,"February 15, 2020",66.7,18,0.0,0,80.6,84.8,28,0.63,50,0.54,27,0.18,9,0.778,7,14,200,104.5,30.4,7,12,70,,13.4,9,0.5,25,0.36,9,62.5,35,0.645,26.0,19,25,0.72,18,0.48100000000000004,13,"Tudor Fieldhouse, Houston, Texas",CHARLOTTE,Charlotte,66.8,Home,RICE,Rice,Rice,cusa,26,True,False,True,Home,True,9,18,50,35,56,8,11,52,1,0,259,396,1510,0.5195364238410596,831,1713,0.4851138353765324,199,536,1599,0.5218886804252658,0.4615384615384616
27,2020-02-22-19-texas-el-paso,38.1,8,15.4,4,103.0,82.8,24,0.40299999999999997,62,0.33899999999999997,21,0.306,19,0.632,12,15,200,93.9,37.2,16,18,62,,6.1,4,0.5,31,0.258,8,55.6,40,0.436,11.3,9,31,0.419,13,0.46399999999999997,13,"February 22, 2020",71.4,15,3.2,1,93.9,62.8,27,0.5,54,0.389,21,0.35200000000000004,19,0.737,14,14,200,103.0,17.2,5,21,68,,7.6,5,0.519,28,0.429,12,44.4,32,0.539,12.6,9,26,0.34600000000000003,9,0.5,14,"Don Haskins Center, El Paso, Texas",RICE,Rice,65.5,Home,TEXAS-EL-PASO,UTEP,Rice,cusa,27,False,False,False,Away,False,8,13,62,40,72,12,9,54,0,1,268,414,1560,0.5230769230769231,866,1769,0.4895421141888072,207,547,1651,0.5193821926105391,0.4814814814814815
