,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BETHUNE-COOKMAN_homegame,BETHUNE-COOKMAN_homegame2,BETHUNE-COOKMAN_home,BETHUNE-COOKMAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-14-22-california-baptist,43.5,10,6.7,2,114.5,82.1,23,0.396,67,0.34299999999999997,23,0.34299999999999997,23,0.652,15,6,200,89.5,20.8,10,17,68,,6.6,5,0.32799999999999996,22,0.318,7,43.4,33,0.436,9.4,8,45,0.35600000000000004,16,0.455,5,"December 14, 2019",71.9,23,8.9,4,89.5,79.2,38,0.642,60,0.5329999999999999,32,0.2,12,0.833,10,4,200,114.5,17.9,5,19,87,,1.3,1,0.5,30,0.433,13,56.6,43,0.662,19.7,16,30,0.633,19,0.6,6,"CBU Events Center, Riverside, California",BETHUNE-COOKMAN,Bethune-Cookman,76.3,Home,CALIFORNIA-BAPTIST,California Baptist,Bethune-Cookman,meac,10,False,False,False,Away,False,7,16,67,33,76,13,19,60,0,1,57,211,621,0.4774557165861514,357,685,0.5211678832116788,53,191,580,0.4663793103448276,0.5
11,2019-12-18-19-central-florida,60.0,15,0.0,0,93.3,65.6,21,0.413,69,0.36200000000000004,25,0.203,14,0.5710000000000001,8,7,200,86.7,28.6,12,26,65,,9.3,7,0.304,21,0.33299999999999996,7,44.6,33,0.43,13.8,12,48,0.375,18,0.41700000000000004,5,"December 18, 2019",54.2,13,8.3,4,86.7,71.4,30,0.473,56,0.429,24,0.48200000000000004,27,0.63,17,2,200,93.3,34.4,11,16,70,,6.7,5,0.429,24,0.20800000000000002,5,55.4,41,0.509,19.1,16,32,0.594,19,0.818,9,"CFE Arena, Orlando, Florida",BETHUNE-COOKMAN,Bethune-Cookman,74.7,Home,CENTRAL-FLORIDA,UCF,Bethune-Cookman,meac,11,False,False,False,Away,False,7,18,69,33,74,5,19,56,0,1,64,227,688,0.4694767441860465,390,761,0.5124835742444153,66,210,640,0.4828125,0.4545454545454545
12,2019-12-21-13-bethune-cookman,45.0,9,6.7,2,113.3,77.8,21,0.349,63,0.317,20,0.27,17,0.706,12,8,200,74.7,31.6,12,22,56,,9.3,7,0.444,28,0.14300000000000002,4,50.8,33,0.39399999999999996,18.5,16,35,0.457,16,0.111,1,"December 21, 2019",70.8,17,5.7,2,74.7,68.4,26,0.537,54,0.444,24,0.574,31,0.871,27,7,200,113.3,22.2,6,15,85,,12.0,9,0.444,24,0.41700000000000004,10,49.2,32,0.618,15.1,12,30,0.467,14,0.462,6,"Moore Gymnasium, Daytona Beach, Florida",MARIST,Marist,74.9,Home,BETHUNE-COOKMAN,Bethune-Cookman,Bethune-Cookman,meac,12,True,False,True,Home,True,10,14,54,32,65,4,16,63,1,0,71,245,757,0.464332892998679,423,835,0.5065868263473053,71,229,696,0.4820402298850575,0.4166666666666667
13,2019-12-29-19-saint-louis,36.4,8,4.5,2,102.7,69.8,30,0.366,67,0.32799999999999996,22,0.373,25,0.72,18,8,200,89.3,32.6,15,24,67,,4.0,3,0.299,20,0.25,5,50.6,45,0.425,12.4,11,47,0.36200000000000004,17,0.429,6,"December 29, 2019",69.6,16,12.8,6,89.3,67.4,31,0.397,63,0.365,23,0.603,38,0.711,27,2,200,102.7,30.2,13,17,77,,10.7,8,0.302,19,0.21100000000000002,4,49.4,44,0.475,8.1,7,44,0.4320000000000001,19,0.846,11,"Chaifetz Arena, St. Louis, Missouri",BETHUNE-COOKMAN,Bethune-Cookman,75.0,Home,SAINT-LOUIS,Saint Louis,Bethune-Cookman,meac,13,False,False,False,Away,False,5,17,67,45,89,4,19,63,0,1,81,259,811,0.469173859432799,455,900,0.5055555555555555,75,245,759,0.4710144927536232,0.4615384615384616
14,2020-01-04-18-norfolk-state,39.1,9,5.3,2,114.9,66.7,20,0.455,55,0.418,23,0.491,27,0.815,22,9,200,97.3,30.0,9,19,72,,2.7,2,0.327,18,0.222,4,48.3,29,0.531,19.3,16,37,0.514,19,0.4,6,"January 4, 2020",50.0,14,2.7,1,97.3,70.0,21,0.508,63,0.444,28,0.397,25,0.84,21,11,200,114.9,33.3,10,19,85,,5.4,4,0.397,25,0.32,8,51.7,31,0.568,10.8,9,38,0.526,20,0.312,5,"Echols Memorial Hall, Norfolk, Virginia",BETHUNE-COOKMAN,Bethune-Cookman,74.4,Home,NORFOLK-STATE,Norfolk State,Bethune-Cookman,meac,14,False,False,False,Away,False,4,19,55,29,60,8,20,63,0,1,86,276,878,0.4612756264236902,500,989,0.5055611729019212,79,264,822,0.4653284671532847,0.42857142857142855
15,2020-01-06-19-howard,66.7,24,3.9,2,90.1,62.9,22,0.6409999999999999,64,0.563,36,0.359,23,0.87,20,9,200,125.9,44.0,11,20,102,,8.6,7,0.344,22,0.455,10,55.0,33,0.6809999999999999,18.7,17,42,0.619,26,0.43799999999999994,7,"January 6, 2020",46.4,13,4.8,2,125.9,56.0,14,0.449,68,0.41200000000000003,28,0.25,17,0.706,12,14,200,90.1,37.1,13,17,73,,8.6,7,0.25,17,0.294,5,45.0,27,0.48,18.4,17,51,0.451,23,0.125,2,"Burr Gymnasium, Washington, District of Columbia",HOWARD,Howard,80.5,Away,BETHUNE-COOKMAN,Bethune-Cookman,Bethune-Cookman,meac,15,False,False,False,Away,True,10,26,64,33,60,5,23,68,1,0,90,295,933,0.4608788853161844,529,1049,0.5042897998093422,87,284,885,0.468361581920904,0.4
16,2020-01-11-16-bethune-cookman,25.8,8,9.4,5,101.2,79.5,35,0.529,68,0.456,31,0.20600000000000002,14,0.5710000000000001,8,14,199,95.2,23.7,9,26,80,,4.8,4,0.515,35,0.28600000000000003,10,53.7,44,0.536,18.6,17,33,0.636,21,0.222,4,"January 11, 2020",40.6,13,6.1,2,95.2,76.3,29,0.5,68,0.47100000000000003,32,0.47100000000000003,32,0.531,17,9,199,101.2,20.5,9,15,85,,13.1,11,0.221,15,0.267,4,46.3,38,0.511,12.8,12,53,0.528,28,0.47100000000000003,8,"Moore Gymnasium, Daytona Beach, Florida",COPPIN-STATE,Coppin State,84.8,Home,BETHUNE-COOKMAN,Bethune-Cookman,Bethune-Cookman,meac,16,True,False,True,Home,True,4,28,68,38,82,10,21,68,1,0,100,321,997,0.4724172517552658,562,1109,0.5067628494138864,92,307,953,0.4669464847848898,0.4375
17,2020-01-13-19-bethune-cookman,40.7,11,6.5,3,107.6,52.9,18,0.526,57,0.474,27,0.474,27,0.667,18,11,200,98.7,36.4,12,27,78,,7.6,6,0.281,16,0.375,6,44.8,30,0.5589999999999999,22.5,20,41,0.512,21,0.42100000000000004,8,"January 13, 2020",48.3,14,2.4,1,98.7,63.6,21,0.525,60,0.483,29,0.6,36,0.611,22,9,200,107.6,47.1,16,21,85,,15.2,12,0.233,14,0.35700000000000004,5,55.2,37,0.551,20.0,19,46,0.522,24,0.5,9,"Moore Gymnasium, Daytona Beach, Florida",MORGAN-STATE,Morgan State,79.0,Home,BETHUNE-COOKMAN,Bethune-Cookman,Bethune-Cookman,meac,17,True,False,True,Home,True,5,24,60,37,67,6,21,57,1,0,104,349,1065,0.4741784037558686,600,1191,0.5037783375314862,102,328,1021,0.4711067580803134,0.4705882352941176
18,2020-01-18-16-bethune-cookman,45.2,14,9.1,3,81.9,79.4,27,0.644,52,0.596,31,0.5579999999999999,29,0.655,19,11,200,119.4,23.1,6,16,86,,13.9,10,0.28800000000000003,15,0.33299999999999996,5,55.0,33,0.654,13.4,10,37,0.703,26,0.389,7,"January 18, 2020",47.6,10,0.0,0,119.4,76.9,20,0.405,58,0.36200000000000004,21,0.276,16,0.75,12,10,200,81.9,20.6,7,18,59,,4.2,3,0.431,25,0.2,5,45.0,27,0.45,19.7,16,33,0.485,16,0.474,9,"Moore Gymnasium, Daytona Beach, Florida",BETHUNE-COOKMAN,Bethune-Cookman,72.2,Away,NORTH-CAROLINA-CENTRAL,North Carolina Central,Bethune-Cookman,meac,18,False,True,True,Home,False,5,16,58,27,60,5,26,52,0,1,109,373,1125,0.4768888888888889,637,1258,0.5063593004769475,108,349,1078,0.47402597402597396,0.5
19,2020-01-25-16-north-carolina-at,29.0,9,5.4,2,110.1,80.6,29,0.539,64,0.484,31,0.516,33,0.7879999999999999,26,11,200,106.7,35.3,12,28,95,,7.9,7,0.188,12,0.583,7,58.6,41,0.596,21.9,22,52,0.462,24,0.45,9,"January 25, 2020",53.3,16,11.5,6,106.7,64.7,22,0.612,58,0.517,30,0.7929999999999999,46,0.5870000000000001,27,12,200,110.1,19.4,7,28,98,,14.6,13,0.36200000000000004,21,0.524,11,41.4,29,0.614,16.1,15,37,0.514,19,0.429,9,"Ellis Corbett Sports Center, Greensboro, North Carolina",BETHUNE-COOKMAN,Bethune-Cookman,88.8,Home,NORTH-CAROLINA-AT,North Carolina A&T,Bethune-Cookman,meac,19,False,False,False,Away,False,7,24,64,41,70,11,19,58,0,1,114,389,1183,0.4733727810650887,664,1318,0.503793626707132,113,375,1130,0.481858407079646,0.4736842105263158
20,2020-01-27-19-south-carolina-state,40.7,11,2.0,1,105.7,55.6,20,0.7879999999999999,40,0.675,27,0.575,23,0.652,15,11,200,111.4,5.9,1,17,78,,4.3,3,0.325,13,0.6920000000000001,9,39.6,21,0.7659999999999999,27.5,19,27,0.667,18,0.47600000000000003,10,"January 27, 2020",27.6,8,3.7,1,111.4,94.1,16,0.462,66,0.439,29,0.28800000000000003,19,0.684,13,10,200,105.7,44.4,16,19,74,,7.1,5,0.258,17,0.17600000000000002,3,60.4,32,0.493,13.9,12,49,0.531,26,0.474,9,"SHM Memorial Center, Orangeburg, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,70.0,Away,BETHUNE-COOKMAN,Bethune-Cookman,Bethune-Cookman,meac,20,False,False,False,Away,True,9,18,40,21,53,3,26,66,1,0,121,413,1247,0.4767441860465117,705,1388,0.5079250720461095,124,394,1188,0.4882154882154882,0.45
21,2020-02-01-16-florida-am,9.1,2,4.8,2,100.0,78.6,22,0.377,61,0.361,22,0.475,29,0.7240000000000001,21,12,200,91.8,32.5,13,25,67,,8.2,6,0.262,16,0.125,2,51.5,35,0.44799999999999995,14.0,12,45,0.444,20,0.455,10,"February 1, 2020",30.8,8,4.4,2,91.8,67.5,27,0.5379999999999999,52,0.5,26,0.519,27,0.63,17,13,200,100.0,21.4,6,23,73,,5.5,4,0.192,10,0.4,4,48.5,33,0.563,16.9,13,42,0.524,22,0.35,7,"Al Lawson Center, Tallahassee, Florida",BETHUNE-COOKMAN,Bethune-Cookman,72.8,Home,FLORIDA-AM,Florida A&M,Bethune-Cookman,meac,21,False,False,False,Away,False,2,20,61,35,68,4,22,52,0,1,130,431,1287,0.4864024864024864,726,1441,0.5038167938931297,127,420,1254,0.4868421052631579,0.4761904761904762
22,2020-02-08-16-bethune-cookman,53.8,14,4.4,2,87.6,86.5,32,0.42100000000000004,70,0.371,26,0.3,21,0.667,14,13,200,82.0,36.8,14,26,73,,9.0,8,0.32899999999999996,23,0.304,7,61.3,46,0.456,21.7,22,47,0.40399999999999997,19,0.48,12,"February 8, 2020",51.9,14,8.5,4,82.0,63.2,24,0.47600000000000003,63,0.429,27,0.54,34,0.529,18,12,200,87.6,13.5,5,20,78,,9.0,8,0.28600000000000003,18,0.33299999999999996,6,38.7,29,0.493,16.1,15,45,0.467,21,0.478,11,"Moore Gymnasium, Daytona Beach, Florida",NORTH-CAROLINA-AT,North Carolina A&T,88.6,Home,BETHUNE-COOKMAN,Bethune-Cookman,Bethune-Cookman,meac,22,True,False,True,Home,True,6,21,63,29,75,7,19,70,1,0,132,451,1348,0.4814540059347181,761,1509,0.5043074884029158,131,442,1306,0.4888973966309341,0.4545454545454545
23,2020-02-10-19-bethune-cookman,66.7,16,10.5,4,108.8,59.4,19,0.529,51,0.47100000000000003,24,0.49,25,0.56,14,24,200,85.0,18.5,5,16,68,,8.8,7,0.353,18,0.33299999999999996,6,40.7,24,0.541,25.3,21,33,0.545,18,0.077,2,"February 10, 2020",54.8,17,0.0,0,85.0,81.5,22,0.537,68,0.456,31,0.309,21,0.667,14,12,200,108.8,40.6,13,21,87,,16.3,13,0.441,30,0.3670000000000001,11,59.3,35,0.5579999999999999,17.2,16,38,0.526,20,0.5,12,"Moore Gymnasium, Daytona Beach, Florida",HOWARD,Howard,79.9,Home,BETHUNE-COOKMAN,Bethune-Cookman,Bethune-Cookman,meac,23,True,False,True,Home,True,11,20,68,35,59,6,18,51,1,0,138,472,1411,0.48121899362154497,790,1584,0.4987373737373738,138,461,1376,0.4854651162790698,0.4782608695652174
24,2020-02-15-16-maryland-eastern-shore,45.5,10,5.0,2,89.2,81.6,31,0.38799999999999996,67,0.32799999999999996,22,0.16399999999999998,11,0.545,6,13,200,78.4,29.5,13,19,58,,8.1,6,0.358,24,0.33299999999999996,8,53.7,44,0.402,19.1,17,43,0.326,14,0.48,12,"February 15, 2020",75.0,18,14.0,6,78.4,70.5,31,0.44299999999999995,61,0.39299999999999996,24,0.27899999999999997,17,0.706,12,21,200,89.2,18.4,7,16,66,,13.5,10,0.344,21,0.28600000000000003,6,46.3,38,0.478,11.6,9,40,0.45,18,0.16,4,"Hytche Athletic Center, Princess Anne, Maryland",BETHUNE-COOKMAN,Bethune-Cookman,73.7,Home,MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,Bethune-Cookman,meac,24,False,False,False,Away,False,8,14,67,44,82,6,18,61,0,1,149,492,1479,0.4837728194726166,825,1643,0.5021302495435179,144,479,1427,0.4870357393132446,0.5
25,2020-02-17-19-delaware-state,39.1,9,10.3,4,87.5,72.5,29,0.465,57,0.40399999999999997,23,0.368,21,0.857,18,13,200,88.8,20.7,6,18,71,,7.5,6,0.439,25,0.28,7,50.7,35,0.53,21.4,18,32,0.5,16,0.5,13,"February 17, 2020",37.5,9,9.4,3,88.8,79.3,23,0.40299999999999997,67,0.358,24,0.32799999999999996,22,0.727,16,22,200,87.5,27.5,11,19,70,,15.0,12,0.418,28,0.214,6,49.3,34,0.452,15.4,14,39,0.462,18,0.12,3,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,79.7,Away,BETHUNE-COOKMAN,Bethune-Cookman,Bethune-Cookman,meac,25,False,False,False,Away,True,7,16,57,35,69,6,18,67,1,0,157,506,1546,0.4796248382923674,869,1725,0.503768115942029,150,497,1488,0.4852150537634409,0.48
