,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ARKANSAS-STATE_homegame,ARKANSAS-STATE_homegame2,ARKANSAS-STATE_home,ARKANSAS-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
11,2019-12-21-15-louisiana-monroe,43.5,10,8.6,3,93.7,80.0,20,0.48100000000000004,52,0.442,23,0.28800000000000003,15,0.8,12,3,200,98.4,29.0,9,19,62,,12.7,8,0.25,13,0.308,4,51.8,29,0.524,15.8,11,39,0.48700000000000004,19,0.75,9,"December 21, 2019",57.1,12,10.3,4,98.4,71.0,22,0.489,45,0.467,21,0.467,21,0.7140000000000001,15,6,200,93.7,20.0,5,14,59,,7.9,5,0.222,10,0.2,2,48.2,27,0.537,21.7,15,35,0.5429999999999999,19,0.4,4,"Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,63.1,Away,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,11,False,False,False,Away,True,4,19,52,29,56,2,19,45,1,0,60,202,574,0.5087108013937283,326,668,0.4880239520958084,66,200,577,0.5181975736568457,0.7272727272727273
12,2019-12-28-17-arkansas-state,69.2,18,3.8,2,109.1,72.7,32,0.5329999999999999,60,0.433,26,0.233,14,0.643,9,0,200,94.8,17.1,6,24,73,,5.2,4,0.41700000000000004,25,0.48,12,48.1,38,0.5479999999999999,19.5,16,35,0.4,14,0.0,0,"December 28, 2019",54.8,17,14.3,5,94.8,82.9,29,0.5,66,0.47,31,0.455,30,0.6,18,3,200,109.1,27.3,12,17,84,,11.7,9,0.19699999999999998,13,0.308,4,51.9,41,0.523,11.2,10,53,0.509,27,0.769,10,"Convocation Center, Jonesboro, Arkansas","Freed-Hardeman
			","Freed-Hardeman
			",77.5,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,12,True,False,True,Home,True,4,27,66,41,79,12,14,60,1,0,64,221,626,0.5063897763578274,355,724,0.4903314917127072,68,219,622,0.5160771704180064,0.75
13,2020-01-02-20-arkansas-state,87.1,27,2.1,1,78.8,75.6,34,0.585,59,0.525,31,0.11900000000000001,7,0.5710000000000001,4,9,200,110.6,26.7,8,21,73,,4.5,3,0.322,19,0.368,7,56.0,42,0.586,17.3,13,40,0.6,24,0.35700000000000004,5,"January 2, 2020",81.3,13,10.0,4,110.6,73.3,22,0.304,56,0.28600000000000003,16,0.5,28,0.643,18,4,200,78.8,24.4,11,13,52,,7.6,5,0.161,9,0.222,2,44.0,33,0.375,9.3,7,47,0.298,14,0.7140000000000001,10,"Convocation Center, Jonesboro, Arkansas",ARKANSAS-STATE,Arkansas State,66.3,Away,TEXAS-ARLINGTON,Texas-Arlington,Arkansas State,sun-belt,13,False,True,True,Home,False,2,14,56,33,75,7,24,59,0,1,68,248,692,0.5057803468208093,396,803,0.4931506849315068,80,233,682,0.5175953079178885,0.7692307692307693
14,2020-01-04-15-arkansas-state,63.2,12,2.8,1,94.4,72.2,26,0.456,45,0.42200000000000004,19,0.8,36,0.8059999999999999,29,7,200,98.6,22.6,7,28,70,,8.5,6,0.17800000000000002,8,0.375,3,49.3,33,0.564,19.8,15,37,0.4320000000000001,16,0.5329999999999999,8,"January 4, 2020",70.6,12,10.8,4,98.6,77.4,24,0.385,48,0.354,17,0.8540000000000001,41,0.732,30,5,200,94.4,27.8,10,28,67,,9.9,7,0.25,12,0.25,3,50.7,34,0.496,18.5,15,36,0.389,14,0.667,10,"Convocation Center, Jonesboro, Arkansas",ARKANSAS-STATE,Arkansas State,71.3,Away,TEXAS-STATE,Texas State,Arkansas State,sun-belt,14,False,True,True,Home,False,3,14,48,34,67,3,16,45,0,1,70,262,748,0.4906417112299466,429,878,0.4886104783599089,87,257,741,0.5229419703103914,0.7142857142857143
15,2020-01-06-20-arkansas-state,50.0,16,0.0,0,128.6,63.6,21,0.589,62,0.516,32,0.27399999999999997,17,0.8240000000000001,14,6,200,124.3,35.5,11,29,87,,5.7,4,0.371,23,0.391,9,50.0,32,0.621,13.7,11,39,0.59,23,0.625,10,"January 6, 2020",64.0,16,10.3,4,124.3,64.5,20,0.5379999999999999,52,0.48100000000000004,25,0.8079999999999999,42,0.81,34,5,200,128.6,36.4,12,15,90,,11.4,8,0.327,17,0.353,6,50.0,32,0.625,11.3,9,35,0.5429999999999999,19,0.688,11,"Convocation Center, Jonesboro, Arkansas",GEORGIA-STATE,Georgia State,69.5,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,15,True,False,True,Home,True,6,19,52,32,64,9,23,62,1,0,73,276,796,0.4842964824120603,463,945,0.48994708994709,90,273,786,0.5190839694656488,0.6666666666666666
16,2020-01-09-20-south-alabama,47.6,10,7.3,3,125.0,57.1,16,0.5329999999999999,46,0.457,21,0.28300000000000003,13,0.769,10,6,200,98.3,37.0,10,25,59,,8.3,5,0.413,19,0.368,7,47.3,26,0.565,25.8,18,27,0.519,14,0.647,11,"January 9, 2020",47.8,11,3.7,1,98.3,63.0,17,0.521,48,0.479,23,0.7290000000000001,35,0.7140000000000001,25,7,200,125.0,42.9,12,17,75,,20.0,12,0.146,7,0.5710000000000001,4,52.7,29,0.58,11.2,8,41,0.46299999999999997,19,0.588,10,"Mitchell Center, Mobile, Alabama",ARKANSAS-STATE,Arkansas State,60.4,Home,SOUTH-ALABAMA,South Alabama,Arkansas State,sun-belt,16,False,False,False,Away,False,7,14,46,26,55,4,19,48,0,1,79,295,848,0.4876179245283019,495,1009,0.4905847373637265,99,296,848,0.5241745283018868,0.6875
17,2020-01-11-17-arkansas-state,40.0,10,3.1,1,97.4,70.3,26,0.536,55,0.455,25,0.2,11,0.818,9,11,225,87.2,16.1,5,25,68,,7.7,6,0.545,30,0.3,9,45.6,31,0.565,26.9,22,25,0.64,16,0.389,7,"January 11, 2020",68.2,15,4.0,1,87.2,83.9,26,0.48100000000000004,53,0.415,22,0.7170000000000001,38,0.6579999999999999,25,6,225,97.4,29.7,11,17,76,,24.4,19,0.396,21,0.33299999999999996,7,54.4,37,0.535,20.5,18,32,0.469,15,0.667,12,"Convocation Center, Jonesboro, Arkansas",TROY,Troy,69.0,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,17,True,False,True,Home,True,7,15,53,37,68,9,16,55,1,0,86,309,894,0.4899328859060403,521,1064,0.4896616541353384,103,315,896,0.5239955357142857,0.6470588235294118
18,2020-01-16-19-appalachian-state,50.0,14,5.9,2,113.7,81.1,30,0.485,66,0.424,28,0.455,30,0.5329999999999999,16,7,225,109.6,32.6,14,26,80,,4.1,3,0.364,24,0.33299999999999996,8,55.0,44,0.498,8.1,7,42,0.47600000000000003,20,0.632,12,"January 16, 2020",45.8,11,4.8,2,109.6,67.4,29,0.466,58,0.414,24,0.621,36,0.8059999999999999,29,9,225,113.7,18.9,7,21,83,,2.7,2,0.414,24,0.25,6,45.0,36,0.5529999999999999,5.1,4,34,0.529,18,0.526,10,"Holmes Convocation Center, Boone, North Carolina",ARKANSAS-STATE,Arkansas State,64.6,Home,APPALACHIAN-STATE,Appalachian State,Arkansas State,sun-belt,18,False,False,False,Away,False,8,20,66,44,80,6,18,58,0,1,93,324,947,0.4894403379091869,558,1132,0.4929328621908127,112,331,951,0.5247108307045215,0.6666666666666666
19,2020-01-18-14-coastal-carolina,42.9,9,14.3,4,104.2,58.8,20,0.5,52,0.40399999999999997,21,0.75,39,0.718,28,7,200,111.1,38.9,14,21,80,,5.6,4,0.462,24,0.41700000000000004,10,48.6,34,0.5670000000000001,17.8,15,28,0.39299999999999996,11,0.65,13,"January 18, 2020",52.0,13,7.1,2,111.1,61.1,22,0.508,59,0.424,25,0.35600000000000004,21,0.7140000000000001,15,9,200,104.2,41.2,14,29,75,,12.5,9,0.525,31,0.32299999999999995,10,51.4,36,0.544,20.9,18,28,0.536,15,0.55,11,"The HTC Center, Conway, South Carolina",COASTAL-CAROLINA,Coastal Carolina,72.3,Away,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,19,False,False,False,Away,True,10,11,52,34,70,10,15,59,1,0,101,344,1013,0.4891411648568608,602,1212,0.4966996699669967,118,349,1009,0.5213082259663032,0.631578947368421
20,2020-01-23-20-arkansas-state,22.7,5,10.5,2,115.4,79.2,19,0.534,44,0.5,22,0.8640000000000001,38,0.632,24,9,200,109.2,22.6,7,18,71,,12.3,8,0.182,8,0.375,3,47.3,26,0.5720000000000001,11.6,8,36,0.528,19,0.5710000000000001,12,"January 23, 2020",95.5,21,11.1,4,109.2,77.4,24,0.614,44,0.5,22,0.591,26,0.8079999999999999,21,7,200,115.4,20.8,5,26,75,,3.1,2,0.568,25,0.4,10,52.7,29,0.665,21.3,15,19,0.632,12,0.667,14,"Convocation Center, Jonesboro, Arkansas",SOUTH-ALABAMA,South Alabama,64.7,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,20,True,False,True,Home,True,10,12,44,29,55,3,19,44,1,0,111,355,1065,0.4896713615023474,636,1282,0.4960998439937597,128,364,1068,0.5205992509363296,0.65
21,2020-01-25-17-troy,66.7,18,11.8,4,89.9,65.8,25,0.5870000000000001,52,0.519,27,0.519,27,0.63,17,7,200,113.0,25.0,7,29,78,,5.8,4,0.28800000000000003,15,0.467,7,48.5,32,0.602,12.3,9,37,0.541,20,0.682,15,"January 25, 2020",58.8,10,10.8,4,113.0,75.0,21,0.345,58,0.293,17,0.517,30,0.733,22,14,200,89.9,34.2,13,22,62,,7.2,5,0.414,24,0.25,6,51.5,34,0.429,13.4,11,34,0.324,11,0.364,8,"Trojan Arena, Troy, Alabama",TROY,Troy,68.5,Away,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,21,False,False,False,Away,True,7,20,52,32,66,6,11,58,1,0,121,367,1109,0.4945897204688909,665,1337,0.4973821989528796,131,383,1112,0.5211330935251799,0.6666666666666666
22,2020-01-30-20-arkansas-state,54.2,13,0.0,0,104.9,74.2,23,0.583,48,0.5,24,0.479,23,0.652,15,10,200,116.4,34.5,10,14,71,,4.9,3,0.354,17,0.47100000000000003,8,55.0,33,0.602,17.1,12,31,0.516,16,0.545,12,"January 30, 2020",80.0,16,3.2,1,116.4,65.5,19,0.48,50,0.4,20,0.38,19,0.8420000000000001,16,8,200,104.9,25.8,8,21,64,,9.8,6,0.42,21,0.381,8,45.0,27,0.542,14.6,10,29,0.414,12,0.652,15,"Convocation Center, Jonesboro, Arkansas",ARKANSAS-STATE,Arkansas State,61.0,Away,APPALACHIAN-STATE,Appalachian State,Arkansas State,sun-belt,22,False,True,True,Home,False,8,12,50,27,60,8,16,48,0,1,128,387,1161,0.4987080103359173,697,1403,0.496792587312901,137,394,1170,0.5123931623931623,0.6818181818181818
23,2020-02-01-17-arkansas-state,60.7,17,3.6,1,105.5,76.7,23,0.602,54,0.519,28,0.426,23,0.7829999999999999,18,11,200,113.7,25.9,7,33,83,,4.1,3,0.444,24,0.375,9,52.6,30,0.639,20.0,16,30,0.633,19,0.522,12,"February 1, 2020",72.2,13,3.3,1,113.7,74.1,20,0.4320000000000001,44,0.409,18,1.227,54,0.722,39,9,200,105.5,23.3,7,24,77,,8.2,6,0.364,16,0.125,2,47.4,27,0.5529999999999999,12.9,10,28,0.5710000000000001,16,0.625,15,"Convocation Center, Jonesboro, Arkansas",ARKANSAS-STATE,Arkansas State,73.3,Away,COASTAL-CAROLINA,Coastal Carolina,Arkansas State,sun-belt,23,False,True,True,Home,False,2,16,44,27,57,9,19,54,0,1,136,399,1211,0.4979355904211396,724,1463,0.4948735475051265,145,410,1218,0.5151888341543513,0.6521739130434783
24,2020-02-08-15-arkansas-little-rock,48.3,14,8.6,3,130.4,66.7,22,0.616,56,0.518,29,0.429,24,0.75,18,10,200,126.1,28.6,8,25,87,,2.9,2,0.39299999999999996,22,0.5,11,49.2,30,0.645,10.7,8,34,0.529,18,0.6,15,"February 8, 2020",60.0,15,11.8,4,126.1,71.4,20,0.517,58,0.431,25,0.603,35,0.857,30,7,200,130.4,33.3,11,17,90,,7.2,5,0.397,23,0.435,10,50.8,31,0.603,8.7,7,35,0.429,15,0.72,18,"Jack Stephens Center, Little Rock, Arkansas",ARKANSAS-STATE,Arkansas State,69.0,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Arkansas State,sun-belt,24,False,False,False,Away,False,11,18,56,30,61,10,15,58,0,1,138,415,1255,0.4956175298804781,751,1520,0.494078947368421,154,429,1272,0.5188679245283019,0.625
25,2020-02-13-20-texas-arlington,56.5,13,7.9,3,105.5,65.4,17,0.48100000000000004,54,0.426,23,0.46299999999999997,25,0.6,15,11,200,91.8,18.8,6,23,67,,15.1,11,0.37,20,0.3,6,39.7,23,0.509,17.7,14,34,0.5,17,0.5770000000000001,15,"February 13, 2020",69.2,18,8.8,3,91.8,81.3,26,0.557,53,0.491,26,0.509,27,0.667,18,15,200,105.5,34.6,9,17,77,,6.8,5,0.28300000000000003,15,0.467,7,60.3,35,0.585,19.8,16,38,0.5,19,0.423,11,"College Park Center, Arlington, Texas",ARKANSAS-STATE,Arkansas State,73.4,Home,TEXAS-ARLINGTON,Texas-Arlington,Arkansas State,sun-belt,25,False,False,False,Away,False,6,17,54,23,58,7,19,53,0,1,149,433,1311,0.5007627765064836,781,1581,0.4939911448450348,164,444,1330,0.5187969924812029,0.6
26,2020-02-15-15-texas-state,65.0,13,2.2,1,100.0,59.4,19,0.4270000000000001,55,0.364,20,0.364,20,0.85,17,12,200,92.8,27.3,9,17,64,,8.7,6,0.29100000000000004,16,0.43799999999999994,7,43.1,28,0.496,16.9,13,39,0.33299999999999996,13,0.556,15,"February 15, 2020",50.0,13,10.3,4,92.8,72.7,24,0.44299999999999995,61,0.426,26,0.295,18,0.833,15,10,200,100.0,40.6,13,19,69,,8.7,6,0.24600000000000002,15,0.133,2,56.9,37,0.496,14.8,12,46,0.522,24,0.63,17,"Strahan Coliseum, San Marcos, Texas",ARKANSAS-STATE,Arkansas State,68.5,Home,TEXAS-STATE,Texas State,Arkansas State,sun-belt,26,False,False,False,Away,False,7,13,55,28,65,2,24,61,0,1,155,450,1365,0.5,804,1639,0.4905430140329469,171,463,1383,0.5202458423716558,0.5769230769230769
