,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,STEPHEN-F-AUSTIN_homegame,STEPHEN-F-AUSTIN_homegame2,STEPHEN-F-AUSTIN_home,STEPHEN-F-AUSTIN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-18-19-stephen-f-austin,61.9,13,6.1,3,114.3,58.8,20,0.405,63,0.33299999999999996,21,0.317,20,0.85,17,9,200,81.0,20.0,8,28,68,,8.3,7,0.317,20,0.45,9,37.8,28,0.469,22.6,21,43,0.27899999999999997,12,0.0,0,"December 18, 2019",62.5,20,20.9,9,81.0,80.0,32,0.531,65,0.4920000000000001,32,0.5379999999999999,35,0.7709999999999999,27,2,200,114.3,41.2,14,20,96,,10.7,9,0.24600000000000002,16,0.313,5,62.2,46,0.588,14.8,14,49,0.551,27,0.818,9,"William Johnson Coliseum, Nacogdoches, Texas",HOUSTON-BAPTIST,Houston Baptist,83.6,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,10,True,False,True,Home,True,5,27,65,46,74,9,12,63,1,0,53,250,622,0.5297427652733119,347,611,0.5679214402618658,75,128,475,0.5063157894736842,0.8
11,2019-12-21-16-mcneese-state,56.7,17,0.0,0,98.6,76.5,26,0.589,56,0.536,30,0.375,21,0.7140000000000001,15,2,200,109.5,34.5,10,29,81,,5.4,4,0.25,14,0.429,6,57.1,36,0.614,20.7,17,42,0.5710000000000001,24,0.833,10,"December 21, 2019",59.1,13,11.9,5,109.5,65.5,19,0.531,49,0.449,22,0.735,36,0.583,21,7,200,98.6,23.5,8,19,73,,10.8,8,0.38799999999999996,19,0.42100000000000004,8,42.9,27,0.552,19.8,16,30,0.467,14,0.41700000000000004,5,"H&HP Complex, Lake Charles, Louisiana",MCNEESE-STATE,McNeese State,73.5,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,11,False,False,False,Away,True,6,24,56,36,63,8,14,49,1,0,58,277,687,0.529839883551674,393,685,0.5737226277372263,84,140,538,0.4944237918215613,0.8181818181818182
12,2019-12-28-15-stephen-f-austin,35.0,7,4.8,2,114.6,66.7,22,0.46,50,0.4,20,0.54,27,0.593,16,0,200,75.6,27.3,9,23,62,,12.2,10,0.28,14,0.429,6,47.0,31,0.493,30.4,27,36,0.389,14,0.0,0,"December 28, 2019",60.0,21,22.2,8,75.6,72.7,24,0.597,62,0.565,35,0.516,32,0.625,20,2,200,114.6,33.3,11,19,94,,17.1,14,0.32299999999999995,20,0.2,4,53.0,35,0.609,18.3,17,42,0.738,31,0.846,11,"William Johnson Coliseum, Nacogdoches, Texas","Paul Quinn
			","Paul Quinn
			",82.0,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,12,True,False,True,Home,True,4,31,62,35,66,6,14,50,1,0,64,301,743,0.5343203230148048,429,748,0.5735294117647058,92,154,587,0.4974446337308348,0.8333333333333334
13,2020-01-02-14-southeastern-louisiana,37.0,10,0.0,0,95.9,73.5,25,0.557,53,0.509,27,0.604,32,0.7190000000000001,23,2,200,110.8,40.0,12,19,82,,13.5,10,0.264,14,0.35700000000000004,5,57.8,37,0.601,21.2,18,39,0.564,22,0.857,12,"January 2, 2020",56.0,14,5.1,2,110.8,60.0,18,0.518,57,0.439,25,0.281,16,0.75,12,10,200,95.9,26.5,9,23,71,,10.8,8,0.491,28,0.321,9,42.2,27,0.55,22.9,19,29,0.552,16,0.231,3,"University Center, Hammond, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,74.4,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,13,False,False,False,Away,True,5,22,53,37,64,9,16,57,1,0,68,332,805,0.5391304347826087,464,814,0.5700245700245701,98,168,637,0.4945054945054945,0.8461538461538461
14,2020-01-04-19-new-orleans,48.5,16,11.1,4,95.8,78.1,25,0.629,58,0.569,33,0.32799999999999996,19,0.737,14,2,200,122.5,54.2,13,23,87,,9.9,7,0.24100000000000002,14,0.5,7,67.9,38,0.649,20.4,17,44,0.591,26,0.867,13,"January 4, 2020",45.0,9,2.3,1,122.5,45.8,11,0.45,50,0.4,20,0.62,31,0.742,23,10,200,95.8,21.9,7,17,68,,11.3,8,0.28,14,0.35700000000000004,5,32.1,18,0.525,18.0,14,36,0.41700000000000004,15,0.28600000000000003,4,"Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,71.4,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,14,False,False,False,Away,True,7,26,58,38,56,5,15,50,1,0,73,354,858,0.5402097902097902,501,878,0.570615034168565,107,184,694,0.4963976945244957,0.8571428571428571
15,2020-01-08-19-stephen-f-austin,60.0,15,9.5,4,101.4,65.5,19,0.698,43,0.581,25,0.326,14,0.929,13,10,200,102.8,12.5,2,23,73,,4.2,3,0.395,17,0.588,10,46.7,21,0.735,29.9,21,26,0.5770000000000001,15,0.375,6,"January 8, 2020",69.6,16,11.5,3,102.8,87.5,14,0.473,56,0.41100000000000003,23,0.48200000000000004,27,0.7040000000000001,19,3,200,101.4,34.5,10,16,72,,12.7,9,0.25,14,0.5,7,53.3,24,0.523,18.1,15,42,0.381,16,0.812,13,"William Johnson Coliseum, Nacogdoches, Texas",STEPHEN-F-AUSTIN,Stephen F. Austin,71.2,Away,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Stephen F. Austin,southland,15,False,True,True,Home,False,7,16,56,24,45,10,15,43,0,1,80,380,916,0.5458515283842795,539,934,0.5770877944325482,112,199,744,0.4932795698924731,0.8666666666666667
16,2020-01-15-20-central-arkansas,48.3,14,3.4,1,107.0,64.5,20,0.648,54,0.537,29,0.389,21,0.33299999999999996,7,3,200,108.5,32.4,11,20,77,,12.7,9,0.5,27,0.444,12,47.7,31,0.602,21.2,17,27,0.63,17,0.8240000000000001,14,"January 15, 2020",55.6,15,11.1,3,108.5,67.6,23,0.551,59,0.45799999999999996,27,0.254,15,0.733,11,13,200,107.0,35.5,11,23,76,,9.9,7,0.508,30,0.3670000000000001,11,52.3,34,0.575,19.6,16,29,0.552,16,0.278,5,"Jeff Farris Center, Conway, Arkansas",CENTRAL-ARKANSAS,Central Arkansas,70.6,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,16,False,False,False,Away,True,12,17,54,31,65,11,16,59,1,0,87,396,972,0.5416666666666666,563,979,0.575076608784474,122,214,787,0.5044472681067345,0.8125
17,2020-01-18-17-stephen-f-austin,60.9,14,10.5,4,108.1,69.6,16,0.41700000000000004,60,0.38299999999999995,23,0.11699999999999999,7,0.857,6,13,200,75.7,32.4,11,22,56,,9.5,7,0.3670000000000001,22,0.182,4,47.4,27,0.442,25.0,21,38,0.5,19,0.235,4,"January 18, 2020",63.3,19,5.3,2,75.7,67.6,23,0.623,53,0.5660000000000001,30,0.415,22,0.636,14,3,200,108.1,30.4,7,13,80,,13.5,10,0.28300000000000003,15,0.4,6,52.6,30,0.63,22.3,18,38,0.632,24,0.833,15,"William Johnson Coliseum, Nacogdoches, Texas",INCARNATE-WORD,Incarnate Word,73.9,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,17,True,False,True,Home,True,6,24,53,30,57,4,19,60,1,0,99,413,1026,0.547270955165692,594,1044,0.5689655172413793,133,230,846,0.5076832151300237,0.8235294117647058
18,2020-01-22-19-northwestern-state,47.6,10,9.4,3,80.5,74.2,23,0.4,60,0.35,21,0.5,30,0.7,21,3,200,89.6,26.3,10,23,69,,16.9,13,0.25,15,0.4,6,47.8,33,0.465,15.1,13,45,0.33299999999999996,15,0.8420000000000001,16,"January 22, 2020",26.3,5,11.1,5,89.6,73.7,28,0.389,54,0.35200000000000004,19,0.426,23,0.87,20,10,200,80.5,25.8,8,22,62,,5.2,4,0.40700000000000003,22,0.182,4,52.2,36,0.47700000000000004,23.8,20,32,0.469,15,0.41200000000000003,7,"Prather Coliseum, Natchitoches, Louisiana",NORTHWESTERN-STATE,Northwestern State,77.1,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,18,False,False,False,Away,True,6,15,60,33,69,4,15,54,1,0,105,437,1079,0.5509731232622799,624,1101,0.5667574931880109,137,249,906,0.5016556291390728,0.8333333333333334
19,2020-01-25-17-lamar,58.3,14,7.1,2,87.3,81.8,18,0.5,54,0.444,24,0.444,24,0.667,16,3,200,98.6,36.7,11,19,70,,18.3,13,0.222,12,0.5,6,55.8,29,0.535,19.9,16,42,0.429,18,0.85,17,"January 25, 2020",63.2,12,11.9,5,98.6,63.3,19,0.5379999999999999,40,0.475,19,0.575,23,0.826,19,11,200,87.3,18.2,4,19,62,,9.9,7,0.3,12,0.41700000000000004,5,44.2,23,0.609,32.4,24,28,0.5,14,0.47600000000000003,10,"Montagne Center, Beaumont, Texas",LAMAR,Lamar,70.7,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,19,False,False,False,Away,True,6,18,54,29,52,5,14,40,1,0,111,452,1139,0.5430201931518877,657,1170,0.5615384615384615,141,264,960,0.4953125,0.8421052631578947
20,2020-01-29-20-stephen-f-austin,60.0,12,10.3,4,98.6,57.1,12,0.512,43,0.465,20,0.535,23,0.7390000000000001,17,9,200,84.7,33.3,8,23,61,,12.5,9,0.256,11,0.364,4,44.4,20,0.5660000000000001,33.7,27,32,0.5,16,0.55,11,"January 29, 2020",69.2,18,9.4,3,84.7,66.7,16,0.5670000000000001,52,0.5,26,0.365,19,0.632,12,3,200,98.6,42.9,9,20,71,,19.4,14,0.25,13,0.5379999999999999,7,55.6,25,0.5820000000000001,23.9,19,39,0.48700000000000004,19,0.857,18,"William Johnson Coliseum, Nacogdoches, Texas",ABILENE-CHRISTIAN,Abilene Christian,72.0,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,20,True,False,True,Home,True,7,19,52,25,45,4,16,43,1,0,117,470,1193,0.5410729253981559,686,1222,0.5613747954173486,146,278,1000,0.49700000000000005,0.85
21,2020-02-01-18-sam-houston-state,60.0,15,14.7,5,110.1,70.4,19,0.561,49,0.51,25,0.6729999999999999,33,0.7879999999999999,26,3,200,117.4,39.3,11,12,81,,11.6,8,0.265,13,0.385,5,54.5,30,0.626,18.1,14,36,0.556,20,0.8640000000000001,19,"February 1, 2020",64.3,18,13.9,5,117.4,60.7,17,0.5579999999999999,60,0.467,28,0.15,9,1.0,9,7,200,110.1,29.6,8,23,76,,11.6,8,0.433,26,0.423,11,45.5,25,0.591,19.0,15,34,0.5,17,0.682,15,"Johnson Coliseum, Huntsville, Texas",SAM-HOUSTON-STATE,Sam Houston State,69.5,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,21,False,False,False,Away,True,5,20,49,30,55,11,17,60,1,0,124,489,1245,0.5421686746987951,711,1267,0.5611681136543015,150,294,1043,0.4976030680728668,0.8571428571428571
22,2020-02-05-19-stephen-f-austin,45.8,11,5.6,2,102.9,55.6,15,0.473,55,0.436,24,0.382,21,0.5710000000000001,12,9,200,94.1,27.6,8,24,64,,14.7,10,0.309,17,0.235,4,41.1,23,0.4920000000000001,16.8,13,38,0.526,20,0.609,14,"February 5, 2020",61.9,13,5.3,2,94.1,72.4,21,0.5,47,0.447,21,0.596,28,0.821,23,3,200,102.9,44.4,12,21,70,,7.4,5,0.23399999999999999,11,0.455,5,58.9,33,0.58,22.3,17,36,0.444,16,0.87,20,"William Johnson Coliseum, Nacogdoches, Texas",NICHOLLS-STATE,Nicholls State,67.6,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,22,True,False,True,Home,True,5,16,47,33,56,4,20,55,1,0,129,509,1294,0.5428902627511591,741,1322,0.5605143721633888,161,311,1103,0.50090661831369,0.8636363636363636
23,2020-02-08-17-stephen-f-austin,50.0,11,2.7,1,112.5,60.7,17,0.5429999999999999,47,0.46799999999999997,22,0.574,27,0.852,23,16,200,102.8,25.0,6,22,74,,6.9,5,0.319,15,0.467,7,44.2,23,0.618,23.4,18,32,0.469,15,0.304,7,"February 8, 2020",66.7,18,12.5,4,102.8,75.0,18,0.574,54,0.5,27,0.519,28,0.679,19,3,200,112.5,39.3,11,20,81,,12.5,9,0.315,17,0.47100000000000003,8,55.8,29,0.602,18.4,15,37,0.514,19,0.875,21,"William Johnson Coliseum, Nacogdoches, Texas",NEW-ORLEANS,New Orleans,71.6,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,23,True,False,True,Home,True,8,19,54,29,52,7,15,47,1,0,134,525,1341,0.5413870246085011,774,1378,0.5616835994194485,165,331,1158,0.4995682210708117,0.8695652173913043
24,2020-02-12-20-texas-am-corpus-christi,48.0,12,13.3,4,87.0,81.5,22,0.531,49,0.51,25,0.653,32,0.7190000000000001,23,3,200,97.4,31.0,9,23,75,,18.2,14,0.163,8,0.25,2,55.4,31,0.584,24.1,20,41,0.561,23,0.88,22,"February 12, 2020",42.9,9,7.3,3,97.4,69.0,20,0.5,49,0.429,21,0.469,23,0.7829999999999999,18,15,200,87.0,18.5,5,30,67,,7.8,6,0.38799999999999996,19,0.368,7,44.6,25,0.5589999999999999,28.0,23,30,0.467,14,0.4,10,"American Bank Center, Corpus Christi, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,76.6,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,24,False,False,False,Away,True,2,23,49,31,56,7,14,49,1,0,142,544,1395,0.5426523297491039,803,1430,0.5615384615384615,172,346,1205,0.5012448132780083,0.875
25,2020-02-19-19-stephen-f-austin,52.0,13,7.5,3,105.1,65.5,19,0.415,65,0.385,25,0.262,17,0.8240000000000001,14,18,200,86.1,31.6,12,21,68,,13.9,11,0.369,24,0.16699999999999998,4,46.3,31,0.465,18.1,16,41,0.512,21,0.33299999999999996,9,"February 19, 2020",59.3,16,12.2,5,86.1,68.4,26,0.536,55,0.491,27,0.509,28,0.857,24,3,200,105.1,34.5,10,20,83,,10.1,8,0.273,15,0.33299999999999996,5,53.7,36,0.608,25.5,23,40,0.55,22,0.885,23,"William Johnson Coliseum, Nacogdoches, Texas",CENTRAL-ARKANSAS,Central Arkansas,79.2,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,25,True,False,True,Home,True,5,22,55,36,67,4,21,65,1,0,144,567,1444,0.5422437673130194,834,1486,0.5612382234185733,179,360,1254,0.5011961722488039,0.88
