,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HOLY-CROSS_homegame,HOLY-CROSS_homegame2,HOLY-CROSS_home,HOLY-CROSS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-14-14-canisius,48.0,12,7.1,3,105.3,75.8,25,0.484,61,0.41,25,0.311,19,0.684,13,10,200,94.7,41.2,14,25,72,,9.2,7,0.475,29,0.31,9,58.2,39,0.514,21.5,19,32,0.5,16,0.091,1,"December 14, 2019",53.6,15,3.1,1,94.7,58.8,20,0.536,56,0.5,28,0.5539999999999999,31,0.645,20,4,200,105.3,24.2,8,17,80,,10.5,8,0.25,14,0.28600000000000003,4,41.8,28,0.5660000000000001,16.7,14,42,0.5710000000000001,24,0.556,5,"Koessler Athletic Center, Buffalo, New York",HOLY-CROSS,Holy Cross,75.9,Home,CANISIUS,Canisius,Holy Cross,patriot,10,False,False,False,Away,False,9,16,61,39,67,4,24,56,0,1,69,188,586,0.4974402730375427,301,646,0.4659442724458204,83,208,611,0.544189852700491,0.1
11,2019-12-22-12-holy-cross,31.4,11,11.4,5,91.9,62.5,25,0.588,68,0.515,35,0.191,13,0.6920000000000001,9,5,200,120.3,31.3,10,16,89,,9.5,7,0.41200000000000003,28,0.35700000000000004,10,48.6,35,0.6,11.9,10,40,0.625,25,0.583,7,"December 22, 2019",42.3,11,2.5,1,120.3,68.8,22,0.426,68,0.382,26,0.20600000000000002,14,0.7140000000000001,10,11,200,91.9,37.5,15,16,68,,5.4,4,0.353,24,0.25,6,51.4,37,0.455,15.9,14,44,0.455,20,0.083,1,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,73.9,Away,SACRED-HEART,Sacred Heart,Holy Cross,patriot,11,False,True,True,Home,False,6,20,68,37,72,10,25,68,0,1,78,204,647,0.4961360123647605,340,713,0.4768583450210378,87,232,667,0.5434782608695652,0.09090909090909093
12,2019-12-29-14-siena,42.3,11,0.0,0,110.4,82.1,23,0.527,55,0.473,26,0.109,6,0.667,4,12,200,92.5,7.4,2,19,62,,3.0,2,0.29100000000000004,16,0.375,6,45.5,25,0.536,18.4,13,39,0.513,20,0.077,1,"December 29, 2019",51.7,15,10.3,4,92.5,92.6,25,0.602,54,0.537,29,0.29600000000000004,16,0.563,9,5,200,110.4,17.9,5,8,74,,10.4,7,0.33299999999999996,18,0.389,7,54.5,30,0.601,12.8,9,36,0.611,22,0.5,5,"Times Union Center , Albany, New York",HOLY-CROSS,Holy Cross,67.2,Home,SIENA,Siena,Holy Cross,patriot,12,False,False,False,Away,False,6,20,55,25,55,7,22,54,0,1,84,224,715,0.4895104895104895,377,785,0.4802547770700637,97,257,735,0.5476190476190477,0.08333333333333333
13,2020-01-02-19-loyola-md,45.8,11,5.0,2,114.3,80.8,21,0.491,58,0.414,24,0.24100000000000002,14,0.929,13,13,200,100.0,24.1,7,22,70,,8.6,6,0.44799999999999995,26,0.34600000000000003,9,50.9,28,0.541,15.8,12,32,0.469,15,0.071,1,"January 2, 2020",44.8,13,6.3,2,100.0,75.9,22,0.594,53,0.547,29,0.47200000000000003,25,0.68,17,5,200,114.3,19.2,5,14,80,,8.6,6,0.245,13,0.385,5,49.1,27,0.617,13.5,10,40,0.6,24,0.643,9,"Reitz Arena, Baltimore, Maryland",HOLY-CROSS,Holy Cross,69.8,Home,LOYOLA-MD,Loyola (MD),Holy Cross,patriot,13,False,False,False,Away,False,9,15,58,28,55,5,24,53,0,1,90,244,770,0.4922077922077922,402,840,0.4785714285714286,104,279,789,0.5513307984790875,0.07692307692307693
14,2020-01-05-12-holy-cross,34.8,8,0.0,0,101.6,75.0,24,0.462,52,0.442,23,0.423,22,0.591,13,6,200,98.4,33.3,9,14,61,,12.9,8,0.192,10,0.2,2,55.9,33,0.488,12.7,9,42,0.5,21,0.5379999999999999,7,"January 5, 2020",58.3,14,9.5,4,98.4,66.7,18,0.58,50,0.48,24,0.32,16,0.313,5,13,200,101.6,25.0,8,18,63,,8.1,5,0.44,22,0.455,10,44.1,26,0.547,16.2,11,28,0.5,14,0.133,2,"Hart Recreation Center, Worcester, Massachusetts",NAVY,Navy,61.5,Home,HOLY-CROSS,Holy Cross,Holy Cross,patriot,14,True,False,True,Home,True,10,14,50,26,59,2,21,52,1,0,99,259,828,0.4921497584541063,430,895,0.4804469273743017,109,303,842,0.5540380047505938,0.07142857142857142
15,2020-01-08-19-lafayette,45.8,11,0.0,0,122.4,73.1,19,0.484,61,0.39299999999999996,24,0.098,6,0.833,5,14,200,95.5,24.2,8,15,64,,7.5,5,0.41,25,0.44,11,45.8,27,0.501,15.9,12,36,0.361,13,0.125,2,"January 8, 2020",65.4,17,19.4,7,95.5,75.8,25,0.618,51,0.51,26,0.431,22,0.8640000000000001,19,5,200,122.4,26.9,7,8,82,,9.0,6,0.451,23,0.478,11,54.2,32,0.667,16.5,12,28,0.536,15,0.643,9,"Kirby Sports Center, Easton, Pennsylvania",HOLY-CROSS,Holy Cross,67.2,Home,LAFAYETTE,Lafayette,Holy Cross,patriot,15,False,False,False,Away,False,11,13,61,27,59,11,15,51,0,1,109,273,878,0.4971526195899772,456,954,0.4779874213836478,111,324,894,0.5486577181208053,0.13333333333333333
16,2020-01-11-14-bucknell,31.8,7,12.5,6,105.6,69.7,23,0.5,50,0.44,22,0.28,14,0.7140000000000001,10,15,200,84.5,25.9,7,19,60,,5.6,4,0.42,21,0.28600000000000003,6,50.0,30,0.53,28.1,22,29,0.552,16,0.11800000000000001,2,"January 11, 2020",51.7,15,24.1,7,84.5,74.1,20,0.516,62,0.46799999999999997,29,0.27399999999999997,17,0.647,11,10,200,105.6,30.3,10,17,75,,16.9,12,0.226,14,0.429,6,50.0,30,0.535,12.6,10,48,0.479,23,0.41200000000000003,7,"Sojka Pavilion, Lewisburg, Pennsylvania",HOLY-CROSS,Holy Cross,70.9,Home,BUCKNELL,Bucknell,Holy Cross,patriot,16,False,False,False,Away,False,6,16,50,30,60,6,23,62,0,1,120,286,939,0.496272630457934,483,1013,0.4768015794669299,122,339,945,0.5523809523809524,0.125
17,2020-01-16-14-holy-cross,45.5,15,2.9,1,98.5,83.3,25,0.565,62,0.532,33,0.19399999999999998,12,0.75,9,10,200,116.2,14.8,4,11,79,,2.9,2,0.242,15,0.267,4,50.9,29,0.583,5.6,4,47,0.617,29,0.375,6,"January 16, 2020",46.2,12,8.5,4,116.2,85.2,23,0.508,59,0.441,26,0.203,12,0.583,7,16,200,98.5,16.7,5,11,67,,4.4,3,0.424,25,0.32,8,49.1,28,0.518,12.3,9,34,0.529,18,0.111,2,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,68.2,Away,ARMY,Army,Holy Cross,patriot,17,False,True,True,Home,False,8,18,59,28,57,4,29,62,0,1,126,302,989,0.4964610717896866,513,1073,0.478098788443616,128,362,1007,0.5501489572989077,0.1176470588235294
18,2020-01-18-16-american,37.0,10,2.3,1,120.9,90.5,19,0.518,56,0.48200000000000004,27,0.28600000000000003,16,0.688,11,17,200,103.0,39.3,11,16,69,,4.5,3,0.268,15,0.267,4,61.2,30,0.542,19.2,15,41,0.561,23,0.105,2,"January 18, 2020",37.5,12,12.2,5,103.0,60.7,17,0.654,52,0.615,32,0.34600000000000003,18,0.722,13,9,200,120.9,9.5,2,18,81,,10.4,7,0.154,8,0.5,4,38.8,19,0.669,11.8,8,44,0.636,28,0.47100000000000003,8,"Bender Arena, Washington, District of Columbia",HOLY-CROSS,Holy Cross,67.1,Home,AMERICAN,American,Holy Cross,patriot,18,False,False,False,Away,False,4,23,56,30,49,4,28,52,0,1,134,320,1048,0.4971374045801527,541,1130,0.4787610619469026,132,391,1069,0.5509822263797942,0.1111111111111111
19,2020-01-22-19-holy-cross,47.2,17,8.3,3,117.1,83.3,25,0.603,68,0.529,36,0.235,16,0.813,13,14,225,115.9,25.0,8,22,95,,8.5,7,0.294,20,0.5,10,53.2,33,0.628,15.7,14,48,0.542,26,0.263,5,"January 22, 2020",53.1,17,14.6,7,115.9,75.0,24,0.639,61,0.525,32,0.39299999999999996,24,0.75,18,17,225,117.1,16.7,5,18,96,,11.0,9,0.41,25,0.56,14,46.8,29,0.6629999999999999,17.3,15,36,0.5,18,0.15,3,"Hart Recreation Center, Worcester, Massachusetts",LEHIGH,Lehigh,72.9,Home,HOLY-CROSS,Holy Cross,Holy Cross,patriot,19,True,False,True,Home,True,14,18,61,29,62,10,26,68,1,0,138,343,1104,0.4981884057971014,571,1179,0.4843087362171332,136,419,1121,0.5557537912578056,0.10526315789473684
20,2020-01-25-14-holy-cross,58.1,18,8.6,3,94.1,86.5,32,0.5479999999999999,62,0.5,31,0.242,15,0.733,11,10,200,116.2,28.1,9,10,79,,4.4,3,0.258,16,0.375,6,59.4,41,0.5710000000000001,13.8,11,46,0.5429999999999999,25,0.524,11,"January 25, 2020",48.0,12,15.2,7,116.2,71.9,23,0.484,61,0.41,25,0.14800000000000002,9,0.556,5,18,200,94.1,13.5,5,15,64,,7.4,5,0.426,26,0.34600000000000003,9,40.6,28,0.49,7.1,5,35,0.457,16,0.14300000000000002,3,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,68.2,Away,BOSTON-UNIVERSITY,Boston University,Holy Cross,patriot,20,False,True,True,Home,False,9,16,61,28,69,6,25,62,0,1,152,361,1165,0.5055793991416309,600,1241,0.48348106365834,146,445,1189,0.5584524810765349,0.15
21,2020-01-29-19-navy,65.0,13,5.6,2,132.8,70.8,17,0.561,41,0.488,20,0.585,24,0.833,20,19,200,108.2,15.0,3,16,66,,4.9,3,0.439,18,0.33299999999999996,6,45.5,20,0.63,18.9,12,23,0.609,14,0.136,3,"January 29, 2020",59.4,19,4.3,1,108.2,85.0,17,0.632,57,0.561,32,0.175,10,0.9,9,8,200,132.8,29.2,7,18,81,,8.2,5,0.368,21,0.381,8,54.5,24,0.6559999999999999,7.5,5,36,0.667,24,0.6,12,"Alumni Hall, Annapolis, Maryland",HOLY-CROSS,Holy Cross,60.6,Home,NAVY,Navy,Holy Cross,patriot,21,False,False,False,Away,False,6,14,41,20,44,8,24,57,0,1,161,377,1226,0.5044861337683524,628,1310,0.4793893129770993,152,470,1251,0.5579536370903277,0.14285714285714285
22,2020-02-01-14-holy-cross,48.0,12,11.6,5,94.1,68.8,22,0.4920000000000001,61,0.41,25,0.295,18,0.722,13,6,200,107.4,30.3,10,12,73,,4.4,3,0.44299999999999995,27,0.37,10,49.2,32,0.525,11.6,9,34,0.441,15,0.7390000000000001,17,"February 1, 2020",44.4,12,5.9,2,107.4,69.7,23,0.47700000000000004,64,0.42200000000000004,27,0.078,5,0.6,3,20,200,94.1,31.3,10,19,64,,7.4,5,0.32799999999999996,21,0.33299999999999996,7,50.8,33,0.48200000000000004,14.2,11,43,0.465,20,0.13,3,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,68.0,Away,COLGATE,Colgate,Holy Cross,patriot,22,False,True,True,Home,False,7,20,64,33,65,10,15,61,0,1,167,391,1267,0.5063141278610892,648,1354,0.4785819793205318,160,494,1308,0.5611620795107034,0.13636363636363635
23,2020-02-05-19-holy-cross,44.8,13,7.7,2,83.3,78.8,26,0.574,54,0.537,29,0.29600000000000004,16,0.75,12,13,200,102.8,20.0,5,20,74,,19.4,14,0.29600000000000004,16,0.25,4,53.4,31,0.601,19.7,15,38,0.6579999999999999,25,0.45799999999999996,11,"February 5, 2020",42.1,8,13.2,5,102.8,80.0,20,0.429,49,0.38799999999999996,19,0.51,25,0.72,18,21,200,83.3,21.2,7,18,60,,8.3,6,0.469,23,0.174,4,46.6,27,0.493,23.1,18,26,0.5770000000000001,15,0.125,3,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,71.7,Away,LOYOLA-MD,Loyola (MD),Holy Cross,patriot,23,False,True,True,Home,False,4,15,49,27,58,4,25,54,0,1,174,411,1331,0.5048835462058603,681,1419,0.4799154334038055,170,509,1369,0.5580715850986121,0.13043478260869565
24,2020-02-08-13-boston-university,42.3,11,8.6,3,122.2,64.3,18,0.526,57,0.456,26,0.193,11,0.727,8,22,200,107.9,29.0,9,21,68,,9.5,6,0.40399999999999997,23,0.348,8,45.8,27,0.546,11.5,8,34,0.529,18,0.12,3,"February 8, 2020",40.7,11,8.8,3,107.9,71.0,22,0.556,54,0.5,27,0.5,27,0.63,17,10,200,122.2,35.7,10,14,77,,7.9,5,0.35200000000000004,19,0.316,6,54.2,32,0.5760000000000001,10.8,8,35,0.6,21,0.6,15,"Case Gym, Boston, Massachusetts",HOLY-CROSS,Holy Cross,63.0,Home,BOSTON-UNIVERSITY,Boston University,Holy Cross,patriot,24,False,False,False,Away,False,8,18,57,27,59,6,21,54,0,1,178,426,1380,0.5021739130434782,708,1477,0.4793500338524036,174,534,1423,0.5586788475052705,0.125
25,2020-02-12-19-lehigh,32.1,9,4.8,2,123.6,63.0,17,0.594,53,0.528,28,0.434,23,0.826,19,23,200,113.9,16.7,4,18,82,,8.3,6,0.28300000000000003,15,0.467,7,41.2,21,0.6409999999999999,16.0,12,38,0.5529999999999999,21,0.115,3,"February 12, 2020",54.8,17,5.3,2,113.9,83.3,20,0.573,62,0.5,31,0.33899999999999997,21,0.857,18,18,200,123.6,37.0,10,22,89,,5.6,4,0.32299999999999995,20,0.45,9,58.8,30,0.618,13.4,11,42,0.524,22,0.28,7,"Stabler Arena, Bethlehem, Pennsylvania",HOLY-CROSS,Holy Cross,72.5,Home,LEHIGH,Lehigh,Holy Cross,patriot,25,False,False,False,Away,False,7,21,53,21,51,9,22,62,0,1,186,444,1437,0.5031315240083507,735,1536,0.478515625,180,555,1477,0.5585646580907244,0.12
26,2020-02-15-14-holy-cross,35.7,10,5.4,2,89.9,83.8,31,0.517,59,0.475,28,0.237,14,0.7859999999999999,11,9,200,104.3,24.1,7,16,72,,4.3,3,0.35600000000000004,21,0.23800000000000002,5,57.6,38,0.5479999999999999,15.6,12,38,0.605,23,0.64,16,"February 15, 2020",30.4,7,7.9,3,104.3,75.9,22,0.42200000000000004,58,0.397,23,0.31,18,0.722,13,24,200,89.9,16.2,6,16,62,,7.2,5,0.36200000000000004,21,0.14300000000000002,3,42.4,28,0.466,9.6,7,37,0.541,20,0.111,3,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,69.1,Away,LAFAYETTE,Lafayette,Holy Cross,patriot,26,False,True,True,Home,False,3,20,58,28,66,5,23,59,0,1,193,465,1490,0.5063758389261745,756,1587,0.4763705103969754,189,577,1539,0.5591293047433399,0.1153846153846154
