,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PORTLAND_homegame,PORTLAND_homegame2,PORTLAND_home,PORTLAND_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
13,2019-12-23-16-boise-state,38.5,10,0.0,0,121.4,67.9,19,0.518,56,0.46399999999999997,26,0.28600000000000003,16,0.688,11,6,200,98.6,10.0,3,21,69,,4.3,3,0.321,18,0.33299999999999996,6,37.9,22,0.542,13.7,10,38,0.526,20,0.5710000000000001,8,"December 23, 2019",60.7,17,2.6,1,98.6,90.0,27,0.57,57,0.491,28,0.456,26,0.769,20,5,200,121.4,32.1,9,18,85,,8.6,6,0.456,26,0.34600000000000003,9,62.1,36,0.613,11.6,9,31,0.613,19,0.583,7,"Stan Sheriff Center, Honolulu, Hawaii",PORTLAND,Portland,70.0,Home,BOISE-STATE,Boise State,Portland,wcc,13,False,False,False,Away,False,6,20,56,22,58,9,19,57,0,1,103,211,694,0.5266570605187321,394,839,0.4696066746126341,82,236,804,0.4465174129353234,0.6153846153846154
14,2019-12-25-13-ball-state,42.1,8,12.0,3,88.4,66.7,24,0.377,53,0.358,19,0.132,7,0.857,6,7,200,66.7,22.6,7,11,46,,11.6,8,0.321,17,0.11800000000000001,2,46.3,31,0.408,23.3,17,36,0.47200000000000003,17,0.5329999999999999,8,"December 25, 2019",61.9,13,8.3,3,66.7,77.4,24,0.419,62,0.33899999999999997,21,0.177,11,0.818,9,6,200,88.4,33.3,12,13,61,,15.9,11,0.597,37,0.27,10,53.7,36,0.45399999999999996,19.3,16,25,0.44,11,0.5379999999999999,7,"Stan Sheriff Center, Honolulu, Hawaii",PORTLAND,Portland,68.8,Home,BALL-STATE,Ball State,Portland,wcc,14,False,False,False,Away,False,2,17,53,31,67,10,11,62,0,1,109,231,750,0.526,416,897,0.463768115942029,91,255,861,0.4547038327526132,0.5714285714285714
15,2020-01-02-22-portland,54.5,18,14.0,6,105.9,83.3,20,0.569,65,0.508,33,0.354,23,0.478,11,1,200,125.0,35.1,13,12,85,1.0,7.4,5,0.385,25,0.32,8,54.1,33,0.56,5.1,4,40,0.625,25,0.938,15,"January 2, 2020",51.7,15,12.5,5,125.0,64.9,24,0.589,56,0.518,29,0.179,10,0.6,6,8,200,105.9,16.7,4,18,72,,5.9,4,0.23199999999999998,13,0.615,8,45.9,28,0.593,16.6,12,43,0.488,21,0.5,8,"Chiles Center, Portland, Oregon",PORTLAND,Portland,67.8,Away,GONZAGA,Gonzaga,Portland,wcc,15,False,True,True,Home,False,8,21,56,28,61,8,25,65,0,1,111,248,803,0.5161892901618929,447,964,0.4636929460580913,101,266,923,0.45232936078006497,0.5333333333333333
16,2020-01-04-22-portland,56.0,14,10.5,4,108.6,75.0,21,0.5,59,0.424,25,0.153,9,0.667,6,6,200,92.9,34.4,11,22,65,,10.0,7,0.475,28,0.321,9,53.3,32,0.514,23.2,19,31,0.516,16,0.647,11,"January 4, 2020",60.0,15,16.1,5,92.9,65.6,21,0.5589999999999999,51,0.49,25,0.47100000000000003,24,0.792,19,8,200,108.6,25.0,7,15,76,,14.3,10,0.255,13,0.5379999999999999,7,46.7,28,0.609,17.4,13,38,0.474,18,0.529,9,"Chiles Center, Portland, Oregon",SAN-FRANCISCO,San Francisco,69.8,Home,PORTLAND,Portland,Portland,wcc,16,True,False,True,Home,True,7,18,51,28,60,9,16,59,1,0,119,269,859,0.5209545983701979,475,1025,0.4634146341463415,109,291,988,0.4600202429149798,0.5
17,2020-01-11-21-brigham-young,55.6,15,14.6,6,133.3,72.7,24,0.475,61,0.44299999999999995,27,0.24600000000000002,15,0.8,12,9,200,97.2,20.6,7,13,70,,1.4,1,0.27899999999999997,17,0.235,4,46.3,31,0.514,14.0,11,44,0.523,23,0.5,9,"January 11, 2020",78.4,29,2.3,1,97.2,79.4,27,0.627,71,0.521,37,0.141,10,0.7,7,5,200,133.3,27.3,9,17,96,,6.9,5,0.423,30,0.5,15,53.7,36,0.634,6.2,5,41,0.537,22,0.722,13,"Marriott Center, Provo, Utah",PORTLAND,Portland,71.9,Home,BRIGHAM-YOUNG,BYU,Portland,wcc,17,False,False,False,Away,False,4,23,61,31,67,15,22,71,0,1,126,287,910,0.5230769230769231,503,1085,0.463594470046083,118,307,1047,0.4622731614135626,0.5294117647058824
18,2020-01-16-22-portland,81.0,17,10.9,5,75.3,81.8,27,0.451,51,0.41200000000000003,21,0.529,27,0.7040000000000001,19,5,200,89.0,20.0,6,23,65,,11.0,8,0.33299999999999996,17,0.235,4,52.4,33,0.509,17.1,13,34,0.5,17,0.75,15,"January 16, 2020",29.4,5,5.9,2,89.0,80.0,24,0.34299999999999997,51,0.33299999999999996,17,0.569,29,0.69,20,10,200,75.3,18.2,6,25,55,,8.2,6,0.098,5,0.2,1,47.6,30,0.425,20.1,16,46,0.348,16,0.474,9,"Chiles Center, Portland, Oregon",PORTLAND,Portland,72.8,Away,PACIFIC,Pacific,Portland,wcc,18,False,True,True,Home,False,1,16,51,30,63,4,17,51,0,1,130,310,971,0.5200823892893924,534,1152,0.4635416666666667,133,329,1118,0.4727191413237925,0.5
19,2020-01-18-22-portland,50.0,13,10.4,5,90.5,68.6,24,0.544,57,0.456,26,0.42100000000000004,24,0.625,15,13,200,104.1,33.3,11,20,77,,8.1,6,0.386,22,0.455,10,51.5,35,0.563,18.2,15,35,0.457,16,0.381,8,"January 18, 2020",32.1,9,5.7,2,104.1,66.7,22,0.47700000000000004,64,0.43799999999999994,28,0.21899999999999997,14,0.429,6,11,200,90.5,31.4,11,22,67,,6.8,5,0.25,16,0.313,5,48.5,33,0.474,17.6,15,48,0.479,23,0.45,9,"Chiles Center, Portland, Oregon",PORTLAND,Portland,73.5,Away,SAN-DIEGO,San Diego,Portland,wcc,19,False,True,True,Home,False,5,23,64,33,68,10,16,57,0,1,131,326,1022,0.5112524461839529,564,1215,0.4641975308641975,137,346,1169,0.4717707442258341,0.4736842105263158
20,2020-01-23-22-loyola-marymount,65.0,13,8.7,2,111.6,69.2,18,0.4320000000000001,59,0.33899999999999997,20,0.305,18,0.778,14,12,200,94.2,11.1,4,16,65,,14.5,10,0.627,37,0.297,11,35.5,22,0.48100000000000004,8.2,6,22,0.409,9,0.429,9,"January 23, 2020",81.5,22,4.5,1,94.2,88.9,32,0.625,52,0.519,27,0.308,16,0.75,12,12,200,111.6,30.8,8,17,77,,4.3,3,0.5579999999999999,29,0.379,11,64.5,40,0.6459999999999999,22.4,17,23,0.696,16,0.4,8,"Albert Gersten Pavilion, Los Angeles, California",PORTLAND,Portland,69.1,Home,LOYOLA-MARYMOUNT,Loyola Marymount,Portland,wcc,20,False,False,False,Away,False,11,9,59,22,62,11,16,52,0,1,136,349,1086,0.5092081031307549,597,1283,0.465315666406859,147,362,1226,0.4751223491027732,0.45
21,2020-01-25-20-pepperdine,66.7,18,5.9,2,105.3,70.0,28,0.517,59,0.45799999999999996,27,0.203,12,0.667,8,13,200,90.8,9.1,3,17,69,,5.3,4,0.40700000000000003,24,0.292,7,42.5,31,0.5329999999999999,18.9,15,35,0.5710000000000001,20,0.409,9,"January 25, 2020",72.4,21,11.4,4,90.8,90.9,30,0.507,70,0.414,29,0.22899999999999998,16,0.563,9,10,200,105.3,30.0,12,19,80,,13.2,10,0.514,36,0.361,13,57.5,42,0.515,11.5,10,34,0.47100000000000003,16,0.524,11,"Firestone Fieldhouse, Malibu, California",PORTLAND,Portland,76.2,Home,PEPPERDINE,Pepperdine,Portland,wcc,21,False,False,False,Away,False,7,20,59,31,73,13,16,70,0,1,147,358,1145,0.505240174672489,619,1345,0.4602230483271376,158,378,1278,0.4812206572769953,0.42857142857142855
22,2020-01-30-22-saint-marys-ca,44.0,11,20.0,4,126.5,89.7,26,0.529,52,0.48100000000000004,25,0.28800000000000003,15,0.6,9,14,200,94.1,15.4,4,11,64,,1.5,1,0.34600000000000003,18,0.278,5,54.5,30,0.541,18.2,13,34,0.588,20,0.391,9,"January 30, 2020",71.9,23,2.9,1,94.1,84.6,22,0.6829999999999999,60,0.5329999999999999,32,0.11699999999999999,7,0.5710000000000001,4,4,200,126.5,10.3,3,14,86,,13.2,9,0.667,40,0.45,18,45.5,25,0.679,11.3,8,20,0.7,14,0.826,19,"McKeon Pavilion, Moraga, California",PORTLAND,Portland,68.2,Home,SAINT-MARYS-CA,Saint Mary's,Portland,wcc,22,False,False,False,Away,False,5,20,52,30,55,18,14,60,0,1,154,378,1204,0.5058139534883721,650,1418,0.458392101551481,171,394,1348,0.482566765578635,0.4090909090909091
23,2020-02-01-20-portland,61.3,19,4.8,2,79.2,80.5,33,0.627,59,0.525,31,0.373,22,0.5,11,6,200,110.4,15.2,5,18,85,,14.3,11,0.39,23,0.522,12,51.4,38,0.612,13.8,11,36,0.528,19,0.75,18,"February 1, 2020",44.0,11,5.6,2,110.4,84.8,28,0.435,62,0.40299999999999997,25,0.258,16,0.43799999999999994,7,15,200,79.2,19.5,8,16,61,,6.5,5,0.32299999999999995,20,0.2,4,48.6,36,0.43799999999999994,18.8,16,42,0.5,21,0.375,9,"Chiles Center, Portland, Oregon",PORTLAND,Portland,76.5,Away,SANTA-CLARA,Santa Clara,Portland,wcc,23,False,True,True,Home,False,4,21,62,36,74,12,19,59,0,1,159,398,1256,0.5067675159235668,680,1473,0.461642905634759,189,408,1408,0.4911221590909091,0.39130434782608703
24,2020-02-06-22-portland,58.6,17,13.5,5,74.0,92.5,37,0.614,57,0.509,29,0.35100000000000003,20,0.75,15,7,200,116.4,28.6,8,19,85,,4.1,3,0.491,28,0.429,12,66.2,45,0.639,17.5,14,29,0.586,17,0.72,18,"February 6, 2020",56.3,9,10.3,3,116.4,71.4,20,0.33299999999999996,57,0.281,16,0.368,21,0.762,16,16,200,74.0,7.5,3,19,54,,8.2,6,0.35100000000000003,20,0.3,6,33.8,23,0.40299999999999997,13.1,10,37,0.27,10,0.36,9,"Chiles Center, Portland, Oregon",PORTLAND,Portland,73.2,Away,BRIGHAM-YOUNG,BYU,Portland,wcc,24,False,True,True,Home,False,6,10,57,23,68,12,17,57,0,1,163,419,1318,0.5034142640364189,716,1547,0.4628312863606982,201,427,1467,0.4965916837082481,0.375
25,2020-02-08-22-san-diego,48.5,16,10.6,5,102.3,80.6,29,0.479,73,0.452,33,0.21899999999999997,16,0.688,11,17,250,94.2,23.7,9,23,81,,8.1,7,0.26,19,0.21100000000000002,4,51.4,38,0.502,14.9,14,54,0.537,29,0.34600000000000003,9,"February 8, 2020",51.6,16,7.4,4,94.2,76.3,29,0.5,69,0.449,31,0.377,26,0.731,19,17,250,102.3,19.4,7,19,88,,10.5,9,0.319,22,0.318,7,48.6,36,0.541,13.0,12,47,0.511,24,0.34600000000000003,9,"Jenny Craig Pavillion, San Diego, California",PORTLAND,Portland,68.8,Home,SAN-DIEGO,San Diego,Portland,wcc,25,False,False,False,Away,False,4,29,73,38,74,7,24,69,0,1,169,429,1375,0.4963636363636363,739,1615,0.4575851393188855,213,444,1524,0.5009842519685039,0.36
26,2020-02-13-22-pacific,15.8,3,2.4,1,104.2,65.5,19,0.457,46,0.413,19,0.413,19,0.684,13,18,200,76.4,6.9,2,16,55,,5.6,4,0.28300000000000003,13,0.308,4,36.2,21,0.5,24.9,18,33,0.455,15,0.33299999999999996,9,"February 13, 2020",43.3,13,12.1,4,76.4,93.1,27,0.542,60,0.5,30,0.267,16,0.625,10,8,200,104.2,34.5,10,22,75,,16.7,12,0.317,19,0.263,5,63.8,37,0.555,19.3,16,41,0.61,25,0.7140000000000001,20,"A.G. Spanos Center, Stockton, California",PORTLAND,Portland,72.3,Home,PACIFIC,Pacific,Portland,wcc,26,False,False,False,Away,False,4,15,46,21,58,5,25,60,0,1,173,458,1448,0.4955110497237569,777,1689,0.4600355239786856,220,468,1593,0.5009416195856874,0.3461538461538461
27,2020-02-20-21-portland,55.6,10,9.4,3,80.8,82.9,29,0.386,57,0.316,18,0.526,30,0.733,22,13,200,90.4,39.5,15,19,66,,9.6,7,0.42100000000000004,24,0.33299999999999996,8,60.3,44,0.46299999999999997,20.4,18,33,0.303,10,0.536,15,"February 20, 2020",50.0,10,21.2,7,90.4,60.5,23,0.409,55,0.364,20,0.29100000000000004,16,0.875,14,19,200,80.8,17.1,6,26,59,,12.3,9,0.418,23,0.217,5,39.7,29,0.47100000000000003,20.5,16,32,0.469,15,0.321,9,"Chiles Center, Portland, Oregon",PORTLAND,Portland,73.4,Away,PEPPERDINE,Pepperdine,Portland,wcc,27,False,True,True,Home,False,5,15,55,29,73,8,10,57,0,1,177,473,1494,0.4943105756358768,798,1747,0.4567830566685747,225,493,1653,0.5024198427102239,0.3333333333333333
