,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PRESBYTERIAN_homegame,PRESBYTERIAN_homegame2,PRESBYTERIAN_home,PRESBYTERIAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-18-19-presbyterian,40.0,12,4.0,1,87.9,80.8,21,0.598,61,0.4920000000000001,30,0.18,11,0.727,8,6,200,122.7,38.5,10,15,81,,9.1,6,0.508,31,0.419,13,59.6,31,0.612,13.2,10,30,0.5670000000000001,17,0.5379999999999999,7,"December 18, 2019",30.0,6,6.7,2,122.7,61.5,16,0.489,46,0.435,20,0.348,16,0.813,13,9,200,87.9,19.2,5,15,58,,6.1,4,0.457,21,0.23800000000000002,5,40.4,21,0.541,25.3,18,25,0.6,15,0.182,2,"Ross E.Templeton Center, Clinton, South Carolina",PRESBYTERIAN,Presbyterian,66.4,Away,JACKSONVILLE,Jacksonville,Presbyterian,big-south,10,False,True,True,Home,False,5,15,46,21,52,13,17,61,0,1,58,186,576,0.4739583333333333,316,671,0.4709388971684054,95,158,582,0.5163230240549829,0.2
11,2019-12-21-12-michigan,41.2,7,3.8,1,132.3,53.8,14,0.308,60,0.28300000000000003,17,0.183,11,0.636,7,10,200,67.7,21.1,8,19,44,,6.2,4,0.33299999999999996,20,0.15,3,34.4,22,0.337,14.5,11,40,0.35,14,0.16699999999999998,2,"December 21, 2019",50.0,14,15.0,6,67.7,78.9,30,0.632,53,0.528,28,0.47200000000000003,25,0.76,19,3,200,132.3,46.2,12,12,86,14.0,10.8,7,0.509,27,0.40700000000000003,11,65.6,42,0.6629999999999999,11.1,8,26,0.654,17,0.75,9,"Crisler Arena, Ann Arbor, Michigan",PRESBYTERIAN,Presbyterian,64.6,Home,MICHIGAN,Michigan,Presbyterian,big-south,11,False,False,False,Away,False,3,14,60,22,64,11,17,53,0,1,63,201,622,0.4750803858520901,337,723,0.4661134163208852,108,175,643,0.5241057542768274,0.18181818181818185
12,2019-12-29-14-presbyterian,45.0,9,6.7,3,120.9,73.3,22,0.43,57,0.35100000000000003,20,0.193,11,0.636,7,0,200,83.6,10.8,4,9,56,,0.0,0,0.491,28,0.321,9,38.8,26,0.45,12.7,9,29,0.379,11,0.0,0,"December 29, 2019",51.4,18,6.9,2,83.6,89.2,33,0.602,64,0.547,35,0.141,9,0.444,4,10,200,120.9,26.7,8,15,81,,10.4,7,0.297,19,0.368,7,61.2,41,0.593,8.1,6,45,0.622,28,0.231,3,"Ross E.Templeton Center, Clinton, South Carolina","Kentucky Christian
			","Kentucky Christian
			",66.8,Home,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,12,True,False,True,Home,True,7,28,64,41,67,9,11,57,1,0,66,215,682,0.4604105571847507,359,787,0.4561626429479034,119,192,696,0.5323275862068966,0.16666666666666666
13,2020-01-02-19-presbyterian,53.8,14,5.7,2,109.7,66.7,10,0.561,57,0.456,26,0.33299999999999996,19,0.684,13,6,200,106.9,17.9,5,15,77,,13.9,10,0.439,25,0.48,12,34.9,15,0.583,16.6,13,32,0.43799999999999994,14,0.5,6,"January 2, 2020",53.1,17,12.5,4,106.9,82.1,23,0.7140000000000001,49,0.653,32,0.265,13,0.6920000000000001,9,10,200,109.7,33.3,5,15,79,,9.7,7,0.28600000000000003,14,0.429,6,65.1,28,0.716,26.8,20,35,0.743,26,0.28600000000000003,4,"Ross E.Templeton Center, Clinton, South Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,72.1,Home,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,13,True,False,True,Home,True,6,26,49,28,43,12,14,57,1,0,73,243,746,0.4725201072386059,400,854,0.468384074941452,128,203,753,0.5245683930942895,0.2307692307692308
14,2020-01-04-15-gardner-webb,50.0,10,16.7,5,84.9,73.2,30,0.418,55,0.364,20,0.491,27,0.815,22,10,200,93.2,36.1,13,21,68,,5.5,4,0.382,21,0.28600000000000003,6,55.8,43,0.501,21.2,18,34,0.41200000000000003,14,0.33299999999999996,5,"January 4, 2020",52.9,9,23.5,8,93.2,63.9,23,0.364,59,0.28800000000000003,17,0.45799999999999996,27,0.7040000000000001,19,9,200,84.9,26.8,11,20,62,,11.0,8,0.4920000000000001,29,0.31,9,44.2,34,0.4320000000000001,15.5,13,30,0.267,8,0.35700000000000004,5,"Paul Porter Arena, Boiling Springs, North Carolina",GARDNER-WEBB,Gardner-Webb,73.3,Away,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,14,False,False,False,Away,True,6,14,55,43,77,9,8,59,1,0,79,269,795,0.4874213836477987,428,897,0.4771460423634337,140,217,810,0.5271604938271605,0.2857142857142857
15,2020-01-11-16-presbyterian,38.9,7,9.5,2,116.7,85.7,24,0.457,46,0.391,18,0.696,32,0.625,20,13,200,93.9,20.6,7,24,62,,9.1,6,0.261,12,0.5,6,50.0,31,0.507,16.6,12,34,0.353,12,0.188,3,"January 11, 2020",73.7,14,2.9,1,93.9,79.4,27,0.545,44,0.4320000000000001,19,0.841,37,0.784,29,10,200,116.7,14.3,4,25,77,,7.6,5,0.523,23,0.435,10,50.0,31,0.625,13.0,9,21,0.429,9,0.375,6,"Ross E.Templeton Center, Clinton, South Carolina",HIGH-POINT,High Point,66.4,Home,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,15,True,False,True,Home,True,10,9,44,31,62,6,12,46,1,0,85,283,850,0.4829411764705882,471,974,0.4835728952772074,149,225,869,0.5161104718066744,0.3333333333333333
16,2020-01-16-19-longwood,75.0,18,3.6,1,95.7,73.5,25,0.674,43,0.5579999999999999,24,0.5579999999999999,24,0.667,16,10,200,105.7,8.3,2,24,74,,7.1,5,0.512,22,0.455,10,46.6,27,0.68,21.9,15,21,0.667,14,0.41200000000000003,7,"January 16, 2020",36.8,7,4.8,1,105.7,91.7,22,0.39299999999999996,56,0.33899999999999997,19,0.536,30,0.767,23,12,200,95.7,26.5,9,19,67,,17.1,12,0.5,28,0.214,6,53.4,31,0.47700000000000004,14.8,12,28,0.46399999999999997,13,0.33299999999999996,6,"Willett Hall, Farmville, Virginia",LONGWOOD,Longwood,70.3,Away,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,16,False,False,False,Away,True,10,14,43,27,58,6,13,56,1,0,95,292,894,0.4860178970917226,502,1036,0.4845559845559845,155,237,915,0.5131147540983606,0.375
17,2020-01-18-16-presbyterian,50.0,15,12.9,4,95.5,83.3,25,0.598,56,0.536,30,0.28600000000000003,16,0.5,8,7,200,111.9,21.4,6,24,75,,10.4,7,0.39299999999999996,22,0.318,7,53.4,31,0.59,11.3,8,34,0.6759999999999999,23,0.588,10,"January 18, 2020",65.0,13,5.9,2,111.9,78.6,22,0.45899999999999996,49,0.408,20,0.551,27,0.7040000000000001,19,11,200,95.5,16.7,5,20,64,,1.5,1,0.3670000000000001,18,0.278,5,46.6,27,0.518,15.3,11,31,0.484,15,0.389,7,"Ross E.Templeton Center, Clinton, South Carolina",PRESBYTERIAN,Presbyterian,66.7,Away,RADFORD,Radford,Presbyterian,big-south,17,False,True,True,Home,False,5,15,49,27,58,7,23,56,0,1,105,306,937,0.4946638207043757,529,1094,0.4835466179159049,161,250,971,0.5061791967044285,0.4117647058823529
18,2020-01-20-19-presbyterian,50.0,14,8.3,3,113.3,77.8,14,0.609,55,0.509,28,0.255,14,0.857,12,8,200,105.3,13.0,3,19,79,,16.0,12,0.436,24,0.45799999999999996,11,41.5,17,0.6409999999999999,21.8,17,31,0.5479999999999999,17,0.579,11,"January 20, 2020",54.8,17,0.0,0,105.3,87.0,20,0.6940000000000001,49,0.633,31,0.469,23,0.7390000000000001,17,11,200,113.3,22.2,4,17,85,,13.3,10,0.265,13,0.462,6,58.5,24,0.7090000000000001,24.3,19,36,0.6940000000000001,25,0.42100000000000004,8,"Ross E.Templeton Center, Clinton, South Carolina",CAMPBELL,Campbell,75.3,Home,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,18,True,False,True,Home,True,6,25,49,24,41,11,17,55,1,0,110,321,986,0.4929006085192698,556,1152,0.4826388888888889,168,273,1027,0.5111976630963972,0.3888888888888889
19,2020-01-23-19-charleston-southern,57.1,12,8.6,3,112.1,79.4,27,0.51,48,0.43799999999999994,21,0.479,23,0.7390000000000001,17,12,200,100.0,29.6,8,15,66,,7.6,5,0.396,19,0.368,7,57.4,35,0.56,20.5,15,29,0.483,14,0.4,8,"January 23, 2020",53.6,15,6.9,2,100.0,70.4,19,0.56,58,0.483,28,0.24100000000000002,14,0.643,9,9,200,112.1,20.6,7,19,74,,9.1,6,0.397,23,0.391,9,42.6,26,0.5720000000000001,11.1,8,35,0.5429999999999999,19,0.526,10,"CSU Fieldhouse, Charleston, South Carolina",PRESBYTERIAN,Presbyterian,65.8,Home,CHARLESTON-SOUTHERN,Charleston Southern,Presbyterian,big-south,19,False,False,False,Away,False,7,14,48,35,61,9,19,58,0,1,116,346,1035,0.5024154589371981,580,1193,0.4861693210393965,179,290,1082,0.5161737523105361,0.42105263157894735
20,2020-01-25-14-winthrop,44.4,8,10.3,3,100.0,61.3,19,0.456,45,0.4,18,0.489,22,0.727,16,13,200,79.2,31.0,9,26,57,,15.3,11,0.42200000000000004,19,0.263,5,46.7,28,0.514,31.4,25,26,0.5,13,0.381,8,"January 25, 2020",45.5,10,15.4,4,79.2,69.0,20,0.48100000000000004,53,0.415,22,0.509,27,0.778,21,7,200,100.0,38.7,12,20,72,,19.4,14,0.45299999999999996,24,0.292,7,53.3,32,0.547,22.7,19,29,0.517,15,0.667,14,"Winthrop Coliseum, Rock Hill, South Carolina",PRESBYTERIAN,Presbyterian,72.1,Home,WINTHROP,Winthrop,Presbyterian,big-south,20,False,False,False,Away,False,5,13,45,28,60,7,15,53,0,1,123,360,1083,0.5027700831024929,615,1254,0.4904306220095694,188,309,1140,0.5184210526315789,0.4
21,2020-01-30-19-presbyterian,37.9,11,3.0,1,117.5,50.0,14,0.684,49,0.5920000000000001,29,0.34700000000000003,17,0.588,10,13,200,122.2,9.5,2,21,77,,11.1,7,0.3670000000000001,18,0.5,9,32.7,16,0.675,12.4,8,31,0.645,20,0.409,9,"January 30, 2020",30.8,8,9.7,3,122.2,90.5,19,0.5579999999999999,52,0.5,26,0.423,22,0.727,16,14,200,117.5,50.0,14,16,74,,6.3,4,0.365,19,0.316,6,67.3,33,0.5920000000000001,19.6,15,33,0.606,20,0.364,8,"Ross E.Templeton Center, Clinton, South Carolina",PRESBYTERIAN,Presbyterian,63.3,Away,SOUTH-CAROLINA-UPSTATE,USC Upstate,Presbyterian,big-south,21,False,True,True,Home,False,6,20,52,33,49,9,20,49,0,1,128,373,1128,0.500886524822695,643,1314,0.4893455098934551,195,324,1193,0.5167644593461861,0.3809523809523809
22,2020-02-01-16-hampton,51.7,15,2.0,1,108.8,66.7,24,0.5,67,0.433,29,0.32799999999999996,22,0.636,14,15,225,101.3,21.6,8,29,81,,6.3,5,0.373,25,0.36,9,43.8,32,0.523,12.5,11,42,0.47600000000000003,20,0.348,8,"February 1, 2020",53.6,15,16.7,7,101.3,78.4,29,0.475,61,0.45899999999999996,28,0.6559999999999999,40,0.725,29,12,225,108.8,33.3,12,23,87,,5.0,4,0.16399999999999998,10,0.2,2,56.2,41,0.544,12.3,11,51,0.51,26,0.455,10,"Hampton Convocation Center, Hampton, Virginia",PRESBYTERIAN,Presbyterian,70.9,Home,HAMPTON,Hampton,Presbyterian,big-south,22,False,False,False,Away,False,9,20,67,32,73,2,26,61,0,1,134,393,1180,0.5033898305084745,676,1363,0.495964783565664,204,344,1242,0.5233494363929146,0.3636363636363637
23,2020-02-06-19-presbyterian,55.0,11,10.7,3,101.6,57.1,16,0.445,55,0.364,20,0.327,18,0.667,12,14,200,95.3,25.0,9,17,61,,10.9,7,0.545,30,0.3,9,39.1,25,0.48,14.9,11,25,0.44,11,0.391,9,"February 6, 2020",50.0,10,4.0,1,95.3,75.0,27,0.48,49,0.408,20,0.429,21,0.857,18,15,200,101.6,42.9,12,18,65,,9.4,6,0.429,21,0.33299999999999996,7,60.9,39,0.551,20.5,15,28,0.46399999999999997,13,0.375,9,"Ross E.Templeton Center, Clinton, South Carolina",GARDNER-WEBB,Gardner-Webb,63.8,Home,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,23,True,False,True,Home,True,7,13,49,39,64,9,11,55,1,0,143,413,1247,0.5032076984763433,708,1436,0.4930362116991643,206,370,1303,0.5211051419800461,0.3478260869565217
24,2020-02-08-16-campbell,66.7,14,0.0,0,129.5,69.0,20,0.511,46,0.457,21,0.413,19,0.789,15,16,200,101.6,23.1,6,20,62,,8.2,5,0.413,19,0.263,5,47.3,26,0.563,19.3,13,27,0.593,16,0.36,9,"February 8, 2020",73.3,22,3.7,1,101.6,76.9,20,0.632,53,0.5660000000000001,30,0.34,18,0.667,12,12,200,129.5,31.0,9,15,79,,11.5,7,0.321,17,0.41200000000000003,7,52.7,29,0.642,10.3,7,36,0.639,23,0.5,12,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",PRESBYTERIAN,Presbyterian,60.8,Home,CAMPBELL,Campbell,Presbyterian,big-south,24,False,False,False,Away,False,5,16,46,26,55,7,23,53,0,1,150,426,1296,0.5023148148148148,747,1500,0.498,215,381,1358,0.5180412371134021,0.375
25,2020-02-13-19-radford,28.0,7,0.0,0,124.6,64.0,16,0.5820000000000001,49,0.51,25,0.38799999999999996,19,0.737,14,17,200,109.2,4.2,1,19,71,,4.6,3,0.38799999999999996,19,0.368,7,34.7,17,0.612,14.8,10,30,0.6,18,0.34600000000000003,9,"February 13, 2020",71.4,20,6.7,2,109.2,95.8,23,0.611,54,0.519,28,0.40700000000000003,22,0.682,15,9,200,124.6,36.0,9,18,81,,9.2,6,0.519,28,0.35700000000000004,10,65.3,32,0.628,11.2,8,26,0.6920000000000001,18,0.64,16,"Donald N. Dedmon Center, Radford, Virginia",PRESBYTERIAN,Presbyterian,65.2,Home,RADFORD,Radford,Presbyterian,big-south,25,False,False,False,Away,False,7,18,49,17,49,10,18,54,0,1,155,442,1342,0.5026080476900149,773,1555,0.4971061093247589,222,404,1411,0.5223245924875974,0.36
26,2020-02-15-16-presbyterian,53.3,16,8.1,3,118.9,86.2,25,0.5920000000000001,60,0.5,30,0.5,30,0.6,18,9,200,120.3,36.1,13,27,89,,8.1,6,0.517,31,0.355,11,58.5,38,0.599,15.1,13,29,0.655,19,0.679,19,"February 15, 2020",37.9,11,3.4,1,120.3,63.9,23,0.606,52,0.5579999999999999,29,0.7120000000000001,37,0.6759999999999999,25,18,200,118.9,13.8,4,23,88,,9.5,7,0.28800000000000003,15,0.33299999999999996,5,41.5,27,0.632,11.6,9,37,0.649,24,0.33299999999999996,9,"Ross E.Templeton Center, Clinton, South Carolina",PRESBYTERIAN,Presbyterian,74.4,Away,WINTHROP,Winthrop,Presbyterian,big-south,26,False,True,True,Home,False,5,24,52,27,65,11,19,60,0,1,162,460,1391,0.505391804457225,790,1604,0.4925187032418953,232,422,1465,0.5255972696245734,0.3461538461538461
