,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTHEASTERN-LOUISIANA_homegame,SOUTHEASTERN-LOUISIANA_homegame2,SOUTHEASTERN-LOUISIANA_home,SOUTHEASTERN-LOUISIANA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-21-14-mississippi,75.0,24,0.0,0,120.3,54.8,17,0.6729999999999999,55,0.5820000000000001,32,0.091,5,0.4,2,8,200,110.1,17.4,4,26,76,,2.9,2,0.273,15,0.667,10,38.9,21,0.662,21.9,16,40,0.55,22,0.273,3,"December 21, 2019",63.3,19,10.0,4,110.1,82.6,19,0.578,58,0.517,30,0.431,25,0.64,16,3,200,120.3,45.2,14,13,83,,5.8,4,0.414,24,0.292,7,61.1,33,0.594,15.9,13,34,0.6759999999999999,23,0.727,8,"University Center, Hammond, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,69.1,Home,MISSISSIPPI,Ole Miss,Southeastern Louisiana,southland,10,False,False,False,Away,False,10,22,55,21,54,7,23,58,0,1,61,206,646,0.4605263157894737,324,701,0.4621968616262482,68,205,594,0.5168350168350169,0.3
11,2019-12-29-14-oklahoma-state,38.5,5,0.0,0,117.1,64.7,22,0.233,58,0.22399999999999998,13,0.172,10,0.4,4,9,200,44.3,21.3,10,19,31,,5.7,4,0.345,20,0.05,1,39.5,32,0.247,21.4,17,38,0.316,12,0.25,3,"December 29, 2019",59.3,16,7.9,3,44.3,78.7,37,0.517,60,0.45,27,0.41700000000000004,25,0.8,20,3,200,117.1,35.3,12,11,82,,11.4,8,0.45,27,0.29600000000000004,8,60.5,49,0.57,12.3,10,33,0.5760000000000001,19,0.75,9,"Gallagher-Iba Arena, Stillwater, Oklahoma",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,69.8,Home,OKLAHOMA-STATE,Oklahoma State,Southeastern Louisiana,southland,11,False,False,False,Away,False,1,12,58,32,81,8,19,60,0,1,71,228,701,0.4771754636233952,345,755,0.456953642384106,75,228,652,0.522239263803681,0.2727272727272727
12,2020-01-02-14-southeastern-louisiana,37.0,10,0.0,0,95.9,73.5,25,0.557,53,0.509,27,0.604,32,0.7190000000000001,23,2,200,110.8,40.0,12,19,82,,13.5,10,0.264,14,0.35700000000000004,5,57.8,37,0.601,21.2,18,39,0.564,22,0.857,12,"January 2, 2020",56.0,14,5.1,2,110.8,60.0,18,0.518,57,0.439,25,0.281,16,0.75,12,10,200,95.9,26.5,9,23,71,,10.8,8,0.491,28,0.321,9,42.2,27,0.55,22.9,19,29,0.552,16,0.231,3,"University Center, Hammond, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,74.4,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Southeastern Louisiana,southland,12,False,True,True,Home,False,9,16,57,27,64,5,22,53,0,1,72,240,759,0.458498023715415,377,836,0.4509569377990431,83,247,712,0.5217696629213483,0.25
13,2020-01-04-16-texas-am-corpus-christi,46.2,12,0.0,0,108.1,80.0,16,0.5820000000000001,49,0.531,26,0.7140000000000001,35,0.7709999999999999,27,10,200,113.5,8.3,2,24,84,,13.5,10,0.204,10,0.5,5,40.9,18,0.64,12.3,9,39,0.5379999999999999,21,0.28600000000000003,4,"January 4, 2020",62.5,15,10.3,4,113.5,91.7,22,0.636,44,0.545,24,0.659,29,0.828,24,10,200,108.1,20.0,4,28,80,,6.8,5,0.455,20,0.4,8,59.1,26,0.6920000000000001,27.9,22,24,0.667,16,0.33299999999999996,5,"American Bank Center, Corpus Christi, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,74.2,Away,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Southeastern Louisiana,southland,13,False,False,False,Away,True,5,21,49,18,44,8,16,44,1,0,81,256,816,0.4626225490196079,404,900,0.4488888888888889,88,269,765,0.5241830065359477,0.2307692307692308
14,2020-01-08-19-sam-houston-state,68.2,15,4.8,2,91.8,70.6,24,0.519,54,0.40700000000000003,22,0.185,10,0.6,6,11,200,84.9,25.0,7,20,62,,13.7,10,0.426,23,0.522,12,50.0,31,0.528,26.4,21,31,0.32299999999999995,10,0.267,4,"January 8, 2020",63.0,17,22.6,7,84.9,75.0,21,0.46,62,0.435,27,0.226,14,0.7140000000000001,10,5,200,91.8,29.4,10,15,67,,12.3,9,0.32299999999999995,20,0.15,3,50.0,31,0.488,18.0,15,42,0.5710000000000001,24,0.688,11,"Johnson Coliseum, Huntsville, Texas",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,73.2,Home,SAM-HOUSTON-STATE,Sam Houston State,Southeastern Louisiana,southland,14,False,False,False,Away,False,12,10,54,31,62,3,24,62,0,1,86,277,865,0.469364161849711,422,944,0.4470338983050847,96,285,809,0.5302843016069221,0.2857142857142857
15,2020-01-11-17-southeastern-louisiana,34.8,8,18.8,6,80.6,81.8,27,0.5,54,0.426,23,0.33299999999999996,18,0.833,15,6,200,95.8,40.7,11,23,69,,15.3,11,0.46299999999999997,25,0.32,8,63.3,38,0.552,22.5,18,29,0.517,15,0.647,11,"January 11, 2020",52.9,9,0.0,0,95.8,59.3,16,0.38799999999999996,49,0.34700000000000003,17,0.5710000000000001,28,0.7140000000000001,20,12,200,80.6,18.2,6,17,58,,13.9,10,0.34700000000000003,17,0.235,4,36.7,22,0.465,22.7,18,32,0.406,13,0.25,4,"University Center, Hammond, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,71.9,Away,NICHOLLS-STATE,Nicholls State,Southeastern Louisiana,southland,15,False,True,True,Home,False,4,13,49,22,60,8,15,54,0,1,98,287,919,0.4722524483133841,453,1006,0.4502982107355865,99,309,871,0.5252583237657864,0.26666666666666666
16,2020-01-15-20-southeastern-louisiana,60.0,12,9.8,4,86.1,76.9,30,0.462,52,0.385,20,0.154,8,1.0,8,12,200,77.8,26.7,8,18,56,,8.3,6,0.442,23,0.348,8,55.1,38,0.502,30.2,24,29,0.414,12,0.33299999999999996,6,"January 15, 2020",38.1,8,10.3,3,77.8,73.3,22,0.395,57,0.368,21,0.40399999999999997,23,0.7390000000000001,17,12,200,86.1,23.1,9,13,62,,13.9,10,0.281,16,0.188,3,44.9,31,0.456,16.2,13,41,0.439,18,0.294,5,"University Center, Hammond, Louisiana",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,71.9,Home,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Southeastern Louisiana,southland,16,True,False,True,Home,True,3,18,57,31,69,8,12,52,1,0,102,300,968,0.4679752066115703,475,1066,0.4455909943714822,107,324,925,0.5237837837837838,0.25
17,2020-01-18-20-abilene-christian,33.3,6,5.9,2,105.6,70.0,21,0.408,49,0.3670000000000001,18,0.38799999999999996,19,0.789,15,13,200,76.4,30.8,8,28,55,,9.7,7,0.408,20,0.2,4,51.8,29,0.474,29.5,24,29,0.483,14,0.278,5,"January 18, 2020",59.3,16,17.2,5,76.4,69.2,18,0.569,51,0.529,27,0.529,27,0.667,18,7,200,105.6,30.0,9,19,76,,13.9,10,0.33299999999999996,17,0.235,4,48.2,27,0.595,19.3,15,34,0.6759999999999999,23,0.588,10,"Moody Coliseum , Abilene, Texas",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,71.9,Home,ABILENE-CHRISTIAN,Abilene Christian,Southeastern Louisiana,southland,17,False,False,False,Away,False,4,14,49,29,56,4,23,51,0,1,105,318,1025,0.4639024390243903,506,1135,0.4458149779735683,115,336,977,0.5204708290685772,0.29411764705882354
18,2020-01-22-20-southeastern-louisiana,61.5,16,12.8,5,81.3,74.3,26,0.602,49,0.531,26,0.429,21,0.857,18,9,200,102.7,32.0,8,17,77,,5.3,4,0.34700000000000003,17,0.41200000000000003,7,56.7,34,0.653,26.5,21,32,0.594,19,0.526,10,"January 22, 2020",54.5,12,3.1,1,102.7,68.0,17,0.425,60,0.3670000000000001,22,0.25,15,0.667,10,14,200,81.3,25.7,9,19,61,,13.3,10,0.35,21,0.33299999999999996,7,43.3,26,0.45399999999999996,22.2,19,39,0.385,15,0.263,5,"University Center, Hammond, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,74.6,Away,MCNEESE-STATE,McNeese State,Southeastern Louisiana,southland,18,False,True,True,Home,False,7,15,60,26,60,7,19,49,0,1,109,332,1074,0.4613594040968343,535,1191,0.4492023509655752,119,359,1028,0.5228599221789884,0.2777777777777778
19,2020-01-25-16-northwestern-state,53.6,15,0.0,0,93.1,71.1,27,0.478,69,0.406,28,0.391,27,0.667,18,14,225,96.6,22.2,10,27,84,,6.9,6,0.377,26,0.385,10,44.6,37,0.513,16.5,16,43,0.419,18,0.3,6,"January 25, 2020",61.5,16,14.0,6,96.6,77.8,35,0.447,66,0.39399999999999996,26,0.5,33,0.667,22,11,225,93.1,28.9,11,25,81,,6.9,6,0.273,18,0.389,7,55.4,46,0.496,16.6,16,48,0.396,19,0.389,7,"Prather Coliseum, Natchitoches, Louisiana",NORTHWESTERN-STATE,Northwestern State,77.6,Away,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Southeastern Louisiana,southland,19,False,False,False,Away,True,10,18,69,37,83,7,19,66,1,0,116,347,1134,0.4594356261022928,561,1251,0.4484412470023981,126,378,1077,0.5264623955431755,0.2631578947368421
20,2020-01-29-20-central-arkansas,37.9,11,7.7,3,112.8,62.5,20,0.508,62,0.46799999999999997,29,0.258,16,0.313,5,15,200,87.2,17.6,6,25,68,,14.1,11,0.306,19,0.263,5,39.4,26,0.489,19.8,17,43,0.5579999999999999,24,0.28600000000000003,6,"January 29, 2020",60.7,17,7.0,3,87.2,82.4,28,0.525,60,0.467,28,0.483,29,0.862,25,15,200,112.8,37.5,12,17,88,,11.5,9,0.35,21,0.33299999999999996,7,60.6,40,0.596,16.1,14,39,0.5379999999999999,21,0.28600000000000003,6,"Jeff Farris Center, Conway, Arkansas",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,78.2,Home,CENTRAL-ARKANSAS,Central Arkansas,Southeastern Louisiana,southland,20,False,False,False,Away,False,5,24,62,26,66,7,21,60,0,1,126,365,1203,0.4605153782211139,598,1334,0.4482758620689655,133,397,1143,0.5218722659667542,0.3
21,2020-02-01-17-southeastern-louisiana,60.7,17,9.1,3,101.4,71.0,22,0.613,53,0.528,28,0.415,22,0.8640000000000001,19,15,200,116.7,36.4,8,16,84,,9.7,7,0.302,16,0.563,9,56.6,30,0.662,20.3,16,37,0.514,19,0.318,7,"February 1, 2020",60.0,15,13.5,5,116.7,63.6,14,0.475,61,0.41,25,0.32799999999999996,20,0.75,15,16,200,101.4,29.0,9,20,73,,11.1,8,0.45899999999999996,28,0.28600000000000003,8,43.4,23,0.518,13.6,11,33,0.515,17,0.273,6,"University Center, Hammond, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,72.0,Away,NEW-ORLEANS,New Orleans,Southeastern Louisiana,southland,21,False,True,True,Home,False,8,17,61,23,53,9,19,53,0,1,131,389,1265,0.4628458498023715,624,1400,0.4457142857142857,140,418,1203,0.5220282626766417,0.2857142857142857
22,2020-02-05-20-southeastern-louisiana,51.9,14,5.6,3,98.7,60.0,30,0.591,55,0.491,27,0.364,20,0.7,14,17,200,102.6,36.7,11,18,79,,3.9,3,0.436,24,0.45799999999999996,11,51.3,41,0.612,26.5,23,31,0.516,16,0.15,3,"February 5, 2020",37.9,11,3.2,1,102.6,63.3,19,0.41,78,0.3720000000000001,29,0.244,19,0.632,12,17,200,98.7,40.0,20,21,76,,13.0,10,0.308,24,0.25,6,48.8,39,0.4370000000000001,11.3,11,54,0.426,23,0.261,6,"University Center, Hammond, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,77.3,Away,HOUSTON-BAPTIST,Houston Baptist,Southeastern Louisiana,southland,22,False,True,True,Home,False,6,23,78,39,80,11,16,55,0,1,139,406,1326,0.4634238310708899,647,1453,0.4452856159669649,149,437,1256,0.5258757961783439,0.2727272727272727
23,2020-02-08-17-incarnate-word,84.0,21,5.4,2,101.2,92.6,25,0.518,56,0.446,25,0.39299999999999996,22,0.773,17,18,225,92.6,25.9,7,28,75,,3.7,3,0.375,21,0.381,8,59.3,32,0.564,25.1,22,35,0.486,17,0.25,6,"February 8, 2020",44.4,12,0.0,0,92.6,74.1,20,0.509,56,0.48200000000000004,27,0.536,30,0.833,25,16,225,101.2,7.4,2,22,82,,12.3,10,0.33899999999999997,19,0.158,3,40.7,22,0.584,15.8,13,37,0.649,24,0.304,7,"McDermott Center, San Antonio, Texas",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,72.3,Home,INCARNATE-WORD,Incarnate Word,Southeastern Louisiana,southland,23,False,False,False,Away,False,8,17,56,32,54,3,24,56,0,1,145,429,1404,0.4604700854700854,686,1533,0.4474885844748858,160,453,1311,0.528604118993135,0.2608695652173913
24,2020-02-12-20-southeastern-louisiana,72.4,21,0.0,0,95.9,71.4,25,0.611,54,0.537,29,0.35200000000000004,19,0.684,13,9,200,108.2,25.9,7,18,79,,12.3,9,0.29600000000000004,16,0.5,8,51.6,32,0.627,21.4,17,38,0.5529999999999999,21,0.64,16,"February 12, 2020",47.8,11,5.3,2,108.2,74.1,20,0.48200000000000004,55,0.418,23,0.473,26,0.654,17,19,200,95.9,28.6,10,20,70,,15.1,11,0.491,27,0.259,7,48.4,30,0.52,19.4,16,28,0.5710000000000001,16,0.24,6,"University Center, Hammond, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,73.2,Away,SAM-HOUSTON-STATE,Sam Houston State,Southeastern Louisiana,southland,24,False,True,True,Home,False,7,16,55,30,62,8,21,54,0,1,153,446,1460,0.4626712328767123,718,1587,0.4524259609325772,163,477,1367,0.527798098024872,0.25
25,2020-02-15-16-nicholls-state,68.2,15,5.1,2,106.6,70.4,19,0.43,57,0.386,22,0.526,30,0.733,22,20,200,93.4,29.0,9,16,71,,7.9,6,0.35100000000000003,20,0.25,5,48.3,28,0.498,19.5,17,37,0.45899999999999996,17,0.231,6,"February 15, 2020",53.3,16,8.1,3,93.4,71.0,22,0.5670000000000001,60,0.5,30,0.25,15,0.867,13,9,200,106.6,29.6,8,23,81,,7.9,6,0.35,21,0.381,8,51.7,30,0.603,17.4,14,39,0.564,22,0.654,17,"David Stopher Gymnasium, Thibodaux, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,76.2,Home,NICHOLLS-STATE,Nicholls State,Southeastern Louisiana,southland,25,False,False,False,Away,False,5,17,57,28,58,8,22,60,0,1,160,462,1515,0.4633663366336634,748,1649,0.4536082474226804,171,498,1421,0.5309641097818437,0.24
