,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HARVARD_homegame,HARVARD_homegame2,HARVARD_home,HARVARD_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
11,2019-12-22-14-howard,80.0,16,15.9,7,73.3,89.2,33,0.384,56,0.35700000000000004,20,0.48200000000000004,27,0.63,17,4,200,80.0,40.0,14,17,60,,8.0,6,0.39299999999999996,22,0.136,3,65.3,47,0.436,22.8,20,34,0.5,17,0.667,8,"December 22, 2019",47.6,10,0.0,0,80.0,60.0,21,0.392,60,0.35,21,0.233,14,0.5710000000000001,8,11,200,73.3,10.8,4,20,55,,13.3,10,0.267,16,0.313,5,34.7,25,0.413,16.4,13,44,0.364,16,0.154,2,"Burr Gymnasium, Washington, District of Columbia",HOWARD,Howard,75.2,Away,HARVARD,Harvard,Harvard,ivy,11,False,False,False,Away,True,3,17,56,47,72,5,16,60,1,0,79,217,642,0.5225856697819314,377,720,0.5236111111111111,77,180,625,0.4728,0.6363636363636364
12,2019-12-29-18-california,52.4,11,24.4,11,91.3,71.8,28,0.573,41,0.512,21,0.902,37,0.649,24,4,200,102.9,8.0,2,22,71,,7.2,5,0.317,13,0.385,5,46.9,30,0.606,17.3,12,28,0.5710000000000001,16,0.6920000000000001,9,"December 29, 2019",28.6,6,17.9,5,102.9,92.0,23,0.38299999999999995,60,0.35,21,0.4,24,0.708,17,7,200,91.3,28.2,11,27,63,,4.3,3,0.25,15,0.267,4,53.1,34,0.441,11.3,9,45,0.37799999999999995,17,0.462,6,"Haas Pavilion, Berkeley, California",CALIFORNIA,California,69.0,Away,HARVARD,Harvard,Harvard,ivy,12,False,False,False,Away,True,5,16,41,30,64,4,17,60,1,0,82,234,698,0.5114613180515759,424,792,0.5353535353535354,82,196,685,0.4656934306569343,0.6666666666666666
13,2019-12-30-21-san-francisco,38.2,13,10.0,4,102.5,82.9,29,0.642,60,0.5670000000000001,34,0.15,9,0.778,7,4,225,106.3,21.7,5,18,84,,7.6,6,0.28300000000000003,17,0.529,9,58.6,34,0.653,22.9,19,43,0.581,25,0.7140000000000001,10,"December 30, 2019",36.7,11,7.0,3,106.3,78.3,18,0.532,63,0.47600000000000003,30,0.302,19,0.737,14,4,225,102.5,17.1,6,18,81,,13.9,11,0.365,23,0.304,7,41.4,24,0.562,15.4,13,40,0.575,23,0.733,11,"War Memorial Gymnasium, San Francisco, California",SAN-FRANCISCO,San Francisco,69.9,Away,HARVARD,Harvard,Harvard,ivy,13,False,False,False,Away,True,9,25,60,34,58,7,23,63,1,0,87,250,739,0.5148849797023004,454,856,0.530373831775701,86,213,745,0.4590604026845638,0.6923076923076923
14,2020-01-04-14-harvard,41.7,10,0.0,0,113.2,73.3,22,0.475,60,0.4,24,0.267,16,1.0,16,8,200,107.4,36.1,13,19,73,,13.2,9,0.28300000000000003,17,0.529,9,53.0,35,0.54,15.2,12,43,0.349,15,0.5,8,"January 4, 2020",52.0,13,7.0,3,107.4,63.9,23,0.557,53,0.47200000000000003,25,0.434,23,0.7829999999999999,18,4,200,113.2,26.7,8,17,77,,5.9,4,0.415,22,0.409,9,47.0,31,0.602,17.1,13,31,0.516,16,0.733,11,"Lavietes Pavilion, Boston, Massachusetts",CALIFORNIA-IRVINE,UC-Irvine,67.8,Home,HARVARD,Harvard,Harvard,ivy,14,True,False,True,Home,True,9,16,53,31,66,9,15,60,1,0,96,275,799,0.5244055068836045,488,914,0.5339168490153173,93,236,808,0.4647277227722773,0.7142857142857143
15,2020-01-18-14-harvard,52.4,11,0.0,0,101.5,77.4,24,0.48100000000000004,52,0.40399999999999997,21,0.26899999999999996,14,0.857,12,9,200,93.9,16.7,5,22,62,,9.1,6,0.385,20,0.4,8,47.5,29,0.529,17.1,12,32,0.406,13,0.43799999999999994,7,"January 18, 2020",66.7,14,18.8,6,93.9,83.3,25,0.51,48,0.43799999999999994,21,0.5,24,0.75,18,4,200,101.5,22.6,7,16,67,,7.6,5,0.45799999999999996,22,0.318,7,52.5,32,0.564,18.2,13,26,0.5379999999999999,14,0.75,12,"Lavietes Pavilion, Boston, Massachusetts",DARTMOUTH,Dartmouth,65.5,Home,HARVARD,Harvard,Harvard,ivy,15,True,False,True,Home,True,7,14,48,32,61,8,13,52,1,0,105,291,852,0.5264084507042254,519,980,0.5295918367346939,102,251,868,0.4654377880184332,0.7333333333333333
16,2020-01-25-19-dartmouth,42.3,11,11.1,4,89.2,78.4,29,0.542,59,0.441,26,0.271,16,0.375,6,4,200,94.6,30.6,11,19,70,,9.5,7,0.4920000000000001,29,0.414,12,54.8,40,0.526,20.5,17,30,0.467,14,0.765,13,"January 25, 2020",33.3,8,3.3,1,94.6,69.4,25,0.429,63,0.381,24,0.254,16,0.75,12,10,200,89.2,21.6,8,18,66,,9.5,7,0.429,27,0.222,6,45.2,33,0.467,15.7,13,36,0.5,18,0.41200000000000003,7,"Leede Arena, Hanover, New Hampshire",DARTMOUTH,Dartmouth,74.1,Away,HARVARD,Harvard,Harvard,ivy,16,False,False,False,Away,True,12,14,59,40,73,6,18,63,1,0,112,305,900,0.5255555555555556,551,1041,0.5292987512007685,110,264,920,0.4663043478260869,0.75
17,2020-01-31-17-pennsylvania,17.2,5,14.3,5,96.2,89.3,25,0.4,80,0.363,29,0.2,16,0.5,8,5,225,92.3,39.2,20,20,72,,12.8,10,0.263,21,0.28600000000000003,6,57.0,45,0.41100000000000003,11.2,11,59,0.39,23,0.722,13,"January 31, 2020",57.7,15,5.1,3,92.3,60.8,31,0.5379999999999999,53,0.491,26,0.47200000000000003,25,0.72,18,7,225,96.2,10.7,3,18,75,,10.3,8,0.34,18,0.278,5,43.0,34,0.578,20.0,16,35,0.6,21,0.562,9,"The Palestra, Philadelphia, Pennsylvania",HARVARD,Harvard,69.5,Home,PENNSYLVANIA,Penn,Harvard,ivy,17,False,False,False,Away,False,6,23,80,45,79,5,21,53,0,1,124,319,959,0.5265901981230449,591,1114,0.5305206463195691,116,282,983,0.4638860630722279,0.7647058823529411
18,2020-02-01-18-princeton,48.1,13,13.3,4,109.4,81.3,26,0.563,56,0.48200000000000004,27,0.125,7,0.857,6,6,200,107.8,16.7,4,17,69,,6.3,4,0.41100000000000003,23,0.391,9,53.6,30,0.5820000000000001,14.5,10,33,0.545,18,0.684,13,"February 1, 2020",56.0,14,9.1,3,107.8,83.3,20,0.594,53,0.47200000000000003,25,0.264,14,0.5,7,8,200,109.4,18.8,6,12,70,,9.4,6,0.434,23,0.565,13,46.4,26,0.5870000000000001,13.2,9,30,0.4,12,0.529,9,"Jadwin Gymnasium, Princeton, New Jersey",HARVARD,Harvard,64.0,Home,PRINCETON,Princeton,Harvard,ivy,18,False,False,False,Away,False,9,18,56,30,56,13,12,53,0,1,130,342,1039,0.5168431183830606,636,1193,0.5331098072087175,121,303,1036,0.4676640926640927,0.7222222222222222
19,2020-02-07-17-yale,74.2,23,15.2,5,111.6,77.1,27,0.614,57,0.544,31,0.21100000000000002,12,0.667,8,6,200,113.0,24.1,7,26,78,,8.7,6,0.33299999999999996,19,0.42100000000000004,8,53.1,34,0.622,15.0,11,38,0.605,23,0.7,14,"February 7, 2020",68.0,17,7.9,3,113.0,75.9,22,0.518,55,0.455,25,0.527,29,0.69,20,5,200,111.6,22.9,8,15,77,,10.1,7,0.4,22,0.318,7,46.9,30,0.56,12.9,10,33,0.545,18,0.762,16,"John J. Lee Ampitheater, New Haven, Connecticut",YALE,Yale,68.7,Away,HARVARD,Harvard,Harvard,ivy,19,False,False,False,Away,True,8,23,57,34,64,7,18,55,1,0,139,360,1095,0.5191780821917809,666,1249,0.533226581265012,134,315,1089,0.4738292011019284,0.6842105263157895
20,2020-02-08-18-brown,46.2,12,11.8,4,100.0,86.2,25,0.518,57,0.456,26,0.316,18,0.667,12,7,200,98.6,21.2,7,27,71,,5.6,4,0.40399999999999997,23,0.304,7,51.6,32,0.542,16.7,13,34,0.5589999999999999,19,0.667,14,"February 8, 2020",35.0,7,5.9,2,98.6,78.8,26,0.46799999999999997,47,0.426,20,0.6809999999999999,32,0.875,28,8,200,100.0,13.8,4,22,72,,5.6,4,0.27699999999999997,13,0.308,4,48.4,30,0.579,18.6,14,34,0.47100000000000003,16,0.579,11,"Pizzitola Sports Center, Providence, Rhode Island",HARVARD,Harvard,71.9,Home,BROWN,Brown,Harvard,ivy,20,False,False,False,Away,False,7,19,57,32,62,4,16,47,0,1,147,383,1152,0.5238715277777778,700,1313,0.5331302361005331,141,333,1144,0.4759615384615384,0.7
21,2020-02-14-19-harvard,50.0,11,5.9,2,121.4,71.4,20,0.445,55,0.4,22,0.4,22,0.636,14,15,200,90.0,20.6,7,21,63,,7.1,5,0.364,20,0.25,5,43.5,27,0.48100000000000004,13.4,10,35,0.486,17,0.25,5,"February 14, 2020",43.8,14,5.7,2,90.0,79.4,27,0.607,61,0.525,32,0.262,16,0.688,11,7,200,121.4,28.6,8,19,85,,7.1,5,0.44299999999999995,27,0.37,10,56.5,35,0.62,12.8,10,34,0.647,22,0.682,15,"Lavietes Pavilion, Boston, Massachusetts",CORNELL,Cornell,69.5,Home,HARVARD,Harvard,Harvard,ivy,21,True,False,True,Home,True,10,22,61,35,62,5,17,55,1,0,154,402,1209,0.5235732009925558,732,1375,0.5323636363636364,145,349,1191,0.4756507136859782,0.6666666666666666
22,2020-02-15-19-harvard,20.7,6,6.3,2,87.5,68.2,30,0.40299999999999997,77,0.377,29,0.195,15,0.733,11,18,250,83.0,9.8,4,22,73,,8.0,7,0.299,23,0.174,4,40.0,34,0.434,10.7,10,54,0.46299999999999997,25,0.25,6,"February 15, 2020",39.3,11,18.5,10,83.0,90.2,37,0.4270000000000001,75,0.373,28,0.307,23,0.565,13,7,250,87.5,31.8,14,17,77,,5.7,5,0.573,43,0.18600000000000005,8,60.0,51,0.44799999999999995,14.1,14,32,0.625,20,0.696,16,"Lavietes Pavilion, Boston, Massachusetts",COLUMBIA,Columbia,70.4,Home,HARVARD,Harvard,Harvard,ivy,22,True,False,True,Home,True,8,20,75,51,85,4,25,77,1,0,164,424,1270,0.5275590551181102,767,1437,0.5337508698677801,150,366,1246,0.4743178170144463,0.6818181818181818
23,2020-02-21-19-harvard,33.3,7,0.0,0,89.7,75.0,24,0.402,61,0.344,21,0.27899999999999997,17,0.647,11,11,200,88.2,26.5,9,15,60,,14.7,10,0.41,25,0.28,7,50.0,33,0.434,10.5,8,36,0.389,14,0.5,11,"February 21, 2020",34.6,9,27.8,10,88.2,73.5,25,0.5379999999999999,53,0.491,26,0.245,13,0.308,4,7,200,89.7,25.0,8,14,61,,7.4,5,0.264,14,0.35700000000000004,5,50.0,33,0.515,21.4,16,39,0.5379999999999999,21,0.708,17,"Lavietes Pavilion, Boston, Massachusetts",PRINCETON,Princeton,67.6,Home,HARVARD,Harvard,Harvard,ivy,23,True,False,True,Home,True,5,21,53,33,66,7,14,61,1,0,172,444,1345,0.5219330855018587,818,1522,0.5374507227332457,154,391,1323,0.4701436130007559,0.6956521739130435
24,2020-02-22-19-harvard,50.0,13,4.8,2,107.8,60.0,21,0.5539999999999999,56,0.46399999999999997,26,0.107,6,0.5,3,10,200,101.6,21.4,6,15,65,,7.8,5,0.446,25,0.4,10,42.9,27,0.552,14.6,10,31,0.516,16,0.565,13,"February 22, 2020",29.6,8,6.5,2,101.6,78.6,22,0.483,60,0.45,27,0.267,16,0.688,11,7,200,107.8,40.0,14,12,69,,7.8,5,0.3,18,0.222,4,57.1,36,0.51,14.1,11,42,0.5479999999999999,23,0.72,18,"Lavietes Pavilion, Boston, Massachusetts",PENNSYLVANIA,Penn,63.7,Home,HARVARD,Harvard,Harvard,ivy,24,True,False,True,Home,True,4,23,60,36,63,10,16,56,1,0,177,465,1398,0.5225321888412017,851,1588,0.5358942065491183,161,405,1384,0.4671242774566474,0.7083333333333334
25,2020-02-28-19-columbia,40.7,11,6.7,3,95.8,86.1,31,0.526,57,0.474,27,0.368,21,0.81,17,7,200,106.9,28.6,8,12,77,,4.2,3,0.368,21,0.28600000000000003,6,60.9,39,0.575,16.4,13,36,0.583,21,0.731,19,"February 28, 2020",29.6,8,8.3,3,106.9,71.4,20,0.439,66,0.409,27,0.182,12,0.917,11,21,200,95.8,13.9,5,19,69,,11.1,8,0.318,21,0.19,4,39.1,25,0.48100000000000004,7.8,6,45,0.511,23,0.222,6,"Levien Gym, New York, New York",COLUMBIA,Columbia,72.3,Away,HARVARD,Harvard,Harvard,ivy,25,False,False,False,Away,True,6,21,57,39,64,4,23,66,1,0,181,488,1458,0.5209190672153635,887,1651,0.5372501514233797,171,421,1440,0.4704861111111111,0.72
26,2020-02-29-18-cornell,64.7,11,10.0,3,86.6,75.9,22,0.47700000000000004,43,0.395,17,0.767,33,0.7879999999999999,26,7,200,100.0,28.6,8,15,67,,11.9,8,0.3720000000000001,16,0.43799999999999994,7,52.6,30,0.5710000000000001,22.8,17,27,0.37,10,0.741,20,"February 29, 2020",57.1,12,3.7,1,100.0,71.4,20,0.45299999999999996,53,0.396,21,0.28300000000000003,15,0.667,10,19,200,86.6,24.1,7,27,58,,13.4,9,0.434,23,0.261,6,47.4,27,0.48200000000000004,19.0,14,30,0.5,15,0.24,6,"Newman Arena, Ithaca, New York",CORNELL,Cornell,67.4,Away,HARVARD,Harvard,Harvard,ivy,26,False,False,False,Away,True,7,10,43,30,57,6,15,53,1,0,187,509,1515,0.5211221122112211,926,1715,0.5399416909620991,175,444,1506,0.4691235059760957,0.7307692307692307
27,2020-03-06-19-harvard,45.5,10,14.6,6,77.5,66.7,26,0.413,63,0.349,22,0.254,16,0.75,12,12,200,90.1,25.6,10,15,64,,14.1,10,0.349,22,0.364,8,46.2,36,0.45299999999999996,13.6,11,41,0.341,14,0.5379999999999999,14,"March 6, 2020",40.0,8,17.1,7,90.1,74.4,29,0.373,63,0.317,20,0.175,11,0.727,8,8,200,77.5,33.3,13,17,55,,8.5,6,0.349,22,0.318,7,53.8,42,0.40299999999999997,18.1,15,41,0.317,13,0.7140000000000001,20,"Lavietes Pavilion, Boston, Massachusetts",HARVARD,Harvard,70.9,Away,BROWN,Brown,Harvard,ivy,27,False,True,True,Home,False,7,13,63,42,78,8,14,63,0,1,194,519,1558,0.5198973042362003,956,1772,0.5395033860045146,181,459,1559,0.4685695958948044,0.7407407407407407
