,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MASSACHUSETTS_homegame,MASSACHUSETTS_homegame2,MASSACHUSETTS_home,MASSACHUSETTS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
12,2019-12-30-19-akron,39.3,11,11.1,4,109.0,63.9,23,0.465,71,0.39399999999999996,28,0.268,19,0.684,13,7,200,101.3,30.2,13,26,79,,10.3,8,0.423,30,0.33299999999999996,10,45.6,36,0.494,13.1,12,41,0.439,18,0.462,6,"December 30, 2019",70.4,19,2.4,1,101.3,69.8,30,0.525,60,0.45,27,0.483,29,0.759,22,3,200,109.0,36.1,13,17,85,,3.8,3,0.4,24,0.375,9,54.4,43,0.5760000000000001,18.0,16,36,0.5,18,0.769,10,"James A. Rhodes Arena, Akron, Ohio",MASSACHUSETTS,UMass,77.9,Home,AKRON,Akron,Massachusetts,atlantic-10,12,False,False,False,Away,False,10,18,71,36,79,9,18,60,0,1,106,195,691,0.5123010130246021,352,758,0.4643799472295514,63,249,680,0.5051470588235294,0.5
13,2020-01-05-16-saint-louis,33.3,9,5.1,3,94.3,62.2,23,0.462,66,0.409,27,0.364,24,0.792,19,8,225,90.9,37.5,15,21,80,,12.5,11,0.364,24,0.292,7,49.4,38,0.517,23.9,24,42,0.47600000000000003,20,0.429,6,"January 5, 2020",54.3,19,9.5,4,90.9,62.5,25,0.507,71,0.493,35,0.268,19,0.579,11,3,225,94.3,37.8,14,23,83,,10.2,9,0.16899999999999998,12,0.16699999999999998,2,50.6,39,0.519,22.5,23,59,0.5589999999999999,33,0.8,12,"Chaifetz Arena, St. Louis, Missouri",MASSACHUSETTS,UMass,78.0,Home,SAINT-LOUIS,Saint Louis,Massachusetts,atlantic-10,13,False,False,False,Away,False,7,20,66,38,77,2,33,71,0,1,116,213,762,0.5078740157480315,388,837,0.4635603345280765,72,267,740,0.5067567567567568,0.4615384615384616
14,2020-01-08-19-massachusetts,46.2,12,3.0,1,101.3,86.2,25,0.446,65,0.4,26,0.262,17,0.647,11,5,200,90.8,29.7,11,24,69,,11.8,9,0.415,27,0.222,6,54.5,36,0.47200000000000003,17.1,15,38,0.526,20,0.667,10,"January 8, 2020",70.8,17,5.3,2,90.8,70.3,26,0.5820000000000001,49,0.49,24,0.612,30,0.667,20,8,200,101.3,13.8,4,18,77,,10.5,8,0.327,16,0.563,9,45.5,30,0.609,19.4,15,33,0.455,15,0.467,7,"Mullins Center, Amherst, Massachusetts",LA-SALLE,La Salle,75.7,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,14,True,False,True,Home,True,9,15,49,30,66,6,20,65,1,0,123,233,828,0.5042270531400966,426,914,0.4660831509846827,74,300,811,0.5067817509247842,0.42857142857142855
15,2020-01-11-12-dayton,45.0,9,9.8,5,115.8,70.6,24,0.462,52,0.385,20,0.28800000000000003,15,0.8,12,9,200,78.9,15.2,5,15,60,,5.3,4,0.40399999999999997,21,0.381,8,43.3,29,0.507,25.4,20,31,0.387,12,0.43799999999999994,7,"January 11, 2020",47.2,17,6.5,2,78.9,84.8,28,0.55,70,0.514,36,0.22899999999999998,16,0.688,11,2,200,115.8,29.4,10,14,88,15.0,15.8,12,0.271,19,0.263,5,56.7,38,0.5670000000000001,12.5,11,51,0.608,31,0.875,14,"University of Dayton Arena, Dayton, Ohio",MASSACHUSETTS,UMass,76.4,Home,DAYTON,Dayton,Massachusetts,atlantic-10,15,False,False,False,Away,False,8,12,52,29,67,5,31,70,0,1,132,248,877,0.5085518814139109,456,980,0.4653061224489796,80,320,876,0.5022831050228309,0.4666666666666667
16,2020-01-15-19-st-bonaventure,60.0,12,7.1,3,112.1,71.0,22,0.44299999999999995,53,0.377,20,0.358,19,0.737,14,10,200,92.4,14.8,4,15,61,,3.0,2,0.415,22,0.318,7,44.8,26,0.4920000000000001,12.8,9,31,0.419,13,0.41200000000000003,7,"January 15, 2020",48.1,13,12.9,4,92.4,85.2,23,0.516,61,0.44299999999999995,27,0.24600000000000002,15,0.733,11,5,200,112.1,29.0,9,17,74,,12.1,8,0.311,19,0.474,9,55.2,32,0.5429999999999999,8.2,6,42,0.429,18,0.706,12,"Blue Cross Arena, Rochester, New York",MASSACHUSETTS,UMass,66.1,Home,ST-BONAVENTURE,St. Bonaventure,Massachusetts,atlantic-10,16,False,False,False,Away,False,7,13,53,26,58,9,18,61,0,1,140,260,929,0.5059203444564048,485,1047,0.4632282712511938,85,351,946,0.5058139534883721,0.4375
17,2020-01-18-16-massachusetts,48.0,12,0.0,0,76.1,82.9,29,0.5820000000000001,49,0.51,25,0.38799999999999996,19,0.9470000000000001,18,10,200,111.9,9.1,2,14,75,,7.5,5,0.306,15,0.467,7,54.4,31,0.6459999999999999,18.5,13,34,0.529,18,0.444,8,"January 18, 2020",50.0,10,14.7,5,111.9,90.9,20,0.409,55,0.364,20,0.2,11,0.545,6,11,200,76.1,17.1,6,17,51,,9.0,6,0.436,24,0.20800000000000002,5,45.6,26,0.423,15.5,11,31,0.484,15,0.389,7,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,67.1,Away,GEORGE-WASHINGTON,George Washington,Massachusetts,atlantic-10,17,False,True,True,Home,False,5,15,55,26,57,7,18,49,0,1,147,273,982,0.5025458248472505,511,1105,0.4624434389140272,94,369,1007,0.506454816285998,0.4117647058823529
18,2020-01-22-19-george-mason,57.1,12,12.8,6,104.3,68.4,26,0.48100000000000004,54,0.389,21,0.33299999999999996,18,0.611,11,12,200,90.0,8.6,3,28,63,,5.7,4,0.5,27,0.37,10,39.7,29,0.504,15.1,11,27,0.40700000000000003,11,0.368,7,"January 22, 2020",34.8,8,7.4,2,90.0,91.4,32,0.408,60,0.38299999999999995,23,0.483,29,0.828,24,6,200,104.3,31.6,12,16,73,,10.0,7,0.217,13,0.231,3,60.3,44,0.495,9.9,8,47,0.426,20,0.684,13,"EagleBank Arena, Fairfax, Virginia",MASSACHUSETTS,UMass,70.2,Home,GEORGE-MASON,George Mason,Massachusetts,atlantic-10,18,False,False,False,Away,False,10,11,54,29,73,3,20,60,0,1,152,288,1037,0.497589199614272,537,1162,0.4621342512908778,101,387,1056,0.5099431818181818,0.3888888888888889
19,2020-01-25-14-massachusetts,59.1,13,5.6,2,101.4,59.0,23,0.425,60,0.3670000000000001,22,0.41700000000000004,25,0.52,13,4,200,88.9,23.3,10,25,64,,5.6,4,0.38299999999999995,23,0.304,7,40.2,33,0.445,12.3,10,37,0.405,15,0.789,15,"January 25, 2020",66.7,14,5.4,2,88.9,76.7,33,0.38299999999999995,60,0.35,21,0.583,35,0.7709999999999999,27,12,200,101.4,41.0,16,20,73,,8.3,6,0.4,24,0.16699999999999998,4,59.8,49,0.47600000000000003,13.7,12,36,0.47200000000000003,17,0.4,8,"Mullins Center, Amherst, Massachusetts",DUQUESNE,Duquesne,72.3,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,19,True,False,True,Home,True,4,17,60,49,82,7,15,60,1,0,162,299,1091,0.4967919340054995,566,1235,0.4582995951417004,104,407,1116,0.5044802867383512,0.3684210526315789
20,2020-01-29-19-massachusetts,50.0,14,4.5,2,126.4,84.2,16,0.57,57,0.491,28,0.316,18,0.611,11,17,200,105.6,38.5,10,18,76,,6.9,5,0.439,25,0.36,9,57.8,26,0.58,19.8,16,32,0.594,19,0.19,4,"January 29, 2020",68.4,26,3.1,1,105.6,61.5,16,0.6829999999999999,60,0.633,38,0.217,13,0.6920000000000001,9,12,200,126.4,15.8,3,21,91,,8.3,6,0.267,16,0.375,6,42.2,19,0.688,12.0,9,44,0.727,32,0.429,9,"Mullins Center, Amherst, Massachusetts",SAINT-JOSEPHS,St. Joseph's,71.9,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,20,True,False,True,Home,True,6,32,60,19,45,9,19,57,1,0,166,316,1151,0.4908774978279757,615,1317,0.4669703872437357,111,422,1176,0.5004251700680272,0.4
21,2020-02-01-20-davidson,40.0,8,3.8,1,134.9,80.0,12,0.379,58,0.345,20,0.19,11,0.545,6,13,200,79.4,29.7,11,15,50,,4.8,3,0.276,16,0.25,4,44.2,23,0.395,16.0,12,42,0.381,16,0.409,9,"February 1, 2020",64.5,20,0.0,0,79.4,70.3,26,0.8490000000000001,43,0.721,31,0.3720000000000001,16,0.75,12,10,200,134.9,20.0,3,13,85,,9.5,6,0.395,17,0.647,11,55.8,29,0.84,23.1,15,26,0.769,20,0.524,11,"Belk Arena, Davidson, North Carolina",MASSACHUSETTS,UMass,63.4,Home,DAVIDSON,Davidson,Massachusetts,atlantic-10,21,False,False,False,Away,False,4,16,58,23,52,11,20,43,0,1,172,348,1211,0.500412881915772,634,1362,0.4654919236417034,120,441,1233,0.5036496350364964,0.42857142857142855
22,2020-02-04-19-rhode-island,34.5,10,4.9,2,105.8,66.7,18,0.508,61,0.475,29,0.115,7,0.7140000000000001,5,14,200,97.1,23.3,7,16,67,,5.8,4,0.311,19,0.21100000000000002,4,43.9,25,0.521,15.8,12,42,0.595,25,0.391,9,"February 4, 2020",42.3,11,11.9,5,97.1,76.7,23,0.518,55,0.473,26,0.436,24,0.667,16,5,200,105.8,33.3,9,14,73,,10.1,7,0.255,14,0.35700000000000004,5,56.1,32,0.55,14.4,11,41,0.512,21,0.773,17,"Ryan Center, Kingston, Rhode Island",MASSACHUSETTS,UMass,68.9,Home,RHODE-ISLAND,Rhode Island,Massachusetts,atlantic-10,22,False,False,False,Away,False,4,25,61,25,57,5,21,55,0,1,176,364,1269,0.4948778565799842,657,1414,0.4646393210749646,131,461,1276,0.515282131661442,0.4090909090909091
23,2020-02-09-14-massachusetts,52.4,11,9.5,4,98.6,60.0,15,0.534,44,0.47700000000000004,21,0.614,27,0.741,20,10,200,95.7,34.6,9,18,67,,12.9,9,0.318,14,0.35700000000000004,5,47.1,24,0.59,27.3,21,30,0.5329999999999999,16,0.565,13,"February 9, 2020",41.4,12,3.3,1,95.7,65.4,17,0.536,56,0.518,29,0.25,14,0.643,9,14,200,98.6,40.0,10,22,69,,18.6,13,0.25,14,0.14300000000000002,2,52.9,27,0.551,23.4,19,42,0.643,27,0.41700000000000004,10,"Mullins Center, Amherst, Massachusetts",GEORGE-MASON,George Mason,70.2,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,23,True,False,True,Home,True,2,27,56,27,51,5,16,44,1,0,180,389,1330,0.4954887218045113,682,1471,0.4636301835486064,136,482,1331,0.5154019534184824,0.39130434782608703
24,2020-02-15-12-massachusetts,66.7,18,0.0,0,88.7,75.0,27,0.598,51,0.529,27,0.33299999999999996,17,0.588,10,2,200,100.0,17.4,4,21,71,6.0,7.0,5,0.255,13,0.5379999999999999,7,52.5,31,0.601,22.5,17,38,0.526,20,0.92,23,"February 15, 2020",62.5,15,5.3,2,100.0,82.6,19,0.413,63,0.381,24,0.254,16,0.688,11,15,200,88.7,25.0,9,18,63,,11.3,8,0.317,20,0.2,4,47.5,28,0.446,11.4,9,43,0.465,20,0.4,10,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,71.3,Away,DAYTON,Dayton,Massachusetts,atlantic-10,24,False,True,True,Home,False,4,20,63,28,59,7,20,51,0,1,182,416,1386,0.4971139971139971,709,1522,0.4658344283837057,141,498,1375,0.516,0.4166666666666667
25,2020-02-18-19-massachusetts,57.7,15,9.7,3,104.7,76.7,23,0.5479999999999999,52,0.5,26,0.212,11,0.545,6,8,200,98.4,26.9,7,15,63,,10.9,7,0.212,11,0.455,5,53.6,30,0.55,19.8,14,41,0.512,21,0.6920000000000001,18,"February 18, 2020",66.7,18,14.6,6,98.4,73.1,19,0.5429999999999999,58,0.466,27,0.086,5,0.8,4,15,200,104.7,23.3,7,14,67,,7.8,5,0.466,27,0.33299999999999996,9,46.4,26,0.555,14.2,10,31,0.581,18,0.423,11,"Mullins Center, Amherst, Massachusetts",SAINT-LOUIS,Saint Louis,63.8,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,25,True,False,True,Home,True,9,18,58,26,56,5,21,52,1,0,186,436,1449,0.4934437543133196,737,1581,0.4661606578115117,148,518,1426,0.5189340813464236,0.4
26,2020-02-22-16-fordham,55.0,11,6.7,2,73.1,88.9,32,0.369,61,0.32799999999999996,20,0.23,14,0.857,12,15,200,85.1,30.6,11,18,57,,10.4,7,0.41,25,0.2,5,59.7,43,0.42100000000000004,10.6,8,36,0.41700000000000004,15,0.444,12,"February 22, 2020",66.7,12,5.6,2,85.1,69.4,25,0.36200000000000004,58,0.31,18,0.207,12,0.583,7,19,200,73.1,11.1,4,17,49,,6.0,4,0.483,28,0.214,6,40.3,29,0.385,13.6,10,30,0.4,12,0.26899999999999996,7,"Rose Hill Gym, Bronx, New York",FORDHAM,Fordham,67.2,Away,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,26,False,False,False,Away,True,5,15,61,43,72,6,12,58,1,0,195,454,1507,0.4953550099535501,763,1637,0.4660965180207697,153,539,1478,0.5199594046008119,0.4230769230769231
