,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MIDDLE-TENNESSEE_homegame,MIDDLE-TENNESSEE_homegame2,MIDDLE-TENNESSEE_home,MIDDLE-TENNESSEE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-14-15-mississippi,53.8,14,3.2,1,115.5,84.0,21,0.466,59,0.441,26,0.305,18,0.5,9,7,200,90.1,22.9,8,18,64,,8.5,6,0.305,18,0.16699999999999998,3,48.3,29,0.474,15.2,12,41,0.561,23,0.364,4,"December 14, 2019",82.1,23,9.8,4,90.1,77.1,27,0.66,53,0.528,28,0.302,16,0.75,12,3,200,115.5,16.0,4,19,82,,11.3,8,0.415,22,0.636,14,51.7,31,0.677,18.9,14,31,0.452,14,0.7,7,"The Pavilion at Ole Miss, Oxford, Mississippi",MIDDLE-TENNESSEE,Middle Tennessee,71.1,Home,MISSISSIPPI,Ole Miss,Middle Tennessee,cusa,10,False,False,False,Away,False,3,23,59,29,60,14,14,53,0,1,78,201,626,0.5079872204472844,341,677,0.5036927621861153,92,171,596,0.5184563758389261,0.4
11,2019-12-21-15-middle-tennessee,30.8,8,21.7,5,97.0,75.0,24,0.452,62,0.419,26,0.177,11,0.909,10,4,200,98.5,32.3,10,18,66,,11.9,8,0.242,15,0.267,4,54.0,34,0.491,14.1,11,47,0.46799999999999997,22,0.667,8,"December 21, 2019",70.0,14,8.5,4,98.5,67.7,21,0.52,49,0.408,20,0.429,21,0.667,14,8,200,97.0,25.0,8,15,65,,4.5,3,0.531,26,0.423,11,46.0,29,0.551,20.5,15,23,0.391,9,0.33299999999999996,4,"Murphy Athletic Center, Murfreesboro, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,67.1,Away,ST-BONAVENTURE,St. Bonaventure,Middle Tennessee,cusa,11,False,True,True,Home,False,11,9,49,29,63,4,22,62,0,1,81,224,685,0.5043795620437956,370,737,0.5020352781546812,106,185,649,0.5300462249614792,0.3636363636363637
12,2019-12-29-16-middle-tennessee,63.6,21,22.7,5,81.6,86.2,25,0.619,59,0.5589999999999999,33,0.424,25,0.64,16,3,200,117.1,30.0,9,15,89,,18.4,14,0.28800000000000003,17,0.41200000000000003,7,57.6,34,0.628,14.6,12,42,0.619,26,0.727,8,"December 29, 2019",57.9,11,9.5,4,117.1,70.0,21,0.462,53,0.358,19,0.358,19,0.684,13,9,200,81.6,13.8,4,21,62,,9.2,7,0.585,31,0.355,11,42.4,25,0.5,24.6,20,22,0.364,8,0.308,4,"Murphy Athletic Center, Murfreesboro, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,76.0,Away,RHODE-ISLAND,Rhode Island,Middle Tennessee,cusa,12,False,True,True,Home,False,11,8,53,25,59,7,26,59,0,1,92,233,734,0.5054495912806539,399,800,0.49875,110,207,711,0.5232067510548524,0.3333333333333333
13,2020-01-02-19-old-dominion,68.4,13,13.2,5,102.9,57.1,16,0.431,58,0.32799999999999996,19,0.36200000000000004,21,0.47600000000000003,10,10,200,88.2,17.1,7,26,60,,8.8,6,0.603,35,0.34299999999999997,12,33.3,23,0.441,11.8,9,23,0.304,7,0.28600000000000003,4,"January 2, 2020",47.6,10,8.7,2,88.2,82.9,34,0.451,51,0.41200000000000003,21,0.627,32,0.75,24,9,200,102.9,42.9,12,16,70,,7.4,5,0.255,13,0.308,4,66.7,46,0.529,15.6,12,38,0.447,17,0.35700000000000004,5,"Ted Constant Convocation Ctr., Norfolk, Virginia",MIDDLE-TENNESSEE,Middle Tennessee,68.1,Home,OLD-DOMINION,Old Dominion,Middle Tennessee,cusa,13,False,False,False,Away,False,12,7,58,23,69,4,17,51,0,1,103,241,787,0.5025412960609911,424,859,0.4935972060535506,117,233,770,0.5305194805194805,0.3076923076923077
14,2020-01-04-16-charlotte,52.2,12,9.1,3,98.6,82.6,19,0.509,53,0.434,23,0.226,12,0.667,8,11,200,89.9,27.3,9,30,62,,11.6,8,0.45299999999999996,24,0.33299999999999996,8,50.0,28,0.528,22.6,17,29,0.517,15,0.267,4,"January 4, 2020",65.0,13,17.2,5,89.9,72.7,24,0.537,41,0.488,20,0.927,38,0.632,24,5,200,98.6,17.4,4,14,68,,7.2,5,0.195,8,0.5,4,50.0,28,0.5760000000000001,22.8,17,33,0.485,16,0.615,8,"Dale F. Halton Arena, Charlotte, North Carolina",MIDDLE-TENNESSEE,Middle Tennessee,69.4,Home,CHARLOTTE,Charlotte,Middle Tennessee,cusa,14,False,False,False,Away,False,8,15,53,28,56,4,16,41,0,1,115,248,845,0.4976331360946746,447,928,0.4816810344827586,121,250,821,0.52557856272838,0.2857142857142857
15,2020-01-09-19-middle-tennessee,51.6,16,11.6,5,101.4,62.8,27,0.547,64,0.484,31,0.266,17,0.529,9,8,200,106.8,31.4,11,13,79,,8.1,6,0.281,18,0.444,8,48.7,38,0.5479999999999999,16.4,14,46,0.5,23,0.5,8,"January 9, 2020",44.8,13,13.0,6,106.8,68.6,24,0.473,73,0.397,29,0.16399999999999998,12,0.5,6,12,200,101.4,37.2,16,13,75,,13.5,10,0.41100000000000003,30,0.3670000000000001,11,51.3,40,0.47600000000000003,11.3,10,43,0.419,18,0.25,4,"Murphy Athletic Center, Murfreesboro, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,73.9,Away,MARSHALL,Marshall,Middle Tennessee,cusa,15,False,True,True,Home,False,11,18,73,40,78,8,23,64,0,1,123,263,898,0.4983296213808463,475,984,0.4827235772357724,125,266,862,0.5261020881670534,0.26666666666666666
16,2020-01-11-18-middle-tennessee,29.2,7,3.4,1,77.9,78.1,25,0.52,50,0.48,24,0.52,26,0.654,17,6,200,101.5,20.7,6,16,69,,8.8,6,0.28,14,0.28600000000000003,4,50.8,31,0.5529999999999999,15.2,11,36,0.556,20,0.625,10,"January 11, 2020",47.4,9,5.6,2,101.5,79.3,23,0.415,53,0.358,19,0.245,13,0.6920000000000001,9,13,200,77.9,21.9,7,23,53,,2.9,2,0.45299999999999996,24,0.25,6,49.2,30,0.44799999999999995,22.5,17,29,0.44799999999999995,13,0.235,4,"Murphy Athletic Center, Murfreesboro, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,68.3,Away,WESTERN-KENTUCKY,Western Kentucky,Middle Tennessee,cusa,16,False,True,True,Home,False,6,13,53,30,61,4,20,50,0,1,134,281,971,0.4963954685890834,515,1062,0.4849340866290019,133,289,926,0.5275377969762419,0.25
17,2020-01-16-19-florida-atlantic,21.2,7,2.4,1,118.3,74.3,26,0.556,72,0.45799999999999996,33,0.264,19,0.737,14,14,225,114.6,27.5,11,21,94,,7.3,6,0.34700000000000003,25,0.56,14,49.3,37,0.58,14.8,14,47,0.40399999999999997,19,0.222,4,"January 16, 2020",58.3,21,4.3,2,114.6,72.5,29,0.593,70,0.514,36,0.314,22,0.636,14,6,225,118.3,25.7,9,19,97,,11.0,9,0.414,29,0.379,11,50.7,38,0.603,10.1,9,41,0.61,25,0.667,12,"FAU Arena, Boca Raton, Florida",MIDDLE-TENNESSEE,Middle Tennessee,73.1,Home,FLORIDA-ATLANTIC,Florida Atlantic,Middle Tennessee,cusa,17,False,False,False,Away,False,14,19,72,37,75,11,25,70,0,1,140,294,1024,0.4921875,545,1123,0.4853072128227961,137,309,976,0.5271516393442623,0.2352941176470588
18,2020-01-18-19-florida-international,45.5,10,16.2,6,106.4,71.1,27,0.44,58,0.379,22,0.466,27,0.667,18,15,200,88.5,24.2,8,17,69,,10.3,8,0.431,25,0.28,7,49.3,35,0.48700000000000004,17.7,15,33,0.455,15,0.21100000000000002,4,"January 18, 2020",55.6,15,21.2,7,88.5,75.8,25,0.5,65,0.415,27,0.354,23,0.7829999999999999,18,6,200,106.4,28.9,11,17,83,,11.5,9,0.431,28,0.39299999999999996,11,50.7,36,0.547,14.8,13,37,0.4320000000000001,16,0.684,13,"FIU Arena, Miami, Florida",MIDDLE-TENNESSEE,Middle Tennessee,77.9,Home,FLORIDA-INTERNATIONAL,Florida International,Middle Tennessee,cusa,18,False,False,False,Away,False,7,15,58,35,71,11,16,65,0,1,154,313,1096,0.4963503649635037,582,1198,0.4858096828046745,148,334,1046,0.5315487571701721,0.2222222222222222
19,2020-01-23-19-middle-tennessee,37.9,11,6.5,2,104.3,77.8,28,0.6629999999999999,49,0.5920000000000001,29,0.51,25,0.6,15,5,200,114.3,26.9,7,17,80,,2.9,2,0.265,13,0.5379999999999999,7,56.5,35,0.657,20.0,15,36,0.611,22,0.737,14,"January 23, 2020",43.5,10,5.6,2,114.3,73.1,19,0.442,60,0.38299999999999995,23,0.38299999999999995,23,0.87,20,16,200,104.3,22.2,8,20,73,,10.0,7,0.483,29,0.24100000000000002,7,43.5,27,0.515,11.4,9,31,0.516,16,0.2,4,"Murphy Athletic Center, Murfreesboro, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,70.4,Away,LOUISIANA-TECH,Louisiana Tech,Middle Tennessee,cusa,19,False,True,True,Home,False,7,16,60,27,62,7,22,49,0,1,161,328,1154,0.4935008665511265,617,1269,0.4862096138691883,159,350,1111,0.5297029702970297,0.21052631578947367
20,2020-01-25-18-middle-tennessee,47.8,11,7.1,3,94.2,73.0,27,0.444,54,0.426,23,0.33299999999999996,18,0.833,15,15,200,91.3,25.8,8,22,63,,5.8,4,0.185,10,0.2,2,51.5,35,0.504,19.5,15,44,0.47700000000000004,21,0.28600000000000003,6,"January 25, 2020",45.0,9,4.5,2,91.3,74.2,23,0.377,57,0.35100000000000003,20,0.491,28,0.7859999999999999,22,16,200,94.2,27.0,10,20,65,,15.9,11,0.263,15,0.2,3,48.5,33,0.462,11.5,9,42,0.405,17,0.23800000000000002,5,"Murphy Athletic Center, Murfreesboro, Tennessee",SOUTHERN-MISSISSIPPI,Southern Miss,69.4,Home,MIDDLE-TENNESSEE,Middle Tennessee,Middle Tennessee,cusa,20,True,False,True,Home,True,3,17,57,33,68,2,21,54,1,0,168,344,1214,0.4909390444810544,644,1331,0.4838467317806161,166,372,1160,0.5353448275862069,0.2
21,2020-01-30-21-texas-el-paso,45.8,11,6.1,3,95.7,79.5,31,0.529,51,0.47100000000000003,24,0.41200000000000003,21,0.5710000000000001,12,17,200,94.3,19.4,6,18,66,,4.3,3,0.353,18,0.33299999999999996,6,52.9,37,0.541,19.9,15,33,0.545,18,0.22699999999999998,5,"January 30, 2020",53.8,14,12.1,4,94.3,80.6,25,0.444,63,0.413,26,0.254,16,0.688,11,9,200,95.7,20.5,8,15,67,,8.6,6,0.222,14,0.28600000000000003,4,47.1,33,0.475,10.3,8,49,0.449,22,0.591,13,"Don Haskins Center, El Paso, Texas",MIDDLE-TENNESSEE,Middle Tennessee,70.3,Home,TEXAS-EL-PASO,UTEP,Middle Tennessee,cusa,21,False,False,False,Away,False,6,18,51,37,70,4,22,63,0,1,171,361,1271,0.485837922895358,677,1399,0.4839170836311651,168,393,1214,0.5313014827018122,0.2380952380952381
22,2020-02-01-16-texas-san-antonio,42.3,11,12.1,4,109.6,75.0,21,0.55,60,0.433,26,0.38299999999999995,23,0.7390000000000001,17,17,200,113.7,28.1,9,26,83,,8.2,6,0.517,31,0.452,14,50.0,30,0.585,14.6,12,29,0.414,12,0.261,6,"February 1, 2020",28.6,8,3.4,1,113.7,71.9,23,0.58,56,0.5,28,0.39299999999999996,22,0.682,15,13,200,109.6,25.0,7,19,80,,5.5,4,0.41100000000000003,23,0.391,9,50.0,30,0.602,15.4,12,33,0.5760000000000001,19,0.435,10,"Convocation Center, San Antonio, Texas",TEXAS-SAN-ANTONIO,UTSA,72.7,Away,MIDDLE-TENNESSEE,Middle Tennessee,Middle Tennessee,cusa,22,False,False,False,Away,True,14,12,60,30,60,9,19,56,1,0,177,379,1322,0.487518910741301,714,1469,0.4860449285228046,172,415,1277,0.5270164447924823,0.2272727272727273
23,2020-02-06-19-middle-tennessee,39.3,11,4.5,2,102.9,63.6,21,0.583,54,0.519,28,0.315,17,0.706,12,9,200,110.3,16.0,4,18,75,,5.9,4,0.40700000000000003,22,0.318,7,43.1,25,0.604,11.5,8,32,0.6559999999999999,21,0.625,15,"February 6, 2020",38.5,10,0.0,0,110.3,84.0,21,0.483,58,0.44799999999999995,26,0.414,24,0.583,14,18,200,102.9,36.4,12,20,70,,7.4,5,0.24100000000000002,14,0.28600000000000003,4,56.9,33,0.504,14.9,12,44,0.5,22,0.25,6,"Murphy Athletic Center, Murfreesboro, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,67.7,Away,NORTH-TEXAS,North Texas,Middle Tennessee,cusa,23,False,True,True,Home,False,4,22,58,33,58,7,21,54,0,1,191,391,1382,0.4902315484804631,744,1529,0.48659254414650105,181,434,1333,0.5292573143285821,0.2608695652173913
24,2020-02-08-18-middle-tennessee,46.4,13,0.0,0,122.1,60.5,23,0.594,53,0.528,28,0.7170000000000001,38,0.737,28,13,200,133.8,37.9,11,19,91,,5.9,4,0.396,21,0.33299999999999996,7,50.7,34,0.64,9.1,7,32,0.6559999999999999,21,0.48,12,"February 8, 2020",59.3,16,0.0,0,133.8,62.1,18,0.508,64,0.42200000000000004,27,0.375,24,0.75,18,19,200,122.1,39.5,15,28,83,,5.9,4,0.516,33,0.33299999999999996,11,49.3,33,0.55,10.8,9,31,0.516,16,0.24,6,"Murphy Athletic Center, Murfreesboro, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,68.2,Away,RICE,Rice,Middle Tennessee,cusa,24,False,True,True,Home,False,11,16,64,33,67,7,21,53,0,1,195,413,1440,0.4899305555555555,777,1587,0.4896030245746692,188,455,1387,0.5313626532083634,0.25
25,2020-02-12-20-alabama-birmingham,43.3,13,2.8,1,116.9,68.2,15,0.556,62,0.484,30,0.129,8,0.375,3,20,200,101.4,19.2,5,23,72,,11.3,8,0.452,28,0.321,9,41.7,20,0.547,15.5,12,34,0.618,21,0.231,6,"February 12, 2020",51.9,14,5.9,2,101.4,80.8,21,0.652,46,0.5870000000000001,27,0.674,31,0.742,23,11,200,116.9,31.8,7,12,83,,9.9,7,0.217,10,0.6,6,58.3,28,0.6829999999999999,20.1,15,36,0.583,21,0.5770000000000001,15,"Bartow Arena, Birmingham, Alabama",MIDDLE-TENNESSEE,Middle Tennessee,70.8,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham,Middle Tennessee,cusa,25,False,False,False,Away,False,9,21,62,20,48,6,21,46,0,1,206,429,1504,0.4906914893617022,810,1654,0.4897218863361548,195,476,1440,0.5336805555555556,0.24
