,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,STONY-BROOK_homegame,STONY-BROOK_homegame2,STONY-BROOK_home,STONY-BROOK_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-10-19-hofstra,41.7,10,13.5,5,92.2,71.4,35,0.483,58,0.414,24,0.121,7,1.0,7,4,200,81.8,20.6,7,16,63,,6.5,5,0.431,25,0.32,8,50.6,42,0.514,26.5,22,33,0.485,16,0.636,7,"December 10, 2019",59.1,13,3.0,1,81.8,79.4,27,0.389,72,0.306,22,0.23600000000000002,17,0.882,15,4,200,92.2,28.6,14,9,71,,10.4,8,0.486,35,0.34299999999999997,12,49.4,41,0.44299999999999995,12.2,11,37,0.27,10,0.636,7,"Mack Sports Complex, Hempstead, New York",STONY-BROOK,Stony Brook,76.7,Home,HOFSTRA,Hofstra,Stony Brook,america-east,10,False,False,False,Away,False,8,16,58,42,83,12,10,72,0,1,93,147,590,0.4855932203389831,377,704,0.5355113636363636,84,149,610,0.4508196721311475,0.7
11,2019-12-14-20-providence,51.9,14,24.2,8,105.1,67.6,23,0.524,62,0.435,27,0.27399999999999997,17,0.765,13,5,200,100.0,32.1,9,24,78,,10.3,8,0.5,31,0.355,11,51.6,32,0.557,20.6,18,31,0.516,16,0.583,7,"December 14, 2019",83.3,20,22.6,7,100.0,67.9,19,0.5,60,0.4,24,0.5,30,0.733,22,5,200,105.1,32.4,11,15,82,,12.8,10,0.45,27,0.444,12,48.4,30,0.552,15.1,13,33,0.364,12,0.545,6,"Dunkin' Donuts Center, Providence, Rhode Island",STONY-BROOK,Stony Brook,77.7,Home,PROVIDENCE,Providence,Stony Brook,america-east,11,False,False,False,Away,False,11,16,62,32,62,12,12,60,0,1,101,163,648,0.4853395061728395,419,787,0.5324015247776366,96,159,682,0.4442815249266862,0.6363636363636364
12,2019-12-18-18-virginia,29.4,5,19.4,7,98.2,72.4,21,0.433,45,0.37799999999999995,17,0.17800000000000002,8,0.625,5,6,200,77.2,30.8,8,9,44,,14.0,8,0.467,21,0.23800000000000002,5,52.7,29,0.451,22.4,14,24,0.5,12,0.5379999999999999,7,"December 18, 2019",52.4,11,16.7,4,77.2,69.2,18,0.452,52,0.40399999999999997,21,0.231,12,0.75,9,1,200,98.2,27.6,8,8,56,9.0,7.0,4,0.308,16,0.313,5,47.3,26,0.485,14.9,10,36,0.444,16,0.9,9,"John Paul Jones Arena, Charlottesville, Virginia",STONY-BROOK,Stony Brook,57.3,Home,VIRGINIA,Virginia,Stony Brook,america-east,12,False,False,False,Away,False,5,12,45,29,55,5,16,52,0,1,112,179,710,0.4887323943661972,451,849,0.5312131919905771,108,171,742,0.4487870619946092,0.5833333333333334
13,2019-12-21-14-american,41.4,12,12.5,5,102.8,77.4,24,0.524,63,0.46,29,0.302,19,0.579,11,6,200,106.9,32.4,12,12,77,,11.1,8,0.27,17,0.47100000000000003,8,52.9,36,0.535,14.4,12,46,0.457,21,0.5710000000000001,8,"December 21, 2019",62.1,18,6.5,3,106.9,67.6,25,0.5760000000000001,59,0.4920000000000001,29,0.16899999999999998,10,0.6,6,6,200,102.8,22.6,7,16,74,,8.3,6,0.322,19,0.526,10,47.1,32,0.58,20.2,16,40,0.475,19,0.4,4,"Bender Arena, Washington, District of Columbia",AMERICAN,American,72.4,Away,STONY-BROOK,Stony Brook,Stony Brook,america-east,13,False,False,False,Away,True,8,21,63,36,68,10,19,59,1,0,117,191,755,0.4854304635761589,480,904,0.5309734513274337,113,187,794,0.44899244332493693,0.5384615384615384
14,2019-12-29-12-stony-brook,52.2,12,4.0,1,114.1,75.0,21,0.457,58,0.397,23,0.379,22,0.545,12,11,200,91.5,17.9,7,20,65,,12.7,9,0.397,23,0.304,7,41.8,28,0.475,11.7,9,35,0.457,16,0.267,4,"December 29, 2019",58.3,14,11.4,4,91.5,82.1,32,0.5770000000000001,52,0.462,24,0.462,24,0.875,21,6,200,114.1,25.0,7,18,81,,7.0,5,0.519,27,0.444,12,58.2,39,0.639,20.4,16,25,0.48,12,0.6,9,"Island Federal Credit Union, Stony Brook, New York",NORFOLK-STATE,Norfolk State,71.4,Home,STONY-BROOK,Stony Brook,Stony Brook,america-east,14,True,False,True,Home,True,12,12,52,39,67,7,16,58,1,0,125,212,818,0.4883863080684597,516,972,0.5308641975308642,123,206,853,0.4577960140679953,0.5714285714285714
15,2020-01-05-13-maine,53.8,14,10.0,3,73.2,70.6,24,0.534,59,0.441,26,0.203,12,0.833,10,6,200,102.8,30.0,9,17,73,,21.1,15,0.542,32,0.344,11,51.6,33,0.564,19.9,16,27,0.556,15,0.625,10,"January 5, 2020",68.4,13,7.4,2,102.8,70.0,21,0.39799999999999996,54,0.35200000000000004,19,0.222,12,0.75,9,11,200,73.2,29.4,10,15,52,,7.0,5,0.444,24,0.20800000000000002,5,48.4,31,0.436,26.2,21,30,0.467,14,0.267,4,"Cross Insurance Center, Bangor, Maine",MAINE,Maine,71.2,Away,STONY-BROOK,Stony Brook,Stony Brook,america-east,15,False,False,False,Away,True,11,15,59,33,64,5,14,54,1,0,137,224,870,0.4936781609195402,555,1039,0.5341674687199229,130,222,911,0.4577387486278814,0.6
16,2020-01-08-19-vermont,44.0,11,8.0,2,101.3,78.8,26,0.5529999999999999,57,0.439,25,0.439,25,0.72,18,6,200,106.6,17.2,5,21,81,,10.5,8,0.474,27,0.48100000000000004,13,50.0,31,0.588,16.0,13,30,0.4,12,0.647,11,"January 8, 2020",56.5,13,13.3,4,106.6,82.8,24,0.518,56,0.41100000000000003,23,0.41100000000000003,23,0.826,19,6,200,101.3,21.2,7,16,77,,6.6,5,0.5539999999999999,31,0.387,12,50.0,31,0.575,18.5,15,25,0.44,11,0.625,10,"Roy L. Patrick Gymnasium, Burlington, Vermont",VERMONT,Vermont,75.9,Away,STONY-BROOK,Stony Brook,Stony Brook,america-east,16,False,False,False,Away,True,13,12,57,31,62,12,11,56,1,0,148,239,929,0.496232508073197,588,1103,0.5330915684496826,135,236,965,0.4544041450777202,0.625
17,2020-01-11-19-stony-brook,68.8,11,3.3,1,93.6,87.5,28,0.284,67,0.239,16,0.254,17,0.588,10,8,200,61.5,28.9,13,19,48,,10.3,8,0.373,25,0.24,6,53.2,41,0.32,19.5,18,42,0.23800000000000002,10,0.5,8,"January 11, 2020",40.0,10,16.7,7,61.5,71.1,32,0.5379999999999999,53,0.47200000000000003,25,0.47200000000000003,25,0.64,16,6,200,93.6,12.5,4,20,73,,11.5,9,0.434,23,0.304,7,46.8,36,0.563,20.0,16,30,0.6,18,0.667,12,"Island Federal Credit Union, Stony Brook, New York",NEW-HAMPSHIRE,New Hampshire,78.5,Home,STONY-BROOK,Stony Brook,Stony Brook,america-east,17,True,False,True,Home,True,7,18,53,36,77,6,10,67,1,0,161,251,986,0.4994929006085193,619,1165,0.5313304721030043,147,247,1021,0.4578844270323213,0.6470588235294118
18,2020-01-15-19-hartford,66.7,14,17.9,7,91.9,87.9,29,0.42200000000000004,58,0.36200000000000004,21,0.44799999999999995,26,0.615,16,7,200,87.8,26.3,10,21,65,,6.8,5,0.517,30,0.233,7,54.9,39,0.462,15.8,13,28,0.5,14,0.632,12,"January 15, 2020",65.2,15,7.1,2,87.8,73.7,28,0.465,57,0.40399999999999997,23,0.368,21,0.7140000000000001,15,8,200,91.9,12.1,4,21,68,,8.1,6,0.316,18,0.389,7,45.1,32,0.508,14.2,11,39,0.41,16,0.556,10,"Chase Family Arena, Hartford, Connecticut",STONY-BROOK,Stony Brook,73.7,Home,HARTFORD,Hartford,Stony Brook,america-east,18,False,False,False,Away,False,7,14,58,39,71,7,16,57,0,1,168,269,1039,0.5014436958614052,655,1242,0.5273752012882448,153,257,1088,0.4471507352941176,0.6666666666666666
19,2020-01-18-19-stony-brook,59.1,13,6.1,2,95.9,79.2,19,0.441,59,0.373,22,0.254,15,0.667,10,9,200,84.9,23.7,9,19,62,,9.6,7,0.4920000000000001,29,0.276,8,45.2,28,0.469,19.6,16,30,0.467,14,0.526,10,"January 18, 2020",40.7,11,13.3,4,84.9,76.3,29,0.633,49,0.551,27,0.34700000000000003,17,0.47100000000000003,8,7,200,95.9,20.8,5,18,70,,12.3,9,0.327,16,0.5,8,54.8,34,0.613,26.2,20,33,0.5760000000000001,19,0.65,13,"Island Federal Credit Union, Stony Brook, New York",ALBANY-NY,Albany (NY),72.6,Home,STONY-BROOK,Stony Brook,Stony Brook,america-east,19,True,False,True,Home,True,8,19,49,34,62,8,14,59,1,0,175,283,1097,0.4972652689152233,694,1313,0.5285605483625285,160,273,1145,0.4480349344978166,0.631578947368421
20,2020-01-22-19-stony-brook,46.9,15,7.7,3,111.3,57.9,22,0.5770000000000001,65,0.4920000000000001,32,0.16899999999999998,11,0.727,8,11,200,116.9,41.4,12,17,83,,5.6,4,0.508,33,0.33299999999999996,11,50.7,34,0.591,15.7,13,32,0.6559999999999999,21,0.42100000000000004,8,"January 22, 2020",51.7,15,15.6,5,116.9,58.6,17,0.493,68,0.426,29,0.27899999999999997,19,0.632,12,8,200,111.3,42.1,16,16,79,,8.5,6,0.426,29,0.31,9,49.3,33,0.513,11.6,10,39,0.513,20,0.619,13,"Island Federal Credit Union, Stony Brook, New York",STONY-BROOK,Stony Brook,71.1,Away,BINGHAMTON,Binghamton,Stony Brook,america-east,20,False,True,True,Home,False,9,20,68,33,67,11,21,65,0,1,183,302,1146,0.5030541012216405,728,1375,0.5294545454545454,168,287,1204,0.4476744186046512,0.65
21,2020-01-29-19-massachusetts-lowell,37.0,10,2.9,1,100.0,78.1,25,0.46299999999999997,67,0.40299999999999997,27,0.38799999999999996,26,0.846,22,8,200,110.5,33.3,13,25,84,,7.9,6,0.358,24,0.33299999999999996,8,53.5,38,0.529,12.3,11,43,0.442,19,0.636,14,"January 29, 2020",60.0,15,0.0,0,110.5,66.7,26,0.509,54,0.46299999999999997,25,0.537,29,0.7240000000000001,21,14,200,100.0,21.9,7,21,76,,6.6,5,0.35200000000000004,19,0.263,5,46.5,33,0.561,16.3,13,35,0.5710000000000001,20,0.364,8,"Tsongas Center, Lowell, Massachusetts",MASSACHUSETTS-LOWELL,UMass-Lowell,75.6,Away,STONY-BROOK,Stony Brook,Stony Brook,america-east,21,False,False,False,Away,True,8,19,67,38,71,5,20,54,1,0,192,322,1214,0.5024711696869851,761,1442,0.5277392510402219,179,308,1269,0.4542947202521671,0.6190476190476191
22,2020-02-01-19-stony-brook,38.5,10,11.6,5,107.2,68.4,26,0.475,60,0.433,26,0.183,11,0.545,6,14,200,91.3,25.0,9,17,63,,1.4,1,0.433,26,0.192,5,47.3,35,0.483,15.6,12,34,0.618,21,0.391,9,"February 1, 2020",50.0,13,14.7,5,91.3,75.0,27,0.46,63,0.413,26,0.349,22,0.727,16,8,200,107.2,31.6,12,14,74,,10.1,7,0.317,20,0.3,6,52.7,39,0.504,11.0,9,43,0.465,20,0.652,15,"Island Federal Credit Union, Stony Brook, New York",MARYLAND-BALTIMORE-COUNTY,UMBC,69.3,Home,STONY-BROOK,Stony Brook,Stony Brook,america-east,22,True,False,True,Home,True,6,20,63,39,74,5,21,60,1,0,200,341,1281,0.5003903200624512,799,1513,0.5280898876404494,184,328,1323,0.4565381708238851,0.6363636363636364
23,2020-02-05-19-stony-brook,47.6,10,7.0,3,102.7,64.5,20,0.4270000000000001,55,0.382,21,0.5820000000000001,32,0.7190000000000001,23,15,200,93.3,40.5,15,21,70,,10.7,8,0.382,21,0.23800000000000002,5,51.5,35,0.499,21.6,19,34,0.47100000000000003,16,0.375,9,"February 5, 2020",36.0,9,5.9,2,93.3,59.5,22,0.45,60,0.41700000000000004,25,0.433,26,0.885,23,8,200,102.7,35.5,11,22,77,,16.0,12,0.28300000000000003,17,0.235,4,48.5,33,0.532,16.4,14,43,0.488,21,0.667,16,"Island Federal Credit Union, Stony Brook, New York",MASSACHUSETTS-LOWELL,UMass-Lowell,74.8,Home,STONY-BROOK,Stony Brook,Stony Brook,america-east,23,True,False,True,Home,True,4,21,60,33,68,5,16,55,1,0,206,361,1344,0.4985119047619048,838,1587,0.5280403276622558,189,349,1383,0.4573391178597253,0.6521739130434783
24,2020-02-08-12-new-hampshire,26.3,5,10.5,4,98.8,69.7,23,0.341,66,0.28800000000000003,19,0.439,29,0.655,19,9,200,78.0,30.2,13,24,64,,9.8,8,0.455,30,0.233,7,47.4,36,0.401,19.4,19,36,0.33299999999999996,12,0.64,16,"February 8, 2020",55.6,15,16.7,6,78.0,69.8,30,0.508,61,0.44299999999999995,27,0.45899999999999996,28,0.679,19,11,200,98.8,30.3,10,21,81,,11.0,9,0.377,23,0.348,8,52.6,40,0.545,15.1,13,38,0.5,19,0.5,11,"Lundholm Gymnasium, Durham, New Hampshire",STONY-BROOK,Stony Brook,81.5,Home,NEW-HAMPSHIRE,New Hampshire,Stony Brook,america-east,24,False,False,False,Away,False,7,12,66,36,76,8,19,61,0,1,210,382,1404,0.4964387464387464,871,1655,0.5262839879154079,194,365,1438,0.4561891515994437,0.6666666666666666
25,2020-02-12-19-binghamton,36.0,9,0.0,0,97.2,79.1,34,0.46799999999999997,62,0.40299999999999997,25,0.40299999999999997,25,0.68,17,9,200,104.2,19.4,7,16,75,,5.6,4,0.40299999999999997,25,0.32,8,51.9,41,0.508,11.0,9,37,0.45899999999999996,17,0.654,17,"February 12, 2020",77.3,17,8.1,3,104.2,80.6,29,0.434,61,0.361,22,0.361,22,0.773,17,16,200,97.2,20.9,9,21,70,,4.2,3,0.623,38,0.237,9,48.1,38,0.49,6.6,5,23,0.565,13,0.33299999999999996,8,"Binghamton University Events Center, Vestal, New York",BINGHAMTON,Binghamton,71.7,Away,STONY-BROOK,Stony Brook,Stony Brook,america-east,25,False,False,False,Away,True,8,17,62,41,79,9,13,61,1,0,217,394,1470,0.4894557823129252,907,1731,0.5239745811669555,202,384,1499,0.4583055370246831,0.64
26,2020-02-20-19-stony-brook,80.0,20,12.5,4,77.1,84.2,32,0.509,58,0.431,25,0.19,11,0.364,4,6,200,90.0,29.4,10,16,63,,7.1,5,0.534,31,0.29,9,58.3,42,0.498,20.3,16,27,0.593,16,0.7859999999999999,22,"February 20, 2020",55.6,10,7.4,2,90.0,70.6,24,0.386,57,0.316,18,0.21100000000000002,12,0.833,10,10,200,77.1,15.8,6,17,54,,8.6,6,0.439,25,0.32,8,41.7,30,0.431,18.4,14,32,0.313,10,0.63,17,"Island Federal Credit Union, Stony Brook, New York",STONY-BROOK,Stony Brook,70.0,Away,VERMONT,Vermont,Stony Brook,america-east,26,False,True,True,Home,False,8,10,57,30,72,9,16,58,0,1,225,411,1532,0.4885770234986945,948,1810,0.523756906077348,211,397,1560,0.4573717948717949,0.6538461538461539
