,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,COPPIN-STATE_homegame,COPPIN-STATE_homegame2,COPPIN-STATE_home,COPPIN-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-10-19-davidson,27.8,5,0.0,0,133.3,69.0,20,0.38,54,0.33299999999999996,18,0.33299999999999996,18,0.611,11,7,200,78.8,14.3,5,11,52,,1.5,1,0.35200000000000004,19,0.263,5,39.1,25,0.41600000000000004,13.9,10,35,0.371,13,0.364,4,"December 10, 2019",76.5,26,0.0,0,78.8,85.7,30,0.633,64,0.531,34,0.172,11,0.636,7,5,200,133.3,31.0,9,14,88,,10.6,7,0.484,31,0.419,13,60.9,39,0.636,5.5,4,33,0.636,21,0.5,5,"Belk Arena, Davidson, North Carolina",COPPIN-STATE,Coppin State,65.9,Home,DAVIDSON,Davidson,Coppin State,meac,10,False,False,False,Away,False,5,13,54,25,64,13,21,64,0,1,85,166,650,0.4515384615384616,357,786,0.4541984732824427,78,181,641,0.4648985959438378,0.4
11,2019-12-15-13-maryland-baltimore-county,16.0,4,11.1,4,110.3,77.8,28,0.4920000000000001,60,0.41700000000000004,25,0.4,24,0.75,18,8,200,98.7,20.0,7,24,77,,9.0,7,0.467,28,0.321,9,49.3,35,0.539,16.6,14,32,0.5,16,0.33299999999999996,4,"December 15, 2019",72.4,21,3.1,1,98.7,80.0,28,0.55,60,0.483,29,0.517,31,0.645,20,6,200,110.3,22.2,8,16,86,,6.4,5,0.4,24,0.33299999999999996,8,50.7,36,0.575,12.0,10,36,0.583,21,0.5,6,"UMBC Event Center, Baltimore, Maryland",COPPIN-STATE,Coppin State,77.6,Home,MARYLAND-BALTIMORE-COUNTY,UMBC,Coppin State,meac,11,False,False,False,Away,False,9,16,60,35,71,8,21,60,0,1,90,179,704,0.4460227272727273,382,850,0.4494117647058824,91,202,705,0.4801418439716312,0.3636363636363637
12,2019-12-21-14-miami-fl,55.0,11,5.9,1,118.2,83.3,20,0.35600000000000004,66,0.303,20,0.28800000000000003,19,0.684,13,9,200,77.9,26.7,12,14,60,,10.4,8,0.455,30,0.233,7,46.4,32,0.4,15.8,14,36,0.361,13,0.308,4,"December 21, 2019",57.1,16,16.7,6,77.9,73.3,33,0.6729999999999999,55,0.509,28,0.364,20,0.85,17,3,200,118.2,16.7,4,13,91,,9.1,7,0.691,38,0.474,18,53.6,37,0.705,21.0,17,17,0.588,10,0.727,8,"BankUnited Center, Coral Gables, Florida",COPPIN-STATE,Coppin State,77.3,Home,MIAMI-FL,Miami (FL),Coppin State,meac,12,False,False,False,Away,False,7,13,66,32,69,18,10,55,0,1,99,195,764,0.449607329842932,417,921,0.4527687296416938,99,223,765,0.4856209150326797,0.3333333333333333
13,2019-12-27-19-mount-st-marys,27.3,6,7.4,2,109.7,83.9,26,0.424,59,0.373,22,0.22,13,0.385,5,10,200,76.4,15.0,6,18,55,,8.3,6,0.441,26,0.231,6,45.1,32,0.42200000000000004,16.7,13,33,0.485,16,0.28600000000000003,4,"December 27, 2019",65.4,17,6.1,2,76.4,85.0,34,0.579,57,0.456,26,0.298,17,0.765,13,9,200,109.7,16.1,5,13,79,,9.7,7,0.526,30,0.467,14,54.9,39,0.607,15.7,12,27,0.444,12,0.308,4,"Knott Arena, Emmitsburg, Maryland",COPPIN-STATE,Coppin State,72.1,Home,MOUNT-ST-MARYS,Mount St. Mary's,Coppin State,meac,13,False,False,False,Away,False,6,16,59,32,71,14,12,57,0,1,106,208,830,0.4421686746987952,449,990,0.4535353535353535,117,233,820,0.498170731707317,0.3076923076923077
14,2019-12-30-19-fordham,27.3,6,6.7,2,86.1,72.5,29,0.43,57,0.386,22,0.24600000000000002,14,0.5,7,11,200,77.8,20.6,7,18,56,,9.7,7,0.474,27,0.185,5,48.6,36,0.44,21.2,17,30,0.5670000000000001,17,0.267,4,"December 30, 2019",63.2,12,16.7,5,77.8,79.4,27,0.41200000000000003,57,0.33299999999999996,19,0.368,21,0.7140000000000001,15,6,200,86.1,27.5,11,15,62,,13.9,10,0.474,27,0.33299999999999996,9,51.4,38,0.46299999999999997,17.4,14,30,0.33299999999999996,10,0.5,6,"Rose Hill Gym, Bronx, New York",COPPIN-STATE,Coppin State,71.8,Home,FORDHAM,Fordham,Coppin State,meac,14,False,False,False,Away,False,5,17,57,36,74,9,10,57,0,1,112,224,889,0.4409448818897638,481,1061,0.4533459000942507,131,245,877,0.5034207525655644,0.2857142857142857
15,2020-01-04-16-coppin-state,42.9,12,0.0,0,107.1,78.6,22,0.551,59,0.475,28,0.28800000000000003,17,0.8240000000000001,14,7,200,112.9,37.5,12,14,79,,11.4,8,0.33899999999999997,20,0.45,9,56.7,34,0.589,19.4,16,39,0.48700000000000004,19,0.462,6,"January 4, 2020",44.8,13,2.6,1,112.9,62.5,20,0.588,57,0.509,29,0.193,11,0.727,8,12,200,107.1,21.4,6,16,75,,15.7,11,0.579,33,0.273,9,43.3,26,0.603,16.3,12,24,0.833,20,0.25,4,"Physical Education Complex, Baltimore, Maryland",COPPIN-STATE,Coppin State,69.7,Away,SOUTH-CAROLINA-STATE,South Carolina State,Coppin State,meac,15,False,True,True,Home,False,9,20,57,26,60,9,19,59,0,1,117,241,946,0.4402748414376321,517,1135,0.4555066079295154,140,255,934,0.4978586723768737,0.26666666666666666
16,2020-01-06-19-coppin-state,55.2,16,5.6,1,81.9,88.2,30,0.5820000000000001,61,0.475,29,0.24600000000000002,15,0.733,11,11,200,113.9,30.0,9,21,82,,4.2,3,0.426,26,0.5,13,60.9,39,0.602,19.1,16,35,0.457,16,0.353,6,"January 6, 2020",61.1,11,8.6,3,113.9,70.0,21,0.46799999999999997,47,0.38299999999999995,18,0.638,30,0.5,15,13,200,81.9,11.8,4,18,59,,2.8,2,0.617,29,0.276,8,39.1,25,0.48200000000000004,16.6,12,18,0.556,10,0.235,4,"Physical Education Complex, Baltimore, Maryland",COPPIN-STATE,Coppin State,72.2,Away,NORFOLK-STATE,Norfolk State,Coppin State,meac,16,False,True,True,Home,False,8,10,47,25,64,13,16,61,0,1,126,261,1003,0.44865403788634095,543,1195,0.4543933054393306,149,274,993,0.501007049345418,0.25
17,2020-01-11-16-bethune-cookman,25.8,8,9.4,5,101.2,79.5,35,0.529,68,0.456,31,0.20600000000000002,14,0.5710000000000001,8,14,199,95.2,23.7,9,26,80,,4.8,4,0.515,35,0.28600000000000003,10,53.7,44,0.536,18.6,17,33,0.636,21,0.222,4,"January 11, 2020",40.6,13,6.1,2,95.2,76.3,29,0.5,68,0.47100000000000003,32,0.47100000000000003,32,0.531,17,9,199,101.2,20.5,9,15,85,,13.1,11,0.221,15,0.267,4,46.3,38,0.511,12.8,12,53,0.528,28,0.47100000000000003,8,"Moore Gymnasium, Daytona Beach, Florida",COPPIN-STATE,Coppin State,84.8,Home,BETHUNE-COOKMAN,Bethune-Cookman,Coppin State,meac,17,False,False,False,Away,False,10,21,68,44,82,4,28,68,0,1,134,271,1050,0.4495238095238096,568,1259,0.4511517077045274,162,290,1054,0.5056925996204934,0.2352941176470588
18,2020-01-13-20-florida-am,42.1,8,2.6,1,91.5,82.8,24,0.435,54,0.35200000000000004,19,0.426,23,0.304,7,15,200,76.1,7.5,3,16,54,,7.0,5,0.593,32,0.281,9,39.1,27,0.41600000000000004,8.6,6,22,0.455,10,0.21100000000000002,4,"January 13, 2020",36.0,9,9.1,2,76.1,92.5,37,0.491,54,0.46299999999999997,25,0.315,17,0.706,12,11,200,91.5,17.2,5,17,65,,4.2,3,0.29600000000000004,16,0.188,3,60.9,42,0.524,21.7,17,38,0.579,22,0.267,4,"Al Lawson Center, Tallahassee, Florida",COPPIN-STATE,Coppin State,71.0,Home,FLORIDA-AM,Florida A&M,Coppin State,meac,18,False,False,False,Away,False,9,10,54,27,69,3,22,54,0,1,144,292,1118,0.4543828264758497,612,1341,0.4563758389261745,166,318,1122,0.5053475935828877,0.2222222222222222
19,2020-01-18-16-coppin-state,68.0,17,12.5,4,95.2,70.0,28,0.40399999999999997,68,0.368,25,0.382,26,0.769,20,12,200,90.4,27.3,12,19,75,,8.4,7,0.309,21,0.23800000000000002,5,47.6,40,0.467,15.9,15,47,0.426,20,0.368,7,"January 18, 2020",58.3,14,8.5,4,90.4,72.7,32,0.424,66,0.364,24,0.439,29,0.7929999999999999,23,15,200,95.2,30.0,12,24,79,,6.0,5,0.515,34,0.235,8,52.4,44,0.495,15.1,14,32,0.5,16,0.25,5,"Physical Education Complex, Baltimore, Maryland",NORTH-CAROLINA-AT,North Carolina A&T,82.6,Home,COPPIN-STATE,Coppin State,Coppin State,meac,19,True,False,True,Home,True,8,16,66,44,84,5,20,68,1,0,153,302,1172,0.4534982935153584,639,1410,0.4531914893617021,169,340,1176,0.5046768707482994,0.21052631578947367
20,2020-01-25-16-coppin-state,47.4,9,16.2,6,64.9,63.5,33,0.33799999999999997,65,0.292,19,0.185,12,0.5,6,12,200,67.6,25.0,11,14,50,,12.2,9,0.292,19,0.316,6,45.8,44,0.354,18.5,16,46,0.28300000000000003,13,0.455,10,"January 25, 2020",38.9,7,6.5,3,67.6,75.0,33,0.318,66,0.273,18,0.22699999999999998,15,0.4,6,16,200,64.9,36.5,19,15,48,,12.2,9,0.439,29,0.207,6,54.2,52,0.32799999999999996,20.7,19,37,0.324,12,0.23800000000000002,5,"Physical Education Complex, Baltimore, Maryland",COPPIN-STATE,Coppin State,74.4,Away,MORGAN-STATE,Morgan State,Coppin State,meac,20,False,True,True,Home,False,6,12,66,52,96,6,13,65,0,1,161,318,1238,0.4519386106623586,683,1494,0.4571619812583668,174,360,1244,0.4991961414790997,0.25
21,2020-01-27-19-coppin-state,55.6,15,6.1,2,109.3,61.5,16,0.5,67,0.40299999999999997,27,0.16399999999999998,11,0.727,8,20,200,100.0,33.3,12,22,75,,13.3,10,0.478,32,0.406,13,45.2,28,0.519,16.3,14,35,0.4,14,0.091,2,"January 27, 2020",50.0,15,8.6,3,100.0,66.7,24,0.595,58,0.517,30,0.32799999999999996,19,0.684,13,16,200,109.3,38.5,10,13,82,,6.7,5,0.431,25,0.36,9,54.8,34,0.612,22.3,19,33,0.636,21,0.273,6,"Physical Education Complex, Baltimore, Maryland",HOWARD,Howard,75.1,Home,COPPIN-STATE,Coppin State,Coppin State,meac,21,True,False,True,Home,True,9,21,58,34,62,13,14,67,1,0,167,330,1304,0.4451687116564417,735,1590,0.4622641509433962,180,373,1309,0.4912146676852559,0.2380952380952381
22,2020-02-01-14-delaware-state,52.0,13,10.9,5,101.3,74.3,26,0.469,65,0.385,25,0.10800000000000001,7,1.0,7,17,200,89.5,20.0,7,12,68,,11.8,9,0.569,37,0.297,11,47.1,33,0.498,17.1,14,28,0.5,14,0.261,6,"February 1, 2020",37.5,12,0.0,0,89.5,80.0,28,0.5379999999999999,65,0.4920000000000001,32,0.185,12,0.583,7,17,200,101.3,25.7,9,12,77,,9.2,7,0.292,19,0.316,6,52.9,37,0.545,16.6,14,46,0.565,26,0.15,3,"Memorial Hall, Dover, Delaware",COPPIN-STATE,Coppin State,75.5,Home,DELAWARE-STATE,Delaware State,Coppin State,meac,22,False,False,False,Away,False,11,14,65,33,70,6,26,65,0,1,176,351,1362,0.4515418502202643,769,1652,0.4654963680387409,193,387,1376,0.4916424418604651,0.2727272727272727
23,2020-02-03-19-howard,54.5,12,2.7,1,76.7,80.6,29,0.532,47,0.46799999999999997,22,0.617,29,0.483,14,17,200,87.7,21.4,6,14,64,,9.6,7,0.38299999999999995,18,0.33299999999999996,6,54.7,35,0.527,23.1,18,29,0.552,16,0.292,7,"February 3, 2020",63.6,14,10.3,3,87.7,78.6,22,0.40299999999999997,62,0.355,22,0.161,10,0.6,6,22,200,76.7,19.4,7,19,56,,2.7,2,0.40299999999999997,25,0.24,6,45.3,29,0.419,17.4,14,37,0.4320000000000001,16,0.083,2,"Burr Gymnasium, Washington, District of Columbia",HOWARD,Howard,73.3,Away,COPPIN-STATE,Coppin State,Coppin State,meac,23,False,False,False,Away,True,6,16,47,35,64,6,16,62,1,0,187,365,1427,0.4523475823405746,802,1722,0.4657375145180023,199,413,1441,0.4937543372657877,0.2608695652173913
24,2020-02-08-16-coppin-state,64.0,16,0.0,0,91.3,71.9,23,0.517,58,0.431,25,0.22399999999999998,13,0.615,8,12,200,98.6,26.5,9,15,68,,8.7,6,0.379,22,0.455,10,48.5,32,0.53,15.8,12,36,0.41700000000000004,15,0.478,11,"February 8, 2020",56.5,13,25.0,9,98.6,73.5,25,0.473,55,0.418,23,0.273,15,0.733,11,18,200,91.3,28.1,9,12,63,,7.2,5,0.527,29,0.207,6,51.5,34,0.507,22.6,18,26,0.654,17,0.28,7,"Physical Education Complex, Baltimore, Maryland",COPPIN-STATE,Coppin State,69.2,Away,NORTH-CAROLINA-CENTRAL,North Carolina Central,Coppin State,meac,24,False,True,True,Home,False,6,17,55,34,66,10,15,58,0,1,193,381,1474,0.4548846675712348,837,1786,0.4686450167973124,205,429,1503,0.4900199600798403,0.2916666666666667
25,2020-02-10-19-coppin-state,65.4,17,12.5,4,89.5,72.4,21,0.46299999999999997,67,0.38799999999999996,26,0.16399999999999998,11,0.455,5,21,225,88.2,11.6,5,18,67,,11.8,9,0.44799999999999995,30,0.33299999999999996,10,36.1,26,0.46399999999999997,11.1,9,37,0.4320000000000001,16,0.125,3,"February 10, 2020",52.2,12,10.8,4,88.2,88.4,38,0.457,58,0.397,23,0.293,17,0.882,15,18,225,89.5,27.6,8,14,68,,5.3,4,0.44799999999999995,26,0.26899999999999996,7,63.9,46,0.515,20.6,17,32,0.5,16,0.308,8,"Physical Education Complex, Baltimore, Maryland",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,67.2,Home,COPPIN-STATE,Coppin State,Coppin State,meac,25,True,False,True,Home,True,7,16,58,46,72,10,16,67,1,0,199,398,1529,0.4555264879005886,871,1852,0.4703023758099352,215,444,1561,0.4910313901345291,0.28
26,2020-02-15-16-south-carolina-state,41.7,10,8.5,4,98.6,76.5,26,0.452,62,0.387,24,0.226,14,0.7140000000000001,10,19,200,93.0,7.3,3,19,66,,4.2,3,0.29,18,0.444,8,38.7,29,0.48100000000000004,11.7,9,44,0.364,16,0.29600000000000004,8,"February 15, 2020",66.7,16,9.1,4,93.0,92.7,38,0.491,55,0.436,24,0.418,23,0.696,16,12,200,98.6,23.5,8,16,70,,5.6,4,0.145,8,0.75,6,61.3,46,0.531,12.1,9,47,0.38299999999999995,18,0.478,11,"SHM Memorial Center, Orangeburg, South Carolina",COPPIN-STATE,Coppin State,70.8,Home,SOUTH-CAROLINA-STATE,South Carolina State,Coppin State,meac,26,False,False,False,Away,False,8,16,62,29,75,6,18,55,0,1,206,414,1587,0.4555765595463138,917,1924,0.4766112266112266,225,460,1628,0.4898648648648649,0.3076923076923077
