,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,RICHMOND_homegame,RICHMOND_homegame2,RICHMOND_home,RICHMOND_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
18,2019-01-23-19-saint-josephs,63.0,17,10.0,3,110.4,60.7,17,0.508,59,0.45799999999999996,27,0.254,15,0.667,10,12,200,104.5,9.4,3,14,70,,10.4,7,0.373,22,0.273,6,33.3,20,0.529,5.7,4,37,0.568,21,0.368,7,"January 23, 2019",56.0,14,10.8,4,104.5,90.6,29,0.534,58,0.431,25,0.22399999999999998,13,0.9229999999999999,12,10,200,110.4,39.3,11,13,74,,3.0,2,0.483,28,0.429,12,66.7,40,0.5770000000000001,16.9,13,30,0.433,13,0.474,9,"Hagan Arena, Philadelphia, Pennsylvania",RICHMOND,Richmond,66.7,Home,SAINT-JOSEPHS,St. Joseph's,Richmond,atlantic-10,18,False,False,False,Away,False,6,21,59,20,60,12,13,58,0,1,137,326,992,0.5357862903225806,492,1077,0.4568245125348189,133,338,995,0.5402010050251256,0.3888888888888889
19,2019-01-26-18-richmond,37.5,9,14.3,4,95.0,93.3,28,0.456,57,0.42100000000000004,24,0.281,16,0.875,14,12,200,110.0,30.3,10,15,66,,6.7,4,0.21100000000000002,12,0.33299999999999996,4,60.3,38,0.511,8.6,6,45,0.444,20,0.4,8,"January 26, 2019",45.0,9,6.7,3,110.0,69.7,23,0.45799999999999996,48,0.41700000000000004,20,0.43799999999999994,21,0.619,13,13,200,95.0,6.7,2,12,57,,6.7,4,0.41700000000000004,20,0.2,4,39.7,25,0.49200000000000005,6.5,4,28,0.5710000000000001,16,0.35,7,"Robins Center, Richmond, Virginia",RICHMOND,Richmond,60.3,Away,ST-BONAVENTURE,St. Bonaventure,Richmond,atlantic-10,19,False,True,True,Home,False,4,16,48,25,63,4,20,57,0,1,143,347,1051,0.5342530922930543,512,1137,0.45030782761653476,145,351,1053,0.5398860398860399,0.3684210526315789
20,2019-01-30-19-saint-louis,60.0,18,14.0,7,114.1,47.5,19,0.644,52,0.5770000000000001,30,0.34600000000000003,18,0.9440000000000001,17,13,200,118.3,25.0,5,11,84,,9.9,7,0.308,16,0.43799999999999994,7,40.0,24,0.6940000000000001,20.0,15,36,0.639,23,0.381,8,"January 30, 2019",51.6,16,11.1,4,118.3,75.0,15,0.479,72,0.431,31,0.23600000000000002,17,0.706,12,7,200,114.1,52.5,21,17,81,,16.9,12,0.306,22,0.318,7,60.0,36,0.506,13.1,12,50,0.48,24,0.667,14,"Chaifetz Arena, St. Louis, Missouri",SAINT-LOUIS,Saint Louis,70.8,Away,RICHMOND,Richmond,Richmond,atlantic-10,20,False,False,False,Away,True,7,23,52,24,60,7,24,72,1,0,147,363,1099,0.5309372156505915,537,1200,0.4475,149,371,1110,0.5355855855855856,0.35
21,2019-02-02-18-richmond,50.0,12,16.1,5,87.9,90.3,28,0.5,55,0.436,24,0.382,21,0.524,11,14,200,100.0,32.4,11,19,66,,7.6,5,0.455,25,0.28,7,60.0,39,0.508,14.6,11,30,0.5670000000000001,17,0.3,6,"February 2, 2019",40.9,9,16.7,5,100.0,67.6,23,0.49,50,0.44,22,0.34,17,0.529,9,14,200,87.9,9.7,3,16,58,,9.1,6,0.38,19,0.263,5,40.0,26,0.499,16.1,11,31,0.5479999999999999,17,0.364,8,"Robins Center, Richmond, Virginia",RICHMOND,Richmond,65.5,Away,LA-SALLE,La Salle,Richmond,atlantic-10,21,False,True,True,Home,False,5,17,50,26,65,7,17,55,0,1,154,386,1151,0.5360556038227628,561,1260,0.4452380952380952,156,395,1182,0.5321489001692047,0.38095238095238093
22,2019-02-06-19-richmond,39.3,11,12.5,4,117.4,81.5,22,0.536,56,0.5,28,0.179,10,0.7,7,10,200,97.1,29.6,8,17,67,,7.2,5,0.268,15,0.267,4,55.6,30,0.551,23.9,19,41,0.585,24,0.565,13,"February 6, 2019",60.0,18,4.9,2,97.1,70.4,19,0.66,53,0.5660000000000001,30,0.321,17,0.647,11,14,200,117.4,18.5,5,12,81,,20.3,14,0.396,21,0.47600000000000003,10,44.4,24,0.6629999999999999,15.4,11,32,0.625,20,0.391,9,"Robins Center, Richmond, Virginia",GEORGE-MASON,George Mason,69.4,Home,RICHMOND,Richmond,Richmond,atlantic-10,22,True,False,True,Home,True,10,20,53,24,54,4,24,56,1,0,159,403,1201,0.5341382181515404,587,1325,0.4430188679245283,163,412,1237,0.5307194826192401,0.36363636363636365
23,2019-02-09-18-richmond,50.0,12,3.3,1,136.9,76.2,16,0.54,50,0.48,24,0.22,11,0.818,9,16,200,96.9,0.0,0,15,63,,6.2,4,0.3,15,0.4,6,34.8,16,0.57,16.7,11,35,0.514,18,0.304,7,"February 9, 2019",51.5,17,5.7,2,96.9,100.0,25,0.745,53,0.623,33,0.264,14,0.7140000000000001,10,14,200,136.9,23.8,5,10,89,,12.3,8,0.434,23,0.565,13,65.2,30,0.746,13.2,9,30,0.667,20,0.41700000000000004,10,"Robins Center, Richmond, Virginia",GEORGE-WASHINGTON,George Washington,64.9,Home,RICHMOND,Richmond,Richmond,atlantic-10,23,True,False,True,Home,True,13,20,53,30,46,6,18,50,1,0,169,423,1254,0.5394736842105263,611,1379,0.4430746918056563,167,436,1293,0.5309358081979891,0.391304347826087
24,2019-02-13-19-virginia-commonwealth,60.0,12,4.0,1,124.6,63.2,12,0.535,43,0.465,20,0.628,27,0.519,14,15,200,92.3,25.0,7,20,60,,16.9,11,0.326,14,0.429,6,40.4,19,0.537,21.5,15,29,0.483,14,0.4,10,"February 13, 2019",70.4,19,17.2,5,92.3,75.0,21,0.6809999999999999,47,0.574,27,0.489,23,0.7390000000000001,17,6,200,124.6,36.8,7,23,81,,13.8,9,0.46799999999999997,22,0.455,10,59.6,28,0.6990000000000001,20.8,15,25,0.68,17,0.75,18,"Stuart Siegel Center, Richmond, Virginia",RICHMOND,Richmond,64.9,Home,VIRGINIA-COMMONWEALTH,VCU,Richmond,atlantic-10,24,False,False,False,Away,False,6,14,43,19,47,10,17,47,0,1,182,443,1307,0.5478194338179035,641,1425,0.4498245614035088,173,454,1343,0.5312732688011914,0.4166666666666667
25,2019-02-20-19-richmond,20.0,5,6.1,2,100.0,100.0,31,0.47600000000000003,63,0.397,25,0.175,11,0.818,9,15,200,95.8,21.1,8,12,69,,5.6,4,0.54,34,0.294,10,56.5,39,0.506,17.1,14,29,0.517,15,0.423,11,"February 20, 2019",81.5,22,6.9,2,95.8,78.9,30,0.561,57,0.474,27,0.21100000000000002,12,0.667,8,15,200,100.0,0.0,0,10,72,,11.1,8,0.42100000000000004,24,0.41700000000000004,10,43.5,30,0.574,11.4,8,33,0.515,17,0.423,11,"Robins Center, Richmond, Virginia",FORDHAM,Fordham,72.5,Home,RICHMOND,Richmond,Richmond,atlantic-10,25,True,False,True,Home,True,10,17,57,30,69,10,15,63,1,0,188,457,1350,0.5474074074074075,660,1472,0.4483695652173913,183,471,1390,0.5363309352517985,0.4
26,2019-02-23-14-la-salle,62.5,20,7.1,2,113.6,63.9,23,0.75,48,0.667,32,0.375,18,0.667,12,15,200,127.3,0.0,0,13,84,,7.6,5,0.33299999999999996,16,0.5,8,41.1,23,0.743,15.2,10,32,0.75,24,0.444,12,"February 23, 2019",58.3,14,6.3,2,127.3,100.0,20,0.5,59,0.40700000000000003,24,0.322,19,0.8420000000000001,16,18,200,113.6,36.1,13,16,75,,10.6,7,0.525,31,0.355,11,58.9,33,0.551,14.0,11,28,0.46399999999999997,13,0.308,8,"Tom Gola Arena, Philadelphia, Pennsylvania",LA-SALLE,La Salle,66.3,Away,RICHMOND,Richmond,Richmond,atlantic-10,26,False,False,False,Away,True,8,24,48,23,56,11,13,59,1,0,198,474,1407,0.5479744136460555,690,1541,0.44776119402985076,193,486,1453,0.5337233310392292,0.4230769230769231
27,2019-02-27-19-george-mason,66.7,14,16.7,7,110.0,68.8,22,0.435,54,0.389,21,0.444,24,0.667,16,16,200,90.0,17.6,6,20,63,,12.9,9,0.33299999999999996,18,0.278,5,42.4,28,0.48200000000000004,14.6,11,36,0.444,16,0.429,12,"February 27, 2019",53.6,15,11.1,4,90.0,82.4,28,0.55,60,0.467,28,0.25,15,0.733,11,12,200,110.0,31.3,10,17,77,,7.1,5,0.3,18,0.556,10,57.6,38,0.574,15.3,12,42,0.429,18,0.5710000000000001,16,"EagleBank Arena, Fairfax, Virginia",RICHMOND,Richmond,69.8,Home,GEORGE-MASON,George Mason,Richmond,atlantic-10,27,False,False,False,Away,False,5,16,54,28,66,10,18,60,0,1,206,498,1455,0.554639175257732,713,1597,0.4464621164683782,204,499,1512,0.5324074074074074,0.4444444444444444
