,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DAYTON_homegame,DAYTON_homegame2,DAYTON_home,DAYTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-19-19-dayton,44.4,12,0.0,0,121.4,75.0,15,0.563,56,0.48200000000000004,27,0.23199999999999998,13,0.6920000000000001,9,6,200,102.9,13.8,4,18,72,,5.7,4,0.46399999999999997,26,0.34600000000000003,9,38.8,19,0.579,16.3,12,30,0.6,18,0.455,5,"December 19, 2018",71.9,23,13.3,4,102.9,86.2,25,0.642,53,0.604,32,0.358,19,0.895,17,5,200,121.4,25.0,5,16,85,,7.1,5,0.28300000000000003,15,0.267,4,61.2,30,0.685,16.4,12,38,0.737,28,0.545,6,"University of Dayton Arena, Dayton, Ohio",WESTERN-MICHIGAN,Western Michigan,69.6,Home,DAYTON,Dayton,Dayton,atlantic-10,10,True,False,True,Home,True,4,28,53,30,49,9,18,56,1,0,64,207,556,0.5449640287769785,321,612,0.5245098039215687,78,161,564,0.4929078014184397,0.5
11,2018-12-22-14-dayton,52.0,13,5.4,2,114.1,80.0,20,0.444,72,0.34700000000000003,25,0.09699999999999999,7,0.7140000000000001,5,7,200,97.2,26.2,11,15,69,,5.6,4,0.569,41,0.341,14,46.3,31,0.45799999999999996,9.6,8,31,0.355,11,0.462,6,"December 22, 2018",48.5,16,16.1,5,97.2,73.8,31,0.645,55,0.6,33,0.255,14,0.7140000000000001,10,5,200,114.1,20.0,5,10,81,,5.6,4,0.327,18,0.278,5,53.7,36,0.657,17.5,13,37,0.757,28,0.583,7,"University of Dayton Arena, Dayton, Ohio",PRESBYTERIAN,Presbyterian,71.0,Home,DAYTON,Dayton,Dayton,atlantic-10,11,True,False,True,Home,True,5,28,55,36,67,14,11,72,1,0,68,235,609,0.5533661740558292,351,661,0.5310136157337367,87,179,620,0.4991935483870968,0.5454545454545454
12,2018-12-29-15-dayton,62.9,22,7.1,3,116.0,73.1,19,0.6509999999999999,63,0.556,35,0.222,14,0.5710000000000001,8,5,200,111.1,17.9,5,18,90,,6.2,5,0.413,26,0.462,12,44.4,24,0.6459999999999999,18.8,16,37,0.622,23,0.615,8,"December 29, 2018",73.0,27,2.7,1,111.1,82.1,23,0.623,65,0.569,37,0.27699999999999997,18,0.722,13,5,200,116.0,26.9,7,12,94,,3.7,3,0.354,23,0.304,7,55.6,30,0.639,16.1,14,42,0.7140000000000001,30,0.615,8,"University of Dayton Arena, Dayton, Ohio",GEORGIA-SOUTHERN,Georgia Southern,80.6,Home,DAYTON,Dayton,Dayton,atlantic-10,12,True,False,True,Home,True,7,30,65,30,54,12,23,63,1,0,73,263,664,0.5609939759036144,387,728,0.5315934065934066,101,190,692,0.4934971098265896,0.5833333333333334
13,2019-01-06-12-dayton,88.9,16,2.6,1,110.8,66.7,18,0.385,61,0.295,18,0.115,7,0.14300000000000002,1,8,200,73.8,22.7,10,17,48,,7.7,5,0.623,38,0.289,11,39.4,28,0.373,14.7,11,23,0.304,7,0.429,6,"January 6, 2019",51.6,16,13.0,3,73.8,77.3,34,0.56,58,0.534,31,0.19,11,0.636,7,5,200,110.8,33.3,9,8,72,,9.2,6,0.345,20,0.15,3,60.6,43,0.569,13.7,10,38,0.737,28,0.643,9,"University of Dayton Arena, Dayton, Ohio",RICHMOND,Richmond,64.8,Home,DAYTON,Dayton,Dayton,atlantic-10,13,True,False,True,Home,True,3,28,58,43,71,11,7,61,1,0,80,293,729,0.5665294924554184,417,782,0.5332480818414322,113,213,755,0.5066225165562914,0.6153846153846154
14,2019-01-09-19-george-washington,72.0,18,2.7,1,93.0,71.1,27,0.5660000000000001,53,0.47200000000000003,25,0.358,19,0.632,12,5,200,101.4,22.6,7,13,72,,12.7,9,0.434,23,0.435,10,49.3,34,0.58,19.6,15,30,0.5,15,0.667,10,"January 9, 2019",58.3,14,10.0,3,101.4,77.4,24,0.45299999999999996,64,0.375,24,0.141,9,0.889,8,10,200,93.0,28.9,11,16,66,,9.9,7,0.42200000000000004,27,0.37,10,50.7,35,0.483,17.1,14,37,0.37799999999999995,14,0.33299999999999996,5,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,70.7,Away,DAYTON,Dayton,Dayton,atlantic-10,14,False,False,False,Away,True,10,15,53,34,69,10,14,64,1,0,83,321,787,0.5660736975857688,460,853,0.5392731535756154,124,220,816,0.49754901960784315,0.6428571428571429
15,2019-01-13-15-dayton,44.4,12,12.5,4,110.8,90.0,27,0.552,58,0.466,27,0.069,4,0.75,3,9,200,103.1,21.4,6,19,67,,6.2,4,0.431,25,0.4,10,56.9,33,0.5589999999999999,15.5,11,33,0.515,17,0.43799999999999994,7,"January 13, 2019",75.0,18,12.1,4,103.1,78.6,22,0.578,51,0.47100000000000003,24,0.41200000000000003,21,0.619,13,5,200,110.8,10.0,3,11,72,,10.8,7,0.373,19,0.579,11,43.1,25,0.59,10.4,7,32,0.406,13,0.688,11,"University of Dayton Arena, Dayton, Ohio",MASSACHUSETTS,UMass,64.9,Home,DAYTON,Dayton,Dayton,atlantic-10,15,True,False,True,Home,True,11,13,51,25,58,10,17,58,1,0,93,336,840,0.5660714285714286,494,922,0.5357917570498916,134,234,880,0.4943181818181818,0.6666666666666666
16,2019-01-16-20-virginia-commonwealth,61.5,16,7.5,3,110.1,65.7,23,0.509,55,0.473,26,0.418,23,0.652,15,6,200,102.9,21.2,7,21,71,,4.3,3,0.29100000000000004,16,0.25,4,44.1,30,0.5379999999999999,15.6,12,39,0.564,22,0.647,11,"January 16, 2019",44.4,12,10.3,4,102.9,78.8,26,0.534,59,0.45799999999999996,27,0.373,22,0.591,13,5,200,110.1,34.3,12,19,76,,7.2,5,0.322,19,0.474,9,55.9,38,0.547,11.6,9,40,0.45,18,0.706,12,"Stuart Siegel Center, Richmond, Virginia",DAYTON,Dayton,68.7,Home,VIRGINIA-COMMONWEALTH,VCU,Dayton,atlantic-10,16,False,False,False,Away,False,4,22,55,30,68,9,18,59,0,1,104,349,891,0.5667789001122334,519,980,0.5295918367346939,144,251,938,0.4978678038379531,0.6875
17,2019-01-19-16-st-bonaventure,53.3,16,6.0,3,108.9,65.1,28,0.593,59,0.508,30,0.475,28,0.679,19,6,250,112.7,16.0,4,18,89,,7.6,6,0.424,25,0.4,10,47.1,32,0.615,14.4,12,34,0.588,20,0.667,12,"January 19, 2019",48.4,15,17.6,6,112.7,84.0,21,0.467,76,0.408,31,0.25,19,0.789,15,12,250,108.9,34.9,15,19,86,,5.1,4,0.342,26,0.34600000000000003,9,52.9,36,0.506,7.7,7,50,0.44,22,0.33299999999999996,6,"Reilly Center, St. Bonaventure, New York",ST-BONAVENTURE,St. Bonaventure,62.9,Away,DAYTON,Dayton,Dayton,atlantic-10,17,False,False,False,Away,True,10,20,59,32,68,9,22,76,1,0,108,371,946,0.5634249471458774,549,1048,0.523854961832061,153,269,997,0.5,0.6470588235294118
18,2019-01-23-19-dayton,45.8,11,0.0,0,98.4,72.4,21,0.509,53,0.45299999999999996,24,0.302,16,0.813,13,8,200,104.7,20.0,6,12,67,,10.9,7,0.377,20,0.3,6,45.8,27,0.5529999999999999,11.8,8,33,0.545,18,0.6,12,"January 23, 2019",76.0,19,12.1,4,104.7,80.0,24,0.537,54,0.46299999999999997,25,0.16699999999999998,9,0.556,5,7,200,98.4,27.6,8,11,63,,4.7,3,0.5,27,0.29600000000000004,8,54.2,32,0.541,20.6,15,27,0.63,17,0.632,12,"University of Dayton Arena, Dayton, Ohio",DAYTON,Dayton,63.9,Away,GEORGE-MASON,George Mason,Dayton,atlantic-10,18,False,True,True,Home,False,8,17,54,32,59,6,18,53,0,1,118,391,1005,0.5651741293532339,581,1116,0.5206093189964157,162,291,1073,0.4976700838769804,0.6666666666666666
19,2019-01-26-14-fordham,62.1,18,5.4,2,77.6,80.0,32,0.563,56,0.518,29,0.321,18,0.667,12,7,200,111.9,34.5,10,11,75,,6.0,4,0.268,15,0.33299999999999996,5,60.9,42,0.581,15.8,12,41,0.585,24,0.65,13,"January 26, 2019",50.0,9,2.4,1,111.9,65.5,19,0.344,61,0.295,18,0.213,13,0.769,10,11,200,77.6,20.0,8,15,52,,9.0,6,0.39299999999999996,24,0.25,6,39.1,27,0.387,10.7,8,37,0.324,12,0.45,9,"Rose Hill Gym, Bronx, New York",FORDHAM,Fordham,66.9,Away,DAYTON,Dayton,Dayton,atlantic-10,19,False,False,False,Away,True,5,24,56,42,69,6,12,61,1,0,126,408,1059,0.5637393767705382,613,1175,0.5217021276595745,168,309,1126,0.49822380106571934,0.631578947368421
20,2019-01-29-20-dayton,41.7,10,14.6,6,113.6,71.4,25,0.509,57,0.42100000000000004,24,0.158,9,0.667,6,12,200,97.0,15.2,5,14,64,,6.1,4,0.544,31,0.32299999999999995,10,44.1,30,0.522,12.9,9,26,0.5379999999999999,14,0.429,9,"January 29, 2019",62.1,18,7.7,2,97.0,84.8,28,0.5,63,0.46,29,0.23800000000000002,15,0.8,12,7,200,113.6,28.6,10,10,75,,6.1,4,0.349,22,0.22699999999999998,5,55.9,38,0.535,9.1,7,41,0.585,24,0.667,14,"University of Dayton Arena, Dayton, Ohio",SAINT-JOSEPHS,St. Joseph's,66.2,Home,DAYTON,Dayton,Dayton,atlantic-10,20,True,False,True,Home,True,5,24,63,38,68,10,14,57,1,0,131,432,1115,0.5636771300448431,655,1244,0.5265273311897106,174,321,1187,0.4903117101937658,0.65
21,2019-02-02-14-dayton,40.0,10,15.4,6,107.9,63.3,19,0.439,66,0.379,25,0.121,8,0.75,6,7,200,101.6,44.7,17,16,64,,9.5,6,0.424,28,0.28600000000000003,8,52.9,36,0.45799999999999996,11.5,9,38,0.447,17,0.682,15,"February 2, 2019",46.2,12,10.5,4,101.6,55.3,21,0.518,55,0.473,26,0.327,18,0.611,11,7,200,107.9,36.7,11,10,68,,11.1,7,0.29100000000000004,16,0.313,5,47.1,32,0.535,16.0,12,39,0.5379999999999999,21,0.682,15,"University of Dayton Arena, Dayton, Ohio",DUQUESNE,Duquesne,63.2,Home,DAYTON,Dayton,Dayton,atlantic-10,21,True,False,True,Home,True,5,21,55,32,68,8,17,66,1,0,136,456,1178,0.5602716468590832,693,1312,0.5282012195121951,184,335,1244,0.49115755627009644,0.6666666666666666
22,2019-02-05-21-saint-louis,39.1,9,2.7,1,114.1,55.3,21,0.45399999999999996,54,0.426,23,0.278,15,0.733,11,8,200,93.8,30.0,9,20,60,,4.7,3,0.29600000000000004,16,0.188,3,44.1,30,0.491,16.5,12,38,0.526,20,0.652,15,"February 5, 2019",45.8,11,13.2,5,93.8,70.0,21,0.465,57,0.42100000000000004,24,0.561,32,0.625,20,8,200,114.1,44.7,17,17,73,,10.9,7,0.35100000000000003,20,0.25,5,55.9,38,0.506,10.1,8,37,0.514,19,0.652,15,"Chaifetz Arena, St. Louis, Missouri",DAYTON,Dayton,63.7,Home,SAINT-LOUIS,Saint Louis,Dayton,atlantic-10,22,False,False,False,Away,False,3,20,54,30,68,5,19,57,0,1,141,477,1233,0.5583941605839416,725,1380,0.5253623188405797,192,352,1310,0.48854961832061067,0.6818181818181818
23,2019-02-09-16-rhode-island,54.8,17,5.7,2,78.7,68.4,26,0.6940000000000001,49,0.633,31,0.245,12,0.75,9,8,200,126.2,35.3,6,18,77,,9.8,6,0.245,12,0.5,6,58.2,32,0.7040000000000001,15.6,10,37,0.6759999999999999,25,0.667,16,"February 9, 2019",68.8,11,16.2,6,126.2,64.7,11,0.324,54,0.29600000000000004,16,0.37,20,0.65,13,11,200,78.7,31.6,12,13,48,,6.6,4,0.35200000000000004,19,0.158,3,41.8,23,0.37799999999999995,16.0,12,35,0.371,13,0.522,12,"Ryan Center, Kingston, Rhode Island",RHODE-ISLAND,Rhode Island,61.1,Away,DAYTON,Dayton,Dayton,atlantic-10,23,False,False,False,Away,True,6,25,49,32,55,3,13,54,1,0,144,497,1287,0.554001554001554,755,1448,0.5214088397790055,197,371,1367,0.48756400877834677,0.6521739130434783
24,2019-02-16-16-dayton,55.6,15,11.4,4,104.6,80.8,21,0.544,57,0.474,27,0.158,9,0.778,7,6,200,106.2,43.3,13,17,69,,9.2,6,0.40399999999999997,23,0.348,8,60.7,34,0.563,18.7,14,34,0.5589999999999999,19,0.76,19,"February 16, 2019",64.0,16,5.9,2,106.2,56.7,17,0.57,50,0.5,25,0.36,18,0.611,11,9,200,104.6,19.2,5,13,68,,7.7,5,0.3,15,0.467,7,39.3,22,0.581,19.5,14,35,0.514,18,0.64,16,"University of Dayton Arena, Dayton, Ohio",DAYTON,Dayton,64.9,Away,VIRGINIA-COMMONWEALTH,VCU,Dayton,atlantic-10,24,False,True,True,Home,False,7,18,50,22,56,8,19,57,0,1,150,522,1336,0.5591317365269461,787,1503,0.5236194278110445,200,384,1421,0.4813511611541168,0.6666666666666666
25,2019-02-19-18-davidson,50.0,12,2.8,1,109.0,71.9,23,0.55,50,0.48,24,0.52,26,0.731,19,9,200,110.4,14.3,4,19,74,,4.5,3,0.4,20,0.35,7,45.0,27,0.593,12.8,9,30,0.5670000000000001,17,0.654,17,"February 19, 2019",52.0,13,6.7,2,110.4,85.7,24,0.491,57,0.439,25,0.35100000000000003,20,0.85,17,7,200,109.0,28.1,9,20,73,,7.5,5,0.368,21,0.28600000000000003,6,55.0,33,0.5489999999999999,12.0,9,36,0.528,19,0.731,19,"Belk Arena, Davidson, North Carolina",DAVIDSON,Davidson,66.9,Away,DAYTON,Dayton,Dayton,atlantic-10,25,False,False,False,Away,True,7,17,50,27,60,6,19,57,1,0,157,540,1386,0.5595238095238095,809,1559,0.5189223861449648,208,403,1478,0.4837618403247632,0.64
26,2019-02-23-16-dayton,46.2,12,0.0,0,107.7,71.4,20,0.5,56,0.46399999999999997,26,0.25,14,0.429,6,10,199,95.4,21.9,7,18,62,,9.2,6,0.23199999999999998,13,0.308,4,45.0,27,0.495,15.0,11,43,0.512,22,0.63,17,"February 23, 2019",58.3,14,4.7,2,95.4,78.1,25,0.604,48,0.5,24,0.41700000000000004,20,0.6,12,9,199,107.7,28.6,8,11,70,,3.1,2,0.45799999999999996,22,0.455,10,55.0,33,0.609,19.8,14,26,0.5379999999999999,14,0.667,18,"University of Dayton Arena, Dayton, Ohio",SAINT-LOUIS,Saint Louis,65.4,Home,DAYTON,Dayton,Dayton,atlantic-10,26,True,False,True,Home,True,10,14,48,33,60,4,22,56,1,0,164,557,1436,0.5591922005571031,836,1619,0.5163681284743669,214,422,1535,0.48403908794788275,0.6538461538461539
27,2019-02-26-19-massachusetts,57.7,15,5.3,2,69.6,74.3,26,0.585,47,0.5529999999999999,26,0.532,25,0.68,17,9,200,104.3,20.8,5,18,72,,14.5,10,0.255,12,0.25,3,52.5,31,0.611,18.3,13,35,0.657,23,0.679,19,"February 26, 2019",50.0,9,8.6,3,104.3,79.2,19,0.365,52,0.34600000000000003,18,0.25,13,0.769,10,18,200,69.6,25.7,9,17,48,,5.8,4,0.26899999999999996,14,0.14300000000000002,2,47.5,28,0.413,26.7,21,38,0.42100000000000004,16,0.35700000000000004,10,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,68.5,Away,DAYTON,Dayton,Dayton,atlantic-10,27,False,False,False,Away,True,3,23,47,31,59,2,16,52,1,0,174,571,1484,0.5606469002695418,869,1679,0.5175699821322216,218,444,1591,0.4846008799497172,0.6666666666666666
