,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NICHOLLS-STATE_homegame,NICHOLLS-STATE_homegame2,NICHOLLS-STATE_home,NICHOLLS-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-18-20-louisiana-monroe,45.8,11,7.1,3,130.1,69.0,20,0.444,63,0.381,24,0.222,14,0.857,12,6,200,93.2,31.4,11,21,68,,0.0,0,0.413,26,0.308,8,48.4,31,0.488,18.8,16,37,0.43200000000000005,16,0.455,5,"December 18, 2018",54.5,18,10.8,4,93.2,68.6,24,0.627,59,0.5589999999999999,33,0.475,28,0.75,21,4,200,130.1,31.0,9,16,95,,5.5,4,0.28800000000000003,17,0.47100000000000003,8,51.6,33,0.657,11.2,9,42,0.595,25,0.6,6,"Fant-Ewing Coliseum, Monroe, Louisiana",NICHOLLS-STATE,Nicholls State,73.5,Home,LOUISIANA-MONROE,Louisiana-Monroe,Nicholls State,southland,10,False,False,False,Away,False,8,16,63,31,64,8,25,59,0,1,95,165,642,0.47897196261682246,305,685,0.44525547445255476,69,192,597,0.4949748743718593,0.5
11,2018-12-22-15-nicholls-state,44.4,12,3.2,1,113.5,73.9,17,0.418,73,0.37,27,0.11,8,0.75,6,0,200,90.5,30.2,13,10,67,,9.5,7,0.342,25,0.28,7,45.5,30,0.436,13.6,12,48,0.41700000000000004,20,0.0,0,"December 22, 2018",43.8,14,14.6,7,90.5,69.8,30,0.667,57,0.561,32,0.175,10,0.8,8,6,200,113.5,26.1,6,12,84,,9.5,7,0.456,26,0.462,12,54.5,36,0.68,21.7,17,31,0.645,20,0.5,6,"David Stopher Gymnasium, Thibodaux, Louisiana","Mobile
			","Mobile
			",74.3,Home,NICHOLLS-STATE,Nicholls State,Nicholls State,southland,11,True,False,True,Home,True,12,20,57,36,66,7,20,73,1,0,103,181,705,0.47588652482269506,336,749,0.4485981308411215,77,217,656,0.506859756097561,0.45454545454545453
12,2018-12-29-14-nicholls-state,34.8,8,7.9,3,97.8,61.4,27,0.405,63,0.365,23,0.302,19,0.632,12,0,200,70.0,19.5,8,22,63,,11.1,10,0.317,20,0.25,5,41.2,35,0.43700000000000006,28.2,28,43,0.419,18,0.0,0,"December 29, 2018",50.0,14,11.6,5,70.0,80.5,33,0.47200000000000003,71,0.39399999999999996,28,0.38,27,0.778,21,6,200,97.8,38.6,17,18,88,,14.4,13,0.465,33,0.33299999999999996,11,58.8,50,0.525,21.0,22,38,0.447,17,0.5379999999999999,7,"David Stopher Gymnasium, Thibodaux, Louisiana","Campbellsville
			","Campbellsville
			",90.4,Home,NICHOLLS-STATE,Nicholls State,Nicholls State,southland,12,True,False,True,Home,True,11,17,71,50,85,5,18,63,1,0,115,201,762,0.49015748031496065,372,815,0.456441717791411,84,237,729,0.49794238683127573,0.5
13,2019-01-02-19-northwestern-state,59.3,16,9.8,4,98.6,65.8,25,0.484,63,0.429,27,0.349,22,0.773,17,6,200,106.8,34.4,11,19,78,,6.8,5,0.33299999999999996,21,0.33299999999999996,7,51.4,36,0.531,13.1,11,42,0.47600000000000003,20,0.5710000000000001,8,"January 2, 2019",54.2,13,19.0,8,106.8,65.6,21,0.43,64,0.375,24,0.359,23,0.7390000000000001,17,9,200,98.6,34.2,13,19,72,,5.5,4,0.359,23,0.304,7,48.6,34,0.48,12.9,11,41,0.415,17,0.35700000000000004,5,"Prather Coliseum, Natchitoches, Louisiana",NORTHWESTERN-STATE,Northwestern State,73.2,Away,NICHOLLS-STATE,Nicholls State,Nicholls State,southland,13,False,False,False,Away,True,7,20,63,36,70,7,17,64,1,0,126,218,833,0.4885954381752701,422,900,0.4688888888888889,89,255,792,0.49053030303030304,0.5384615384615384
14,2019-01-05-20-incarnate-word,50.0,12,10.6,5,97.0,70.0,21,0.429,63,0.381,24,0.111,7,0.5710000000000001,4,7,200,86.6,36.8,14,11,58,,7.5,5,0.429,27,0.222,6,51.5,35,0.43700000000000006,17.5,14,36,0.5,18,0.5329999999999999,8,"January 5, 2019",51.9,14,5.6,2,86.6,63.2,24,0.467,61,0.44299999999999995,27,0.131,8,1.0,8,9,200,97.0,30.0,9,13,65,,7.5,5,0.23,14,0.214,3,48.5,33,0.502,14.6,11,47,0.511,24,0.4,6,"McDermott Center, San Antonio, Texas",NICHOLLS-STATE,Nicholls State,66.6,Home,INCARNATE-WORD,Incarnate Word,Nicholls State,southland,14,False,False,False,Away,False,6,18,63,35,68,3,24,61,0,1,133,238,896,0.48828125,458,970,0.47216494845360824,96,272,856,0.48598130841121495,0.5714285714285714
15,2019-01-09-20-nicholls-state,50.0,15,10.0,3,105.4,73.3,22,0.485,66,0.455,30,0.258,17,0.529,9,6,200,98.6,34.3,12,19,73,,5.4,4,0.22699999999999998,15,0.267,4,52.3,34,0.493,14.0,12,51,0.51,26,0.5710000000000001,8,"January 9, 2019",66.7,18,5.9,3,98.6,65.7,23,0.508,61,0.44299999999999995,27,0.32799999999999996,20,0.8,16,7,200,105.4,26.7,8,18,78,,6.8,5,0.508,31,0.258,8,47.7,31,0.5529999999999999,14.7,12,30,0.633,19,0.562,9,"David Stopher Gymnasium, Thibodaux, Louisiana",STEPHEN-F-AUSTIN,Stephen F. Austin,74.3,Home,NICHOLLS-STATE,Nicholls State,Nicholls State,southland,15,True,False,True,Home,True,8,19,61,31,65,4,26,66,1,0,139,256,959,0.48435870698644423,493,1038,0.4749518304431599,99,296,917,0.4847328244274809,0.5333333333333333
16,2019-01-12-16-nicholls-state,46.4,13,0.0,0,106.9,74.2,23,0.5,59,0.475,28,0.49200000000000005,29,0.586,17,9,200,105.6,45.5,15,13,76,,6.9,5,0.22,13,0.231,3,59.4,38,0.522,17.3,15,46,0.5429999999999999,25,0.35700000000000004,5,"January 12, 2019",45.2,14,6.5,3,105.6,54.5,18,0.581,62,0.5,31,0.161,10,0.5,5,7,200,106.9,25.8,8,25,77,,11.1,8,0.387,24,0.41700000000000004,10,40.6,26,0.5770000000000001,15.3,12,38,0.5529999999999999,21,0.588,10,"David Stopher Gymnasium, Thibodaux, Louisiana",HOUSTON-BAPTIST,Houston Baptist,71.8,Home,NICHOLLS-STATE,Nicholls State,Nicholls State,southland,16,True,False,True,Home,True,10,21,62,26,64,3,25,59,1,0,147,275,1020,0.4857843137254902,524,1103,0.47506799637352676,103,322,983,0.48474059003051884,0.5625
17,2019-01-16-19-mcneese-state,50.0,14,12.8,6,119.4,63.9,23,0.531,65,0.431,28,0.092,6,1.0,6,8,200,104.2,17.6,6,16,75,,11.1,8,0.523,34,0.382,13,41.4,29,0.5529999999999999,12.9,10,31,0.484,15,0.556,10,"January 16, 2019",61.8,21,19.4,6,104.2,82.4,28,0.575,67,0.507,34,0.19399999999999998,13,0.6920000000000001,9,12,200,119.4,36.1,13,10,86,,2.8,2,0.299,20,0.45,9,58.6,41,0.588,14.2,12,47,0.532,25,0.33299999999999996,6,"H&HP Complex, Lake Charles, Louisiana",NICHOLLS-STATE,Nicholls State,72.0,Home,MCNEESE-STATE,McNeese State,Nicholls State,southland,17,False,False,False,Away,False,13,15,65,29,70,9,25,67,0,1,157,296,1082,0.4912199630314233,550,1167,0.4712939160239931,106,347,1042,0.4856046065259117,0.5882352941176471
18,2019-01-19-17-central-arkansas,60.9,14,5.6,2,105.7,87.1,27,0.49200000000000005,62,0.371,23,0.19399999999999998,12,0.583,7,9,200,97.1,32.4,12,16,68,,10.0,7,0.532,33,0.455,15,57.4,39,0.502,16.2,13,29,0.276,8,0.526,10,"January 19, 2019",62.1,18,20.7,6,97.1,67.6,25,0.5539999999999999,56,0.518,29,0.33899999999999997,19,0.632,12,10,200,105.7,12.9,4,11,74,,11.4,8,0.35700000000000004,20,0.2,4,42.6,29,0.569,13.4,10,36,0.6940000000000001,25,0.474,9,"Jeff Farris Center, Conway, Arkansas",NICHOLLS-STATE,Nicholls State,69.9,Home,CENTRAL-ARKANSAS,Central Arkansas,Nicholls State,southland,18,False,False,False,Away,False,15,8,62,39,68,4,25,56,0,1,170,311,1147,0.4934612031386225,579,1237,0.46806790622473726,115,372,1109,0.4909828674481515,0.5555555555555556
19,2019-01-23-20-texas-am-corpus-christi,68.2,15,10.8,4,110.3,74.3,26,0.569,51,0.431,22,0.353,18,0.833,15,10,200,107.4,10.3,3,19,73,,5.9,4,0.49,25,0.56,14,45.3,29,0.613,13.3,9,26,0.308,8,0.5,10,"January 23, 2019",52.0,13,7.7,2,107.4,89.7,26,0.484,61,0.41,25,0.311,19,0.8420000000000001,16,10,200,110.3,25.7,9,16,75,,4.4,3,0.39299999999999996,24,0.375,9,54.7,35,0.536,11.5,9,37,0.43200000000000005,16,0.474,9,"American Bank Center, Corpus Christi, Texas",NICHOLLS-STATE,Nicholls State,67.8,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Nicholls State,southland,19,False,False,False,Away,False,14,8,51,29,64,9,16,61,0,1,185,319,1209,0.4933829611248966,618,1305,0.4735632183908046,119,397,1165,0.4939914163090129,0.5263157894736842
20,2019-01-30-20-nicholls-state,48.4,15,19.4,6,100.0,78.1,25,0.57,57,0.544,31,0.474,27,0.9259999999999999,25,11,200,130.4,43.5,10,13,90,,8.7,6,0.263,15,0.2,3,63.6,35,0.644,11.6,9,42,0.667,28,0.47600000000000003,10,"January 30, 2019",57.7,15,7.1,3,130.4,56.5,13,0.516,63,0.413,26,0.063,4,1.0,4,11,200,100.0,21.9,7,22,69,,4.3,3,0.508,32,0.406,13,36.4,20,0.532,15.6,12,31,0.419,13,0.47600000000000003,10,"David Stopher Gymnasium, Thibodaux, Louisiana",NICHOLLS-STATE,Nicholls State,69.4,Away,LAMAR,Lamar,Nicholls State,southland,20,False,True,True,Home,False,13,13,63,20,55,3,28,57,0,1,199,327,1260,0.49642857142857144,647,1369,0.47260774287801316,128,413,1226,0.4934747145187602,0.5
21,2019-02-02-17-southeastern-louisiana,48.0,12,5.6,2,130.0,54.8,17,0.58,50,0.5,25,0.34,17,0.706,12,12,200,100.0,19.2,5,18,70,,5.7,4,0.48,24,0.33299999999999996,8,38.6,22,0.603,21.8,16,26,0.654,17,0.455,10,"February 2, 2019",73.5,25,3.8,1,100.0,80.8,21,0.609,64,0.531,34,0.281,18,0.722,13,13,200,130.0,45.2,14,17,91,,8.6,6,0.43799999999999994,28,0.35700000000000004,10,61.4,35,0.627,15.3,13,36,0.667,24,0.409,9,"University Center, Hammond, Louisiana",NICHOLLS-STATE,Nicholls State,70.3,Home,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Nicholls State,southland,21,False,False,False,Away,False,8,17,50,22,57,10,24,64,0,1,212,340,1323,0.4973544973544973,667,1424,0.4683988764044944,131,441,1283,0.4968823070927514,0.47619047619047616
22,2019-02-09-17-new-orleans,79.2,19,12.8,5,96.9,58.1,18,0.536,56,0.429,24,0.161,9,0.444,4,12,200,98.5,26.5,9,16,64,,10.8,7,0.446,25,0.48,12,41.5,27,0.531,16.7,12,31,0.387,12,0.478,11,"February 9, 2019",44.0,11,19.4,6,98.5,73.5,25,0.48200000000000004,56,0.446,25,0.268,15,0.6,9,10,200,96.9,41.9,13,14,63,,7.7,5,0.304,17,0.235,4,58.5,38,0.499,20.4,16,39,0.5379999999999999,21,0.565,13,"Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,64.7,Away,NICHOLLS-STATE,Nicholls State,Nicholls State,southland,22,False,False,False,Away,True,12,12,56,27,65,4,21,56,1,0,220,357,1373,0.5003641660597232,689,1481,0.46522619851451724,141,465,1347,0.5022271714922049,0.45454545454545453
23,2019-02-13-20-nicholls-state,62.5,15,9.4,3,71.6,88.6,31,0.433,60,0.4,24,0.233,14,0.857,12,5,200,95.5,18.8,6,12,64,,10.4,7,0.317,19,0.21100000000000002,4,55.2,37,0.48,9.6,7,41,0.488,20,0.8,20,"February 13, 2019",43.8,7,7.3,3,95.5,81.3,26,0.34299999999999997,54,0.29600000000000004,16,0.24100000000000002,13,0.846,11,13,200,71.6,11.4,4,14,48,,6.0,4,0.40700000000000003,22,0.22699999999999998,5,44.8,30,0.39899999999999997,14.3,10,32,0.344,11,0.45799999999999996,11,"David Stopher Gymnasium, Thibodaux, Louisiana",NICHOLLS-STATE,Nicholls State,66.9,Away,ABILENE-CHRISTIAN,Abilene Christian,Nicholls State,southland,23,False,True,True,Home,False,5,11,54,30,67,4,20,60,0,1,232,369,1429,0.5017494751574527,716,1546,0.463130659767141,145,486,1403,0.5014255167498218,0.4782608695652174
24,2019-02-16-20-houston-baptist,53.3,16,7.0,3,108.6,57.6,19,0.514,71,0.423,30,0.16899999999999998,12,0.75,9,14,200,101.2,25.6,10,29,82,,14.8,12,0.465,33,0.39399999999999996,13,40.3,29,0.535,15.5,14,38,0.447,17,0.44,11,"February 16, 2019",41.4,12,5.3,2,101.2,74.4,29,0.5,62,0.46799999999999997,29,0.613,38,0.684,26,14,200,108.6,42.4,14,15,88,,3.7,3,0.306,19,0.21100000000000002,4,59.7,43,0.55,16.9,16,43,0.581,25,0.391,9,"Frank and Lucille Sharp Gymnasium, Houston, Texas",NICHOLLS-STATE,Nicholls State,81.4,Home,HOUSTON-BAPTIST,Houston Baptist,Nicholls State,southland,24,False,False,False,Away,False,13,17,71,29,72,4,25,62,0,1,237,380,1483,0.4959541469993257,746,1613,0.4624922504649721,149,506,1463,0.49863294600136704,0.4583333333333333
25,2019-02-20-19-sam-houston-state,72.0,18,9.8,4,107.7,69.4,25,0.469,65,0.385,25,0.231,15,0.867,13,15,225,94.9,14.6,6,21,74,,10.3,8,0.49200000000000005,32,0.344,11,40.3,31,0.513,15.4,13,33,0.424,14,0.423,11,"February 20, 2019",60.0,18,15.2,5,94.9,85.4,35,0.531,65,0.462,30,0.32299999999999995,21,0.7140000000000001,15,9,225,107.7,30.6,11,10,84,,10.3,8,0.369,24,0.375,9,59.7,46,0.56,13.9,12,41,0.512,21,0.667,18,"Johnson Coliseum, Huntsville, Texas",NICHOLLS-STATE,Nicholls State,68.9,Home,SAM-HOUSTON-STATE,Sam Houston State,Nicholls State,southland,25,False,False,False,Away,False,11,14,65,31,77,9,21,65,0,1,250,397,1554,0.4967824967824968,775,1685,0.4599406528189911,153,531,1525,0.49868852459016394,0.44
26,2019-02-23-16-nicholls-state,76.5,13,12.5,3,135.1,80.0,28,0.36200000000000004,58,0.293,17,0.379,22,0.682,15,17,200,77.0,23.7,9,17,57,,5.4,4,0.483,28,0.28600000000000003,8,50.7,37,0.41600000000000004,20.1,17,30,0.3,9,0.37,10,"February 23, 2019",66.7,22,26.7,8,77.0,76.3,29,0.677,65,0.508,33,0.262,17,0.706,12,15,200,135.1,20.0,7,18,100,,9.5,7,0.631,41,0.537,22,49.3,36,0.684,7.6,6,24,0.45799999999999996,11,0.444,12,"David Stopher Gymnasium, Thibodaux, Louisiana",CENTRAL-ARKANSAS,Central Arkansas,74.3,Home,NICHOLLS-STATE,Nicholls State,Nicholls State,southland,26,True,False,True,Home,True,22,11,65,36,73,8,9,58,1,0,261,411,1619,0.49567634342186534,806,1762,0.45743473325766176,162,552,1590,0.5,0.4230769230769231
