,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTHERN-METHODIST_homegame,SOUTHERN-METHODIST_homegame2,SOUTHERN-METHODIST_home,SOUTHERN-METHODIST_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-15-12-georgetown,53.6,15,10.0,4,100.0,65.7,23,0.5589999999999999,59,0.475,28,0.373,22,0.682,15,4,200,111.0,21.9,7,20,81,,9.6,7,0.424,25,0.4,10,44.8,30,0.583,12.7,10,34,0.529,18,0.636,7,"December 15, 2018",56.5,13,5.9,2,111.0,78.1,25,0.431,58,0.397,23,0.5,29,0.7929999999999999,23,3,200,100.0,34.3,12,19,73,,4.1,3,0.31,18,0.222,4,55.2,37,0.509,15.5,13,40,0.475,19,0.7,7,"Capital One Arena, Washington, District of Columbia",GEORGETOWN,Georgetown,72.6,Away,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,10,False,False,False,Away,True,10,18,59,30,67,4,19,58,1,0,88,189,600,0.535,331,596,0.5553691275167785,92,146,529,0.5368620037807184,0.6
11,2018-12-22-20-southern-methodist,55.6,10,2.3,1,120.9,69.0,20,0.42700000000000005,48,0.375,18,0.41700000000000004,20,0.6,12,7,200,79.1,12.9,4,16,53,,3.0,2,0.5,24,0.20800000000000002,5,40.0,24,0.461,18.6,13,24,0.542,13,0.41700000000000004,5,"December 22, 2018",41.4,12,4.2,1,79.1,87.1,27,0.542,60,0.483,29,0.33299999999999996,20,0.8,16,4,200,120.9,31.0,9,18,81,,11.9,8,0.267,16,0.43799999999999994,7,60.0,36,0.583,8.0,6,44,0.5,22,0.667,8,"Moody Coliseum, Dallas, Texas",CORNELL,Cornell,66.5,Home,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,11,True,False,True,Home,True,7,22,60,36,60,5,13,48,1,0,98,207,659,0.5371775417298937,361,663,0.5444947209653092,96,165,587,0.5264054514480409,0.6363636363636364
12,2019-01-02-20-southern-methodist,52.6,10,7.9,3,113.9,58.1,18,0.366,56,0.33899999999999997,19,0.39299999999999996,22,0.591,13,6,200,75.0,21.6,8,23,54,,11.1,8,0.268,15,0.2,3,38.2,26,0.406,17.6,14,41,0.39,16,0.5379999999999999,7,"January 2, 2019",65.5,19,12.2,5,75.0,78.4,29,0.551,59,0.49200000000000005,29,0.40700000000000003,24,0.708,17,4,200,113.9,41.9,13,20,82,,11.1,8,0.35600000000000004,21,0.33299999999999996,7,61.8,42,0.5820000000000001,17.7,15,38,0.579,22,0.6920000000000001,9,"Moody Coliseum, Dallas, Texas",EAST-CAROLINA,East Carolina,72.4,Home,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,12,True,False,True,Home,True,7,22,59,42,68,3,16,56,1,0,105,229,719,0.5375521557719054,397,723,0.5491009681881052,101,178,635,0.5188976377952756,0.6666666666666666
13,2019-01-04-19-tulane,58.3,14,13.9,5,89.0,66.7,22,0.45799999999999996,60,0.4,24,0.433,26,0.731,19,4,200,101.4,28.9,11,18,74,,8.2,6,0.317,19,0.368,7,46.5,33,0.511,13.3,11,41,0.415,17,0.7140000000000001,10,"January 4, 2019",54.5,12,4.9,2,101.4,71.1,27,0.391,64,0.344,22,0.297,19,0.789,15,10,200,89.0,33.3,11,19,65,,5.5,4,0.43799999999999994,28,0.214,6,53.5,38,0.445,13.2,11,36,0.444,16,0.28600000000000003,4,"Devlin Fieldhouse, New Orleans, Louisiana",TULANE,Tulane,72.7,Away,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,13,False,False,False,Away,True,7,17,60,33,71,6,16,64,1,0,112,251,778,0.538560411311054,439,791,0.5549936788874842,104,194,691,0.5065123010130246,0.6923076923076923
14,2019-01-10-19-connecticut,34.8,8,4.3,1,118.8,71.4,15,0.371,66,0.348,23,0.242,16,0.938,15,5,200,100.0,45.5,15,22,64,,12.5,8,0.348,23,0.13,3,55.6,30,0.435,11.0,9,43,0.465,20,0.667,10,"January 10, 2019",40.9,9,7.0,3,100.0,54.5,18,0.631,42,0.524,22,0.738,31,0.742,23,6,200,118.8,28.6,6,16,76,,4.7,3,0.452,19,0.474,9,44.4,24,0.67,15.2,10,23,0.565,13,0.625,10,"Harry A. Gampel Pavilion, Storrs, Connecticut",SOUTHERN-METHODIST,SMU,64.2,Home,CONNECTICUT,UConn,Southern Methodist,aac,14,False,False,False,Away,False,3,20,66,30,54,9,13,42,0,1,119,268,838,0.5328162291169452,472,862,0.5475638051044084,110,210,755,0.4966887417218543,0.7142857142857143
15,2019-01-12-18-southern-methodist,65.0,13,13.8,4,113.2,60.0,21,0.42,56,0.35700000000000004,20,0.214,12,0.833,10,6,200,83.8,15.6,5,14,57,,5.9,4,0.39299999999999996,22,0.318,7,38.8,26,0.462,17.5,13,34,0.382,13,0.647,11,"January 12, 2019",64.0,16,17.6,6,83.8,84.4,27,0.516,61,0.41,25,0.262,16,0.875,14,5,200,113.2,40.0,14,13,77,,7.4,5,0.525,32,0.406,13,61.2,41,0.561,13.9,11,29,0.414,12,0.688,11,"Moody Coliseum, Dallas, Texas",TULSA,Tulsa,67.7,Home,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,15,True,False,True,Home,True,13,12,61,41,67,7,13,56,1,0,122,288,904,0.5210176991150443,502,916,0.5480349344978166,119,223,797,0.5037641154328732,0.6666666666666666
16,2019-01-16-21-southern-methodist,56.0,14,9.7,3,98.3,67.7,21,0.536,55,0.455,25,0.255,14,0.7140000000000001,10,1,200,116.9,24.1,7,15,69,21.0,6.8,4,0.4,22,0.409,9,46.7,28,0.56,6.1,4,33,0.485,16,0.9440000000000001,17,"January 16, 2019",52.4,11,6.1,2,116.9,75.9,22,0.42700000000000005,55,0.382,21,0.218,12,0.917,11,6,200,98.3,32.3,10,16,58,,0.0,0,0.436,24,0.20800000000000002,5,53.3,32,0.478,11.7,8,31,0.516,16,0.647,11,"Moody Coliseum, Dallas, Texas",SOUTHERN-METHODIST,SMU,58.7,Away,HOUSTON,Houston,Southern Methodist,aac,16,False,True,True,Home,False,5,16,55,32,60,9,16,55,0,1,135,300,965,0.5207253886010362,543,983,0.5523906408952187,126,236,853,0.49824150058616645,0.6875
17,2019-01-19-16-memphis,61.9,13,10.3,4,106.4,68.6,24,0.44799999999999995,58,0.36200000000000004,21,0.276,16,0.563,9,7,200,78.2,25.0,9,17,61,,6.4,5,0.569,33,0.303,10,46.5,33,0.465,24.4,21,25,0.44,11,0.611,11,"January 19, 2019",72.7,24,8.0,2,78.2,75.0,27,0.527,73,0.452,33,0.11,8,0.75,6,6,200,106.4,31.4,11,17,83,,12.8,10,0.466,34,0.324,11,53.5,38,0.54,13.6,12,39,0.564,22,0.667,12,"FedExForum, Memphis, Tennessee",SOUTHERN-METHODIST,SMU,77.7,Home,MEMPHIS,Memphis,Southern Methodist,aac,17,False,False,False,Away,False,10,11,58,33,71,11,22,73,0,1,140,316,1020,0.515686274509804,575,1043,0.551294343240652,135,252,908,0.5005506607929515,0.6470588235294118
18,2019-01-26-18-southern-methodist,76.0,19,2.8,1,118.1,72.7,24,0.527,56,0.446,25,0.39299999999999996,22,0.727,16,15,200,104.2,31.3,10,19,75,,5.6,4,0.41100000000000003,23,0.391,9,52.3,34,0.564,19.6,16,33,0.485,16,0.21100000000000002,4,"January 26, 2019",71.4,20,15.2,5,104.2,68.8,22,0.557,61,0.45899999999999996,28,0.377,23,0.7390000000000001,17,7,200,118.1,27.3,9,15,85,,12.5,9,0.41,25,0.48,12,47.7,31,0.591,11.2,9,36,0.444,16,0.632,12,"Moody Coliseum, Dallas, Texas",TULANE,Tulane,72.2,Home,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,18,True,False,True,Home,True,12,16,61,31,65,9,16,56,1,0,150,327,1078,0.5120593692022264,608,1114,0.5457809694793537,146,274,981,0.5025484199796126,0.6111111111111112
19,2019-01-30-21-wichita-state,41.9,13,9.1,4,119.7,75.0,21,0.579,63,0.49200000000000005,31,0.23800000000000002,15,0.667,10,8,200,116.9,24.1,7,16,83,,2.8,2,0.397,25,0.44,11,49.1,28,0.5920000000000001,7.9,6,38,0.526,20,0.6,12,"January 30, 2019",61.3,19,13.2,5,116.9,75.9,22,0.5539999999999999,65,0.47700000000000004,31,0.292,19,0.684,13,11,200,119.7,25.0,7,15,85,,1.4,1,0.32299999999999995,21,0.47600000000000003,10,50.9,29,0.574,6.4,5,44,0.47700000000000004,21,0.45,9,"Charles Koch Arena, Wichita, Kansas",SOUTHERN-METHODIST,SMU,70.6,Home,WICHITA-STATE,Wichita State,Southern Methodist,aac,19,False,False,False,Away,False,11,20,63,28,57,10,21,65,0,1,162,343,1139,0.514486391571554,639,1179,0.5419847328244275,155,290,1037,0.503857280617165,0.631578947368421
20,2019-02-02-20-cincinnati,46.2,12,10.7,3,112.3,67.9,19,0.517,60,0.433,26,0.183,11,0.545,6,9,200,104.6,25.0,8,17,68,,4.6,3,0.467,28,0.35700000000000004,10,45.0,27,0.521,12.2,9,32,0.5,16,0.5710000000000001,12,"February 2, 2019",61.5,16,3.1,1,104.6,75.0,24,0.574,54,0.48100000000000004,26,0.33299999999999996,18,0.611,11,3,200,112.3,32.1,9,10,73,,3.1,2,0.48100000000000004,26,0.385,10,55.0,33,0.584,15.1,11,28,0.5710000000000001,16,0.8640000000000001,19,"Fifth Third Arena, Cincinnati, Ohio",SOUTHERN-METHODIST,SMU,65.4,Home,CINCINNATI,Cincinnati,Southern Methodist,aac,20,False,False,False,Away,False,10,16,60,27,60,10,16,54,0,1,173,363,1202,0.5178868552412645,667,1236,0.5396440129449838,165,311,1102,0.5068058076225045,0.6
21,2019-02-07-21-southern-methodist,65.4,17,11.4,4,106.5,62.1,18,0.573,55,0.473,26,0.091,5,0.8,4,6,200,108.1,25.9,7,17,67,,11.3,7,0.455,25,0.44,11,44.6,25,0.584,17.3,12,30,0.5,15,0.727,16,"February 7, 2019",70.8,17,23.3,7,108.1,74.1,20,0.48200000000000004,56,0.429,24,0.28600000000000003,16,0.75,12,10,200,106.5,37.9,11,11,66,,6.5,4,0.375,21,0.28600000000000003,6,55.4,31,0.519,13.7,10,35,0.514,18,0.545,12,"Moody Coliseum, Dallas, Texas",SOUTHERN-METHODIST,SMU,62.5,Away,SOUTH-FLORIDA,South Florida,Southern Methodist,aac,21,False,True,True,Home,False,6,18,56,31,56,11,15,55,0,1,183,379,1262,0.5178288431061807,694,1296,0.5354938271604939,175,327,1156,0.5099480968858131,0.5714285714285714
22,2019-02-10-14-southern-methodist,61.5,16,15.4,4,101.6,68.8,22,0.59,50,0.52,26,0.26,13,0.9229999999999999,12,5,200,110.9,21.7,5,12,71,,7.8,5,0.32,16,0.43799999999999994,7,49.1,27,0.632,17.7,12,34,0.5589999999999999,19,0.773,17,"February 10, 2019",64.0,16,17.6,6,110.9,78.3,18,0.47600000000000003,63,0.397,25,0.159,10,0.5,5,11,200,101.6,31.3,10,14,65,,10.9,7,0.5870000000000001,37,0.27,10,50.9,28,0.48,10.6,8,26,0.5770000000000001,15,0.522,12,"Moody Coliseum, Dallas, Texas",SOUTHERN-METHODIST,SMU,64.5,Away,CENTRAL-FLORIDA,UCF,Southern Methodist,aac,22,False,True,True,Home,False,10,15,63,28,55,7,19,50,0,1,189,397,1318,0.5163125948406677,725,1352,0.5362426035502958,186,342,1211,0.5127993393889347,0.5454545454545454
23,2019-02-13-19-temple,41.9,13,5.8,3,120.6,58.5,24,0.486,70,0.44299999999999995,31,0.114,8,0.75,6,12,200,108.8,44.7,17,12,74,,4.4,3,0.32899999999999996,23,0.261,6,51.9,41,0.501,13.0,11,47,0.532,25,0.5,12,"February 13, 2019",65.6,21,2.1,1,108.8,55.3,21,0.473,75,0.42700000000000005,32,0.17300000000000001,13,0.846,11,7,200,120.6,41.5,17,11,82,,11.8,8,0.307,23,0.304,7,48.1,38,0.505,5.8,5,52,0.48100000000000004,25,0.72,18,"Liacouras Center, Philadelphia, Pennsylvania",SOUTHERN-METHODIST,SMU,68.5,Home,TEMPLE,Temple,Southern Methodist,aac,23,False,False,False,Away,False,6,25,70,41,79,7,25,75,0,1,199,412,1381,0.5144822592324403,753,1407,0.535181236673774,193,361,1261,0.5158604282315623,0.5217391304347826
24,2019-02-21-21-southern-methodist,61.9,13,5.9,2,114.9,75.0,15,0.371,70,0.3,21,0.18600000000000003,13,0.5379999999999999,7,13,200,88.1,35.3,18,12,59,,11.9,8,0.386,27,0.37,10,46.5,33,0.387,10.6,9,43,0.256,11,0.5,13,"February 21, 2019",57.1,16,18.6,8,88.1,64.7,33,0.653,49,0.5710000000000001,28,0.306,15,0.867,13,12,200,114.9,25.0,5,13,77,,9.0,6,0.306,15,0.5329999999999999,8,53.5,38,0.6859999999999999,22.3,16,34,0.588,20,0.52,13,"Moody Coliseum, Dallas, Texas",CONNECTICUT,UConn,67.2,Home,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,24,True,False,True,Home,True,8,20,49,38,71,10,11,70,1,0,205,437,1451,0.5130944176430048,794,1486,0.5343203230148048,200,386,1336,0.5134730538922155,0.5
25,2019-02-24-12-central-florida,35.3,6,4.7,2,131.9,64.7,22,0.297,69,0.24600000000000002,17,0.159,11,0.636,7,13,200,66.7,15.4,8,21,48,,4.2,3,0.46399999999999997,32,0.21899999999999997,7,34.9,30,0.32299999999999995,5.1,4,37,0.27,10,0.5,13,"February 24, 2019",50.0,17,5.4,2,66.7,84.6,44,0.5720000000000001,69,0.493,34,0.36200000000000004,25,0.64,16,6,200,131.9,35.3,12,16,95,,2.8,2,0.377,26,0.423,11,65.1,56,0.5870000000000001,4.8,4,43,0.535,23,0.769,20,"CFE Arena, Orlando, Florida",SOUTHERN-METHODIST,SMU,71.6,Home,CENTRAL-FLORIDA,UCF,Southern Methodist,aac,25,False,False,False,Away,False,7,10,69,30,86,11,23,69,0,1,213,457,1500,0.5176666666666667,832,1557,0.5343609505459217,210,397,1406,0.5064011379800853,0.52
26,2019-02-27-21-southern-methodist,58.8,10,12.1,4,79.0,80.0,28,0.297,64,0.266,17,0.23399999999999999,15,0.9329999999999999,14,4,200,83.9,36.6,15,11,52,23.0,4.8,3,0.32799999999999996,21,0.19,4,56.6,43,0.366,9.0,7,43,0.302,13,0.857,24,"February 27, 2019",50.0,10,23.3,10,83.9,63.4,26,0.41200000000000003,57,0.35100000000000003,20,0.053,3,0.667,2,14,200,79.0,20.0,7,15,49,,3.2,2,0.42100000000000004,24,0.292,7,43.4,33,0.419,13.4,9,33,0.39399999999999996,13,0.48100000000000004,13,"Moody Coliseum, Dallas, Texas",SOUTHERN-METHODIST,SMU,61.8,Away,CINCINNATI,Cincinnati,Southern Methodist,aac,26,False,True,True,Home,False,7,13,57,33,76,4,13,64,0,1,220,467,1569,0.5079668578712556,862,1643,0.5246500304321363,221,420,1475,0.5094915254237288,0.5
