,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BROWN_homegame,BROWN_homegame2,BROWN_home,BROWN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-08-14-brown,40.0,10,6.3,2,101.4,64.5,20,0.5,58,0.431,25,0.414,24,0.45799999999999996,11,2,200,98.6,22.2,8,29,69,,2.9,2,0.32799999999999996,19,0.42100000000000004,8,41.8,28,0.49700000000000005,11.6,9,39,0.436,17,0.8,8,"December 8, 2018",45.0,9,17.9,7,98.6,77.8,28,0.434,53,0.377,20,0.66,35,0.7140000000000001,25,4,200,101.4,35.5,11,21,71,,5.7,4,0.396,21,0.28600000000000003,6,58.2,39,0.51,13.9,11,32,0.43799999999999994,14,0.636,7,"Pizzitola Sports Center, Providence, Rhode Island",STONY-BROOK,Stony Brook,70.0,Home,BROWN,Brown,Brown,ivy,10,True,False,True,Home,True,6,14,53,39,67,8,17,58,1,0,77,178,571,0.5140105078809106,354,697,0.5078909612625538,61,180,617,0.440032414910859,0.6
11,2018-12-22-13-marist,50.0,15,10.8,4,73.6,76.9,30,0.605,57,0.526,30,0.21100000000000002,12,0.75,9,4,200,108.3,19.2,5,21,78,,12.5,9,0.456,26,0.34600000000000003,9,53.8,35,0.622,18.4,14,31,0.677,21,0.667,8,"December 22, 2018",61.1,11,6.5,2,108.3,80.8,21,0.348,56,0.321,18,0.35700000000000004,20,0.7,14,6,200,73.6,23.1,9,15,53,,4.2,3,0.33899999999999997,19,0.158,3,46.2,30,0.405,18.8,15,37,0.405,15,0.455,5,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,71.6,Away,BROWN,Brown,Brown,ivy,11,False,False,False,Away,True,9,21,57,35,65,3,15,56,1,0,83,192,624,0.5072115384615384,393,764,0.5143979057591623,69,197,675,0.4451851851851852,0.6363636363636364
12,2018-12-29-20-san-diego-state,67.7,21,5.4,2,85.9,80.6,29,0.664,58,0.534,31,0.155,9,0.556,5,4,200,115.5,20.0,5,24,82,,7.0,5,0.483,28,0.536,15,55.7,34,0.6579999999999999,16.2,12,30,0.5329999999999999,16,0.6920000000000001,9,"December 29, 2018",63.2,12,23.3,7,115.5,80.0,20,0.39799999999999996,54,0.35200000000000004,19,0.48100000000000004,26,0.6920000000000001,18,5,200,85.9,19.4,7,16,61,,8.5,6,0.315,17,0.294,5,44.3,27,0.46,17.6,14,37,0.37799999999999995,14,0.583,7,"Viejas Arena, San Diego, California",SAN-DIEGO-STATE,San Diego State,71.3,Away,BROWN,Brown,Brown,ivy,12,False,False,False,Away,True,15,16,58,34,61,5,14,54,1,0,92,213,681,0.5154185022026432,428,829,0.5162846803377563,72,212,731,0.4377564979480164,0.6666666666666666
13,2019-01-02-19-brown,69.6,16,8.7,2,107.1,88.9,24,0.52,50,0.46,23,0.46,23,0.652,15,13,200,95.7,36.7,11,22,67,,11.4,8,0.46,23,0.261,6,61.4,35,0.55,25.0,20,27,0.63,17,0.133,2,"January 2, 2019",60.9,14,3.7,1,95.7,63.3,19,0.56,50,0.46,23,0.4,20,0.95,19,4,200,107.1,11.1,3,20,75,,12.9,9,0.54,27,0.37,10,38.6,22,0.63,18.1,13,23,0.565,13,0.7140000000000001,10,"Pizzitola Sports Center, Providence, Rhode Island",MAINE,Maine,69.7,Home,BROWN,Brown,Brown,ivy,13,True,False,True,Home,True,10,13,50,22,57,6,17,50,1,0,107,229,739,0.527063599458728,462,890,0.5191011235955056,77,226,785,0.435031847133758,0.6923076923076923
14,2019-01-08-19-canisius,48.6,17,6.3,2,101.1,76.5,26,0.5710000000000001,70,0.5,35,0.4,28,0.607,17,4,225,109.0,34.3,12,23,97,,13.5,12,0.35700000000000004,25,0.4,10,55.1,38,0.5820000000000001,17.9,18,45,0.556,25,0.733,11,"January 8, 2019",46.9,15,17.8,8,109.0,65.7,23,0.5920000000000001,65,0.49200000000000005,32,0.33799999999999997,22,0.591,13,9,225,101.1,23.5,8,26,90,,6.7,6,0.508,33,0.39399999999999996,13,44.9,31,0.596,22.8,22,32,0.594,19,0.35700000000000004,5,"Koessler Athletic Center, Buffalo, New York",CANISIUS,Canisius,79.4,Away,BROWN,Brown,Brown,ivy,14,False,False,False,Away,True,10,25,70,38,69,13,19,65,1,0,117,242,789,0.5291508238276299,484,947,0.5110876451953538,83,243,835,0.44011976047904194,0.7142857142857143
15,2019-01-14-19-brown,41.7,10,4.8,2,131.6,80.8,21,0.414,70,0.34299999999999997,24,0.043,3,1.0,3,0,200,80.3,14.0,6,24,61,,2.6,2,0.429,30,0.33299999999999996,10,39.1,27,0.42700000000000005,12.3,10,40,0.35,14,0.0,0,"January 14, 2019",60.0,21,12.5,5,80.3,86.0,37,0.6609999999999999,59,0.593,35,0.5589999999999999,33,0.667,22,4,200,131.6,19.2,5,12,100,,3.9,3,0.28800000000000003,17,0.47100000000000003,8,60.9,42,0.67,8.7,7,42,0.643,27,0.75,12,"Pizzitola Sports Center, Providence, Rhode Island","Johnson &amp; Wales (RI)
			","Johnson &amp; Wales (RI)
			",76.1,Home,BROWN,Brown,Brown,ivy,15,True,False,True,Home,True,8,27,59,42,69,10,14,70,1,0,127,267,859,0.5325960419091967,522,1016,0.5137795275590551,96,262,900,0.45111111111111113,0.7333333333333333
16,2019-01-19-15-brown,48.3,14,6.4,3,85.9,71.8,28,0.516,61,0.475,29,0.18,11,0.636,7,3,200,89.7,26.5,9,14,70,,11.5,9,0.32799999999999996,20,0.25,5,50.7,37,0.529,23.3,20,41,0.585,24,0.7859999999999999,11,"January 19, 2019",35.7,10,9.8,4,89.7,73.5,25,0.43200000000000005,73,0.384,28,0.055,4,1.0,4,5,200,85.9,28.2,11,15,67,,12.8,10,0.35600000000000004,26,0.26899999999999996,7,49.3,36,0.447,15.8,14,47,0.447,21,0.706,12,"Pizzitola Sports Center, Providence, Rhode Island",BROWN,Brown,77.6,Away,YALE,Yale,Brown,ivy,16,False,True,True,Home,False,7,21,73,36,73,5,24,61,0,1,135,294,918,0.5408496732026143,564,1085,0.5198156682027649,106,276,970,0.4484536082474227,0.75
17,2019-01-25-19-yale,46.2,12,11.1,4,102.6,71.1,27,0.447,66,0.39399999999999996,26,0.273,18,0.667,12,6,200,92.2,14.6,6,22,71,,7.8,6,0.33299999999999996,22,0.318,7,41.8,33,0.47600000000000003,11.9,10,44,0.43200000000000005,19,0.667,12,"January 25, 2019",66.7,18,20.5,9,92.2,85.4,35,0.516,62,0.435,27,0.32299999999999995,20,0.75,15,3,200,102.6,28.9,11,20,79,,5.2,4,0.419,26,0.385,10,58.2,46,0.552,16.5,14,36,0.47200000000000003,17,0.8,12,"John J. Lee Ampitheater, New Haven, Connecticut",BROWN,Brown,76.5,Home,YALE,Yale,Brown,ivy,17,False,False,False,Away,False,7,19,66,33,79,10,17,62,0,1,142,315,991,0.5327951564076691,600,1158,0.5181347150259067,111,300,1031,0.4524733268671193,0.7058823529411765
18,2019-02-01-19-dartmouth,47.6,10,8.0,2,84.1,81.5,22,0.446,56,0.375,21,0.33899999999999997,19,0.526,10,6,200,87.0,14.7,5,16,60,,21.7,15,0.536,30,0.267,8,44.3,27,0.461,14.6,11,26,0.5,13,0.684,13,"February 1, 2019",61.9,13,11.5,3,87.0,85.3,29,0.522,45,0.467,21,0.35600000000000004,16,0.688,11,9,200,84.1,18.5,5,18,58,,2.9,2,0.444,20,0.25,5,55.7,34,0.551,27.8,20,25,0.64,16,0.526,10,"Leede Arena, Hanover, New Hampshire",DARTMOUTH,Dartmouth,69.3,Away,BROWN,Brown,Brown,ivy,18,False,False,False,Away,True,8,13,56,27,61,5,16,45,1,0,149,334,1057,0.5274361400189215,633,1237,0.5117219078415521,121,317,1093,0.45608417200365964,0.6666666666666666
19,2019-02-02-19-harvard,46.7,7,7.7,2,101.5,76.9,20,0.337,52,0.28800000000000003,15,0.34600000000000003,18,0.667,12,7,200,70.1,27.0,10,23,47,,10.4,7,0.423,22,0.22699999999999998,5,47.6,30,0.38799999999999996,24.1,19,30,0.33299999999999996,10,0.65,13,"February 2, 2019",52.2,12,10.0,3,70.1,73.0,27,0.628,43,0.535,23,0.5579999999999999,24,0.583,14,7,200,101.5,23.1,6,23,68,,13.4,9,0.395,17,0.47100000000000003,8,52.4,33,0.625,23.0,16,26,0.5770000000000001,15,0.588,10,"Lavietes Pavilion, Boston, Massachusetts",BROWN,Brown,67.0,Home,HARVARD,Harvard,Brown,ivy,19,False,False,False,Away,False,5,10,52,30,63,8,15,43,0,1,157,347,1113,0.5233602875112309,660,1298,0.5084745762711864,126,333,1138,0.45869947275922673,0.6842105263157895
20,2019-02-08-19-brown,58.1,18,5.3,2,112.3,66.7,24,0.708,53,0.585,31,0.528,28,0.607,17,7,200,126.0,22.7,5,18,92,,9.6,7,0.47200000000000003,25,0.52,13,50.0,29,0.6940000000000001,14.4,11,28,0.643,18,0.667,14,"February 8, 2019",51.7,15,10.7,3,126.0,77.3,17,0.515,67,0.433,29,0.284,19,0.684,13,8,200,112.3,33.3,12,22,82,,6.8,5,0.433,29,0.379,11,50.0,29,0.539,11.7,10,38,0.474,18,0.619,13,"Pizzitola Sports Center, Providence, Rhode Island",BROWN,Brown,73.2,Away,PENNSYLVANIA,Penn,Brown,ivy,20,False,True,True,Home,False,11,18,67,29,58,13,18,53,0,1,162,357,1165,0.5150214592274678,690,1361,0.5069801616458487,134,348,1181,0.46486028789161726,0.65
21,2019-02-09-18-brown,36.0,9,6.5,2,104.0,88.9,24,0.43799999999999994,64,0.391,25,0.297,19,0.737,14,7,200,93.3,23.7,9,21,70,,5.3,4,0.344,22,0.273,6,50.8,33,0.479,15.2,13,42,0.452,19,0.632,12,"February 9, 2019",44.4,12,11.9,5,93.3,76.3,29,0.583,54,0.5,27,0.389,21,0.7140000000000001,15,8,200,104.0,11.1,3,20,78,,8.0,6,0.426,23,0.391,9,49.2,32,0.61,14.8,11,31,0.581,18,0.636,14,"Pizzitola Sports Center, Providence, Rhode Island",PRINCETON,Princeton,74.5,Home,BROWN,Brown,Brown,ivy,21,True,False,True,Home,True,9,18,54,32,65,6,19,64,1,0,173,375,1232,0.5150162337662337,719,1419,0.5066948555320648,147,366,1234,0.4752836304700162,0.6190476190476191
22,2019-02-15-19-cornell,34.8,8,5.9,2,90.9,85.3,29,0.47200000000000003,54,0.426,23,0.33299999999999996,18,0.833,15,9,225,85.7,16.1,5,24,66,,7.8,6,0.389,21,0.23800000000000002,5,52.3,34,0.528,22.5,18,33,0.545,18,0.609,14,"February 15, 2019",61.5,16,12.1,4,85.7,83.9,26,0.509,56,0.46399999999999997,26,0.429,24,0.542,13,10,225,90.9,14.7,5,20,70,,13.0,10,0.39299999999999996,22,0.22699999999999998,5,47.7,31,0.519,19.4,16,34,0.618,21,0.565,13,"Newman Arena, Ithaca, New York",BROWN,Brown,68.4,Home,CORNELL,Cornell,Brown,ivy,22,False,False,False,Away,False,5,18,54,34,65,5,21,56,0,1,182,393,1286,0.5178849144634525,751,1484,0.5060646900269542,153,385,1298,0.4734206471494607,0.6363636363636364
23,2019-02-16-19-columbia,30.0,6,9.4,3,88.7,87.1,27,0.43,50,0.4,20,0.54,27,0.815,22,9,200,91.5,16.1,5,14,65,,9.9,7,0.28,14,0.214,3,51.6,32,0.517,15.1,11,36,0.47200000000000003,17,0.625,15,"February 16, 2019",60.9,14,5.6,2,91.5,83.9,26,0.45899999999999996,61,0.377,23,0.131,8,0.875,7,16,200,88.7,12.9,4,23,63,,7.0,5,0.475,29,0.345,10,48.4,30,0.486,16.8,13,32,0.406,13,0.273,6,"Levien Gym, New York, New York",COLUMBIA,Columbia,71.3,Away,BROWN,Brown,Brown,ivy,23,False,False,False,Away,True,3,17,50,32,62,10,13,61,1,0,187,411,1340,0.516044776119403,785,1549,0.5067785668173015,158,406,1354,0.47488921713441656,0.6086956521739131
24,2019-02-22-19-brown,60.0,18,7.9,3,112.8,86.2,25,0.5820000000000001,61,0.49200000000000005,30,0.213,13,0.615,8,9,200,101.3,23.3,7,25,79,,6.4,5,0.525,32,0.344,11,54.2,32,0.588,21.2,18,29,0.655,19,0.591,13,"February 22, 2019",46.4,13,17.2,5,101.3,76.7,23,0.583,54,0.519,28,0.574,31,0.8059999999999999,25,9,200,112.8,13.8,4,18,88,,10.3,8,0.29600000000000004,16,0.43799999999999994,7,45.8,27,0.64,16.1,13,38,0.5529999999999999,21,0.64,16,"Pizzitola Sports Center, Providence, Rhode Island",HARVARD,Harvard,78.0,Home,BROWN,Brown,Brown,ivy,24,True,False,True,Home,True,7,21,54,27,59,11,19,61,1,0,190,428,1390,0.5129496402877698,817,1611,0.5071384233395406,168,419,1415,0.4742049469964664,0.625
25,2019-02-23-18-brown,48.0,12,11.8,4,103.0,75.0,21,0.5,60,0.41700000000000004,25,0.133,8,0.625,5,15,200,98.5,25.0,9,22,65,,13.6,9,0.5,30,0.33299999999999996,10,46.9,30,0.509,14.8,11,30,0.5,15,0.423,11,"February 23, 2019",50.0,10,13.3,4,98.5,75.0,27,0.511,45,0.444,20,0.6,27,0.815,22,9,200,103.0,25.0,7,15,68,,9.1,6,0.244,11,0.545,6,53.1,34,0.588,22.0,16,34,0.41200000000000003,14,0.654,17,"Pizzitola Sports Center, Providence, Rhode Island",DARTMOUTH,Dartmouth,66.3,Home,BROWN,Brown,Brown,ivy,25,True,False,True,Home,True,6,14,45,34,64,10,15,60,1,0,197,449,1444,0.5155817174515236,844,1670,0.5053892215568863,179,438,1476,0.47865853658536583,0.64
26,2019-03-01-17-brown,44.4,12,9.1,4,102.7,83.8,31,0.563,56,0.48200000000000004,27,0.33899999999999997,19,0.895,17,17,200,106.7,20.0,6,23,80,,8.0,6,0.446,25,0.36,9,55.2,37,0.615,17.9,14,31,0.581,18,0.32,8,"March 1, 2019",26.9,7,6.5,2,106.7,80.0,24,0.47600000000000003,62,0.419,26,0.40299999999999997,25,0.72,18,10,200,102.7,16.2,6,20,77,,8.0,6,0.29,18,0.389,7,44.8,30,0.521,11.0,9,44,0.43200000000000005,19,0.63,17,"Pizzitola Sports Center, Providence, Rhode Island",BROWN,Brown,75.0,Away,COLUMBIA,Columbia,Brown,ivy,26,False,True,True,Home,False,7,19,62,30,67,9,18,56,0,1,203,463,1489,0.515446608462055,878,1734,0.5063437139561707,189,453,1536,0.4794921875,0.6538461538461539
27,2019-03-02-18-brown,40.0,6,0.0,0,105.6,80.6,25,0.35700000000000004,49,0.306,15,0.36700000000000005,18,0.889,16,15,200,71.8,9.1,3,19,51,,8.5,6,0.531,26,0.192,5,43.8,28,0.44299999999999995,23.0,17,23,0.435,10,0.46399999999999997,13,"March 2, 2019",42.3,11,8.7,2,71.8,90.9,30,0.508,59,0.441,26,0.28800000000000003,17,0.882,15,10,200,105.6,19.4,6,19,75,,9.9,7,0.33899999999999997,20,0.4,8,56.3,36,0.5589999999999999,11.9,9,39,0.462,18,0.643,18,"Pizzitola Sports Center, Providence, Rhode Island",CORNELL,Cornell,70.8,Home,BROWN,Brown,Brown,ivy,27,True,False,True,Home,True,8,18,59,36,64,5,10,49,1,0,210,482,1551,0.5138620245003224,908,1801,0.504164353137146,198,471,1592,0.4824120603015075,0.6296296296296297
