,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTH-CAROLINA-STATE_homegame,SOUTH-CAROLINA-STATE_homegame2,SOUTH-CAROLINA-STATE_home,SOUTH-CAROLINA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-09-13-virginia-tech,33.3,6,8.8,3,120.9,56.7,17,0.349,53,0.34,18,0.226,12,0.583,7,9,200,65.7,28.6,10,18,44,,7.5,5,0.245,13,0.077,1,41.5,27,0.375,24.6,19,40,0.425,17,0.182,2,"December 9, 2018",67.9,19,12.5,5,65.7,71.4,25,0.578,58,0.483,28,0.32799999999999996,19,0.737,14,1,200,120.9,43.3,13,14,81,15.0,19.4,13,0.414,24,0.45799999999999996,11,58.5,38,0.604,16.4,13,34,0.5,17,0.889,8,"Cassell Coliseum, Blacksburg, Virginia",SOUTH-CAROLINA-STATE,South Carolina State,67.4,Home,VIRGINIA-TECH,Virginia Tech,South Carolina State,meac,10,False,False,False,Away,False,1,17,53,27,65,11,17,58,0,1,45,210,580,0.47844827586206895,323,609,0.5303776683087028,75,184,531,0.5583804143126178,0.2
11,2018-12-11-18-liberty,65.0,13,19.2,5,117.9,90.0,18,0.431,51,0.392,20,0.275,14,0.7859999999999999,11,10,200,82.1,17.9,5,17,55,,6.0,4,0.294,15,0.267,4,47.9,23,0.47700000000000004,20.8,15,36,0.444,16,0.16699999999999998,2,"December 11, 2018",89.3,25,11.1,4,82.1,82.1,23,0.69,50,0.56,28,0.32,16,0.625,10,2,200,117.9,10.0,2,16,79,,13.4,9,0.48,24,0.542,13,52.1,25,0.6859999999999999,16.2,11,26,0.5770000000000001,15,0.8,8,"Vines Center, Lynchburg, Virginia",SOUTH-CAROLINA-STATE,South Carolina State,67.1,Home,LIBERTY,Liberty,South Carolina State,meac,11,False,False,False,Away,False,4,16,51,23,48,13,15,50,0,1,46,227,633,0.4676145339652449,350,674,0.5192878338278932,86,201,589,0.5602716468590832,0.18181818181818182
12,2018-12-15-16-south-carolina-upstate,38.7,12,6.7,2,117.3,77.8,21,0.47100000000000003,69,0.449,31,0.406,28,0.679,19,11,200,112.0,41.2,14,19,84,,9.3,7,0.217,15,0.2,3,57.4,35,0.51,10.0,9,54,0.519,28,0.154,2,"December 15, 2018",70.0,21,9.3,5,112.0,58.8,20,0.645,55,0.545,30,0.418,23,0.7390000000000001,17,8,200,117.3,22.2,6,24,88,,2.7,2,0.455,25,0.44,11,42.6,26,0.667,16.6,13,30,0.633,19,0.273,3,"G.B. Hodge Center, Spartanburg, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,75.1,Home,SOUTH-CAROLINA-UPSTATE,USC Upstate,South Carolina State,meac,12,False,False,False,Away,False,3,28,69,35,61,11,19,55,0,1,50,243,684,0.4649122807017544,373,722,0.5166204986149584,99,216,639,0.5704225352112676,0.16666666666666666
13,2018-12-20-19-miami-oh,62.5,10,3.2,1,114.5,63.2,24,0.43,43,0.37200000000000005,16,0.535,23,0.7829999999999999,18,12,200,79.7,11.1,3,22,55,,1.4,1,0.37200000000000005,16,0.313,5,41.5,27,0.51,23.1,16,27,0.40700000000000003,11,0.14300000000000002,2,"December 20, 2018",48.3,14,7.4,2,79.7,88.9,24,0.522,67,0.433,29,0.299,20,0.45,9,5,200,114.5,36.8,14,22,79,,13.0,9,0.537,36,0.33299999999999996,12,58.5,38,0.516,9.5,8,31,0.5479999999999999,17,0.583,7,"Millett Hall, Oxford, Ohio",SOUTH-CAROLINA-STATE,South Carolina State,68.7,Home,MIAMI-OH,Miami (OH),South Carolina State,meac,13,False,False,False,Away,False,5,11,43,27,65,12,17,67,0,1,53,271,753,0.46547144754316067,408,783,0.5210727969348659,110,235,694,0.5763688760806917,0.15384615384615385
14,2018-12-22-14-cincinnati,72.2,13,3.0,1,110.0,58.3,21,0.40399999999999997,52,0.34600000000000003,18,0.365,19,0.737,14,13,200,80.0,17.1,6,16,56,,8.6,6,0.40399999999999997,21,0.28600000000000003,6,38.0,27,0.45899999999999996,17.7,13,31,0.387,12,0.133,2,"December 22, 2018",69.2,18,6.5,2,80.0,82.9,29,0.484,63,0.413,26,0.33299999999999996,21,0.762,16,2,200,110.0,41.7,15,17,77,,10.0,7,0.47600000000000003,30,0.3,9,62.0,44,0.528,15.3,13,33,0.515,17,0.846,11,"Fifth Third Arena, Cincinnati, Ohio",SOUTH-CAROLINA-STATE,South Carolina State,69.5,Home,CINCINNATI,Cincinnati,South Carolina State,meac,14,False,False,False,Away,False,6,12,52,27,71,9,17,63,0,1,58,282,796,0.4635678391959799,435,848,0.5129716981132075,122,252,761,0.5716162943495401,0.14285714285714285
15,2019-01-02-18-south-carolina-state,22.2,6,3.7,1,109.4,62.5,15,0.593,54,0.5,27,0.204,11,0.727,8,7,200,112.5,21.4,6,27,72,,4.7,3,0.426,23,0.435,10,40.4,21,0.608,10.6,7,31,0.5479999999999999,17,0.5329999999999999,8,"January 2, 2019",45.0,9,0.0,0,112.5,78.6,22,0.523,43,0.465,20,0.8370000000000001,36,0.6940000000000001,25,14,200,109.4,37.5,9,17,70,,1.6,1,0.37200000000000005,16,0.313,5,59.6,31,0.5820000000000001,22.4,17,27,0.556,15,0.125,2,"SHM Memorial Center, Orangeburg, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,64.2,Away,PRESBYTERIAN,Presbyterian,South Carolina State,meac,15,False,True,True,Home,False,5,15,43,31,52,10,17,54,0,1,64,294,848,0.45990566037735847,462,919,0.5027203482045702,131,269,824,0.5649271844660194,0.13333333333333333
16,2019-01-05-16-south-carolina-state,33.3,9,0.0,0,97.5,73.3,22,0.5579999999999999,52,0.519,27,0.596,31,0.71,22,9,225,101.3,34.6,9,29,80,,1.3,1,0.212,11,0.364,4,55.4,31,0.599,25.9,23,41,0.561,23,0.35700000000000004,5,"January 5, 2019",50.0,12,4.9,2,101.3,65.4,17,0.509,56,0.429,24,0.48200000000000004,27,0.741,20,15,225,97.5,26.7,8,24,77,,3.8,3,0.41100000000000003,23,0.391,9,44.6,25,0.5589999999999999,19.1,16,33,0.455,15,0.11800000000000001,2,"SHM Memorial Center, Orangeburg, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,70.0,Away,NORTH-CAROLINA-AT,North Carolina A&T,South Carolina State,meac,16,False,True,True,Home,False,9,15,56,25,56,4,23,52,0,1,69,309,891,0.46296296296296297,493,971,0.5077239958805355,141,286,878,0.566628701594533,0.125
17,2019-01-12-16-morgan-state,50.0,12,14.3,6,90.7,75.0,24,0.546,54,0.444,24,0.37,20,0.65,13,15,200,96.0,18.2,6,19,72,,5.3,4,0.426,23,0.478,11,46.2,30,0.5670000000000001,19.3,15,31,0.419,13,0.16699999999999998,3,"January 12, 2019",69.6,16,6.5,2,96.0,81.8,27,0.455,56,0.41100000000000003,23,0.41100000000000003,23,0.7390000000000001,17,10,200,90.7,25.0,8,15,68,,9.3,7,0.25,14,0.35700000000000004,5,53.8,35,0.508,22.3,19,42,0.429,18,0.375,6,"Hill Field House, Baltimore, Maryland",MORGAN-STATE,Morgan State,75.2,Away,SOUTH-CAROLINA-STATE,South Carolina State,South Carolina State,meac,17,False,False,False,Away,True,11,13,54,30,65,5,18,56,1,0,78,324,947,0.4656810982048574,518,1027,0.5043816942551119,145,309,930,0.5661290322580645,0.11764705882352941
18,2019-01-14-19-coppin-state,56.5,13,0.0,0,97.1,67.9,19,0.414,64,0.359,23,0.266,17,1.0,17,15,200,100.0,35.1,13,21,70,,4.3,3,0.32799999999999996,21,0.33299999999999996,7,49.2,32,0.486,13.3,11,43,0.37200000000000005,16,0.21100000000000002,4,"January 14, 2019",47.6,10,20.9,9,100.0,64.9,24,0.47100000000000003,52,0.40399999999999997,21,0.462,24,0.792,19,17,200,97.1,32.1,9,19,68,,10.0,7,0.5,26,0.26899999999999996,7,50.8,33,0.536,19.3,15,26,0.5379999999999999,14,0.105,2,"Physical Education Complex, Baltimore, Maryland",COPPIN-STATE,Coppin State,69.7,Away,SOUTH-CAROLINA-STATE,South Carolina State,South Carolina State,meac,18,False,False,False,Away,True,7,16,64,32,65,7,14,52,1,0,89,337,1001,0.47002997002997005,548,1092,0.5018315018315018,150,327,986,0.5598377281947262,0.16666666666666666
19,2019-01-19-16-south-carolina-state,33.3,9,6.3,2,88.2,73.8,31,0.5,59,0.45799999999999996,27,0.254,15,0.8,12,11,225,93.4,12.5,4,21,71,,1.3,1,0.271,16,0.313,5,47.3,35,0.537,18.6,15,43,0.512,22,0.42100000000000004,8,"January 19, 2019",23.8,5,7.0,3,93.4,87.5,28,0.4,60,0.35,21,0.467,28,0.679,19,16,225,88.2,26.2,11,19,67,,5.3,4,0.467,28,0.214,6,52.7,39,0.457,15.2,13,32,0.469,15,0.2,4,"SHM Memorial Center, Orangeburg, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,67.7,Away,HOWARD,Howard,South Carolina State,meac,19,False,True,True,Home,False,6,15,60,39,74,5,22,59,0,1,96,353,1065,0.4666666666666667,580,1157,0.5012964563526361,157,341,1038,0.5553949903660886,0.21052631578947367
20,2019-01-21-19-south-carolina-state,34.8,8,13.5,5,100.0,60.0,21,0.509,54,0.426,23,0.48100000000000004,26,0.731,19,10,200,107.2,28.0,7,23,74,,7.2,5,0.40700000000000003,22,0.409,9,46.7,28,0.5579999999999999,16.6,13,32,0.43799999999999994,14,0.524,11,"January 21, 2019",47.8,11,9.4,3,107.2,72.0,18,0.474,58,0.397,23,0.379,22,0.636,14,17,200,100.0,40.0,14,20,69,,1.4,1,0.36200000000000004,21,0.429,9,53.3,32,0.504,15.1,12,37,0.37799999999999995,14,0.19,4,"SHM Memorial Center, Orangeburg, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,69.4,Away,NORFOLK-STATE,Norfolk State,South Carolina State,meac,20,False,True,True,Home,False,9,14,58,32,60,9,14,54,0,1,102,368,1125,0.4631111111111111,619,1231,0.5028432168968319,162,363,1097,0.5524156791248861,0.2
21,2019-01-26-18-savannah-state,67.9,19,3.1,1,121.1,76.0,19,0.47,66,0.424,28,0.47,31,0.8390000000000001,26,18,200,115.8,36.8,14,19,88,,7.9,6,0.28800000000000003,19,0.316,6,52.4,33,0.545,11.2,10,47,0.46799999999999997,22,0.182,4,"January 26, 2019",50.0,16,10.6,5,115.8,63.2,24,0.625,60,0.5329999999999999,32,0.35,21,0.81,17,14,200,121.1,24.0,6,22,92,,10.5,8,0.467,28,0.39299999999999996,11,47.6,30,0.657,14.8,12,32,0.6559999999999999,21,0.263,5,"Tiger Arena, Savannah, Georgia",SOUTH-CAROLINA-STATE,South Carolina State,76.4,Home,SAVANNAH-STATE,Savannah State,South Carolina State,meac,21,False,False,False,Away,False,6,22,66,33,63,11,21,60,0,1,111,382,1183,0.4636517328825021,651,1291,0.5042602633617351,171,377,1151,0.5503909643788011,0.19047619047619047
22,2019-02-02-16-maryland-eastern-shore,57.9,11,15.6,5,95.5,77.8,21,0.431,51,0.373,19,0.49,25,0.68,17,19,200,92.4,35.3,12,19,61,,9.1,6,0.353,18,0.33299999999999996,6,54.1,33,0.485,17.3,13,33,0.39399999999999996,13,0.174,4,"February 2, 2019",52.4,11,6.1,2,92.4,64.7,22,0.479,48,0.43799999999999994,21,0.479,23,0.7390000000000001,17,20,200,95.5,22.2,6,22,63,,10.6,7,0.33299999999999996,16,0.25,4,45.9,28,0.535,20.5,15,32,0.531,17,0.16699999999999998,4,"Hytche Athletic Center, Princess Anne, Maryland",SOUTH-CAROLINA-STATE,South Carolina State,65.9,Home,MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,South Carolina State,meac,22,False,False,False,Away,False,6,13,51,33,61,4,17,48,0,1,117,404,1249,0.46397117694155326,684,1354,0.5051698670605613,182,398,1211,0.5540875309661437,0.18181818181818182
23,2019-02-04-19-delaware-state,47.6,10,0.0,0,107.7,55.6,15,0.42,56,0.375,21,0.41100000000000003,23,0.9129999999999999,21,20,200,104.6,50.0,14,22,68,,6.2,4,0.429,24,0.20800000000000002,5,52.7,29,0.508,15.4,12,32,0.5,16,0.16699999999999998,4,"February 4, 2019",32.0,8,3.1,1,104.6,50.0,14,0.5379999999999999,52,0.48100000000000004,25,0.423,22,0.636,14,18,200,107.7,44.4,12,19,70,,10.8,7,0.365,19,0.316,6,47.3,26,0.56,18.5,14,33,0.5760000000000001,19,0.182,4,"Memorial Hall, Dover, Delaware",SOUTH-CAROLINA-STATE,South Carolina State,64.7,Home,DELAWARE-STATE,Delaware State,South Carolina State,meac,23,False,False,False,Away,False,5,16,56,29,55,6,19,52,0,1,123,417,1300,0.4626923076923077,717,1415,0.5067137809187279,186,415,1259,0.551231135822081,0.17391304347826086
24,2019-02-09-16-south-carolina-state,50.0,15,0.0,0,119.7,69.6,16,0.625,56,0.536,30,0.268,15,0.733,11,15,200,114.1,24.0,6,26,81,,7.0,5,0.321,18,0.556,10,45.8,22,0.642,20.4,16,38,0.526,20,0.348,8,"February 9, 2019",46.4,13,10.5,4,114.1,76.0,19,0.606,52,0.5379999999999999,28,0.48100000000000004,25,0.88,22,20,200,119.7,30.4,7,14,85,,7.0,5,0.231,12,0.583,7,54.2,26,0.665,16.0,12,40,0.525,21,0.2,5,"SHM Memorial Center, Orangeburg, South Carolina",MORGAN-STATE,Morgan State,71.0,Home,SOUTH-CAROLINA-STATE,South Carolina State,South Carolina State,meac,24,True,False,True,Home,True,7,21,52,26,48,10,20,56,1,0,128,433,1356,0.4609144542772861,746,1470,0.507482993197279,192,434,1311,0.5507246376811594,0.16666666666666666
25,2019-02-11-19-south-carolina-state,45.2,14,3.1,1,116.4,80.0,20,0.645,55,0.564,31,0.436,24,0.542,13,21,200,115.1,27.6,8,20,84,,8.2,6,0.4,22,0.409,9,51.9,28,0.633,18.6,15,33,0.667,22,0.192,5,"February 11, 2019",57.1,16,3.0,1,115.1,72.4,21,0.63,54,0.519,28,0.389,21,0.81,17,20,200,116.4,20.0,5,20,85,,6.8,5,0.40700000000000003,22,0.545,12,48.1,26,0.664,18.1,14,32,0.5,16,0.231,6,"SHM Memorial Center, Orangeburg, South Carolina",COPPIN-STATE,Coppin State,73.2,Home,SOUTH-CAROLINA-STATE,South Carolina State,South Carolina State,meac,25,True,False,True,Home,True,12,16,54,26,54,9,22,55,1,0,135,454,1408,0.46626420454545453,772,1518,0.5085638998682477,202,454,1367,0.5537673738112655,0.2
