,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WICHITA-STATE_homegame,WICHITA-STATE_homegame2,WICHITA-STATE_home,WICHITA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-19-20-wichita-state,54.2,13,4.0,2,118.3,61.5,24,0.5710000000000001,49,0.49,24,0.245,12,0.583,7,10,200,88.7,15.4,4,20,63,,1.4,1,0.429,21,0.381,8,43.1,28,0.5760000000000001,22.8,16,28,0.5710000000000001,16,0.28600000000000003,4,"December 19, 2018",60.0,18,3.6,1,88.7,84.6,22,0.493,69,0.435,30,0.319,22,0.727,16,4,200,118.3,38.5,15,18,84,,1.4,1,0.275,19,0.42100000000000004,8,56.9,37,0.529,11.3,10,50,0.44,22,0.636,7,"Charles Koch Arena, Wichita, Kansas",ORAL-ROBERTS,Oral Roberts,70.6,Home,WICHITA-STATE,Wichita State,Wichita State,aac,10,True,False,True,Home,True,8,22,69,37,65,8,16,49,1,0,74,178,619,0.4668820678513732,350,674,0.5192878338278932,74,160,560,0.48392857142857143,0.6
11,2018-12-22-16-virginia-commonwealth,47.6,10,3.2,1,109.4,72.4,21,0.40700000000000003,59,0.35600000000000004,21,0.16899999999999998,10,0.6,6,5,200,84.4,40.0,14,18,54,,4.7,3,0.441,26,0.231,6,54.7,35,0.424,20.2,16,33,0.455,15,0.583,7,"December 22, 2018",57.1,16,9.1,3,84.4,60.0,21,0.545,56,0.5,28,0.214,12,0.75,9,4,200,109.4,27.6,8,16,70,,15.6,10,0.446,25,0.2,5,45.3,29,0.5670000000000001,12.8,9,31,0.742,23,0.667,8,"Stuart Siegel Center, Richmond, Virginia",WICHITA-STATE,Wichita State,64.2,Home,VIRGINIA-COMMONWEALTH,VCU,Wichita State,aac,11,False,False,False,Away,False,6,15,59,35,64,5,23,56,0,1,82,200,688,0.4694767441860465,387,739,0.523680649526387,82,176,609,0.4909688013136289,0.6363636363636364
12,2019-01-03-21-memphis,72.4,21,14.3,6,110.4,83.3,20,0.515,66,0.439,29,0.091,6,1.0,6,6,200,96.1,18.8,6,22,74,,6.5,5,0.5,33,0.303,10,46.4,26,0.537,16.9,14,33,0.5760000000000001,19,0.5379999999999999,7,"January 3, 2019",42.9,12,6.1,2,96.1,81.3,26,0.536,56,0.5,28,0.5539999999999999,31,0.8059999999999999,25,5,200,110.4,16.7,4,16,85,,15.6,12,0.25,14,0.28600000000000003,4,53.6,30,0.601,13.6,11,42,0.5710000000000001,24,0.643,9,"FedExForum, Memphis, Tennessee",WICHITA-STATE,Wichita State,77.3,Home,MEMPHIS,Memphis,Wichita State,aac,12,False,False,False,Away,False,10,19,66,26,56,4,24,56,0,1,88,215,747,0.464524765729585,422,803,0.5255292652552926,87,199,665,0.49548872180451126,0.5833333333333334
13,2019-01-06-16-wichita-state,41.9,13,17.1,7,98.8,71.9,23,0.523,65,0.47700000000000004,31,0.431,28,0.607,17,3,225,103.7,19.4,7,19,85,,14.6,12,0.32299999999999995,21,0.28600000000000003,6,44.1,30,0.5429999999999999,12.5,11,44,0.568,25,0.7859999999999999,11,"January 6, 2019",41.9,13,4.5,2,103.7,80.6,29,0.54,63,0.49200000000000005,31,0.27,17,0.765,13,7,225,98.8,28.1,9,19,81,,6.1,5,0.349,22,0.273,6,55.9,38,0.57,22.1,20,41,0.61,25,0.5,7,"Charles Koch Arena, Wichita, Kansas",WICHITA-STATE,Wichita State,73.1,Away,TEMPLE,Temple,Wichita State,aac,13,False,True,True,Home,False,6,25,63,38,68,6,25,65,0,1,98,234,813,0.46863468634686345,448,859,0.5215366705471478,91,223,721,0.4986130374479889,0.5384615384615384
14,2019-01-12-20-houston,57.1,12,3.8,1,112.9,71.4,20,0.47200000000000003,54,0.389,21,0.426,23,0.826,19,8,200,100.0,28.1,9,26,70,,7.1,5,0.444,24,0.375,9,48.3,29,0.539,19.0,15,30,0.4,12,0.467,7,"January 12, 2019",68.0,17,16.7,5,100.0,71.9,23,0.578,51,0.49,25,0.569,29,0.69,20,1,200,112.9,28.6,8,21,79,17.0,12.9,9,0.49,25,0.36,9,51.7,31,0.61,15.8,12,26,0.615,16,0.941,16,"Hofheinz Pavilion, Houston, Texas",WICHITA-STATE,Wichita State,69.9,Home,HOUSTON,Houston,Wichita State,aac,14,False,False,False,Away,False,9,12,54,29,60,9,16,51,0,1,104,259,876,0.4737442922374429,486,927,0.5242718446601942,97,248,786,0.5006361323155216,0.5
15,2019-01-16-22-wichita-state,45.5,10,8.1,3,113.6,71.4,15,0.51,52,0.423,22,0.385,20,0.7,14,3,200,101.5,13.8,4,19,67,,7.6,5,0.385,20,0.45,9,38.0,19,0.545,11.6,8,32,0.406,13,0.812,13,"January 16, 2019",48.1,13,15.6,5,101.5,86.2,25,0.5579999999999999,52,0.519,27,0.34600000000000003,18,0.9440000000000001,17,8,200,113.6,28.6,6,20,75,,3.0,2,0.28800000000000003,15,0.267,4,62.0,31,0.619,15.5,11,37,0.622,23,0.5,8,"Charles Koch Arena, Wichita, Kansas",CENTRAL-FLORIDA,UCF,65.5,Home,WICHITA-STATE,Wichita State,Wichita State,aac,15,True,False,True,Home,True,4,23,52,31,50,9,13,52,1,0,113,271,930,0.4736559139784946,515,987,0.5217831813576495,106,264,837,0.5053763440860215,0.4666666666666667
16,2019-01-19-14-wichita-state,27.8,5,19.4,6,87.3,78.6,22,0.446,46,0.391,18,0.7609999999999999,35,0.7140000000000001,25,3,200,104.8,40.0,10,14,66,,1.6,1,0.304,14,0.35700000000000004,5,60.4,32,0.527,16.3,12,32,0.406,13,0.8420000000000001,16,"January 19, 2019",52.4,11,3.1,1,104.8,60.0,15,0.48100000000000004,52,0.40399999999999997,21,0.135,7,0.7140000000000001,5,9,200,87.3,21.4,6,25,55,,6.3,4,0.40399999999999997,21,0.381,8,39.6,21,0.49700000000000005,19.1,13,31,0.419,13,0.47100000000000003,8,"Charles Koch Arena, Wichita, Kansas",WICHITA-STATE,Wichita State,63.5,Away,CINCINNATI,Cincinnati,Wichita State,aac,16,False,True,True,Home,False,8,13,52,21,53,5,13,46,0,1,117,294,982,0.47810590631364563,546,1037,0.5265188042430087,115,277,889,0.5056242969628797,0.5
17,2019-01-22-20-south-florida,60.0,9,9.7,3,81.8,66.7,24,0.302,53,0.28300000000000003,15,0.415,22,0.409,9,10,200,62.1,39.5,15,25,41,,4.5,3,0.34,18,0.111,2,52.7,39,0.32299999999999995,23.3,19,35,0.371,13,0.444,8,"January 22, 2019",53.3,8,14.3,5,62.1,60.5,23,0.36,50,0.3,15,0.48,24,0.75,18,6,200,81.8,33.3,12,22,54,,9.1,6,0.38,19,0.316,6,47.3,35,0.44,19.9,15,31,0.29,9,0.684,13,"Sun Dome, Tampa, Florida",WICHITA-STATE,Wichita State,65.9,Home,SOUTH-FLORIDA,South Florida,Wichita State,aac,17,False,False,False,Away,False,2,13,53,39,74,6,9,50,0,1,125,307,1034,0.47823984526112184,567,1090,0.5201834862385321,120,290,935,0.5026737967914439,0.47058823529411764
18,2019-01-26-18-connecticut,31.8,7,10.5,4,117.6,57.6,19,0.369,65,0.33799999999999997,22,0.215,14,0.857,12,11,200,88.2,26.3,10,16,60,,4.4,3,0.24600000000000002,16,0.25,4,40.8,29,0.419,9.0,7,49,0.36700000000000005,18,0.42100000000000004,8,"January 26, 2019",48.4,15,18.4,9,88.2,73.7,28,0.589,62,0.5,31,0.27399999999999997,17,0.41200000000000003,7,8,200,117.6,42.4,14,16,80,,7.4,5,0.387,24,0.45799999999999996,11,59.2,42,0.5710000000000001,13.7,11,38,0.526,20,0.6,12,"Harry A. Gampel Pavilion, Storrs, Connecticut",WICHITA-STATE,Wichita State,67.9,Home,CONNECTICUT,UConn,Wichita State,aac,18,False,False,False,Away,False,4,18,65,29,71,11,20,62,0,1,127,320,1087,0.4696412143514259,606,1164,0.520618556701031,126,299,985,0.4954314720812183,0.4444444444444444
19,2019-01-30-21-wichita-state,41.9,13,9.1,4,119.7,75.0,21,0.579,63,0.49200000000000005,31,0.23800000000000002,15,0.667,10,8,200,116.9,24.1,7,16,83,,2.8,2,0.397,25,0.44,11,49.1,28,0.5920000000000001,7.9,6,38,0.526,20,0.6,12,"January 30, 2019",61.3,19,13.2,5,116.9,75.9,22,0.5539999999999999,65,0.47700000000000004,31,0.292,19,0.684,13,11,200,119.7,25.0,7,15,85,,1.4,1,0.32299999999999995,21,0.47600000000000003,10,50.9,29,0.574,6.4,5,44,0.47700000000000004,21,0.45,9,"Charles Koch Arena, Wichita, Kansas",SOUTHERN-METHODIST,SMU,70.6,Home,WICHITA-STATE,Wichita State,Wichita State,aac,19,True,False,True,Home,True,10,21,65,29,57,11,20,63,1,0,131,338,1152,0.4639756944444444,635,1235,0.5141700404858299,137,319,1047,0.5009551098376314,0.42105263157894735
20,2019-02-02-14-wichita-state,40.0,10,6.1,2,112.9,62.1,18,0.606,47,0.532,25,0.447,21,0.524,11,10,200,97.1,21.7,5,16,68,,7.1,5,0.426,20,0.35,7,44.2,23,0.597,24.2,18,27,0.667,18,0.565,13,"February 2, 2019",51.7,15,7.4,2,97.1,78.3,18,0.515,65,0.446,29,0.215,14,0.857,12,11,200,112.9,37.9,11,14,79,,14.3,10,0.49200000000000005,32,0.281,9,55.8,29,0.551,12.3,10,33,0.606,20,0.47600000000000003,10,"Charles Koch Arena, Wichita, Kansas",TULSA,Tulsa,70.3,Home,WICHITA-STATE,Wichita State,Wichita State,aac,20,True,False,True,Home,True,9,20,65,29,52,7,18,47,1,0,141,359,1217,0.46877567789646674,664,1292,0.5139318885448917,148,339,1110,0.5054054054054054,0.45
21,2019-02-06-19-east-carolina,54.5,12,7.9,3,80.3,83.3,30,0.455,56,0.39299999999999996,22,0.33899999999999997,19,0.737,14,11,200,106.6,40.6,13,15,65,,6.6,4,0.375,21,0.33299999999999996,7,63.2,43,0.5,12.3,9,35,0.429,15,0.5,11,"February 6, 2019",55.6,10,14.3,5,106.6,59.4,19,0.385,52,0.34600000000000003,18,0.28800000000000003,15,0.6,9,13,200,80.3,16.7,6,15,49,,11.5,7,0.26899999999999996,14,0.28600000000000003,4,36.8,25,0.414,12.0,8,38,0.368,14,0.409,9,"Williams Arena at Minges Coliseum, Greenville, North Carolina",EAST-CAROLINA,East Carolina,61.1,Away,WICHITA-STATE,Wichita State,Wichita State,aac,21,False,False,False,Away,True,7,15,56,43,68,4,14,52,1,0,150,379,1282,0.4711388455538221,693,1344,0.515625,155,357,1157,0.5095073465859983,0.47619047619047616
22,2019-02-09-20-wichita-state,55.6,10,4.8,2,104.1,83.3,25,0.449,49,0.36700000000000005,18,0.5710000000000001,28,0.643,18,18,200,83.8,15.2,5,14,62,,4.1,3,0.408,20,0.4,8,47.6,30,0.498,21.7,17,29,0.345,10,0.182,4,"February 9, 2019",41.4,12,10.3,3,83.8,84.8,28,0.516,64,0.45299999999999996,29,0.21899999999999997,14,0.7859999999999999,11,11,200,104.1,16.7,5,23,77,,10.8,8,0.344,22,0.364,8,52.4,33,0.545,10.2,8,42,0.5,21,0.522,12,"Charles Koch Arena, Wichita, Kansas",TULANE,Tulane,74.0,Home,WICHITA-STATE,Wichita State,Wichita State,aac,22,True,False,True,Home,True,8,21,64,33,63,8,10,49,1,0,157,394,1338,0.4704783258594918,736,1412,0.5212464589235127,159,371,1209,0.5041356492969397,0.5
23,2019-02-17-13-cincinnati,42.1,8,16.7,6,100.0,78.0,32,0.331,71,0.268,19,0.225,16,0.938,15,12,200,86.1,34.0,16,20,62,,1.4,1,0.493,35,0.257,9,54.5,48,0.39399999999999996,12.4,11,36,0.278,10,0.5,12,"February 17, 2019",70.0,14,22.2,8,86.1,66.0,31,0.431,58,0.345,20,0.483,28,0.7859999999999999,22,4,200,100.0,22.0,9,15,72,,8.3,6,0.379,22,0.455,10,45.5,40,0.505,11.3,9,36,0.278,10,0.84,21,"Fifth Third Arena, Cincinnati, Ohio",WICHITA-STATE,Wichita State,72.5,Home,CINCINNATI,Cincinnati,Wichita State,aac,23,False,False,False,Away,False,9,10,71,48,88,10,10,58,0,1,165,415,1402,0.47253922967189727,769,1475,0.5213559322033898,167,381,1258,0.5019872813990461,0.5217391304347826
24,2019-02-20-21-tulsa,80.0,24,17.1,7,87.0,63.6,28,0.595,63,0.47600000000000003,30,0.159,10,0.6,6,12,200,117.4,23.3,7,22,81,,4.3,3,0.524,33,0.455,15,47.3,35,0.598,9.4,7,30,0.5,15,0.52,13,"February 20, 2019",57.9,11,13.3,4,117.4,76.7,23,0.33299999999999996,63,0.302,19,0.46,29,0.621,18,11,200,87.0,36.4,16,12,60,,2.9,2,0.349,22,0.182,4,52.7,39,0.391,11.7,10,41,0.366,15,0.593,16,"Donald W. Reynolds Center, Tulsa, Oklahoma",TULSA,Tulsa,69.3,Away,WICHITA-STATE,Wichita State,Wichita State,aac,24,False,False,False,Away,True,15,15,63,35,74,4,15,63,1,0,174,425,1473,0.4657162253903598,817,1563,0.5227127319257837,177,391,1316,0.4988601823708207,0.5
25,2019-02-23-20-wichita-state,39.3,11,9.1,4,110.4,72.5,29,0.525,61,0.45899999999999996,28,0.541,33,0.727,24,11,200,114.3,21.2,7,17,88,,3.9,3,0.344,21,0.381,8,49.3,36,0.574,10.6,9,40,0.5,20,0.607,17,"February 23, 2019",68.8,22,7.5,3,114.3,78.8,26,0.529,70,0.457,32,0.243,17,0.647,11,13,200,110.4,27.5,11,24,85,,6.5,5,0.371,26,0.385,10,50.7,37,0.544,10.4,9,44,0.5,22,0.5,13,"Charles Koch Arena, Wichita, Kansas",WICHITA-STATE,Wichita State,77.4,Away,MEMPHIS,Memphis,Wichita State,aac,25,False,True,True,Home,False,10,22,70,37,73,8,20,61,0,1,189,440,1536,0.4710286458333333,852,1637,0.5204642638973732,181,406,1379,0.49129804205946337,0.52
26,2019-02-28-19-wichita-state,59.1,13,8.3,3,98.5,71.4,25,0.5,55,0.4,22,0.16399999999999998,9,0.889,8,15,200,95.5,12.9,4,15,63,,1.5,1,0.436,24,0.45799999999999996,11,43.9,29,0.531,13.2,9,31,0.355,11,0.46399999999999997,13,"February 28, 2019",52.4,11,22.6,7,95.5,87.1,27,0.40299999999999997,62,0.33899999999999997,21,0.27399999999999997,17,0.882,15,13,200,98.5,28.6,10,11,65,,3.0,2,0.419,26,0.308,8,56.1,37,0.46399999999999997,10.3,8,36,0.361,13,0.519,14,"Charles Koch Arena, Wichita, Kansas",CONNECTICUT,UConn,66.2,Home,WICHITA-STATE,Wichita State,Wichita State,aac,26,True,False,True,Home,True,8,13,62,37,66,11,11,55,1,0,199,462,1606,0.4735367372353674,889,1710,0.5198830409356725,189,426,1440,0.49270833333333336,0.5
