,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,COLLEGE-OF-CHARLESTON_homegame,COLLEGE-OF-CHARLESTON_homegame2,COLLEGE-OF-CHARLESTON_home,COLLEGE-OF-CHARLESTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-15-16-virginia-commonwealth,38.5,10,0.0,0,95.2,71.8,28,0.569,51,0.51,26,0.647,33,0.758,25,2,200,100.0,21.7,5,24,83,,12.0,10,0.314,16,0.375,6,53.2,33,0.622,25.1,22,35,0.5710000000000001,20,0.818,9,"December 15, 2018",48.1,13,14.3,5,100.0,78.3,18,0.469,64,0.42200000000000004,27,0.469,30,0.633,19,4,200,95.2,28.2,11,24,79,,14.5,12,0.42200000000000004,27,0.222,6,46.8,29,0.505,17.2,16,37,0.568,21,0.636,7,"Stuart Siegel Center, Richmond, Virginia",VIRGINIA-COMMONWEALTH,VCU,83.5,Away,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,10,False,False,False,Away,True,6,20,51,33,62,6,21,64,1,0,64,191,550,0.5218181818181818,310,625,0.496,72,178,572,0.5,0.8
11,2018-12-18-19-siena,28.1,9,11.1,2,95.1,75.8,25,0.7120000000000001,52,0.615,32,0.25,13,0.6920000000000001,9,2,200,136.1,28.6,6,10,83,,11.5,7,0.327,17,0.588,10,57.4,31,0.713,13.5,9,35,0.629,22,0.833,10,"December 18, 2018",42.9,9,11.4,4,136.1,71.4,15,0.47200000000000003,54,0.389,21,0.185,10,0.7,7,7,200,95.1,24.2,8,14,58,,8.2,5,0.667,36,0.25,9,42.6,23,0.494,15.9,11,18,0.667,12,0.364,4,"Times Union Center , Albany, New York",SIENA,Siena,61.5,Away,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,11,False,False,False,Away,True,10,22,52,31,54,9,12,54,1,0,70,211,601,0.5257903494176372,343,687,0.4992721979621543,78,199,636,0.4968553459119497,0.8181818181818182
12,2018-12-21-19-college-of-charleston,48.3,14,4.9,2,107.4,74.3,26,0.598,56,0.518,29,0.08900000000000001,5,0.8,4,6,200,104.4,15.4,4,15,71,,4.4,3,0.41100000000000003,23,0.391,9,49.2,30,0.608,19.4,14,33,0.606,20,0.5,6,"December 21, 2018",46.4,13,3.0,1,104.4,84.6,22,0.47700000000000004,64,0.43799999999999994,28,0.25,16,0.75,12,2,200,107.4,25.7,9,8,73,,10.3,7,0.359,23,0.217,5,50.8,31,0.51,7.8,6,41,0.561,23,0.846,11,"TD Arena, Charleston, South Carolina",COASTAL-CAROLINA,Coastal Carolina,68.5,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,12,True,False,True,Home,True,5,23,64,31,61,9,20,56,1,0,80,233,653,0.5405819295558959,374,741,0.50472334682861,87,211,690,0.49492753623188407,0.8333333333333334
13,2018-12-29-19-north-carolina-wilmington,42.9,9,2.8,1,104.8,62.1,18,0.48100000000000004,54,0.389,21,0.48100000000000004,26,0.8079999999999999,21,2,200,115.9,28.6,10,11,73,,4.8,3,0.389,21,0.47600000000000003,10,43.8,28,0.55,9.7,7,33,0.33299999999999996,11,0.857,12,"December 29, 2018",81.5,22,6.1,2,115.9,71.4,25,0.5539999999999999,56,0.48200000000000004,27,0.14300000000000002,8,0.5,4,10,200,104.8,37.9,11,17,66,,4.8,3,0.35700000000000004,20,0.4,8,56.3,36,0.552,17.9,13,36,0.528,19,0.28600000000000003,4,"Trask Coliseum, Wilmington, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,62.6,Away,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,13,False,False,False,Away,True,10,11,54,28,64,8,19,56,1,0,85,256,717,0.5348675034867504,405,802,0.5049875311720698,96,231,746,0.5026809651474531,0.8461538461538461
14,2019-01-03-19-towson,52.0,13,2.9,1,88.7,69.7,23,0.48100000000000004,53,0.47200000000000003,25,0.321,17,0.941,16,2,200,108.1,26.9,7,11,67,,9.7,6,0.226,12,0.083,1,50.8,30,0.5489999999999999,10.4,7,41,0.585,24,0.867,13,"January 3, 2019",52.4,11,12.2,5,108.1,73.1,19,0.42100000000000004,57,0.368,21,0.158,9,0.778,7,10,200,88.7,30.3,10,17,55,,4.8,3,0.40399999999999997,23,0.261,6,49.2,29,0.449,15.3,11,34,0.441,15,0.33299999999999996,5,"SECU Arena, Towson, Maryland",TOWSON,Towson,61.7,Away,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,14,False,False,False,Away,True,1,24,53,30,59,6,15,57,1,0,95,267,771,0.5311284046692607,433,866,0.5,104,250,802,0.5062344139650873,0.8571428571428571
15,2019-01-05-16-james-madison,36.8,7,8.0,2,107.8,89.5,17,0.429,49,0.38799999999999996,19,0.38799999999999996,19,0.8420000000000001,16,3,200,90.6,21.9,7,15,58,,15.6,10,0.36700000000000005,18,0.222,4,47.1,24,0.5,18.5,13,31,0.484,15,0.812,13,"January 5, 2019",54.2,13,16.1,5,90.6,78.1,25,0.659,44,0.545,24,0.364,16,0.688,11,9,200,107.8,10.5,2,18,69,,9.4,6,0.43200000000000005,19,0.526,10,52.9,27,0.669,21.5,14,25,0.56,14,0.47100000000000003,8,"JMU Convocation Center, Harrisonburg, Virginia",COLLEGE-OF-CHARLESTON,College of Charleston,63.8,Home,JAMES-MADISON,James Madison,College of Charleston,colonial,15,False,False,False,Away,False,4,15,49,24,51,10,14,44,0,1,96,291,824,0.5279126213592233,463,925,0.5005405405405405,110,265,859,0.5005820721769499,0.8666666666666667
16,2019-01-10-19-college-of-charleston,60.7,17,5.4,2,114.7,75.9,22,0.542,59,0.475,28,0.33899999999999997,20,0.75,15,10,200,116.2,20.7,6,15,79,,5.9,4,0.39,23,0.348,8,48.3,28,0.5770000000000001,11.7,9,36,0.556,20,0.444,8,"January 10, 2019",51.6,16,8.3,3,116.2,79.3,23,0.616,56,0.5539999999999999,31,0.28600000000000003,16,0.563,9,4,200,114.7,24.1,7,16,78,,8.8,6,0.33899999999999997,19,0.368,7,51.7,30,0.613,11.3,8,37,0.649,24,0.765,13,"TD Arena, Charleston, South Carolina",COLLEGE-OF-CHARLESTON,College of Charleston,68.1,Away,DREXEL,Drexel,College of Charleston,colonial,16,False,True,True,Home,False,7,24,56,30,58,8,20,59,0,1,100,306,873,0.5223367697594502,487,976,0.4989754098360656,120,279,903,0.5083056478405316,0.8125
17,2019-01-12-16-college-of-charleston,31.6,6,12.9,4,106.0,79.3,23,0.406,53,0.358,19,0.321,17,0.882,15,7,200,86.6,18.8,6,17,58,,10.4,7,0.509,27,0.185,5,47.5,29,0.475,18.8,14,26,0.5379999999999999,14,0.632,12,"January 12, 2019",42.3,11,15.4,4,86.6,81.3,26,0.578,51,0.51,26,0.353,18,0.667,12,4,200,106.0,20.7,6,17,71,,6.0,4,0.392,20,0.35,7,52.5,32,0.596,16.9,12,31,0.613,19,0.778,14,"TD Arena, Charleston, South Carolina",DELAWARE,Delaware,67.3,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,17,True,False,True,Home,True,7,19,51,32,61,5,14,53,1,0,107,330,929,0.5279870828848224,517,1034,0.5,128,299,962,0.5103950103950103,0.7647058823529411
18,2019-01-17-19-northeastern,33.3,7,3.6,1,98.6,82.6,19,0.49,49,0.429,21,0.28600000000000003,14,0.857,12,5,200,85.7,3.7,1,17,60,,10.0,7,0.429,21,0.28600000000000003,6,40.0,20,0.539,23.6,17,28,0.536,15,0.737,14,"January 17, 2019",32.0,8,7.1,2,85.7,96.3,26,0.541,49,0.51,25,0.408,20,0.8,16,8,200,98.6,17.4,4,18,69,,14.3,10,0.429,21,0.14300000000000002,3,60.0,30,0.59,19.5,14,28,0.7859999999999999,22,0.556,10,"Matthews Arena, Boston, Massachusetts",COLLEGE-OF-CHARLESTON,College of Charleston,70.1,Home,NORTHEASTERN,Northeastern,College of Charleston,colonial,18,False,False,False,Away,False,6,15,49,20,50,3,22,49,0,1,114,349,980,0.5306122448979592,549,1095,0.5013698630136987,133,313,1015,0.5049261083743842,0.7777777777777778
19,2019-01-19-16-hofstra,40.7,11,3.4,1,132.3,77.8,14,0.596,52,0.519,27,0.231,12,0.833,10,6,200,110.8,29.2,7,17,72,,9.2,6,0.385,20,0.4,8,50.0,21,0.624,20.8,15,32,0.594,19,0.7,14,"January 19, 2019",38.7,12,15.6,5,110.8,70.8,17,0.72,50,0.62,31,0.32,16,0.875,14,3,200,132.3,22.2,4,12,86,,7.7,5,0.42,21,0.47600000000000003,10,50.0,21,0.747,14.9,10,29,0.7240000000000001,21,0.85,17,"Mack Sports Complex, Hempstead, New York",COLLEGE-OF-CHARLESTON,College of Charleston,64.7,Home,HOFSTRA,Hofstra,College of Charleston,colonial,19,False,False,False,Away,False,8,19,52,21,42,10,21,50,0,1,120,364,1029,0.5286686103012633,569,1145,0.496943231441048,136,335,1064,0.506578947368421,0.7368421052631579
20,2019-01-24-19-college-of-charleston,73.7,14,3.1,1,110.8,72.4,21,0.49,48,0.396,19,0.25,12,0.5,6,15,200,81.5,16.7,5,17,53,,6.2,4,0.5,24,0.375,9,44.1,26,0.493,23.1,16,24,0.41700000000000004,10,0.28600000000000003,6,"January 24, 2019",46.2,12,4.2,1,81.5,83.3,25,0.546,54,0.48100000000000004,26,0.315,17,0.765,13,6,200,110.8,27.6,8,14,72,,13.8,9,0.40700000000000003,22,0.318,7,55.9,33,0.58,16.3,12,32,0.594,19,0.7140000000000001,15,"TD Arena, Charleston, South Carolina",ELON,Elon,65.4,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,20,True,False,True,Home,True,7,19,54,33,59,9,10,48,1,0,128,383,1081,0.5319148936170213,590,1187,0.4970513900589722,146,356,1114,0.5161579892280072,0.7
21,2019-01-26-16-college-of-charleston,60.9,14,12.2,5,113.8,81.5,22,0.491,53,0.434,23,0.17,9,0.778,7,14,200,90.8,14.8,4,17,59,,3.1,2,0.358,19,0.316,6,48.1,26,0.515,16.2,11,34,0.5,17,0.33299999999999996,7,"January 26, 2019",39.3,11,14.7,5,90.8,85.2,23,0.564,55,0.509,28,0.273,15,0.8,12,6,200,113.8,18.5,5,14,74,,12.3,8,0.255,14,0.429,6,51.9,28,0.596,12.7,9,41,0.537,22,0.727,16,"TD Arena, Charleston, South Carolina",WILLIAM-MARY,William & Mary,65.2,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,21,True,False,True,Home,True,6,22,55,28,54,6,17,53,1,0,135,402,1135,0.5325991189427313,623,1246,0.5,155,366,1162,0.5150602409638554,0.7142857142857143
22,2019-01-31-19-college-of-charleston,45.0,9,12.5,4,114.8,92.3,24,0.42100000000000004,57,0.35100000000000003,20,0.08800000000000001,5,1.0,5,14,200,86.9,35.3,12,11,53,,4.9,3,0.456,26,0.308,8,60.0,36,0.446,19.1,14,31,0.387,12,0.391,9,"January 31, 2019",56.0,14,9.7,3,86.9,64.7,22,0.5589999999999999,51,0.49,25,0.275,14,0.929,13,6,200,114.8,7.7,2,14,70,,11.5,7,0.373,19,0.368,7,40.0,24,0.607,8.0,5,32,0.563,18,0.7390000000000001,17,"TD Arena, Charleston, South Carolina",JAMES-MADISON,James Madison,61.0,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,22,True,False,True,Home,True,7,18,51,24,60,8,12,57,1,0,141,424,1190,0.5340336134453781,651,1300,0.5007692307692307,161,383,1215,0.5139917695473251,0.7272727272727273
23,2019-02-02-16-college-of-charleston,35.0,7,17.2,5,100.0,71.0,22,0.5,45,0.444,20,0.311,14,0.5710000000000001,8,16,200,98.1,28.0,7,10,53,,9.3,5,0.311,14,0.35700000000000004,5,51.8,29,0.513,15.0,9,31,0.484,15,0.33299999999999996,8,"February 2, 2019",60.0,12,0.0,0,98.1,72.0,18,0.48,51,0.392,20,0.17600000000000002,9,0.556,5,6,200,100.0,29.0,9,13,54,,9.3,5,0.431,22,0.409,9,48.2,27,0.488,14.1,9,29,0.379,11,0.75,18,"TD Arena, Charleston, South Carolina",TOWSON,Towson,54.5,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,23,True,False,True,Home,True,9,11,51,27,56,5,15,45,1,0,148,442,1241,0.5350523771152297,675,1360,0.4963235294117647,169,395,1272,0.5098270440251572,0.7391304347826086
24,2019-02-07-19-delaware,46.4,13,0.0,0,115.4,82.8,24,0.632,53,0.528,28,0.434,23,0.696,16,6,200,127.7,29.2,7,15,83,,9.2,6,0.396,21,0.524,11,58.5,31,0.649,12.5,9,32,0.531,17,0.76,19,"February 7, 2019",50.0,13,0.0,0,127.7,70.8,17,0.565,54,0.48100000000000004,26,0.315,17,0.8240000000000001,14,11,200,115.4,17.2,5,19,75,,6.2,4,0.426,23,0.391,9,41.5,22,0.604,8.9,6,31,0.5479999999999999,17,0.56,14,"Bob Carpenter Center, Newark, Delaware",DELAWARE,Delaware,64.5,Away,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,24,False,False,False,Away,True,11,17,53,31,53,9,17,54,1,0,157,453,1292,0.5328947368421053,702,1416,0.4957627118644068,174,410,1317,0.5094912680334093,0.75
25,2019-02-09-16-drexel,48.4,15,2.9,1,120.0,78.3,18,0.5760000000000001,59,0.525,31,0.40700000000000003,24,0.75,18,6,200,122.9,25.0,7,14,86,,14.3,10,0.373,22,0.273,6,49.0,25,0.611,7.9,6,37,0.6759999999999999,25,0.769,20,"February 9, 2019",51.7,15,5.4,2,122.9,75.0,21,0.602,54,0.537,29,0.35200000000000004,19,1.0,19,14,200,120.0,21.7,5,15,84,,4.3,3,0.35200000000000004,19,0.368,7,51.0,26,0.6659999999999999,17.3,13,35,0.629,22,0.462,12,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",DREXEL,Drexel,70.2,Away,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,25,False,False,False,Away,True,6,25,59,25,51,7,22,54,1,0,168,470,1345,0.5368029739776952,733,1469,0.4989788972089857,183,427,1371,0.5116703136396791,0.76
