,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TEXAS-AM-CORPUS-CHRISTI_homegame,TEXAS-AM-CORPUS-CHRISTI_homegame2,TEXAS-AM-CORPUS-CHRISTI_home,TEXAS-AM-CORPUS-CHRISTI_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-20-20-texas-am-corpus-christi,37.5,9,13.3,4,69.4,60.5,23,0.491,56,0.429,24,0.25,14,0.643,9,7,200,88.9,22.9,8,22,64,,13.9,10,0.41100000000000003,23,0.304,7,42.5,31,0.511,21.5,17,33,0.515,17,0.41700000000000004,5,"December 20, 2018",46.7,7,12.1,4,88.9,77.1,27,0.327,52,0.28800000000000003,15,0.48100000000000004,25,0.64,16,6,200,69.4,39.5,15,19,50,,8.3,6,0.423,22,0.182,4,57.5,42,0.391,26.7,23,30,0.36700000000000005,11,0.455,5,"American Bank Center, Corpus Christi, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,71.8,Away,TEXAS-SAN-ANTONIO,UTSA,Texas A&M-Corpus Christi,southland,10,False,True,True,Home,False,4,11,52,42,73,7,17,56,0,1,66,196,612,0.4820261437908497,359,674,0.5326409495548962,66,150,550,0.4527272727272727,0.5
11,2018-12-22-17-louisiana-tech,87.5,21,15.6,5,102.8,78.4,29,0.475,59,0.40700000000000003,24,0.254,15,0.8,12,7,200,95.8,30.3,10,24,68,,7.0,5,0.45799999999999996,27,0.29600000000000004,8,55.7,39,0.514,17.6,14,32,0.5,16,0.41700000000000004,5,"December 22, 2018",65.0,13,15.6,5,95.8,69.7,23,0.45399999999999996,54,0.37,20,0.611,33,0.727,24,3,200,102.8,21.6,8,15,73,,9.9,7,0.40700000000000003,22,0.409,9,44.3,31,0.524,12.7,10,32,0.344,11,0.769,10,"Thomas Assembly Center, Ruston, Louisiana",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,70.9,Home,LOUISIANA-TECH,Louisiana Tech,Texas A&M-Corpus Christi,southland,11,False,False,False,Away,False,8,16,59,39,70,9,11,54,0,1,70,207,664,0.46987951807228917,401,747,0.536813922356091,73,167,606,0.45627062706270627,0.45454545454545453
12,2018-12-29-14-oklahoma-state,71.4,15,7.4,2,103.0,69.6,16,0.41100000000000003,62,0.33899999999999997,21,0.19399999999999998,12,0.667,8,8,200,88.1,27.8,10,15,59,,10.4,7,0.40299999999999997,25,0.36,9,44.1,26,0.436,11.8,9,37,0.324,12,0.385,5,"December 29, 2018",60.9,14,16.2,6,88.1,72.2,26,0.551,49,0.469,23,0.469,23,0.652,15,6,200,103.0,30.4,7,13,69,,7.5,5,0.449,22,0.364,8,55.9,33,0.5760000000000001,20.2,15,27,0.556,15,0.5,6,"Gallagher-Iba Arena, Stillwater, Oklahoma",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,67.3,Home,OKLAHOMA-STATE,Oklahoma State,Texas A&M-Corpus Christi,southland,12,False,False,False,Away,False,9,12,62,26,59,8,15,49,0,1,78,223,723,0.4702627939142462,440,817,0.5385556915544676,82,178,660,0.45606060606060606,0.4166666666666667
13,2019-01-02-20-texas-am-corpus-christi,76.0,19,13.3,6,110.1,67.6,25,0.551,59,0.424,25,0.203,12,0.833,10,9,200,94.9,9.4,3,24,75,,7.6,6,0.525,31,0.484,15,40.6,28,0.58,21.9,18,28,0.35700000000000004,10,0.35700000000000004,5,"January 2, 2019",64.3,18,3.6,1,94.9,90.6,29,0.484,62,0.452,28,0.565,35,0.7709999999999999,27,8,200,110.1,32.4,12,11,87,,11.4,9,0.27399999999999997,17,0.235,4,59.4,41,0.5529999999999999,12.4,11,45,0.5329999999999999,24,0.429,6,"American Bank Center, Corpus Christi, Texas",CENTRAL-ARKANSAS,Central Arkansas,78.7,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,southland,13,True,False,True,Home,True,4,24,62,41,69,15,10,59,1,0,87,235,785,0.4656050955414013,466,876,0.5319634703196348,90,193,709,0.46262341325811,0.38461538461538464
14,2019-01-05-17-lamar,57.1,12,3.6,1,85.9,70.0,21,0.4,60,0.35,21,0.16699999999999998,10,0.7,7,9,200,77.5,21.2,7,28,55,,9.9,7,0.33299999999999996,20,0.3,6,44.4,28,0.425,20.9,17,40,0.375,15,0.4,6,"January 5, 2019",61.1,11,15.0,6,77.5,78.8,26,0.47600000000000003,42,0.429,18,0.857,36,0.583,21,7,200,85.9,30.0,9,18,61,,11.3,8,0.33299999999999996,14,0.28600000000000003,4,55.6,35,0.516,22.7,17,28,0.5,14,0.5329999999999999,8,"Montagne Center, Beaumont, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,70.9,Home,LAMAR,Lamar,Texas A&M-Corpus Christi,southland,14,False,False,False,Away,False,6,15,60,28,63,4,14,42,0,1,91,259,847,0.4669421487603306,507,945,0.5365079365079365,105,203,768,0.4694010416666667,0.42857142857142855
15,2019-01-09-19-northwestern-state,47.6,10,21.2,7,95.3,67.9,19,0.41700000000000004,60,0.35,21,0.317,19,0.632,12,9,200,96.9,51.4,19,13,62,,10.9,7,0.317,19,0.42100000000000004,8,58.5,38,0.449,18.0,15,41,0.317,13,0.43799999999999994,7,"January 9, 2019",44.0,11,14.6,6,96.9,48.6,18,0.527,55,0.455,25,0.091,5,0.6,3,10,200,95.3,32.1,9,20,61,,10.9,7,0.4,22,0.364,8,41.5,27,0.532,19.7,14,33,0.515,17,0.375,6,"Prather Coliseum, Natchitoches, Louisiana",NORTHWESTERN-STATE,Northwestern State,63.7,Away,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,southland,15,False,False,False,Away,True,8,13,60,38,65,8,17,55,1,0,97,274,907,0.4625137816979052,535,1008,0.5307539682539683,109,217,810,0.4697530864197531,0.4
16,2019-01-16-19-sam-houston-state,52.6,10,3.2,1,102.9,78.1,25,0.384,56,0.33899999999999997,19,0.161,9,0.778,7,10,200,71.4,18.2,6,15,50,,5.7,4,0.375,21,0.23800000000000002,5,47.7,31,0.415,21.1,16,35,0.4,14,0.41200000000000003,7,"January 16, 2019",76.9,20,8.6,3,71.4,81.8,27,0.534,59,0.441,26,0.16899999999999998,10,0.9,9,8,200,102.9,21.9,7,15,72,,15.7,11,0.475,28,0.39299999999999996,11,52.3,34,0.565,15.9,12,31,0.484,15,0.529,9,"Johnson Coliseum, Huntsville, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,69.5,Home,SAM-HOUSTON-STATE,Sam Houston State,Texas A&M-Corpus Christi,southland,16,False,False,False,Away,False,5,14,56,31,65,11,15,59,0,1,105,287,967,0.4596690796277146,573,1073,0.5340167753960857,117,234,865,0.47341040462427747,0.4375
17,2019-01-19-18-texas-am-corpus-christi,35.0,7,2.9,1,104.1,75.0,18,0.418,49,0.408,20,0.51,25,0.8,20,8,200,83.6,23.3,7,20,61,,11.0,8,0.204,10,0.1,1,46.3,25,0.501,25.9,21,39,0.48700000000000004,19,0.529,9,"January 19, 2019",69.0,20,10.3,4,83.6,76.7,23,0.593,54,0.537,29,0.315,17,0.706,12,10,200,104.1,25.0,6,19,76,,11.0,8,0.35200000000000004,19,0.316,6,53.7,29,0.612,19.6,15,35,0.657,23,0.444,8,"American Bank Center, Corpus Christi, Texas",NEW-ORLEANS,New Orleans,73.0,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,southland,17,True,False,True,Home,True,6,23,54,29,54,1,19,49,1,0,110,301,1023,0.4555229716520039,604,1138,0.5307557117750439,128,249,924,0.4772727272727273,0.4117647058823529
18,2019-01-23-20-texas-am-corpus-christi,68.2,15,10.8,4,110.3,74.3,26,0.569,51,0.431,22,0.353,18,0.833,15,10,200,107.4,10.3,3,19,73,,5.9,4,0.49,25,0.56,14,45.3,29,0.613,13.3,9,26,0.308,8,0.5,10,"January 23, 2019",52.0,13,7.7,2,107.4,89.7,26,0.484,61,0.41,25,0.311,19,0.8420000000000001,16,10,200,110.3,25.7,9,16,75,,4.4,3,0.39299999999999996,24,0.375,9,54.7,35,0.536,11.5,9,37,0.43200000000000005,16,0.474,9,"American Bank Center, Corpus Christi, Texas",NICHOLLS-STATE,Nicholls State,67.8,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,southland,18,True,False,True,Home,True,9,16,61,35,64,14,8,51,1,0,116,324,1077,0.4623955431754875,633,1192,0.5310402684563759,129,268,973,0.47430626927029806,0.4444444444444444
19,2019-01-30-20-abilene-christian,36.0,9,11.4,4,111.4,62.2,23,0.565,46,0.5429999999999999,25,0.522,24,0.792,19,11,200,101.4,21.7,5,18,71,,11.4,8,0.217,10,0.2,2,46.7,28,0.618,25.1,19,36,0.639,23,0.45,9,"January 30, 2019",68.0,17,8.3,3,101.4,78.3,18,0.525,59,0.424,25,0.35600000000000004,21,0.762,16,4,200,111.4,37.8,14,22,78,,17.1,12,0.40700000000000003,24,0.5,12,53.3,32,0.565,17.0,14,35,0.371,13,0.818,18,"Moody Coliseum , Abilene, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,70.2,Home,ABILENE-CHRISTIAN,Abilene Christian,Texas A&M-Corpus Christi,southland,19,False,False,False,Away,False,2,23,46,28,60,12,13,59,0,1,125,340,1138,0.46353251318101935,668,1256,0.5318471337579618,143,276,1024,0.47900390625,0.47368421052631576
20,2019-02-02-20-houston-baptist,57.1,16,7.7,3,94.8,75.0,24,0.508,60,0.467,28,0.267,16,0.688,11,12,200,93.5,27.3,9,29,72,,11.7,9,0.267,16,0.313,5,50.8,33,0.5329999999999999,22.1,19,44,0.523,23,0.429,9,"February 2, 2019",56.0,14,9.1,4,93.5,72.7,24,0.531,49,0.51,25,0.735,36,0.583,21,13,200,94.8,25.0,8,21,73,,9.1,7,0.204,10,0.2,2,49.2,32,0.552,22.7,19,39,0.59,23,0.35,7,"Frank and Lucille Sharp Gymnasium, Houston, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,77.4,Home,HOUSTON-BAPTIST,Houston Baptist,Texas A&M-Corpus Christi,southland,20,False,False,False,Away,False,5,23,60,33,65,2,23,49,0,1,127,363,1184,0.4674831081081081,696,1316,0.5288753799392097,155,289,1083,0.48153277931671284,0.45
21,2019-02-06-20-texas-am-corpus-christi,47.4,9,2.9,1,96.7,62.1,18,0.5,46,0.413,19,0.478,22,0.818,18,13,200,106.7,16.7,4,21,64,,5.0,3,0.522,24,0.33299999999999996,8,41.5,22,0.5670000000000001,16.5,11,22,0.5,11,0.435,10,"February 6, 2019",55.0,11,9.1,2,106.7,83.3,20,0.467,46,0.435,20,0.457,21,0.7140000000000001,15,13,200,96.7,37.9,11,22,58,,5.0,3,0.261,12,0.25,3,58.5,31,0.518,17.8,12,34,0.5,17,0.409,9,"Dugan Wellness Center, Corpus Christi, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,60.2,Away,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Texas A&M-Corpus Christi,southland,21,False,True,True,Home,False,3,17,46,31,53,8,11,46,0,1,132,386,1244,0.4694533762057878,729,1381,0.5278783490224475,157,312,1132,0.4836572438162544,0.42857142857142855
22,2019-02-09-20-texas-am-corpus-christi,55.6,10,0.0,0,122.8,73.7,14,0.5660000000000001,38,0.474,18,0.6579999999999999,25,0.72,18,17,200,107.0,31.8,7,19,61,,15.8,9,0.316,12,0.583,7,51.2,21,0.612,23.4,15,26,0.423,11,0.261,6,"February 9, 2019",60.9,14,11.5,3,107.0,68.2,15,0.6920000000000001,39,0.59,23,0.513,20,0.8,16,13,200,122.8,26.3,5,20,70,,14.0,8,0.385,15,0.5329999999999999,8,48.8,20,0.722,21.4,13,24,0.625,15,0.435,10,"American Bank Center, Corpus Christi, Texas",INCARNATE-WORD,Incarnate Word,57.2,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,southland,22,True,False,True,Home,True,8,15,39,20,41,7,11,38,1,0,135,403,1290,0.4693798449612403,760,1434,0.5299860529986054,165,323,1178,0.48429541595925296,0.4090909090909091
23,2019-02-13-20-texas-am-corpus-christi,50.0,12,2.9,1,115.0,78.3,18,0.5670000000000001,52,0.462,24,0.26899999999999996,14,0.7859999999999999,11,8,200,116.7,16.0,4,10,70,,6.7,4,0.519,27,0.40700000000000003,11,45.8,22,0.597,9.4,6,25,0.52,13,0.68,17,"February 13, 2019",63.0,17,8.0,2,116.7,84.0,21,0.606,52,0.519,27,0.17300000000000001,9,0.667,6,14,200,115.0,21.7,5,15,69,,5.0,3,0.327,17,0.529,9,54.2,26,0.613,12.5,8,35,0.514,18,0.41700000000000004,10,"American Bank Center, Corpus Christi, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,60.0,Away,SAM-HOUSTON-STATE,Sam Houston State,Texas A&M-Corpus Christi,southland,23,False,True,True,Home,False,9,18,52,26,48,11,13,52,0,1,143,418,1329,0.4759217456734387,780,1475,0.5288135593220339,172,334,1216,0.4868421052631579,0.43478260869565216
