,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-CAROLINA-CENTRAL_homegame,NORTH-CAROLINA-CENTRAL_homegame2,NORTH-CAROLINA-CENTRAL_home,NORTH-CAROLINA-CENTRAL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-13-19-mcneese-state,66.7,16,2.8,1,111.6,59.3,16,0.509,56,0.429,24,0.161,9,0.444,4,7,200,88.4,29.4,10,18,61,,7.2,5,0.429,24,0.375,9,42.6,26,0.506,23.1,18,32,0.469,15,0.364,4,"December 13, 2018",64.0,16,3.1,1,88.4,70.6,24,0.51,51,0.49,25,0.569,29,0.862,25,6,200,111.6,40.7,11,12,77,,10.1,7,0.294,15,0.133,2,57.4,35,0.594,20.1,16,36,0.639,23,0.33299999999999996,3,"H&HP Complex, Lake Charles, Louisiana",NORTH-CAROLINA-CENTRAL,North Carolina Central,69.0,Home,MCNEESE-STATE,McNeese State,North Carolina Central,meac,10,False,False,False,Away,False,9,15,56,26,61,2,23,51,0,1,65,206,573,0.5296684118673648,328,594,0.5521885521885522,75,185,548,0.5428832116788321,0.4
11,2018-12-16-14-coastal-carolina,60.9,14,7.4,2,100.0,80.0,20,0.529,51,0.451,23,0.275,14,0.7859999999999999,11,8,200,94.2,29.2,7,18,65,,17.4,12,0.47100000000000003,24,0.33299999999999996,8,55.1,27,0.564,23.9,18,27,0.556,15,0.33299999999999996,4,"December 16, 2018",60.0,12,14.8,4,94.2,70.8,17,0.522,46,0.435,20,0.5429999999999999,25,0.84,21,5,200,100.0,20.0,5,16,69,,8.7,6,0.413,19,0.42100000000000004,8,44.9,22,0.596,23.0,17,27,0.444,12,0.545,6,"The HTC Center, Conway, South Carolina",NORTH-CAROLINA-CENTRAL,North Carolina Central,69.3,Home,COASTAL-CAROLINA,Coastal Carolina,North Carolina Central,meac,11,False,False,False,Away,False,8,15,51,27,49,8,12,46,0,1,74,221,629,0.5278219395866455,354,655,0.5404580152671755,77,208,599,0.5400667779632721,0.36363636363636365
12,2018-12-19-20-saint-louis,76.9,20,8.7,4,102.8,55.9,19,0.644,45,0.578,26,0.17800000000000002,8,0.875,7,9,200,90.3,11.8,2,23,65,,9.7,7,0.289,13,0.462,6,41.2,21,0.6659999999999999,33.1,24,32,0.625,20,0.308,4,"December 19, 2018",66.7,20,12.5,4,90.3,88.2,15,0.541,61,0.49200000000000005,30,0.311,19,0.42100000000000004,8,3,200,102.8,44.1,15,16,74,,16.7,12,0.24600000000000002,15,0.4,6,58.8,30,0.528,20.6,18,46,0.522,24,0.727,8,"Chaifetz Arena, St. Louis, Missouri",NORTH-CAROLINA-CENTRAL,North Carolina Central,71.9,Home,SAINT-LOUIS,Saint Louis,North Carolina Central,meac,12,False,False,False,Away,False,6,20,45,21,51,6,24,61,0,1,82,236,680,0.5279411764705882,381,704,0.5411931818181818,85,220,645,0.5387596899224806,0.3333333333333333
13,2018-12-30-14-north-carolina-central,52.9,9,5.7,3,112.3,54.1,20,0.305,64,0.266,17,0.21899999999999997,14,0.35700000000000004,5,0,200,54.3,29.5,13,20,44,,7.4,6,0.375,24,0.20800000000000002,5,40.7,33,0.311,25.5,24,40,0.3,12,0.0,0,"December 30, 2018",58.3,21,10.0,4,54.3,70.5,31,0.493,75,0.48,36,0.307,23,0.7390000000000001,17,9,200,112.3,45.9,17,16,91,,13.6,11,0.293,22,0.091,2,59.3,48,0.53,12.4,12,53,0.642,34,0.35700000000000004,5,"McLendon-McDougald Gym, Durham, North Carolina","Wilberforce
			","Wilberforce
			",81.3,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,13,True,False,True,Home,True,2,34,75,48,81,5,12,64,1,0,88,256,725,0.5351724137931034,402,755,0.5324503311258278,91,244,706,0.5389518413597734,0.3076923076923077
14,2019-01-05-16-north-carolina-central,23.8,5,2.7,1,89.5,87.1,27,0.42,56,0.375,21,0.375,21,0.5710000000000001,12,10,200,77.6,27.8,10,21,59,,9.2,7,0.321,18,0.278,5,55.2,37,0.447,24.4,21,38,0.42100000000000004,16,0.33299999999999996,5,"January 5, 2019",62.5,15,13.2,5,77.6,72.2,26,0.47200000000000003,54,0.444,24,0.444,24,0.708,17,9,200,89.5,12.9,4,20,68,,13.2,10,0.315,17,0.17600000000000002,3,44.8,30,0.52,17.8,14,37,0.568,21,0.4,6,"McLendon-McDougald Gym, Durham, North Carolina",BETHUNE-COOKMAN,Bethune-Cookman,76.2,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,14,True,False,True,Home,True,3,21,54,30,67,5,16,56,1,0,90,290,800,0.53125,450,836,0.5382775119617225,96,256,770,0.5194805194805194,0.35714285714285715
15,2019-01-12-16-maryland-eastern-shore,61.9,13,3.1,1,80.0,85.3,29,0.46399999999999997,56,0.375,21,0.196,11,0.818,9,9,200,101.7,36.7,11,18,61,,3.3,2,0.536,30,0.33299999999999996,10,62.5,40,0.498,15.3,11,26,0.423,11,0.43799999999999994,7,"January 12, 2019",82.4,14,11.5,3,101.7,63.3,19,0.39,50,0.34,17,0.28,14,0.643,9,16,200,80.0,14.7,5,13,48,,5.0,3,0.36,18,0.278,5,37.5,24,0.424,11.1,7,32,0.375,12,0.111,2,"Hytche Athletic Center, Princess Anne, Maryland",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,59.9,Away,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,15,False,False,False,Away,True,10,11,56,40,64,5,12,50,1,0,93,311,854,0.5275175644028103,480,903,0.53156146179402,101,272,826,0.5127118644067796,0.4
16,2019-01-14-19-delaware-state,55.6,15,17.1,6,104.5,85.2,23,0.57,50,0.54,27,0.38,19,0.737,14,9,200,106.0,39.1,9,16,71,,1.5,1,0.2,10,0.3,3,64.0,32,0.601,20.4,15,40,0.6,24,0.47100000000000003,8,"January 14, 2019",30.8,8,10.0,4,106.0,60.9,14,0.508,60,0.433,26,0.183,11,0.818,9,14,200,104.5,14.8,4,19,70,,7.5,5,0.41700000000000004,25,0.36,9,36.0,18,0.537,11.0,8,35,0.486,17,0.17600000000000002,3,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,67.1,Away,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,16,False,False,False,Away,True,3,24,50,32,50,9,17,60,1,0,103,322,910,0.5236263736263737,520,967,0.5377456049638056,106,284,876,0.5057077625570776,0.4375
17,2019-01-19-16-north-carolina-central,30.4,7,2.6,1,81.1,70.6,24,0.419,62,0.371,23,0.27399999999999997,17,0.706,12,17,200,86.5,28.2,11,19,64,,8.1,6,0.387,24,0.25,6,47.9,35,0.457,15.8,13,38,0.447,17,0.15,3,"January 19, 2019",61.9,13,2.6,1,86.5,71.8,28,0.42,56,0.375,21,0.33899999999999997,19,0.684,13,10,200,81.1,29.4,10,19,60,,9.5,7,0.304,17,0.294,5,52.1,38,0.461,23.7,20,39,0.41,16,0.444,8,"McLendon-McDougald Gym, Durham, North Carolina",NORTH-CAROLINA-CENTRAL,North Carolina Central,73.6,Away,COPPIN-STATE,Coppin State,North Carolina Central,meac,17,False,True,True,Home,False,5,16,56,38,73,6,17,62,0,1,106,346,960,0.5260416666666666,552,1017,0.5427728613569321,115,301,936,0.5058760683760684,0.47058823529411764
18,2019-01-21-16-north-carolina-central,46.2,12,9.3,4,117.9,75.9,22,0.42200000000000004,64,0.406,26,0.25,16,0.625,10,12,200,82.1,14.6,6,15,64,,3.8,3,0.188,12,0.16699999999999998,2,40.0,28,0.447,13.4,11,52,0.462,24,0.368,7,"January 21, 2019",68.6,24,5.8,3,82.1,85.4,35,0.621,66,0.53,35,0.22699999999999998,15,0.667,10,10,200,117.9,24.1,7,17,92,,6.4,5,0.348,23,0.522,12,60.0,42,0.629,15.2,13,43,0.535,23,0.474,9,"McLendon-McDougald Gym, Durham, North Carolina",MORGAN-STATE,Morgan State,77.9,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,18,True,False,True,Home,True,12,23,66,42,70,2,24,64,1,0,111,362,1016,0.5201771653543307,590,1090,0.5412844036697247,121,318,998,0.500501002004008,0.4444444444444444
19,2019-01-26-16-north-carolina-central,77.8,14,5.7,2,75.0,60.6,20,0.44799999999999995,48,0.375,18,0.20800000000000002,10,0.8,8,9,200,79.7,10.7,3,9,51,,9.4,6,0.45799999999999996,22,0.318,7,37.7,23,0.483,18.6,12,26,0.423,11,0.55,11,"January 26, 2019",55.0,11,11.5,3,79.7,89.3,25,0.377,57,0.35100000000000003,20,0.12300000000000001,7,0.7140000000000001,5,11,200,75.0,39.4,13,13,48,,9.4,6,0.386,22,0.136,3,62.3,38,0.39799999999999996,23.1,18,35,0.486,17,0.45,9,"McLendon-McDougald Gym, Durham, North Carolina",NORTH-CAROLINA-CENTRAL,North Carolina Central,63.5,Away,NORTH-CAROLINA-AT,North Carolina A&T,North Carolina Central,meac,19,False,True,True,Home,False,3,17,57,38,61,7,11,48,0,1,123,385,1082,0.5263401109057301,632,1160,0.5448275862068965,123,342,1062,0.4957627118644068,0.47368421052631576
20,2019-01-28-19-savannah-state,63.3,19,18.5,5,102.6,88.9,32,0.579,57,0.526,30,0.456,26,0.615,16,11,200,107.9,34.6,9,13,82,,6.6,5,0.281,16,0.375,6,66.1,41,0.591,19.9,17,41,0.585,24,0.47600000000000003,10,"January 28, 2019",53.6,15,12.2,5,107.9,65.4,17,0.532,62,0.452,28,0.258,16,0.75,12,15,200,102.6,11.1,4,21,78,,15.8,12,0.565,35,0.28600000000000003,10,33.9,21,0.56,11.5,9,27,0.667,18,0.25,5,"Tiger Arena, Savannah, Georgia",SAVANNAH-STATE,Savannah State,76.0,Away,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,20,False,False,False,Away,True,6,24,57,41,62,10,18,62,1,0,126,402,1139,0.5188762071992976,670,1221,0.5487305487305487,130,353,1110,0.4936936936936937,0.45
21,2019-02-02-16-bethune-cookman,77.3,17,6.3,3,100.0,66.7,26,0.34600000000000003,65,0.33799999999999997,22,0.415,27,0.7040000000000001,19,12,200,86.5,43.2,19,23,64,,5.4,4,0.369,24,0.042,1,54.2,45,0.41100000000000003,19.0,18,41,0.512,21,0.455,10,"February 2, 2019",69.2,18,17.1,7,86.5,56.8,25,0.466,59,0.441,26,0.49200000000000005,29,0.655,19,13,200,100.0,33.3,13,22,74,,16.2,12,0.18600000000000003,11,0.273,3,45.8,38,0.508,14.3,12,48,0.479,23,0.409,9,"Moore Gymnasium, Daytona Beach, Florida",NORTH-CAROLINA-CENTRAL,North Carolina Central,74.3,Home,BETHUNE-COOKMAN,Bethune-Cookman,North Carolina Central,meac,21,False,False,False,Away,False,1,21,65,45,83,3,23,59,0,1,132,426,1196,0.5217391304347826,711,1283,0.5541699142634451,140,371,1172,0.49573378839590443,0.47619047619047616
22,2019-02-04-19-florida-am,22.2,4,5.6,2,107.4,69.2,18,0.319,58,0.31,18,0.534,31,0.645,20,13,200,83.8,40.5,15,19,57,,11.8,8,0.32799999999999996,19,0.053,1,52.4,33,0.392,14.3,12,39,0.436,17,0.435,10,"February 4, 2019",40.7,11,20.5,8,83.8,59.5,22,0.5770000000000001,52,0.519,27,0.327,17,0.765,13,14,200,107.4,30.8,8,16,73,,7.4,5,0.308,16,0.375,6,47.6,30,0.608,20.1,15,36,0.583,21,0.41700000000000004,10,"Al Lawson Center, Tallahassee, Florida",NORTH-CAROLINA-CENTRAL,North Carolina Central,68.4,Home,FLORIDA-AM,Florida A&M,North Carolina Central,meac,22,False,False,False,Away,False,1,17,58,33,63,6,21,52,0,1,133,447,1261,0.5126883425852498,756,1366,0.5534407027818448,143,394,1231,0.4943135662063363,0.45454545454545453
23,2019-02-09-16-north-carolina-central,70.0,14,3.3,1,136.8,52.6,10,0.511,44,0.455,20,0.341,15,0.5329999999999999,8,22,200,93.0,16.7,4,14,53,,7.0,4,0.273,12,0.41700000000000004,5,32.6,14,0.518,15.1,9,32,0.469,15,0.154,4,"February 9, 2019",67.9,19,6.3,2,93.0,83.3,20,0.6729999999999999,49,0.5710000000000001,28,0.34700000000000003,17,0.706,12,13,200,136.8,47.4,9,16,78,,14.0,8,0.38799999999999996,19,0.526,10,67.4,29,0.6829999999999999,15.0,10,30,0.6,18,0.45799999999999996,11,"McLendon-McDougald Gym, Durham, North Carolina",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,57.1,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,23,True,False,True,Home,True,10,18,49,29,43,5,15,44,1,0,134,464,1319,0.5041698256254739,789,1429,0.5521343596920923,149,415,1283,0.4976617303195635,0.43478260869565216
24,2019-02-11-19-north-carolina-central,61.9,13,21.1,8,122.5,63.6,21,0.34299999999999997,67,0.313,21,0.149,10,0.6,6,20,200,73.2,31.1,14,15,52,,4.2,3,0.40299999999999997,27,0.14800000000000002,4,44.9,35,0.36200000000000004,16.4,14,40,0.425,17,0.16699999999999998,4,"February 11, 2019",78.1,25,7.5,3,73.2,68.9,31,0.578,64,0.5,32,0.313,20,0.65,13,13,200,122.5,36.4,12,14,87,,12.7,9,0.406,26,0.385,10,55.1,43,0.5920000000000001,9.9,8,38,0.579,22,0.48,12,"McLendon-McDougald Gym, Durham, North Carolina",DELAWARE-STATE,Delaware State,70.6,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,24,True,False,True,Home,True,10,22,64,43,78,4,17,67,1,0,144,482,1368,0.5102339181286549,818,1472,0.5557065217391305,154,430,1327,0.4981160512434062,0.4583333333333333
25,2019-02-16-18-norfolk-state,61.9,13,7.7,3,91.5,94.1,32,0.424,59,0.35600000000000004,21,0.441,26,0.8079999999999999,21,14,225,86.6,23.7,9,26,71,,3.7,3,0.40700000000000003,24,0.33299999999999996,8,56.9,41,0.498,22.1,20,35,0.371,13,0.462,12,"February 16, 2019",58.3,14,17.1,6,86.6,76.3,29,0.49200000000000005,59,0.40700000000000003,24,0.45799999999999996,27,0.63,17,11,225,91.5,5.9,2,20,75,,3.7,3,0.33899999999999997,20,0.5,10,43.1,31,0.522,14.5,12,39,0.359,14,0.5770000000000001,15,"Echols Memorial Hall, Norfolk, Virginia",NORTH-CAROLINA-CENTRAL,North Carolina Central,73.0,Home,NORFOLK-STATE,Norfolk State,North Carolina Central,meac,25,False,False,False,Away,False,8,13,59,41,72,10,14,59,0,1,154,504,1432,0.513268156424581,861,1550,0.555483870967742,158,447,1394,0.49067431850789095,0.48
