,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FAIRLEIGH-DICKINSON_homegame,FAIRLEIGH-DICKINSON_homegame2,FAIRLEIGH-DICKINSON_home,FAIRLEIGH-DICKINSON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-21-15-massachusetts,57.7,15,14.3,5,116.4,74.1,20,0.545,55,0.473,26,0.564,31,0.774,24,6,200,115.1,27.6,8,20,84,,12.3,9,0.364,20,0.4,8,50.0,28,0.602,12.7,10,35,0.514,18,0.455,5,"December 21, 2018",64.5,20,2.9,1,115.1,72.4,21,0.657,54,0.574,31,0.556,30,0.467,14,5,200,116.4,25.9,7,19,85,,8.2,6,0.35200000000000004,19,0.474,9,50.0,28,0.623,16.2,13,35,0.629,22,0.583,7,"Mullins Center, Amherst, Massachusetts",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,73.0,Home,MASSACHUSETTS,UMass,Fairleigh Dickinson,northeast,10,False,False,False,Away,False,8,18,55,28,56,9,22,54,0,1,79,183,572,0.5270979020979021,319,625,0.5104,71,186,559,0.5232558139534884,0.5
11,2018-12-29-13-south-florida,36.4,8,12.1,4,93.8,48.4,15,0.439,57,0.386,22,0.08800000000000001,5,0.8,4,7,200,84.4,15.6,5,21,54,,12.5,8,0.35100000000000003,20,0.3,6,31.7,20,0.455,15.7,11,37,0.43200000000000005,16,0.41700000000000004,5,"December 29, 2018",47.4,9,18.9,7,84.4,84.4,27,0.43,50,0.38,19,0.6,30,0.5670000000000001,17,2,200,93.8,51.6,16,12,60,,9.4,6,0.34,17,0.294,5,68.3,43,0.467,19.2,15,33,0.424,14,0.833,10,"Sun Dome, Tampa, Florida",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,64.3,Home,SOUTH-FLORIDA,South Florida,Fairleigh Dickinson,northeast,11,False,False,False,Away,False,6,16,57,20,63,5,14,50,0,1,87,201,627,0.5287081339712919,347,681,0.5095447870778267,80,208,613,0.5350734094616639,0.45454545454545453
12,2019-01-03-19-robert-morris,57.7,15,0.0,0,95.8,70.0,14,0.509,54,0.48100000000000004,26,0.204,11,0.636,7,8,200,86.1,33.3,8,16,62,,16.7,12,0.204,11,0.273,3,50.0,22,0.523,27.2,22,43,0.535,23,0.385,5,"January 3, 2019",66.7,16,11.6,5,86.1,66.7,16,0.616,43,0.5579999999999999,24,0.5579999999999999,24,0.667,16,8,200,95.8,30.0,6,14,69,,15.3,11,0.27899999999999997,12,0.41700000000000004,5,50.0,22,0.634,30.0,23,31,0.613,19,0.429,6,"North Athletic Complex, Pittsburgh, Pennsylvania",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,72.3,Home,ROBERT-MORRIS,Robert Morris,Fairleigh Dickinson,northeast,12,False,False,False,Away,False,3,23,54,22,44,5,19,43,0,1,93,217,684,0.5211988304093568,367,744,0.4932795698924731,85,222,663,0.5271493212669683,0.4166666666666667
13,2019-01-05-19-saint-francis-pa,51.5,17,6.7,2,84.7,78.6,22,0.64,57,0.579,33,0.193,11,0.545,6,8,200,109.7,13.0,3,16,79,,12.5,9,0.33299999999999996,19,0.368,7,49.0,25,0.635,16.3,12,38,0.684,26,0.429,6,"January 5, 2019",47.6,10,7.9,3,109.7,87.0,20,0.461,51,0.41200000000000003,21,0.373,19,0.737,14,8,200,84.7,21.4,6,14,61,,9.7,7,0.41200000000000003,21,0.23800000000000002,5,51.0,26,0.508,23.3,18,30,0.5329999999999999,16,0.385,5,"DeGol Arena, Loretto, Pennsylvania",SAINT-FRANCIS-PA,Saint Francis (PA),71.6,Away,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Fairleigh Dickinson,northeast,13,False,False,False,Away,True,7,26,57,25,51,5,16,51,1,0,96,240,738,0.5203252032520326,389,788,0.4936548223350254,90,241,706,0.5325779036827195,0.38461538461538464
14,2019-01-10-19-fairleigh-dickinson,55.9,19,2.9,1,107.9,73.8,31,0.623,65,0.523,34,0.4,26,0.846,22,9,250,115.7,29.0,9,25,103,,6.7,6,0.446,29,0.44799999999999995,13,54.8,40,0.6659999999999999,19.1,18,36,0.583,21,0.43799999999999994,7,"January 10, 2019",45.5,15,5.6,2,115.7,71.0,22,0.542,72,0.45799999999999996,33,0.361,26,0.6920000000000001,18,9,250,107.9,26.2,11,25,96,,6.7,6,0.514,37,0.324,12,45.2,33,0.569,17.7,18,35,0.6,21,0.4,6,"Rothman Center, Teaneck, New Jersey",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,71.1,Away,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Fairleigh Dickinson,northeast,14,False,True,True,Home,False,12,21,72,33,73,13,21,65,0,1,103,266,795,0.5289308176100629,414,839,0.4934445768772348,95,257,757,0.5277410832232496,0.42857142857142855
15,2019-01-12-16-wagner,76.2,16,12.5,3,103.1,50.0,12,0.49,50,0.42,21,0.3,15,0.733,11,10,200,93.8,15.4,4,19,60,,9.4,6,0.46,23,0.304,7,32.0,16,0.525,17.5,12,27,0.519,14,0.375,6,"January 12, 2019",60.9,14,11.1,3,93.8,84.6,22,0.563,48,0.479,23,0.354,17,0.706,12,7,200,103.1,50.0,12,15,66,,9.4,6,0.5,24,0.33299999999999996,8,68.0,34,0.588,25.5,19,24,0.625,15,0.5329999999999999,8,"Spiro Sports Center, Staten Island, New York",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,64.1,Home,WAGNER,Wagner,Fairleigh Dickinson,northeast,15,False,False,False,Away,False,7,14,50,16,50,8,15,48,0,1,115,287,867,0.5299884659746251,447,912,0.4901315789473684,108,278,822,0.5352798053527981,0.4
16,2019-01-19-16-long-island-university,77.8,21,5.7,2,109.7,57.6,19,0.565,54,0.5,27,0.389,21,0.762,16,11,200,106.9,16.0,4,17,77,,11.1,8,0.33299999999999996,18,0.389,7,39.7,23,0.602,15.9,12,36,0.556,20,0.353,6,"January 19, 2019",56.7,17,11.1,4,106.9,84.0,21,0.5479999999999999,63,0.47600000000000003,30,0.28600000000000003,18,0.556,10,8,200,109.7,42.4,14,17,79,,12.5,9,0.444,28,0.321,9,60.3,35,0.552,16.5,14,35,0.6,21,0.529,9,"Steinberg Wellness Center, Brooklyn, New York",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,71.8,Home,LONG-ISLAND-UNIVERSITY,LIU,Fairleigh Dickinson,northeast,16,False,False,False,Away,False,7,20,54,23,58,9,21,63,0,1,122,301,917,0.5278080697928026,463,962,0.4812889812889813,116,293,870,0.5367816091954023,0.375
17,2019-01-21-14-fairleigh-dickinson,48.0,12,14.7,5,135.9,62.1,18,0.5479999999999999,52,0.48100000000000004,25,0.365,19,0.632,12,15,200,107.8,28.6,8,15,69,,1.6,1,0.385,20,0.35,7,45.6,26,0.565,17.7,13,32,0.563,18,0.21100000000000002,4,"January 21, 2019",67.7,21,3.1,1,107.8,71.4,20,0.617,60,0.517,31,0.25,15,0.867,13,11,200,135.9,37.9,11,17,87,,12.5,8,0.433,26,0.462,12,54.4,31,0.648,8.3,6,34,0.5589999999999999,19,0.389,7,"Rothman Center, Teaneck, New Jersey",MOUNT-ST-MARYS,Mount St. Mary's,64.1,Home,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Fairleigh Dickinson,northeast,17,True,False,True,Home,True,12,19,60,31,57,7,18,52,1,0,129,321,971,0.5298661174047374,486,1020,0.4764705882352941,125,314,933,0.537513397642015,0.35294117647058826
18,2019-01-24-19-fairleigh-dickinson,50.0,12,0.0,0,92.3,87.5,21,0.413,63,0.381,24,0.127,8,0.75,6,8,200,89.2,33.3,12,13,58,,3.1,2,0.413,26,0.154,4,55.0,33,0.434,14.2,11,37,0.541,20,0.6,12,"January 24, 2019",40.0,10,10.8,4,89.2,66.7,24,0.551,49,0.51,25,0.184,9,0.667,6,11,200,92.3,12.5,3,15,60,,9.2,6,0.265,13,0.308,4,45.0,27,0.563,19.7,13,36,0.583,21,0.42100000000000004,8,"Rothman Center, Teaneck, New Jersey",ST-FRANCIS-NY,St. Francis (NY),64.5,Home,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Fairleigh Dickinson,northeast,18,True,False,True,Home,True,4,21,49,27,60,4,20,63,1,0,141,340,1031,0.534917555771096,517,1077,0.48003714020427113,132,332,985,0.5380710659898477,0.3888888888888889
19,2019-01-26-16-bryant,64.0,16,13.3,4,95.5,71.9,23,0.509,54,0.46299999999999997,25,0.537,29,0.7929999999999999,23,11,200,118.2,27.6,8,18,78,,9.1,6,0.259,14,0.35700000000000004,5,50.8,31,0.575,10.7,8,40,0.5,20,0.45,9,"January 26, 2019",57.9,11,5.0,2,118.2,72.4,21,0.415,53,0.358,19,0.434,23,0.826,19,12,200,95.5,28.1,9,25,63,,3.0,2,0.434,23,0.261,6,49.2,30,0.493,13.7,10,30,0.433,13,0.368,7,"Chace Athletic Center , Smithfield, Rhode Island",BRYANT,Bryant,66.4,Away,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Fairleigh Dickinson,northeast,19,False,False,False,Away,True,5,20,54,31,61,6,13,53,1,0,145,361,1080,0.5356481481481481,544,1137,0.47845206684256814,136,352,1048,0.5305343511450382,0.42105263157894735
20,2019-01-31-17-fairleigh-dickinson,45.2,14,6.7,3,111.1,77.8,28,0.563,63,0.49200000000000005,31,0.19,12,0.5,6,11,200,106.9,18.2,6,17,77,,12.5,9,0.365,23,0.391,9,49.3,34,0.56,11.6,9,40,0.55,22,0.47600000000000003,10,"January 31, 2019",58.6,17,15.0,6,106.9,81.8,27,0.5489999999999999,61,0.475,29,0.311,19,0.684,13,11,200,111.1,22.2,8,10,80,,6.9,5,0.262,16,0.563,9,50.7,35,0.5710000000000001,13.7,11,45,0.444,20,0.47600000000000003,10,"Rothman Center, Teaneck, New Jersey",LONG-ISLAND-UNIVERSITY,LIU,72.4,Home,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Fairleigh Dickinson,northeast,20,True,False,True,Home,True,9,20,61,35,69,9,22,63,1,0,150,381,1134,0.5343915343915344,575,1198,0.47996661101836396,142,365,1101,0.5249772933696639,0.45
21,2019-02-02-16-fairleigh-dickinson,51.5,17,7.5,3,115.5,69.0,20,0.5,79,0.418,33,0.228,18,0.833,15,11,250,111.9,28.9,11,28,94,,4.8,4,0.418,33,0.39399999999999996,13,46.3,31,0.537,10.3,10,46,0.435,20,0.522,12,"February 2, 2019",39.3,11,6.5,3,111.9,71.1,27,0.569,58,0.483,28,0.69,40,0.775,31,11,250,115.5,31.0,9,16,97,,8.3,7,0.31,18,0.556,10,53.7,36,0.63,15.6,14,40,0.45,18,0.5,11,"Rothman Center, Teaneck, New Jersey",ROBERT-MORRIS,Robert Morris,67.4,Home,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Fairleigh Dickinson,northeast,21,True,False,True,Home,True,10,18,58,36,67,13,20,79,1,0,159,401,1195,0.5351464435146444,610,1267,0.48145224940805054,151,387,1164,0.5270618556701031,0.47619047619047616
22,2019-02-07-18-sacred-heart,63.6,14,12.8,5,95.8,75.0,24,0.414,64,0.344,22,0.156,10,1.0,10,12,200,87.5,24.3,9,15,63,,13.9,10,0.313,20,0.45,9,47.8,33,0.45799999999999996,16.0,13,44,0.295,13,0.478,11,"February 7, 2019",51.9,14,9.1,4,87.5,75.7,28,0.49200000000000005,63,0.429,27,0.127,8,0.875,7,13,200,95.8,25.0,8,10,69,,5.6,4,0.381,24,0.33299999999999996,8,52.2,36,0.516,16.3,13,39,0.48700000000000004,19,0.45799999999999996,11,"William H. Pitt Center, Fairfield, Connecticut",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,72.3,Home,SACRED-HEART,Sacred Heart,Fairleigh Dickinson,northeast,22,False,False,False,Away,False,9,13,64,33,69,8,19,63,0,1,169,419,1253,0.5367118914604948,646,1334,0.48425787106446777,164,407,1243,0.5253419147224457,0.5
23,2019-02-09-16-st-francis-ny,54.8,17,2.9,1,101.4,75.0,30,0.598,56,0.5539999999999999,31,0.41100000000000003,23,0.7390000000000001,17,12,200,116.7,30.8,8,19,84,,6.9,5,0.214,12,0.41700000000000004,5,57.6,38,0.628,16.4,13,44,0.591,26,0.5,12,"February 9, 2019",46.2,12,9.1,4,116.7,69.2,18,0.47700000000000004,64,0.406,26,0.23399999999999999,15,0.8,12,11,200,101.4,25.0,10,19,73,,8.3,6,0.45299999999999996,29,0.31,9,42.4,28,0.513,12.4,10,35,0.486,17,0.56,14,"Pope Physical Education Center, Brooklyn Heights, New York",ST-FRANCIS-NY,St. Francis (NY),71.5,Away,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Fairleigh Dickinson,northeast,23,False,False,False,Away,True,5,26,56,38,66,9,17,64,1,0,178,432,1317,0.530751708428246,679,1403,0.4839629365645046,172,426,1306,0.5237366003062787,0.4782608695652174
24,2019-02-14-18-fairleigh-dickinson,50.0,16,7.1,3,86.1,75.0,27,0.594,64,0.5,32,0.25,16,0.688,11,11,200,120.8,23.1,6,16,87,,15.3,11,0.391,25,0.48,12,53.2,33,0.608,12.3,10,39,0.513,20,0.542,13,"February 14, 2019",48.0,12,20.5,8,120.8,76.9,20,0.475,59,0.424,25,0.18600000000000003,11,0.545,6,13,200,86.1,25.0,9,17,62,,4.2,3,0.28800000000000003,17,0.353,6,46.8,29,0.483,18.0,14,42,0.452,19,0.48,12,"Rothman Center, Teaneck, New Jersey",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,72.4,Away,SAINT-FRANCIS-PA,Saint Francis (PA),Fairleigh Dickinson,northeast,24,False,True,True,Home,False,6,19,59,29,62,12,20,64,0,1,183,458,1373,0.5335032774945375,717,1469,0.48808713410483323,181,443,1370,0.5215328467153285,0.5
25,2019-02-16-16-fairleigh-dickinson,42.9,12,5.9,2,131.1,63.0,17,0.569,58,0.483,28,0.397,23,0.7829999999999999,18,17,200,113.5,46.2,12,21,84,,5.4,4,0.397,23,0.435,10,54.7,29,0.609,20.9,18,35,0.514,18,0.32,8,"February 16, 2019",36.4,12,5.7,2,113.5,53.8,14,0.693,57,0.579,33,0.491,28,0.643,18,13,200,131.1,37.0,10,23,97,,13.5,10,0.40399999999999997,23,0.565,13,45.3,24,0.69,15.8,13,34,0.588,20,0.5,13,"Rothman Center, Teaneck, New Jersey",BRYANT,Bryant,74.1,Home,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Fairleigh Dickinson,northeast,25,True,False,True,Home,True,13,20,57,24,53,10,18,58,1,0,189,477,1432,0.5310754189944135,746,1531,0.48726322664924887,193,463,1434,0.5247559274755927,0.48
