,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,EAST-TENNESSEE-STATE_homegame,EAST-TENNESSEE-STATE_homegame2,EAST-TENNESSEE-STATE_home,EAST-TENNESSEE-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-08-16-east-tennessee-state,57.1,12,6.1,2,108.1,63.3,19,0.392,60,0.35,21,0.3,18,0.833,15,4,200,83.8,21.6,8,14,62,,16.2,12,0.4,24,0.20800000000000002,5,40.3,27,0.452,17.1,14,36,0.444,16,0.429,3,"December 8, 2018",67.7,21,8.3,3,83.8,78.4,29,0.59,61,0.508,31,0.24600000000000002,15,0.5329999999999999,8,3,200,108.1,36.7,11,15,80,,9.5,7,0.45899999999999996,28,0.35700000000000004,10,59.7,40,0.5870000000000001,20.1,17,33,0.636,21,0.727,8,"Freedom Hall Civic Center, Johnson City, Tennessee",TENNESSEE-MARTIN,UT-Martin,74.3,Home,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,10,True,False,True,Home,True,10,21,61,40,67,5,16,60,1,0,84,213,625,0.5424,404,655,0.616793893129771,71,164,568,0.4762323943661972,0.7
11,2018-12-15-14-illinois,50.0,9,0.0,0,101.4,62.9,22,0.40399999999999997,52,0.34600000000000003,18,0.40399999999999997,21,0.619,13,4,200,76.4,27.3,9,21,55,,11.1,8,0.423,22,0.273,6,45.6,31,0.444,24.6,20,30,0.4,12,0.667,8,"December 15, 2018",53.8,14,10.0,3,76.4,72.7,24,0.517,60,0.433,26,0.35,21,0.524,11,7,200,101.4,37.1,13,17,73,,11.1,8,0.41700000000000004,25,0.4,10,54.4,37,0.522,16.8,14,35,0.457,16,0.364,4,"State Farm Center, Champaign, Illinois",EAST-TENNESSEE-STATE,ETSU,72.0,Home,ILLINOIS,Illinois,East Tennessee State,southern,11,False,False,False,Away,False,6,12,52,31,68,10,16,60,0,1,94,234,686,0.5466472303206997,444,722,0.6149584487534626,76,180,628,0.4681528662420382,0.7272727272727273
12,2018-12-21-19-wyoming,45.2,14,16.7,5,65.4,87.2,34,0.493,68,0.456,31,0.20600000000000002,14,0.643,9,4,200,93.8,32.4,12,26,76,,9.9,8,0.309,21,0.23800000000000002,5,60.5,46,0.509,21.2,20,47,0.5529999999999999,26,0.6920000000000001,9,"December 21, 2018",62.5,10,4.3,2,93.8,67.6,25,0.39399999999999996,52,0.308,16,0.385,20,0.6,12,8,200,65.4,12.8,5,16,53,,7.4,6,0.423,22,0.409,9,39.5,30,0.431,26.6,22,30,0.233,7,0.273,3,"Don Haskins Center, El Paso, Texas",WYOMING,Wyoming,80.6,Away,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,12,False,False,False,Away,True,5,26,68,46,76,9,7,52,1,0,100,246,738,0.5365853658536586,475,790,0.6012658227848101,86,196,688,0.47238372093023256,0.6666666666666666
13,2018-12-22-21-east-tennessee-state,52.6,10,15.2,5,121.9,57.1,16,0.49,49,0.38799999999999996,19,0.49,24,0.542,13,9,200,83.6,20.0,7,24,61,,11.0,8,0.49,24,0.41700000000000004,10,36.5,23,0.505,24.2,19,25,0.36,9,0.35700000000000004,5,"December 22, 2018",46.7,14,8.0,2,83.6,80.0,28,0.632,57,0.526,30,0.40399999999999997,23,0.7390000000000001,17,4,200,121.9,42.9,12,20,89,,13.7,10,0.42100000000000004,24,0.5,12,63.5,40,0.655,20.2,17,33,0.545,18,0.7140000000000001,10,"Don Haskins Center, El Paso, Texas",NORFOLK-STATE,Norfolk State,72.7,Home,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,13,True,False,True,Home,True,12,18,57,40,63,10,9,49,1,0,105,272,806,0.53287841191067,521,866,0.6016166281755196,95,203,740,0.4668918918918919,0.6923076923076923
14,2018-12-29-16-east-tennessee-state,45.0,9,11.8,4,125.4,70.6,12,0.41700000000000004,54,0.37,20,0.29600000000000004,16,0.688,11,2,200,88.9,18.8,6,11,56,,6.3,4,0.40700000000000003,22,0.22699999999999998,5,36.7,18,0.455,10.3,7,32,0.469,15,0.857,12,"December 29, 2018",60.0,18,15.6,5,88.9,81.3,26,0.67,50,0.6,30,0.3,15,0.8,12,4,200,125.4,29.4,5,15,79,,4.8,3,0.32,16,0.43799999999999994,7,63.3,31,0.691,16.3,11,34,0.6759999999999999,23,0.733,11,"Freedom Hall Civic Center, Johnson City, Tennessee",FURMAN,Furman,62.9,Home,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,14,True,False,True,Home,True,7,23,50,31,49,5,15,54,1,0,117,290,863,0.5393974507531866,561,929,0.6038751345532831,105,212,789,0.46831432192648925,0.7142857142857143
15,2019-01-03-19-east-tennessee-state,63.0,17,9.8,4,101.3,55.0,22,0.508,62,0.435,27,0.19399999999999998,12,0.75,9,5,225,90.0,17.1,6,16,72,,13.8,11,0.387,24,0.375,9,37.3,28,0.532,21.1,18,38,0.474,18,0.688,11,"January 3, 2019",51.6,16,13.2,5,90.0,82.9,29,0.493,70,0.44299999999999995,31,0.3,21,0.5710000000000001,12,4,225,101.3,45.0,18,16,81,,13.8,11,0.414,29,0.24100000000000002,7,62.7,47,0.506,18.5,18,41,0.585,24,0.75,12,"Freedom Hall Civic Center, Johnson City, Tennessee",SAMFORD,Samford,71.0,Home,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,15,True,False,True,Home,True,7,24,70,47,75,9,18,62,1,0,124,313,913,0.5465498357064622,592,978,0.6053169734151329,110,227,843,0.465005931198102,0.7333333333333333
16,2019-01-05-16-east-tennessee-state,44.0,11,7.3,3,131.5,68.0,17,0.483,59,0.424,25,0.322,19,0.684,13,10,200,95.9,19.4,7,17,70,,11.0,8,0.39,23,0.304,7,39.3,24,0.515,16.2,13,36,0.5,18,0.41200000000000003,7,"January 5, 2019",61.1,22,13.9,5,95.9,80.6,29,0.6859999999999999,59,0.61,36,0.33899999999999997,20,0.75,15,4,200,131.5,32.0,8,20,96,,11.0,8,0.305,18,0.5,9,60.7,37,0.701,15.0,12,41,0.659,27,0.765,13,"Freedom Hall Civic Center, Johnson City, Tennessee",CHATTANOOGA,Chattanooga,73.3,Home,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,16,True,False,True,Home,True,9,27,59,37,61,7,18,59,1,0,131,337,983,0.5427263479145473,639,1053,0.6068376068376068,119,245,905,0.46795580110497237,0.75
17,2019-01-10-19-citadel,60.0,24,17.9,7,92.4,78.3,36,0.662,71,0.563,40,0.085,6,0.667,4,4,200,124.1,36.7,11,16,98,,8.9,7,0.43700000000000006,31,0.452,14,61.8,47,0.664,17.8,16,40,0.65,26,0.778,14,"January 10, 2019",65.4,17,7.5,3,124.1,63.3,19,0.44,75,0.34700000000000003,26,0.133,10,0.7,7,6,200,92.4,21.7,10,11,73,,11.4,9,0.48,36,0.389,14,38.2,29,0.45799999999999996,11.2,10,39,0.308,12,0.6,9,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,79.3,Away,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,17,False,False,False,Away,True,14,26,71,47,76,14,12,75,1,0,140,364,1042,0.5508637236084453,676,1114,0.6068222621184919,126,263,964,0.46887966804979253,0.7647058823529411
18,2019-01-12-16-mercer,37.0,10,11.5,3,101.5,79.3,23,0.436,70,0.386,27,0.171,12,0.917,11,4,225,107.5,57.9,22,18,72,,10.4,7,0.4,28,0.25,7,67.2,45,0.47600000000000003,17.5,16,42,0.47600000000000003,20,0.789,15,"January 12, 2019",43.5,10,4.8,2,107.5,42.1,16,0.551,49,0.469,23,0.429,21,0.667,14,11,225,101.5,20.7,6,13,68,,9.0,6,0.469,23,0.348,8,32.8,22,0.5770000000000001,17.1,12,26,0.5770000000000001,15,0.353,6,"Hawkins Arena, Macon, Georgia",MERCER,Mercer,59.9,Away,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,18,False,False,False,Away,True,7,20,70,45,67,8,15,49,1,0,154,390,1113,0.5579514824797843,723,1190,0.607563025210084,140,275,1039,0.4667949951876805,0.7777777777777778
19,2019-01-17-19-east-tennessee-state,50.0,15,4.1,2,116.4,70.0,21,0.565,62,0.484,30,0.242,15,0.8,12,12,200,112.3,23.5,8,14,82,,9.6,7,0.484,30,0.33299999999999996,10,45.3,29,0.593,14.9,12,32,0.625,20,0.33299999999999996,6,"January 17, 2019",44.4,16,18.8,6,112.3,76.5,26,0.5920000000000001,65,0.5539999999999999,36,0.185,12,0.667,8,4,200,116.4,30.0,9,13,85,,8.2,6,0.24600000000000002,16,0.313,5,54.7,35,0.601,14.6,12,49,0.633,31,0.8,16,"Freedom Hall Civic Center, Johnson City, Tennessee",VIRGINIA-MILITARY-INSTITUTE,VMI,73.4,Home,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,19,True,False,True,Home,True,5,31,65,35,64,10,20,62,1,0,161,410,1183,0.5507185122569738,768,1257,0.6109785202863962,148,290,1088,0.47058823529411764,0.7894736842105263
20,2019-01-19-16-east-tennessee-state,71.4,20,16.7,6,97.1,61.1,22,0.54,62,0.452,28,0.145,9,0.889,8,3,200,107.1,29.4,10,19,75,,17.1,12,0.355,22,0.5,11,45.7,32,0.5660000000000001,17.5,14,40,0.425,17,0.85,17,"January 19, 2019",57.7,15,20.0,8,107.1,70.6,24,0.509,58,0.44799999999999995,26,0.31,18,0.5,9,5,200,97.1,38.9,14,15,68,,15.7,11,0.379,22,0.318,7,54.3,38,0.511,20.5,17,36,0.528,19,0.762,16,"Freedom Hall Civic Center, Johnson City, Tennessee",EAST-TENNESSEE-STATE,ETSU,69.9,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,East Tennessee State,southern,20,False,True,True,Home,False,7,19,58,38,70,11,17,62,0,1,166,441,1248,0.5528846153846154,803,1321,0.6078728236184708,158,310,1150,0.4756521739130435,0.8
21,2019-01-26-19-western-carolina,50.0,18,6.9,2,94.5,76.0,19,0.6459999999999999,65,0.5539999999999999,36,0.215,14,0.5,7,5,200,124.7,28.6,8,19,91,,16.4,12,0.385,25,0.48,12,50.9,27,0.635,12.3,10,40,0.6,24,0.773,17,"January 26, 2019",30.4,7,10.0,4,124.7,71.4,20,0.563,48,0.479,23,0.41700000000000004,20,0.75,15,17,200,94.5,24.0,6,14,69,,2.7,2,0.396,19,0.42100000000000004,8,49.1,26,0.6,26.0,20,29,0.517,15,0.22699999999999998,5,"Ramsey Center, Cullowhee, North Carolina",WESTERN-CAROLINA,Western Carolina,72.6,Away,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,21,False,False,False,Away,True,12,24,65,27,53,8,15,48,1,0,173,460,1306,0.5509188361408882,841,1391,0.6046010064701653,169,327,1212,0.47896039603960394,0.7619047619047619
22,2019-01-31-19-samford,61.5,16,2.8,1,91.7,81.3,26,0.447,66,0.39399999999999996,26,0.348,23,0.652,15,5,200,102.8,31.6,12,21,74,,9.7,7,0.318,21,0.33299999999999996,7,54.3,38,0.48100000000000004,10.6,9,45,0.42200000000000004,19,0.7829999999999999,18,"January 31, 2019",50.0,12,20.0,9,102.8,68.4,26,0.5,52,0.462,24,0.442,23,0.609,14,10,200,91.7,18.8,6,21,66,,6.9,5,0.308,16,0.25,4,45.7,32,0.524,17.3,13,36,0.556,20,0.565,13,"Pete Hanna Center, Birmingham, Alabama",SAMFORD,Samford,71.9,Away,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,22,False,False,False,Away,True,7,19,66,38,70,4,20,52,1,0,185,484,1371,0.5554339897884756,868,1444,0.6011080332409973,177,342,1260,0.48214285714285715,0.7727272727272727
23,2019-02-02-16-chattanooga,62.1,18,10.3,3,97.0,84.6,22,0.58,56,0.518,29,0.23199999999999998,13,0.9229999999999999,12,5,200,116.7,29.2,7,13,77,,12.1,8,0.321,18,0.389,7,58.0,29,0.619,13.9,10,38,0.579,22,0.792,19,"February 2, 2019",47.8,11,0.0,0,116.7,70.8,17,0.528,54,0.426,23,0.16699999999999998,9,0.778,7,14,200,97.0,15.4,4,15,64,,6.1,4,0.46299999999999997,25,0.44,11,42.0,21,0.5489999999999999,18.3,13,29,0.414,12,0.41700000000000004,10,"The McKenzie Arena, Chattanooga, Tennessee",CHATTANOOGA,Chattanooga,66.2,Away,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,23,False,False,False,Away,True,7,22,56,29,50,11,12,54,1,0,192,503,1437,0.5504523312456506,906,1514,0.5984147952443857,181,362,1312,0.48285060975609756,0.782608695652174
24,2019-02-07-19-east-tennessee-state,51.9,14,10.9,5,111.8,56.8,25,0.602,54,0.5,27,0.389,21,0.619,13,4,225,114.7,21.9,7,17,78,,10.3,7,0.48100000000000004,26,0.423,11,42.1,32,0.61,17.1,13,28,0.5710000000000001,16,0.833,20,"February 7, 2019",62.1,18,7.1,2,114.7,78.1,25,0.493,69,0.42,29,0.217,15,0.5329999999999999,8,6,225,111.8,43.2,19,17,76,,11.8,8,0.33299999999999996,23,0.435,10,57.9,44,0.499,10.6,9,46,0.413,19,0.76,19,"Freedom Hall Civic Center, Johnson City, Tennessee",EAST-TENNESSEE-STATE,ETSU,60.5,Away,WOFFORD,Wofford,East Tennessee State,southern,24,False,True,True,Home,False,10,19,69,44,76,11,16,54,0,1,199,525,1493,0.5515740120562626,935,1564,0.5978260869565217,192,374,1366,0.48462664714494874,0.7916666666666666
25,2019-02-09-16-furman,29.2,7,6.3,2,140.0,73.7,14,0.49,51,0.47100000000000003,24,0.314,16,0.688,11,7,200,93.8,40.0,10,14,61,,10.8,7,0.275,14,0.14300000000000002,2,54.5,24,0.52,20.5,15,37,0.595,22,0.731,19,"February 9, 2019",46.9,15,5.4,2,93.8,60.0,15,0.76,50,0.64,32,0.36,18,0.833,15,5,200,140.0,26.3,5,11,91,,16.9,11,0.36,18,0.667,12,45.5,20,0.777,18.3,13,32,0.625,20,0.8,20,"Timmons Arena, Greenville, South Carolina",EAST-TENNESSEE-STATE,ETSU,65.1,Home,FURMAN,Furman,East Tennessee State,southern,25,False,False,False,Away,False,2,22,51,24,44,12,20,50,0,1,209,544,1562,0.5489756722151088,979,1640,0.5969512195121951,203,390,1420,0.48908450704225354,0.76
