,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ARIZONA_homegame,ARIZONA_homegame2,ARIZONA_home,ARIZONA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-15-23-arizona,45.5,10,12.0,3,77.8,96.6,28,0.47100000000000003,51,0.431,22,0.392,20,0.5,10,3,200,92.1,59.4,19,17,58,,11.1,7,0.373,19,0.21100000000000002,4,77.0,47,0.479,25.1,20,32,0.563,18,0.667,6,"December 15, 2018",78.9,15,9.4,3,92.1,40.6,13,0.44299999999999995,53,0.358,19,0.113,6,0.33299999999999996,2,4,200,77.8,3.4,1,21,49,,11.1,7,0.528,28,0.321,9,23.0,14,0.439,15.2,10,25,0.4,10,0.636,7,"McKale Center, Tucson, Arizona",ARIZONA,Arizona,63.2,Away,BAYLOR,Baylor,Arizona,pac-12,10,False,True,True,Home,False,9,10,53,14,61,4,18,51,0,1,76,196,595,0.5210084033613446,340,658,0.5167173252279635,66,184,585,0.48376068376068376,0.7
11,2018-12-19-20-arizona,57.1,8,4.8,2,87.1,76.7,23,0.317,52,0.26899999999999996,14,0.192,10,0.9,9,4,200,60.0,8.6,3,20,42,,8.6,6,0.442,23,0.217,5,40.0,26,0.37,21.0,15,29,0.31,9,0.6,6,"December 19, 2018",41.7,10,17.2,5,60.0,91.4,32,0.46299999999999997,54,0.444,24,0.315,17,0.647,11,4,200,87.1,23.3,7,12,61,,5.7,4,0.222,12,0.16699999999999998,2,60.0,39,0.491,20.7,16,42,0.524,22,0.667,8,"McKale Center, Tucson, Arizona",MONTANA,Montana,69.9,Home,ARIZONA,Arizona,Arizona,pac-12,11,True,False,True,Home,True,2,22,54,39,65,5,9,52,1,0,85,206,648,0.5146604938271605,354,719,0.49235048678720444,70,202,636,0.4827044025157233,0.6363636363636364
12,2018-12-22-19-arizona,42.3,11,12.1,4,111.1,71.4,20,0.5489999999999999,51,0.51,26,0.392,20,0.6,12,8,200,107.9,20.0,5,24,68,,4.8,3,0.21600000000000003,11,0.364,4,47.2,25,0.562,11.8,8,40,0.55,22,0.273,3,"December 22, 2018",41.7,10,2.5,1,107.9,80.0,20,0.529,51,0.47100000000000003,24,0.49,25,0.64,16,4,200,111.1,28.6,8,21,70,,1.6,1,0.353,18,0.33299999999999996,6,52.8,28,0.557,11.4,8,33,0.545,18,0.6920000000000001,9,"McKale Center, Tucson, Arizona",CALIFORNIA-DAVIS,UC-Davis,63.2,Home,ARIZONA,Arizona,Arizona,pac-12,12,True,False,True,Home,True,6,18,51,28,53,4,22,51,1,0,87,228,702,0.5106837606837606,393,784,0.5012755102040817,75,211,688,0.470203488372093,0.6666666666666666
13,2019-01-03-21-arizona,36.8,7,15.0,6,95.5,78.1,25,0.415,53,0.358,19,0.264,14,0.857,12,4,200,83.6,30.0,9,16,56,,4.5,3,0.321,17,0.353,6,54.8,34,0.469,20.2,15,36,0.361,13,0.6920000000000001,9,"January 3, 2019",52.0,13,8.3,3,83.6,70.0,21,0.474,58,0.431,25,0.207,12,0.75,9,4,200,95.5,21.9,7,15,64,,6.0,4,0.31,18,0.278,5,45.2,28,0.502,14.8,11,40,0.5,20,0.7140000000000001,10,"McKale Center, Tucson, Arizona",COLORADO,Colorado,66.7,Home,ARIZONA,Arizona,Arizona,pac-12,13,True,False,True,Home,True,5,20,58,28,62,6,13,53,1,0,93,246,753,0.5119521912350598,421,837,0.5029868578255675,79,233,739,0.47564276048714477,0.6923076923076923
14,2019-01-05-14-arizona,46.7,14,2.9,1,115.1,75.0,21,0.67,53,0.5660000000000001,30,0.264,14,0.7140000000000001,10,7,225,111.0,8.7,2,22,81,,8.2,6,0.396,21,0.524,11,45.1,23,0.679,22.3,17,32,0.594,19,0.5,7,"January 5, 2019",55.6,15,9.4,3,111.0,91.3,21,0.575,53,0.509,27,0.5660000000000001,30,0.767,23,4,225,115.1,25.0,7,15,84,,6.8,5,0.34,18,0.389,7,54.9,28,0.625,14.2,11,35,0.5710000000000001,20,0.733,11,"McKale Center, Tucson, Arizona",UTAH,Utah,64.8,Home,ARIZONA,Arizona,Arizona,pac-12,14,True,False,True,Home,True,7,20,53,28,51,11,19,53,1,0,98,266,811,0.5092478421701603,449,899,0.4994438264738598,85,246,792,0.4715909090909091,0.7142857142857143
15,2019-01-09-23-stanford,53.8,14,0.0,0,95.9,73.1,19,0.46799999999999997,63,0.413,26,0.28600000000000003,18,0.889,16,4,200,102.7,27.8,10,22,75,,5.5,4,0.19,12,0.583,7,46.8,29,0.524,12.4,10,51,0.373,19,0.75,12,"January 9, 2019",33.3,9,15.7,8,102.7,72.2,26,0.55,50,0.54,27,0.52,26,0.5770000000000001,15,8,200,95.9,26.9,7,21,70,,5.5,4,0.16,8,0.125,1,53.2,33,0.561,23.6,19,42,0.619,26,0.467,7,"Maples Pavilion, Stanford, California",STANFORD,Stanford,73.0,Away,ARIZONA,Arizona,Arizona,pac-12,15,False,False,False,Away,True,7,19,63,29,62,1,26,50,1,0,105,286,864,0.5133101851851852,477,950,0.5021052631578947,96,265,845,0.4840236686390533,0.7333333333333333
16,2019-01-12-22-california,46.9,15,20.0,7,92.9,72.2,26,0.632,57,0.561,32,0.298,17,0.882,15,4,200,124.3,35.0,7,20,87,,4.3,3,0.33299999999999996,19,0.42100000000000004,8,58.9,33,0.6679999999999999,15.7,12,38,0.632,24,0.765,13,"January 12, 2019",35.0,7,2.6,1,124.3,65.0,13,0.414,58,0.345,20,0.414,24,0.708,17,11,200,92.9,27.8,10,17,65,,7.1,5,0.397,23,0.348,8,41.1,23,0.46799999999999997,13.8,11,35,0.34299999999999997,12,0.312,5,"Haas Pavilion, Berkeley, California",CALIFORNIA,California,70.2,Away,ARIZONA,Arizona,Arizona,pac-12,16,False,False,False,Away,True,8,24,57,33,56,8,12,58,1,0,112,305,927,0.5102481121898598,506,1012,0.5,97,291,895,0.4877094972067039,0.75
17,2019-01-17-21-arizona,50.0,11,20.0,6,83.1,75.8,25,0.447,57,0.386,22,0.228,13,0.615,8,6,200,90.8,20.0,7,15,59,,10.8,7,0.298,17,0.41200000000000003,7,47.1,32,0.467,11.3,8,40,0.375,15,0.647,11,"January 17, 2019",47.4,9,2.5,1,90.8,80.0,28,0.423,52,0.365,19,0.28800000000000003,15,0.667,10,5,200,83.1,24.2,8,16,54,,7.7,5,0.423,22,0.273,6,52.9,36,0.457,19.3,14,30,0.433,13,0.722,13,"McKale Center, Tucson, Arizona",ARIZONA,Arizona,64.7,Away,OREGON,Oregon,Arizona,pac-12,17,False,True,True,Home,False,6,13,52,36,68,7,15,57,0,1,120,329,984,0.5172764227642277,539,1068,0.5046816479400749,105,303,953,0.4832109129066107,0.7647058823529411
18,2019-01-19-19-arizona,48.0,12,17.5,7,120.6,52.8,19,0.551,49,0.51,25,0.469,23,0.7390000000000001,17,6,199,104.4,30.8,8,22,71,,7.4,5,0.34700000000000003,17,0.235,4,43.5,27,0.5920000000000001,20.2,15,32,0.6559999999999999,21,0.647,11,"January 19, 2019",63.0,17,6.3,2,104.4,69.2,18,0.5,67,0.40299999999999997,27,0.284,19,0.789,15,5,199,120.6,47.2,17,19,82,,13.2,9,0.40299999999999997,27,0.48100000000000004,13,56.5,35,0.539,12.7,11,40,0.35,14,0.737,14,"McKale Center, Tucson, Arizona",OREGON-STATE,Oregon State,68.8,Home,ARIZONA,Arizona,Arizona,pac-12,18,True,False,True,Home,True,13,14,67,35,62,4,21,49,1,0,126,342,1036,0.5125482625482626,575,1136,0.5061619718309859,112,318,1010,0.48118811881188117,0.7222222222222222
19,2019-01-24-21-southern-california,60.0,12,6.7,3,106.7,64.9,24,0.313,72,0.278,20,0.25,18,0.667,12,6,200,76.0,23.4,11,17,57,,8.0,6,0.34700000000000003,25,0.2,5,41.7,35,0.354,8.1,7,47,0.319,15,0.7,14,"January 24, 2019",61.3,19,14.9,7,76.0,76.6,36,0.5539999999999999,65,0.47700000000000004,31,0.215,14,0.5710000000000001,8,8,200,106.7,35.1,13,18,80,,4.0,3,0.308,20,0.5,10,58.3,49,0.5579999999999999,17.4,15,45,0.467,21,0.579,11,"Galen Center, Los Angeles, California",ARIZONA,Arizona,75.1,Home,SOUTHERN-CALIFORNIA,USC,Arizona,pac-12,19,False,False,False,Away,False,5,15,72,35,84,10,21,65,0,1,139,356,1103,0.5117860380779692,610,1198,0.5091819699499165,116,339,1059,0.48441926345609065,0.7368421052631579
20,2019-01-26-22-ucla,59.1,13,2.9,1,120.0,55.6,15,0.39399999999999996,66,0.33299999999999996,22,0.379,25,0.68,17,7,200,92.0,25.0,11,20,69,,14.7,11,0.39399999999999996,26,0.308,8,36.6,26,0.44299999999999995,10.5,9,40,0.35,14,0.667,14,"January 26, 2019",63.6,21,7.5,3,92.0,75.0,33,0.6579999999999999,57,0.579,33,0.386,22,0.682,15,9,200,120.0,44.4,12,22,90,,8.0,6,0.40399999999999997,23,0.391,9,63.4,45,0.667,21.3,18,34,0.706,24,0.55,11,"Pauley Pavilion, Los Angeles, California",ARIZONA,Arizona,74.7,Home,UCLA,UCLA,Arizona,pac-12,20,False,False,False,Away,False,8,14,66,26,71,9,24,57,0,1,144,371,1175,0.49957446808510636,645,1282,0.5031201248049922,126,360,1124,0.4884341637010676,0.7
21,2019-01-31-21-arizona-state,55.6,15,0.0,0,128.4,63.0,17,0.507,67,0.40299999999999997,27,0.40299999999999997,27,0.741,20,8,225,118.9,34.1,14,26,88,,10.8,8,0.418,28,0.5,14,45.6,31,0.551,10.2,9,39,0.33299999999999996,13,0.636,14,"January 31, 2019",60.0,18,10.3,4,118.9,65.9,27,0.639,54,0.556,30,0.648,35,0.743,26,6,225,128.4,37.0,10,23,95,,6.8,5,0.35200000000000004,19,0.474,9,54.4,37,0.6729999999999999,15.8,13,35,0.6,21,0.7140000000000001,15,"Wells Fargo Arena, Tempe, Arizona",ARIZONA,Arizona,66.0,Home,ARIZONA-STATE,Arizona State,Arizona,pac-12,21,False,False,False,Away,False,14,13,67,31,68,9,21,54,0,1,152,385,1241,0.4939564867042707,671,1353,0.4959349593495935,135,384,1181,0.4966130397967824,0.6666666666666666
22,2019-02-07-21-arizona,48.0,12,17.1,6,87.0,58.6,17,0.5820000000000001,49,0.51,25,0.28600000000000003,14,0.7140000000000001,10,4,200,97.1,30.4,7,18,67,,13.0,9,0.408,20,0.35,7,46.2,24,0.602,23.6,17,29,0.621,18,0.826,19,"February 7, 2019",60.0,12,10.3,3,97.1,69.6,16,0.415,53,0.377,20,0.434,23,0.696,16,9,200,87.0,41.4,12,15,60,,2.9,2,0.34,18,0.222,4,53.8,28,0.469,24.1,20,35,0.457,16,0.609,14,"McKale Center, Tucson, Arizona",ARIZONA,Arizona,68.8,Away,WASHINGTON,Washington,Arizona,pac-12,22,False,True,True,Home,False,4,16,53,28,52,7,18,49,0,1,166,398,1308,0.49464831804281345,702,1421,0.494018296973962,144,405,1235,0.5028340080971659,0.6363636363636364
23,2019-02-09-19-arizona,66.7,16,10.5,4,82.1,72.1,31,0.5379999999999999,53,0.45299999999999996,24,0.321,17,0.706,12,14,200,103.0,16.7,5,22,69,,4.5,3,0.415,22,0.409,9,49.3,36,0.565,16.6,12,31,0.484,15,0.41700000000000004,10,"February 9, 2019",42.1,8,0.0,0,103.0,83.3,25,0.361,61,0.311,19,0.32799999999999996,20,0.55,11,10,200,82.1,27.9,12,16,55,,9.0,6,0.377,23,0.261,6,50.7,37,0.39,10.3,8,38,0.342,13,0.583,14,"McKale Center, Tucson, Arizona",ARIZONA,Arizona,67.3,Away,WASHINGTON-STATE,Washington State,Arizona,pac-12,23,False,True,True,Home,False,6,13,61,37,73,9,15,53,0,1,170,414,1361,0.49155033063923587,730,1473,0.4955872369314325,151,423,1284,0.5058411214953271,0.6086956521739131
24,2019-02-14-21-utah,32.1,9,3.6,1,118.6,85.2,23,0.516,62,0.452,28,0.29,18,0.667,12,11,200,108.6,21.2,7,25,76,,7.1,5,0.387,24,0.33299999999999996,8,50.0,30,0.539,9.1,7,38,0.526,20,0.56,14,"February 14, 2019",61.5,16,10.5,4,108.6,78.8,26,0.596,52,0.5,26,0.5379999999999999,28,0.75,21,10,200,118.6,14.8,4,16,83,,5.7,4,0.462,24,0.41700000000000004,10,50.0,30,0.636,12.3,9,28,0.5710000000000001,16,0.583,14,"Jon M. Huntsman Center, Salt Lake City, Utah",ARIZONA,Arizona,70.4,Home,UTAH,Utah,Arizona,pac-12,24,False,False,False,Away,False,8,20,62,30,60,10,16,52,0,1,176,427,1422,0.4859353023909986,767,1546,0.4961190168175938,160,438,1337,0.5071054599850411,0.5833333333333334
25,2019-02-17-20-colorado,58.3,14,10.3,3,113.6,64.7,11,0.519,54,0.444,24,0.185,10,0.4,4,12,200,101.7,28.1,9,17,60,,13.6,8,0.389,21,0.381,8,40.8,20,0.511,13.4,9,33,0.485,16,0.5379999999999999,14,"February 17, 2019",45.8,11,9.1,3,101.7,71.9,23,0.616,43,0.5579999999999999,24,0.37200000000000005,16,0.875,14,9,200,113.6,35.3,6,11,67,,6.8,4,0.326,14,0.35700000000000004,5,59.2,29,0.662,21.9,14,29,0.655,19,0.64,16,"Coors Events/Conference Center, Boulder, Colorado",ARIZONA,Arizona,58.7,Home,COLORADO,Colorado,Arizona,pac-12,25,False,False,False,Away,False,8,16,54,20,49,5,19,43,0,1,184,447,1484,0.4871967654986523,797,1606,0.4962640099626401,170,454,1389,0.5104391648668106,0.56
26,2019-02-21-21-arizona,41.2,7,16.7,4,113.4,76.9,20,0.35700000000000004,56,0.304,17,0.28600000000000003,16,0.688,11,21,200,76.1,24.3,9,20,51,,11.9,8,0.46399999999999997,26,0.231,6,46.0,29,0.401,16.0,12,30,0.36700000000000005,11,0.192,5,"February 21, 2019",77.8,21,6.7,2,76.1,75.7,28,0.591,55,0.491,27,0.309,17,0.647,11,12,200,113.4,23.1,6,16,76,,9.0,6,0.564,31,0.355,11,54.0,34,0.602,15.0,11,24,0.667,16,0.556,15,"McKale Center, Tucson, Arizona",CALIFORNIA,California,67.3,Home,ARIZONA,Arizona,Arizona,pac-12,26,True,False,True,Home,True,11,16,55,34,63,6,11,56,1,0,192,463,1538,0.488296488946684,817,1655,0.4936555891238671,175,473,1432,0.5136173184357542,0.5384615384615384
27,2019-02-24-20-arizona,61.9,13,2.4,1,102.9,78.1,25,0.434,53,0.396,21,0.20800000000000002,11,0.727,8,13,200,79.4,20.7,6,17,54,,7.4,5,0.377,20,0.2,4,50.8,31,0.46399999999999997,20.6,15,33,0.515,17,0.519,14,"February 24, 2019",48.1,13,3.0,1,79.4,79.3,23,0.49200000000000005,61,0.44299999999999995,27,0.19699999999999998,12,0.833,10,12,200,102.9,21.9,7,16,70,,0.0,0,0.32799999999999996,20,0.3,6,49.2,30,0.525,12.0,9,41,0.512,21,0.5710000000000001,16,"McKale Center, Tucson, Arizona",STANFORD,Stanford,68.0,Home,ARIZONA,Arizona,Arizona,pac-12,27,True,False,True,Home,True,6,21,61,30,61,4,17,53,1,0,203,479,1593,0.4918392969240427,851,1718,0.49534342258440045,181,484,1488,0.5077284946236559,0.5555555555555556
