,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GEORGIA_homegame,GEORGIA_homegame2,GEORGIA_home,GEORGIA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-22-12-georgia-tech,64.0,16,20.4,10,78.7,76.9,30,0.5,55,0.455,25,0.327,18,0.833,15,4,200,93.3,28.6,8,20,70,,9.3,7,0.327,18,0.278,5,56.7,38,0.551,19.3,15,37,0.541,20,0.636,7,"December 22, 2018",42.9,9,10.8,4,93.3,71.4,20,0.34600000000000003,65,0.32299999999999995,21,0.308,20,0.7,14,5,200,78.7,23.1,9,16,59,,5.3,4,0.24600000000000002,16,0.188,3,43.3,29,0.396,15.0,13,49,0.36700000000000005,18,0.545,6,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,74.5,Away,GEORGIA,Georgia,Georgia,sec,10,False,False,False,Away,True,5,20,55,38,67,3,18,65,1,0,69,205,577,0.5346620450606586,396,714,0.5546218487394958,84,174,676,0.4437869822485207,0.6
11,2018-12-30-18-georgia,30.8,8,3.0,1,126.4,61.5,16,0.45899999999999996,61,0.426,26,0.44299999999999995,27,0.593,16,6,200,100.0,25.6,10,24,72,,8.3,6,0.361,22,0.182,4,40.0,26,0.488,11.0,9,39,0.564,22,0.5379999999999999,7,"December 30, 2018",42.9,12,10.3,4,100.0,74.4,29,0.604,53,0.528,28,0.585,31,0.871,27,4,200,126.4,38.5,10,23,91,,8.3,6,0.377,20,0.4,8,60.0,39,0.672,17.4,14,33,0.606,20,0.667,8,"Stegeman Coliseum, Athens, Georgia",MASSACHUSETTS,UMass,72.3,Home,GEORGIA,Georgia,Georgia,sec,11,True,False,True,Home,True,8,20,53,39,65,4,22,61,1,0,74,225,632,0.5316455696202531,434,781,0.5556978233034571,87,192,741,0.4352226720647773,0.6363636363636364
12,2019-01-05-15-tennessee,47.1,8,4.3,2,128.0,65.5,19,0.33,53,0.321,17,0.509,27,0.556,15,5,200,66.7,14.3,5,21,50,,8.0,6,0.377,20,0.05,1,37.5,24,0.38,16.7,13,33,0.485,16,0.615,8,"January 5, 2019",73.5,25,21.2,7,66.7,85.7,30,0.578,64,0.531,34,0.406,26,0.846,22,1,200,128.0,34.5,10,23,96,3.0,6.7,5,0.281,18,0.33299999999999996,6,62.5,40,0.629,10.7,9,46,0.609,28,0.9229999999999999,12,"Thompson-Boling Arena, Knoxville, Tennessee",GEORGIA,Georgia,74.6,Home,TENNESSEE,Tennessee,Georgia,sec,12,False,False,False,Away,False,1,16,53,24,64,6,28,64,0,1,82,245,685,0.5372262773722628,473,846,0.5591016548463357,91,214,802,0.43703241895261846,0.6666666666666666
13,2019-01-09-18-georgia,34.8,8,5.9,2,112.3,67.6,23,0.371,70,0.32899999999999996,23,0.214,15,0.733,11,5,200,86.3,31.0,13,20,63,,11.0,8,0.35700000000000004,25,0.24,6,47.4,36,0.408,11.5,10,45,0.37799999999999995,17,0.643,9,"January 9, 2019",46.4,13,26.7,12,86.3,69.0,29,0.542,60,0.467,28,0.38299999999999995,23,0.7390000000000001,17,5,200,112.3,32.4,11,14,82,,5.5,4,0.433,26,0.34600000000000003,9,52.6,40,0.578,14.6,12,34,0.5589999999999999,19,0.643,9,"Stegeman Coliseum, Athens, Georgia",VANDERBILT,Vanderbilt,73.0,Home,GEORGIA,Georgia,Georgia,sec,13,True,False,True,Home,True,9,19,60,40,76,6,17,70,1,0,83,261,738,0.5223577235772358,497,910,0.5461538461538461,97,242,866,0.447459584295612,0.6153846153846154
14,2019-01-12-16-auburn,65.4,17,18.6,8,120.8,64.5,20,0.5429999999999999,58,0.44799999999999995,26,0.345,20,0.75,15,6,200,101.3,25.9,7,18,78,,10.4,8,0.5,29,0.379,11,46.6,27,0.578,19.3,16,29,0.517,15,0.6,9,"January 12, 2019",47.1,16,13.8,4,101.3,74.1,20,0.588,68,0.5,34,0.25,17,0.765,13,3,200,120.8,35.5,11,20,93,11.0,11.7,9,0.368,25,0.48,12,53.4,31,0.611,13.7,12,43,0.512,22,0.8,12,"Auburn Arena, Auburn, Alabama",GEORGIA,Georgia,76.8,Home,AUBURN,Auburn,Georgia,sec,14,False,False,False,Away,False,11,15,58,27,58,12,22,68,0,1,92,280,798,0.5238095238095238,537,986,0.5446247464503042,103,259,936,0.44177350427350426,0.6428571428571429
15,2019-01-15-19-georgia,50.0,14,13.8,4,74.2,71.1,27,0.469,64,0.43799999999999994,28,0.172,11,0.818,9,3,200,104.5,37.1,13,14,69,12.0,12.1,8,0.172,11,0.364,4,54.8,40,0.498,11.6,9,53,0.45299999999999996,24,0.812,13,"January 15, 2019",70.6,12,7.5,4,104.5,62.9,22,0.33899999999999997,56,0.304,17,0.28600000000000003,16,0.688,11,7,200,74.2,28.9,11,15,49,,7.6,5,0.48200000000000004,27,0.14800000000000002,4,45.2,33,0.385,18.2,14,29,0.44799999999999995,13,0.562,9,"Stegeman Coliseum, Athens, Georgia",GEORGIA,Georgia,65.9,Away,KENTUCKY,Kentucky,Georgia,sec,15,False,True,True,Home,False,4,13,56,33,73,4,24,64,0,1,103,295,856,0.5251168224299065,564,1044,0.5402298850574713,115,281,1004,0.45169322709163345,0.6
16,2019-01-19-12-georgia,54.5,12,20.7,6,86.7,51.9,14,0.48200000000000004,56,0.39299999999999996,22,0.25,14,0.5710000000000001,8,7,200,103.3,31.4,11,18,62,,15.0,9,0.48200000000000004,27,0.37,10,40.3,25,0.495,12.6,9,29,0.414,12,0.588,10,"January 19, 2019",58.8,10,6.9,2,103.3,68.6,24,0.45299999999999996,43,0.395,17,0.442,19,0.684,13,8,200,86.7,48.1,13,17,52,,5.0,3,0.326,14,0.35700000000000004,5,59.7,37,0.5,28.0,20,29,0.414,12,0.529,9,"Stegeman Coliseum, Athens, Georgia",GEORGIA,Georgia,59.8,Away,FLORIDA,Florida,Georgia,sec,16,False,True,True,Home,False,5,12,43,37,62,10,12,56,0,1,107,308,912,0.5137061403508771,597,1117,0.5344673231871083,119,305,1068,0.45271535580524347,0.5625
17,2019-01-23-19-louisiana-state,43.3,13,2.2,1,119.5,69.7,23,0.607,56,0.536,30,0.321,18,0.778,14,9,200,106.5,23.1,6,22,82,,6.5,5,0.304,17,0.47100000000000003,8,49.2,29,0.635,21.0,17,39,0.564,22,0.5,9,"January 23, 2019",24.2,8,12.8,5,106.5,76.9,20,0.5379999999999999,66,0.5,33,0.439,29,0.7240000000000001,21,3,200,119.5,30.3,10,17,92,25.0,14.3,11,0.303,20,0.25,5,50.8,30,0.5770000000000001,9.2,8,46,0.609,28,0.833,15,"Maravich Assembly Center, Baton Rouge, Louisiana",GEORGIA,Georgia,76.7,Home,LOUISIANA-STATE,LSU,Georgia,sec,17,False,False,False,Away,False,8,22,56,29,59,5,28,66,0,1,112,320,955,0.5109947643979058,634,1179,0.53774385072095,129,317,1124,0.4541814946619217,0.5294117647058824
18,2019-01-26-14-georgia,42.4,14,12.9,4,121.0,62.5,10,0.574,68,0.485,33,0.221,15,0.667,10,9,200,108.6,27.8,10,22,88,,21.0,17,0.41200000000000003,28,0.429,12,38.5,20,0.586,16.7,15,40,0.525,21,0.55,11,"January 26, 2019",78.1,25,5.0,2,108.6,72.2,26,0.792,48,0.667,32,0.583,28,0.7859999999999999,22,9,200,121.0,37.5,6,15,98,,14.8,12,0.354,17,0.706,12,61.5,32,0.799,30.1,26,31,0.645,20,0.526,10,"Stegeman Coliseum, Athens, Georgia",TEXAS,Texas,80.7,Home,GEORGIA,Georgia,Georgia,sec,18,True,False,True,Home,True,12,20,48,32,52,12,21,68,1,0,120,342,1011,0.516320474777448,663,1238,0.5355411954765751,134,345,1190,0.4588235294117647,0.5
19,2019-01-29-19-arkansas,63.2,12,10.0,4,95.9,88.6,31,0.34600000000000003,65,0.292,19,0.446,29,0.517,15,10,200,82.2,44.4,20,26,60,,2.7,2,0.369,24,0.292,7,63.8,51,0.381,17.1,16,41,0.293,12,0.5,10,"January 29, 2019",56.0,14,34.1,14,82.2,55.6,25,0.451,61,0.41,25,0.361,22,0.682,15,8,200,95.9,11.4,4,22,70,,8.2,6,0.344,21,0.23800000000000002,5,36.3,29,0.49,5.4,4,40,0.5,20,0.6,12,"Bud Walton Arena, Fayetteville, Arkansas",GEORGIA,Georgia,73.1,Home,ARKANSAS,Arkansas,Georgia,sec,19,False,False,False,Away,False,7,12,65,51,80,5,20,61,0,1,132,362,1059,0.5288007554296507,695,1290,0.5387596899224806,146,366,1258,0.46502384737678853,0.5263157894736842
20,2019-02-02-13-georgia,48.5,16,4.5,2,114.3,51.4,18,0.664,58,0.569,33,0.276,16,0.563,9,10,200,122.9,35.7,10,21,86,,4.3,3,0.276,16,0.688,11,44.4,28,0.655,16.7,13,42,0.524,22,0.524,11,"February 2, 2019",34.6,9,7.1,3,122.9,64.3,18,0.45299999999999996,64,0.406,26,0.391,25,0.88,22,11,200,114.3,48.6,17,14,80,,12.9,9,0.313,20,0.3,6,55.6,35,0.527,14.8,13,44,0.455,20,0.47600000000000003,10,"Stegeman Coliseum, Athens, Georgia",GEORGIA,Georgia,70.2,Away,SOUTH-CAROLINA,South Carolina,Georgia,sec,20,False,True,True,Home,False,6,20,64,35,63,11,22,58,0,1,139,374,1124,0.5182384341637011,746,1370,0.5445255474452555,151,386,1319,0.4643669446550417,0.5
21,2019-02-06-21-alabama,51.7,15,10.0,4,115.6,73.1,19,0.451,71,0.408,29,0.225,16,0.625,10,12,200,96.1,31.0,13,20,74,,3.9,3,0.35200000000000004,25,0.24,6,47.1,32,0.47100000000000003,14.3,13,46,0.5,23,0.455,10,"February 6, 2019",39.4,13,6.5,3,96.1,69.0,29,0.629,58,0.569,33,0.414,24,0.667,16,8,200,115.6,26.9,7,14,89,,7.8,6,0.31,18,0.389,7,52.9,36,0.6409999999999999,14.9,12,40,0.65,26,0.636,14,"Coleman Coliseum , Tuscaloosa, Alabama",GEORGIA,Georgia,76.5,Home,ALABAMA,Alabama,Georgia,sec,21,False,False,False,Away,False,6,23,71,32,68,7,26,58,0,1,145,394,1188,0.5147306397306397,781,1433,0.5450104675505931,162,408,1377,0.47276688453159044,0.47619047619047616
22,2019-02-09-13-georgia,42.9,12,7.4,2,88.9,74.2,23,0.516,63,0.444,28,0.302,19,0.789,15,7,200,111.1,30.0,9,17,80,,13.9,10,0.397,25,0.36,9,52.5,32,0.555,12.3,10,38,0.5,19,0.696,16,"February 9, 2019",52.4,11,13.2,5,111.1,70.0,21,0.51,52,0.40399999999999997,21,0.308,16,0.688,11,13,200,88.9,25.8,8,20,64,,6.9,5,0.48100000000000004,25,0.44,11,47.5,29,0.537,24.3,19,27,0.37,10,0.435,10,"Stegeman Coliseum, Athens, Georgia",GEORGIA,Georgia,71.8,Away,MISSISSIPPI,Ole Miss,Georgia,sec,22,False,True,True,Home,False,11,10,52,29,61,9,19,63,0,1,151,417,1259,0.511119936457506,813,1501,0.5416389073950699,169,434,1435,0.47909407665505227,0.45454545454545453
23,2019-02-12-19-texas-am,77.8,14,8.6,3,109.0,72.2,26,0.382,51,0.353,18,0.51,26,0.654,17,14,200,83.6,20.6,7,17,56,,9.0,6,0.451,23,0.13,3,47.1,33,0.442,16.1,12,28,0.536,15,0.41700000000000004,10,"February 12, 2019",66.7,16,3.6,1,83.6,79.4,27,0.48200000000000004,56,0.429,24,0.48200000000000004,27,0.7040000000000001,19,13,200,109.0,27.8,10,17,73,,11.9,8,0.375,21,0.28600000000000003,6,52.9,37,0.53,9.3,7,35,0.514,18,0.435,10,"Reed Arena, College Station, Texas",GEORGIA,Georgia,67.1,Home,TEXAS-AM,Texas A&M,Georgia,sec,23,False,False,False,Away,False,3,15,51,33,70,6,18,56,0,1,162,427,1311,0.5110602593440122,842,1562,0.5390524967989757,178,453,1498,0.48064085447263016,0.43478260869565216
24,2019-02-16-18-georgia,36.7,11,12.2,5,119.7,60.7,17,0.602,54,0.556,30,0.426,23,0.7829999999999999,18,4,200,125.8,37.5,9,19,83,19.0,9.1,6,0.24100000000000002,13,0.385,5,50.0,26,0.639,11.1,8,41,0.61,25,0.84,21,"February 16, 2019",37.0,10,7.3,3,125.8,62.5,15,0.535,57,0.474,27,0.439,25,0.72,18,15,200,119.7,39.3,11,19,79,,7.6,5,0.281,16,0.43799999999999994,7,50.0,26,0.574,13.9,11,41,0.488,20,0.4,10,"Stegeman Coliseum, Athens, Georgia",GEORGIA,Georgia,66.4,Away,LOUISIANA-STATE,LSU,Georgia,sec,24,False,True,True,Home,False,7,20,57,26,52,5,25,54,0,1,165,442,1362,0.5062408223201175,875,1632,0.5361519607843137,184,471,1554,0.4806949806949807,0.4166666666666667
25,2019-02-20-18-georgia,28.0,7,14.3,5,108.1,58.8,20,0.5589999999999999,51,0.49,25,0.353,18,0.611,11,7,200,109.7,25.9,7,16,68,,8.1,5,0.33299999999999996,17,0.41200000000000003,7,44.3,27,0.5710000000000001,16.9,12,34,0.529,18,0.731,19,"February 20, 2019",48.0,12,5.9,2,109.7,74.1,20,0.49200000000000005,60,0.41700000000000004,25,0.183,11,0.727,8,16,200,108.1,41.2,14,16,67,,8.1,5,0.41700000000000004,25,0.36,9,55.7,34,0.514,12.2,9,35,0.457,16,0.385,10,"Stegeman Coliseum, Athens, Georgia",GEORGIA,Georgia,62.4,Away,MISSISSIPPI-STATE,Mississippi State,Georgia,sec,25,False,True,True,Home,False,9,16,60,34,61,7,18,51,0,1,172,462,1419,0.507399577167019,901,1684,0.5350356294536817,189,496,1608,0.4847636815920398,0.4
26,2019-02-23-15-mississippi,76.0,19,5.4,2,101.4,65.7,23,0.573,48,0.521,25,0.45799999999999996,22,0.727,16,17,200,100.0,22.2,4,13,71,,9.9,7,0.33299999999999996,16,0.313,5,50.9,27,0.607,24.8,19,32,0.625,20,0.37,10,"February 23, 2019",53.6,15,6.3,2,100.0,77.8,14,0.523,65,0.431,28,0.077,5,0.8,4,8,200,101.4,34.3,12,18,72,,11.3,8,0.431,28,0.429,12,49.1,26,0.534,17.2,14,37,0.43200000000000005,16,0.7040000000000001,19,"The Pavilion at Ole Miss, Oxford, Mississippi",GEORGIA,Georgia,71.4,Home,MISSISSIPPI,Ole Miss,Georgia,sec,26,False,False,False,Away,False,5,20,48,27,53,12,16,65,0,1,181,478,1479,0.506761325219743,935,1745,0.5358166189111748,196,514,1659,0.487040385774563,0.38461538461538464
27,2019-02-27-21-georgia,44.8,13,10.0,3,119.0,57.1,12,0.539,64,0.45299999999999996,29,0.172,11,0.818,9,9,200,123.8,35.5,11,16,78,,12.7,8,0.484,31,0.355,11,44.2,23,0.563,9.2,7,33,0.545,18,0.679,19,"February 27, 2019",51.9,14,15.2,5,123.8,64.5,20,0.618,51,0.529,27,0.314,16,0.75,12,18,200,119.0,42.9,9,10,75,,9.5,6,0.41200000000000003,21,0.429,9,55.8,29,0.64,17.1,12,30,0.6,18,0.35700000000000004,10,"Stegeman Coliseum, Athens, Georgia",GEORGIA,Georgia,63.4,Away,AUBURN,Auburn,Georgia,sec,27,False,True,True,Home,False,9,18,51,29,52,11,18,64,0,1,186,498,1527,0.5088408644400786,962,1798,0.5350389321468298,208,530,1724,0.48839907192575405,0.37037037037037035
