,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GEORGIA-SOUTHERN_homegame,GEORGIA-SOUTHERN_homegame2,GEORGIA-SOUTHERN_home,GEORGIA-SOUTHERN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-18-19-georgia-southern,40.7,11,7.5,3,86.8,73.7,28,0.517,59,0.45799999999999996,27,0.33899999999999997,20,0.65,13,5,225,81.3,21.2,7,31,74,,7.7,7,0.322,19,0.368,7,49.3,35,0.54,29.2,28,40,0.5,20,0.583,7,"December 18, 2018",33.3,8,7.5,3,81.3,78.8,26,0.457,58,0.414,24,0.672,39,0.667,26,3,225,86.8,26.3,10,21,79,,14.3,13,0.31,18,0.278,5,50.7,36,0.516,25.0,25,40,0.475,19,0.727,8,"Hanner Fieldhouse, Statesboro, Georgia",BRADLEY,Bradley,80.5,Home,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt,10,True,False,True,Home,True,5,19,58,36,71,7,20,59,1,0,57,278,640,0.56796875,335,656,0.510670731707317,82,201,647,0.500772797527048,0.7
11,2018-12-21-18-radford,68.0,17,5.4,2,117.6,62.1,18,0.534,58,0.431,25,0.155,9,0.667,6,4,200,100.0,15.2,5,17,68,,5.9,4,0.534,31,0.387,12,37.1,23,0.546,15.1,11,27,0.48100000000000004,13,0.667,8,"December 21, 2018",58.1,18,14.8,4,100.0,84.8,28,0.589,62,0.5,31,0.226,14,0.5,7,5,200,117.6,37.9,11,13,80,,10.3,7,0.40299999999999997,25,0.44,11,62.9,39,0.583,13.9,11,37,0.541,20,0.583,7,"Donald N. Dedmon Center, Radford, Virginia",GEORGIA-SOUTHERN,Georgia Southern,68.5,Home,RADFORD,Radford,Georgia Southern,sun-belt,11,False,False,False,Away,False,12,13,58,23,62,11,20,62,0,1,62,297,698,0.5587392550143266,371,727,0.5103163686382394,89,221,706,0.5021246458923513,0.7272727272727273
12,2018-12-29-15-dayton,62.9,22,7.1,3,116.0,73.1,19,0.6509999999999999,63,0.556,35,0.222,14,0.5710000000000001,8,5,200,111.1,17.9,5,18,90,,6.2,5,0.413,26,0.462,12,44.4,24,0.6459999999999999,18.8,16,37,0.622,23,0.615,8,"December 29, 2018",73.0,27,2.7,1,111.1,82.1,23,0.623,65,0.569,37,0.27699999999999997,18,0.722,13,5,200,116.0,26.9,7,12,94,,3.7,3,0.354,23,0.304,7,55.6,30,0.639,16.1,14,42,0.7140000000000001,30,0.615,8,"University of Dayton Arena, Dayton, Ohio",GEORGIA-SOUTHERN,Georgia Southern,80.6,Home,DAYTON,Dayton,Georgia Southern,sun-belt,12,False,False,False,Away,False,12,23,63,24,54,7,30,65,0,1,74,310,756,0.5568783068783069,394,789,0.49936628643852976,100,241,768,0.5091145833333334,0.6666666666666666
13,2019-01-03-20-texas-state,33.3,10,10.0,4,94.8,64.9,24,0.43799999999999994,72,0.41700000000000004,30,0.16699999999999998,12,0.583,7,6,200,90.9,30.0,12,19,70,,14.3,11,0.264,19,0.158,3,46.8,36,0.45,15.3,14,53,0.509,27,0.5710000000000001,8,"January 3, 2019",57.1,16,9.4,5,90.9,70.0,28,0.516,62,0.452,28,0.258,16,0.563,9,2,200,94.8,35.1,13,15,73,,5.2,4,0.355,22,0.364,8,53.2,41,0.524,20.7,18,40,0.5,20,0.857,12,"Strahan Coliseum, San Marcos, Texas",GEORGIA-SOUTHERN,Georgia Southern,77.2,Home,TEXAS-STATE,Texas State,Georgia Southern,sun-belt,13,False,False,False,Away,False,3,27,72,36,77,8,20,62,0,1,86,333,819,0.5641025641025641,418,843,0.4958481613285884,107,271,833,0.5180072028811524,0.6153846153846154
14,2019-01-05-15-texas-arlington,60.0,15,9.1,3,91.4,68.4,26,0.5920000000000001,49,0.51,25,0.469,23,0.826,19,6,200,110.0,29.2,7,20,77,,7.1,5,0.429,21,0.381,8,53.2,33,0.642,20.2,15,28,0.607,17,0.6,9,"January 5, 2019",50.0,11,3.6,1,110.0,70.8,17,0.41,61,0.361,22,0.361,22,0.636,14,11,200,91.4,31.6,12,20,64,,10.0,7,0.45899999999999996,28,0.214,6,46.8,29,0.44799999999999995,15.5,13,33,0.485,16,0.267,4,"College Park Center, Arlington, Texas",TEXAS-ARLINGTON,Texas-Arlington,70.2,Away,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt,14,False,False,False,Away,True,8,17,49,33,62,6,16,61,1,0,89,360,891,0.5538720538720538,454,920,0.4934782608695652,115,291,895,0.517877094972067,0.5714285714285714
15,2019-01-10-19-georgia-southern,48.1,13,5.7,2,105.3,78.4,29,0.532,62,0.435,27,0.21,13,0.9229999999999999,12,6,200,104.0,27.3,9,16,78,,9.3,7,0.5,31,0.387,12,54.3,38,0.5720000000000001,19.1,16,31,0.484,15,0.6,9,"January 10, 2019",35.7,10,6.5,2,104.0,72.7,24,0.55,60,0.467,28,0.317,19,0.684,13,6,200,105.3,21.6,8,14,79,,13.3,10,0.41700000000000004,25,0.4,10,45.7,32,0.5720000000000001,17.0,14,35,0.514,18,0.625,10,"Hanner Fieldhouse, Statesboro, Georgia",LOUISIANA-MONROE,Louisiana-Monroe,75.1,Home,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt,15,True,False,True,Home,True,10,18,60,32,70,12,15,62,1,0,97,377,940,0.5558510638297872,487,982,0.4959266802443992,121,307,956,0.5109832635983264,0.6
16,2019-01-12-17-georgia-southern,64.3,18,14.3,6,104.9,70.7,29,0.5660000000000001,61,0.45899999999999996,28,0.361,22,0.818,18,6,200,107.4,27.3,9,23,87,,8.6,7,0.49200000000000005,30,0.433,13,51.4,38,0.609,19.4,17,31,0.484,15,0.647,11,"January 12, 2019",28.1,9,9.7,3,107.4,72.7,24,0.5,70,0.457,32,0.32899999999999996,23,0.652,15,7,200,104.9,29.3,12,19,85,,12.3,10,0.4,28,0.214,6,48.6,36,0.525,14.0,13,42,0.619,26,0.588,10,"Hanner Fieldhouse, Statesboro, Georgia",GEORGIA-SOUTHERN,Georgia Southern,80.7,Away,LOUISIANA-LAFAYETTE,Louisiana,Georgia Southern,sun-belt,16,False,True,True,Home,False,6,26,70,36,74,13,15,61,0,1,107,395,1000,0.5555,519,1052,0.49334600760456276,133,322,1018,0.512278978388998,0.625
17,2019-01-17-19-troy,47.2,17,5.0,2,109.3,60.5,23,0.695,59,0.61,36,0.18600000000000003,11,0.727,8,7,200,120.0,24.0,6,19,90,,10.7,8,0.322,19,0.526,10,46.0,29,0.701,20.0,16,40,0.65,26,0.611,11,"January 17, 2019",51.6,16,7.5,3,120.0,76.0,19,0.531,64,0.484,31,0.313,20,0.7,14,8,200,109.3,39.5,15,17,82,,6.7,5,0.375,24,0.25,6,54.0,34,0.5579999999999999,18.9,17,40,0.625,25,0.529,9,"Trojan Arena, Troy, Alabama",TROY,Troy,74.9,Away,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt,17,False,False,False,Away,True,10,26,59,29,63,6,25,64,1,0,113,421,1070,0.5518691588785046,555,1126,0.4928952042628774,146,337,1079,0.5152919369786839,0.5882352941176471
18,2019-01-19-16-south-alabama,34.4,11,13.7,7,104.9,71.4,25,0.514,69,0.46399999999999997,32,0.33299999999999996,23,0.7390000000000001,17,7,225,107.3,28.6,10,17,88,,7.3,6,0.24600000000000002,17,0.41200000000000003,7,50.0,35,0.551,15.9,15,52,0.48100000000000004,25,0.632,12,"January 19, 2019",22.2,8,7.7,4,107.3,71.4,25,0.5429999999999999,70,0.514,36,0.171,12,0.833,10,10,225,104.9,28.6,10,20,86,,7.3,6,0.271,19,0.21100000000000002,4,50.0,35,0.568,14.7,13,51,0.627,32,0.474,9,"Mitchell Center, Mobile, Alabama",SOUTH-ALABAMA,South Alabama,72.7,Away,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt,18,False,False,False,Away,True,7,25,69,35,70,4,32,70,1,0,123,447,1129,0.5593445527015057,584,1189,0.4911690496215307,152,362,1143,0.5161854768153981,0.6111111111111112
19,2019-01-24-19-georgia-southern,60.0,15,6.8,3,95.7,75.0,27,0.49200000000000005,60,0.41700000000000004,25,0.33299999999999996,20,0.65,13,11,200,102.9,29.7,11,17,72,,10.0,7,0.38299999999999995,23,0.391,9,52.1,38,0.518,12.7,10,37,0.43200000000000005,16,0.45,9,"January 24, 2019",31.0,9,13.5,5,102.9,70.3,26,0.485,65,0.446,29,0.138,9,0.444,4,8,200,95.7,25.0,9,17,67,,8.6,6,0.32299999999999995,21,0.23800000000000002,5,47.9,35,0.484,14.8,12,44,0.545,24,0.6,12,"Hanner Fieldhouse, Statesboro, Georgia",GEORGIA-SOUTHERN,Georgia Southern,70.4,Away,TEXAS-ARLINGTON,Texas-Arlington,Georgia Southern,sun-belt,19,False,True,True,Home,False,5,24,65,35,73,9,16,60,0,1,130,472,1198,0.5567612687813022,619,1259,0.49166004765687055,156,394,1213,0.517724649629019,0.631578947368421
20,2019-01-26-17-georgia-southern,39.1,9,2.6,1,107.2,69.2,18,0.457,58,0.397,23,0.24100000000000002,14,0.35700000000000004,5,4,200,84.1,24.3,9,18,58,,13.0,9,0.44799999999999995,26,0.26899999999999996,7,42.9,27,0.449,18.9,15,32,0.5,16,0.81,17,"January 26, 2019",32.0,8,9.4,3,84.1,75.7,28,0.5,53,0.47200000000000003,25,0.47200000000000003,25,0.84,21,8,200,107.2,30.8,8,15,74,,14.5,10,0.264,14,0.214,3,57.1,36,0.57,13.5,10,39,0.564,22,0.619,13,"Hanner Fieldhouse, Statesboro, Georgia",TEXAS-STATE,Texas State,68.8,Home,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt,20,True,False,True,Home,True,3,22,53,36,63,7,16,58,1,0,135,496,1263,0.5530482977038796,654,1332,0.49099099099099097,165,410,1273,0.516496465043205,0.6
21,2019-02-02-13-georgia-state,42.3,11,9.1,3,109.5,86.7,26,0.509,56,0.46399999999999997,26,0.39299999999999996,22,0.682,15,9,200,97.3,20.6,7,16,72,,8.1,6,0.33899999999999997,19,0.263,5,51.6,33,0.542,18.6,15,37,0.568,21,0.591,13,"February 2, 2019",30.0,9,10.8,4,97.3,79.4,27,0.583,60,0.5,30,0.28300000000000003,17,0.647,11,6,200,109.5,13.3,4,20,81,,8.1,6,0.45,27,0.37,10,48.4,31,0.595,12.9,10,33,0.606,20,0.727,16,"GSU Sports Arena, Atlanta, Georgia",GEORGIA-SOUTHERN,Georgia Southern,74.3,Home,GEORGIA-STATE,Georgia State,Georgia Southern,sun-belt,21,False,False,False,Away,False,5,21,56,33,64,10,20,60,0,1,138,518,1316,0.5509118541033434,690,1395,0.4946236559139785,172,426,1331,0.5138993238166792,0.6190476190476191
22,2019-02-06-20-louisiana-lafayette,42.9,15,5.4,2,111.7,76.9,29,0.614,66,0.53,35,0.47,31,0.71,22,9,200,133.8,38.2,14,20,103,,5.2,4,0.242,16,0.688,11,58.9,43,0.638,11.2,10,50,0.48,24,0.609,14,"February 6, 2019",36.7,11,10.0,5,133.8,61.8,21,0.515,67,0.44799999999999995,30,0.373,25,0.68,17,10,200,111.7,23.1,9,21,86,,7.8,6,0.44799999999999995,30,0.3,9,41.1,30,0.545,8.2,7,37,0.568,21,0.565,13,"Cajundome, Lafayette, Louisiana",LOUISIANA-LAFAYETTE,Louisiana,77.3,Away,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt,22,False,False,False,Away,True,11,24,66,43,73,9,21,67,1,0,143,539,1372,0.549198250728863,723,1459,0.49554489376285127,182,446,1391,0.5168943206326384,0.5909090909090909
23,2019-02-08-20-louisiana-monroe,50.0,15,18.4,7,129.4,64.5,20,0.63,54,0.556,30,0.24100000000000002,13,0.846,11,10,200,116.2,8.7,2,20,79,,2.9,2,0.278,15,0.5329999999999999,8,40.7,22,0.6559999999999999,15.6,11,39,0.564,22,0.583,14,"February 8, 2019",34.5,10,2.6,1,116.2,91.3,21,0.578,58,0.5,29,0.466,27,0.778,21,10,200,129.4,35.5,11,14,88,,7.4,5,0.345,20,0.45,9,59.3,32,0.621,9.1,7,38,0.526,20,0.565,13,"Fant-Ewing Coliseum, Monroe, Louisiana",GEORGIA-SOUTHERN,Georgia Southern,68.0,Home,LOUISIANA-MONROE,Louisiana-Monroe,Georgia Southern,sun-belt,23,False,False,False,Away,False,8,22,54,22,54,9,20,58,0,1,154,563,1438,0.5521557719054242,766,1532,0.5,191,467,1458,0.516803840877915,0.6086956521739131
24,2019-02-13-19-georgia-southern,50.0,12,8.1,3,108.7,82.6,19,0.529,52,0.462,24,0.25,13,0.769,10,13,200,94.2,11.1,3,20,65,,10.1,7,0.442,23,0.304,7,44.0,22,0.5589999999999999,18.4,13,29,0.586,17,0.48,12,"February 13, 2019",51.7,15,13.8,4,94.2,88.9,24,0.625,52,0.5579999999999999,29,0.26899999999999996,14,0.7140000000000001,10,10,200,108.7,17.4,4,13,75,,8.7,6,0.28800000000000003,15,0.467,7,56.0,28,0.639,21.6,16,37,0.595,22,0.6,15,"Hanner Fieldhouse, Statesboro, Georgia",SOUTH-ALABAMA,South Alabama,69.4,Home,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt,24,True,False,True,Home,True,7,22,52,28,50,7,17,52,1,0,162,585,1492,0.5549597855227882,788,1586,0.4968474148802018,200,487,1516,0.5191292875989446,0.5833333333333334
25,2019-02-15-21-georgia-southern,35.3,6,5.8,3,92.7,64.7,22,0.317,60,0.28300000000000003,17,0.317,19,0.684,13,14,200,62.2,20.5,9,21,51,,12.2,10,0.3,18,0.222,4,39.7,31,0.369,24.3,22,42,0.31,13,0.44,11,"February 15, 2019",39.3,11,11.9,5,62.2,79.5,35,0.461,64,0.43799999999999994,28,0.391,25,0.68,17,10,200,92.7,35.3,12,22,76,,19.5,16,0.188,12,0.25,3,60.3,47,0.501,20.2,19,52,0.48100000000000004,25,0.615,16,"Hanner Fieldhouse, Statesboro, Georgia",TROY,Troy,82.5,Home,GEORGIA-SOUTHERN,Georgia Southern,Georgia Southern,sun-belt,25,True,False,True,Home,True,3,25,64,47,78,4,13,60,1,0,169,607,1544,0.5573186528497409,816,1636,0.49877750611246946,207,504,1568,0.5194515306122449,0.6
