,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BUCKNELL_homegame,BUCKNELL_homegame2,BUCKNELL_home,BUCKNELL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-23-22-texas-christian,40.0,8,0.0,0,113.9,67.6,23,0.45299999999999996,53,0.377,20,0.377,20,0.85,17,6,200,90.3,21.2,7,18,65,,2.8,2,0.509,27,0.29600000000000004,8,44.8,30,0.52,19.5,15,26,0.462,12,0.455,5,"December 23, 2018",51.7,15,0.0,0,90.3,78.8,26,0.515,65,0.446,29,0.308,20,0.75,15,1,200,113.9,32.4,11,16,82,,11.1,8,0.431,28,0.321,9,55.2,37,0.55,10.9,9,37,0.541,20,0.909,10,"Stan Sheriff Center, Honolulu, Hawaii",BUCKNELL,Bucknell,71.5,Home,TEXAS-CHRISTIAN,TCU,Bucknell,patriot,10,False,False,False,Away,False,8,12,53,30,67,9,20,65,0,1,91,155,553,0.527124773960217,297,634,0.46845425867507884,70,192,595,0.4991596638655462,0.5
11,2018-12-25-18-bucknell,23.3,7,10.3,4,129.3,76.0,19,0.405,79,0.38,30,0.177,14,0.5710000000000001,8,6,200,96.0,45.8,22,15,72,,5.3,4,0.316,25,0.16,4,56.2,41,0.42,10.5,10,54,0.48100000000000004,26,0.5,6,"December 25, 2018",70.3,26,5.6,3,96.0,54.2,26,0.688,64,0.578,37,0.203,13,0.6920000000000001,9,6,200,129.3,24.0,6,19,97,,4.0,3,0.391,25,0.56,14,43.8,32,0.691,14.7,12,39,0.59,23,0.5,6,"Stan Sheriff Center, Honolulu, Hawaii",NEVADA-LAS-VEGAS,UNLV,74.9,Home,BUCKNELL,Bucknell,Bucknell,patriot,11,True,False,True,Home,True,14,23,64,32,73,4,26,79,1,0,99,167,606,0.5206270627062707,327,701,0.4664764621968616,79,212,660,0.5007575757575757,0.45454545454545453
12,2019-01-02-19-army,68.2,15,5.9,2,86.3,87.2,34,0.456,57,0.386,22,0.281,16,0.75,12,6,200,87.7,16.7,6,18,64,,2.7,2,0.491,28,0.28600000000000003,8,53.3,40,0.495,17.9,14,29,0.483,14,0.5379999999999999,7,"January 2, 2019",52.0,13,3.4,1,87.7,83.3,30,0.43799999999999994,65,0.385,25,0.154,10,0.6,6,9,200,86.3,12.8,5,18,63,,5.5,4,0.47700000000000004,31,0.226,7,46.7,35,0.452,11.5,9,34,0.529,18,0.35700000000000004,5,"Christl Arena, West Point, New York",ARMY,Army,73.2,Away,BUCKNELL,Bucknell,Bucknell,patriot,12,False,False,False,Away,True,8,14,57,40,75,7,18,65,1,0,113,190,670,0.5365671641791044,359,774,0.46382428940568476,83,238,739,0.49052774018944517,0.5
13,2019-01-05-13-boston-university,54.8,17,12.5,6,122.5,65.7,23,0.603,58,0.534,31,0.259,15,0.667,10,7,200,112.7,20.7,6,20,80,,5.6,4,0.379,22,0.364,8,45.3,29,0.614,14.6,11,36,0.639,23,0.5,7,"January 5, 2019",53.1,17,5.6,2,112.7,79.3,23,0.53,67,0.478,32,0.26899999999999996,18,0.889,16,7,200,122.5,34.3,12,15,87,,12.7,9,0.284,19,0.368,7,54.7,35,0.5760000000000001,10.7,9,48,0.521,25,0.5329999999999999,8,"Case Gym, Boston, Massachusetts",BUCKNELL,Bucknell,71.3,Home,BOSTON-UNIVERSITY,Boston University,Bucknell,patriot,13,False,False,False,Away,False,8,23,58,29,64,7,25,67,0,1,121,204,727,0.5302613480055021,399,849,0.46996466431095407,90,256,804,0.486318407960199,0.5384615384615384
14,2019-01-09-19-bucknell,48.4,15,15.8,6,110.5,75.0,27,0.5379999999999999,66,0.47,31,0.212,14,0.7140000000000001,10,7,200,106.6,43.3,13,19,81,,5.3,4,0.409,27,0.33299999999999996,9,60.6,40,0.557,20.0,18,39,0.564,22,0.562,9,"January 9, 2019",63.0,17,15.4,6,106.6,56.7,17,0.508,62,0.435,27,0.419,26,0.8079999999999999,21,7,200,110.5,25.0,9,16,84,,13.2,10,0.387,24,0.375,9,39.4,26,0.565,9.8,8,38,0.474,18,0.5329999999999999,8,"Sojka Pavilion, Lewisburg, Pennsylvania",COLGATE,Colgate,75.5,Home,BUCKNELL,Bucknell,Bucknell,patriot,14,True,False,True,Home,True,9,18,62,26,66,9,22,66,1,0,129,227,785,0.5356687898089172,428,913,0.4687842278203724,97,281,871,0.4896670493685419,0.5
15,2019-01-12-12-bucknell,52.4,11,21.9,7,77.5,86.7,26,0.39,59,0.35600000000000004,21,0.237,14,0.5710000000000001,8,7,200,76.1,11.8,4,16,54,,12.7,9,0.28800000000000003,17,0.235,4,46.9,30,0.41100000000000003,14.4,11,42,0.405,17,0.5329999999999999,8,"January 12, 2019",60.0,12,11.9,5,76.1,88.2,30,0.441,51,0.392,20,0.353,18,0.556,10,7,200,77.5,13.3,4,16,55,,4.2,3,0.373,19,0.263,5,53.1,34,0.462,18.1,13,32,0.469,15,0.562,9,"Sojka Pavilion, Lewisburg, Pennsylvania",AMERICAN,American,70.6,Home,BUCKNELL,Bucknell,Bucknell,patriot,15,True,False,True,Home,True,5,15,51,34,64,4,17,59,1,0,138,245,847,0.5336481700118064,454,979,0.4637385086823289,106,303,937,0.49306296691568835,0.5333333333333333
16,2019-01-14-19-bucknell,54.8,17,12.5,3,132.9,57.1,16,0.574,61,0.508,31,0.213,13,0.615,8,7,200,111.4,31.0,9,18,78,,7.1,5,0.344,21,0.381,8,43.9,25,0.581,15.2,12,40,0.575,23,0.611,11,"January 14, 2019",74.2,23,7.5,3,111.4,69.0,20,0.617,60,0.517,31,0.36700000000000005,22,0.8640000000000001,19,7,200,132.9,42.9,12,22,93,,14.3,10,0.6,36,0.33299999999999996,12,56.1,32,0.66,14.7,12,24,0.792,19,0.588,10,"Sojka Pavilion, Lewisburg, Pennsylvania",HOLY-CROSS,Holy Cross,70.3,Home,BUCKNELL,Bucknell,Bucknell,patriot,16,True,False,True,Home,True,12,19,60,32,57,8,23,61,1,0,143,260,898,0.5283964365256125,488,1043,0.4678811121764142,110,320,996,0.48694779116465864,0.5625
17,2019-01-19-12-lehigh,39.4,13,5.4,2,113.7,87.5,28,0.552,67,0.493,33,0.239,16,0.688,11,7,200,116.4,28.1,9,16,85,,9.6,7,0.32799999999999996,22,0.364,8,57.8,37,0.57,10.8,9,45,0.556,25,0.611,11,"January 19, 2019",64.5,20,4.4,2,116.4,71.9,23,0.633,60,0.517,31,0.217,13,0.5379999999999999,7,6,200,113.7,12.5,4,17,83,,6.8,5,0.38299999999999995,23,0.609,14,42.2,27,0.627,13.2,10,37,0.45899999999999996,17,0.647,11,"Stabler Arena, Bethlehem, Pennsylvania",LEHIGH,Lehigh,73.4,Away,BUCKNELL,Bucknell,Bucknell,patriot,17,False,False,False,Away,True,8,25,67,37,64,14,17,60,1,0,155,279,958,0.5339248434237995,520,1100,0.4727272727272727,118,343,1057,0.49195837275307475,0.5882352941176471
18,2019-01-23-19-bucknell,56.0,14,6.3,2,102.9,74.1,20,0.509,54,0.46299999999999997,25,0.35200000000000004,19,0.684,13,13,200,98.6,24.0,6,18,68,,11.6,8,0.33299999999999996,18,0.278,5,50.0,26,0.539,17.3,13,36,0.556,20,0.35,7,"January 23, 2019",72.0,18,13.9,5,98.6,76.0,19,0.545,55,0.455,25,0.2,11,1.0,11,7,200,102.9,25.9,7,20,71,,8.7,6,0.418,23,0.435,10,50.0,26,0.589,19.0,14,32,0.469,15,0.632,12,"Sojka Pavilion, Lewisburg, Pennsylvania",LOYOLA-MD,Loyola (MD),68.6,Home,BUCKNELL,Bucknell,Bucknell,patriot,18,True,False,True,Home,True,10,15,55,26,52,5,20,54,1,0,163,304,1025,0.5351219512195122,557,1164,0.47852233676975947,132,360,1117,0.4995523724261415,0.6111111111111112
19,2019-01-26-16-american,66.7,14,7.4,2,105.6,88.5,23,0.397,63,0.33299999999999996,21,0.397,25,0.72,18,8,200,94.4,23.8,10,28,68,,2.8,2,0.429,27,0.29600000000000004,8,48.5,33,0.45399999999999996,9.8,8,36,0.361,13,0.6,12,"January 26, 2019",50.0,10,11.1,4,94.4,76.2,32,0.537,41,0.488,20,1.0979999999999999,45,0.711,32,9,200,105.6,11.5,3,23,76,,5.6,4,0.341,14,0.28600000000000003,4,51.5,35,0.609,16.5,12,27,0.593,16,0.526,10,"Bender Arena, Washington, District of Columbia",BUCKNELL,Bucknell,72.1,Home,AMERICAN,American,Bucknell,patriot,19,False,False,False,Away,False,8,13,63,33,68,4,16,41,0,1,173,319,1080,0.5356481481481481,583,1216,0.47944078947368424,137,380,1171,0.5,0.631578947368421
20,2019-01-30-19-bucknell,50.0,10,4.2,1,94.5,77.8,28,0.341,63,0.317,20,0.381,24,0.583,14,14,200,78.1,33.3,13,21,57,,15.1,11,0.349,22,0.136,3,54.7,41,0.38299999999999995,13.0,11,41,0.415,17,0.3,6,"January 30, 2019",54.5,12,12.2,5,78.1,66.7,26,0.44799999999999995,58,0.379,22,0.414,24,0.708,17,8,200,94.5,22.2,8,19,69,,8.2,6,0.586,34,0.235,8,45.3,34,0.49700000000000005,15.9,13,24,0.583,14,0.619,13,"Sojka Pavilion, Lewisburg, Pennsylvania",NAVY,Navy,73.4,Home,BUCKNELL,Bucknell,Bucknell,patriot,20,True,False,True,Home,True,8,14,58,34,75,3,17,63,1,0,181,332,1143,0.5279965004374453,616,1284,0.4797507788161994,141,396,1212,0.5012376237623762,0.6
21,2019-02-02-14-lafayette,42.4,14,9.5,4,83.5,81.0,34,0.537,67,0.493,33,0.40299999999999997,27,0.815,22,8,200,119.0,30.6,11,17,94,,8.9,7,0.373,25,0.24,6,57.7,45,0.589,9.2,8,42,0.643,27,0.636,14,"February 2, 2019",29.2,7,11.9,5,119.0,69.4,25,0.39299999999999996,70,0.34299999999999997,24,0.22899999999999998,16,0.688,11,16,200,83.5,19.0,8,21,66,,7.6,6,0.4,28,0.25,7,42.3,33,0.425,13.5,12,42,0.405,17,0.23800000000000002,5,"Kirby Sports Center, Easton, Pennsylvania",LAFAYETTE,Lafayette,79.2,Away,BUCKNELL,Bucknell,Bucknell,patriot,21,False,False,False,Away,True,6,27,67,45,78,7,17,70,1,0,189,346,1201,0.5241465445462115,650,1359,0.4782928623988227,144,413,1275,0.49333333333333335,0.6190476190476191
22,2019-02-06-19-loyola-md,65.4,17,8.0,4,93.5,66.7,26,0.544,57,0.456,26,0.439,25,0.88,22,8,200,109.1,32.0,8,16,84,,6.5,5,0.439,25,0.4,10,53.1,34,0.61,19.0,16,32,0.5,16,0.652,15,"February 6, 2019",42.9,12,9.4,3,109.1,68.0,17,0.447,66,0.424,28,0.303,20,0.65,13,16,200,93.5,33.3,13,24,72,,14.3,11,0.242,16,0.188,3,46.9,30,0.47700000000000004,15.8,14,50,0.5,25,0.33299999999999996,8,"Reitz Arena, Baltimore, Maryland",LOYOLA-MD,Loyola (MD),76.7,Away,BUCKNELL,Bucknell,Bucknell,patriot,22,False,False,False,Away,True,10,16,57,34,64,3,25,66,1,0,195,373,1268,0.5248422712933754,695,1437,0.4836464857341684,151,430,1345,0.48810408921933085,0.6363636363636364
23,2019-02-09-12-bucknell,59.3,16,6.1,2,107.9,67.9,19,0.478,67,0.40299999999999997,27,0.26899999999999996,18,0.667,12,14,200,100.0,15.2,5,19,76,,11.8,9,0.38799999999999996,26,0.385,10,39.3,24,0.503,10.7,9,41,0.415,17,0.44,11,"February 9, 2019",69.0,20,12.2,5,100.0,84.8,28,0.5670000000000001,60,0.483,29,0.3,18,0.778,14,8,200,107.9,32.1,9,17,82,,7.9,6,0.45,27,0.37,10,60.7,37,0.598,16.1,13,33,0.5760000000000001,19,0.667,16,"Sojka Pavilion, Lewisburg, Pennsylvania",BOSTON-UNIVERSITY,Boston University,76.1,Home,BUCKNELL,Bucknell,Bucknell,patriot,23,True,False,True,Home,True,10,19,60,37,61,10,17,67,1,0,205,389,1325,0.5256603773584906,729,1501,0.48567621585609594,154,455,1411,0.4861800141743444,0.6521739130434783
24,2019-02-11-19-bucknell,56.0,14,2.4,1,116.0,66.7,24,0.467,60,0.41700000000000004,25,0.4,24,0.792,19,8,200,100.0,17.6,6,23,75,,2.7,2,0.36700000000000005,22,0.273,6,42.9,30,0.525,10.2,8,38,0.5,19,0.667,16,"February 11, 2019",53.6,15,7.9,3,100.0,82.4,28,0.47700000000000004,65,0.431,28,0.47700000000000004,31,0.8059999999999999,25,8,200,116.0,33.3,12,21,87,,5.3,4,0.369,24,0.25,6,57.1,40,0.546,10.3,9,41,0.537,22,0.68,17,"Sojka Pavilion, Lewisburg, Pennsylvania",LEHIGH,Lehigh,75.1,Home,BUCKNELL,Bucknell,Bucknell,patriot,24,True,False,True,Home,True,6,22,65,40,70,6,19,60,1,0,215,408,1385,0.5274368231046931,766,1562,0.49039692701664533,164,472,1478,0.4857916102841678,0.6666666666666666
25,2019-02-16-12-holy-cross,65.4,17,6.8,3,100.0,75.7,28,0.526,58,0.44799999999999995,26,0.22399999999999998,13,0.769,10,9,200,98.6,53.3,16,23,71,,8.3,6,0.5,29,0.31,9,65.7,44,0.5529999999999999,26.5,23,29,0.586,17,0.654,17,"February 16, 2019",40.0,10,6.9,2,98.6,46.7,14,0.449,59,0.424,25,0.441,26,0.731,19,13,200,100.0,24.3,9,15,72,,15.3,11,0.254,15,0.2,3,34.3,23,0.505,12.4,10,44,0.5,22,0.519,14,"Hart Recreation Center, Worcester, Massachusetts",BUCKNELL,Bucknell,71.8,Home,HOLY-CROSS,Holy Cross,Bucknell,patriot,25,False,False,False,Away,False,9,17,58,44,67,3,22,59,0,1,221,430,1450,0.5251724137931034,806,1632,0.49387254901960786,170,491,1538,0.4850455136540962,0.68
26,2019-02-19-19-colgate,41.7,10,2.6,1,105.6,61.3,19,0.431,65,0.369,24,0.16899999999999998,11,0.727,8,10,200,90.1,24.2,8,17,64,,15.5,11,0.446,29,0.276,8,42.2,27,0.456,14.7,12,36,0.444,16,0.63,17,"February 19, 2019",57.1,16,16.7,6,90.1,75.8,25,0.579,57,0.491,28,0.263,15,0.6,9,10,200,105.6,38.7,12,14,75,,7.0,5,0.33299999999999996,19,0.526,10,57.8,37,0.585,20.1,16,38,0.474,18,0.643,18,"Cotterell Court, Hamilton, New York",BUCKNELL,Bucknell,71.2,Home,COLGATE,Colgate,Bucknell,patriot,26,False,False,False,Away,False,8,16,65,27,64,10,18,57,0,1,230,447,1508,0.5251989389920424,850,1699,0.5002942907592701,173,513,1597,0.48371947401377585,0.6538461538461539
