,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HOUSTON_homegame,HOUSTON_homegame2,HOUSTON_home,HOUSTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-20-20-houston,44.4,8,10.3,4,88.2,71.1,27,0.408,49,0.36700000000000005,18,0.28600000000000003,14,0.7140000000000001,10,3,200,73.5,17.2,5,17,50,,5.9,4,0.408,20,0.2,4,47.8,32,0.449,23.6,17,29,0.483,14,0.75,9,"December 20, 2018",50.0,10,17.2,5,73.5,82.8,24,0.373,63,0.317,20,0.23800000000000002,15,0.867,13,0,200,88.2,28.9,11,17,60,21.0,11.8,8,0.381,24,0.292,7,52.2,35,0.428,12.6,10,39,0.33299999999999996,13,1.0,11,"Hofheinz Pavilion, Houston, Texas",UTAH-STATE,Utah State,68.4,Home,HOUSTON,Houston,Houston,aac,10,True,False,True,Home,True,7,13,63,35,67,4,14,49,1,0,92,170,584,0.5273972602739726,373,673,0.5542347696879644,64,150,569,0.43233743409490333,1.0
11,2018-12-23-16-houston,42.9,6,7.5,3,94.9,80.6,29,0.26899999999999996,65,0.215,14,0.16899999999999998,11,0.818,9,14,200,55.7,13.0,6,16,44,,6.3,5,0.585,38,0.184,7,42.7,35,0.313,17.7,15,27,0.259,7,0.0,0,"December 23, 2018",60.7,17,22.2,6,55.7,87.0,40,0.485,65,0.431,28,0.27699999999999997,18,0.667,12,0,200,94.9,19.4,7,11,75,21.0,8.9,7,0.385,25,0.28,7,57.3,47,0.51,14.1,12,40,0.525,21,1.0,12,"Hofheinz Pavilion, Houston, Texas",COPPIN-STATE,Coppin State,78.9,Home,HOUSTON,Houston,Houston,aac,11,True,False,True,Home,True,7,21,65,47,82,7,7,65,1,0,99,183,647,0.5123647604327666,408,740,0.5513513513513514,68,164,618,0.43042071197411,1.0
12,2018-12-29-16-houston,45.0,9,0.0,0,108.1,73.5,25,0.402,61,0.32799999999999996,20,0.262,16,0.625,10,3,200,79.7,11.9,5,11,59,,6.8,5,0.49200000000000005,30,0.3,9,39.5,30,0.43,13.9,11,31,0.355,11,0.7859999999999999,11,"December 29, 2018",41.2,14,19.4,6,79.7,88.1,37,0.551,68,0.5,34,0.10300000000000001,7,0.7140000000000001,5,0,200,108.1,26.5,9,18,80,22.0,9.5,7,0.353,24,0.292,7,60.5,46,0.561,14.4,12,44,0.614,27,1.0,13,"Hofheinz Pavilion, Houston, Texas",NJIT,NJIT,74.5,Home,HOUSTON,Houston,Houston,aac,12,True,False,True,Home,True,7,27,68,46,76,9,11,61,1,0,106,204,712,0.5098314606741573,455,822,0.5535279805352799,75,171,683,0.4150805270863836,1.0
13,2019-01-02-20-houston,76.5,13,5.0,2,100.0,68.2,30,0.355,55,0.309,17,0.509,28,0.607,17,4,200,75.7,12.5,5,13,56,,2.7,2,0.327,18,0.278,5,41.7,35,0.41,15.1,12,37,0.324,12,0.7140000000000001,10,"January 2, 2019",72.0,18,5.4,2,75.7,87.5,35,0.429,70,0.35700000000000004,25,0.22899999999999998,16,0.875,14,0,200,100.0,31.8,14,20,74,19.0,9.5,7,0.429,30,0.33299999999999996,10,58.3,49,0.47700000000000004,10.5,9,40,0.375,15,1.0,14,"Hofheinz Pavilion, Houston, Texas",TULSA,Tulsa,74.0,Home,HOUSTON,Houston,Houston,aac,13,True,False,True,Home,True,10,15,70,49,84,5,12,55,1,0,113,231,780,0.5134615384615384,501,898,0.5579064587973274,84,182,744,0.41397849462365593,1.0
14,2019-01-06-18-houston,52.0,13,2.6,1,123.3,55.0,22,0.5579999999999999,52,0.48100000000000004,25,0.462,24,0.792,19,6,200,105.5,25.9,7,19,77,,4.1,3,0.442,23,0.348,8,43.3,29,0.607,21.4,17,29,0.586,17,0.6,9,"January 6, 2019",60.6,20,13.8,4,105.5,74.1,20,0.534,73,0.452,33,0.21899999999999997,16,0.75,12,0,200,123.3,45.0,18,21,90,19.0,19.2,14,0.466,34,0.353,12,56.7,38,0.5579999999999999,11.1,10,39,0.5379999999999999,21,1.0,15,"Hofheinz Pavilion, Houston, Texas",MEMPHIS,Memphis,73.0,Home,HOUSTON,Houston,Houston,aac,14,True,False,True,Home,True,12,21,73,38,67,8,17,52,1,0,123,246,850,0.5064705882352941,550,982,0.560081466395112,89,194,799,0.40988735919899877,1.0
15,2019-01-09-19-temple,75.0,18,14.7,5,102.8,74.1,20,0.475,61,0.39299999999999996,24,0.27899999999999997,17,0.647,11,1,200,97.2,27.8,10,18,69,17.0,8.5,6,0.475,29,0.345,10,47.6,30,0.499,13.8,11,32,0.43799999999999994,14,0.938,15,"January 9, 2019",57.1,12,6.3,2,97.2,72.2,26,0.436,55,0.382,21,0.509,28,0.893,25,3,200,102.8,25.9,7,16,73,,9.9,7,0.382,21,0.28600000000000003,6,52.4,33,0.534,14.0,11,34,0.441,15,0.8,12,"Liacouras Center, Philadelphia, Pennsylvania",HOUSTON,Houston,71.2,Home,TEMPLE,Temple,Houston,aac,15,False,False,False,Away,False,10,14,61,30,63,6,15,55,0,1,135,267,923,0.508667388949079,588,1049,0.5605338417540515,97,211,851,0.4189189189189189,1.0
16,2019-01-12-20-houston,57.1,12,3.8,1,112.9,71.4,20,0.47200000000000003,54,0.389,21,0.426,23,0.826,19,8,200,100.0,28.1,9,26,70,,7.1,5,0.444,24,0.375,9,48.3,29,0.539,19.0,15,30,0.4,12,0.467,7,"January 12, 2019",68.0,17,16.7,5,100.0,71.9,23,0.578,51,0.49,25,0.569,29,0.69,20,1,200,112.9,28.6,8,21,79,17.0,12.9,9,0.49,25,0.36,9,51.7,31,0.61,15.8,12,26,0.615,16,0.941,16,"Hofheinz Pavilion, Houston, Texas",WICHITA-STATE,Wichita State,69.9,Home,HOUSTON,Houston,Houston,aac,16,True,False,True,Home,True,9,16,51,31,60,9,12,54,1,0,145,281,984,0.5066056910569106,618,1112,0.5557553956834532,103,226,906,0.41997792494481234,0.9375
17,2019-01-16-21-southern-methodist,56.0,14,9.7,3,98.3,67.7,21,0.536,55,0.455,25,0.255,14,0.7140000000000001,10,1,200,116.9,24.1,7,15,69,21.0,6.8,4,0.4,22,0.409,9,46.7,28,0.56,6.1,4,33,0.485,16,0.9440000000000001,17,"January 16, 2019",52.4,11,6.1,2,116.9,75.9,22,0.42700000000000005,55,0.382,21,0.218,12,0.917,11,6,200,98.3,32.3,10,16,58,,0.0,0,0.436,24,0.20800000000000002,5,53.3,32,0.478,11.7,8,31,0.516,16,0.647,11,"Moody Coliseum, Dallas, Texas",SOUTHERN-METHODIST,SMU,58.7,Away,HOUSTON,Houston,Houston,aac,17,False,False,False,Away,True,9,16,55,28,60,5,16,55,1,0,154,297,1035,0.5101449275362319,649,1172,0.5537542662116041,112,238,960,0.42291666666666666,0.9411764705882353
18,2019-01-19-20-south-florida,42.1,8,26.1,6,85.7,70.0,21,0.436,47,0.40399999999999997,19,0.745,35,0.8,28,1,200,98.6,35.5,11,33,69,21.0,11.4,8,0.27699999999999997,13,0.231,3,52.5,32,0.542,19.4,15,34,0.47100000000000003,16,0.9470000000000001,18,"January 19, 2019",42.9,6,5.9,2,98.6,64.5,20,0.375,44,0.318,14,0.932,41,0.659,27,6,200,85.7,30.0,9,29,60,,5.7,4,0.47700000000000004,21,0.23800000000000002,5,47.5,29,0.473,22.5,18,23,0.391,9,0.667,12,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,70.1,Away,HOUSTON,Houston,Houston,aac,18,False,False,False,Away,True,3,16,47,32,61,5,9,44,1,0,163,313,1090,0.5114678899082569,677,1232,0.549512987012987,117,254,1015,0.4231527093596059,0.9444444444444444
19,2019-01-23-20-houston,45.0,9,9.4,3,134.3,60.9,14,0.33899999999999997,62,0.32299999999999995,20,0.177,11,0.727,8,10,200,71.4,18.6,8,20,50,,11.4,8,0.355,22,0.091,2,33.3,22,0.37200000000000005,13.0,10,40,0.45,18,0.444,8,"January 23, 2019",72.4,21,12.5,5,71.4,81.4,35,0.6609999999999999,56,0.518,29,0.429,24,0.833,20,1,200,134.3,39.1,9,9,94,17.0,5.7,4,0.429,24,0.667,16,66.7,44,0.6970000000000001,15.3,12,32,0.406,13,0.95,19,"Hofheinz Pavilion, Houston, Texas",EAST-CAROLINA,East Carolina,69.8,Home,HOUSTON,Houston,Houston,aac,19,True,False,True,Home,True,16,13,56,44,66,2,18,62,1,0,166,329,1137,0.5083553210202286,709,1293,0.5483372003093581,122,263,1059,0.421152030217186,0.9473684210526315
20,2019-01-27-14-tulsa,44.4,12,9.1,3,91.5,94.1,32,0.508,64,0.42200000000000004,27,0.21899999999999997,14,0.857,12,1,200,108.5,41.9,13,21,77,17.0,7.0,5,0.547,35,0.314,11,69.2,45,0.545,17.6,15,29,0.552,16,0.9520000000000001,20,"January 27, 2019",68.2,15,6.9,2,108.5,58.1,18,0.47200000000000003,53,0.415,22,0.434,23,0.652,15,9,200,91.5,5.9,2,13,65,,14.1,10,0.377,20,0.3,6,30.8,20,0.508,11.2,8,33,0.485,16,0.5710000000000001,12,"Donald W. Reynolds Center, Tulsa, Oklahoma",TULSA,Tulsa,71.3,Away,HOUSTON,Houston,Houston,aac,20,False,False,False,Away,True,11,16,64,45,65,6,16,53,1,0,182,342,1193,0.5155071248952221,753,1359,0.5540838852097131,124,281,1121,0.41659232827832293,0.95
21,2019-01-31-19-houston,39.1,9,2.9,1,101.4,73.5,25,0.40299999999999997,67,0.34299999999999997,23,0.209,14,0.857,12,6,200,91.7,23.7,9,23,66,,8.3,6,0.40299999999999997,27,0.29600000000000004,8,47.2,34,0.44799999999999995,9.9,8,40,0.375,15,0.7140000000000001,15,"January 31, 2019",34.8,8,15.0,6,91.7,76.3,29,0.47200000000000003,53,0.434,23,0.679,36,0.639,23,1,200,101.4,26.5,9,13,73,13.0,5.6,4,0.34,18,0.222,4,52.8,38,0.521,13.8,11,35,0.5429999999999999,19,0.955,21,"Hofheinz Pavilion, Houston, Texas",TEMPLE,Temple,72.4,Home,HOUSTON,Houston,Houston,aac,21,True,False,True,Home,True,4,19,53,38,72,8,15,67,1,0,193,358,1257,0.515115354017502,798,1424,0.5603932584269663,130,297,1174,0.4190800681431005,0.9523809523809523
22,2019-02-07-19-central-florida,52.0,13,10.0,3,94.4,82.4,28,0.5,57,0.439,25,0.491,28,0.7140000000000001,20,1,200,106.9,25.8,8,23,77,12.0,9.7,7,0.474,27,0.259,7,55.4,36,0.5479999999999999,12.6,10,30,0.6,18,0.9570000000000001,22,"February 7, 2019",52.2,12,16.7,5,106.9,74.2,23,0.5,54,0.426,23,0.5,27,0.519,14,5,200,94.4,17.6,6,23,68,,5.6,4,0.444,24,0.33299999999999996,8,44.6,29,0.509,14.3,11,30,0.5,15,0.762,16,"CFE Arena, Orlando, Florida",CENTRAL-FLORIDA,UCF,72.1,Away,HOUSTON,Houston,Houston,aac,22,False,False,False,Away,True,7,18,57,36,65,8,15,54,1,0,197,377,1310,0.5133587786259542,836,1496,0.5588235294117647,138,312,1241,0.41821112006446415,0.9545454545454546
23,2019-02-10-16-houston,27.3,6,6.3,2,110.2,55.2,16,0.39399999999999996,66,0.33299999999999996,22,0.16699999999999998,11,0.545,6,4,200,98.3,32.5,13,13,58,25.0,15.3,9,0.318,21,0.381,8,42.0,29,0.40700000000000003,5.3,4,45,0.311,14,0.833,20,"February 10, 2019",42.3,11,20.0,9,98.3,67.5,27,0.557,53,0.491,26,0.18899999999999997,10,0.6,6,1,200,110.2,44.8,13,17,65,12.0,5.1,3,0.396,21,0.33299999999999996,7,58.0,40,0.563,17.3,12,32,0.594,19,0.958,23,"Hofheinz Pavilion, Houston, Texas",CINCINNATI,Cincinnati,59.5,Home,HOUSTON,Houston,Houston,aac,23,True,False,True,Home,True,7,19,53,40,69,8,14,66,1,0,204,395,1367,0.5128017556693489,872,1561,0.5586162716207559,146,327,1295,0.42162162162162165,0.9565217391304348
24,2019-02-14-19-connecticut,69.2,18,10.0,3,95.5,75.9,22,0.583,54,0.48100000000000004,26,0.204,11,0.727,8,1,200,107.6,24.0,6,21,71,9.0,7.6,5,0.389,21,0.524,11,51.9,28,0.599,16.9,12,33,0.455,15,0.96,24,"February 14, 2019",57.1,12,9.1,3,107.6,76.0,19,0.48,51,0.41200000000000003,21,0.49,25,0.56,14,12,200,95.5,24.1,7,15,63,,7.6,5,0.41200000000000003,21,0.33299999999999996,7,48.1,26,0.501,15.1,11,30,0.467,14,0.52,13,"XL Center, Hartford, Connecticut",CONNECTICUT,UConn,66.1,Away,HOUSTON,Houston,Houston,aac,24,False,False,False,Away,True,11,15,54,28,54,7,14,51,1,0,211,414,1420,0.5144366197183099,912,1630,0.5595092024539877,154,341,1361,0.42027920646583394,0.9583333333333334
25,2019-02-17-14-tulane,62.5,20,10.5,4,69.4,90.9,30,0.555,73,0.43799999999999994,32,0.055,4,1.0,4,1,200,118.1,37.1,13,18,85,9.0,9.7,7,0.479,35,0.486,17,63.2,43,0.5670000000000001,11.8,10,38,0.395,15,0.9620000000000001,25,"February 17, 2019",61.1,11,2.6,1,118.1,62.9,22,0.366,56,0.321,18,0.268,15,0.6,9,20,200,69.4,9.1,3,9,50,,6.9,5,0.321,18,0.278,5,36.8,25,0.396,16.1,12,38,0.342,13,0.16699999999999998,4,"Devlin Fieldhouse, New Orleans, Louisiana",TULANE,Tulane,72.0,Away,HOUSTON,Houston,Houston,aac,25,False,False,False,Away,True,17,15,73,43,68,5,13,56,1,0,222,429,1474,0.5169606512890095,940,1684,0.5581947743467933,161,355,1412,0.42245042492917845,0.96
26,2019-02-23-18-houston,60.0,9,6.3,2,107.6,71.4,20,0.396,48,0.313,15,0.667,32,0.6559999999999999,21,9,200,89.4,38.2,13,20,59,,9.1,6,0.563,27,0.29600000000000004,8,53.2,33,0.467,18.4,14,21,0.33299999999999996,7,0.667,18,"February 23, 2019",52.0,13,14.3,3,89.4,61.8,21,0.547,53,0.47200000000000003,25,0.396,21,0.619,13,1,200,107.6,28.6,8,28,71,9.0,7.6,5,0.396,21,0.381,8,46.8,29,0.564,16.2,12,32,0.531,17,0.963,26,"Hofheinz Pavilion, Houston, Texas",SOUTH-FLORIDA,South Florida,65.6,Home,HOUSTON,Houston,Houston,aac,26,True,False,True,Home,True,8,17,53,29,62,8,7,48,1,0,239,444,1547,0.5187459599224306,983,1752,0.5610730593607306,166,368,1468,0.420299727520436,0.9615384615384616
27,2019-02-27-19-east-carolina,74.3,26,8.8,3,87.8,96.2,25,0.716,58,0.603,35,0.414,24,0.667,16,1,200,133.8,26.3,5,19,99,8.0,12.2,9,0.483,28,0.46399999999999997,13,66.7,30,0.713,14.9,12,30,0.733,22,0.9640000000000001,27,"February 27, 2019",56.5,13,3.3,1,133.8,73.7,14,0.5429999999999999,47,0.489,23,0.447,21,0.667,14,17,200,87.8,3.8,1,17,65,,6.8,5,0.27699999999999997,13,0.385,5,33.3,15,0.57,22.1,16,34,0.529,18,0.37,10,"Williams Arena at Minges Coliseum, Greenville, North Carolina",EAST-CAROLINA,East Carolina,74.2,Away,HOUSTON,Houston,Houston,aac,27,False,False,False,Away,True,13,22,58,30,45,5,18,47,1,0,247,461,1600,0.5196875,1012,1814,0.557883131201764,174,375,1516,0.41952506596306066,0.9629629629629629
