,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CAMPBELL_homegame,CAMPBELL_homegame2,CAMPBELL_home,CAMPBELL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-21-14-austin-peay,36.0,9,11.9,5,111.4,75.8,25,0.527,56,0.446,25,0.429,24,0.667,16,6,200,94.9,14.7,5,26,75,,7.6,6,0.46399999999999997,26,0.34600000000000003,9,44.8,30,0.556,19.4,16,30,0.5329999999999999,16,0.455,5,"December 21, 2018",38.7,12,6.7,2,94.9,85.3,29,0.556,62,0.5,31,0.452,28,0.679,19,4,200,111.4,24.2,8,23,88,,11.4,9,0.32299999999999995,20,0.35,7,55.2,37,0.584,13.9,12,42,0.5710000000000001,24,0.636,7,"McArthur Gymnasium, St. Petersburg, Florida",CAMPBELL,Campbell,78.9,Home,AUSTIN-PEAY,Austin Peay,Campbell,big-south,10,False,False,False,Away,False,9,16,56,30,67,7,24,62,0,1,99,181,586,0.5622866894197952,304,632,0.4810126582278481,76,171,551,0.5172413793103449,0.5
11,2018-12-22-12-campbell,30.8,8,8.3,2,114.8,70.6,24,0.635,48,0.542,26,0.271,13,0.615,8,9,200,113.1,40.9,9,11,69,,3.3,2,0.521,25,0.36,9,58.9,33,0.637,22.9,16,23,0.7390000000000001,17,0.182,2,"December 22, 2018",53.6,15,4.3,1,113.1,59.1,13,0.557,61,0.45899999999999996,28,0.115,7,0.28600000000000003,2,6,200,114.8,29.4,10,12,70,,14.8,9,0.607,37,0.324,12,41.1,23,0.544,9.8,7,24,0.667,16,0.5,6,"McArthur Gymnasium, St. Petersburg, Florida",ALABAMA-STATE,Alabama State,61.3,Home,CAMPBELL,Campbell,Campbell,big-south,11,True,False,True,Home,True,12,16,61,23,56,9,17,48,1,0,108,197,642,0.559190031152648,334,699,0.47782546494992845,83,195,613,0.5212071778140294,0.45454545454545453
12,2018-12-29-16-miami-fl,56.5,13,0.0,0,104.3,85.7,18,0.406,64,0.359,23,0.203,13,0.769,10,7,200,88.6,28.2,11,19,62,,17.1,12,0.5,32,0.188,6,48.3,29,0.442,13.6,11,32,0.531,17,0.462,6,"December 29, 2018",54.2,13,12.5,4,88.6,71.8,28,0.682,44,0.545,24,0.47700000000000004,21,0.619,13,4,200,104.3,14.3,3,13,73,,11.4,8,0.545,24,0.5,12,51.7,31,0.6759999999999999,25.3,18,20,0.6,12,0.667,8,"BankUnited Center, Coral Gables, Florida",CAMPBELL,Campbell,69.6,Home,MIAMI-FL,Miami (FL),Campbell,big-south,12,False,False,False,Away,False,6,17,64,29,60,12,12,44,0,1,120,213,703,0.5590327169274538,357,755,0.4728476821192053,92,212,661,0.529500756429652,0.5
13,2019-01-02-19-campbell,60.0,12,5.7,2,117.3,65.4,17,0.29100000000000004,74,0.27,20,0.135,10,0.5,5,0,200,59.3,14.8,8,17,48,,12.3,10,0.311,23,0.13,3,31.3,25,0.305,13.3,12,51,0.33299999999999996,17,0.0,0,"January 2, 2019",67.6,23,11.8,6,59.3,85.2,46,0.617,64,0.531,34,0.297,19,0.8420000000000001,16,7,200,117.3,34.6,9,12,95,,12.3,10,0.45299999999999996,29,0.379,11,68.8,55,0.65,18.1,16,35,0.657,23,0.5,7,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina","Allen
			","Allen
			",81.4,Home,CAMPBELL,Campbell,Campbell,big-south,13,True,False,True,Home,True,11,23,64,55,80,3,17,74,1,0,126,230,767,0.546284224250326,386,815,0.4736196319018405,104,224,705,0.5390070921985816,0.46153846153846156
14,2019-01-05-16-campbell,42.9,9,10.0,3,109.1,79.4,27,0.45299999999999996,53,0.396,21,0.34,18,0.722,13,6,200,92.4,26.5,9,19,61,,6.1,4,0.491,26,0.231,6,52.9,36,0.496,17.6,13,27,0.556,15,0.625,10,"January 5, 2019",61.5,16,7.4,2,92.4,73.5,25,0.49200000000000005,63,0.413,26,0.20600000000000002,13,0.769,10,7,200,109.1,20.6,7,16,72,,3.0,2,0.524,33,0.303,10,47.1,32,0.52,6.8,5,30,0.5329999999999999,16,0.5329999999999999,8,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",GARDNER-WEBB,Gardner-Webb,66.4,Home,CAMPBELL,Campbell,Campbell,big-south,14,True,False,True,Home,True,10,16,63,32,68,6,15,53,1,0,137,253,831,0.5517448856799038,441,895,0.49273743016759775,107,241,779,0.5154043645699615,0.5
15,2019-01-10-19-campbell,31.4,11,8.8,3,122.9,72.4,21,0.6509999999999999,63,0.556,35,0.20600000000000002,13,0.615,8,5,200,128.6,32.1,9,18,90,,4.3,3,0.49200000000000005,31,0.387,12,52.6,30,0.6509999999999999,12.7,10,32,0.7190000000000001,23,0.667,10,"January 10, 2019",58.6,17,6.3,2,128.6,67.9,19,0.54,62,0.46799999999999997,29,0.306,19,1.0,19,8,200,122.9,27.6,8,13,86,,4.3,3,0.452,28,0.321,9,47.4,27,0.605,9.0,7,34,0.588,20,0.5,8,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",CAMPBELL,Campbell,70.1,Away,WINTHROP,Winthrop,Campbell,big-south,15,False,True,True,Home,False,9,20,62,27,57,12,23,63,0,1,147,269,894,0.5475391498881432,473,963,0.49117341640706125,113,256,832,0.5114182692307693,0.5333333333333333
16,2019-01-16-19-north-carolina-asheville,84.0,21,10.0,3,88.3,64.0,16,0.469,65,0.385,25,0.185,12,0.75,9,8,200,116.7,41.0,16,12,70,,10.0,6,0.385,25,0.44,11,50.0,32,0.495,9.1,7,40,0.35,14,0.529,9,"January 16, 2019",38.1,8,7.5,3,116.7,59.0,23,0.522,45,0.467,21,0.222,10,0.6,6,16,200,88.3,36.0,9,16,53,,6.7,4,0.33299999999999996,15,0.33299999999999996,5,50.0,32,0.5329999999999999,26.7,18,30,0.5329999999999999,16,0.111,2,"Kimmel Arena, Asheville, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,60.2,Away,CAMPBELL,Campbell,Campbell,big-south,16,False,False,False,Away,True,11,14,65,32,64,5,16,45,1,0,156,289,956,0.547071129707113,500,1020,0.49019607843137253,125,279,895,0.5212290502793296,0.5
17,2019-01-19-17-charleston-southern,42.3,11,9.7,3,110.8,62.5,20,0.575,53,0.491,26,0.302,16,0.75,12,8,200,112.3,20.7,6,11,73,,7.7,5,0.45299999999999996,24,0.375,9,42.6,26,0.602,15.5,11,29,0.586,17,0.556,10,"January 19, 2019",57.7,15,6.9,2,112.3,79.3,23,0.525,61,0.426,26,0.14800000000000002,9,0.889,8,10,200,110.8,37.5,12,18,72,,10.8,7,0.49200000000000005,30,0.4,12,57.4,35,0.552,15.6,12,31,0.452,14,0.41200000000000003,7,"CSU Fieldhouse, Charleston, South Carolina",CHARLESTON-SOUTHERN,Charleston Southern,65.4,Away,CAMPBELL,Campbell,Campbell,big-south,17,False,False,False,Away,True,9,17,53,26,61,12,14,61,1,0,167,303,1021,0.5421155729676788,532,1084,0.4907749077490775,130,295,940,0.5212765957446809,0.5294117647058824
18,2019-01-24-19-campbell,70.8,17,0.0,0,124.2,80.0,24,0.5660000000000001,53,0.45299999999999996,24,0.321,17,0.765,13,10,200,117.7,20.7,6,11,73,,3.2,2,0.509,27,0.444,12,50.8,30,0.598,11.7,8,26,0.462,12,0.545,12,"January 24, 2019",56.7,17,7.7,2,117.7,79.3,23,0.595,58,0.517,30,0.19,11,0.727,8,8,200,124.2,20.0,6,13,77,,6.5,4,0.414,24,0.375,9,49.2,29,0.609,6.0,4,34,0.618,21,0.579,11,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",PRESBYTERIAN,Presbyterian,62.2,Home,CAMPBELL,Campbell,Campbell,big-south,18,True,False,True,Home,True,9,21,58,29,59,12,12,53,1,0,176,320,1074,0.5437616387337058,558,1145,0.4873362445414847,142,309,1001,0.5214785214785215,0.5555555555555556
19,2019-01-26-18-hampton,66.7,14,9.7,3,95.5,64.7,22,0.375,68,0.309,21,0.191,13,0.5379999999999999,7,9,200,86.6,34.8,16,18,58,,6.0,4,0.515,35,0.257,9,47.5,38,0.391,11.9,10,33,0.364,12,0.55,11,"January 26, 2019",60.0,12,15.2,5,86.6,65.2,30,0.40399999999999997,57,0.35100000000000003,20,0.40399999999999997,23,0.7829999999999999,18,10,200,95.5,35.3,12,16,64,,9.0,6,0.456,26,0.231,6,52.5,42,0.47100000000000003,11.8,9,31,0.452,14,0.474,9,"Hampton Convocation Center, Hampton, Virginia",CAMPBELL,Campbell,66.6,Home,HAMPTON,Hampton,Campbell,big-south,19,False,False,False,Away,False,9,12,68,38,80,6,14,57,0,1,185,341,1132,0.5463780918727915,587,1204,0.48754152823920266,154,321,1054,0.523719165085389,0.5789473684210527
20,2019-01-30-19-radford,57.1,12,13.9,5,100.0,80.0,24,0.509,55,0.382,21,0.273,15,0.8,12,9,200,101.5,20.6,7,17,68,,10.4,7,0.5820000000000001,32,0.43799999999999994,14,48.4,31,0.547,14.0,10,23,0.304,7,0.5710000000000001,12,"January 30, 2019",57.7,15,0.0,0,101.5,79.4,27,0.518,56,0.46399999999999997,26,0.268,15,0.6,9,7,200,100.0,20.0,6,16,67,,7.5,5,0.35700000000000004,20,0.3,6,51.6,33,0.531,16.1,12,36,0.556,20,0.682,15,"Donald N. Dedmon Center, Radford, Virginia",RADFORD,Radford,67.1,Away,CAMPBELL,Campbell,Campbell,big-south,20,False,False,False,Away,True,14,7,55,31,64,6,20,56,1,0,194,353,1200,0.5366666666666666,625,1284,0.4867601246105919,160,335,1111,0.5175517551755175,0.55
21,2019-02-02-14-campbell,50.0,10,5.9,1,123.9,87.5,21,0.615,39,0.513,20,0.513,20,0.7,14,12,200,92.5,11.8,2,25,62,,9.0,6,0.5379999999999999,21,0.381,8,56.1,23,0.639,29.5,20,18,0.667,12,0.52,13,"February 2, 2019",75.0,18,0.0,0,92.5,88.2,15,0.65,50,0.48,24,0.4,20,0.9,18,9,200,123.9,12.5,3,18,83,,6.0,4,0.66,33,0.515,17,43.9,18,0.6970000000000001,15.8,11,17,0.41200000000000003,7,0.591,13,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",LONGWOOD,Longwood,67.0,Home,CAMPBELL,Campbell,Campbell,big-south,21,True,False,True,Home,True,17,7,50,18,41,8,12,39,1,0,208,360,1255,0.5354581673306773,656,1348,0.486646884272997,166,355,1167,0.517566409597258,0.5714285714285714
22,2019-02-07-19-high-point,57.9,11,15.4,4,100.0,61.5,16,0.40399999999999997,52,0.365,19,0.308,16,0.875,14,10,200,98.2,30.0,9,11,56,,17.5,10,0.5,26,0.154,4,44.6,25,0.47,9.2,6,26,0.5770000000000001,15,0.565,13,"February 7, 2019",57.9,11,0.0,0,98.2,70.0,21,0.489,46,0.413,19,0.304,14,0.857,12,10,200,100.0,38.5,10,13,57,,7.0,4,0.435,20,0.35,7,55.4,31,0.541,21.2,14,26,0.462,12,0.565,13,"Millis Center, High Point, North Carolina",CAMPBELL,Campbell,56.6,Home,HIGH-POINT,High Point,Campbell,big-south,22,False,False,False,Away,False,4,15,52,25,56,7,12,46,0,1,225,367,1305,0.5398467432950191,674,1389,0.48524118070554356,174,367,1206,0.5207296849087893,0.5909090909090909
23,2019-02-09-16-campbell,42.9,9,0.0,0,120.6,95.0,19,0.48,49,0.429,21,0.51,25,0.76,19,20,200,97.1,20.0,6,21,66,,4.4,3,0.36700000000000005,18,0.278,5,50.0,25,0.542,20.0,15,31,0.516,16,0.231,6,"February 9, 2019",53.8,14,3.2,1,97.1,80.0,24,0.682,44,0.591,26,0.614,27,0.815,22,10,200,120.6,5.0,1,21,82,,10.3,7,0.455,20,0.4,8,50.0,25,0.722,15.2,10,24,0.75,18,0.583,14,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,67.9,Home,CAMPBELL,Campbell,Campbell,big-south,23,True,False,True,Home,True,8,18,44,25,50,5,16,49,1,0,229,382,1357,0.5346352247605011,699,1445,0.48373702422145326,181,379,1252,0.5195686900958466,0.5652173913043478
24,2019-02-13-19-campbell,53.6,15,6.7,2,122.5,85.2,23,0.523,65,0.431,28,0.292,19,0.8420000000000001,16,14,200,118.3,26.5,9,23,84,,7.0,5,0.508,33,0.364,12,52.5,32,0.5670000000000001,9.8,8,32,0.5,16,0.41700000000000004,10,"February 13, 2019",59.3,16,12.5,4,118.3,73.5,25,0.604,53,0.509,27,0.528,28,0.821,23,10,200,122.5,14.8,4,16,87,,2.8,2,0.434,23,0.435,10,47.5,29,0.6559999999999999,9.7,7,30,0.5670000000000001,17,0.6,15,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",HAMPTON,Hampton,71.2,Home,CAMPBELL,Campbell,Campbell,big-south,24,True,False,True,Home,True,10,17,53,29,61,12,16,65,1,0,237,400,1401,0.5392576730906495,724,1495,0.4842809364548495,186,395,1301,0.5180630284396618,0.5833333333333334
25,2019-02-16-16-presbyterian,39.1,9,12.1,4,111.8,76.0,19,0.44799999999999995,58,0.397,23,0.345,20,0.95,19,11,200,104.4,29.4,10,14,71,,7.4,5,0.36200000000000004,21,0.28600000000000003,6,49.2,29,0.526,14.1,11,37,0.45899999999999996,17,0.5770000000000001,15,"February 16, 2019",68.0,17,5.4,2,104.4,70.6,24,0.556,54,0.46299999999999997,25,0.40700000000000003,22,0.727,16,12,200,111.8,24.0,6,16,76,,8.8,6,0.389,21,0.47600000000000003,10,50.8,30,0.59,13.6,10,33,0.455,15,0.5710000000000001,16,"Ross E.Templeton Center, Clinton, South Carolina",CAMPBELL,Campbell,68.5,Home,PRESBYTERIAN,Presbyterian,Campbell,big-south,25,False,False,False,Away,False,6,17,58,29,59,10,15,54,0,1,247,417,1454,0.5416093535075653,753,1556,0.4839331619537275,198,411,1366,0.5183016105417276,0.6
26,2019-02-21-21-campbell,52.9,9,3.4,1,100.0,78.4,29,0.38,50,0.34,17,0.28,14,0.7140000000000001,10,13,200,78.7,30.0,9,14,48,,3.3,2,0.34,17,0.235,4,56.7,38,0.424,21.1,15,33,0.39399999999999996,13,0.519,14,"February 21, 2019",56.5,13,21.2,7,78.7,70.0,21,0.441,59,0.39,23,0.18600000000000003,11,0.818,9,11,200,100.0,21.6,8,12,61,,14.8,9,0.508,30,0.2,6,43.3,29,0.475,5.9,4,29,0.586,17,0.593,16,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",HIGH-POINT,High Point,61.4,Home,CAMPBELL,Campbell,Campbell,big-south,26,True,False,True,Home,True,6,17,59,29,67,4,13,50,1,0,253,434,1512,0.5380291005291006,782,1615,0.4842105263157895,208,426,1420,0.5197183098591549,0.5769230769230769
