,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,OREGON_homegame,OREGON_homegame2,OREGON_home,OREGON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
28,2019-03-02-22-oregon,46.7,7,5.1,2,112.3,81.3,26,0.396,48,0.313,15,0.375,18,0.5,9,13,200,72.3,17.1,6,16,47,,4.6,3,0.5,24,0.33299999999999996,8,47.8,32,0.41600000000000004,21.2,15,24,0.292,7,0.5670000000000001,17,"March 2, 2019",33.3,9,20.8,5,72.3,82.9,29,0.508,61,0.44299999999999995,27,0.23,14,0.7859999999999999,11,12,200,112.3,18.8,6,16,73,,16.9,11,0.361,22,0.364,8,52.2,35,0.54,4.3,3,39,0.48700000000000004,19,0.586,17,"Matthew Knight Arena, Eugene, Oregon",ARIZONA,Arizona,65.1,Home,OREGON,Oregon,Oregon,pac-12,28,True,False,True,Home,True,8,19,61,35,67,8,7,48,1,0,214,488,1571,0.5149586250795671,877,1694,0.5177095631641087,208,413,1500,0.48333333333333334,0.5714285714285714
29,2019-03-06-23-washington-state,51.7,15,12.5,4,89.7,78.6,22,0.5760000000000001,59,0.49200000000000005,29,0.16899999999999998,10,0.4,4,12,200,105.9,15.6,5,15,72,,16.2,11,0.33899999999999997,20,0.5,10,45.0,27,0.565,12.4,9,39,0.48700000000000004,19,0.6,18,"March 6, 2019",71.4,15,12.8,5,105.9,84.4,27,0.48,50,0.42,21,0.32,16,0.813,13,19,200,89.7,21.4,6,15,61,,7.4,5,0.36,18,0.33299999999999996,6,55.0,33,0.53,23.0,17,32,0.469,15,0.36700000000000005,11,"Beasley Coliseum, Pullman, Washington",WASHINGTON-STATE,Washington State,68.2,Away,OREGON,Oregon,Oregon,pac-12,29,False,False,False,Away,True,10,19,59,27,60,6,15,50,1,0,222,507,1632,0.5147058823529411,912,1761,0.5178875638841567,216,420,1548,0.4806201550387597,0.5862068965517241
30,2019-03-09-22-washington,42.9,9,7.1,2,71.2,87.1,27,0.469,49,0.429,21,0.34700000000000003,17,0.529,9,12,200,83.3,31.0,9,19,55,,12.1,8,0.449,22,0.182,4,60.0,36,0.48200000000000004,22.1,16,27,0.63,17,0.613,19,"March 9, 2019",25.0,4,14.8,4,83.3,69.0,20,0.365,48,0.33299999999999996,16,0.354,17,0.706,12,7,200,71.2,12.9,4,18,47,,12.1,8,0.41700000000000004,20,0.15,3,40.0,24,0.419,21.3,15,28,0.46399999999999997,13,0.774,24,"Alaska Airlines Arena, Seattle, Washington",WASHINGTON,Washington,65.6,Away,OREGON,Oregon,Oregon,pac-12,30,False,False,False,Away,True,4,17,49,36,60,3,13,48,1,0,232,526,1691,0.5168539325842697,939,1821,0.515650741350906,222,435,1598,0.4806007509386733,0.6
31,2019-03-13-23-oregon,81.3,13,2.6,1,116.7,60.0,21,0.375,52,0.308,16,0.308,16,0.75,12,21,200,70.8,25.0,8,13,51,,6.9,5,0.615,32,0.21899999999999997,7,43.3,29,0.428,25.3,20,20,0.45,9,0.344,11,"March 13, 2019",48.5,16,15.0,3,70.8,75.0,24,0.5670000000000001,67,0.493,33,0.149,10,0.8,8,12,200,116.7,40.0,14,19,84,,19.4,14,0.418,28,0.35700000000000004,10,56.7,38,0.585,16.4,14,39,0.59,23,0.625,20,"T-Mobile Arena, Las Vegas, Nevada",WASHINGTON-STATE,Washington State,71.7,Home,OREGON,Oregon,Oregon,pac-12,31,True,False,True,Home,True,10,23,67,38,67,7,9,52,1,0,236,543,1740,0.5155172413793103,975,1881,0.518341307814992,225,448,1646,0.47721749696233295,0.6129032258064516
32,2019-03-14-23-utah,36.0,9,20.0,6,83.1,75.0,24,0.474,57,0.439,25,0.263,15,0.8,12,12,200,101.5,26.7,8,18,66,,9.2,6,0.24600000000000002,14,0.28600000000000003,4,51.6,32,0.515,11.2,8,43,0.488,21,0.636,21,"March 14, 2019",38.9,7,9.3,4,101.5,73.3,22,0.358,53,0.34,18,0.377,20,0.8,16,14,200,83.1,25.0,8,16,54,,4.6,3,0.434,23,0.087,2,48.4,30,0.43200000000000005,16.3,12,30,0.5329999999999999,16,0.5479999999999999,17,"T-Mobile Arena, Las Vegas, Nevada",UTAH,Utah,65.3,Away,OREGON,Oregon,Oregon,pac-12,32,False,False,False,Away,True,4,21,57,32,62,2,16,53,1,0,246,566,1807,0.5174322080796901,1013,1948,0.5200205338809035,232,457,1698,0.4740871613663133,0.625
33,2019-03-15-23-arizona-state,46.4,13,27.0,10,100.0,71.0,22,0.493,67,0.418,28,0.358,24,0.542,13,12,225,105.3,29.7,11,23,79,,10.7,8,0.38799999999999996,26,0.385,10,48.5,33,0.504,9.4,8,41,0.439,18,0.647,22,"March 15, 2019",59.1,13,17.1,7,105.3,70.3,26,0.473,55,0.4,22,0.564,31,0.742,23,10,225,100.0,29.0,9,20,75,,5.3,4,0.327,18,0.444,8,51.5,35,0.5379999999999999,16.9,14,37,0.37799999999999995,14,0.688,22,"T-Mobile Arena, Las Vegas, Nevada",ARIZONA-STATE,Arizona State,66.7,Away,OREGON,Oregon,Oregon,pac-12,33,False,False,False,Away,True,10,18,67,33,68,8,14,55,1,0,250,587,1864,0.5160944206008584,1045,2010,0.5199004975124378,234,473,1751,0.47058823529411764,0.6363636363636364
34,2019-03-16-22-washington,52.4,11,12.9,4,80.0,76.5,26,0.6,40,0.525,21,0.55,22,0.909,20,12,200,113.3,33.3,6,15,68,,13.3,8,0.35,14,0.429,6,61.5,32,0.674,20.7,13,26,0.5770000000000001,15,0.657,23,"March 16, 2019",50.0,9,11.5,3,113.3,66.7,12,0.38,54,0.33299999999999996,18,0.14800000000000002,8,0.875,7,8,200,80.0,23.5,8,18,48,,13.3,8,0.426,23,0.217,5,38.5,20,0.415,18.4,13,31,0.419,13,0.765,26,"T-Mobile Arena, Las Vegas, Nevada",WASHINGTON,Washington,60.1,Away,OREGON,Oregon,Oregon,pac-12,34,False,False,False,Away,True,6,15,40,32,52,5,13,54,1,0,260,605,1931,0.5152770585189022,1078,2078,0.5187680461982676,242,487,1806,0.4706533776301218,0.6470588235294118
35,2019-03-22-16-wisconsin,42.9,12,16.7,5,84.4,65.0,26,0.618,51,0.5489999999999999,28,0.21600000000000003,11,0.818,9,12,200,112.5,21.7,5,14,72,12.0,9.4,6,0.294,15,0.467,7,49.2,31,0.64,16.5,11,36,0.583,21,0.667,24,"March 22, 2019",45.0,9,2.8,1,112.5,78.3,18,0.38299999999999995,60,0.33299999999999996,20,0.217,13,0.615,8,11,200,84.4,35.0,14,15,54,5.0,12.5,8,0.5,30,0.2,6,50.8,32,0.408,16.5,13,30,0.467,14,0.6759999999999999,23,"SAP Center, San Jose, California",WISCONSIN,Wisconsin,63.7,Away,OREGON,Oregon,Oregon,pac-12,35,False,False,False,Away,True,7,21,51,31,63,6,14,60,1,0,266,620,1971,0.5169964485032978,1110,2130,0.5211267605633803,247,500,1860,0.46801075268817205,0.6571428571428571
36,2019-03-24-21-oregon,30.0,6,8.8,3,121.7,65.6,21,0.441,51,0.392,20,0.255,13,0.6920000000000001,9,6,200,90.0,39.1,9,12,54,13.0,3.3,2,0.353,18,0.278,5,54.5,30,0.47200000000000003,19.8,14,33,0.455,15,0.838,31,"March 24, 2019",51.9,14,24.2,8,90.0,60.9,14,0.568,59,0.45799999999999996,27,0.136,8,0.75,6,12,200,121.7,34.4,11,15,73,12.0,11.7,7,0.424,25,0.52,13,45.5,25,0.581,8.8,6,34,0.41200000000000003,14,0.6759999999999999,25,"SAP Center, San Jose, California",CALIFORNIA-IRVINE,UC-Irvine,60.0,Home,OREGON,Oregon,Oregon,pac-12,36,True,False,True,Home,True,13,14,59,25,55,5,15,51,1,0,273,641,2022,0.5195351137487636,1141,2193,0.5202918376652986,253,514,1920,0.46536458333333336,0.6666666666666666
37,2019-03-28-21-virginia,47.1,8,4.3,1,94.6,75.0,24,0.478,45,0.37799999999999995,17,0.17800000000000002,8,0.75,6,13,200,87.5,17.9,5,14,49,12.0,8.9,5,0.556,25,0.36,9,48.3,29,0.502,17.1,10,20,0.4,8,0.6579999999999999,25,"March 28, 2019",70.0,14,10.0,2,87.5,82.1,23,0.43799999999999994,56,0.35700000000000004,20,0.08900000000000001,5,0.8,4,3,200,94.6,25.0,8,13,53,1.0,7.1,4,0.589,33,0.273,9,51.7,31,0.45399999999999996,12.1,8,23,0.478,11,0.914,32,"KFC Yum! Center, Louisville, Kentucky",OREGON,Oregon,56.1,Home,VIRGINIA,Virginia,Oregon,pac-12,37,False,False,False,Away,False,9,8,45,29,60,9,11,56,0,1,286,655,2081,0.5209034118212398,1166,2248,0.5186832740213523,258,529,1971,0.46473871131405375,0.6756756756756757
