,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HOLY-CROSS_homegame,HOLY-CROSS_homegame2,HOLY-CROSS_home,HOLY-CROSS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-20-14-holy-cross,52.2,12,0.0,0,95.6,77.1,27,0.473,56,0.41100000000000003,23,0.23199999999999998,13,0.769,10,7,200,92.6,33.3,11,17,63,,8.8,6,0.41100000000000003,23,0.304,7,55.9,38,0.507,20.6,16,33,0.485,16,0.3,3,"December 20, 2018",61.5,16,18.2,6,92.6,66.7,22,0.483,58,0.44799999999999995,26,0.276,16,0.563,9,4,200,95.6,22.9,8,13,65,,10.3,7,0.36200000000000004,21,0.19,4,44.1,30,0.495,15.6,12,37,0.595,22,0.636,7,"Hart Recreation Center, Worcester, Massachusetts",CANISIUS,Canisius,68.4,Home,HOLY-CROSS,Holy Cross,Holy Cross,patriot,10,True,False,True,Home,True,4,22,58,30,68,7,16,56,1,0,73,182,564,0.5168439716312057,257,604,0.42549668874172186,62,173,542,0.4907749077490775,0.6
11,2018-12-22-12-holy-cross,65.2,15,6.1,2,115.4,72.7,16,0.509,54,0.426,23,0.055999999999999994,3,0.667,2,8,200,109.6,32.3,10,12,57,,5.8,3,0.611,33,0.273,9,49.1,26,0.514,14.0,9,21,0.667,14,0.33299999999999996,4,"December 22, 2018",56.0,14,9.5,2,109.6,67.7,21,0.62,46,0.5429999999999999,25,0.152,7,0.429,3,4,200,115.4,27.3,6,9,60,,5.8,3,0.28300000000000003,13,0.5379999999999999,7,50.9,27,0.608,12.5,7,33,0.545,18,0.667,8,"Hart Recreation Center, Worcester, Massachusetts",SIENA,Siena,52.4,Home,HOLY-CROSS,Holy Cross,Holy Cross,patriot,11,True,False,True,Home,True,7,18,46,27,53,9,14,54,1,0,77,204,622,0.5136655948553055,287,672,0.4270833333333333,69,189,598,0.4891304347826087,0.6363636363636364
12,2018-12-30-13-iona,62.1,18,15.4,6,107.6,71.9,23,0.63,54,0.537,29,0.24100000000000002,13,0.769,10,4,200,118.2,28.0,7,17,78,,7.6,5,0.444,24,0.41700000000000004,10,52.6,30,0.648,17.9,13,30,0.633,19,0.6920000000000001,9,"December 30, 2018",28.6,8,10.0,3,118.2,72.0,18,0.535,57,0.491,28,0.298,17,0.588,10,9,200,107.6,28.1,9,15,71,,6.1,4,0.316,18,0.278,5,47.4,27,0.546,12.2,9,39,0.59,23,0.182,2,"Hynes Athletics Center, New Rochelle, New York",IONA,Iona,65.6,Away,HOLY-CROSS,Holy Cross,Holy Cross,patriot,12,False,False,False,Away,True,10,19,54,30,57,5,23,57,1,0,84,222,668,0.5209580838323353,314,725,0.43310344827586206,78,203,652,0.49079754601226994,0.6666666666666666
13,2019-01-03-19-loyola-md,73.1,19,12.5,4,102.8,86.4,19,0.588,51,0.51,26,0.5489999999999999,28,0.7140000000000001,20,4,200,112.7,24.1,7,14,80,,14.1,10,0.353,18,0.444,8,51.0,26,0.622,15.9,12,33,0.545,18,0.7140000000000001,10,"January 3, 2019",38.5,10,6.1,2,112.7,75.9,22,0.57,50,0.52,26,0.42,21,0.762,16,10,200,102.8,13.6,3,20,73,,8.5,6,0.36,18,0.278,5,49.0,25,0.609,21.3,16,32,0.6559999999999999,21,0.28600000000000003,4,"Reitz Arena, Baltimore, Maryland",LOYOLA-MD,Loyola (MD),71.1,Away,HOLY-CROSS,Holy Cross,Holy Cross,patriot,13,False,False,False,Away,True,8,18,51,26,51,5,21,50,1,0,94,241,722,0.5290858725761773,344,782,0.4398976982097187,83,226,709,0.49435825105782794,0.6923076923076923
14,2019-01-06-13-navy,61.1,11,9.4,3,76.9,62.9,22,0.418,49,0.36700000000000005,18,0.184,9,0.778,7,5,200,73.8,9.4,3,15,48,,10.8,7,0.408,20,0.25,5,37.3,25,0.45,20.9,14,29,0.44799999999999995,13,0.667,10,"January 6, 2019",80.0,16,6.9,2,73.8,90.6,29,0.42,56,0.35700000000000004,20,0.161,9,0.33299999999999996,3,8,200,76.9,37.1,13,11,50,,9.2,6,0.429,24,0.292,7,62.7,42,0.415,23.1,18,32,0.406,13,0.385,5,"Alumni Hall, Annapolis, Maryland",HOLY-CROSS,Holy Cross,64.8,Home,NAVY,Navy,Holy Cross,patriot,14,False,False,False,Away,False,5,13,49,25,67,7,13,56,0,1,102,259,773,0.5329883570504528,370,833,0.44417767106842737,88,247,759,0.4993412384716733,0.7142857142857143
15,2019-01-09-19-holy-cross,45.2,14,2.5,1,116.0,90.0,27,0.5920000000000001,65,0.47700000000000004,31,0.462,30,0.733,22,4,225,122.2,18.9,7,20,99,,4.9,4,0.508,33,0.455,15,50.7,34,0.625,10.3,9,32,0.5,16,0.7140000000000001,10,"January 9, 2019",61.8,21,15.6,5,122.2,81.1,30,0.6559999999999999,61,0.557,34,0.377,23,0.609,14,6,225,116.0,10.0,3,19,94,,6.2,5,0.344,21,0.5710000000000001,12,49.3,33,0.653,13.4,11,40,0.55,22,0.625,10,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,71.6,Away,LEHIGH,Lehigh,Holy Cross,patriot,15,False,True,True,Home,False,12,22,61,33,67,15,16,65,0,1,107,272,822,0.5261557177615572,395,900,0.4388888888888889,95,260,815,0.4938650306748466,0.6666666666666666
16,2019-01-12-15-holy-cross,51.9,14,7.5,3,126.2,74.1,20,0.605,57,0.474,27,0.018000000000000002,1,1.0,1,11,200,114.8,14.8,4,13,70,,3.3,2,0.491,28,0.536,15,44.4,24,0.609,12.2,8,29,0.414,12,0.267,4,"January 12, 2019",60.0,18,13.8,4,114.8,85.2,23,0.63,54,0.556,30,0.278,15,0.6,9,6,200,126.2,25.9,7,6,77,,8.2,5,0.259,14,0.5710000000000001,8,55.6,30,0.63,10.4,7,40,0.55,22,0.647,11,"Hart Recreation Center, Worcester, Massachusetts",LAFAYETTE,Lafayette,61.3,Home,HOLY-CROSS,Holy Cross,Holy Cross,patriot,16,True,False,True,Home,True,8,22,54,30,54,15,12,57,1,0,119,294,883,0.5351075877689694,428,967,0.44260599793174765,110,276,880,0.5011363636363636,0.625
17,2019-01-14-19-bucknell,54.8,17,12.5,3,132.9,57.1,16,0.574,61,0.508,31,0.213,13,0.615,8,7,200,111.4,31.0,9,18,78,,7.1,5,0.344,21,0.381,8,43.9,25,0.581,15.2,12,40,0.575,23,0.611,11,"January 14, 2019",74.2,23,7.5,3,111.4,69.0,20,0.617,60,0.517,31,0.36700000000000005,22,0.8640000000000001,19,7,200,132.9,42.9,12,22,93,,14.3,10,0.6,36,0.33299999999999996,12,56.1,32,0.66,14.7,12,24,0.792,19,0.588,10,"Sojka Pavilion, Lewisburg, Pennsylvania",HOLY-CROSS,Holy Cross,70.3,Home,BUCKNELL,Bucknell,Holy Cross,patriot,17,False,False,False,Away,False,8,23,61,25,57,12,19,60,0,1,127,316,937,0.540554962646745,458,1021,0.4485798237022527,125,288,937,0.5074706510138741,0.6470588235294118
18,2019-01-19-12-holy-cross,48.1,13,3.7,1,100.0,75.0,21,0.5579999999999999,52,0.519,27,0.231,12,0.75,9,12,225,103.1,33.3,8,12,67,,20.0,13,0.26899999999999996,14,0.28600000000000003,4,55.8,29,0.581,22.9,17,38,0.605,23,0.368,7,"January 19, 2019",54.2,13,10.5,4,103.1,66.7,16,0.5670000000000001,52,0.462,24,0.17300000000000001,9,0.667,6,8,225,100.0,25.0,7,13,65,,23.1,15,0.48100000000000004,25,0.44,11,44.2,23,0.578,20.0,14,27,0.48100000000000004,13,0.579,11,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,57.8,Away,LOYOLA-MD,Loyola (MD),Holy Cross,patriot,18,False,True,True,Home,False,11,13,52,23,52,4,23,52,0,1,135,339,998,0.5425851703406813,483,1078,0.44805194805194803,137,307,997,0.5140421263791374,0.6111111111111112
19,2019-01-23-19-army,39.1,9,14.3,3,124.6,78.9,15,0.48200000000000004,55,0.418,23,0.16399999999999998,9,0.444,4,9,200,93.4,15.2,5,18,57,,16.4,10,0.418,23,0.304,7,38.5,20,0.48100000000000004,10.6,7,32,0.5,16,0.55,11,"January 23, 2019",80.8,21,0.0,0,93.4,84.8,28,0.7,45,0.578,26,0.37799999999999995,17,0.765,13,10,200,124.6,21.1,4,13,76,,6.6,4,0.5329999999999999,24,0.45799999999999996,11,61.5,32,0.716,18.6,12,21,0.7140000000000001,15,0.5,10,"Christl Arena, West Point, New York",HOLY-CROSS,Holy Cross,61.2,Home,ARMY,Army,Holy Cross,patriot,19,False,False,False,Away,False,7,16,55,20,52,11,15,45,0,1,146,352,1050,0.5438095238095239,506,1130,0.44778761061946903,141,330,1049,0.5162059103908484,0.5789473684210527
20,2019-01-26-15-holy-cross,76.2,16,0.0,0,113.1,83.9,26,0.491,55,0.382,21,0.23600000000000002,13,0.769,10,13,200,104.9,38.5,10,13,64,,4.9,3,0.545,30,0.4,12,63.2,36,0.523,17.6,13,25,0.36,9,0.316,6,"January 26, 2019",79.2,19,16.0,4,104.9,61.5,16,0.5660000000000001,53,0.45299999999999996,24,0.226,12,0.75,9,9,200,113.1,16.1,5,15,69,,18.0,11,0.358,19,0.632,12,36.8,21,0.588,7.9,5,34,0.353,12,0.5710000000000001,12,"Hart Recreation Center, Worcester, Massachusetts",NAVY,Navy,61.4,Home,HOLY-CROSS,Holy Cross,Holy Cross,patriot,20,True,False,True,Home,True,12,12,53,21,57,12,9,55,1,0,153,368,1105,0.5407239819004525,526,1182,0.4450084602368866,152,345,1094,0.5237659963436929,0.55
21,2019-01-30-19-boston-university,63.2,12,15.6,5,109.7,58.3,14,0.451,51,0.373,19,0.196,10,0.8,8,10,200,87.1,6.5,2,11,54,,14.5,9,0.47100000000000003,24,0.33299999999999996,8,29.1,16,0.484,12.6,8,27,0.40700000000000003,11,0.545,12,"January 30, 2019",59.3,16,11.1,3,87.1,93.5,29,0.625,52,0.519,27,0.096,5,0.6,3,12,200,109.7,41.7,10,10,68,,9.7,6,0.385,20,0.55,11,70.9,39,0.625,23.9,17,32,0.5,16,0.455,10,"Case Gym, Boston, Massachusetts",HOLY-CROSS,Holy Cross,61.6,Home,BOSTON-UNIVERSITY,Boston University,Holy Cross,patriot,21,False,False,False,Away,False,8,11,51,16,55,11,16,52,0,1,165,380,1158,0.5418825561312608,547,1239,0.44148506860371267,164,354,1149,0.5221932114882507,0.5714285714285714
22,2019-02-02-14-american,35.0,7,3.0,1,103.1,69.0,20,0.375,56,0.35700000000000004,20,0.214,12,0.583,7,11,200,76.6,21.9,7,15,49,,9.4,6,0.268,15,0.133,2,44.3,27,0.397,15.2,11,41,0.439,18,0.522,12,"February 2, 2019",68.0,17,12.2,5,76.6,78.1,25,0.528,54,0.46299999999999997,25,0.222,12,0.75,9,9,200,103.1,31.0,9,13,66,,14.1,9,0.389,21,0.33299999999999996,7,55.7,34,0.5529999999999999,16.8,12,33,0.545,18,0.5710000000000001,12,"Bender Arena, Washington, District of Columbia",HOLY-CROSS,Holy Cross,64.2,Home,AMERICAN,American,Holy Cross,patriot,22,False,False,False,Away,False,2,18,56,27,61,7,18,54,0,1,173,391,1209,0.5380479735318445,563,1294,0.43508500772797526,175,370,1201,0.5266444629475437,0.5454545454545454
23,2019-02-06-19-holy-cross,78.6,11,5.3,2,81.2,93.8,30,0.321,53,0.264,14,0.18899999999999997,10,0.8,8,13,200,60.9,20.6,7,11,42,,4.3,3,0.547,29,0.207,6,56.1,37,0.364,24.9,19,24,0.33299999999999996,8,0.45799999999999996,11,"February 6, 2019",58.3,14,25.0,6,60.9,79.4,27,0.449,59,0.40700000000000003,24,0.068,4,0.75,3,11,200,81.2,6.3,2,12,56,,20.3,14,0.35600000000000004,21,0.23800000000000002,5,43.9,29,0.46,12.9,9,38,0.5,19,0.542,13,"Hart Recreation Center, Worcester, Massachusetts",ARMY,Army,68.8,Home,HOLY-CROSS,Holy Cross,Holy Cross,patriot,23,True,False,True,Home,True,5,19,59,29,66,6,8,53,1,0,175,409,1265,0.5308300395256917,590,1355,0.4354243542435424,182,388,1255,0.5266932270916335,0.5217391304347826
24,2019-02-10-12-lafayette,46.4,13,8.7,2,103.0,71.4,20,0.544,57,0.491,28,0.21100000000000002,12,0.41700000000000004,5,12,200,100.0,25.9,7,15,67,,13.4,9,0.281,16,0.375,6,49.1,27,0.534,16.2,12,41,0.537,22,0.52,13,"February 10, 2019",85.7,18,9.8,4,100.0,74.1,20,0.5379999999999999,52,0.40399999999999997,21,0.308,16,0.813,13,16,200,103.0,28.6,8,10,69,,13.4,9,0.5579999999999999,29,0.483,14,50.9,28,0.579,20.3,15,23,0.304,7,0.304,7,"Kirby Sports Center, Easton, Pennsylvania",HOLY-CROSS,Holy Cross,67.2,Home,LAFAYETTE,Lafayette,Holy Cross,patriot,24,False,False,False,Away,False,6,22,57,27,55,14,7,52,0,1,180,428,1324,0.527190332326284,619,1421,0.43560872624912034,188,396,1308,0.518348623853211,0.5416666666666666
25,2019-02-13-19-holy-cross,48.0,12,4.0,1,109.4,88.9,24,0.6779999999999999,45,0.556,25,0.42200000000000004,19,0.684,13,10,200,115.6,17.4,4,10,74,,9.4,6,0.467,21,0.524,11,56.0,28,0.685,20.8,14,24,0.583,14,0.615,16,"February 13, 2019",59.3,16,4.2,1,115.6,82.6,19,0.635,52,0.519,27,0.135,7,0.5710000000000001,4,13,200,109.4,11.1,3,18,70,,7.8,5,0.519,27,0.444,12,44.0,22,0.633,16.6,11,25,0.6,15,0.5,13,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,63.7,Away,COLGATE,Colgate,Holy Cross,patriot,25,False,True,True,Home,False,12,15,52,22,50,11,14,45,0,1,186,450,1381,0.5278783490224475,646,1476,0.43766937669376693,202,403,1360,0.5191176470588236,0.52
26,2019-02-16-12-holy-cross,65.4,17,6.8,3,100.0,75.7,28,0.526,58,0.44799999999999995,26,0.22399999999999998,13,0.769,10,9,200,98.6,53.3,16,23,71,,8.3,6,0.5,29,0.31,9,65.7,44,0.5529999999999999,26.5,23,29,0.586,17,0.654,17,"February 16, 2019",40.0,10,6.9,2,98.6,46.7,14,0.449,59,0.424,25,0.441,26,0.731,19,13,200,100.0,24.3,9,15,72,,15.3,11,0.254,15,0.2,3,34.3,23,0.505,12.4,10,44,0.5,22,0.519,14,"Hart Recreation Center, Worcester, Massachusetts",BUCKNELL,Bucknell,71.8,Home,HOLY-CROSS,Holy Cross,Holy Cross,patriot,26,True,False,True,Home,True,3,22,59,23,67,9,17,58,1,0,198,465,1433,0.531751570132589,668,1526,0.43774574049803405,213,417,1405,0.5241992882562277,0.5
