,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CITADEL_homegame,CITADEL_homegame2,CITADEL_home,CITADEL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-18-19-campbell,53.8,14,3.7,1,100.0,85.0,34,0.527,56,0.46399999999999997,26,0.5539999999999999,31,0.742,23,2,200,107.9,28.1,9,14,82,,9.2,7,0.536,30,0.233,7,59.7,43,0.58,17.7,15,26,0.731,19,0.818,9,"December 18, 2018",57.1,16,11.5,3,107.9,71.9,23,0.507,67,0.418,28,0.16399999999999998,11,0.727,8,5,200,100.0,15.0,6,24,76,,7.9,6,0.597,40,0.3,12,40.3,29,0.526,12.2,10,27,0.593,16,0.5,5,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",CAMPBELL,Campbell,76.5,Away,CITADEL,Citadel,The Citadel,southern,10,False,False,False,Away,True,7,19,56,43,72,12,16,67,1,0,148,208,713,0.603085553997195,381,775,0.4916129032258065,94,202,724,0.47375690607734805,0.8
11,2018-12-29-13-citadel,63.9,23,7.1,2,110.6,67.6,25,0.688,64,0.563,36,0.391,25,0.88,22,5,200,129.4,31.0,9,23,110,,10.6,9,0.5,32,0.5,16,51.5,34,0.725,17.6,16,32,0.625,20,0.667,10,"December 29, 2018",54.8,17,12.5,4,129.4,69.0,20,0.514,73,0.425,31,0.342,25,0.76,19,3,200,110.6,32.4,12,17,94,,10.6,9,0.616,45,0.289,13,48.5,32,0.5539999999999999,14.3,14,28,0.643,18,0.75,9,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,84.9,Away,LONGWOOD,Longwood,The Citadel,southern,11,False,True,True,Home,False,13,18,73,32,66,16,20,64,0,1,155,227,769,0.5975292587776333,424,847,0.500590318772137,106,218,791,0.47661188369152974,0.8181818181818182
12,2019-01-03-19-wofford,51.9,14,2.6,1,147.4,76.2,16,0.5329999999999999,61,0.44299999999999995,27,0.311,19,0.8420000000000001,16,4,200,106.6,21.2,7,15,81,,5.3,4,0.525,32,0.344,11,42.6,23,0.578,16.8,14,29,0.552,16,0.6920000000000001,9,"January 3, 2019",55.8,24,10.3,3,106.6,78.8,26,0.789,64,0.672,43,0.203,13,0.846,11,4,200,147.4,23.8,5,16,112,,7.9,6,0.406,26,0.5770000000000001,15,57.4,31,0.7979999999999999,11.4,9,38,0.737,28,0.733,11,"Richardson Indoor Stadium, Spartanburg, South Carolina",CITADEL,Citadel,75.6,Home,WOFFORD,Wofford,The Citadel,southern,12,False,False,False,Away,False,11,16,61,23,54,15,28,64,0,1,168,245,842,0.5902612826603325,456,913,0.4994523548740416,122,238,855,0.49239766081871345,0.75
13,2019-01-05-16-furman,50.0,16,9.8,4,121.7,54.8,23,0.565,69,0.46399999999999997,32,0.11599999999999999,8,0.875,7,5,200,102.4,8.6,3,18,85,,9.6,8,0.623,43,0.326,14,33.8,26,0.584,16.2,14,26,0.6920000000000001,18,0.643,9,"January 5, 2019",40.5,15,11.5,3,102.4,91.4,32,0.551,79,0.46799999999999997,37,0.266,21,0.667,14,2,200,121.7,45.2,19,12,101,,13.3,11,0.48100000000000004,38,0.342,13,66.2,51,0.568,12.8,13,41,0.585,24,0.875,14,"Timmons Arena, Greenville, South Carolina",CITADEL,Citadel,83.4,Home,FURMAN,Furman,The Citadel,southern,13,False,False,False,Away,False,14,18,69,26,77,13,24,79,0,1,179,261,903,0.5863787375415282,479,967,0.4953464322647363,137,266,919,0.5130576713819369,0.6923076923076923
14,2019-01-10-19-citadel,60.0,24,17.9,7,92.4,78.3,36,0.662,71,0.563,40,0.085,6,0.667,4,4,200,124.1,36.7,11,16,98,,8.9,7,0.43700000000000006,31,0.452,14,61.8,47,0.664,17.8,16,40,0.65,26,0.778,14,"January 10, 2019",65.4,17,7.5,3,124.1,63.3,19,0.44,75,0.34700000000000003,26,0.133,10,0.7,7,6,200,92.4,21.7,10,11,73,,11.4,9,0.48,36,0.389,14,38.2,29,0.45799999999999996,11.2,10,39,0.308,12,0.6,9,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,79.3,Away,EAST-TENNESSEE-STATE,ETSU,The Citadel,southern,14,False,True,True,Home,False,14,12,75,29,76,14,26,71,0,1,193,279,972,0.5848765432098766,505,1044,0.4837164750957854,150,290,998,0.5160320641282565,0.6428571428571429
15,2019-01-12-13-citadel,64.5,20,8.3,3,90.1,80.4,41,0.638,58,0.534,31,0.414,24,0.833,20,14,200,103.3,28.6,8,26,94,,4.4,4,0.5,29,0.414,12,62.0,49,0.677,28.3,27,29,0.655,19,0.263,5,"January 12, 2019",28.6,8,17.2,5,103.3,71.4,20,0.392,79,0.354,28,0.342,27,0.741,20,7,200,90.1,19.6,10,21,82,,16.5,15,0.544,43,0.14,6,38.0,30,0.447,10.8,11,36,0.611,22,0.562,9,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,90.6,Away,WESTERN-CAROLINA,Western Carolina,The Citadel,southern,15,False,True,True,Home,False,6,22,79,30,79,12,19,58,0,1,207,291,1047,0.5744985673352435,534,1120,0.4767857142857143,164,316,1069,0.5257249766136576,0.6
16,2019-01-17-19-samford,57.1,16,21.9,7,112.7,68.6,24,0.493,74,0.37799999999999995,28,0.068,5,0.8,4,8,200,108.5,32.6,14,17,77,,2.8,2,0.622,46,0.37,17,48.7,38,0.504,9.5,8,28,0.39299999999999996,11,0.529,9,"January 17, 2019",55.6,15,10.7,3,108.5,67.4,29,0.523,64,0.42200000000000004,27,0.359,23,0.565,13,7,200,112.7,31.4,11,7,80,,11.3,8,0.5,32,0.406,13,51.3,40,0.534,9.7,8,32,0.43799999999999994,14,0.632,12,"Pete Hanna Center, Birmingham, Alabama",CITADEL,Citadel,71.2,Home,SAMFORD,Samford,The Citadel,southern,16,False,False,False,Away,False,17,11,74,38,78,13,14,64,0,1,213,313,1126,0.5617229129662522,564,1199,0.47039199332777315,176,335,1127,0.5314995563442768,0.5625
17,2019-01-19-16-chattanooga,41.4,12,3.4,1,101.4,79.3,23,0.478,69,0.42,29,0.174,12,0.41700000000000004,5,9,200,98.6,26.2,11,16,71,,9.7,7,0.536,37,0.21600000000000003,8,47.9,34,0.475,9.7,8,32,0.6559999999999999,21,0.5,9,"January 19, 2019",69.2,18,12.5,4,98.6,73.8,31,0.546,54,0.48100000000000004,26,0.389,21,0.667,14,10,200,101.4,20.7,6,14,73,,4.2,3,0.46299999999999997,25,0.28,7,52.1,37,0.5710000000000001,18.1,14,29,0.655,19,0.5,10,"The McKenzie Arena, Chattanooga, Tennessee",CITADEL,Citadel,71.8,Home,CHATTANOOGA,Chattanooga,The Citadel,southern,17,False,False,False,Away,False,8,21,69,34,71,7,19,54,0,1,230,324,1200,0.5575,602,1277,0.47141738449490994,189,349,1191,0.5310663308144417,0.5294117647058824
18,2019-01-24-19-north-carolina-greensboro,45.8,11,0.0,0,110.7,71.4,25,0.46,62,0.387,24,0.145,9,0.33299999999999996,3,10,200,80.0,17.5,7,16,60,,4.0,3,0.46799999999999997,29,0.31,9,42.7,32,0.45299999999999996,19.5,16,33,0.455,15,0.474,9,"January 24, 2019",60.0,18,12.1,4,80.0,82.5,33,0.5379999999999999,65,0.462,30,0.292,19,0.684,13,3,200,110.7,28.6,10,16,83,,14.7,11,0.523,34,0.294,10,57.3,43,0.561,12.0,10,31,0.645,20,0.857,18,"Greensboro Coliseum, Greensboro, North Carolina",CITADEL,Citadel,74.7,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,The Citadel,southern,18,False,False,False,Away,False,9,15,62,32,75,10,20,65,0,1,238,345,1269,0.5531914893617021,636,1348,0.47181008902077154,196,368,1245,0.5317269076305221,0.5
19,2019-01-26-13-citadel,45.8,11,10.5,4,107.7,69.4,25,0.46,62,0.387,24,0.5,31,0.8059999999999999,25,14,200,105.1,35.0,14,18,82,,11.5,9,0.452,28,0.321,9,51.3,39,0.534,14.7,13,34,0.441,15,0.33299999999999996,7,"January 26, 2019",46.9,15,8.8,3,105.1,65.0,26,0.522,68,0.47100000000000003,32,0.25,17,0.765,13,10,200,107.7,30.6,11,23,84,,6.4,5,0.441,30,0.233,7,48.7,37,0.552,16.6,15,38,0.6579999999999999,25,0.5,10,"McAlister Field House, Charleston, South Carolina",VIRGINIA-MILITARY-INSTITUTE,VMI,77.9,Home,CITADEL,Citadel,The Citadel,southern,19,True,False,True,Home,True,7,25,68,37,76,9,15,62,1,0,247,360,1331,0.5488354620586026,668,1423,0.46943078004216443,206,388,1310,0.5320610687022901,0.47368421052631576
20,2019-01-31-19-citadel,76.0,19,15.2,5,85.9,76.9,20,0.573,55,0.455,25,0.23600000000000002,13,0.615,8,5,200,100.0,21.4,6,19,71,,15.5,11,0.727,40,0.325,13,48.1,26,0.58,18.7,14,15,0.8,12,0.773,17,"January 31, 2019",33.3,7,6.7,1,100.0,78.6,22,0.452,52,0.40399999999999997,21,0.34600000000000003,18,0.778,14,11,200,85.9,23.1,6,16,61,,12.7,9,0.365,19,0.263,5,51.9,28,0.504,24.1,19,33,0.485,16,0.47600000000000003,10,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,71.4,Away,FURMAN,Furman,The Citadel,southern,20,False,True,True,Home,False,5,16,52,28,54,13,12,55,0,1,254,385,1399,0.5475339528234453,705,1499,0.4703135423615744,215,403,1372,0.5287900874635568,0.5
21,2019-02-02-13-citadel,69.7,23,6.7,2,91.0,72.4,21,0.768,56,0.589,33,0.321,18,0.722,13,4,200,147.8,22.7,5,20,99,,7.5,5,0.589,33,0.606,20,51.0,26,0.767,11.1,8,23,0.565,13,0.826,19,"February 2, 2019",40.9,9,4.3,1,147.8,77.3,17,0.47100000000000003,52,0.423,22,0.327,17,0.706,12,12,200,91.0,27.6,8,17,61,,6.0,4,0.423,22,0.22699999999999998,5,49.0,25,0.508,19.1,14,30,0.5670000000000001,17,0.455,10,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,66.8,Away,WOFFORD,Wofford,The Citadel,southern,21,False,True,True,Home,False,5,17,52,25,51,20,13,56,0,1,259,401,1451,0.5441075120606478,733,1553,0.4719896973599485,228,415,1427,0.5304835318850736,0.47619047619047616
22,2019-02-09-16-mercer,45.5,10,9.1,4,87.1,69.0,29,0.491,53,0.415,22,0.434,23,0.652,15,12,200,95.7,25.0,9,24,67,,5.7,4,0.47200000000000003,25,0.32,8,48.7,38,0.524,20.2,16,28,0.5,14,0.478,11,"February 9, 2019",59.1,13,7.1,2,95.7,75.0,27,0.395,62,0.355,22,0.435,27,0.444,12,16,200,87.1,31.0,13,15,61,,11.4,8,0.29,18,0.278,5,51.3,40,0.408,9.8,8,44,0.386,17,0.33299999999999996,8,"Hawkins Arena, Macon, Georgia",MERCER,Mercer,70.4,Away,CITADEL,Citadel,The Citadel,southern,22,False,False,False,Away,True,8,14,53,38,78,5,17,62,1,0,264,418,1503,0.541583499667332,758,1604,0.47256857855361595,248,428,1483,0.5394470667565745,0.45454545454545453
23,2019-02-14-19-east-tennessee-state,58.6,17,11.8,4,130.0,60.7,17,0.636,59,0.49200000000000005,29,0.18600000000000003,11,0.727,8,13,200,118.6,10.0,3,17,83,,1.4,1,0.5589999999999999,33,0.515,17,34.5,20,0.6459999999999999,12.4,9,26,0.462,12,0.45799999999999996,11,"February 14, 2019",65.6,21,30.8,8,118.6,90.0,27,0.625,60,0.5329999999999999,32,0.4,24,0.667,16,7,200,130.0,39.3,11,14,91,,8.6,6,0.433,26,0.423,11,65.5,38,0.637,11.3,9,34,0.618,21,0.741,20,"Freedom Hall Civic Center, Johnson City, Tennessee",CITADEL,Citadel,69.8,Home,EAST-TENNESSEE-STATE,ETSU,The Citadel,southern,23,False,False,False,Away,False,17,12,59,20,58,11,21,60,0,1,272,432,1556,0.5398457583547558,796,1682,0.47324613555291317,253,445,1545,0.5336569579288026,0.4782608695652174
24,2019-02-16-14-western-carolina,39.3,11,13.6,3,130.4,87.5,21,0.493,67,0.418,28,0.299,20,0.8,16,14,200,103.8,20.5,8,25,82,,12.7,10,0.507,34,0.294,10,46.0,29,0.536,11.7,10,33,0.545,18,0.44,11,"February 16, 2019",70.0,21,6.1,2,103.8,79.5,31,0.76,52,0.5770000000000001,30,0.5579999999999999,29,0.828,24,21,200,130.4,12.5,3,19,103,,2.5,2,0.5770000000000001,30,0.633,19,54.0,34,0.7829999999999999,19.8,16,22,0.5,11,0.25,7,"Ramsey Center, Cullowhee, North Carolina",CITADEL,Citadel,78.6,Home,WESTERN-CAROLINA,Western Carolina,The Citadel,southern,24,False,False,False,Away,False,10,18,67,29,63,19,11,52,0,1,289,444,1615,0.5433436532507739,816,1740,0.4689655172413793,264,466,1605,0.5370716510903427,0.4583333333333333
25,2019-02-21-19-citadel,59.3,16,16.1,5,100.0,71.8,28,0.534,59,0.45799999999999996,27,0.136,8,0.625,5,16,200,104.6,30.3,10,15,68,,4.6,3,0.525,31,0.29,9,52.8,38,0.541,13.8,10,28,0.643,18,0.429,12,"February 21, 2019",42.9,9,14.3,4,104.6,69.7,23,0.41,61,0.344,21,0.27899999999999997,17,0.882,15,15,200,100.0,28.2,11,14,65,,7.7,5,0.49200000000000005,30,0.267,8,47.2,34,0.47100000000000003,12.7,10,31,0.419,13,0.423,11,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,65.4,Away,CHATTANOOGA,Chattanooga,The Citadel,southern,25,False,True,True,Home,False,8,13,61,34,72,9,18,59,0,1,299,462,1682,0.5413198573127229,845,1803,0.468663338879645,283,477,1657,0.544055522027761,0.44
26,2019-02-23-13-citadel,53.6,15,4.3,1,111.5,66.7,26,0.47200000000000003,71,0.39399999999999996,28,0.31,22,0.727,16,13,225,106.4,37.5,15,18,83,,3.8,3,0.493,35,0.314,11,51.9,41,0.51,15.7,15,36,0.47200000000000003,17,0.552,16,"February 23, 2019",67.9,19,30.6,11,106.4,62.5,25,0.514,70,0.4,28,0.243,17,0.882,15,15,225,111.5,33.3,13,19,87,,9.0,7,0.6709999999999999,47,0.34,16,48.1,38,0.557,11.4,10,23,0.522,12,0.444,12,"McAlister Field House, Charleston, South Carolina",SAMFORD,Samford,69.6,Home,CITADEL,Citadel,The Citadel,southern,26,True,False,True,Home,True,16,12,70,38,79,11,17,71,1,0,307,475,1743,0.5367183017785427,879,1875,0.4688,292,495,1716,0.5437062937062938,0.4230769230769231
27,2019-02-28-19-citadel,57.1,20,21.7,5,131.5,80.0,24,0.672,64,0.547,35,0.359,23,0.609,14,5,200,137.0,40.7,11,14,100,,6.8,5,0.563,36,0.444,16,61.4,35,0.667,11.9,10,28,0.679,19,0.833,25,"February 28, 2019",66.7,22,10.7,3,137.0,59.3,16,0.677,65,0.508,33,0.154,10,0.8,8,16,200,131.5,20.0,6,19,96,,4.1,3,0.6459999999999999,42,0.524,22,38.6,22,0.688,11.5,9,23,0.478,11,0.429,12,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,73.3,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,The Citadel,southern,27,False,True,True,Home,False,22,11,65,22,57,16,19,64,0,1,323,487,1813,0.5358521787093216,917,1954,0.4692937563971341,303,512,1787,0.5408505875769446,0.4444444444444444
