,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,VIRGINIA_homegame,VIRGINIA_homegame2,VIRGINIA_home,VIRGINIA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-22-14-virginia,18.8,3,8.1,3,124.1,66.7,16,0.34700000000000003,49,0.327,16,0.327,16,0.375,6,8,200,69.0,15.0,6,17,40,,6.9,4,0.408,20,0.1,2,34.4,22,0.353,11.1,7,29,0.483,14,0.33299999999999996,4,"December 22, 2018",50.0,12,3.4,1,69.0,85.0,34,0.53,50,0.48,24,0.42,21,0.905,19,0,200,124.1,33.3,8,17,72,5.0,6.9,4,0.26,13,0.385,5,65.6,42,0.6,10.6,7,37,0.514,19,1.0,11,"John Paul Jones Arena, Charlottesville, Virginia",WILLIAM-MARY,William & Mary,58.3,Home,VIRGINIA,Virginia,Virginia,acc,10,True,False,True,Home,True,5,19,50,42,64,2,14,49,1,0,83,169,538,0.5455390334572491,306,586,0.5221843003412969,46,147,503,0.4294234592445328,1.0
11,2018-12-31-13-virginia,25.0,5,11.4,4,131.6,53.3,16,0.40399999999999997,57,0.35100000000000003,20,0.40399999999999997,23,0.7829999999999999,18,6,200,84.2,14.3,5,20,64,,14.5,11,0.386,22,0.273,6,32.3,21,0.47100000000000003,16.2,13,35,0.4,14,0.5379999999999999,7,"December 31, 2018",54.5,18,14.3,5,84.2,85.7,30,0.629,62,0.532,33,0.419,26,0.846,22,0,200,131.6,46.7,14,18,100,4.0,9.2,7,0.435,27,0.444,12,67.7,44,0.672,17.9,16,35,0.6,21,1.0,12,"John Paul Jones Arena, Charlottesville, Virginia",MARSHALL,Marshall,76.1,Home,VIRGINIA,Virginia,Virginia,acc,11,True,False,True,Home,True,12,21,62,44,65,6,14,57,1,0,88,188,588,0.54421768707483,348,650,0.5353846153846153,48,161,552,0.4221014492753623,1.0
12,2019-01-05-15-virginia,53.3,8,16.7,6,101.6,79.3,23,0.409,44,0.341,15,0.614,27,0.593,16,2,200,81.3,18.8,6,19,52,9.0,14.1,9,0.523,23,0.261,6,47.5,29,0.45799999999999996,18.9,13,21,0.429,9,0.857,12,"January 5, 2019",57.1,12,9.5,2,81.3,81.3,26,0.47100000000000003,52,0.40399999999999997,21,0.34600000000000003,18,0.889,16,0,200,101.6,20.7,6,16,65,4.0,6.3,4,0.308,16,0.43799999999999994,7,52.5,32,0.537,14.3,10,36,0.389,14,1.0,13,"John Paul Jones Arena, Charlottesville, Virginia",FLORIDA-STATE,Florida State,64.2,Home,VIRGINIA,Virginia,Virginia,acc,12,True,False,True,Home,True,7,14,52,32,61,6,9,44,1,0,100,209,650,0.5523076923076923,392,715,0.5482517482517483,54,175,609,0.42036124794745483,1.0
13,2019-01-09-21-boston-college,51.5,17,18.8,6,86.2,88.6,31,0.6729999999999999,55,0.6,33,0.255,14,0.643,9,0,200,127.7,33.3,7,16,83,4.0,7.7,5,0.345,19,0.42100000000000004,8,67.9,38,0.6729999999999999,14.1,10,36,0.6940000000000001,25,1.0,14,"January 9, 2019",27.3,6,0.0,0,127.7,66.7,14,0.447,57,0.386,22,0.158,9,0.556,5,5,200,86.2,11.4,4,12,56,,6.2,4,0.439,25,0.28,7,32.1,18,0.457,11.6,8,32,0.469,15,0.643,9,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",BOSTON-COLLEGE,Boston College,65.0,Away,VIRGINIA,Virginia,Virginia,acc,13,False,False,False,Away,True,8,25,55,38,56,7,15,57,1,0,107,223,702,0.5462962962962963,424,776,0.5463917525773195,60,184,653,0.41960183767228176,1.0
14,2019-01-12-12-clemson,47.8,11,5.7,2,69.4,83.3,35,0.491,57,0.40399999999999997,23,0.21100000000000002,12,0.583,7,0,200,101.6,24.2,8,13,63,4.0,6.5,4,0.40399999999999997,23,0.435,10,57.3,43,0.502,11.4,8,34,0.382,13,1.0,15,"January 12, 2019",35.7,5,5.9,2,101.6,75.8,25,0.287,54,0.259,14,0.315,17,0.706,12,6,200,69.4,16.7,7,14,43,,11.3,7,0.35200000000000004,19,0.158,3,42.7,32,0.34600000000000003,8.9,6,35,0.314,11,0.625,10,"Littlejohn Coliseum, Clemson, South Carolina",CLEMSON,Clemson,61.9,Away,VIRGINIA,Virginia,Virginia,acc,14,False,False,False,Away,True,10,13,57,43,75,3,11,54,1,0,115,248,757,0.5554821664464994,462,832,0.5552884615384616,67,199,710,0.42183098591549295,1.0
15,2019-01-15-20-virginia,52.6,10,3.4,1,144.6,57.9,11,0.511,44,0.43200000000000005,19,0.386,17,0.8240000000000001,14,2,200,105.4,20.8,5,10,59,9.0,10.7,6,0.47700000000000004,21,0.33299999999999996,7,37.2,16,0.5660000000000001,14.9,9,23,0.522,12,0.875,14,"January 15, 2019",58.1,18,8.7,2,105.4,79.2,19,0.708,53,0.585,31,0.113,6,1.0,6,0,200,144.6,42.1,8,10,81,4.0,7.1,4,0.45299999999999996,24,0.542,13,62.8,27,0.725,13.9,9,29,0.621,18,1.0,16,"John Paul Jones Arena, Charlottesville, Virginia",VIRGINIA-TECH,Virginia Tech,56.5,Home,VIRGINIA,Virginia,Virginia,acc,15,True,False,True,Home,True,13,18,53,27,43,7,12,44,1,0,125,261,814,0.550982800982801,505,907,0.5567805953693495,70,210,764,0.412303664921466,1.0
16,2019-01-19-18-duke,28.6,8,10.8,4,112.5,72.4,21,0.557,53,0.528,28,0.321,17,0.647,11,1,199,109.4,21.4,6,20,70,4.0,6.3,4,0.321,17,0.17600000000000002,3,47.4,27,0.573,11.7,8,36,0.6940000000000001,25,0.941,16,"January 19, 2019",23.1,6,2.8,1,109.4,78.6,22,0.529,51,0.51,26,0.608,31,0.581,18,2,199,112.5,27.6,8,18,72,1.0,7.8,5,0.275,14,0.14300000000000002,2,52.6,30,0.5479999999999999,11.0,8,37,0.649,24,0.882,15,"Cameron Indoor Stadium, Durham, North Carolina",VIRGINIA,Virginia,64.7,Home,DUKE,Duke,Virginia,acc,16,False,False,False,Away,False,3,25,53,27,57,2,24,51,0,1,138,279,867,0.5605536332179931,532,950,0.56,77,222,808,0.4176980198019802,1.0
17,2019-01-22-21-virginia,58.8,10,8.3,3,113.3,65.7,23,0.364,55,0.309,17,0.127,7,0.7140000000000001,5,10,200,75.0,27.0,10,18,45,,8.3,5,0.436,24,0.25,6,45.8,33,0.386,14.7,10,31,0.355,11,0.444,8,"January 22, 2019",63.6,14,19.4,6,75.0,73.0,27,0.447,57,0.386,22,0.368,21,0.81,17,1,200,113.3,34.3,12,15,68,3.0,10.0,6,0.368,21,0.33299999999999996,7,54.2,39,0.508,9.6,7,36,0.41700000000000004,15,0.9440000000000001,17,"John Paul Jones Arena, Charlottesville, Virginia",WAKE-FOREST,Wake Forest,60.2,Home,VIRGINIA,Virginia,Virginia,acc,17,True,False,True,Home,True,7,15,57,39,72,6,11,55,1,0,141,304,920,0.5603260869565218,559,1007,0.5551142005958292,79,246,859,0.4243306169965076,0.9411764705882353
18,2019-01-26-13-notre-dame,34.3,12,15.6,5,87.3,81.0,34,0.5820000000000001,67,0.522,35,0.10400000000000001,7,0.5710000000000001,4,1,200,130.2,32.3,10,9,82,3.0,3.2,2,0.26899999999999996,18,0.444,8,60.3,44,0.583,2.8,2,49,0.551,27,0.9470000000000001,18,"January 26, 2019",45.5,10,6.1,3,130.2,67.7,21,0.426,61,0.361,22,0.131,8,0.375,3,9,200,87.3,19.0,8,8,55,,1.6,1,0.475,29,0.276,8,39.7,29,0.424,9.8,7,32,0.43799999999999994,14,0.55,11,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",NOTRE-DAME,Notre Dame,63.1,Away,VIRGINIA,Virginia,Virginia,acc,18,False,False,False,Away,True,8,27,67,44,73,8,14,61,1,0,148,319,977,0.5537359263050153,598,1079,0.5542168674698795,85,257,914,0.4206783369803063,0.9444444444444444
19,2019-01-29-19-north-carolina-state,62.5,15,15.8,6,94.2,72.2,26,0.5,52,0.462,24,0.365,19,0.737,14,1,225,95.7,41.7,10,22,66,3.0,2.9,2,0.192,10,0.4,4,60.0,36,0.541,19.9,15,42,0.47600000000000003,20,0.95,19,"January 29, 2019",45.5,10,9.5,4,95.7,58.3,14,0.39799999999999996,64,0.344,22,0.32799999999999996,21,0.667,14,5,225,94.2,27.8,10,16,65,23.0,11.6,8,0.406,26,0.26899999999999996,7,40.0,24,0.439,9.8,8,38,0.395,15,0.762,16,"PNC Arena, Raleigh, North Carolina",NORTH-CAROLINA-STATE,NC State,61.3,Away,VIRGINIA,Virginia,Virginia,acc,19,False,False,False,Away,True,4,20,52,36,60,7,15,64,1,0,156,346,1044,0.5555555555555556,642,1152,0.5572916666666666,93,271,975,0.42102564102564105,0.9473684210526315
20,2019-02-02-14-virginia,35.3,6,5.7,2,93.3,64.3,18,0.38,50,0.34,17,0.3,15,0.5329999999999999,8,12,200,76.7,14.3,5,14,46,,10.0,6,0.42,21,0.19,4,36.5,23,0.40299999999999997,11.0,7,29,0.44799999999999995,13,0.429,9,"February 2, 2019",72.7,16,20.7,6,76.7,85.7,30,0.48100000000000004,52,0.423,22,0.192,10,0.6,6,1,200,93.3,35.7,10,10,56,3.0,8.3,5,0.327,17,0.353,6,63.5,40,0.493,19.9,14,35,0.457,16,0.9520000000000001,20,"John Paul Jones Arena, Charlottesville, Virginia",MIAMI-FL,Miami (FL),59.9,Home,VIRGINIA,Virginia,Virginia,acc,20,True,False,True,Home,True,6,16,52,40,63,4,13,50,1,0,160,366,1096,0.5529197080291971,678,1212,0.5594059405940595,100,286,1039,0.4196342637151107,0.95
21,2019-02-09-18-virginia,69.2,18,13.9,5,109.2,60.7,17,0.722,45,0.578,26,0.511,23,0.696,16,2,200,124.6,33.3,7,9,81,2.0,18.5,12,0.467,21,0.619,13,49.0,24,0.7240000000000001,21.4,15,24,0.542,13,0.9129999999999999,21,"February 9, 2019",53.6,15,20.8,5,124.6,66.7,14,0.55,60,0.467,28,0.11699999999999999,7,0.7140000000000001,5,2,200,109.2,39.3,11,17,71,3.0,12.3,8,0.4,24,0.41700000000000004,10,51.0,25,0.561,17.1,13,36,0.5,18,0.909,20,"John Paul Jones Arena, Charlottesville, Virginia",VIRGINIA,Virginia,64.6,Away,DUKE,Duke,Virginia,acc,21,False,True,True,Home,False,10,18,60,25,49,13,13,45,0,1,166,382,1148,0.5496515679442509,718,1275,0.5631372549019608,104,299,1089,0.41781450872359965,0.9523809523809523
22,2019-02-11-19-north-carolina,66.7,16,17.1,6,103.4,60.5,23,0.6559999999999999,45,0.5329999999999999,24,0.4,18,0.556,10,2,200,116.9,12.0,3,11,69,4.0,8.5,5,0.444,20,0.55,11,41.3,26,0.644,13.1,8,25,0.52,13,0.9129999999999999,21,"February 11, 2019",73.9,17,12.0,3,116.9,88.0,22,0.423,65,0.354,23,0.10800000000000001,7,0.857,6,5,200,103.4,39.5,15,14,61,8.0,3.4,2,0.462,30,0.3,9,58.7,37,0.446,9.3,7,35,0.4,14,0.792,19,"Dean Smith Center, Chapel Hill, North Carolina",NORTH-CAROLINA,UNC,59.4,Away,VIRGINIA,Virginia,Virginia,acc,22,False,False,False,Away,True,11,13,45,26,63,9,14,65,1,0,176,400,1208,0.5496688741721855,743,1324,0.5611782477341389,117,312,1134,0.4298941798941799,0.9090909090909091
23,2019-02-16-14-virginia,42.1,8,10.3,3,98.4,81.3,26,0.418,55,0.345,19,0.145,8,1.0,8,12,200,88.5,14.7,5,13,54,,9.8,6,0.545,30,0.267,8,47.0,31,0.45899999999999996,10.7,7,25,0.44,11,0.52,13,"February 16, 2019",63.2,12,16.0,4,88.5,85.3,29,0.442,52,0.365,19,0.327,17,0.8240000000000001,14,2,200,98.4,18.8,6,6,60,4.0,8.2,5,0.442,23,0.348,8,53.0,35,0.499,11.9,8,29,0.379,11,0.917,22,"John Paul Jones Arena, Charlottesville, Virginia",NOTRE-DAME,Notre Dame,61.4,Home,VIRGINIA,Virginia,Virginia,acc,23,True,False,True,Home,True,8,11,52,35,66,8,11,55,1,0,187,413,1253,0.5534716679968077,769,1387,0.5544340302811824,126,326,1199,0.42952460383653046,0.9130434782608695
24,2019-02-18-19-virginia-tech,60.9,14,13.3,4,93.5,65.6,21,0.57,50,0.46,23,0.24,12,0.583,7,2,200,103.2,28.6,6,15,64,3.0,8.1,5,0.54,27,0.40700000000000003,11,50.9,27,0.575,19.0,13,23,0.522,12,0.92,23,"February 18, 2019",39.1,9,8.7,2,103.2,71.4,15,0.42200000000000004,58,0.397,23,0.22399999999999998,13,0.6920000000000001,9,6,200,93.5,34.4,11,12,58,20.0,14.5,9,0.483,28,0.107,3,49.1,26,0.452,11.2,8,30,0.667,20,0.769,20,"Cassell Coliseum, Blacksburg, Virginia",VIRGINIA-TECH,Virginia Tech,61.9,Away,VIRGINIA,Virginia,Virginia,acc,24,False,False,False,Away,True,11,12,50,27,53,3,20,58,1,0,195,424,1305,0.5490421455938698,804,1453,0.553337921541638,134,337,1254,0.42902711323763953,0.9166666666666666
25,2019-02-23-12-louisville,46.2,12,31.8,7,88.1,85.3,29,0.48200000000000004,56,0.46399999999999997,26,0.179,10,1.0,10,2,200,108.5,22.2,6,12,64,3.0,3.4,2,0.304,17,0.11800000000000001,2,57.4,35,0.527,6.2,4,39,0.615,24,0.9229999999999999,24,"February 23, 2019",58.8,10,7.7,3,108.5,77.8,21,0.418,55,0.309,17,0.145,8,0.75,6,10,200,88.1,14.7,5,12,52,18.0,3.4,2,0.6,33,0.364,12,42.6,26,0.442,7.9,5,22,0.22699999999999998,5,0.643,18,"KFC Yum! Center, Louisville, Kentucky",LOUISVILLE,Louisville,58.8,Away,VIRGINIA,Virginia,Virginia,acc,25,False,False,False,Away,True,2,24,56,35,61,12,5,55,1,0,206,436,1355,0.5498154981549815,831,1506,0.5517928286852589,137,357,1312,0.42873475609756095,0.92
26,2019-02-27-19-virginia,33.3,7,8.1,3,132.8,65.2,15,0.42,56,0.375,21,0.125,7,0.5710000000000001,4,17,200,83.6,14.7,5,13,51,,6.6,4,0.304,17,0.294,5,35.1,20,0.43,10.6,7,39,0.41,16,0.414,12,"February 27, 2019",56.7,17,12.8,5,83.6,85.3,29,0.639,54,0.556,30,0.315,17,0.706,12,2,200,132.8,34.8,8,9,81,2.0,4.9,3,0.315,17,0.529,9,64.9,37,0.652,10.2,7,37,0.568,21,0.9259999999999999,25,"John Paul Jones Arena, Charlottesville, Virginia",GEORGIA-TECH,Georgia Tech,61.2,Home,VIRGINIA,Virginia,Virginia,acc,26,True,False,True,Home,True,9,21,54,37,57,5,16,56,1,0,208,460,1411,0.5471296952515946,866,1567,0.5526483726866624,149,362,1367,0.4283101682516459,0.9230769230769231
