,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DETROIT-MERCY_homegame,DETROIT-MERCY_homegame2,DETROIT-MERCY_home,DETROIT-MERCY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-15-13-detroit-mercy,63.6,14,18.8,6,84.7,75.0,27,0.48,51,0.431,22,0.49,25,0.56,14,3,200,87.5,36.7,11,20,63,,9.7,7,0.275,14,0.35700000000000004,5,57.6,38,0.501,25.3,21,37,0.45899999999999996,17,0.7,7,"December 15, 2018",36.8,7,5.4,2,87.5,63.3,19,0.41700000000000004,54,0.35200000000000004,19,0.48100000000000004,26,0.615,16,8,200,84.7,25.0,9,20,61,,16.7,12,0.40700000000000003,22,0.318,7,42.4,28,0.46,17.6,14,32,0.375,12,0.273,3,"Calihan Hall, Detroit, Michigan",DETROIT-MERCY,Detroit,72.1,Away,OHIO,Ohio,Detroit Mercy,horizon,10,False,True,True,Home,False,7,12,54,28,66,5,17,51,0,1,104,144,618,0.4854368932038835,287,685,0.41897810218978104,83,202,623,0.5240770465489567,0.3
11,2018-12-21-19-xavier,45.5,10,0.0,0,101.5,63.3,19,0.368,68,0.324,22,0.132,9,0.556,5,9,200,80.9,32.6,14,18,55,,16.2,11,0.397,27,0.222,6,45.2,33,0.38,13.3,11,41,0.39,16,0.25,3,"December 21, 2018",90.9,20,22.0,9,80.9,67.4,29,0.52,50,0.44,22,0.46,23,0.7390000000000001,17,5,200,101.5,36.7,11,9,69,,8.8,6,0.38,19,0.42100000000000004,8,54.8,40,0.5660000000000001,21.0,16,31,0.452,14,0.615,8,"Cintas Center, Cincinnati, Ohio",DETROIT-MERCY,Detroit,67.6,Home,XAVIER,Xavier,Detroit Mercy,horizon,11,False,False,False,Away,False,6,16,68,33,73,8,14,50,0,1,111,156,672,0.4799107142857143,315,751,0.4194407456724368,88,219,674,0.5207715133531158,0.2727272727272727
12,2018-12-28-14-youngstown-state,42.9,12,12.5,5,95.7,55.6,20,0.607,56,0.5,28,0.25,14,0.7140000000000001,10,9,200,113.0,32.1,9,15,78,,15.9,11,0.46399999999999997,26,0.462,12,45.3,29,0.623,17.3,13,30,0.5329999999999999,16,0.308,4,"December 28, 2018",62.5,15,6.7,2,113.0,67.9,19,0.43799999999999994,64,0.375,24,0.188,12,0.833,10,10,200,95.7,44.4,16,18,66,,10.1,7,0.375,24,0.33299999999999996,8,54.7,35,0.473,20.6,18,40,0.4,16,0.28600000000000003,4,"Beeghly Center, Youngstown, Ohio",YOUNGSTOWN-STATE,Youngstown State,69.2,Away,DETROIT-MERCY,Detroit,Detroit Mercy,horizon,12,False,False,False,Away,True,12,16,56,29,64,8,16,64,1,0,117,172,740,0.46959459459459457,348,824,0.4223300970873786,96,233,724,0.5207182320441989,0.25
13,2018-12-30-19-cleveland-state,44.0,11,0.0,0,87.1,75.0,27,0.43799999999999994,65,0.385,25,0.262,17,0.941,16,9,200,104.3,21.6,8,18,73,,11.4,8,0.385,25,0.28,7,47.9,35,0.499,6.5,5,40,0.45,18,0.35700000000000004,5,"December 30, 2018",54.5,12,7.5,3,104.3,78.4,29,0.439,57,0.386,22,0.298,17,0.647,11,10,200,87.1,25.0,9,15,61,,1.4,1,0.456,26,0.231,6,52.1,38,0.469,16.8,13,31,0.516,16,0.33299999999999996,5,"Wolstein Center, Cleveland, Ohio",CLEVELAND-STATE,Cleveland State,69.6,Away,DETROIT-MERCY,Detroit,Detroit Mercy,horizon,13,False,False,False,Away,True,7,18,65,35,73,6,16,57,1,0,129,188,796,0.4792713567839196,377,888,0.42454954954954954,104,249,788,0.5139593908629442,0.3076923076923077
14,2019-01-03-19-detroit-mercy,65.0,13,12.0,3,112.9,77.4,24,0.415,53,0.377,20,0.396,21,0.667,14,9,200,82.9,27.3,9,24,58,,8.6,6,0.415,22,0.182,4,51.6,33,0.461,21.5,17,31,0.516,16,0.43799999999999994,7,"January 3, 2019",37.5,9,6.5,2,82.9,72.7,24,0.588,51,0.47100000000000003,24,0.569,29,0.655,19,9,200,112.9,22.6,7,19,79,,8.6,6,0.51,26,0.462,12,48.4,31,0.61,14.7,11,25,0.48,12,0.4,6,"Calihan Hall, Detroit, Michigan",WRIGHT-STATE,Wright State,69.9,Home,DETROIT-MERCY,Detroit,Detroit Mercy,horizon,14,True,False,True,Home,True,12,12,51,31,64,4,16,53,1,0,136,206,861,0.47619047619047616,412,961,0.4287200832466181,110,265,845,0.5088757396449705,0.35714285714285715
15,2019-01-05-13-detroit-mercy,63.9,23,18.4,7,104.3,70.0,21,0.677,62,0.581,36,0.19399999999999998,12,0.917,11,4,200,135.7,19.2,5,19,95,,7.1,5,0.419,26,0.462,12,46.4,26,0.7020000000000001,9.4,7,36,0.667,24,0.765,13,"January 5, 2019",34.6,9,11.1,4,135.7,80.8,21,0.49200000000000005,61,0.426,26,0.295,18,0.722,13,10,200,104.3,30.0,9,14,73,,5.7,4,0.377,23,0.348,8,53.6,30,0.525,11.6,9,38,0.474,18,0.375,6,"Calihan Hall, Detroit, Michigan",DETROIT-MERCY,Detroit,69.6,Away,NORTHERN-KENTUCKY,Northern Kentucky,Detroit Mercy,horizon,15,False,True,True,Home,False,8,18,61,30,56,12,24,62,0,1,148,218,912,0.4824561403508772,443,1025,0.4321951219512195,114,281,898,0.5033407572383074,0.4
16,2019-01-10-19-detroit-mercy,77.8,21,4.8,2,124.7,63.0,17,0.49200000000000005,62,0.435,27,0.516,32,0.688,22,8,200,102.5,38.5,15,16,83,,8.6,7,0.435,27,0.259,7,48.5,32,0.5379999999999999,20.0,19,35,0.5710000000000001,20,0.529,9,"January 10, 2019",30.8,12,5.7,2,102.5,61.5,24,0.63,73,0.534,39,0.16399999999999998,12,0.75,9,10,200,124.7,37.0,10,23,101,,14.8,12,0.425,31,0.452,14,51.5,34,0.642,13.3,12,42,0.595,25,0.41200000000000003,7,"Calihan Hall, Detroit, Michigan",GREEN-BAY,Green Bay,81.0,Home,DETROIT-MERCY,Detroit,Detroit Mercy,horizon,16,True,False,True,Home,True,14,25,73,34,66,7,20,62,1,0,156,236,973,0.4830421377183967,473,1081,0.4375578168362627,126,305,960,0.5145833333333333,0.375
17,2019-01-12-13-detroit-mercy,55.2,16,12.0,3,124.0,77.4,24,0.616,56,0.518,29,0.35700000000000004,20,0.75,15,11,200,112.0,20.0,5,33,84,,8.0,6,0.429,24,0.45799999999999996,11,51.8,29,0.6409999999999999,20.8,17,32,0.563,18,0.389,7,"January 12, 2019",59.3,16,0.0,0,112.0,80.0,20,0.623,53,0.509,27,0.736,39,0.6920000000000001,27,10,200,124.0,22.6,7,15,93,,8.0,6,0.528,28,0.429,12,48.2,27,0.65,10.2,8,25,0.6,15,0.444,8,"Calihan Hall, Detroit, Michigan",MILWAUKEE,Milwaukee,75.0,Home,DETROIT-MERCY,Detroit,Detroit Mercy,horizon,17,True,False,True,Home,True,12,15,53,27,56,11,18,56,1,0,170,261,1046,0.4933078393881453,507,1147,0.4420226678291194,133,325,1022,0.5132093933463796,0.4117647058823529
18,2019-01-19-14-detroit-mercy,51.7,15,4.7,2,101.4,62.2,23,0.588,57,0.509,29,0.386,22,0.545,12,11,200,109.7,22.6,7,12,79,,8.3,6,0.40399999999999997,23,0.391,9,44.1,30,0.586,15.3,12,34,0.588,20,0.45,9,"January 19, 2019",48.3,14,5.9,2,109.7,77.4,24,0.46399999999999997,69,0.42,29,0.159,11,0.818,9,11,200,101.4,37.8,14,17,73,,6.9,5,0.377,26,0.231,6,55.9,38,0.49200000000000005,13.0,11,43,0.535,23,0.42100000000000004,8,"Calihan Hall, Detroit, Michigan",DETROIT-MERCY,Detroit,71.8,Away,OAKLAND,Oakland,Detroit Mercy,horizon,18,False,True,True,Home,False,6,23,69,38,68,9,20,57,0,1,182,276,1099,0.49954504094631486,534,1203,0.44389027431421446,144,343,1078,0.5185528756957328,0.4444444444444444
19,2019-01-24-20-illinois-chicago,47.8,11,3.3,1,116.2,56.0,14,0.528,53,0.434,23,0.34,18,0.611,11,12,200,98.5,25.9,7,18,67,,17.6,12,0.45299999999999996,24,0.41700000000000004,10,40.4,21,0.544,17.6,13,29,0.44799999999999995,13,0.4,8,"January 24, 2019",69.2,18,10.3,3,98.5,74.1,20,0.546,54,0.48100000000000004,26,0.444,24,0.833,20,11,200,116.2,44.0,11,21,79,,10.3,7,0.444,24,0.292,7,59.6,31,0.604,17.8,14,30,0.633,19,0.47600000000000003,10,"UIC Pavilion, Chicago, Illinois",DETROIT-MERCY,Detroit,68.0,Home,ILLINOIS-CHICAGO,UIC,Detroit Mercy,horizon,19,False,False,False,Away,False,10,13,53,21,52,7,19,54,0,1,188,299,1168,0.4974315068493151,572,1271,0.4500393391030684,153,363,1135,0.5220264317180616,0.42105263157894735
20,2019-01-26-13-iupui,56.0,14,9.4,3,114.3,76.9,20,0.612,49,0.51,25,0.163,8,0.625,5,13,200,92.9,13.0,3,13,65,,14.3,10,0.51,25,0.4,10,46.9,23,0.616,29.5,22,24,0.625,15,0.381,8,"January 26, 2019",92.9,26,12.5,3,92.9,87.0,20,0.609,55,0.509,28,0.273,15,0.867,13,9,200,114.3,23.1,6,14,80,,17.1,12,0.418,23,0.478,11,53.1,26,0.644,17.4,13,32,0.531,17,0.591,13,"Indiana Farmers Coliseum, Indianapolis, Indiana",DETROIT-MERCY,Detroit,70.5,Home,IUPUI,IUPUI,Detroit Mercy,horizon,20,False,False,False,Away,False,10,15,49,23,49,11,17,55,0,1,198,312,1221,0.4987714987714988,593,1323,0.4482237339380197,160,382,1189,0.5231286795626577,0.4
21,2019-01-31-19-detroit-mercy,56.0,14,10.7,3,111.4,59.0,23,0.46,62,0.40299999999999997,25,0.226,14,0.5,7,17,200,91.4,33.3,12,22,64,,14.3,10,0.371,23,0.304,7,46.7,35,0.466,16.0,13,39,0.462,18,0.261,6,"January 31, 2019",54.5,12,10.3,4,91.4,66.7,24,0.465,57,0.386,22,0.561,32,0.7809999999999999,25,13,200,111.4,41.0,16,16,78,,11.4,8,0.509,29,0.31,9,53.3,40,0.54,16.5,14,28,0.46399999999999997,13,0.409,9,"Calihan Hall, Detroit, Michigan",CLEVELAND-STATE,Cleveland State,69.9,Home,DETROIT-MERCY,Detroit,Detroit Mercy,horizon,21,True,False,True,Home,True,9,13,57,40,75,7,18,62,1,0,208,327,1270,0.5031496062992126,616,1372,0.4489795918367347,171,399,1244,0.5269292604501608,0.38095238095238093
22,2019-02-02-13-detroit-mercy,57.1,16,0.0,0,102.9,73.3,22,0.516,61,0.45899999999999996,28,0.24600000000000002,15,0.6,9,16,200,105.9,25.7,9,15,72,,10.3,7,0.475,29,0.24100000000000002,7,47.7,31,0.528,10.6,8,32,0.6559999999999999,21,0.33299999999999996,8,"February 2, 2019",30.4,7,0.0,0,105.9,74.3,26,0.474,57,0.40399999999999997,23,0.298,17,0.941,16,14,200,102.9,26.7,8,11,70,,4.4,3,0.40399999999999997,23,0.348,8,52.3,34,0.5379999999999999,15.7,12,34,0.441,15,0.391,9,"Calihan Hall, Detroit, Michigan",DETROIT-MERCY,Detroit,68.1,Away,YOUNGSTOWN-STATE,Youngstown State,Detroit Mercy,horizon,22,False,True,True,Home,False,8,15,57,34,65,7,21,61,0,1,217,340,1327,0.5015071590052751,656,1447,0.45335176226675883,178,417,1306,0.5237366003062787,0.4090909090909091
23,2019-02-07-19-northern-kentucky,32.0,8,2.6,1,134.7,50.0,13,0.475,59,0.424,25,0.203,12,0.75,9,15,200,90.3,27.3,9,13,65,,11.1,8,0.39,23,0.261,6,37.3,22,0.502,18.9,15,36,0.528,19,0.375,9,"February 7, 2019",89.2,33,11.1,4,90.3,72.7,24,0.652,66,0.561,37,0.212,14,0.7859999999999999,11,6,200,134.7,50.0,13,14,97,,11.1,8,0.409,27,0.444,12,62.7,37,0.6679999999999999,15.3,13,39,0.6409999999999999,25,0.76,19,"Bank of Kentucky Center, Highland Heights, Kentucky",DETROIT-MERCY,Detroit,71.7,Home,NORTHERN-KENTUCKY,Northern Kentucky,Detroit Mercy,horizon,23,False,False,False,Away,False,6,19,59,22,59,12,25,66,0,1,225,355,1384,0.5003612716763006,690,1512,0.45634920634920634,185,438,1367,0.5234089246525238,0.391304347826087
24,2019-02-09-19-wright-state,8.7,2,4.8,2,116.9,67.6,23,0.408,60,0.38299999999999995,23,0.267,16,0.688,11,16,200,84.5,33.3,12,17,60,,9.9,7,0.28300000000000003,17,0.17600000000000002,3,50.0,35,0.444,17.3,14,43,0.465,20,0.36,9,"February 9, 2019",63.3,19,2.3,1,84.5,66.7,24,0.5489999999999999,61,0.49200000000000005,30,0.361,22,0.727,16,11,200,116.9,32.4,11,14,83,,4.2,3,0.311,19,0.368,7,50.0,35,0.581,14.5,12,42,0.5479999999999999,23,0.5770000000000001,15,"Ervin J. Nutter Center, Dayton, Ohio",DETROIT-MERCY,Detroit,71.0,Home,WRIGHT-STATE,Wright State,Detroit Mercy,horizon,24,False,False,False,Away,False,3,20,60,35,70,7,23,61,0,1,231,374,1443,0.4993069993069993,712,1571,0.4532145130490134,197,463,1433,0.5293091416608514,0.375
25,2019-02-14-20-milwaukee,25.0,6,9.3,4,115.1,57.9,22,0.546,54,0.444,24,0.7040000000000001,38,0.816,31,16,200,123.3,33.3,9,14,90,,9.6,7,0.574,31,0.355,11,47.7,31,0.625,13.5,11,23,0.565,13,0.385,10,"February 14, 2019",58.8,20,13.0,3,123.3,66.7,18,0.5660000000000001,68,0.5,34,0.17600000000000002,12,0.583,7,17,200,115.1,42.1,16,26,84,,9.6,7,0.368,25,0.36,9,52.3,34,0.57,17.0,15,43,0.581,25,0.34600000000000003,9,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",MILWAUKEE,Milwaukee,73.4,Away,DETROIT-MERCY,Detroit,Detroit Mercy,horizon,25,False,False,False,Away,True,11,13,54,31,65,9,25,68,1,0,234,394,1503,0.49567531603459747,747,1641,0.45521023765996343,204,486,1494,0.5301204819277109,0.36
26,2019-02-16-13-green-bay,20.8,5,10.3,3,107.9,72.7,16,0.46799999999999997,63,0.381,24,0.302,19,0.737,14,17,200,96.1,18.9,7,17,73,,14.5,11,0.556,35,0.314,11,39.0,23,0.507,13.4,11,28,0.46399999999999997,13,0.37,10,"February 16, 2019",78.6,22,10.7,3,96.1,81.1,30,0.593,54,0.519,28,0.35200000000000004,19,0.9470000000000001,18,13,200,107.9,27.3,6,14,82,,5.3,4,0.46299999999999997,25,0.32,8,61.0,36,0.6509999999999999,22.4,18,29,0.69,20,0.519,14,"Resch Center, Green Bay, Wisconsin",DETROIT-MERCY,Detroit,75.5,Home,GREEN-BAY,Green Bay,Detroit Mercy,horizon,26,False,False,False,Away,False,11,13,63,23,59,8,20,54,0,1,245,407,1557,0.49743095696852924,778,1706,0.45603751465416176,213,511,1562,0.5316901408450704,0.38461538461538464
