,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NOTRE-DAME_homegame,NOTRE-DAME_homegame2,NOTRE-DAME_home,NOTRE-DAME_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-18-19-notre-dame,20.0,5,4.5,2,97.2,65.9,27,0.45899999999999996,61,0.41,25,0.033,2,0.0,0,9,200,78.9,14.3,5,20,56,,8.5,6,0.45899999999999996,28,0.214,6,42.1,32,0.452,19.5,15,33,0.5760000000000001,19,0.25,3,"December 18, 2018",60.0,15,21.2,7,78.9,85.7,30,0.423,65,0.385,25,0.308,20,0.7,14,3,200,97.2,34.1,14,10,69,,9.9,7,0.32299999999999995,21,0.23800000000000002,5,57.9,44,0.46299999999999997,11.9,10,44,0.455,20,0.727,8,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",BINGHAMTON,Binghamton,71.2,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,10,True,False,True,Home,True,5,20,65,44,76,6,19,61,1,0,83,177,616,0.48944805194805197,373,718,0.5194986072423399,83,166,609,0.47701149425287354,0.7
11,2018-12-20-19-notre-dame,50.0,14,6.7,2,137.0,82.6,19,0.42,75,0.373,28,0.16,12,0.917,11,6,200,101.4,27.3,12,10,74,,9.6,7,0.28,21,0.33299999999999996,7,46.3,31,0.45799999999999996,7.0,6,54,0.389,21,0.5379999999999999,7,"December 20, 2018",64.9,24,14.8,8,101.4,72.7,32,0.742,62,0.597,37,0.177,11,0.727,8,3,200,137.0,17.4,4,8,100,,4.1,3,0.516,32,0.563,18,53.7,36,0.7440000000000001,11.9,9,30,0.633,19,0.75,9,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",JACKSONVILLE,Jacksonville,73.5,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,11,True,False,True,Home,True,18,19,62,36,67,7,21,75,1,0,88,197,681,0.4831130690161527,417,794,0.5251889168765743,89,185,670,0.4753731343283582,0.7272727272727273
12,2018-12-29-12-notre-dame,36.4,8,10.3,3,100.0,76.2,32,0.41,61,0.361,22,0.14800000000000002,9,0.667,6,15,200,88.9,39.5,15,17,56,,3.2,2,0.377,23,0.261,6,58.8,47,0.429,15.6,12,38,0.42100000000000004,16,0.0,0,"December 29, 2018",65.0,13,21.1,8,88.9,60.5,23,0.415,59,0.33899999999999997,20,0.322,19,0.737,14,3,200,100.0,23.8,10,8,63,,9.5,6,0.508,30,0.3,9,41.3,33,0.46299999999999997,6.9,5,29,0.379,11,0.769,10,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",COPPIN-STATE,Coppin State,62.7,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,12,True,False,True,Home,True,9,11,59,33,80,6,16,61,1,0,106,216,743,0.5047106325706595,453,861,0.5261324041811847,96,206,745,0.4697986577181208,0.75
13,2019-01-01-13-virginia-tech,56.5,13,13.5,5,132.8,89.5,17,0.527,56,0.41100000000000003,23,0.23199999999999998,13,0.5379999999999999,7,4,200,108.2,37.1,13,10,66,,3.3,2,0.607,34,0.382,13,55.6,30,0.531,15.1,11,22,0.455,10,0.7140000000000001,10,"January 1, 2019",57.6,19,4.5,1,108.2,62.9,22,0.7,55,0.6,33,0.091,5,0.8,4,1,200,132.8,10.5,2,13,81,10.0,8.2,5,0.327,18,0.611,11,44.4,24,0.706,10.9,7,37,0.595,22,0.9229999999999999,12,"Cassell Coliseum, Blacksburg, Virginia",NOTRE-DAME,Notre Dame,61.3,Home,VIRGINIA-TECH,Virginia Tech,Notre Dame,acc,13,False,False,False,Away,False,13,10,56,30,54,11,22,55,0,1,115,227,802,0.4981296758104738,486,941,0.5164718384697131,102,222,806,0.4652605459057072,0.7692307692307693
14,2019-01-05-12-notre-dame,39.3,11,12.0,3,92.5,76.9,30,0.5,68,0.41200000000000003,28,0.07400000000000001,5,0.8,4,4,200,107.5,33.3,13,15,72,,6.0,4,0.426,29,0.414,12,55.1,43,0.512,11.4,9,39,0.41,16,0.7140000000000001,10,"January 5, 2019",80.0,16,17.9,7,107.5,66.7,26,0.44,58,0.345,20,0.293,17,0.647,11,5,200,92.5,23.1,9,12,62,,4.5,3,0.569,33,0.33299999999999996,11,44.9,35,0.469,13.2,10,25,0.36,9,0.667,10,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",NOTRE-DAME,Notre Dame,66.7,Away,SYRACUSE,Syracuse,Notre Dame,acc,14,False,True,True,Home,False,11,9,58,35,78,12,16,68,0,1,128,237,858,0.5,516,995,0.5185929648241207,113,244,861,0.4802555168408827,0.7142857142857143
15,2019-01-12-12-notre-dame,34.6,9,8.6,3,95.8,74.4,29,0.446,65,0.4,26,0.154,10,0.8,8,6,200,91.7,24.3,9,19,66,,5.6,4,0.32299999999999995,21,0.28600000000000003,6,50.0,38,0.473,14.7,12,44,0.455,20,0.6,9,"January 12, 2019",52.4,11,11.4,5,91.7,75.7,28,0.402,61,0.344,21,0.377,23,0.87,20,5,200,95.8,25.6,10,15,69,,9.7,7,0.426,26,0.26899999999999996,7,50.0,38,0.48,12.3,10,35,0.4,14,0.688,11,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",BOSTON-COLLEGE,Boston College,72.3,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,15,True,False,True,Home,True,7,14,61,38,76,6,20,65,1,0,139,246,916,0.49617903930131,551,1073,0.5135135135135135,125,260,929,0.48170075349838537,0.6666666666666666
16,2019-01-15-21-north-carolina,52.0,13,17.0,8,101.4,65.9,27,0.49200000000000005,61,0.41,25,0.23,14,0.643,9,6,200,93.2,17.1,6,16,69,,2.7,2,0.45899999999999996,28,0.35700000000000004,10,43.4,33,0.51,14.1,11,33,0.455,15,0.647,11,"January 15, 2019",55.6,15,6.1,2,93.2,82.9,29,0.46299999999999997,68,0.397,27,0.294,20,0.6,12,4,200,101.4,34.1,14,15,75,13.0,8.1,6,0.309,21,0.429,9,56.6,43,0.484,12.5,11,47,0.38299999999999995,18,0.765,13,"Dean Smith Center, Chapel Hill, North Carolina",NOTRE-DAME,Notre Dame,73.6,Home,NORTH-CAROLINA,UNC,Notre Dame,acc,16,False,False,False,Away,False,10,15,61,33,76,9,18,68,0,1,146,260,977,0.49027635619242577,589,1149,0.5126196692776327,131,280,994,0.47937625754527163,0.6875
17,2019-01-19-14-notre-dame,50.0,15,9.7,3,104.3,76.3,29,0.486,69,0.435,30,0.217,15,0.667,10,3,200,110.0,31.7,13,19,77,17.0,5.7,4,0.275,19,0.368,7,53.2,42,0.506,8.5,7,50,0.46,23,0.833,15,"January 19, 2019",62.5,15,8.0,4,110.0,68.3,28,0.466,59,0.40700000000000003,24,0.40700000000000003,24,0.75,18,7,200,104.3,23.7,9,18,73,,5.7,4,0.475,28,0.25,7,46.8,37,0.518,11.5,9,31,0.5479999999999999,17,0.611,11,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",NOTRE-DAME,Notre Dame,70.3,Away,NORTH-CAROLINA-STATE,NC State,Notre Dame,acc,17,False,True,True,Home,False,7,17,59,37,79,7,23,69,0,1,156,275,1038,0.4903660886319846,622,1225,0.5077551020408163,140,298,1062,0.4783427495291902,0.6470588235294118
18,2019-01-22-19-georgia-tech,71.4,15,12.1,4,92.6,73.1,19,0.377,65,0.32299999999999995,21,0.231,15,0.8,12,8,200,89.7,40.5,15,12,61,,13.2,9,0.462,30,0.233,7,54.0,34,0.423,15.4,13,35,0.4,14,0.579,11,"January 22, 2019",45.8,11,5.7,2,89.7,59.5,22,0.51,52,0.462,24,0.28800000000000003,15,0.667,10,8,200,92.6,26.9,7,15,63,,11.8,8,0.365,19,0.263,5,46.0,29,0.5329999999999999,19.3,14,33,0.5760000000000001,19,0.579,11,"McCamish Pavilion, Atlanta, Georgia",NOTRE-DAME,Notre Dame,68.1,Home,GEORGIA-TECH,Georgia Tech,Notre Dame,acc,18,False,False,False,Away,False,7,14,65,34,63,5,19,52,0,1,163,292,1097,0.48906107566089335,659,1304,0.5053680981595092,147,321,1131,0.47877984084880637,0.6111111111111112
19,2019-01-26-13-notre-dame,34.3,12,15.6,5,87.3,81.0,34,0.5820000000000001,67,0.522,35,0.10400000000000001,7,0.5710000000000001,4,1,200,130.2,32.3,10,9,82,3.0,3.2,2,0.26899999999999996,18,0.444,8,60.3,44,0.583,2.8,2,49,0.551,27,0.9470000000000001,18,"January 26, 2019",45.5,10,6.1,3,130.2,67.7,21,0.426,61,0.361,22,0.131,8,0.375,3,9,200,87.3,19.0,8,8,55,,1.6,1,0.475,29,0.276,8,39.7,29,0.424,9.8,7,32,0.43799999999999994,14,0.55,11,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",NOTRE-DAME,Notre Dame,63.1,Away,VIRGINIA,Virginia,Notre Dame,acc,19,False,True,True,Home,False,8,14,61,29,73,8,27,67,0,1,170,306,1162,0.4827882960413081,693,1367,0.506949524506218,152,340,1183,0.4801352493660186,0.5789473684210527
20,2019-01-28-19-notre-dame,40.6,13,14.3,6,96.8,65.0,26,0.627,59,0.542,32,0.271,16,0.563,9,2,200,131.7,41.9,13,15,83,2.0,12.7,8,0.322,19,0.526,10,54.9,39,0.623,10.8,8,40,0.55,22,0.9,18,"January 28, 2019",39.1,9,7.5,3,131.7,58.1,18,0.409,66,0.348,23,0.136,9,0.778,7,10,200,96.8,35.0,14,14,61,,11.1,7,0.364,24,0.33299999999999996,8,45.1,32,0.434,11.4,9,42,0.35700000000000004,15,0.524,11,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",NOTRE-DAME,Notre Dame,63.4,Away,DUKE,Duke,Notre Dame,acc,20,False,True,True,Home,False,8,15,66,32,71,10,22,59,0,1,178,320,1223,0.47996729354047424,722,1440,0.5013888888888889,160,367,1250,0.4856,0.55
21,2019-02-02-14-boston-college,37.0,10,6.8,3,112.3,60.0,21,0.627,51,0.529,27,0.353,18,0.833,15,10,200,121.5,16.7,4,13,79,,4.6,3,0.392,20,0.5,10,42.4,25,0.6629999999999999,13.3,9,31,0.5479999999999999,17,0.545,12,"February 2, 2019",54.8,17,6.5,2,121.5,83.3,20,0.515,67,0.46299999999999997,31,0.11900000000000001,8,0.5,4,9,200,112.3,40.0,14,13,73,,6.2,4,0.34299999999999997,23,0.304,7,57.6,34,0.516,11.3,9,44,0.545,24,0.55,11,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",BOSTON-COLLEGE,Boston College,65.2,Away,NOTRE-DAME,Notre Dame,Notre Dame,acc,21,False,False,False,Away,True,10,17,51,25,59,7,24,67,1,0,186,335,1289,0.47633824670287045,754,1511,0.4990072799470549,170,389,1309,0.4919786096256685,0.5238095238095238
22,2019-02-06-19-miami-fl,38.9,7,2.5,1,95.4,68.6,24,0.35700000000000004,56,0.321,18,0.125,7,1.0,7,11,200,72.3,20.6,7,10,47,,9.2,6,0.5,28,0.14300000000000002,4,44.9,31,0.396,19.2,14,28,0.5,14,0.522,12,"February 6, 2019",29.6,8,3.6,1,72.3,79.4,27,0.46799999999999997,62,0.435,27,0.081,5,0.8,4,12,200,95.4,31.4,11,13,62,,15.4,10,0.355,22,0.182,4,55.1,38,0.48200000000000004,13.5,10,40,0.575,23,0.455,10,"BankUnited Center, Coral Gables, Florida",NOTRE-DAME,Notre Dame,64.9,Home,MIAMI-FL,Miami (FL),Notre Dame,acc,22,False,False,False,Away,False,4,14,56,31,69,4,23,62,0,1,196,352,1340,0.48208955223880595,779,1570,0.4961783439490446,177,413,1376,0.49309593023255816,0.5454545454545454
23,2019-02-10-18-notre-dame,59.1,13,18.9,7,107.8,56.1,23,0.47200000000000003,54,0.40700000000000003,22,0.24100000000000002,13,0.615,8,13,200,92.2,28.6,10,17,59,,10.9,7,0.426,23,0.304,7,43.4,33,0.49,16.7,12,31,0.484,15,0.45799999999999996,11,"February 10, 2019",57.1,12,6.5,2,92.2,71.4,25,0.375,64,0.32799999999999996,21,0.391,25,0.84,21,11,200,107.8,43.9,18,14,69,,12.5,8,0.42200000000000004,27,0.222,6,56.6,43,0.455,9.6,8,37,0.405,15,0.542,13,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",GEORGIA-TECH,Georgia Tech,64.0,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,23,True,False,True,Home,True,6,15,64,43,76,7,15,54,1,0,200,366,1396,0.47707736389684813,810,1639,0.4942037827943868,181,436,1438,0.4920027816411683,0.5217391304347826
24,2019-02-16-14-virginia,42.1,8,10.3,3,98.4,81.3,26,0.418,55,0.345,19,0.145,8,1.0,8,12,200,88.5,14.7,5,13,54,,9.8,6,0.545,30,0.267,8,47.0,31,0.45899999999999996,10.7,7,25,0.44,11,0.52,13,"February 16, 2019",63.2,12,16.0,4,88.5,85.3,29,0.442,52,0.365,19,0.327,17,0.8240000000000001,14,2,200,98.4,18.8,6,6,60,4.0,8.2,5,0.442,23,0.348,8,53.0,35,0.499,11.9,8,29,0.379,11,0.917,22,"John Paul Jones Arena, Charlottesville, Virginia",NOTRE-DAME,Notre Dame,61.4,Home,VIRGINIA,Virginia,Notre Dame,acc,24,False,False,False,Away,False,8,11,55,31,66,8,11,52,0,1,206,381,1460,0.4726027397260274,853,1715,0.49737609329446064,188,451,1492,0.4912868632707775,0.5416666666666666
25,2019-02-19-19-notre-dame,73.1,19,8.0,2,103.0,80.0,24,0.5660000000000001,53,0.491,26,0.415,22,0.682,15,15,200,113.6,34.5,10,16,75,,10.6,7,0.34,18,0.444,8,57.6,34,0.591,18.3,14,35,0.514,18,0.4,10,"February 19, 2019",69.6,16,11.4,4,113.6,65.5,19,0.529,51,0.451,23,0.353,18,0.778,14,13,200,103.0,20.0,6,19,68,,7.6,5,0.51,26,0.308,8,42.4,25,0.5710000000000001,14.5,10,25,0.6,15,0.5,13,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",NOTRE-DAME,Notre Dame,65.5,Away,WAKE-FOREST,Wake Forest,Notre Dame,acc,25,False,True,True,Home,False,8,15,51,25,59,8,18,53,0,1,214,392,1515,0.47062706270627064,884,1781,0.49635036496350365,196,462,1544,0.4896373056994819,0.52
26,2019-02-23-16-notre-dame,42.1,8,6.3,2,88.1,78.4,29,0.413,52,0.365,19,0.596,31,0.774,24,6,200,100.0,47.1,16,18,67,20.0,7.5,5,0.34600000000000003,18,0.278,5,63.4,45,0.502,18.6,15,34,0.41200000000000003,14,0.778,21,"February 23, 2019",47.4,9,5.9,2,100.0,52.9,18,0.379,58,0.32799999999999996,19,0.276,16,0.938,15,14,200,88.1,21.6,8,25,59,,13.4,9,0.44799999999999995,26,0.231,6,36.6,26,0.45,13.3,10,32,0.406,13,0.48100000000000004,13,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",NOTRE-DAME,Notre Dame,66.7,Away,VIRGINIA-TECH,Virginia Tech,Notre Dame,acc,26,False,True,True,Home,False,6,13,58,26,71,5,14,52,0,1,222,407,1566,0.4725415070242657,909,1840,0.4940217391304348,204,480,1597,0.49217282404508456,0.5
