,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WISCONSIN_homegame,WISCONSIN_homegame2,WISCONSIN_home,WISCONSIN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
12,2018-12-29-17-western-kentucky,29.0,9,2.3,1,113.7,81.5,22,0.5,68,0.456,31,0.162,11,0.727,8,3,200,104.1,19.4,7,17,76,15.0,6.8,5,0.309,21,0.28600000000000003,6,46.0,29,0.519,8.8,7,47,0.532,25,0.769,10,"December 29, 2018",59.4,19,14.9,7,104.1,80.6,29,0.603,58,0.552,32,0.276,16,0.813,13,6,200,113.7,18.5,5,14,83,,6.8,5,0.259,15,0.4,6,54.0,34,0.633,16.7,13,43,0.605,26,0.5379999999999999,7,"E.A. Diddle Arena, Bowling Green, Kentucky",WISCONSIN,Wisconsin,73.4,Home,WESTERN-KENTUCKY,Western Kentucky,Wisconsin,big-ten,12,False,False,False,Away,False,6,25,68,29,63,6,26,58,0,1,98,241,686,0.565597667638484,405,754,0.5371352785145889,77,200,697,0.45265423242467717,0.8333333333333334
13,2019-01-03-21-wisconsin,38.1,8,0.0,0,81.3,93.5,29,0.5,48,0.43799999999999994,21,0.354,17,0.647,11,2,200,92.2,18.5,5,19,59,,10.9,7,0.292,14,0.429,6,58.6,34,0.526,19.0,13,34,0.441,15,0.857,12,"January 3, 2019",25.0,5,14.7,5,92.2,81.5,22,0.469,48,0.41700000000000004,20,0.354,17,0.41200000000000003,7,4,200,81.3,6.5,2,17,52,22.0,12.5,8,0.45799999999999996,22,0.22699999999999998,5,41.4,24,0.46399999999999997,15.3,10,26,0.5770000000000001,15,0.7140000000000001,10,"Kohl Center, Madison, Wisconsin",WISCONSIN,Wisconsin,64.1,Away,MINNESOTA,Minnesota,Wisconsin,big-ten,13,False,True,True,Home,False,5,15,48,24,58,6,15,48,0,1,104,266,754,0.5596816976127321,434,817,0.5312117503059975,83,226,755,0.4642384105960265,0.7692307692307693
14,2019-01-06-19-penn-state,56.7,17,18.2,6,81.3,70.0,21,0.557,61,0.49200000000000005,30,0.08199999999999999,5,0.6,3,4,200,110.9,22.6,7,14,71,22.0,14.1,9,0.262,16,0.5,8,45.9,28,0.56,8.7,6,45,0.489,22,0.733,11,"January 6, 2019",50.0,10,4.4,2,110.9,77.4,24,0.415,53,0.377,20,0.245,13,0.615,8,8,200,81.3,30.0,9,13,52,,6.3,4,0.377,20,0.2,4,54.1,33,0.439,21.4,16,33,0.485,16,0.467,7,"Bryce Jordan Center, University Park, Pennsylvania",PENN-STATE,Penn State,64.3,Away,WISCONSIN,Wisconsin,Wisconsin,big-ten,14,False,False,False,Away,True,8,22,61,28,61,4,16,53,1,0,109,281,802,0.5542394014962594,458,875,0.5234285714285715,89,241,803,0.4663760896637609,0.7142857142857143
15,2019-01-11-21-wisconsin,42.9,12,7.5,3,108.1,73.3,22,0.508,66,0.424,28,0.455,30,0.5670000000000001,17,6,225,113.5,42.9,15,19,84,,13.5,10,0.379,25,0.44,11,56.9,37,0.523,9.2,8,41,0.415,17,0.625,10,"January 11, 2019",43.3,13,7.3,3,113.5,57.1,20,0.616,56,0.536,30,0.33899999999999997,19,0.579,11,5,225,108.1,26.7,8,22,80,,2.7,2,0.28600000000000003,16,0.563,9,43.1,28,0.615,20.9,17,40,0.525,21,0.688,11,"Kohl Center, Madison, Wisconsin",WISCONSIN,Wisconsin,65.5,Away,PURDUE,Purdue,Wisconsin,big-ten,15,False,True,True,Home,False,9,21,56,28,65,11,17,66,0,1,117,303,863,0.5544611819235226,486,936,0.5192307692307693,93,257,856,0.4632009345794392,0.7333333333333333
16,2019-01-14-20-maryland,56.5,13,9.7,3,103.2,72.4,21,0.475,60,0.38299999999999995,23,0.1,6,0.5,3,6,200,96.8,24.2,8,23,60,,8.1,5,0.5,30,0.36700000000000005,11,46.8,29,0.47700000000000004,10.1,7,30,0.4,12,0.647,11,"January 14, 2019",43.8,7,16.7,5,96.8,75.8,25,0.426,47,0.34,16,0.617,29,0.828,24,3,200,103.2,27.6,8,12,64,19.0,4.8,3,0.34,16,0.5,8,53.2,33,0.527,14.3,10,31,0.258,8,0.833,15,"Xfinity Center, College Park, Maryland",WISCONSIN,Wisconsin,62.3,Home,MARYLAND,Maryland,Wisconsin,big-ten,16,False,False,False,Away,False,11,12,60,29,62,8,8,47,0,1,126,324,919,0.558215451577802,514,1001,0.5134865134865135,104,274,922,0.46637744034707157,0.6875
17,2019-01-19-12-wisconsin,50.0,11,15.6,7,95.5,80.6,25,0.45399999999999996,54,0.40700000000000003,22,0.204,11,0.455,5,1,200,80.6,25.8,8,17,54,2.0,9.0,6,0.33299999999999996,18,0.278,5,53.2,33,0.456,21.4,16,36,0.47200000000000003,17,0.9440000000000001,17,"January 19, 2019",65.4,17,8.3,3,80.6,74.2,23,0.491,58,0.44799999999999995,26,0.155,9,0.778,7,6,200,95.5,19.4,6,11,64,,10.4,7,0.22399999999999998,13,0.385,5,46.8,29,0.514,15.1,11,45,0.467,21,0.667,12,"Kohl Center, Madison, Wisconsin",MICHIGAN,Michigan,67.3,Home,WISCONSIN,Wisconsin,Wisconsin,big-ten,17,True,False,True,Home,True,5,21,58,29,62,5,17,54,1,0,137,336,979,0.5531154239019408,543,1063,0.510818438381938,112,282,969,0.46439628482972134,0.6470588235294118
18,2019-01-23-21-illinois,50.0,12,9.8,4,89.6,65.0,26,0.585,47,0.511,24,0.447,21,0.81,17,6,200,107.5,34.8,8,22,72,,7.5,5,0.298,14,0.5,7,54.0,34,0.632,23.2,17,33,0.515,17,0.684,13,"January 23, 2019",40.9,9,0.0,0,107.5,65.2,15,0.387,62,0.355,22,0.355,22,0.545,12,14,200,89.6,35.0,14,19,60,,14.9,10,0.33899999999999997,21,0.19,4,46.0,29,0.414,12.2,10,41,0.439,18,0.263,5,"State Farm Center, Champaign, Illinois",ILLINOIS,Illinois,67.2,Away,WISCONSIN,Wisconsin,Wisconsin,big-ten,18,False,False,False,Away,True,7,17,47,34,63,4,18,62,1,0,142,357,1037,0.549662487945998,572,1125,0.5084444444444445,117,299,1023,0.4638318670576735,0.6666666666666666
19,2019-01-26-14-wisconsin,43.8,7,8.1,3,95.4,93.3,28,0.361,54,0.29600000000000004,16,0.14800000000000002,8,0.875,7,8,200,70.8,16.7,6,14,46,,7.7,5,0.35200000000000004,19,0.368,7,51.5,34,0.39799999999999996,18.4,13,35,0.257,9,0.6,12,"January 26, 2019",62.5,15,17.1,6,70.8,83.3,30,0.509,56,0.429,24,0.161,9,0.556,5,6,200,95.4,6.7,2,13,62,,7.7,5,0.33899999999999997,19,0.474,9,48.5,32,0.514,10.5,7,37,0.405,15,0.7,14,"Kohl Center, Madison, Wisconsin",NORTHWESTERN,Northwestern,65.0,Home,WISCONSIN,Wisconsin,Wisconsin,big-ten,19,True,False,True,Home,True,9,15,56,32,66,7,9,54,1,0,149,374,1084,0.5511992619926199,606,1188,0.51010101010101,121,317,1085,0.4594470046082949,0.6842105263157895
20,2019-01-29-20-nebraska,50.0,12,5.0,2,83.6,61.9,26,0.518,55,0.436,24,0.2,11,0.455,5,6,200,101.6,20.6,7,19,62,24.0,6.6,4,0.418,23,0.391,9,43.4,33,0.515,10.5,7,32,0.469,15,0.7140000000000001,15,"January 29, 2019",41.2,7,6.3,2,101.6,79.4,27,0.317,60,0.28300000000000003,17,0.33299999999999996,20,0.65,13,8,200,83.6,38.1,16,16,51,,6.6,4,0.33299999999999996,20,0.2,4,56.6,43,0.36700000000000005,11.6,9,40,0.325,13,0.619,13,"Pinnacle Bank Arena, Lincoln, Nebraska",NEBRASKA,Nebraska,61.4,Away,WISCONSIN,Wisconsin,Wisconsin,big-ten,20,False,False,False,Away,True,9,15,55,33,76,4,13,60,1,0,158,389,1140,0.5491228070175439,638,1254,0.5087719298245614,128,326,1139,0.4547848990342406,0.7
21,2019-02-01-21-wisconsin,32.0,8,16.1,5,113.1,86.7,26,0.518,56,0.446,25,0.14300000000000002,8,0.375,3,6,200,100.0,31.0,9,18,61,21.0,3.3,2,0.35700000000000004,20,0.4,8,59.3,35,0.51,16.8,12,36,0.47200000000000003,17,0.7390000000000001,17,"February 1, 2019",56.5,13,11.1,4,100.0,69.0,20,0.561,49,0.469,23,0.469,23,0.609,14,6,200,113.1,13.3,4,14,69,24.0,11.5,7,0.36700000000000005,18,0.5,9,40.7,24,0.5760000000000001,6.3,4,31,0.452,14,0.727,16,"Kohl Center, Madison, Wisconsin",MARYLAND,Maryland,61.4,Home,WISCONSIN,Wisconsin,Wisconsin,big-ten,21,True,False,True,Home,True,9,14,49,24,59,8,17,56,1,0,167,404,1195,0.5476987447698745,671,1330,0.5045112781954887,132,339,1199,0.44787322768974147,0.7142857142857143
22,2019-02-06-21-minnesota,52.6,10,18.2,8,85.0,62.5,20,0.4,55,0.345,19,0.327,18,0.667,12,6,200,93.3,21.6,8,13,56,19.0,8.3,5,0.4,22,0.273,6,40.6,28,0.441,7.4,5,33,0.39399999999999996,13,0.7390000000000001,17,"February 6, 2019",50.0,10,24.2,8,93.3,78.4,29,0.36,57,0.35100000000000003,20,0.228,13,0.769,10,7,200,85.0,37.5,12,16,51,,6.7,4,0.228,13,0.077,1,59.4,41,0.40399999999999997,12.5,9,44,0.43200000000000005,19,0.696,16,"Williams Arena, Minneapolis, Minnesota",MINNESOTA,Minnesota,60.4,Away,WISCONSIN,Wisconsin,Wisconsin,big-ten,22,False,False,False,Away,True,6,13,55,28,69,1,19,57,1,0,176,418,1244,0.5482315112540193,695,1389,0.5003599712023038,140,356,1255,0.450996015936255,0.7272727272727273
23,2019-02-09-12-michigan,20.8,5,12.8,5,101.7,83.3,25,0.441,59,0.40700000000000003,24,0.034,2,0.0,0,7,200,86.7,19.4,7,13,52,19.0,3.3,2,0.203,12,0.33299999999999996,4,48.5,32,0.434,10.5,7,47,0.426,20,0.708,17,"February 9, 2019",44.0,11,10.6,5,86.7,80.6,29,0.48200000000000004,56,0.446,25,0.161,9,0.778,7,2,200,101.7,16.7,5,9,61,7.0,8.3,5,0.304,17,0.235,4,51.5,34,0.506,7.7,5,39,0.5379999999999999,21,0.917,22,"Crisler Arena, Ann Arbor, Michigan",WISCONSIN,Wisconsin,60.1,Home,MICHIGAN,Michigan,Wisconsin,big-ten,23,False,False,False,Away,False,4,20,59,32,66,4,21,56,0,1,182,431,1299,0.541955350269438,723,1458,0.49588477366255146,141,375,1312,0.44702743902439024,0.7391304347826086
24,2019-02-12-19-wisconsin,44.0,11,19.4,7,88.1,85.7,30,0.518,57,0.439,25,0.193,11,0.727,8,5,200,100.0,26.7,8,12,67,11.0,7.5,5,0.386,22,0.409,9,58.5,38,0.5379999999999999,17.4,13,35,0.457,16,0.8,20,"February 12, 2019",41.7,10,14.3,5,100.0,73.3,22,0.48200000000000004,56,0.429,24,0.214,12,0.41700000000000004,5,8,200,88.1,14.3,5,12,59,20.0,10.4,7,0.35700000000000004,20,0.3,6,41.5,27,0.478,14.0,10,36,0.5,18,0.68,17,"Kohl Center, Madison, Wisconsin",WISCONSIN,Wisconsin,67.0,Away,MICHIGAN-STATE,Michigan State,Wisconsin,big-ten,24,False,True,True,Home,False,6,18,56,27,65,9,16,57,0,1,186,451,1358,0.5375552282768777,755,1524,0.4954068241469816,145,396,1368,0.44846491228070173,0.7083333333333334
25,2019-02-18-20-wisconsin,42.9,9,10.8,4,97.0,65.7,23,0.429,56,0.375,21,0.196,11,0.909,10,16,200,87.9,21.2,7,21,58,,9.1,6,0.33899999999999997,19,0.316,6,44.1,30,0.474,17.6,13,37,0.405,15,0.385,10,"February 18, 2019",40.9,9,13.5,5,87.9,78.8,26,0.445,55,0.4,22,0.418,23,0.652,15,8,200,97.0,34.3,12,14,64,22.0,9.1,6,0.327,18,0.278,5,55.9,38,0.485,13.3,10,37,0.45899999999999996,17,0.6920000000000001,18,"Kohl Center, Madison, Wisconsin",ILLINOIS,Illinois,65.6,Home,WISCONSIN,Wisconsin,Wisconsin,big-ten,25,True,False,True,Home,True,5,17,55,38,68,6,15,56,1,0,192,469,1414,0.5353606789250354,782,1589,0.4921334172435494,154,412,1425,0.4512280701754386,0.68
26,2019-02-23-20-northwestern,48.0,12,10.5,4,97.0,90.3,28,0.518,55,0.455,25,0.29100000000000004,16,0.75,12,8,200,104.5,22.2,6,15,69,22.0,1.5,1,0.345,19,0.368,7,58.6,34,0.551,13.9,10,36,0.5,18,0.7040000000000001,19,"February 23, 2019",70.8,17,19.4,7,104.5,77.8,21,0.45799999999999996,59,0.40700000000000003,24,0.237,14,0.7140000000000001,10,15,200,97.0,9.7,3,15,64,,9.1,6,0.35600000000000004,21,0.28600000000000003,6,41.4,24,0.48700000000000004,4.4,3,38,0.474,18,0.444,12,"Welsh-Ryan Arena, Evanston, Illinois",NORTHWESTERN,Northwestern,66.1,Away,WISCONSIN,Wisconsin,Wisconsin,big-ten,26,False,False,False,Away,True,7,18,55,34,58,6,18,59,1,0,197,486,1469,0.5319945541184479,820,1657,0.4948702474351237,160,427,1481,0.450371370695476,0.6923076923076923
