,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NIAGARA_homegame,NIAGARA_homegame2,NIAGARA_home,NIAGARA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-22-13-army,36.7,11,15.0,6,79.5,85.7,36,0.532,63,0.47600000000000003,30,0.23800000000000002,15,0.733,11,5,200,94.0,15.6,5,13,78,,8.4,7,0.33299999999999996,21,0.33299999999999996,7,55.4,41,0.556,20.5,18,42,0.5479999999999999,23,0.545,6,"December 22, 2018",73.9,17,0.0,0,94.0,84.4,27,0.441,68,0.33799999999999997,23,0.162,11,0.545,6,8,200,79.5,14.3,6,16,66,,7.2,6,0.41200000000000003,28,0.5,14,44.6,33,0.451,17.1,15,40,0.225,9,0.385,5,"Christl Arena, West Point, New York",ARMY,Army,82.7,Away,NIAGARA,Niagara,Niagara,maac,10,False,False,False,Away,True,7,23,63,41,74,14,9,68,1,0,69,171,627,0.43779904306220097,364,721,0.5048543689320388,77,196,623,0.5,0.5
11,2018-12-29-15-niagara,35.5,11,13.9,5,107.8,82.1,32,0.522,67,0.46299999999999997,31,0.09,6,0.833,5,10,200,97.4,20.0,7,23,75,,2.6,2,0.284,19,0.42100000000000004,8,52.7,39,0.537,17.7,15,48,0.479,23,0.33299999999999996,5,"December 29, 2018",77.8,21,10.4,5,97.4,80.0,28,0.525,61,0.44299999999999995,27,0.475,29,0.655,19,5,200,107.8,17.9,7,14,83,,5.2,4,0.41,25,0.4,10,47.3,35,0.555,9.8,8,36,0.47200000000000003,17,0.583,7,"Gallagher Center, Niagara University, New York",NORFOLK-STATE,Norfolk State,76.8,Home,NIAGARA,Niagara,Niagara,maac,11,True,False,True,Home,True,10,17,61,35,74,8,23,67,1,0,76,194,690,0.4463768115942029,405,795,0.5094339622641509,91,205,691,0.49421128798842257,0.5454545454545454
12,2018-12-31-15-niagara,44.8,13,0.0,0,101.4,74.4,29,0.531,64,0.45299999999999996,29,0.203,13,0.846,11,10,200,108.2,27.3,9,22,79,,8.2,6,0.43799999999999994,28,0.35700000000000004,10,52.8,38,0.563,14.7,12,36,0.528,19,0.33299999999999996,5,"December 31, 2018",36.4,8,16.7,6,108.2,72.7,24,0.433,60,0.36700000000000005,22,0.5,30,0.733,22,6,200,101.4,25.6,10,17,74,,5.5,4,0.36700000000000005,22,0.364,8,47.2,34,0.498,9.9,8,38,0.368,14,0.5379999999999999,7,"Gallagher Center, Niagara University, New York",NIAGARA,Niagara,72.7,Away,ALBANY-NY,Albany (NY),Niagara,maac,12,False,True,True,Home,False,8,14,60,34,72,10,19,64,0,1,86,211,751,0.45272969374167776,440,869,0.5063291139240507,99,228,758,0.4967018469656992,0.5833333333333334
13,2019-01-05-19-manhattan,50.0,13,12.5,4,130.4,63.2,12,0.536,55,0.473,26,0.455,25,0.84,21,7,200,115.9,37.5,9,19,80,,7.2,5,0.327,18,0.389,7,48.8,21,0.598,15.4,12,37,0.514,19,0.5,7,"January 5, 2019",55.9,19,5.4,2,115.9,62.5,15,0.75,54,0.63,34,0.259,14,0.643,9,11,200,130.4,36.8,7,23,90,,8.7,6,0.40700000000000003,22,0.591,13,51.2,22,0.742,18.9,14,32,0.6559999999999999,21,0.214,3,"Draddy Gymnasium, Riverdale, New York",NIAGARA,Niagara,68.8,Home,MANHATTAN,Manhattan,Niagara,maac,13,False,False,False,Away,False,7,19,55,21,43,13,21,54,0,1,94,225,811,0.45129469790382243,474,941,0.5037194473963869,109,247,822,0.49939172749391725,0.5384615384615384
14,2019-01-07-19-fairfield,45.5,10,2.6,1,105.5,64.3,18,0.455,55,0.4,22,0.23600000000000002,13,0.6920000000000001,9,8,200,80.8,16.7,6,15,59,,8.2,6,0.382,21,0.28600000000000003,6,37.5,24,0.48200000000000004,21.9,17,34,0.47100000000000003,16,0.467,7,"January 7, 2019",61.3,19,5.9,2,80.8,83.3,30,0.557,61,0.508,31,0.18,11,0.818,9,11,200,105.5,35.7,10,18,77,,12.3,9,0.361,22,0.273,6,62.5,40,0.581,20.5,17,39,0.6409999999999999,25,0.267,4,"George Bisacca Court at Alumni Hall, Fairfield, Connecticut",NIAGARA,Niagara,72.7,Home,FAIRFIELD,Fairfield,Niagara,maac,14,False,False,False,Away,False,6,16,55,24,64,6,25,61,0,1,101,244,866,0.45669745958429564,495,984,0.5030487804878049,122,268,876,0.5148401826484018,0.5
15,2019-01-11-19-niagara,40.0,14,4.4,2,117.3,61.9,26,0.59,67,0.522,35,0.254,17,0.647,11,10,200,111.1,9.1,3,18,90,,14.8,12,0.32799999999999996,22,0.409,9,38.7,29,0.599,9.7,8,45,0.578,26,0.28600000000000003,4,"January 11, 2019",50.0,18,6.7,3,111.1,90.9,30,0.552,77,0.46799999999999997,36,0.16899999999999998,13,0.769,10,8,200,117.3,38.1,16,17,95,,3.7,3,0.41600000000000004,32,0.406,13,61.3,46,0.5710000000000001,14.5,14,45,0.511,23,0.5,8,"Gallagher Center, Niagara University, New York",IONA,Iona,80.6,Home,NIAGARA,Niagara,Niagara,maac,15,True,False,True,Home,True,13,23,77,46,75,9,26,67,1,0,107,260,921,0.4565689467969598,519,1048,0.4952290076335878,128,293,937,0.5176093916755603,0.4666666666666667
16,2019-01-13-14-niagara,48.8,20,4.5,2,107.7,76.9,30,0.679,67,0.612,41,0.254,17,0.765,13,7,200,133.3,29.6,8,15,104,,5.1,4,0.358,24,0.375,9,57.6,38,0.693,12.9,11,43,0.7440000000000001,32,0.562,9,"January 13, 2019",40.6,13,2.3,1,133.3,70.4,19,0.529,69,0.46399999999999997,32,0.23199999999999998,16,0.688,11,9,200,107.7,23.1,9,16,84,,6.4,5,0.36200000000000004,25,0.36,9,42.4,28,0.5479999999999999,11.6,10,44,0.523,23,0.47100000000000003,8,"Gallagher Center, Niagara University, New York",NIAGARA,Niagara,77.8,Away,RIDER,Rider,Niagara,maac,16,False,True,True,Home,False,9,23,69,28,66,9,32,67,0,1,120,283,998,0.46392785571142287,565,1123,0.5031166518254675,137,319,1004,0.522410358565737,0.5
17,2019-01-17-19-siena,27.3,6,10.8,4,101.5,79.3,23,0.429,56,0.39299999999999996,22,0.214,12,0.75,9,10,200,87.7,21.9,7,16,57,,7.7,5,0.39299999999999996,22,0.182,4,49.2,30,0.462,15.2,11,34,0.529,18,0.444,8,"January 17, 2019",56.5,13,2.9,1,87.7,78.1,25,0.491,54,0.426,23,0.315,17,0.765,13,11,200,101.5,20.7,6,14,66,,6.2,4,0.315,17,0.41200000000000003,7,50.8,31,0.532,11.5,8,37,0.43200000000000005,16,0.389,7,"Times Union Center , Albany, New York",NIAGARA,Niagara,64.9,Home,SIENA,Siena,Niagara,maac,17,False,False,False,Away,False,4,18,56,30,61,7,16,54,0,1,129,306,1067,0.4681349578256795,593,1189,0.4987384356602187,146,351,1071,0.5322128851540616,0.47058823529411764
18,2019-01-19-14-quinnipiac,29.6,8,9.7,3,112.5,64.5,20,0.625,52,0.519,27,0.327,17,0.588,10,10,200,117.2,21.4,6,14,75,,7.8,5,0.365,19,0.579,11,44.1,26,0.624,13.1,9,33,0.485,16,0.474,9,"January 19, 2019",61.5,16,3.0,1,117.2,78.6,22,0.508,61,0.426,26,0.18,11,0.909,10,9,200,112.5,35.5,11,17,72,,6.3,4,0.49200000000000005,30,0.33299999999999996,10,55.9,33,0.544,13.2,10,31,0.516,16,0.47100000000000003,8,"TD Bank Sports Center, Hamden, Connecticut",QUINNIPIAC,Quinnipiac,64.2,Away,NIAGARA,Niagara,Niagara,maac,18,False,False,False,Away,True,11,16,52,26,59,10,16,61,1,0,133,324,1123,0.4661620658949243,623,1250,0.4984,153,367,1125,0.5302222222222223,0.4444444444444444
19,2019-01-22-20-niagara,37.0,10,20.0,5,110.8,92.0,23,0.598,51,0.529,27,0.33299999999999996,17,0.765,13,12,200,113.8,36.0,9,17,74,,7.7,5,0.255,13,0.5379999999999999,7,64.0,32,0.626,18.2,13,38,0.526,20,0.33299999999999996,6,"January 22, 2019",61.9,13,7.9,3,113.8,64.0,16,0.5870000000000001,46,0.457,21,0.5,23,0.7829999999999999,18,11,200,110.8,8.0,2,13,72,,9.2,6,0.457,21,0.5710000000000001,12,36.0,18,0.632,17.6,12,25,0.36,9,0.45,9,"Gallagher Center, Niagara University, New York",NIAGARA,Niagara,65.0,Away,SAINT-PETERS,St. Peter's,Niagara,maac,19,False,True,True,Home,False,12,9,46,18,50,7,20,51,0,1,144,340,1175,0.47319148936170213,649,1309,0.4957983193277311,163,383,1186,0.5290893760539629,0.47368421052631576
20,2019-01-26-15-niagara,57.9,11,11.5,3,117.2,73.1,19,0.382,55,0.345,19,0.23600000000000002,13,0.462,6,16,200,75.0,27.5,11,18,48,,7.8,5,0.218,12,0.33299999999999996,4,45.5,30,0.392,16.5,12,43,0.349,15,0.273,6,"January 26, 2019",50.0,11,2.3,1,75.0,72.5,29,0.539,51,0.431,22,0.451,23,0.87,20,11,200,117.2,26.9,7,13,75,,6.3,4,0.49,25,0.44,11,54.5,36,0.606,14.1,10,26,0.423,11,0.47600000000000003,10,"Gallagher Center, Niagara University, New York",MONMOUTH,Monmouth,63.6,Home,NIAGARA,Niagara,Niagara,maac,20,True,False,True,Home,True,11,11,51,36,66,4,15,55,1,0,156,349,1221,0.4774774774774775,667,1359,0.49080206033848417,170,403,1237,0.5319320937752627,0.45
21,2019-01-30-19-niagara,65.5,19,8.8,3,113.0,63.0,17,0.5329999999999999,61,0.475,29,0.115,7,0.7140000000000001,5,12,200,101.4,22.2,6,22,70,,10.1,7,0.361,22,0.318,7,42.6,23,0.544,15.8,12,39,0.564,22,0.4,8,"January 30, 2019",28.0,7,15.4,6,101.4,77.8,21,0.5489999999999999,51,0.49,25,0.529,27,0.815,22,11,200,113.0,37.0,10,9,78,,4.3,3,0.33299999999999996,17,0.353,6,57.4,31,0.611,17.1,13,34,0.5589999999999999,19,0.5,11,"Gallagher Center, Niagara University, New York",CANISIUS,Canisius,68.6,Home,NIAGARA,Niagara,Niagara,maac,21,True,False,True,Home,True,6,19,51,31,54,7,22,61,1,0,167,360,1272,0.47995283018867924,703,1425,0.49333333333333335,174,418,1292,0.5255417956656346,0.47619047619047616
22,2019-02-03-14-niagara,44.0,11,2.8,1,112.3,59.5,22,0.608,51,0.49,25,0.588,30,0.733,22,10,200,129.2,31.0,9,11,84,,7.7,5,0.5489999999999999,28,0.429,12,47.0,31,0.644,9.8,7,23,0.565,13,0.524,11,"February 3, 2019",37.0,10,4.3,1,129.2,69.0,20,0.5,64,0.42200000000000004,27,0.23399999999999999,15,0.6,9,12,200,112.3,40.5,15,23,73,,6.2,4,0.43799999999999994,28,0.35700000000000004,10,53.0,35,0.513,12.4,10,36,0.47200000000000003,17,0.478,11,"Gallagher Center, Niagara University, New York",NIAGARA,Niagara,64.7,Away,QUINNIPIAC,Quinnipiac,Niagara,maac,22,False,True,True,Home,False,10,17,64,35,66,12,13,51,0,1,173,379,1323,0.48261526832955404,734,1479,0.49628127112914133,181,440,1353,0.5258684405025869,0.5
23,2019-02-08-19-marist,31.8,7,7.1,2,133.9,81.0,17,0.51,50,0.44,22,0.2,10,0.7,7,13,200,98.3,18.5,5,9,58,,3.4,2,0.36,18,0.389,7,45.8,22,0.53,16.8,11,32,0.469,15,0.45799999999999996,11,"February 8, 2019",67.7,21,6.3,2,98.3,81.5,22,0.7040000000000001,54,0.574,31,0.07400000000000001,4,0.75,3,14,200,133.9,19.0,4,10,79,,5.1,3,0.48100000000000004,26,0.5379999999999999,14,54.2,26,0.7070000000000001,9.7,6,28,0.607,17,0.41700000000000004,10,"McCann Recreation Center, Poughkeepsie, New York",NIAGARA,Niagara,59.3,Home,MARIST,Marist,Niagara,maac,23,False,False,False,Away,False,7,15,50,22,48,14,17,54,0,1,183,396,1387,0.4834174477289113,769,1545,0.49773462783171524,193,453,1404,0.5288461538461539,0.4782608695652174
24,2019-02-10-13-iona,46.2,12,8.6,3,108.2,75.0,24,0.578,58,0.44799999999999995,26,0.207,12,0.75,9,14,200,104.1,17.2,5,19,76,,6.8,5,0.483,28,0.536,15,47.5,29,0.597,20.2,16,30,0.36700000000000005,11,0.44,11,"February 10, 2019",50.0,14,13.3,4,104.1,82.8,24,0.5329999999999999,60,0.467,28,0.33299999999999996,20,0.75,15,15,200,108.2,25.0,8,14,79,,8.2,6,0.41700000000000004,25,0.32,8,52.5,32,0.568,12.7,10,35,0.5710000000000001,20,0.348,8,"Hynes Athletics Center, New Rochelle, New York",NIAGARA,Niagara,73.1,Home,IONA,Iona,Niagara,maac,24,False,False,False,Away,False,15,11,58,29,61,8,20,60,0,1,190,411,1437,0.48434237995824636,791,1593,0.4965473948524796,207,470,1458,0.5353223593964335,0.4583333333333333
25,2019-02-15-19-niagara,71.4,15,3.2,1,101.7,82.1,23,0.5529999999999999,47,0.447,21,0.298,14,0.857,12,17,200,108.5,23.1,6,18,64,,6.8,4,0.447,21,0.47600000000000003,10,53.7,29,0.596,15.8,10,26,0.423,11,0.32,8,"February 15, 2019",54.5,12,23.1,6,108.5,76.9,20,0.532,47,0.46799999999999997,22,0.34,16,0.625,10,15,200,101.7,17.9,5,17,60,,3.4,2,0.34,16,0.375,6,46.3,25,0.5489999999999999,15.6,10,31,0.516,16,0.423,11,"Gallagher Center, Niagara University, New York",NIAGARA,Niagara,58.6,Away,MANHATTAN,Manhattan,Niagara,maac,25,False,True,True,Home,False,6,16,47,25,54,10,11,47,0,1,205,422,1495,0.4879598662207358,820,1654,0.4957678355501814,215,490,1518,0.5352437417654808,0.44
26,2019-02-17-14-niagara,46.7,14,3.0,1,102.6,83.3,25,0.515,67,0.44799999999999995,30,0.06,4,1.0,4,20,200,96.1,14.3,5,27,73,,13.2,10,0.34299999999999997,23,0.391,9,46.2,30,0.53,14.9,12,44,0.47700000000000004,21,0.259,7,"February 17, 2019",44.0,11,11.4,5,96.1,85.7,30,0.5670000000000001,52,0.48100000000000004,25,0.5579999999999999,29,0.655,19,15,200,102.6,16.7,5,10,78,,5.3,4,0.365,19,0.474,9,53.8,35,0.593,19.8,16,33,0.485,16,0.444,12,"Gallagher Center, Niagara University, New York",FAIRFIELD,Fairfield,76.3,Home,NIAGARA,Niagara,Niagara,maac,26,True,False,True,Home,True,9,16,52,35,65,9,21,67,1,0,211,438,1542,0.4892996108949416,845,1708,0.49473067915690866,225,501,1565,0.5357827476038338,0.4230769230769231
27,2019-02-22-19-rider,50.0,15,7.3,3,110.2,70.5,31,0.44799999999999995,77,0.39,30,0.247,19,0.632,12,16,200,92.0,33.3,14,18,81,,6.8,6,0.40299999999999997,31,0.29,9,52.3,45,0.47100000000000003,17.4,18,46,0.457,21,0.429,12,"February 22, 2019",69.4,25,10.9,5,92.0,66.7,28,0.5670000000000001,75,0.48,36,0.32,24,0.5,12,13,200,110.2,29.5,13,19,97,,18.2,16,0.45299999999999996,34,0.382,13,47.7,41,0.561,13.2,13,41,0.561,23,0.536,15,"Alumni Gymnasium, Lawrenceville, New Jersey",NIAGARA,Niagara,88.2,Home,RIDER,Rider,Niagara,maac,27,False,False,False,Away,False,9,21,77,45,86,13,23,75,0,1,220,454,1594,0.4918444165621079,880,1773,0.49633389734912575,234,522,1632,0.5349264705882353,0.4444444444444444
