,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,STETSON_homegame,STETSON_homegame2,STETSON_home,STETSON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-08-13-stetson,60.7,17,8.3,2,107.1,82.1,23,0.591,55,0.509,28,0.364,20,0.7,14,4,200,112.9,23.3,7,17,79,,12.9,9,0.364,20,0.45,9,51.7,30,0.612,13.6,10,35,0.5429999999999999,19,0.5,4,"December 8, 2018",72.0,18,5.7,2,112.9,76.7,23,0.575,53,0.47200000000000003,25,0.34,18,0.778,14,9,200,107.1,17.9,5,20,75,,8.6,6,0.547,29,0.379,11,48.3,28,0.609,19.8,15,24,0.583,14,0.182,2,"Edmunds Center, DeLand, Florida",STETSON,Stetson,69.5,Away,MARIST,Marist,Stetson,atlantic-sun,10,False,True,True,Home,False,11,14,53,28,58,9,19,55,0,1,58,214,674,0.4465875370919881,349,730,0.4780821917808219,76,216,617,0.5348460291734197,0.2
11,2018-12-16-15-central-florida,43.5,10,2.9,1,121.6,75.8,25,0.384,69,0.33299999999999996,23,0.23199999999999998,16,0.75,12,10,200,87.8,23.8,10,24,65,,8.1,6,0.377,26,0.26899999999999996,7,46.7,35,0.424,8.4,7,43,0.37200000000000005,16,0.16699999999999998,2,"December 16, 2018",62.1,18,16.3,7,87.8,76.2,32,0.5479999999999999,62,0.46799999999999997,29,0.5,31,0.71,22,2,200,121.6,24.2,8,15,90,,5.4,4,0.452,28,0.35700000000000004,10,53.3,40,0.5870000000000001,7.3,6,34,0.5589999999999999,19,0.818,9,"CFE Arena, Orlando, Florida",STETSON,Stetson,74.2,Home,CENTRAL-FLORIDA,UCF,Stetson,atlantic-sun,11,False,False,False,Away,False,7,16,69,35,75,10,19,62,0,1,69,228,727,0.45598349381017883,377,788,0.4784263959390863,85,235,672,0.5394345238095238,0.18181818181818182
12,2018-12-18-19-stetson,44.0,11,5.0,2,119.4,73.3,22,0.536,55,0.455,25,0.309,17,0.882,15,10,200,110.4,42.9,12,15,74,,7.5,5,0.382,21,0.429,9,58.6,34,0.5870000000000001,19.4,15,34,0.47100000000000003,16,0.091,1,"December 18, 2018",54.8,17,8.8,3,110.4,57.1,16,0.575,60,0.517,31,0.267,16,0.688,11,10,200,119.4,26.7,8,15,80,,7.5,5,0.33299999999999996,20,0.35,7,41.4,24,0.5920000000000001,11.8,9,40,0.6,24,0.231,3,"Edmunds Center, DeLand, Florida",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,67.3,Home,STETSON,Stetson,Stetson,atlantic-sun,12,True,False,True,Home,True,7,24,60,24,58,9,16,55,1,0,76,244,796,0.44974874371859297,412,863,0.47740440324449596,95,254,734,0.5401907356948229,0.16666666666666666
13,2018-12-21-19-longwood,54.5,12,16.7,3,122.2,68.2,15,0.5,56,0.39299999999999996,22,0.14300000000000002,8,0.875,7,11,200,100.0,30.0,9,17,63,,7.9,5,0.46399999999999997,26,0.462,12,46.2,24,0.527,19.0,14,30,0.33299999999999996,10,0.214,3,"December 21, 2018",72.0,18,0.0,0,100.0,70.0,21,0.67,50,0.5,25,0.32,16,0.625,10,5,200,122.2,31.8,7,14,77,,7.9,5,0.64,32,0.531,17,53.8,28,0.6679999999999999,16.2,11,18,0.444,8,0.643,9,"Willett Hall, Farmville, Virginia",STETSON,Stetson,63.2,Home,LONGWOOD,Longwood,Stetson,atlantic-sun,13,False,False,False,Away,False,12,10,56,24,52,17,8,50,0,1,83,268,856,0.45852803738317754,436,921,0.4733984799131379,104,270,789,0.5399239543726235,0.23076923076923078
14,2019-01-03-19-stetson,63.0,17,7.1,2,107.5,61.1,22,0.5429999999999999,58,0.466,27,0.086,5,0.4,2,0,200,97.0,35.5,11,14,65,,11.9,8,0.397,23,0.391,9,49.3,33,0.5379999999999999,21.0,16,35,0.514,18,0.0,0,"January 3, 2019",59.1,13,25.7,9,97.0,64.5,20,0.48200000000000004,57,0.386,22,0.35100000000000003,20,0.85,17,11,200,107.5,38.9,14,9,72,,16.4,11,0.509,29,0.379,11,50.7,34,0.541,19.6,16,28,0.39299999999999996,11,0.267,4,"Edmunds Center, DeLand, Florida","Edward Waters
			","Edward Waters
			",66.9,Home,STETSON,Stetson,Stetson,atlantic-sun,14,True,False,True,Home,True,11,11,57,34,67,9,18,58,1,0,95,278,912,0.4610745614035088,460,973,0.4727646454265159,121,278,839,0.5476758045292014,0.21428571428571427
15,2019-01-09-19-stetson,55.2,16,9.7,3,85.5,75.0,21,0.63,54,0.537,29,0.111,6,0.5,3,4,200,114.5,33.3,8,9,71,,9.7,6,0.444,24,0.41700000000000004,10,55.8,29,0.624,19.8,14,30,0.633,19,0.765,13,"January 9, 2019",70.0,14,3.3,1,114.5,66.7,16,0.461,51,0.392,20,0.17600000000000002,9,0.667,6,12,200,85.5,25.0,7,8,53,,16.1,10,0.392,20,0.35,7,44.2,23,0.479,19.1,13,31,0.419,13,0.25,4,"Edmunds Center, DeLand, Florida",STETSON,Stetson,62.1,Away,LIBERTY,Liberty,Stetson,atlantic-sun,15,False,True,True,Home,False,7,13,51,23,52,10,19,54,0,1,106,289,969,0.46233230134158926,494,1040,0.475,130,296,897,0.5473801560758083,0.26666666666666666
16,2019-01-12-17-lipscomb,52.0,13,9.8,4,118.8,63.2,24,0.43799999999999994,64,0.391,25,0.375,24,0.625,15,13,200,88.8,22.0,9,24,71,,7.5,6,0.281,18,0.33299999999999996,6,41.8,33,0.47100000000000003,14.8,13,46,0.413,19,0.235,4,"January 12, 2019",54.8,17,8.7,4,88.8,78.0,32,0.53,66,0.47,31,0.455,30,0.833,25,4,200,118.8,36.8,14,23,95,,3.8,3,0.379,25,0.32,8,58.2,46,0.5920000000000001,15.0,14,41,0.561,23,0.75,12,"Allen Arena, Nashville, Tennessee",STETSON,Stetson,79.8,Home,LIPSCOMB,Lipscomb,Stetson,atlantic-sun,16,False,False,False,Away,False,6,19,64,33,79,8,23,66,0,1,113,302,1020,0.46225490196078434,517,1092,0.4734432234432234,140,315,951,0.5520504731861199,0.25
17,2019-01-16-19-stetson,63.3,19,6.0,3,113.2,67.4,29,0.608,60,0.5,30,0.36700000000000005,22,0.636,14,10,200,127.9,40.0,12,13,87,,4.4,3,0.5,30,0.433,13,56.2,41,0.617,12.6,10,30,0.5670000000000001,17,0.474,9,"January 16, 2019",62.1,18,13.3,4,127.9,60.0,18,0.47100000000000003,68,0.426,29,0.294,20,0.65,13,14,200,113.2,32.6,14,17,77,,8.8,6,0.265,18,0.33299999999999996,6,43.8,32,0.49700000000000005,6.1,5,50,0.46,23,0.222,4,"Edmunds Center, DeLand, Florida",STETSON,Stetson,68.5,Away,NORTH-FLORIDA,North Florida,Stetson,atlantic-sun,17,False,True,True,Home,False,6,23,68,32,73,13,17,60,0,1,119,321,1084,0.46079335793357934,550,1171,0.46968403074295473,148,338,1017,0.5506391347099312,0.23529411764705882
18,2019-01-19-16-north-alabama,40.0,8,7.7,3,88.7,61.0,25,0.41100000000000003,56,0.35700000000000004,20,0.446,25,0.64,16,15,200,87.3,21.6,8,23,62,,8.5,6,0.321,18,0.33299999999999996,6,42.3,33,0.457,14.1,11,38,0.368,14,0.21100000000000002,4,"January 19, 2019",21.7,5,5.3,2,87.3,78.4,29,0.391,64,0.359,23,0.391,25,0.52,13,13,200,88.7,39.0,16,22,63,,11.3,8,0.391,25,0.16,4,57.7,45,0.415,12.8,11,39,0.48700000000000004,19,0.35,7,"Flowers Hall, Florence, Alabama",STETSON,Stetson,70.9,Home,NORTH-ALABAMA,North Alabama,Stetson,atlantic-sun,18,False,False,False,Away,False,6,14,56,33,78,4,19,64,0,1,125,344,1152,0.4613715277777778,582,1244,0.4678456591639871,161,355,1077,0.5538532961931291,0.2222222222222222
19,2019-01-21-19-florida-gulf-coast,60.9,14,2.5,1,116.0,78.1,25,0.435,62,0.371,23,0.226,14,0.7859999999999999,11,16,200,86.7,26.3,10,15,65,,5.3,4,0.419,26,0.308,8,50.0,35,0.473,20.0,17,36,0.41700000000000004,15,0.2,4,"January 21, 2019",64.7,22,11.1,4,86.7,73.7,28,0.574,68,0.5,34,0.17600000000000002,12,0.75,9,13,200,116.0,21.9,7,13,87,,14.7,11,0.41200000000000003,28,0.35700000000000004,10,50.0,35,0.59,8.7,7,40,0.6,24,0.35,7,"Alico Arena, Fort Myers, Florida",STETSON,Stetson,74.7,Home,FLORIDA-GULF-COAST,Florida Gulf Coast,Stetson,atlantic-sun,19,False,False,False,Away,False,8,15,62,35,70,10,24,68,0,1,131,358,1208,0.459023178807947,615,1322,0.46520423600605143,165,374,1141,0.5446976336546888,0.21052631578947367
20,2019-01-24-19-stetson,73.3,22,7.5,3,83.1,82.1,32,0.72,50,0.6,30,0.32,16,0.625,10,5,200,115.5,17.4,4,18,82,,8.5,6,0.44,22,0.545,12,58.1,36,0.7120000000000001,20.8,15,28,0.643,18,0.762,16,"January 24, 2019",45.5,10,0.0,0,115.5,82.6,19,0.40399999999999997,57,0.386,22,0.386,22,0.591,13,17,200,83.1,17.9,7,15,59,,15.5,11,0.298,17,0.11800000000000001,2,41.9,26,0.43700000000000006,16.3,13,40,0.5,20,0.19,4,"Edmunds Center, DeLand, Florida",STETSON,Stetson,71.0,Away,NJIT,NJIT,Stetson,atlantic-sun,20,False,True,True,Home,False,2,20,57,26,62,12,18,50,0,1,139,373,1270,0.4578740157480315,650,1392,0.46695402298850575,175,398,1209,0.5463192721257237,0.2
21,2019-01-27-16-stetson,66.7,18,4.8,2,85.5,75.6,34,0.569,58,0.466,27,0.517,30,0.733,22,4,200,115.8,12.5,4,18,88,,7.9,6,0.466,27,0.444,12,49.4,38,0.609,13.4,11,31,0.484,15,0.8,16,"January 27, 2019",34.8,8,6.5,2,115.8,87.5,28,0.38799999999999996,67,0.34299999999999997,23,0.254,17,0.765,13,18,200,85.5,24.4,11,18,65,,11.8,9,0.373,25,0.24,6,50.6,39,0.433,10.8,9,42,0.405,17,0.182,4,"Edmunds Center, DeLand, Florida",STETSON,Stetson,76.2,Away,LIPSCOMB,Lipscomb,Stetson,atlantic-sun,21,False,True,True,Home,False,6,17,67,39,77,12,15,58,0,1,141,393,1327,0.45553880934438584,676,1454,0.4649243466299862,187,416,1259,0.5532168387609213,0.19047619047619047
22,2019-01-30-19-jacksonville,35.0,7,9.1,3,100.0,57.6,19,0.4,60,0.33299999999999996,20,0.28300000000000003,17,0.529,9,19,200,79.2,14.6,6,18,57,,13.9,10,0.36700000000000005,22,0.364,8,33.8,25,0.419,11.8,9,38,0.316,12,0.174,4,"January 30, 2019",66.7,16,18.4,7,79.2,85.4,35,0.491,56,0.429,24,0.375,21,0.81,17,13,200,100.0,42.4,14,12,72,,2.8,2,0.41100000000000003,23,0.304,7,66.2,49,0.546,23.5,20,33,0.515,17,0.435,10,"Swisher Gymnasium, Jacksonville, Florida",STETSON,Stetson,71.5,Home,JACKSONVILLE,Jacksonville,Stetson,atlantic-sun,22,False,False,False,Away,False,8,12,60,25,74,7,17,56,0,1,147,410,1394,0.45229555236728836,715,1531,0.46701502286087526,199,431,1317,0.5539104024297646,0.18181818181818182
23,2019-02-02-16-stetson,35.7,10,6.8,3,127.8,65.6,21,0.457,70,0.4,28,0.214,15,0.733,11,19,200,104.2,38.1,16,15,75,,2.8,2,0.243,17,0.47100000000000003,8,50.0,37,0.486,12.6,11,53,0.377,20,0.174,4,"February 2, 2019",47.2,17,3.8,2,104.2,61.9,26,0.604,67,0.537,36,0.254,17,0.647,11,19,200,127.8,34.4,11,13,92,,8.3,6,0.34299999999999997,23,0.391,9,50.0,37,0.613,8.6,7,44,0.614,27,0.20800000000000002,5,"Edmunds Center, DeLand, Florida",KENNESAW-STATE,Kennesaw State,71.6,Home,STETSON,Stetson,Stetson,atlantic-sun,23,True,False,True,Home,True,9,27,67,37,74,8,20,70,1,0,155,422,1454,0.4501375515818432,740,1605,0.46105919003115264,206,448,1373,0.551347414420976,0.17391304347826086
24,2019-02-05-19-liberty,60.0,12,7.4,2,83.8,88.2,30,0.4,55,0.364,20,0.23600000000000002,13,0.769,10,20,200,79.4,23.3,7,11,54,,10.3,7,0.273,15,0.267,4,57.8,37,0.441,19.8,15,40,0.4,16,0.2,5,"February 5, 2019",59.1,13,5.0,2,79.4,76.7,23,0.431,58,0.379,22,0.155,9,0.778,7,5,200,83.8,11.8,4,14,57,,10.3,7,0.534,31,0.19399999999999998,6,42.2,27,0.45799999999999996,12.7,9,27,0.593,16,0.8,20,"Vines Center, Lynchburg, Virginia",STETSON,Stetson,68.2,Home,LIBERTY,Liberty,Stetson,atlantic-sun,24,False,False,False,Away,False,4,16,55,37,64,6,16,58,0,1,164,449,1521,0.4569362261669954,777,1679,0.46277546158427635,214,468,1443,0.5467775467775468,0.20833333333333334
25,2019-02-13-19-stetson,57.9,22,16.7,7,90.9,81.6,31,0.634,71,0.535,38,0.042,3,1.0,3,15,200,120.8,25.8,8,13,93,,9.1,7,0.408,29,0.483,14,56.5,39,0.642,15.2,13,42,0.5710000000000001,24,0.444,12,"February 13, 2019",41.7,10,4.8,2,120.8,74.2,23,0.423,65,0.369,24,0.27699999999999997,18,0.833,15,21,200,90.9,18.4,7,9,70,,6.5,5,0.354,23,0.304,7,43.5,30,0.47600000000000003,12.1,10,42,0.405,17,0.192,5,"Edmunds Center, DeLand, Florida",STETSON,Stetson,77.0,Away,JACKSONVILLE,Jacksonville,Stetson,atlantic-sun,25,False,True,True,Home,False,7,17,65,30,69,14,24,71,0,1,168,465,1576,0.4549492385786802,814,1743,0.4670109007458405,220,484,1501,0.5423051299133911,0.2
26,2019-02-16-16-stetson,52.6,10,11.8,4,109.8,60.0,18,0.469,49,0.38799999999999996,19,0.245,12,0.75,9,17,200,90.2,19.2,5,16,55,,4.9,3,0.49,24,0.33299999999999996,8,41.1,23,0.503,16.9,11,25,0.44,11,0.39299999999999996,11,"February 16, 2019",44.0,11,8.0,2,90.2,80.8,21,0.483,59,0.424,25,0.22,13,0.769,10,21,200,109.8,40.0,12,14,67,,11.5,7,0.424,25,0.28,7,58.9,33,0.514,12.2,9,34,0.529,18,0.222,6,"Edmunds Center, DeLand, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,61.4,Home,STETSON,Stetson,Stetson,atlantic-sun,26,True,False,True,Home,True,7,18,59,33,56,8,11,49,1,0,175,482,1641,0.45368677635588056,844,1812,0.46578366445916114,234,508,1572,0.5464376590330788,0.19230769230769232
