,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DEPAUL_homegame,DEPAUL_homegame2,DEPAUL_home,DEPAUL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-22-15-depaul,38.5,10,8.5,4,81.6,61.0,25,0.423,65,0.4,26,0.2,13,0.769,10,2,200,85.5,21.6,8,11,65,,11.8,9,0.27699999999999997,18,0.16699999999999998,3,42.3,33,0.457,17.5,15,47,0.489,23,0.818,9,"December 22, 2018",53.8,14,12.8,6,85.5,78.4,29,0.39399999999999996,71,0.366,26,0.113,8,0.75,6,3,200,81.6,39.0,16,18,62,,11.8,9,0.33799999999999997,24,0.16699999999999998,4,57.7,45,0.414,17.7,16,47,0.46799999999999997,22,0.727,8,"Wintrust Arena, Chicago, Illinois",DEPAUL,DePaul,76.5,Away,BOSTON-COLLEGE,Boston College,DePaul,big-east,10,False,True,True,Home,False,4,22,71,45,78,3,23,65,0,1,74,215,597,0.5460636515912898,362,651,0.5560675883256528,99,142,580,0.5008620689655172,0.8
11,2018-12-29-14-depaul,69.6,16,7.9,3,95.6,87.1,27,0.56,50,0.46,23,0.44,22,0.818,18,5,200,108.8,15.4,4,21,74,,10.3,7,0.52,26,0.385,10,54.4,31,0.612,15.6,11,24,0.542,13,0.643,9,"December 29, 2018",47.6,10,4.2,1,108.8,84.6,22,0.433,52,0.40399999999999997,21,0.442,23,0.87,20,4,200,95.6,12.9,4,20,65,,4.4,3,0.26899999999999996,14,0.214,3,45.6,26,0.516,13.9,10,38,0.474,18,0.667,8,"Wintrust Arena, Chicago, Illinois",DEPAUL,DePaul,68.2,Away,XAVIER,Xavier,DePaul,big-east,11,False,True,True,Home,False,3,18,52,26,57,10,13,50,0,1,78,237,668,0.5299401197604791,407,729,0.5582990397805213,102,165,645,0.4930232558139535,0.7272727272727273
12,2019-01-02-20-villanova,60.7,17,8.7,2,110.6,84.4,27,0.604,53,0.528,28,0.113,6,0.667,4,5,200,103.0,31.8,7,16,68,,4.5,3,0.377,20,0.4,8,63.0,34,0.609,24.4,18,33,0.606,20,0.615,8,"January 2, 2019",60.9,14,3.0,1,103.0,68.2,15,0.518,55,0.418,23,0.327,18,0.889,16,4,200,110.6,15.6,5,13,73,,12.1,8,0.5820000000000001,32,0.344,11,37.0,20,0.574,8.7,6,23,0.522,12,0.7140000000000001,10,"Finneran Pavilion, Villanova, Pennsylvania",DEPAUL,DePaul,65.7,Home,VILLANOVA,Villanova,DePaul,big-east,12,False,False,False,Away,False,8,20,53,34,54,11,12,55,0,1,81,255,720,0.5229166666666667,433,786,0.5508905852417303,112,178,695,0.497841726618705,0.6666666666666666
13,2019-01-06-13-depaul,53.6,15,4.9,2,104.2,83.3,20,0.5,63,0.444,28,0.20600000000000002,13,0.846,11,4,200,102.8,22.9,8,17,74,,11.1,8,0.429,27,0.259,7,47.5,28,0.535,12.7,10,36,0.583,21,0.733,11,"January 6, 2019",66.7,20,13.9,5,102.8,77.1,27,0.6,55,0.545,30,0.255,14,0.643,9,5,200,104.2,16.7,4,17,75,,9.7,7,0.255,14,0.429,6,52.5,31,0.608,19.7,15,41,0.585,24,0.643,9,"Wintrust Arena, Chicago, Illinois",SETON-HALL,Seton Hall,71.9,Home,DEPAUL,DePaul,DePaul,big-east,13,True,False,True,Home,True,6,24,55,31,59,7,21,63,1,0,89,275,773,0.5284605433376456,467,840,0.555952380952381,123,190,750,0.49933333333333335,0.6153846153846154
14,2019-01-12-18-st-johns-ny,24.1,7,4.3,2,94.7,82.4,28,0.47700000000000004,65,0.446,29,0.431,28,0.607,17,5,200,105.3,27.8,10,9,79,,8.0,6,0.185,12,0.33299999999999996,4,54.3,38,0.504,10.4,9,53,0.47200000000000003,25,0.667,10,"January 12, 2019",32.3,10,13.2,7,105.3,72.2,26,0.515,65,0.47700000000000004,31,0.092,6,0.667,4,3,200,94.7,17.6,6,21,71,24.0,4.0,3,0.292,19,0.263,5,45.7,32,0.523,14.0,11,46,0.565,26,0.8240000000000001,14,"Carnesecca Arena, Jamaica, New York",ST-JOHNS-NY,St. John's (NY),75.1,Away,DEPAUL,DePaul,DePaul,big-east,14,False,False,False,Away,True,4,25,65,38,70,5,26,65,1,0,95,299,828,0.5332125603864735,498,899,0.5539488320355951,130,211,813,0.4993849938499385,0.6428571428571429
15,2019-01-16-20-depaul,51.4,18,7.0,3,98.6,75.0,30,0.6920000000000001,60,0.583,35,0.067,4,1.0,4,7,200,124.3,21.7,5,15,87,,7.1,5,0.467,28,0.46399999999999997,13,55.6,35,0.703,17.4,13,32,0.688,22,0.611,11,"January 16, 2019",53.8,14,6.3,2,124.3,78.3,18,0.461,64,0.406,26,0.25,16,0.625,10,6,200,98.6,25.0,10,8,69,,10.0,7,0.32799999999999996,21,0.33299999999999996,7,44.4,28,0.48200000000000004,11.2,9,43,0.442,19,0.625,10,"Wintrust Arena, Chicago, Illinois",DEPAUL,DePaul,70.3,Away,BUTLER,Butler,DePaul,big-east,15,False,True,True,Home,False,7,19,64,28,63,13,22,60,0,1,99,324,893,0.5291153415453528,536,969,0.5531475748194015,135,237,878,0.5005694760820045,0.6666666666666666
16,2019-01-19-20-seton-hall,45.2,14,14.3,5,122.4,86.7,26,0.5760000000000001,59,0.525,31,0.542,32,0.9059999999999999,29,6,200,127.6,48.0,12,17,97,,6.6,5,0.18600000000000003,11,0.545,6,69.1,38,0.654,15.1,13,48,0.521,25,0.647,11,"January 19, 2019",53.1,17,12.5,6,127.6,52.0,13,0.653,59,0.542,32,0.40700000000000003,24,0.667,16,7,200,122.4,13.3,4,23,93,,7.9,6,0.40700000000000003,24,0.542,13,30.9,17,0.6609999999999999,13.7,11,35,0.5429999999999999,19,0.632,12,"Prudential Center, Newark, New Jersey",SETON-HALL,Seton Hall,76.3,Away,DEPAUL,DePaul,DePaul,big-east,16,False,False,False,Away,True,6,25,59,38,55,13,19,59,1,0,106,343,957,0.5245559038662487,564,1032,0.5465116279069767,148,259,938,0.5127931769722814,0.625
17,2019-01-23-20-marquette,70.8,17,2.9,1,103.9,72.7,24,0.429,63,0.381,24,0.302,19,0.789,15,7,200,90.8,32.4,12,21,69,,14.5,11,0.33299999999999996,21,0.28600000000000003,6,51.4,36,0.479,17.4,15,42,0.429,18,0.611,11,"January 23, 2019",72.7,16,19.0,8,90.8,67.6,25,0.49,52,0.423,22,0.615,32,0.875,28,3,200,103.9,27.3,9,16,79,12.0,10.5,8,0.327,17,0.41200000000000003,7,48.6,34,0.588,21.4,18,35,0.429,15,0.85,17,"Fiserv Forum, Milwaukee, Wisconsin",DEPAUL,DePaul,75.6,Home,MARQUETTE,Marquette,DePaul,big-east,17,False,False,False,Away,False,6,18,63,36,70,7,15,52,0,1,112,368,1016,0.5275590551181102,602,1087,0.5538178472861086,161,278,997,0.5210631895687061,0.6470588235294118
18,2019-01-27-12-providence,56.5,13,11.1,4,98.6,62.9,22,0.47200000000000003,54,0.426,23,0.37,20,0.8,16,8,200,94.4,30.0,9,21,67,,9.9,7,0.35200000000000004,19,0.263,5,47.7,31,0.528,21.3,17,35,0.514,18,0.579,11,"January 27, 2019",63.6,14,8.6,3,94.4,70.0,21,0.42100000000000004,57,0.386,22,0.456,26,0.846,22,7,200,98.6,37.1,13,19,70,,16.9,12,0.368,21,0.19,4,52.3,34,0.505,18.0,15,36,0.5,18,0.65,13,"Dunkin' Donuts Center, Providence, Rhode Island",DEPAUL,DePaul,71.4,Home,PROVIDENCE,Providence,DePaul,big-east,18,False,False,False,Away,False,5,18,54,31,65,4,18,57,0,1,118,386,1079,0.5217794253938832,638,1157,0.5514261019878998,168,293,1049,0.5195424213536701,0.6111111111111112
19,2019-01-30-20-depaul,51.6,16,5.7,2,117.5,84.0,21,0.583,66,0.47,31,0.22699999999999998,15,0.6,9,4,200,136.5,36.8,14,14,86,14.0,7.9,5,0.53,35,0.429,15,55.6,35,0.588,1.4,1,31,0.516,16,0.81,17,"January 30, 2019",55.6,15,12.9,4,136.5,63.2,24,0.598,51,0.529,27,0.33299999999999996,17,0.765,13,9,200,117.5,16.0,4,17,74,,1.6,1,0.314,16,0.43799999999999994,7,44.4,28,0.626,15.8,11,35,0.5710000000000001,20,0.55,11,"Wintrust Arena, Chicago, Illinois",DEPAUL,DePaul,63.1,Away,VILLANOVA,Villanova,DePaul,big-east,19,False,True,True,Home,False,7,20,51,28,63,15,16,66,0,1,123,404,1133,0.5194174757281553,669,1222,0.5474631751227496,172,311,1106,0.5144665461121157,0.5789473684210527
20,2019-02-02-14-depaul,87.5,14,9.5,4,91.8,61.3,19,0.348,56,0.28600000000000003,16,0.321,18,0.889,16,9,200,75.3,25.7,9,20,55,,17.8,13,0.518,29,0.24100000000000002,7,42.4,28,0.426,20.0,16,27,0.33299999999999996,9,0.591,13,"February 2, 2019",47.8,11,7.4,2,75.3,74.3,26,0.439,57,0.40399999999999997,23,0.316,18,0.9440000000000001,17,9,200,91.8,38.7,12,14,67,,13.7,10,0.263,15,0.267,4,57.6,38,0.511,24.4,21,42,0.452,19,0.5710000000000001,12,"Wintrust Arena, Chicago, Illinois",PROVIDENCE,Providence,73.1,Home,DEPAUL,DePaul,DePaul,big-east,20,True,False,True,Home,True,4,19,57,38,66,7,9,56,1,0,130,424,1184,0.5228040540540541,697,1285,0.5424124513618677,187,327,1172,0.518344709897611,0.55
21,2019-02-09-20-xavier,39.3,11,8.8,3,88.6,78.1,25,0.484,62,0.452,28,0.306,19,0.737,14,9,200,105.7,36.8,14,17,74,,12.9,9,0.29,18,0.222,4,55.7,39,0.521,14.6,12,44,0.545,24,0.591,13,"February 9, 2019",57.1,12,13.6,6,105.7,63.2,24,0.452,52,0.40399999999999997,21,0.385,20,0.75,15,13,200,88.6,21.9,7,17,62,,5.7,4,0.34600000000000003,18,0.278,5,44.3,31,0.504,20.8,16,34,0.47100000000000003,16,0.45799999999999996,11,"Cintas Center, Cincinnati, Ohio",XAVIER,Xavier,69.8,Away,DEPAUL,DePaul,DePaul,big-east,21,False,False,False,Away,True,4,24,62,39,70,5,16,52,1,0,134,443,1241,0.5189363416599516,735,1351,0.5440414507772021,194,336,1228,0.510586319218241,0.5714285714285714
22,2019-02-12-20-depaul,39.4,13,14.9,7,101.4,57.1,20,0.619,63,0.524,33,0.28600000000000003,18,0.778,14,4,200,127.8,26.9,7,23,92,10.0,5.6,4,0.46,29,0.414,12,44.3,27,0.643,7.8,6,34,0.618,21,0.84,21,"February 12, 2019",43.5,10,14.7,5,127.8,73.1,19,0.442,60,0.38299999999999995,23,0.467,28,0.7140000000000001,20,10,200,101.4,42.9,15,17,73,,1.4,1,0.217,13,0.5379999999999999,7,55.7,34,0.498,18.1,16,47,0.34,16,0.565,13,"Wintrust Arena, Chicago, Illinois",DEPAUL,DePaul,72.4,Away,MARQUETTE,Marquette,DePaul,big-east,22,False,True,True,Home,False,7,16,60,34,61,12,21,63,0,1,138,467,1303,0.5172678434382195,774,1421,0.5446868402533427,199,352,1280,0.508203125,0.5909090909090909
23,2019-02-16-20-butler,53.6,15,10.3,3,135.8,66.7,18,0.627,51,0.5489999999999999,28,0.41200000000000003,21,0.667,14,11,200,116.4,13.0,3,23,78,,4.5,3,0.294,15,0.5329999999999999,8,42.0,21,0.64,11.7,8,36,0.556,20,0.542,13,"February 16, 2019",58.1,18,2.8,1,116.4,87.0,20,0.649,57,0.544,31,0.439,25,0.68,17,11,200,135.8,33.3,9,19,91,,7.5,5,0.491,28,0.429,12,58.0,29,0.6609999999999999,10.5,8,29,0.655,19,0.5770000000000001,15,"Hinkle Fieldhouse, Indianapolis, Indiana",DEPAUL,DePaul,66.9,Home,BUTLER,Butler,DePaul,big-east,23,False,False,False,Away,False,8,20,51,21,50,12,19,57,0,1,145,483,1363,0.5139398385913426,808,1482,0.5452091767881242,211,373,1343,0.5134028294862248,0.5652173913043478
24,2019-02-20-21-depaul,42.9,12,0.0,0,95.7,76.5,26,0.613,53,0.528,28,0.302,16,0.875,14,13,200,112.9,12.0,3,19,79,,8.6,6,0.491,26,0.34600000000000003,9,49.2,29,0.652,17.8,13,27,0.7040000000000001,19,0.519,14,"February 20, 2019",48.0,12,7.4,2,112.9,88.0,22,0.534,58,0.431,25,0.22399999999999998,13,0.385,5,12,200,95.7,23.5,8,19,67,,2.9,2,0.44799999999999995,26,0.462,12,50.8,30,0.522,18.0,14,32,0.406,13,0.52,13,"Wintrust Arena, Chicago, Illinois",DEPAUL,DePaul,70.4,Away,CREIGHTON,Creighton,DePaul,big-east,24,False,True,True,Home,False,12,13,58,30,59,9,19,53,0,1,153,503,1414,0.518033946251768,829,1532,0.5411227154046997,223,392,1400,0.5189285714285714,0.5416666666666666
25,2019-02-27-19-georgetown,45.2,14,8.9,4,110.8,75.0,24,0.5479999999999999,62,0.5,31,0.161,10,0.5,5,13,200,98.6,28.1,9,16,73,,10.8,8,0.306,19,0.316,6,51.6,33,0.547,18.4,15,43,0.581,25,0.5,13,"February 27, 2019",50.0,16,4.7,2,98.6,71.9,23,0.546,65,0.49200000000000005,32,0.215,14,0.7859999999999999,11,11,200,110.8,25.0,8,14,82,,10.8,8,0.308,20,0.35,7,48.4,31,0.5720000000000001,13.4,11,45,0.556,25,0.607,17,"Capital One Arena, Washington, District of Columbia",DEPAUL,DePaul,73.7,Home,GEORGETOWN,Georgetown,DePaul,big-east,25,False,False,False,Away,False,6,25,62,33,64,7,25,65,0,1,165,516,1472,0.5186820652173914,859,1591,0.5399120050282841,232,411,1453,0.522367515485203,0.52
26,2019-03-03-12-depaul,35.7,10,5.9,2,126.0,58.3,14,0.551,59,0.475,28,0.475,28,0.643,18,10,200,113.7,22.6,7,34,83,,12.3,9,0.373,22,0.409,9,38.2,21,0.574,11.2,9,37,0.514,19,0.667,20,"March 3, 2019",51.9,14,2.7,1,113.7,77.4,24,0.638,47,0.574,27,0.894,42,0.762,32,13,200,126.0,41.7,10,25,92,,1.4,1,0.27699999999999997,13,0.462,6,61.8,34,0.687,18.6,15,34,0.618,21,0.519,14,"Wintrust Arena, Chicago, Illinois",ST-JOHNS-NY,St. John's (NY),73.1,Home,DEPAUL,DePaul,DePaul,big-east,26,True,False,True,Home,True,6,21,47,34,55,9,19,59,1,0,171,541,1534,0.5198826597131682,892,1655,0.5389728096676737,239,436,1518,0.5233860342555995,0.5
27,2019-03-06-20-depaul,52.4,11,16.2,6,124.7,81.3,26,0.4,60,0.35,21,0.45,27,0.778,21,12,200,85.2,21.6,8,21,69,,4.9,4,0.4,24,0.25,6,49.3,34,0.474,17.3,15,36,0.41700000000000004,15,0.6,18,"March 6, 2019",75.0,24,13.9,5,85.2,78.4,29,0.6,65,0.49200000000000005,32,0.47700000000000004,31,0.742,23,13,200,124.7,18.8,6,18,101,,13.6,11,0.431,28,0.5,14,50.7,35,0.633,9.2,8,37,0.486,18,0.536,15,"Wintrust Arena, Chicago, Illinois",GEORGETOWN,Georgetown,80.8,Home,DEPAUL,DePaul,DePaul,big-east,27,True,False,True,Home,True,14,18,65,35,69,6,15,60,1,0,177,562,1581,0.5234029095509172,926,1710,0.5415204678362573,248,455,1577,0.5244134432466709,0.5185185185185185
