,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTHWESTERN_homegame,NORTHWESTERN_homegame2,NORTHWESTERN_home,NORTHWESTERN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-17-21-northwestern,53.3,8,12.9,4,127.5,64.3,18,0.33299999999999996,48,0.313,15,0.45799999999999996,22,0.636,14,10,200,66.7,23.3,7,16,46,,7.2,5,0.22899999999999998,11,0.182,2,43.1,25,0.39299999999999996,22.8,17,37,0.35100000000000003,13,0.231,3,"December 17, 2018",69.7,23,16.2,6,66.7,76.7,23,0.608,65,0.508,33,0.215,14,0.643,9,3,200,127.5,35.7,10,17,88,,11.6,8,0.523,34,0.382,13,56.9,33,0.614,9.0,7,31,0.645,20,0.727,8,"Welsh-Ryan Arena, Evanston, Illinois",CHICAGO-STATE,Chicago State,68.6,Home,NORTHWESTERN,Northwestern,Northwestern,big-ten,10,True,False,True,Home,True,13,20,65,33,58,2,13,48,1,0,73,170,555,0.5036036036036036,322,593,0.5430016863406408,51,171,520,0.47596153846153844,0.7
11,2018-12-21-21-northwestern,59.4,19,7.0,3,90.8,81.1,30,0.46,75,0.42700000000000005,32,0.133,10,0.7,7,1,225,100.0,34.2,13,16,76,,7.9,6,0.28,21,0.23800000000000002,5,57.3,43,0.47600000000000003,13.1,12,54,0.5,27,0.917,11,"December 21, 2018",71.4,20,18.5,10,100.0,65.8,25,0.485,66,0.424,28,0.136,9,0.556,5,4,225,90.8,18.9,7,13,69,,9.2,7,0.348,23,0.348,8,42.7,32,0.491,12.5,10,43,0.465,20,0.667,8,"Welsh-Ryan Arena, Evanston, Illinois",NORTHWESTERN,Northwestern,67.6,Away,OKLAHOMA,Oklahoma,Northwestern,big-ten,11,False,True,True,Home,False,8,20,66,32,75,5,27,75,0,1,86,190,620,0.5145161290322581,355,651,0.5453149001536098,53,184,568,0.4639084507042254,0.7272727272727273
12,2018-12-30-17-northwestern,81.0,17,9.7,3,107.1,83.9,26,0.42,56,0.375,21,0.179,10,0.7,7,9,200,77.1,16.7,6,19,54,,8.6,6,0.28600000000000003,16,0.313,5,47.8,32,0.444,17.7,13,40,0.4,16,0.25,3,"December 30, 2018",69.6,16,5.0,2,77.1,83.3,30,0.509,55,0.418,23,0.436,24,0.792,19,4,200,107.1,16.1,5,16,75,,4.3,3,0.436,24,0.41700000000000004,10,52.2,35,0.565,13.2,10,31,0.419,13,0.6920000000000001,9,"Welsh-Ryan Arena, Evanston, Illinois",COLUMBIA,Columbia,69.6,Home,NORTHWESTERN,Northwestern,Northwestern,big-ten,12,True,False,True,Home,True,10,13,55,35,67,5,16,56,1,0,94,210,686,0.5116618075801749,387,726,0.5330578512396694,58,211,643,0.463452566096423,0.6666666666666666
13,2019-01-02-20-michigan-state,72.7,16,4.3,2,114.1,66.7,16,0.36700000000000005,64,0.344,22,0.188,12,0.667,8,5,200,77.5,11.6,5,20,55,,5.6,4,0.281,18,0.16699999999999998,3,31.3,21,0.395,10.4,8,46,0.413,19,0.643,9,"January 2, 2019",82.4,28,15.2,7,77.5,88.4,38,0.629,58,0.586,34,0.259,15,0.5329999999999999,8,2,200,114.1,33.3,8,18,81,8.0,5.6,4,0.207,12,0.41700000000000004,5,68.7,46,0.622,16.8,13,46,0.63,29,0.857,12,"Breslin Events Center, East Lansing, Michigan",NORTHWESTERN,Northwestern,71.4,Home,MICHIGAN-STATE,Michigan State,Northwestern,big-ten,13,False,False,False,Away,False,3,19,64,21,67,5,29,58,0,1,104,223,741,0.5114709851551957,422,793,0.532156368221942,63,227,699,0.45994277539341916,0.6923076923076923
14,2019-01-06-13-northwestern,45.5,10,16.7,5,94.4,84.0,21,0.39299999999999996,56,0.39299999999999996,22,0.48200000000000004,27,0.815,22,11,200,91.7,24.2,8,19,66,,12.5,9,0.196,11,0.0,0,50.0,29,0.479,13.9,11,45,0.489,22,0.267,4,"January 6, 2019",70.0,14,11.1,5,91.7,75.8,25,0.49,49,0.408,20,0.531,26,0.769,20,5,200,94.4,16.0,4,22,68,,6.9,5,0.38799999999999996,19,0.42100000000000004,8,50.0,29,0.5539999999999999,19.9,15,30,0.4,12,0.667,10,"Welsh-Ryan Arena, Evanston, Illinois",ILLINOIS,Illinois,72.1,Home,NORTHWESTERN,Northwestern,Northwestern,big-ten,14,True,False,True,Home,True,8,12,49,29,58,0,22,56,1,0,107,242,805,0.5,443,860,0.5151162790697674,68,256,757,0.47291941875825627,0.6428571428571429
15,2019-01-09-21-northwestern,58.3,14,0.0,0,94.0,79.4,27,0.44799999999999995,58,0.414,24,0.44799999999999995,26,0.8079999999999999,21,3,200,109.0,28.1,9,15,73,,9.0,6,0.293,17,0.235,4,54.5,36,0.519,9.2,7,41,0.488,20,0.812,13,"January 9, 2019",59.1,13,9.8,4,109.0,71.9,23,0.447,57,0.386,22,0.281,16,0.75,12,6,200,94.0,20.6,7,21,63,,6.0,4,0.474,27,0.259,7,45.5,30,0.488,11.1,8,30,0.5,15,0.625,10,"Welsh-Ryan Arena, Evanston, Illinois",NORTHWESTERN,Northwestern,67.0,Away,IOWA,Iowa,Northwestern,big-ten,15,False,True,True,Home,False,7,15,57,30,66,4,20,58,0,1,115,254,854,0.4994145199063232,472,918,0.514161220043573,68,278,813,0.46740467404674046,0.6666666666666666
16,2019-01-13-19-michigan,47.8,11,15.6,5,121.2,71.4,20,0.46299999999999997,54,0.426,23,0.24100000000000002,13,0.769,10,7,200,90.9,21.4,6,13,60,,6.1,4,0.315,17,0.235,4,46.4,26,0.499,17.9,13,37,0.514,19,0.588,10,"January 13, 2019",45.2,14,10.8,4,90.9,78.6,22,0.619,59,0.525,31,0.153,9,0.778,7,0,200,121.2,28.6,8,13,80,2.0,15.2,10,0.45799999999999996,27,0.40700000000000003,11,53.6,30,0.632,12.5,9,32,0.625,20,1.0,17,"Crisler Arena, Ann Arbor, Michigan",NORTHWESTERN,Northwestern,65.7,Home,MICHIGAN,Michigan,Northwestern,big-ten,16,False,False,False,Away,False,4,19,54,26,56,11,20,59,0,1,122,269,911,0.4961580680570801,502,984,0.5101626016260162,72,298,871,0.4661308840413318,0.625
17,2019-01-18-19-rutgers,57.1,12,12.5,4,85.1,76.7,23,0.48100000000000004,53,0.396,21,0.321,17,0.8240000000000001,14,7,200,97.0,18.8,6,21,65,,9.0,6,0.415,22,0.409,9,46.8,29,0.532,18.8,14,31,0.387,12,0.611,11,"January 18, 2019",52.6,10,9.7,3,97.0,81.3,26,0.429,49,0.38799999999999996,19,0.51,25,0.6,15,9,200,85.1,23.3,7,20,57,,11.9,8,0.34700000000000003,17,0.235,4,53.2,33,0.46799999999999997,16.7,12,32,0.469,15,0.47100000000000003,8,"Louis Brown Athletic Center, New Brunswick, New Jersey",RUTGERS,Rutgers,67.5,Away,NORTHWESTERN,Northwestern,Northwestern,big-ten,17,False,False,False,Away,True,9,12,53,29,62,4,15,49,1,0,126,288,965,0.49430051813471504,528,1040,0.5076923076923077,83,318,930,0.47580645161290325,0.5882352941176471
18,2019-01-22-21-northwestern,65.2,15,13.8,4,104.3,86.2,25,0.41700000000000004,60,0.38299999999999995,23,0.35,21,0.762,16,7,200,94.3,30.3,10,22,66,,1.4,1,0.35,21,0.19,4,56.5,35,0.47200000000000003,14.8,12,39,0.48700000000000004,19,0.632,12,"January 22, 2019",81.0,17,20.5,8,94.3,69.7,23,0.491,53,0.396,21,0.547,29,0.7240000000000001,21,7,200,104.3,13.8,4,18,73,,5.7,4,0.45299999999999996,24,0.41700000000000004,10,43.5,27,0.547,7.1,5,29,0.379,11,0.632,12,"Welsh-Ryan Arena, Evanston, Illinois",INDIANA,Indiana,69.9,Home,NORTHWESTERN,Northwestern,Northwestern,big-ten,18,True,False,True,Home,True,10,11,53,27,62,4,19,60,1,0,135,300,1018,0.49361493123772104,557,1102,0.5054446460980037,87,333,979,0.4734422880490296,0.6111111111111112
19,2019-01-26-14-wisconsin,43.8,7,8.1,3,95.4,93.3,28,0.361,54,0.29600000000000004,16,0.14800000000000002,8,0.875,7,8,200,70.8,16.7,6,14,46,,7.7,5,0.35200000000000004,19,0.368,7,51.5,34,0.39799999999999996,18.4,13,35,0.257,9,0.6,12,"January 26, 2019",62.5,15,17.1,6,70.8,83.3,30,0.509,56,0.429,24,0.161,9,0.556,5,6,200,95.4,6.7,2,13,62,,7.7,5,0.33899999999999997,19,0.474,9,48.5,32,0.514,10.5,7,37,0.405,15,0.7,14,"Kohl Center, Madison, Wisconsin",NORTHWESTERN,Northwestern,65.0,Home,WISCONSIN,Wisconsin,Northwestern,big-ten,19,False,False,False,Away,False,7,9,54,34,66,9,15,56,0,1,145,311,1071,0.4934640522875817,584,1164,0.5017182130584192,91,352,1039,0.4701636188642926,0.631578947368421
20,2019-01-29-19-maryland,44.4,8,5.3,2,106.1,75.9,22,0.353,58,0.31,18,0.259,15,0.733,11,9,200,78.8,13.5,5,19,52,,10.6,7,0.397,23,0.217,5,40.9,27,0.39899999999999997,9.8,7,35,0.371,13,0.5710000000000001,12,"January 29, 2019",60.0,15,8.6,3,78.8,86.5,32,0.528,54,0.46299999999999997,25,0.29600000000000004,16,0.813,13,5,200,106.1,24.1,7,14,70,21.0,4.5,3,0.29600000000000004,16,0.43799999999999994,7,59.1,39,0.568,15.3,11,38,0.474,18,0.773,17,"Xfinity Center, College Park, Maryland",NORTHWESTERN,Northwestern,66.4,Home,MARYLAND,Maryland,Northwestern,big-ten,20,False,False,False,Away,False,5,13,58,27,66,7,18,54,0,1,152,320,1125,0.4871111111111111,618,1230,0.5024390243902439,100,367,1095,0.47214611872146117,0.6
21,2019-02-04-20-northwestern,60.0,12,12.2,5,77.6,71.1,27,0.406,53,0.377,20,0.491,26,0.615,16,14,200,88.1,26.7,8,15,59,,13.4,9,0.28300000000000003,15,0.2,3,51.5,35,0.451,12.3,9,38,0.447,17,0.364,8,"February 4, 2019",65.0,13,10.5,4,88.1,73.3,22,0.373,63,0.317,20,0.111,7,0.7140000000000001,5,10,200,77.6,28.9,11,21,52,,10.4,7,0.349,22,0.318,7,48.5,33,0.392,16.4,13,41,0.317,13,0.545,12,"Welsh-Ryan Arena, Evanston, Illinois",NORTHWESTERN,Northwestern,67.3,Away,PENN-STATE,Penn State,Northwestern,big-ten,21,False,True,True,Home,False,7,13,63,33,68,3,17,53,0,1,157,333,1183,0.4805579036348267,645,1296,0.4976851851851852,107,385,1149,0.47476066144473456,0.5714285714285714
22,2019-02-10-18-iowa,44.8,13,0.0,0,112.7,82.8,24,0.589,56,0.518,29,0.321,18,0.722,13,11,200,111.3,35.7,10,23,79,,7.0,5,0.41100000000000003,23,0.348,8,59.6,34,0.612,18.0,14,33,0.636,21,0.522,12,"February 10, 2019",50.0,13,0.0,0,111.3,64.3,18,0.555,55,0.473,26,0.455,25,0.76,19,5,200,112.7,17.2,5,15,80,20.0,8.5,6,0.309,17,0.529,9,40.4,23,0.598,14.3,11,38,0.447,17,0.792,19,"Carver-Hawkeye Arena, Iowa City, Iowa",NORTHWESTERN,Northwestern,70.7,Home,IOWA,Iowa,Northwestern,big-ten,22,False,False,False,Away,False,8,21,56,34,57,9,17,55,0,1,164,346,1246,0.4751203852327448,678,1364,0.4970674486803519,110,402,1202,0.4717138103161398,0.5454545454545454
23,2019-02-13-19-northwestern,41.7,10,3.1,1,82.4,88.6,31,0.44,58,0.414,24,0.259,15,0.5329999999999999,8,12,200,86.8,30.0,9,16,59,,7.4,5,0.276,16,0.188,3,61.5,40,0.45299999999999996,17.8,14,42,0.5,21,0.5,12,"February 13, 2019",80.0,16,7.1,3,86.8,70.0,21,0.42700000000000005,55,0.364,20,0.273,15,0.6,9,12,200,82.4,11.4,4,17,56,,8.8,6,0.418,23,0.304,7,38.5,25,0.451,11.5,8,32,0.406,13,0.5,12,"Welsh-Ryan Arena, Evanston, Illinois",NORTHWESTERN,Northwestern,68.1,Away,RUTGERS,Rutgers,Northwestern,big-ten,23,False,True,True,Home,False,7,13,55,25,65,3,21,58,0,1,172,367,1302,0.48003072196620583,712,1421,0.5010555946516537,119,419,1257,0.47533810660302306,0.5217391304347826
24,2019-02-16-20-nebraska,40.0,8,11.9,5,88.1,70.7,29,0.38799999999999996,58,0.345,20,0.138,8,0.625,5,13,200,74.6,28.6,10,14,50,,6.0,4,0.431,25,0.2,5,51.3,39,0.405,19.6,15,33,0.455,15,0.48,12,"February 16, 2019",61.9,13,21.2,7,74.6,71.4,25,0.375,64,0.32799999999999996,21,0.21899999999999997,14,0.7859999999999999,11,11,200,88.1,29.3,12,9,59,,11.9,8,0.344,22,0.273,6,48.7,37,0.418,10.2,8,42,0.35700000000000004,15,0.5770000000000001,15,"Pinnacle Bank Arena, Lincoln, Nebraska",NORTHWESTERN,Northwestern,66.7,Home,NEBRASKA,Nebraska,Northwestern,big-ten,24,False,False,False,Away,False,5,15,58,39,76,6,15,64,0,1,179,380,1357,0.4778924097273397,737,1486,0.4959623149394347,122,440,1315,0.4737642585551331,0.5
25,2019-02-20-20-ohio-state,44.4,8,0.0,0,101.6,83.3,25,0.36,57,0.316,18,0.21100000000000002,12,0.667,8,14,200,79.0,21.6,8,15,49,,6.5,4,0.509,29,0.172,5,49.3,33,0.391,10.1,7,28,0.46399999999999997,13,0.462,12,"February 20, 2019",72.0,18,14.3,4,79.0,78.4,29,0.5,54,0.46299999999999997,25,0.185,10,0.9,9,9,200,101.6,16.7,5,12,63,,4.8,3,0.37,20,0.2,4,50.7,34,0.536,12.0,8,34,0.618,21,0.654,17,"Value City Arena, Columbus, Ohio",NORTHWESTERN,Northwestern,61.7,Home,OHIO-STATE,Ohio State,Northwestern,big-ten,25,False,False,False,Away,False,5,13,57,33,67,4,21,54,0,1,184,395,1415,0.4742049469964664,776,1562,0.4967989756722151,128,455,1379,0.4691805656272661,0.48
26,2019-02-23-20-northwestern,48.0,12,10.5,4,97.0,90.3,28,0.518,55,0.455,25,0.29100000000000004,16,0.75,12,8,200,104.5,22.2,6,15,69,22.0,1.5,1,0.345,19,0.368,7,58.6,34,0.551,13.9,10,36,0.5,18,0.7040000000000001,19,"February 23, 2019",70.8,17,19.4,7,104.5,77.8,21,0.45799999999999996,59,0.40700000000000003,24,0.237,14,0.7140000000000001,10,15,200,97.0,9.7,3,15,64,,9.1,6,0.35600000000000004,21,0.28600000000000003,6,41.4,24,0.48700000000000004,4.4,3,38,0.474,18,0.444,12,"Welsh-Ryan Arena, Evanston, Illinois",NORTHWESTERN,Northwestern,66.1,Away,WISCONSIN,Wisconsin,Northwestern,big-ten,26,False,True,True,Home,False,6,18,59,24,58,7,18,55,0,1,189,408,1472,0.46976902173913043,809,1629,0.49662369551872315,132,476,1433,0.4703419399860433,0.46153846153846156
