,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GEORGIA-STATE_homegame,GEORGIA-STATE_homegame2,GEORGIA-STATE_home,GEORGIA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-15-20-kansas-state,40.9,9,18.5,5,101.4,76.9,20,0.51,51,0.431,22,0.17600000000000002,9,0.778,7,4,200,84.3,10.7,3,12,59,,18.6,13,0.608,31,0.258,8,42.6,23,0.534,23.6,17,20,0.7,14,0.636,7,"December 15, 2018",92.0,23,0.0,0,84.3,89.3,25,0.585,53,0.47200000000000003,25,0.226,12,0.75,9,2,200,101.4,23.1,6,13,71,25.0,14.3,10,0.491,26,0.462,12,57.4,31,0.605,24.6,19,27,0.48100000000000004,13,0.778,7,"Bramlage Coliseum, Manhattan, Kansas",GEORGIA-STATE,Georgia State,70.5,Home,KANSAS-STATE,Kansas State,Georgia State,sun-belt,10,False,False,False,Away,False,8,14,51,23,54,12,13,53,0,1,86,182,590,0.5271186440677966,305,652,0.4677914110429448,97,170,600,0.5258333333333334,0.7
11,2018-12-19-19-georgia-state,68.0,17,10.3,3,122.9,83.3,20,0.604,53,0.47200000000000003,25,0.226,12,0.583,7,8,200,101.4,39.1,9,14,71,,11.4,8,0.5660000000000001,30,0.467,14,61.7,29,0.605,26.5,21,23,0.478,11,0.33299999999999996,4,"December 19, 2018",51.6,16,13.0,3,101.4,60.9,14,0.679,56,0.5539999999999999,31,0.23199999999999998,13,0.769,10,4,200,122.9,16.7,4,15,86,,17.1,12,0.48200000000000004,27,0.519,14,38.3,18,0.6920000000000001,15.1,11,29,0.586,17,0.667,8,"GSU Sports Arena, Atlanta, Georgia",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,69.9,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,11,True,False,True,Home,True,14,17,56,18,47,14,11,53,1,0,94,196,641,0.5257410296411856,328,706,0.46458923512747874,109,183,653,0.5306278713629403,0.6363636363636364
12,2018-12-29-13-georgia-state,54.2,13,5.3,2,146.3,63.3,19,0.39299999999999996,70,0.34299999999999997,24,0.257,18,0.778,14,0,200,86.3,40.9,18,16,69,,3.8,3,0.3,21,0.33299999999999996,7,50.0,37,0.439,20.4,20,49,0.34700000000000003,17,0.0,0,"December 29, 2018",53.7,22,14.3,7,86.3,59.1,26,0.6809999999999999,72,0.569,41,0.306,22,0.8640000000000001,19,4,200,146.3,36.7,11,14,117,,15.0,12,0.47200000000000003,34,0.47100000000000003,16,50.0,37,0.71,7.9,7,38,0.6579999999999999,25,0.6920000000000001,9,"GSU Sports Arena, Atlanta, Georgia","Middle Georgia State
			","Middle Georgia State
			",79.5,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,12,True,False,True,Home,True,16,25,72,37,74,7,17,70,1,0,108,213,697,0.5380200860832137,346,753,0.4594953519256308,123,194,706,0.5361189801699717,0.6666666666666666
13,2019-01-03-20-texas-arlington,56.3,9,16.1,5,81.7,65.6,21,0.513,39,0.41,16,0.9740000000000001,38,0.605,23,4,200,88.7,10.7,3,24,63,,12.7,9,0.5379999999999999,21,0.381,8,40.0,24,0.552,24.4,18,18,0.444,8,0.7140000000000001,10,"January 3, 2019",60.0,12,5.6,1,88.7,89.3,25,0.375,56,0.35700000000000004,20,0.39299999999999996,22,0.727,16,10,200,81.7,34.4,11,24,58,,5.6,4,0.446,25,0.08,2,60.0,36,0.436,18.6,15,31,0.581,18,0.28600000000000003,4,"College Park Center, Arlington, Texas",TEXAS-ARLINGTON,Texas-Arlington,71.3,Away,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,13,False,False,False,Away,True,8,8,39,24,60,2,18,56,1,0,124,238,769,0.5513654096228868,383,827,0.46311970979443773,130,211,776,0.5231958762886598,0.6923076923076923
14,2019-01-05-17-texas-state,47.8,11,17.9,7,97.2,66.0,31,0.55,50,0.46,23,0.46,23,0.7829999999999999,18,4,200,102.8,20.7,6,22,73,,5.6,4,0.5,25,0.36,9,48.7,37,0.599,20.0,15,25,0.56,14,0.733,11,"January 5, 2019",50.0,12,0.0,0,102.8,79.3,23,0.42200000000000004,64,0.375,24,0.45299999999999996,29,0.517,15,3,200,97.2,34.0,16,20,69,,11.3,8,0.391,25,0.24,6,51.3,39,0.444,11.5,10,39,0.462,18,0.8,12,"Strahan Coliseum, San Marcos, Texas",TEXAS-STATE,Texas State,70.9,Away,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,14,False,False,False,Away,True,9,14,50,37,76,6,18,64,1,0,132,246,808,0.5495049504950495,407,887,0.4588500563697858,132,229,832,0.5132211538461539,0.7142857142857143
15,2019-01-10-19-georgia-state,66.7,18,11.8,4,120.3,74.2,23,0.47,66,0.409,27,0.258,17,0.8240000000000001,14,6,200,102.7,41.0,16,21,76,,9.5,7,0.47,31,0.258,8,55.7,39,0.513,17.0,15,35,0.5429999999999999,19,0.625,10,"January 10, 2019",51.6,16,8.6,3,102.7,59.0,23,0.636,59,0.525,31,0.40700000000000003,24,0.583,14,4,200,120.3,25.8,8,16,89,,14.9,11,0.424,25,0.52,13,44.3,31,0.632,14.7,12,34,0.529,18,0.75,12,"GSU Sports Arena, Atlanta, Georgia",LOUISIANA-LAFAYETTE,Louisiana,73.7,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,15,True,False,True,Home,True,13,18,59,31,70,8,19,66,1,0,141,260,858,0.5495337995337995,444,963,0.46105919003115264,138,247,896,0.5066964285714286,0.7333333333333333
16,2019-01-12-13-georgia-state,54.5,12,5.4,2,101.4,81.1,30,0.456,57,0.386,22,0.40399999999999997,23,0.9129999999999999,21,7,200,100.0,36.4,12,13,73,,11.0,8,0.544,31,0.258,8,60.0,42,0.537,19.2,16,26,0.5379999999999999,14,0.562,9,"January 12, 2019",34.5,10,3.8,1,100.0,63.6,21,0.515,65,0.446,29,0.185,12,0.583,7,4,200,101.4,18.9,7,15,74,,13.7,10,0.431,28,0.321,9,40.0,28,0.523,13.5,11,37,0.541,20,0.765,13,"GSU Sports Arena, Atlanta, Georgia",LOUISIANA-MONROE,Louisiana-Monroe,73.3,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,16,True,False,True,Home,True,9,20,65,28,70,8,14,57,1,0,154,278,917,0.5550708833151581,475,1033,0.45982575024201355,146,266,962,0.5041580041580042,0.75
17,2019-01-17-20-south-alabama,39.1,9,22.2,6,89.2,86.8,33,0.45799999999999996,59,0.39,23,0.45799999999999996,27,0.556,15,4,200,93.2,25.6,10,23,69,,2.7,2,0.33899999999999997,20,0.4,8,55.8,43,0.48,15.5,13,39,0.385,15,0.778,14,"January 17, 2019",75.0,18,12.8,5,93.2,74.4,29,0.49200000000000005,59,0.40700000000000003,24,0.322,19,0.42100000000000004,8,9,200,89.2,13.2,5,19,66,,1.4,1,0.542,32,0.313,10,44.2,34,0.485,12.9,10,27,0.519,14,0.5,9,"Mitchell Center, Mobile, Alabama",SOUTH-ALABAMA,South Alabama,73.9,Away,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,17,False,False,False,Away,True,8,15,59,43,77,10,14,59,1,0,163,298,982,0.5524439918533605,503,1103,0.45602901178603805,154,280,1019,0.5014720314033366,0.7647058823529411
18,2019-01-19-15-troy,37.9,11,8.8,3,114.9,69.0,20,0.593,59,0.49200000000000005,29,0.203,12,0.41700000000000004,5,5,200,111.9,25.8,8,13,75,,3.0,2,0.508,30,0.4,12,46.7,28,0.58,12.3,9,29,0.586,17,0.737,14,"January 19, 2019",57.1,16,13.8,4,111.9,74.2,23,0.552,58,0.483,28,0.36200000000000004,21,0.619,13,8,200,114.9,31.0,9,14,77,,6.0,4,0.414,24,0.33299999999999996,8,53.3,32,0.5660000000000001,11.8,9,34,0.588,20,0.556,10,"Trojan Arena, Troy, Alabama",GEORGIA-STATE,Georgia State,66.8,Home,TROY,Troy,Georgia State,sun-belt,18,False,False,False,Away,False,12,17,59,28,60,8,20,58,0,1,171,313,1041,0.5470701248799231,546,1180,0.46271186440677964,164,294,1078,0.5009276437847866,0.7777777777777778
19,2019-01-24-19-georgia-state,56.3,18,8.0,2,103.0,82.8,24,0.575,67,0.478,32,0.09,6,0.667,4,3,200,122.7,31.3,10,12,81,,6.1,4,0.433,29,0.44799999999999995,13,55.7,34,0.58,10.3,8,38,0.5,19,0.85,17,"January 24, 2019",42.3,11,21.1,8,122.7,68.8,22,0.573,55,0.473,26,0.16399999999999998,9,0.556,5,6,200,103.0,17.2,5,10,68,,3.0,2,0.545,30,0.36700000000000005,11,44.3,27,0.574,14.5,10,25,0.6,15,0.7,14,"GSU Sports Arena, Atlanta, Georgia",GEORGIA-STATE,Georgia State,66.1,Away,TEXAS-STATE,Texas State,Georgia State,sun-belt,19,False,True,True,Home,False,11,15,55,27,61,13,19,67,0,1,183,330,1100,0.5495454545454546,574,1240,0.4629032258064516,172,314,1136,0.5035211267605634,0.7368421052631579
20,2019-01-26-13-georgia-state,57.1,16,0.0,0,108.5,78.1,25,0.444,72,0.389,28,0.153,11,0.636,7,12,200,100.0,43.6,17,16,71,,4.2,3,0.375,27,0.29600000000000004,8,59.2,42,0.46,15.4,14,45,0.444,20,0.429,9,"January 26, 2019",50.0,13,20.0,9,100.0,56.4,22,0.534,58,0.44799999999999995,26,0.345,20,0.75,15,6,200,108.5,21.9,7,12,77,,11.3,8,0.431,25,0.4,10,40.8,29,0.57,9.5,7,33,0.485,16,0.7140000000000001,15,"GSU Sports Arena, Atlanta, Georgia",TEXAS-ARLINGTON,Texas-Arlington,70.9,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,20,True,False,True,Home,True,10,16,58,29,71,8,20,72,1,0,194,345,1155,0.5506493506493506,601,1301,0.4619523443504996,185,333,1203,0.5074812967581047,0.7
21,2019-02-02-13-georgia-state,42.3,11,9.1,3,109.5,86.7,26,0.509,56,0.46399999999999997,26,0.39299999999999996,22,0.682,15,9,200,97.3,20.6,7,16,72,,8.1,6,0.33899999999999997,19,0.263,5,51.6,33,0.542,18.6,15,37,0.568,21,0.591,13,"February 2, 2019",30.0,9,10.8,4,97.3,79.4,27,0.583,60,0.5,30,0.28300000000000003,17,0.647,11,6,200,109.5,13.3,4,20,81,,8.1,6,0.45,27,0.37,10,48.4,31,0.595,12.9,10,33,0.606,20,0.727,16,"GSU Sports Arena, Atlanta, Georgia",GEORGIA-SOUTHERN,Georgia Southern,74.3,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,21,True,False,True,Home,True,10,20,60,31,64,5,21,56,1,0,204,361,1213,0.549876339653751,630,1372,0.45918367346938777,193,353,1275,0.503921568627451,0.7142857142857143
22,2019-02-06-20-louisiana-monroe,51.7,15,14.3,5,110.8,69.0,20,0.5660000000000001,61,0.475,29,0.16399999999999998,10,0.7,7,7,200,102.7,20.6,7,19,76,,8.1,6,0.426,26,0.423,11,42.9,27,0.578,17.6,14,35,0.514,18,0.696,16,"February 6, 2019",53.8,14,5.7,2,102.7,79.4,27,0.526,58,0.44799999999999995,26,0.414,24,0.875,21,10,200,110.8,31.0,9,12,82,,8.1,6,0.397,23,0.391,9,57.1,36,0.591,18.0,15,35,0.486,17,0.545,12,"Fant-Ewing Coliseum, Monroe, Louisiana",GEORGIA-STATE,Georgia State,74.1,Home,LOUISIANA-MONROE,Louisiana-Monroe,Georgia State,sun-belt,22,False,False,False,Away,False,11,18,61,27,63,9,17,58,0,1,214,381,1273,0.5514532600157109,661,1436,0.46030640668523676,198,374,1331,0.5041322314049587,0.7272727272727273
23,2019-02-08-21-louisiana-lafayette,32.0,8,17.2,5,108.6,71.0,22,0.56,50,0.5,25,0.5,25,0.64,16,8,200,102.9,16.0,4,22,72,,5.7,4,0.34,17,0.353,6,46.4,26,0.5820000000000001,16.4,12,33,0.5760000000000001,19,0.667,16,"February 8, 2019",56.5,13,9.1,3,102.9,84.0,21,0.5,56,0.41100000000000003,23,0.41100000000000003,23,0.87,20,10,200,108.6,29.0,9,20,76,,8.6,6,0.48200000000000004,27,0.37,10,53.6,30,0.568,15.4,12,29,0.44799999999999995,13,0.583,14,"Cajundome, Lafayette, Louisiana",GEORGIA-STATE,Georgia State,69.9,Home,LOUISIANA-LAFAYETTE,Louisiana,Georgia State,sun-belt,23,False,False,False,Away,False,6,19,50,26,56,10,13,56,0,1,225,399,1334,0.5520989505247377,688,1499,0.4589726484322882,207,391,1389,0.5050395968322534,0.6956521739130435
24,2019-02-13-19-georgia-state,72.7,16,18.5,5,108.5,73.3,22,0.48200000000000004,55,0.4,22,0.23600000000000002,13,0.769,10,13,200,88.7,25.0,8,18,63,,2.8,2,0.491,27,0.33299999999999996,9,48.4,30,0.515,23.8,19,28,0.46399999999999997,13,0.45799999999999996,11,"February 13, 2019",53.8,14,7.1,2,88.7,75.0,24,0.583,54,0.48100000000000004,26,0.389,21,0.667,14,8,200,108.5,26.7,8,15,77,,14.1,10,0.5,27,0.40700000000000003,11,51.6,32,0.602,17.1,13,27,0.556,15,0.68,17,"GSU Sports Arena, Atlanta, Georgia",TROY,Troy,70.6,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,24,True,False,True,Home,True,11,15,54,32,62,9,13,55,1,0,231,418,1384,0.5523843930635838,714,1555,0.4591639871382637,217,404,1445,0.5048442906574394,0.6666666666666666
25,2019-02-15-19-georgia-state,87.5,21,16.1,5,115.4,76.5,26,0.564,55,0.436,24,0.455,25,0.76,19,14,200,103.8,16.1,5,20,81,,6.4,5,0.5820000000000001,32,0.43799999999999994,14,47.7,31,0.606,21.4,18,23,0.435,10,0.462,12,"February 15, 2019",79.3,23,21.7,5,103.8,83.9,26,0.5920000000000001,60,0.483,29,0.467,28,0.679,19,8,200,115.4,23.5,8,14,90,,12.8,10,0.483,29,0.44799999999999995,13,52.3,34,0.614,13.2,11,31,0.516,16,0.6920000000000001,18,"GSU Sports Arena, Atlanta, Georgia",SOUTH-ALABAMA,South Alabama,78.1,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,25,True,False,True,Home,True,13,16,60,34,65,14,10,55,1,0,242,433,1438,0.5535465924895688,746,1617,0.4613481756338899,226,417,1500,0.504,0.68
26,2019-02-21-19-appalachian-state,41.4,12,13.8,4,110.3,74.1,20,0.583,60,0.483,29,0.2,12,0.833,10,8,200,117.6,12.9,4,15,80,,11.8,8,0.45,27,0.444,12,41.4,24,0.609,7.1,5,33,0.515,17,0.7040000000000001,19,"February 21, 2019",44.4,12,15.2,5,117.6,87.1,27,0.593,54,0.5,27,0.29600000000000004,16,0.688,11,17,200,110.3,25.9,7,12,75,,5.9,4,0.46299999999999997,25,0.4,10,58.6,34,0.609,19.7,15,29,0.586,17,0.34600000000000003,9,"Holmes Convocation Center, Boone, North Carolina",APPALACHIAN-STATE,Appalachian State,68.2,Away,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,26,False,False,False,Away,True,12,17,60,24,58,10,17,54,1,0,255,449,1498,0.5550734312416555,780,1682,0.4637336504161712,240,427,1555,0.5061093247588424,0.6923076923076923
