,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTH-DAKOTA_homegame,SOUTH-DAKOTA_homegame2,SOUTH-DAKOTA_home,SOUTH-DAKOTA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-16-16-colorado-state,68.0,17,9.7,3,100.0,77.1,27,0.475,59,0.424,25,0.35600000000000004,21,0.5710000000000001,12,5,200,107.9,25.0,10,17,68,,4.8,3,0.424,25,0.24,6,49.3,37,0.493,5.5,4,34,0.5589999999999999,19,0.545,6,"December 16, 2018",59.1,13,11.8,4,107.9,75.0,30,0.447,57,0.386,22,0.298,17,0.706,12,6,200,100.0,22.9,8,18,63,,3.2,2,0.456,26,0.26899999999999996,7,50.7,38,0.484,8.5,6,31,0.484,15,0.455,5,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,63.0,Away,SOUTH-DAKOTA,South Dakota,South Dakota,summit,10,False,False,False,Away,True,6,19,59,37,75,7,15,57,1,0,62,168,525,0.49714285714285716,287,590,0.4864406779661017,61,163,528,0.48200757575757575,0.5
11,2018-12-18-20-kansas,63.6,14,4.7,2,118.7,68.8,22,0.405,58,0.379,22,0.22399999999999998,13,0.462,6,6,200,70.7,17.9,7,15,53,,10.7,8,0.22399999999999998,13,0.231,3,40.8,29,0.413,21.1,17,45,0.42200000000000004,19,0.5,6,"December 18, 2018",55.9,19,11.1,5,70.7,82.1,32,0.583,66,0.515,34,0.22699999999999998,15,0.8,12,0,200,118.7,31.3,10,16,89,1.0,14.7,11,0.348,23,0.391,9,59.2,42,0.609,14.2,12,43,0.581,25,1.0,10,"Allen Fieldhouse, Lawrence, Kansas",SOUTH-DAKOTA,South Dakota,74.7,Home,KANSAS,Kansas,South Dakota,summit,11,False,False,False,Away,False,3,19,58,29,71,9,25,66,0,1,68,187,584,0.4948630136986301,324,665,0.48721804511278194,68,178,585,0.47863247863247865,0.5454545454545454
12,2018-12-21-20-south-dakota,55.6,15,12.0,3,93.8,84.8,28,0.525,60,0.45,27,0.067,4,0.75,3,4,200,103.1,14.7,5,17,66,,7.8,5,0.4,24,0.375,9,49.3,33,0.5329999999999999,8.9,6,36,0.5,18,0.667,8,"December 21, 2018",83.3,15,11.1,4,103.1,85.3,29,0.431,51,0.353,18,0.392,20,0.8,16,7,200,93.8,15.2,5,13,60,,6.3,4,0.51,26,0.308,8,50.7,34,0.496,13.1,9,25,0.4,10,0.462,6,"Sanford Coyote Sports Center, Vermillon, South Dakota",SOUTH-DAKOTA,South Dakota,63.7,Away,SOUTHERN-MISSISSIPPI,Southern Miss,South Dakota,summit,12,False,True,True,Home,False,8,10,51,34,67,9,18,60,0,1,71,206,642,0.4867601246105919,353,736,0.4796195652173913,77,203,651,0.489247311827957,0.5
13,2018-12-29-13-north-dakota-state,55.6,15,11.8,4,107.6,85.2,23,0.546,54,0.5,27,0.204,11,0.545,6,8,200,98.5,17.2,5,19,65,,1.5,1,0.204,11,0.455,5,50.0,28,0.5489999999999999,16.9,12,43,0.512,22,0.429,6,"December 29, 2018",50.0,12,9.3,4,98.5,82.8,24,0.5,56,0.429,24,0.33899999999999997,19,0.789,15,8,200,107.6,14.8,4,14,71,,9.1,6,0.39299999999999996,22,0.364,8,50.0,28,0.546,7.2,5,34,0.47100000000000003,16,0.429,6,"Scheels Center, Fargo, North Dakota",SOUTH-DAKOTA,South Dakota,66.1,Home,NORTH-DAKOTA-STATE,North Dakota State,South Dakota,summit,13,False,False,False,Away,False,5,22,54,28,56,8,16,56,0,1,79,216,693,0.48268398268398266,387,803,0.48194271481942713,86,221,711,0.49226441631504925,0.46153846153846156
14,2019-01-02-21-denver,48.0,12,2.8,1,107.7,80.0,16,0.574,54,0.46299999999999997,25,0.24100000000000002,13,0.6920000000000001,9,8,200,109.2,24.1,7,21,71,,6.2,4,0.426,23,0.522,12,46.9,23,0.59,14.3,10,31,0.419,13,0.467,7,"January 2, 2019",60.9,14,12.9,4,109.2,75.9,22,0.5329999999999999,46,0.5,23,0.5,23,0.9129999999999999,21,12,200,107.7,20.0,4,20,70,,6.2,4,0.217,10,0.3,3,53.1,26,0.615,20.0,14,36,0.556,20,0.294,5,"Magness Arena, Denver, Colorado",DENVER,Denver,65.1,Away,SOUTH-DAKOTA,South Dakota,South Dakota,summit,14,False,False,False,Away,True,12,13,54,23,49,3,20,46,1,0,84,238,747,0.48728246318607765,415,859,0.4831199068684517,94,237,767,0.49282920469361147,0.42857142857142855
15,2019-01-06-16-south-dakota,56.7,17,3.3,1,84.7,77.5,31,0.563,64,0.469,30,0.188,12,0.583,7,6,200,109.7,29.4,10,13,79,,9.7,7,0.42200000000000004,27,0.444,12,55.4,41,0.5670000000000001,14.8,12,37,0.486,18,0.667,12,"January 6, 2019",85.7,18,18.9,7,109.7,70.6,24,0.414,64,0.32799999999999996,21,0.172,11,0.727,8,9,200,84.7,22.5,9,16,61,,6.9,5,0.531,34,0.324,11,44.6,33,0.441,14.8,12,30,0.33299999999999996,10,0.43799999999999994,7,"Sanford Coyote Sports Center, Vermillon, South Dakota",SOUTH-DAKOTA,South Dakota,72.0,Away,SOUTH-DAKOTA-STATE,South Dakota State,South Dakota,summit,15,False,True,True,Home,False,11,10,64,33,74,12,18,64,0,1,96,251,801,0.49313358302122345,438,908,0.48237885462555063,97,257,813,0.495079950799508,0.4666666666666667
16,2019-01-13-14-south-dakota,57.7,15,11.9,5,117.6,83.3,25,0.545,56,0.46399999999999997,26,0.304,17,0.706,12,8,200,98.6,22.6,7,20,73,,9.5,7,0.5,28,0.321,9,52.5,32,0.57,21.1,17,28,0.607,17,0.6,12,"January 13, 2019",38.7,12,7.1,2,98.6,77.4,24,0.588,57,0.544,31,0.456,26,0.769,20,9,200,117.6,16.7,5,12,87,,13.5,10,0.263,15,0.33299999999999996,5,47.5,29,0.627,12.7,10,42,0.619,26,0.47100000000000003,8,"Sanford Coyote Sports Center, Vermillon, South Dakota",IPFW,Purdue-Fort Wayne,74.2,Home,SOUTH-DAKOTA,South Dakota,South Dakota,summit,16,True,False,True,Home,True,5,26,57,29,61,9,17,56,1,0,107,261,865,0.48728323699421966,471,982,0.47963340122199594,109,275,877,0.5,0.4375
17,2019-01-17-20-oral-roberts,60.0,15,2.4,1,111.6,63.4,26,0.518,55,0.455,25,0.345,19,0.895,17,10,200,107.2,21.9,7,21,74,,5.8,4,0.418,23,0.304,7,45.2,33,0.578,12.4,9,32,0.563,18,0.444,8,"January 17, 2019",34.8,8,9.4,3,107.2,78.1,25,0.45799999999999996,59,0.39,23,0.508,30,0.767,23,13,200,111.6,36.6,15,21,77,,7.2,5,0.28800000000000003,17,0.47100000000000003,8,54.8,40,0.526,16.2,14,42,0.35700000000000004,15,0.381,8,"Mabee Center, Tulsa, Oklahoma",SOUTH-DAKOTA,South Dakota,69.1,Home,ORAL-ROBERTS,Oral Roberts,South Dakota,summit,17,False,False,False,Away,False,7,18,55,33,73,8,15,59,0,1,112,287,922,0.49349240780911063,500,1043,0.4793863854266539,118,292,933,0.5026795284030011,0.47058823529411764
18,2019-01-20-19-nebraska-omaha,44.0,11,0.0,0,113.6,57.1,12,0.565,54,0.46299999999999997,25,0.16699999999999998,9,0.778,7,11,200,103.0,16.0,4,15,68,,6.1,4,0.444,24,0.45799999999999996,11,34.8,16,0.583,18.3,13,30,0.467,14,0.42100000000000004,8,"January 20, 2019",46.4,13,20.0,6,103.0,84.0,21,0.591,55,0.509,28,0.218,12,0.833,10,8,200,113.6,42.9,9,12,75,,7.6,5,0.345,19,0.474,9,65.2,30,0.618,17.7,13,36,0.528,19,0.579,11,"Baxter Arena, Omaha, Nebraska",SOUTH-DAKOTA,South Dakota,66.0,Home,NEBRASKA-OMAHA,Omaha,South Dakota,summit,18,False,False,False,Away,False,11,14,54,16,46,9,19,55,0,1,119,305,977,0.49488229273285567,533,1116,0.4775985663082437,126,307,992,0.5,0.4444444444444444
19,2019-01-23-20-north-dakota,48.0,12,2.8,1,83.6,85.7,24,0.5,53,0.47200000000000003,25,0.47200000000000003,25,0.68,17,11,200,104.5,22.6,7,16,70,,14.9,10,0.321,17,0.17600000000000002,3,52.5,31,0.539,11.1,8,36,0.611,22,0.45,9,"January 23, 2019",30.0,6,2.8,1,104.5,77.4,24,0.43,50,0.4,20,0.26,13,1.0,13,13,200,83.6,14.3,4,20,56,,4.5,3,0.28,14,0.214,3,47.5,28,0.498,21.2,15,36,0.47200000000000003,17,0.381,8,"Betty Engelstad Sioux Center , Grand Forks, North Dakota",NORTH-DAKOTA,North Dakota,66.5,Away,SOUTH-DAKOTA,South Dakota,South Dakota,summit,19,False,False,False,Away,True,3,22,53,31,59,3,17,50,1,0,130,319,1031,0.498545101842871,549,1162,0.4724612736660929,135,326,1047,0.5047755491881566,0.42105263157894735
20,2019-01-26-16-south-dakota,27.3,6,10.3,3,88.1,90.9,30,0.48100000000000004,52,0.423,22,0.442,23,0.652,15,13,200,97.0,5.7,2,13,65,,9.0,6,0.308,16,0.375,6,47.1,32,0.516,7.4,5,36,0.444,16,0.381,8,"January 26, 2019",50.0,11,2.8,1,97.0,94.3,33,0.449,59,0.373,22,0.153,9,0.667,6,12,200,88.1,9.1,3,17,59,,1.5,1,0.508,30,0.3,9,52.9,36,0.466,10.0,7,29,0.44799999999999995,13,0.429,9,"Sanford Coyote Sports Center, Vermillon, South Dakota",SOUTH-DAKOTA,South Dakota,66.6,Away,WESTERN-ILLINOIS,Western Illinois,South Dakota,summit,20,False,True,True,Home,False,9,13,59,36,68,6,16,52,0,1,133,341,1084,0.4986162361623616,580,1221,0.475020475020475,138,343,1097,0.5013673655423884,0.45
21,2019-01-30-19-ipfw,47.8,11,5.0,2,129.1,76.7,23,0.395,62,0.371,23,0.40299999999999997,25,0.88,22,13,200,89.9,13.5,5,20,71,,3.8,3,0.306,19,0.158,3,41.8,28,0.48100000000000004,14.1,12,43,0.465,20,0.409,9,"January 30, 2019",54.3,19,11.6,5,89.9,86.5,32,0.619,67,0.522,35,0.34299999999999997,23,0.826,19,10,200,129.1,23.3,7,22,102,,7.6,6,0.40299999999999997,27,0.48100000000000004,13,58.2,39,0.654,8.3,7,40,0.55,22,0.583,14,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",SOUTH-DAKOTA,South Dakota,79.4,Home,IPFW,Purdue-Fort Wayne,South Dakota,summit,21,False,False,False,Away,False,3,20,62,28,67,13,22,67,0,1,142,354,1143,0.49606299212598426,616,1289,0.4778898370830101,144,359,1149,0.5004351610095735,0.42857142857142855
22,2019-02-07-20-south-dakota,46.7,14,3.3,1,121.4,90.3,28,0.583,60,0.5,30,0.7829999999999999,47,0.787,37,9,225,127.4,21.4,6,26,107,,1.2,1,0.35,21,0.47600000000000003,10,57.6,34,0.65,8.0,7,39,0.513,20,0.609,14,"February 7, 2019",51.6,16,7.7,3,127.4,78.6,22,0.603,63,0.49200000000000005,31,0.556,35,0.743,26,14,225,121.4,9.7,3,31,102,,2.4,2,0.524,33,0.424,14,42.4,25,0.6409999999999999,9.3,8,30,0.5670000000000001,17,0.391,9,"Sanford Pentagon, Sioux Falls, South Dakota",SOUTH-DAKOTA,South Dakota,74.6,Away,NEBRASKA-OMAHA,Omaha,South Dakota,summit,22,False,True,True,Home,False,14,17,63,25,59,10,20,60,0,1,145,374,1205,0.4908713692946058,644,1356,0.4749262536873156,157,381,1216,0.5069901315789473,0.4090909090909091
23,2019-02-10-14-south-dakota,46.9,15,3.1,1,105.9,80.8,21,0.632,57,0.561,32,0.263,15,0.9329999999999999,14,17,200,126.5,30.4,7,21,86,,8.8,6,0.35100000000000003,20,0.4,8,57.1,28,0.6709999999999999,14.7,11,37,0.649,24,0.37,10,"February 10, 2019",59.1,13,10.8,4,126.5,69.6,16,0.53,50,0.44,22,0.48,24,0.792,19,15,200,105.9,19.2,5,17,72,,7.4,5,0.36,18,0.5,9,42.9,21,0.586,16.5,12,32,0.406,13,0.375,9,"Sanford Coyote Sports Center, Vermillon, South Dakota",SOUTH-DAKOTA,South Dakota,68.3,Away,ORAL-ROBERTS,Oral Roberts,South Dakota,summit,23,False,True,True,Home,False,9,13,50,21,49,8,24,57,0,1,159,391,1268,0.4964511041009464,669,1415,0.472791519434629,167,401,1276,0.5105799373040752,0.391304347826087
24,2019-02-16-15-western-illinois,64.0,16,0.0,0,93.1,84.4,27,0.517,58,0.431,25,0.44799999999999995,26,0.769,20,15,200,111.1,18.8,6,17,80,,11.1,8,0.397,23,0.435,10,51.6,33,0.569,9.2,7,35,0.429,15,0.4,10,"February 16, 2019",21.7,5,14.3,5,111.1,81.3,26,0.48100000000000004,53,0.434,23,0.415,22,0.727,16,17,200,93.1,15.6,5,19,67,,2.8,2,0.302,16,0.313,5,48.4,31,0.528,18.3,14,37,0.486,18,0.32,8,"Western Hall, Macomb, Illinois",WESTERN-ILLINOIS,Western Illinois,71.9,Away,SOUTH-DAKOTA,South Dakota,South Dakota,summit,24,False,False,False,Away,True,10,15,58,33,64,5,18,53,1,0,168,404,1318,0.4977238239757208,690,1464,0.4713114754098361,175,425,1333,0.5157539384846211,0.375
25,2019-02-20-20-south-dakota,41.2,7,8.0,2,114.3,92.6,25,0.355,55,0.309,17,0.145,8,0.75,6,20,200,71.4,17.1,6,13,45,,3.2,2,0.273,15,0.33299999999999996,5,50.0,31,0.38299999999999995,13.3,9,40,0.3,12,0.259,7,"February 20, 2019",60.0,15,10.0,4,71.4,82.9,29,0.583,54,0.46299999999999997,25,0.222,12,0.75,9,15,200,114.3,7.4,2,12,72,,9.5,6,0.537,29,0.44799999999999995,13,50.0,31,0.603,9.2,6,25,0.48,12,0.423,11,"Sanford Coyote Sports Center, Vermillon, South Dakota",DENVER,Denver,62.8,Home,SOUTH-DAKOTA,South Dakota,South Dakota,summit,25,True,False,True,Home,True,13,12,54,31,62,5,12,55,1,0,178,419,1376,0.498546511627907,723,1528,0.4731675392670157,180,443,1386,0.5144300144300145,0.4
26,2019-02-23-17-south-dakota-state,51.6,16,8.1,3,127.0,81.5,22,0.679,56,0.5539999999999999,31,0.28600000000000003,16,0.813,13,16,200,120.3,14.8,4,24,89,,0.0,0,0.5710000000000001,32,0.43799999999999994,14,48.1,26,0.7,18.2,14,24,0.708,17,0.40700000000000003,11,"February 23, 2019",43.8,14,4.2,1,120.3,85.2,23,0.623,57,0.561,32,0.474,27,0.852,23,7,200,127.0,18.5,5,16,94,,10.8,8,0.35100000000000003,20,0.35,7,51.9,28,0.6729999999999999,11.6,9,37,0.6759999999999999,25,0.767,23,"Frost Arena, Brookings, South Dakota",SOUTH-DAKOTA,South Dakota,73.7,Home,SOUTH-DAKOTA-STATE,South Dakota State,South Dakota,summit,26,False,False,False,Away,False,14,17,56,26,54,7,25,57,0,1,191,431,1430,0.5017482517482518,754,1590,0.4742138364779874,185,455,1441,0.5083275503122832,0.4230769230769231
