,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ALABAMA_homegame,ALABAMA_homegame2,ALABAMA_home,ALABAMA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-21-21-alabama,61.5,16,14.0,6,102.8,82.8,24,0.434,68,0.382,26,0.07400000000000001,5,1.0,5,6,200,90.1,25.0,9,20,64,,11.3,8,0.368,25,0.28,7,50.8,33,0.455,12.5,10,43,0.442,19,0.5,6,"December 21, 2018",39.3,11,16.3,7,90.1,75.0,27,0.5660000000000001,53,0.528,28,0.396,21,0.619,13,3,200,102.8,17.2,5,11,73,,5.6,4,0.18899999999999997,10,0.4,4,49.2,32,0.58,16.2,12,43,0.5579999999999999,24,0.727,8,"Coleman Coliseum , Tuscaloosa, Alabama",PENN-STATE,Penn State,70.7,Home,ALABAMA,Alabama,Alabama,sec,10,True,False,True,Home,True,4,24,53,32,65,7,19,68,1,0,68,189,569,0.5114235500878734,349,636,0.5487421383647799,68,185,561,0.5115864527629234,0.7
11,2018-12-30-18-stephen-f-austin,55.6,15,8.2,4,93.2,81.1,30,0.5329999999999999,61,0.44299999999999995,27,0.32799999999999996,20,0.7,14,3,200,106.8,41.2,14,13,79,,4.1,3,0.508,31,0.355,11,62.0,44,0.56,17.7,15,30,0.5329999999999999,16,0.75,9,"December 30, 2018",24.1,7,16.7,5,106.8,58.8,20,0.47100000000000003,68,0.426,29,0.11800000000000001,8,0.625,5,5,200,93.2,18.9,7,18,69,,8.1,6,0.27899999999999997,19,0.316,6,38.0,27,0.48100000000000004,14.4,12,49,0.469,23,0.583,7,"William Johnson Coliseum, Nacogdoches, Texas",STEPHEN-F-AUSTIN,Stephen F. Austin,74.2,Away,ALABAMA,Alabama,Alabama,sec,11,False,False,False,Away,True,11,16,61,44,71,6,23,68,1,0,72,213,622,0.5160771704180064,381,701,0.543509272467903,75,204,629,0.5031796502384738,0.7272727272727273
12,2019-01-05-13-alabama,50.0,14,2.8,1,100.0,78.1,25,0.469,65,0.431,28,0.262,17,0.8240000000000001,14,3,200,97.4,15.8,6,15,75,13.0,9.1,7,0.27699999999999997,18,0.278,5,44.3,31,0.513,13.2,11,47,0.489,23,0.769,10,"January 5, 2019",51.9,14,8.5,4,97.4,84.2,32,0.542,59,0.45799999999999996,27,0.28800000000000003,17,0.765,13,3,200,100.0,21.9,7,16,77,,2.6,2,0.39,23,0.435,10,55.7,39,0.574,19.4,16,36,0.47200000000000003,17,0.769,10,"Coleman Coliseum , Tuscaloosa, Alabama",KENTUCKY,Kentucky,77.1,Home,ALABAMA,Alabama,Alabama,sec,12,True,False,True,Home,True,10,17,59,39,70,5,23,65,1,0,83,229,683,0.5175695461200586,425,772,0.5505181347150259,81,227,697,0.5,0.75
13,2019-01-08-21-louisiana-state,56.0,14,4.8,2,117.3,62.5,20,0.46,62,0.40299999999999997,25,0.419,26,0.846,22,4,200,105.3,37.1,13,20,79,,8.0,6,0.387,24,0.292,7,49.3,33,0.531,17.0,15,38,0.474,18,0.7140000000000001,10,"January 8, 2019",53.6,15,21.1,8,105.3,62.9,22,0.579,57,0.491,28,0.474,27,0.815,22,3,200,117.3,37.5,12,19,88,,10.7,8,0.263,15,0.667,10,50.7,34,0.63,18.9,16,42,0.429,18,0.7859999999999999,11,"Maravich Assembly Center, Baton Rouge, Louisiana",ALABAMA,Alabama,75.1,Home,LOUISIANA-STATE,LSU,Alabama,sec,13,False,False,False,Away,False,7,18,62,33,67,10,18,57,0,1,93,246,742,0.5195417789757413,464,842,0.5510688836104513,86,250,762,0.4973753280839895,0.7692307692307693
14,2019-01-12-15-alabama,28.6,8,17.1,6,111.1,71.8,28,0.461,64,0.43799999999999994,28,0.469,30,0.733,22,7,200,112.5,23.1,9,21,81,,2.8,2,0.297,19,0.158,3,47.4,37,0.518,2.5,2,45,0.556,25,0.5,7,"January 12, 2019",50.0,13,15.6,7,112.5,76.9,30,0.5,62,0.419,26,0.46799999999999997,29,0.621,18,5,200,111.1,28.2,11,25,80,,1.4,1,0.435,27,0.37,10,52.6,41,0.528,8.6,7,35,0.457,16,0.667,10,"Coleman Coliseum , Tuscaloosa, Alabama",ALABAMA,Alabama,71.5,Away,TEXAS-AM,Texas A&M,Alabama,sec,14,False,True,True,Home,False,10,16,62,41,78,3,25,64,0,1,100,264,804,0.5149253731343284,497,909,0.5467546754675467,96,268,819,0.503052503052503,0.7142857142857143
15,2019-01-16-21-missouri,34.6,9,8.1,3,92.3,77.1,27,0.527,55,0.473,26,0.273,15,0.8,12,5,200,107.7,23.1,6,15,70,,3.1,2,0.327,18,0.33299999999999996,6,54.1,33,0.563,14.0,10,37,0.541,20,0.688,11,"January 16, 2019",41.7,10,0.0,0,107.7,76.9,20,0.48200000000000004,57,0.42100000000000004,24,0.175,10,0.5,5,6,200,92.3,22.9,8,17,60,,1.5,1,0.35100000000000003,20,0.35,7,45.9,28,0.486,14.0,10,37,0.45899999999999996,17,0.6,9,"Mizzou Arena, Columbia, Missouri",MISSOURI,Missouri,64.9,Away,ALABAMA,Alabama,Alabama,sec,15,False,False,False,Away,True,6,20,55,33,61,7,17,57,1,0,110,280,866,0.5138568129330254,538,987,0.5450861195542046,99,293,883,0.5,0.6666666666666666
16,2019-01-19-14-tennessee,52.0,13,7.7,4,100.0,73.0,27,0.508,59,0.424,25,0.305,18,0.444,8,6,200,95.8,28.1,9,20,68,,4.2,3,0.441,26,0.385,10,52.2,36,0.503,16.3,13,33,0.455,15,0.647,11,"January 19, 2019",57.1,16,21.2,7,95.8,71.9,23,0.461,64,0.43799999999999994,28,0.25,16,0.75,12,1,200,100.0,27.0,10,18,71,3.0,8.5,6,0.188,12,0.25,3,47.8,33,0.496,11.2,9,52,0.48100000000000004,25,0.941,16,"Thompson-Boling Arena, Knoxville, Tennessee",ALABAMA,Alabama,71.1,Home,TENNESSEE,Tennessee,Alabama,sec,16,False,False,False,Away,False,10,15,59,36,69,3,25,64,0,1,116,300,921,0.5146579804560261,571,1048,0.5448473282442748,106,310,940,0.498936170212766,0.6875
17,2019-01-22-21-alabama,30.0,6,9.3,4,110.4,55.3,21,0.46,50,0.4,20,0.28,14,0.5,7,4,200,79.1,25.0,7,20,53,20.0,1.5,1,0.4,20,0.3,6,42.4,28,0.46799999999999997,22.2,16,30,0.467,14,0.778,14,"January 22, 2019",32.0,8,30.0,9,79.1,75.0,21,0.43799999999999994,65,0.385,25,0.33799999999999997,22,0.773,17,6,200,110.4,44.7,17,16,74,,13.4,9,0.33799999999999997,22,0.318,7,57.6,38,0.49,10.8,9,43,0.419,18,0.667,12,"Coleman Coliseum , Tuscaloosa, Alabama",MISSISSIPPI,Ole Miss,66.6,Home,ALABAMA,Alabama,Alabama,sec,17,True,False,True,Home,True,7,18,65,38,66,6,14,50,1,0,126,315,980,0.5142857142857142,607,1117,0.5434198746642793,109,335,1004,0.4965139442231076,0.6470588235294118
18,2019-01-26-12-baylor,58.6,17,15.6,7,112.3,58.8,20,0.5529999999999999,57,0.509,29,0.12300000000000001,7,0.7140000000000001,5,7,200,104.6,32.1,9,15,68,,4.6,3,0.298,17,0.294,5,46.8,29,0.564,16.6,12,40,0.6,24,0.632,12,"January 26, 2019",46.7,14,12.5,5,104.6,67.9,19,0.493,67,0.44799999999999995,30,0.149,10,0.7,7,6,200,112.3,41.2,14,11,73,,9.2,6,0.32799999999999996,22,0.273,6,53.2,33,0.509,10.1,8,45,0.5329999999999999,24,0.684,13,"Ferrell Center, Waco, Texas",ALABAMA,Alabama,64.5,Home,BAYLOR,Baylor,Alabama,sec,18,False,False,False,Away,False,5,24,57,29,62,6,24,67,0,1,133,333,1045,0.5095693779904307,645,1183,0.5452240067624683,115,349,1054,0.49478178368121445,0.6666666666666666
19,2019-01-29-20-alabama,31.3,10,13.0,6,106.4,68.6,24,0.47200000000000003,71,0.451,32,0.31,22,0.545,12,5,200,101.3,38.1,16,25,79,22.0,10.3,8,0.268,19,0.158,3,51.9,40,0.485,13.9,13,52,0.5579999999999999,29,0.75,15,"January 29, 2019",36.7,11,17.3,9,101.3,61.9,26,0.5,61,0.49200000000000005,30,0.59,36,0.611,22,7,200,106.4,31.4,11,19,83,,9.0,7,0.24600000000000002,15,0.067,1,48.1,37,0.531,12.5,11,46,0.63,29,0.65,13,"Coleman Coliseum , Tuscaloosa, Alabama",MISSISSIPPI-STATE,Mississippi State,78.3,Home,ALABAMA,Alabama,Alabama,sec,19,True,False,True,Home,True,1,29,61,37,77,3,29,71,1,0,138,357,1102,0.5117967332123412,674,1245,0.5413654618473895,121,373,1121,0.49464763603925066,0.631578947368421
20,2019-02-02-20-auburn,57.1,12,8.3,3,121.7,70.4,19,0.532,47,0.447,21,0.38299999999999995,18,0.722,13,8,200,91.3,25.9,7,16,63,,5.8,4,0.40399999999999997,19,0.42100000000000004,8,48.1,26,0.5670000000000001,27.7,21,28,0.46399999999999997,13,0.619,13,"February 2, 2019",50.0,15,10.7,3,91.3,74.1,20,0.629,58,0.517,30,0.24100000000000002,14,0.7859999999999999,11,6,200,121.7,29.6,8,18,84,,18.8,13,0.379,22,0.591,13,51.9,28,0.65,15.8,12,36,0.47200000000000003,17,0.7140000000000001,15,"Auburn Arena, Auburn, Alabama",ALABAMA,Alabama,69.1,Home,AUBURN,Auburn,Alabama,sec,20,False,False,False,Away,False,8,13,47,26,54,13,17,58,0,1,139,386,1163,0.5111779879621668,711,1322,0.537821482602118,124,402,1192,0.49328859060402686,0.65
21,2019-02-06-21-alabama,51.7,15,10.0,4,115.6,73.1,19,0.451,71,0.408,29,0.225,16,0.625,10,12,200,96.1,31.0,13,20,74,,3.9,3,0.35200000000000004,25,0.24,6,47.1,32,0.47100000000000003,14.3,13,46,0.5,23,0.455,10,"February 6, 2019",39.4,13,6.5,3,96.1,69.0,29,0.629,58,0.569,33,0.414,24,0.667,16,8,200,115.6,26.9,7,14,89,,7.8,6,0.31,18,0.389,7,52.9,36,0.6409999999999999,14.9,12,40,0.65,26,0.636,14,"Coleman Coliseum , Tuscaloosa, Alabama",GEORGIA,Georgia,76.5,Home,ALABAMA,Alabama,Alabama,sec,21,True,False,True,Home,True,7,26,58,36,68,6,23,71,1,0,147,399,1210,0.5119834710743801,737,1376,0.5356104651162791,137,419,1250,0.4996,0.6190476190476191
22,2019-02-09-20-vanderbilt,45.8,11,16.7,5,91.8,84.4,27,0.508,59,0.40700000000000003,24,0.35600000000000004,21,0.81,17,8,200,105.5,20.0,6,19,77,,5.5,4,0.40700000000000003,24,0.5,12,53.2,33,0.5579999999999999,15.0,12,35,0.34299999999999997,12,0.652,15,"February 9, 2019",47.6,10,14.3,5,105.5,80.0,24,0.48100000000000004,52,0.40399999999999997,21,0.5379999999999999,28,0.607,17,14,200,91.8,15.6,5,17,67,,8.2,6,0.423,22,0.364,8,46.8,29,0.513,14.6,11,30,0.433,13,0.391,9,"Memorial Gymnasium, Nashville, Tennessee",VANDERBILT,Vanderbilt,73.1,Away,ALABAMA,Alabama,Alabama,sec,22,False,False,False,Away,True,12,12,59,33,62,8,13,52,1,0,154,425,1268,0.5173501577287066,773,1444,0.5353185595567868,143,442,1321,0.49697199091597277,0.6363636363636364
23,2019-02-12-21-mississippi-state,63.6,14,11.4,5,120.9,58.6,17,0.5,51,0.431,22,0.235,12,0.917,11,9,200,92.5,29.6,8,16,62,,4.5,3,0.47100000000000003,24,0.292,7,44.6,25,0.547,24.2,18,27,0.556,15,0.625,15,"February 12, 2019",44.8,13,22.2,6,92.5,70.4,19,0.551,59,0.49200000000000005,29,0.33899999999999997,20,0.8,16,7,200,120.9,41.4,12,12,81,,22.4,15,0.254,15,0.467,7,55.4,31,0.591,12.9,10,44,0.5,22,0.708,17,"Humphrey Coliseum, Starkville, Mississippi",ALABAMA,Alabama,66.6,Home,MISSISSIPPI-STATE,Mississippi State,Alabama,sec,23,False,False,False,Away,False,7,15,51,25,56,7,22,59,0,1,166,437,1327,0.5169555388093444,806,1506,0.5351925630810093,151,455,1373,0.49635833940276763,0.6521739130434783
24,2019-02-16-14-alabama,40.7,11,8.3,2,88.3,86.2,25,0.6,50,0.54,27,0.28,14,0.7859999999999999,11,11,200,118.3,20.0,4,20,71,,10.0,6,0.38,19,0.316,6,59.2,29,0.627,12.5,8,31,0.677,21,0.56,14,"February 16, 2019",31.6,6,12.9,4,118.3,80.0,16,0.5,43,0.442,19,0.512,22,0.455,10,10,200,88.3,13.8,4,12,53,,6.7,4,0.442,19,0.263,5,40.8,20,0.496,16.0,10,24,0.583,14,0.6,15,"Coleman Coliseum , Tuscaloosa, Alabama",ALABAMA,Alabama,60.1,Away,FLORIDA,Florida,Alabama,sec,24,False,True,True,Home,False,5,14,43,20,49,6,21,50,0,1,173,452,1378,0.5163280116110305,831,1562,0.532010243277849,158,477,1432,0.49860335195530725,0.625
25,2019-02-19-21-texas-am,65.2,15,9.7,3,97.0,75.9,22,0.456,57,0.40399999999999997,23,0.12300000000000001,7,0.5710000000000001,4,11,200,83.6,18.2,6,13,56,,6.0,4,0.40399999999999997,23,0.261,6,45.2,28,0.46399999999999997,17.8,13,34,0.5,17,0.5770000000000001,15,"February 19, 2019",45.5,10,8.8,3,83.6,81.8,27,0.46299999999999997,54,0.40700000000000003,22,0.29600000000000004,16,0.938,15,14,200,97.0,24.1,7,12,65,,6.0,4,0.426,23,0.261,6,54.8,34,0.528,17.6,13,31,0.516,16,0.44,11,"Reed Arena, College Station, Texas",ALABAMA,Alabama,67.5,Home,TEXAS-AM,Texas A&M,Alabama,sec,25,False,False,False,Away,False,6,17,57,28,62,6,16,54,0,1,178,466,1421,0.5158339197748065,851,1611,0.5282433271260087,164,498,1482,0.5020242914979757,0.6
26,2019-02-23-18-alabama,56.5,13,6.1,2,98.6,75.7,28,0.47200000000000003,53,0.434,23,0.302,16,0.688,11,18,200,88.4,18.2,6,16,61,,4.3,3,0.321,17,0.235,4,48.6,34,0.503,22.1,17,36,0.528,19,0.33299999999999996,9,"February 23, 2019",58.3,14,11.1,4,88.4,81.8,27,0.5,57,0.42100000000000004,24,0.33299999999999996,19,0.579,11,11,200,98.6,24.3,9,15,68,,14.5,10,0.42100000000000004,24,0.375,9,51.4,36,0.515,12.1,9,33,0.455,15,0.593,16,"Coleman Coliseum , Tuscaloosa, Alabama",VANDERBILT,Vanderbilt,68.8,Home,ALABAMA,Alabama,Alabama,sec,26,True,False,True,Home,True,9,15,57,36,70,4,19,53,1,0,184,483,1478,0.513531799729364,879,1673,0.525403466826061,170,514,1536,0.5006510416666666,0.5769230769230769
27,2019-02-26-19-south-carolina,54.2,13,6.5,3,84.9,75.0,30,0.48200000000000004,56,0.429,24,0.39299999999999996,22,0.636,14,11,200,93.2,25.8,8,18,68,,4.1,3,0.304,17,0.353,6,53.5,38,0.512,16.5,13,39,0.462,18,0.607,17,"February 26, 2019",45.0,9,15.4,6,93.2,74.2,23,0.33799999999999997,65,0.308,20,0.354,23,0.7829999999999999,18,14,200,84.9,25.0,10,21,62,,9.6,7,0.292,19,0.21100000000000002,4,46.5,33,0.408,9.6,8,46,0.348,16,0.5,14,"The Colonial Life Arena, Columbia, South Carolina",SOUTH-CAROLINA,South Carolina,72.7,Away,ALABAMA,Alabama,Alabama,sec,27,False,False,False,Away,True,6,18,56,38,71,4,16,65,1,0,193,498,1535,0.5130293159609121,915,1743,0.5249569707401033,174,533,1589,0.49968533668974197,0.5925925925925926
