,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,VIRGINIA-TECH_homegame,VIRGINIA-TECH_homegame2,VIRGINIA-TECH_home,VIRGINIA-TECH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-19-19-virginia-tech,62.5,15,4.9,2,120.6,59.3,16,0.547,53,0.45299999999999996,24,0.075,4,0.5,2,7,200,88.2,10.3,3,13,60,,7.4,5,0.45299999999999996,24,0.41700000000000004,10,33.9,19,0.546,20.4,14,29,0.483,14,0.364,4,"December 19, 2018",46.7,14,10.3,3,88.2,89.7,26,0.5489999999999999,61,0.49200000000000005,30,0.27899999999999997,17,0.882,15,1,200,120.6,40.7,11,9,82,13.0,5.9,4,0.32799999999999996,20,0.35,7,66.1,37,0.594,14.9,12,41,0.561,23,0.909,10,"Cassell Coliseum, Blacksburg, Virginia",NORTH-CAROLINA-AT,North Carolina A&T,68.0,Home,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,10,True,False,True,Home,True,7,23,61,37,56,10,14,53,1,0,113,181,585,0.5991452991452991,299,580,0.5155172413793103,79,135,546,0.4642857142857143,0.9
11,2018-12-28-19-virginia-tech,84.6,11,5.6,1,149.1,78.9,15,0.364,44,0.295,13,0.273,12,0.667,8,13,200,70.2,6.3,2,17,40,,3.5,2,0.545,24,0.25,6,33.3,17,0.402,15.4,9,20,0.35,7,0.071,1,"December 28, 2018",75.9,22,10.0,2,70.2,93.8,30,0.818,44,0.659,29,0.409,18,0.722,13,1,200,149.1,21.1,4,11,85,10.0,7.0,4,0.591,26,0.5379999999999999,14,66.7,34,0.809,14.8,9,18,0.833,15,0.917,11,"Cassell Coliseum, Blacksburg, Virginia",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,57.1,Home,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,11,True,False,True,Home,True,14,15,44,34,51,6,7,44,1,0,120,204,646,0.5944272445820433,336,636,0.5283018867924528,89,149,599,0.4716193656093489,0.9090909090909091
12,2019-01-01-13-virginia-tech,56.5,13,13.5,5,132.8,89.5,17,0.527,56,0.41100000000000003,23,0.23199999999999998,13,0.5379999999999999,7,4,200,108.2,37.1,13,10,66,,3.3,2,0.607,34,0.382,13,55.6,30,0.531,15.1,11,22,0.455,10,0.7140000000000001,10,"January 1, 2019",57.6,19,4.5,1,108.2,62.9,22,0.7,55,0.6,33,0.091,5,0.8,4,1,200,132.8,10.5,2,13,81,10.0,8.2,5,0.327,18,0.611,11,44.4,24,0.706,10.9,7,37,0.595,22,0.9229999999999999,12,"Cassell Coliseum, Blacksburg, Virginia",NOTRE-DAME,Notre Dame,61.3,Home,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,12,True,False,True,Home,True,11,22,55,24,54,13,10,56,1,0,134,219,690,0.6086956521739131,370,687,0.5385735080058224,95,156,643,0.4642301710730949,0.9166666666666666
13,2019-01-05-12-virginia-tech,52.6,10,6.3,2,113.2,71.4,20,0.479,48,0.396,19,0.521,25,0.8,20,4,200,97.1,17.9,5,22,66,,5.9,4,0.563,27,0.29600000000000004,8,44.6,25,0.551,16.9,12,21,0.524,11,0.6920000000000001,9,"January 5, 2019",52.0,13,9.5,2,97.1,82.1,23,0.519,54,0.46299999999999997,25,0.46299999999999997,25,0.84,21,1,200,113.2,28.6,8,18,77,10.0,7.4,5,0.40700000000000003,22,0.273,6,55.4,31,0.584,14.5,11,32,0.594,19,0.929,13,"Cassell Coliseum, Blacksburg, Virginia",BOSTON-COLLEGE,Boston College,67.9,Home,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,13,True,False,True,Home,True,6,19,54,31,56,8,11,48,1,0,145,241,745,0.6154362416107383,394,741,0.5317139001349528,108,166,699,0.46924177396280403,0.9230769230769231
14,2019-01-09-19-georgia-tech,70.6,12,9.1,2,77.8,91.3,21,0.342,57,0.298,17,0.33299999999999996,19,0.684,13,1,200,82.5,25.0,9,15,52,9.0,4.8,3,0.474,27,0.185,5,50.8,30,0.39399999999999996,10.9,8,30,0.4,12,0.9329999999999999,14,"January 9, 2019",70.6,12,13.3,4,82.5,75.0,27,0.526,38,0.447,17,0.42100000000000004,16,0.563,9,6,200,77.8,8.7,2,22,49,,7.9,5,0.42100000000000004,16,0.375,6,49.2,29,0.537,28.6,18,22,0.5,11,0.6,9,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,63.3,Away,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,14,False,False,False,Away,True,5,12,57,30,59,6,11,38,1,0,151,260,799,0.6088861076345432,425,797,0.533249686323714,116,177,747,0.46987951807228917,0.9285714285714286
15,2019-01-15-20-virginia,52.6,10,3.4,1,144.6,57.9,11,0.511,44,0.43200000000000005,19,0.386,17,0.8240000000000001,14,2,200,105.4,20.8,5,10,59,9.0,10.7,6,0.47700000000000004,21,0.33299999999999996,7,37.2,16,0.5660000000000001,14.9,9,23,0.522,12,0.875,14,"January 15, 2019",58.1,18,8.7,2,105.4,79.2,19,0.708,53,0.585,31,0.113,6,1.0,6,0,200,144.6,42.1,8,10,81,4.0,7.1,4,0.45299999999999996,24,0.542,13,62.8,27,0.725,13.9,9,29,0.621,18,1.0,16,"John Paul Jones Arena, Charlottesville, Virginia",VIRGINIA-TECH,Virginia Tech,56.5,Home,VIRGINIA,Virginia,Virginia Tech,acc,15,False,False,False,Away,False,7,12,44,16,43,13,18,53,0,1,156,272,856,0.5911214953271028,455,856,0.5315420560747663,122,188,785,0.4726114649681529,0.9333333333333333
16,2019-01-19-16-virginia-tech,44.4,8,0.0,0,127.9,81.8,18,0.45799999999999996,48,0.375,18,0.792,38,0.711,27,9,200,104.4,40.0,12,18,71,,4.4,3,0.5,24,0.33299999999999996,8,57.7,30,0.537,17.8,14,24,0.41700000000000004,10,0.47100000000000003,8,"January 19, 2019",51.7,15,16.7,4,104.4,60.0,18,0.6759999999999999,51,0.569,29,0.431,22,0.818,18,2,200,127.9,18.2,4,24,87,9.0,11.8,8,0.51,26,0.423,11,42.3,22,0.708,15.3,11,25,0.72,18,0.882,15,"Cassell Coliseum, Blacksburg, Virginia",WAKE-FOREST,Wake Forest,68.3,Home,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,16,True,False,True,Home,True,11,18,51,22,52,8,10,48,1,0,163,284,900,0.5872222222222222,471,899,0.5239154616240267,135,206,838,0.48747016706443913,0.875
17,2019-01-21-19-north-carolina,77.8,21,3.0,1,137.3,66.7,20,0.5489999999999999,61,0.44299999999999995,27,0.262,16,0.938,15,3,200,109.3,31.3,10,18,82,10.0,10.7,8,0.45899999999999996,28,0.46399999999999997,13,48.4,30,0.598,18.1,15,33,0.424,14,0.833,15,"January 21, 2019",69.4,25,6.1,2,109.3,68.8,22,0.657,67,0.537,36,0.254,17,0.882,15,4,200,137.3,33.3,10,13,103,11.0,12.0,9,0.507,34,0.47100000000000003,16,51.6,32,0.6859999999999999,13.9,12,33,0.606,20,0.789,15,"Dean Smith Center, Chapel Hill, North Carolina",VIRGINIA-TECH,Virginia Tech,75.3,Home,NORTH-CAROLINA,UNC,Virginia Tech,acc,17,False,False,False,Away,False,13,14,61,30,62,16,20,67,0,1,174,302,951,0.5920084121976866,493,951,0.5184016824395373,143,216,886,0.48589164785553046,0.8823529411764706
18,2019-01-26-20-virginia-tech,35.0,7,11.1,2,120.0,68.2,15,0.445,55,0.364,20,0.255,14,0.5,7,6,200,86.2,26.7,8,17,56,,12.3,8,0.509,28,0.321,9,44.2,23,0.45399999999999996,18.6,14,27,0.40700000000000003,11,0.7,14,"January 26, 2019",92.0,23,7.4,2,86.2,73.3,22,0.667,48,0.521,25,0.41700000000000004,20,0.7,14,3,200,120.0,31.8,7,15,78,10.0,6.2,4,0.625,30,0.467,14,55.8,29,0.6779999999999999,17.4,12,18,0.611,11,0.8420000000000001,16,"Cassell Coliseum, Blacksburg, Virginia",SYRACUSE,Syracuse,65.1,Home,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,18,True,False,True,Home,True,14,11,48,29,52,9,11,55,1,0,187,316,1012,0.5894268774703557,523,1013,0.5162882527147088,159,236,953,0.49790136411332636,0.8333333333333334
19,2019-01-30-19-miami-fl,43.3,13,13.0,3,95.9,85.7,24,0.6759999999999999,51,0.588,30,0.294,15,0.867,13,3,200,112.3,10.0,2,14,82,12.0,15.1,11,0.373,19,0.474,9,54.2,26,0.705,20.7,15,32,0.6559999999999999,21,0.85,17,"January 30, 2019",60.9,14,3.1,1,112.3,90.0,18,0.518,56,0.41100000000000003,23,0.25,14,0.857,12,11,200,95.9,14.3,4,12,70,,15.1,11,0.589,33,0.364,12,45.8,22,0.5589999999999999,20.5,16,23,0.478,11,0.45,9,"BankUnited Center, Coral Gables, Florida",MIAMI-FL,Miami (FL),72.9,Away,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,19,False,False,False,Away,True,9,21,51,26,48,12,11,56,1,0,201,327,1060,0.5929245283018868,552,1065,0.5183098591549296,168,247,1008,0.49503968253968256,0.8421052631578947
20,2019-02-02-12-north-carolina-state,50.0,8,11.5,3,45.3,67.5,27,0.433,45,0.35600000000000004,16,0.289,13,0.615,8,3,200,88.7,34.5,10,11,47,12.0,15.1,8,0.467,21,0.33299999999999996,7,53.6,37,0.45899999999999996,16.5,10,24,0.375,9,0.857,18,"February 2, 2019",22.2,2,12.5,3,88.7,65.5,19,0.185,54,0.16699999999999998,9,0.111,6,0.667,4,6,200,45.3,32.5,13,16,24,23.0,9.4,5,0.519,28,0.071,2,46.4,32,0.21100000000000002,15.0,10,26,0.26899999999999996,7,0.727,16,"PNC Arena, Raleigh, North Carolina",NORTH-CAROLINA-STATE,NC State,52.5,Away,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,20,False,False,False,Away,True,7,9,45,37,69,2,7,54,1,0,210,348,1111,0.5967596759675967,578,1113,0.5193171608265947,180,258,1064,0.49624060150375937,0.85
21,2019-02-04-19-virginia-tech,58.3,14,4.8,1,101.6,83.3,20,0.575,53,0.45299999999999996,24,0.226,12,0.917,11,6,200,114.3,33.3,10,16,72,16.0,4.8,3,0.509,27,0.48100000000000004,13,55.6,30,0.613,20.5,15,26,0.423,11,0.7390000000000001,17,"February 4, 2019",65.0,13,19.2,5,114.3,66.7,20,0.544,45,0.444,20,0.467,21,0.7140000000000001,15,4,200,101.6,16.7,4,14,64,11.0,6.3,4,0.5329999999999999,24,0.375,9,44.4,24,0.5820000000000001,18.1,12,21,0.524,11,0.818,18,"Cassell Coliseum, Blacksburg, Virginia",VIRGINIA-TECH,Virginia Tech,63.3,Away,LOUISVILLE,Louisville,Virginia Tech,acc,21,False,True,True,Home,False,9,11,45,24,54,13,11,53,0,1,217,357,1156,0.5903979238754326,615,1182,0.5203045685279187,182,265,1118,0.481216457960644,0.8571428571428571
22,2019-02-09-12-clemson,53.3,8,5.6,1,98.3,81.5,22,0.33,53,0.28300000000000003,15,0.321,17,0.941,16,5,200,85.0,32.4,11,17,51,11.0,15.0,9,0.358,19,0.263,5,54.1,33,0.418,15.4,11,34,0.294,10,0.7829999999999999,18,"February 9, 2019",68.4,13,35.3,12,85.0,67.6,23,0.5329999999999999,46,0.413,19,0.28300000000000003,13,0.769,10,8,200,98.3,18.5,5,18,59,,10.0,6,0.609,28,0.39299999999999996,11,45.9,28,0.565,18.8,12,18,0.444,8,0.652,15,"Littlejohn Coliseum, Clemson, South Carolina",VIRGINIA-TECH,Virginia Tech,60.1,Home,CLEMSON,Clemson,Virginia Tech,acc,22,False,False,False,Away,False,5,10,53,33,61,11,8,46,0,1,226,368,1201,0.5886761032472939,639,1236,0.5169902912621359,195,276,1171,0.4854824935952178,0.8181818181818182
23,2019-02-13-20-virginia-tech,65.2,15,17.4,4,120.6,73.1,19,0.5379999999999999,53,0.434,23,0.245,13,0.846,11,14,200,107.9,30.4,7,14,68,,3.2,2,0.509,27,0.40700000000000003,11,53.1,26,0.575,14.6,10,26,0.462,12,0.44,11,"February 13, 2019",80.0,20,11.5,3,107.9,69.6,16,0.594,53,0.47200000000000003,25,0.34,18,0.722,13,5,200,120.6,26.9,7,16,76,22.0,11.1,7,0.5660000000000001,30,0.433,13,46.9,23,0.617,12.9,9,23,0.522,12,0.792,19,"Cassell Coliseum, Blacksburg, Virginia",GEORGIA-TECH,Georgia Tech,62.9,Home,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,23,True,False,True,Home,True,13,12,53,23,49,11,12,53,1,0,231,378,1254,0.5777511961722488,672,1297,0.518118735543562,206,284,1217,0.48726376335250615,0.782608695652174
24,2019-02-16-16-pittsburgh,66.7,14,4.8,1,101.6,77.8,21,0.634,41,0.512,21,0.634,26,0.6920000000000001,18,5,200,111.1,27.3,6,24,70,22.0,9.5,6,0.512,21,0.47600000000000003,10,55.1,27,0.6559999999999999,21.1,14,20,0.55,11,0.8,20,"February 16, 2019",55.0,11,10.0,2,111.1,72.7,16,0.535,43,0.465,20,0.628,27,0.667,18,14,200,101.6,22.2,6,22,64,,11.1,7,0.512,22,0.273,6,44.9,22,0.573,21.5,15,21,0.667,14,0.462,12,"Petersen Events Center, Pittsburgh, Pennsylvania",PITTSBURGH,Pitt,63.1,Away,VIRGINIA-TECH,Virginia Tech,Virginia Tech,acc,24,False,False,False,Away,True,10,11,41,27,49,6,14,43,1,0,244,390,1307,0.5784238714613619,695,1346,0.5163447251114414,217,296,1270,0.4893700787401575,0.7916666666666666
25,2019-02-18-19-virginia-tech,60.9,14,13.3,4,93.5,65.6,21,0.57,50,0.46,23,0.24,12,0.583,7,2,200,103.2,28.6,6,15,64,3.0,8.1,5,0.54,27,0.40700000000000003,11,50.9,27,0.575,19.0,13,23,0.522,12,0.92,23,"February 18, 2019",39.1,9,8.7,2,103.2,71.4,15,0.42200000000000004,58,0.397,23,0.22399999999999998,13,0.6920000000000001,9,6,200,93.5,34.4,11,12,58,20.0,14.5,9,0.483,28,0.107,3,49.1,26,0.452,11.2,8,30,0.667,20,0.769,20,"Cassell Coliseum, Blacksburg, Virginia",VIRGINIA-TECH,Virginia Tech,61.9,Away,VIRGINIA,Virginia,Virginia Tech,acc,25,False,True,True,Home,False,3,20,58,26,53,11,12,50,0,1,254,401,1348,0.5801186943620178,722,1395,0.5175627240143369,223,310,1313,0.4908606245239909,0.8
