,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CINCINNATI_homegame,CINCINNATI_homegame2,CINCINNATI_home,CINCINNATI_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-15-20-mississippi-state,47.4,9,20.0,5,109.4,63.0,17,0.402,51,0.373,19,0.47100000000000003,24,0.75,18,2,200,92.2,32.3,10,21,59,,9.4,6,0.275,14,0.214,3,46.6,27,0.473,17.4,13,37,0.43200000000000005,16,0.818,9,"December 15, 2018",72.7,16,13.5,5,92.2,67.7,21,0.583,48,0.45799999999999996,22,0.479,23,0.609,14,1,200,109.4,37.0,10,18,70,18.0,7.8,5,0.479,23,0.522,12,53.4,31,0.594,18.3,13,25,0.4,10,0.9,9,"Humphrey Coliseum, Starkville, Mississippi",CINCINNATI,Cincinnati,63.7,Home,MISSISSIPPI-STATE,Mississippi State,Cincinnati,aac,10,False,False,False,Away,False,3,16,51,27,58,12,10,48,0,1,54,213,564,0.5212765957446809,321,569,0.5641476274165202,68,126,508,0.44881889763779526,0.9
11,2018-12-19-21-cincinnati,76.2,16,11.9,5,134.8,70.4,19,0.49,52,0.40399999999999997,21,0.34600000000000003,18,0.722,13,4,200,92.8,15.6,5,19,64,,1.4,1,0.5,26,0.34600000000000003,9,40.7,24,0.528,17.8,13,26,0.462,12,0.636,7,"December 19, 2018",72.7,24,15.4,4,92.8,84.4,27,0.619,63,0.524,33,0.317,20,0.75,15,2,200,134.8,29.6,8,17,93,,10.1,7,0.33299999999999996,21,0.5710000000000001,12,59.3,35,0.6409999999999999,5.3,4,42,0.5,21,0.833,10,"Fifth Third Arena, Cincinnati, Ohio",UCLA,UCLA,68.5,Home,CINCINNATI,Cincinnati,Cincinnati,aac,11,True,False,True,Home,True,12,21,63,35,59,9,12,52,1,0,57,229,615,0.5113821138211382,348,627,0.5550239234449761,80,136,556,0.460431654676259,0.8181818181818182
12,2018-12-22-14-cincinnati,72.2,13,3.0,1,110.0,58.3,21,0.40399999999999997,52,0.34600000000000003,18,0.365,19,0.737,14,13,200,80.0,17.1,6,16,56,,8.6,6,0.40399999999999997,21,0.28600000000000003,6,38.0,27,0.45899999999999996,17.7,13,31,0.387,12,0.133,2,"December 22, 2018",69.2,18,6.5,2,80.0,82.9,29,0.484,63,0.413,26,0.33299999999999996,21,0.762,16,2,200,110.0,41.7,15,17,77,,10.0,7,0.47600000000000003,30,0.3,9,62.0,44,0.528,15.3,13,33,0.515,17,0.846,11,"Fifth Third Arena, Cincinnati, Ohio",SOUTH-CAROLINA-STATE,South Carolina State,69.5,Home,CINCINNATI,Cincinnati,Cincinnati,aac,12,True,False,True,Home,True,9,17,63,44,71,6,12,52,1,0,69,250,678,0.5213864306784661,383,686,0.5583090379008746,89,148,608,0.4629934210526316,0.8333333333333334
13,2019-01-02-18-cincinnati,66.7,14,6.5,3,134.8,57.1,16,0.447,57,0.368,21,0.24600000000000002,14,0.7140000000000001,10,9,200,88.4,29.0,9,16,61,,1.4,1,0.386,22,0.409,9,42.4,25,0.479,16.0,12,35,0.34299999999999997,12,0.308,4,"January 2, 2019",62.5,20,22.9,8,88.4,71.0,22,0.552,67,0.478,32,0.34299999999999997,23,0.826,19,2,200,134.8,42.9,12,17,93,,7.2,5,0.313,21,0.47600000000000003,10,57.6,34,0.597,6.1,5,46,0.478,22,0.857,12,"Fifth Third Arena, Cincinnati, Ohio",TULANE,Tulane,68.8,Home,CINCINNATI,Cincinnati,Cincinnati,aac,13,True,False,True,Home,True,10,22,67,34,59,9,12,57,1,0,78,267,741,0.5182186234817814,427,757,0.5640686922060766,95,160,660,0.4583333333333333,0.8461538461538461
14,2019-01-05-13-east-carolina,36.7,11,28.0,7,109.0,79.2,19,0.508,62,0.484,30,0.29,18,0.444,8,3,200,106.0,41.2,14,21,71,,9.0,6,0.306,19,0.158,3,56.9,33,0.503,15.7,13,43,0.628,27,0.8,12,"January 5, 2019",45.8,11,9.3,4,106.0,58.8,20,0.606,47,0.511,24,0.489,23,0.696,16,6,200,109.0,20.8,5,16,73,,10.4,7,0.46799999999999997,22,0.409,9,43.1,25,0.63,16.1,11,25,0.6,15,0.5710000000000001,8,"Williams Arena at Minges Coliseum, Greenville, North Carolina",CINCINNATI,Cincinnati,66.7,Home,EAST-CAROLINA,East Carolina,Cincinnati,aac,14,False,False,False,Away,False,3,27,62,33,58,9,15,47,0,1,88,289,808,0.5210396039603961,461,816,0.5649509803921569,104,172,717,0.45746164574616455,0.8571428571428571
15,2019-01-10-19-tulsa,48.1,13,17.4,4,90.3,81.5,22,0.485,65,0.415,27,0.138,9,0.778,7,3,225,97.2,22.2,8,19,70,,20.8,15,0.47700000000000004,31,0.29,9,47.6,30,0.505,13.8,11,34,0.529,18,0.812,13,"January 10, 2019",89.5,17,5.9,2,97.2,77.8,28,0.565,46,0.413,19,0.457,21,0.619,13,5,225,90.3,18.5,5,16,65,,5.6,4,0.5,23,0.609,14,52.4,33,0.581,27.5,21,23,0.217,5,0.688,11,"Donald W. Reynolds Center, Tulsa, Oklahoma",TULSA,Tulsa,64.1,Away,CINCINNATI,Cincinnati,Cincinnati,aac,15,False,False,False,Away,True,9,18,65,30,63,14,5,46,1,0,91,316,870,0.5201149425287356,494,874,0.5652173913043478,113,187,764,0.4666230366492147,0.8
16,2019-01-12-20-cincinnati,45.8,11,11.4,4,102.8,84.4,27,0.509,58,0.414,24,0.276,16,0.813,13,7,225,100.0,31.3,10,28,72,,5.6,4,0.466,27,0.40700000000000003,11,57.8,37,0.5489999999999999,18.7,15,31,0.419,13,0.588,10,"January 12, 2019",68.2,15,9.7,3,100.0,68.8,22,0.47100000000000003,52,0.423,22,0.731,38,0.6579999999999999,25,3,225,102.8,15.6,5,17,74,,11.1,8,0.327,17,0.294,5,42.2,27,0.528,11.6,9,35,0.486,17,0.8240000000000001,14,"Fifth Third Arena, Cincinnati, Ohio",CONNECTICUT,UConn,64.3,Home,CINCINNATI,Cincinnati,Cincinnati,aac,16,True,False,True,Home,True,5,17,52,27,64,11,13,58,1,0,100,334,935,0.5176470588235295,524,937,0.5592315901814301,127,192,810,0.4722222222222222,0.8125
17,2019-01-15-19-cincinnati,56.5,13,6.1,2,115.5,63.2,12,0.531,49,0.469,23,0.531,26,0.846,22,5,200,104.2,39.1,9,26,74,,5.6,4,0.36700000000000005,18,0.33299999999999996,6,50.0,21,0.603,24.9,20,31,0.5479999999999999,17,0.706,12,"January 15, 2019",60.9,14,29.0,9,104.2,60.9,14,0.52,51,0.451,23,0.627,32,0.9059999999999999,29,3,200,115.5,36.8,7,19,82,,16.9,12,0.353,18,0.389,7,50.0,21,0.619,13.3,10,33,0.485,16,0.833,15,"Fifth Third Arena, Cincinnati, Ohio",SOUTH-FLORIDA,South Florida,70.8,Home,CINCINNATI,Cincinnati,Cincinnati,aac,17,True,False,True,Home,True,7,16,51,21,42,6,17,49,1,0,105,351,987,0.5151975683890577,551,1001,0.5504495504495505,138,205,868,0.47465437788018433,0.8235294117647058
18,2019-01-19-14-wichita-state,27.8,5,19.4,6,87.3,78.6,22,0.446,46,0.391,18,0.7609999999999999,35,0.7140000000000001,25,3,200,104.8,40.0,10,14,66,,1.6,1,0.304,14,0.35700000000000004,5,60.4,32,0.527,16.3,12,32,0.406,13,0.8420000000000001,16,"January 19, 2019",52.4,11,3.1,1,104.8,60.0,15,0.48100000000000004,52,0.40399999999999997,21,0.135,7,0.7140000000000001,5,9,200,87.3,21.4,6,25,55,,6.3,4,0.40399999999999997,21,0.381,8,39.6,21,0.49700000000000005,19.1,13,31,0.419,13,0.47100000000000003,8,"Charles Koch Arena, Wichita, Kansas",WICHITA-STATE,Wichita State,63.5,Away,CINCINNATI,Cincinnati,Cincinnati,aac,18,False,False,False,Away,True,5,13,46,32,53,8,13,52,1,0,112,367,1038,0.5154142581888247,572,1043,0.548418024928092,144,222,917,0.4776444929116685,0.8333333333333334
19,2019-01-24-19-cincinnati,62.5,15,5.6,2,129.4,61.3,19,0.519,54,0.444,24,0.35200000000000004,19,0.42100000000000004,8,8,200,94.1,17.6,6,15,64,,5.9,4,0.426,23,0.348,8,38.5,25,0.508,13.8,10,31,0.516,16,0.6,12,"January 24, 2019",62.5,20,9.7,3,94.1,82.4,28,0.6,65,0.49200000000000005,32,0.308,20,0.5,10,3,200,129.4,38.7,12,15,88,,5.9,4,0.446,29,0.483,14,61.5,40,0.591,7.5,6,36,0.5,18,0.85,17,"Fifth Third Arena, Cincinnati, Ohio",TULSA,Tulsa,67.8,Home,CINCINNATI,Cincinnati,Cincinnati,aac,19,True,False,True,Home,True,14,18,65,40,65,8,16,54,1,0,117,380,1084,0.5124538745387454,604,1096,0.551094890510949,152,235,969,0.47781217750258,0.8421052631578947
20,2019-01-27-12-temple,36.4,8,12.5,3,103.0,90.9,30,0.42700000000000005,55,0.4,22,0.6729999999999999,37,0.6759999999999999,25,3,200,109.1,48.5,16,20,72,,7.6,5,0.327,18,0.16699999999999998,3,69.7,46,0.496,10.1,8,37,0.514,19,0.857,18,"January 27, 2019",50.0,10,0.0,0,109.1,51.5,17,0.51,48,0.41700000000000004,20,0.6459999999999999,31,0.613,19,5,200,103.0,9.1,3,25,68,,6.1,4,0.5,24,0.375,9,30.3,20,0.542,11.5,8,24,0.45799999999999996,11,0.75,15,"Liacouras Center, Philadelphia, Pennsylvania",TEMPLE,Temple,66.2,Away,CINCINNATI,Cincinnati,Cincinnati,aac,20,False,False,False,Away,True,3,19,55,46,66,9,11,48,1,0,131,398,1149,0.5174064403829417,644,1161,0.5546942291128337,160,251,1023,0.47996089931573804,0.85
21,2019-02-02-20-cincinnati,46.2,12,10.7,3,112.3,67.9,19,0.517,60,0.433,26,0.183,11,0.545,6,9,200,104.6,25.0,8,17,68,,4.6,3,0.467,28,0.35700000000000004,10,45.0,27,0.521,12.2,9,32,0.5,16,0.5710000000000001,12,"February 2, 2019",61.5,16,3.1,1,104.6,75.0,24,0.574,54,0.48100000000000004,26,0.33299999999999996,18,0.611,11,3,200,112.3,32.1,9,10,73,,3.1,2,0.48100000000000004,26,0.385,10,55.0,33,0.584,15.1,11,28,0.5710000000000001,16,0.8640000000000001,19,"Fifth Third Arena, Cincinnati, Ohio",SOUTHERN-METHODIST,SMU,65.4,Home,CINCINNATI,Cincinnati,Cincinnati,aac,21,True,False,True,Home,True,10,16,54,33,60,10,16,60,1,0,134,417,1204,0.5132890365448505,690,1227,0.5623471882640587,169,262,1071,0.48132586367880487,0.8571428571428571
22,2019-02-07-19-memphis,73.9,17,11.1,3,98.5,76.7,23,0.491,58,0.397,23,0.379,22,0.545,12,3,200,106.2,37.8,14,15,69,25.0,9.2,6,0.5,29,0.379,11,55.2,37,0.504,11.7,9,29,0.414,12,0.87,20,"February 7, 2019",60.0,15,27.6,8,106.2,62.2,23,0.536,56,0.446,25,0.14300000000000002,8,0.5,4,10,200,98.5,23.3,7,21,64,,7.7,5,0.518,29,0.345,10,44.8,30,0.535,17.9,13,27,0.556,15,0.565,13,"FedExForum, Memphis, Tennessee",MEMPHIS,Memphis,64.6,Away,CINCINNATI,Cincinnati,Cincinnati,aac,22,False,False,False,Away,True,11,12,58,37,67,10,15,56,1,0,144,433,1258,0.5158982511923689,723,1287,0.5617715617715617,179,278,1131,0.48320070733863835,0.8636363636363636
23,2019-02-10-16-houston,27.3,6,6.3,2,110.2,55.2,16,0.39399999999999996,66,0.33299999999999996,22,0.16699999999999998,11,0.545,6,4,200,98.3,32.5,13,13,58,25.0,15.3,9,0.318,21,0.381,8,42.0,29,0.40700000000000003,5.3,4,45,0.311,14,0.833,20,"February 10, 2019",42.3,11,20.0,9,98.3,67.5,27,0.557,53,0.491,26,0.18899999999999997,10,0.6,6,1,200,110.2,44.8,13,17,65,12.0,5.1,3,0.396,21,0.33299999999999996,7,58.0,40,0.563,17.3,12,32,0.594,19,0.958,23,"Hofheinz Pavilion, Houston, Texas",CINCINNATI,Cincinnati,59.5,Home,HOUSTON,Houston,Cincinnati,aac,23,False,False,False,Away,False,8,14,66,29,69,7,19,53,0,1,155,445,1316,0.5148176291793313,760,1354,0.5612998522895125,189,293,1187,0.4856781802864364,0.8695652173913043
24,2019-02-17-13-cincinnati,42.1,8,16.7,6,100.0,78.0,32,0.331,71,0.268,19,0.225,16,0.938,15,12,200,86.1,34.0,16,20,62,,1.4,1,0.493,35,0.257,9,54.5,48,0.39399999999999996,12.4,11,36,0.278,10,0.5,12,"February 17, 2019",70.0,14,22.2,8,86.1,66.0,31,0.431,58,0.345,20,0.483,28,0.7859999999999999,22,4,200,100.0,22.0,9,15,72,,8.3,6,0.379,22,0.455,10,45.5,40,0.505,11.3,9,36,0.278,10,0.84,21,"Fifth Third Arena, Cincinnati, Ohio",WICHITA-STATE,Wichita State,72.5,Home,CINCINNATI,Cincinnati,Cincinnati,aac,24,True,False,True,Home,True,10,10,58,40,88,9,10,71,1,0,163,459,1382,0.5090448625180898,789,1423,0.5544624033731553,196,312,1240,0.48870967741935484,0.8333333333333334
25,2019-02-21-19-cincinnati,52.4,11,13.2,5,100.0,60.0,15,0.5670000000000001,45,0.467,21,0.156,7,0.5710000000000001,4,6,200,91.7,21.1,4,11,55,,6.7,4,0.444,20,0.45,9,43.2,19,0.569,23.8,15,25,0.48,12,0.76,19,"February 21, 2019",61.9,13,16.0,4,91.7,78.9,15,0.47100000000000003,52,0.40399999999999997,21,0.231,12,0.917,11,4,200,100.0,40.0,10,13,60,,5.0,3,0.26899999999999996,14,0.5,7,56.8,25,0.52,18.5,13,38,0.368,14,0.846,22,"Fifth Third Arena, Cincinnati, Ohio",CENTRAL-FLORIDA,UCF,60.0,Home,CINCINNATI,Cincinnati,Cincinnati,aac,25,True,False,True,Home,True,7,14,52,25,44,9,12,45,1,0,173,469,1440,0.5059027777777778,829,1511,0.5486432825943084,205,322,1311,0.4801678108314264,0.84
26,2019-02-24-14-connecticut,50.0,11,10.3,4,93.8,67.6,23,0.462,53,0.415,22,0.302,16,0.938,15,4,200,100.0,53.8,14,23,64,,9.4,6,0.302,16,0.313,5,61.7,37,0.528,21.0,16,37,0.45899999999999996,17,0.852,23,"February 24, 2019",31.8,7,13.5,5,100.0,46.2,12,0.42,56,0.39299999999999996,22,0.375,21,0.619,13,14,200,93.8,32.4,11,14,60,,7.8,5,0.304,17,0.17600000000000002,3,38.3,23,0.455,14.4,11,39,0.48700000000000004,19,0.48100000000000004,13,"Harry A. Gampel Pavilion, Storrs, Connecticut",CONNECTICUT,UConn,64.3,Away,CINCINNATI,Cincinnati,Cincinnati,aac,26,False,False,False,Away,True,5,17,53,37,60,3,19,56,1,0,180,483,1492,0.5046916890080428,854,1555,0.5491961414790997,214,334,1356,0.4830383480825959,0.8461538461538461
