,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-TEXAS_homegame,NORTH-TEXAS_homegame2,NORTH-TEXAS_home,NORTH-TEXAS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
11,2018-12-18-21-new-mexico,48.3,14,4.8,1,94.2,64.3,18,0.5710000000000001,56,0.518,29,0.25,14,0.7140000000000001,10,1,200,107.2,30.8,8,23,74,,23.2,16,0.304,17,0.353,6,48.1,26,0.591,18.4,14,39,0.59,23,0.917,11,"December 18, 2018",56.3,9,10.3,4,107.2,69.2,18,0.44299999999999995,44,0.364,16,0.705,31,0.8390000000000001,26,5,200,94.2,35.7,10,17,65,,13.0,9,0.523,23,0.304,7,51.9,28,0.5529999999999999,26.7,21,21,0.429,9,0.5,5,"The Pit, Albuquerque, New Mexico",NEW-MEXICO,New Mexico,69.2,Away,NORTH-TEXAS,North Texas,North Texas,cusa,11,False,False,False,Away,True,6,23,56,26,54,7,9,44,1,0,103,197,633,0.5552922590837283,380,682,0.5571847507331378,62,173,601,0.4425956738768719,0.9090909090909091
12,2018-12-20-20-north-texas,47.6,10,0.0,0,111.6,80.0,20,0.51,48,0.43799999999999994,21,0.43799999999999994,21,0.81,17,8,200,95.7,16.7,5,17,66,,8.7,6,0.188,9,0.778,7,45.5,25,0.569,21.8,16,39,0.359,14,0.273,3,"December 20, 2018",72.0,18,7.7,3,95.7,83.3,25,0.633,49,0.51,25,0.449,22,0.682,15,1,200,111.6,20.0,5,22,77,,14.5,10,0.49,24,0.5,12,54.5,30,0.648,20.4,15,25,0.52,13,0.9229999999999999,12,"UNT Coliseum, Denton, Texas",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,69.2,Home,NORTH-TEXAS,North Texas,North Texas,cusa,12,True,False,True,Home,True,12,13,49,30,55,7,14,48,1,0,109,220,689,0.5566037735849056,406,736,0.5516304347826086,69,182,645,0.44263565891472867,0.9166666666666666
13,2018-12-29-15-rice,43.9,18,11.1,4,126.1,72.4,21,0.662,71,0.5770000000000001,41,0.19699999999999998,14,0.643,9,1,200,149.3,46.9,15,24,103,,5.8,4,0.366,26,0.462,12,59.0,36,0.6629999999999999,4.9,4,45,0.644,29,0.929,13,"December 29, 2018",64.0,16,11.1,5,149.3,53.1,17,0.557,53,0.47200000000000003,25,0.642,34,0.8240000000000001,28,9,200,126.1,27.6,8,16,87,,0.0,0,0.321,17,0.529,9,41.0,25,0.629,12.8,10,36,0.444,16,0.35700000000000004,5,"Tudor Fieldhouse, Houston, Texas",RICE,Rice,68.9,Away,NORTH-TEXAS,North Texas,North Texas,cusa,13,False,False,False,Away,True,12,29,71,36,61,9,16,53,1,0,121,233,738,0.5616531165311653,436,791,0.5512010113780025,76,196,693,0.44733044733044736,0.9230769230769231
14,2019-01-03-20-north-texas,18.2,4,20.0,7,95.5,78.6,22,0.405,58,0.379,22,0.397,23,0.522,12,4,200,89.4,28.2,11,13,59,,12.1,8,0.259,15,0.2,3,49.3,33,0.428,9.3,7,43,0.442,19,0.733,11,"January 3, 2019",20.8,5,9.3,4,89.4,71.8,28,0.5,53,0.45299999999999996,24,0.34,18,0.556,10,1,200,95.5,21.4,6,18,63,,3.0,2,0.34,18,0.278,5,50.7,34,0.512,16.5,12,35,0.5429999999999999,19,0.9329999999999999,14,"UNT Coliseum, Denton, Texas",LOUISIANA-TECH,Louisiana Tech,66.2,Home,NORTH-TEXAS,North Texas,North Texas,cusa,14,True,False,True,Home,True,5,19,53,34,67,3,19,58,1,0,133,262,809,0.5704573547589616,472,852,0.5539906103286385,85,212,746,0.4550938337801609,0.9285714285714286
15,2019-01-05-18-north-texas,32.0,8,7.1,2,100.0,69.0,20,0.5,55,0.455,25,0.273,15,0.467,7,7,200,95.4,18.8,6,15,62,,16.9,11,0.2,11,0.455,5,42.6,26,0.499,14.0,10,44,0.455,20,0.5329999999999999,8,"January 5, 2019",43.5,10,4.5,2,95.4,81.3,26,0.519,52,0.442,23,0.34600000000000003,18,0.611,11,1,200,100.0,31.0,9,13,65,,7.7,5,0.462,24,0.33299999999999996,8,57.4,35,0.537,17.8,13,28,0.536,15,0.938,15,"UNT Coliseum, Denton, Texas",SOUTHERN-MISSISSIPPI,Southern Miss,65.3,Home,NORTH-TEXAS,North Texas,North Texas,cusa,15,True,False,True,Home,True,8,15,52,35,61,5,20,55,1,0,138,281,862,0.5661252900232019,506,919,0.5505984766050055,88,231,804,0.45149253731343286,0.9333333333333333
16,2019-01-10-21-texas-el-paso,30.4,7,10.5,4,75.0,82.9,29,0.46399999999999997,56,0.41100000000000003,23,0.161,9,0.667,6,1,200,85.3,34.4,11,15,58,,8.8,6,0.268,15,0.4,6,59.7,40,0.48100000000000004,24.1,19,41,0.415,17,0.941,16,"January 10, 2019",55.0,11,19.5,8,85.3,65.6,21,0.418,55,0.364,20,0.127,7,0.7140000000000001,5,9,200,75.0,17.1,6,13,51,,7.4,5,0.309,17,0.353,6,40.3,27,0.43700000000000006,20.5,15,38,0.368,14,0.35700000000000004,5,"Don Haskins Center, El Paso, Texas",TEXAS-EL-PASO,UTEP,67.8,Away,NORTH-TEXAS,North Texas,North Texas,cusa,16,False,False,False,Away,True,6,17,56,40,67,6,14,55,1,0,146,296,914,0.563457330415755,541,980,0.5520408163265306,93,251,859,0.45459837019790456,0.9375
17,2019-01-12-16-texas-san-antonio,46.2,12,7.0,3,96.2,87.9,29,0.469,64,0.406,26,0.266,17,0.8240000000000001,14,2,200,93.7,23.7,9,17,74,,5.1,4,0.45299999999999996,29,0.276,8,53.5,38,0.513,17.3,15,35,0.514,18,0.889,16,"January 12, 2019",42.9,12,8.6,3,93.7,76.3,29,0.484,62,0.452,28,0.32299999999999995,20,0.8,16,7,200,96.2,12.1,4,17,76,,7.6,6,0.306,19,0.21100000000000002,4,46.5,33,0.531,14.5,12,43,0.5579999999999999,24,0.588,10,"Convocation Center, San Antonio, Texas",NORTH-TEXAS,North Texas,78.8,Home,TEXAS-SAN-ANTONIO,UTSA,North Texas,cusa,17,False,False,False,Away,False,8,18,64,38,71,4,24,62,0,1,152,313,970,0.5577319587628866,581,1047,0.5549188156638013,99,265,914,0.4524070021881838,0.9411764705882353
18,2019-01-19-18-north-texas,61.5,16,3.6,1,101.3,84.2,32,0.5660000000000001,53,0.491,26,0.47200000000000003,25,0.6,15,12,200,100.0,26.7,8,31,75,,4.0,3,0.415,22,0.364,8,58.8,40,0.578,21.0,17,31,0.581,18,0.368,7,"January 19, 2019",36.4,8,3.2,1,100.0,73.3,22,0.47200000000000003,53,0.415,22,0.736,39,0.667,26,2,200,101.3,15.8,6,22,76,,10.7,8,0.47200000000000003,25,0.24,6,41.2,28,0.531,12.5,10,28,0.5710000000000001,16,0.895,17,"UNT Coliseum, Denton, Texas",RICE,Rice,74.7,Home,NORTH-TEXAS,North Texas,North Texas,cusa,18,True,False,True,Home,True,6,16,53,28,68,8,18,53,1,0,160,331,1034,0.5522243713733076,619,1118,0.5536672629695886,103,289,976,0.45440573770491804,0.8888888888888888
19,2019-01-24-20-north-texas,42.1,8,14.3,3,79.0,77.5,31,0.39299999999999996,56,0.33899999999999997,19,0.268,15,0.5329999999999999,8,7,200,83.9,26.3,10,11,52,,9.7,6,0.41100000000000003,23,0.261,6,52.6,41,0.41200000000000003,13.8,10,33,0.39399999999999996,13,0.65,13,"January 24, 2019",77.8,14,6.1,2,83.9,73.7,28,0.414,58,0.31,18,0.10300000000000001,6,0.16699999999999998,1,3,200,79.0,22.5,9,13,49,,8.1,5,0.638,37,0.324,12,47.4,37,0.40299999999999997,14.2,10,21,0.28600000000000003,6,0.85,17,"UNT Coliseum, Denton, Texas",NORTH-TEXAS,North Texas,62.5,Away,ALABAMA-BIRMINGHAM,Alabama-Birmingham,North Texas,cusa,19,False,True,True,Home,False,12,6,58,37,78,6,13,56,0,1,166,347,1087,0.5482980680772769,647,1186,0.545531197301855,111,307,1029,0.46015549076773565,0.8947368421052632
20,2019-01-26-18-north-texas,62.5,10,2.9,1,95.9,61.5,24,0.373,51,0.314,16,0.431,22,0.682,15,16,200,72.6,22.6,7,21,53,,9.6,7,0.41200000000000003,21,0.28600000000000003,6,44.3,31,0.431,24.8,20,30,0.33299999999999996,10,0.23800000000000002,5,"January 26, 2019",44.0,11,6.7,2,72.6,77.4,24,0.43700000000000006,63,0.397,25,0.365,23,0.652,15,3,200,95.9,38.5,15,15,70,,11.0,8,0.46,29,0.172,5,55.7,39,0.473,15.1,13,34,0.588,20,0.857,18,"UNT Coliseum, Denton, Texas",MIDDLE-TENNESSEE,Middle Tennessee,73.2,Home,NORTH-TEXAS,North Texas,North Texas,cusa,20,True,False,True,Home,True,5,20,63,39,70,6,10,51,1,0,178,353,1145,0.5414847161572053,684,1264,0.5411392405063291,117,320,1085,0.45668202764976956,0.85
21,2019-01-31-19-old-dominion,53.8,14,8.3,3,105.9,75.9,22,0.484,62,0.419,26,0.032,2,0.5,1,4,200,89.7,12.5,4,21,61,,4.4,3,0.484,30,0.267,8,42.6,26,0.485,12.5,9,32,0.563,18,0.818,18,"January 31, 2019",76.0,19,12.5,4,89.7,87.5,28,0.5379999999999999,53,0.47200000000000003,25,0.509,27,0.556,15,6,200,105.9,24.1,7,8,72,,4.4,3,0.321,17,0.41200000000000003,7,57.4,35,0.547,13.4,10,36,0.5,18,0.7390000000000001,17,"Ted Constant Convocation Ctr., Norfolk, Virginia",NORTH-TEXAS,North Texas,68.4,Home,OLD-DOMINION,Old Dominion,North Texas,cusa,21,False,False,False,Away,False,8,18,62,26,61,7,18,53,0,1,183,373,1208,0.5360099337748344,723,1334,0.5419790104947526,123,330,1136,0.4529049295774648,0.8571428571428571
22,2019-02-02-16-charlotte,44.0,11,3.8,1,103.1,79.2,19,0.578,51,0.49,25,0.431,22,0.636,14,4,200,114.1,33.3,9,16,73,,12.5,8,0.451,23,0.391,9,54.9,28,0.594,16.5,12,28,0.5710000000000001,16,0.826,19,"February 2, 2019",78.3,18,7.1,2,114.1,66.7,18,0.5870000000000001,46,0.5,23,0.37,17,0.706,12,17,200,103.1,20.8,5,18,66,,6.3,4,0.435,20,0.4,8,45.1,23,0.61,21.9,15,26,0.5770000000000001,15,0.22699999999999998,5,"Dale F. Halton Arena, Charlotte, North Carolina",CHARLOTTE,Charlotte,64.3,Away,NORTH-TEXAS,North Texas,North Texas,cusa,22,False,False,False,Away,True,9,16,51,28,51,8,15,46,1,0,191,391,1270,0.5334645669291339,749,1395,0.5369175627240144,130,348,1189,0.456686291000841,0.8181818181818182
23,2019-02-07-20-north-texas,37.5,6,9.5,4,109.9,61.5,24,0.325,57,0.281,16,0.281,16,0.875,14,11,200,71.8,10.0,4,14,51,,8.5,6,0.42100000000000004,24,0.20800000000000002,5,35.4,28,0.395,13.5,10,33,0.33299999999999996,11,0.542,13,"February 7, 2019",45.2,14,0.0,0,71.8,90.0,36,0.529,70,0.44299999999999995,31,0.14300000000000002,10,0.4,4,4,200,109.9,38.5,15,14,78,,8.5,6,0.4,28,0.429,12,64.6,51,0.522,13.9,12,42,0.452,19,0.833,20,"UNT Coliseum, Denton, Texas",MARSHALL,Marshall,71.2,Home,NORTH-TEXAS,North Texas,North Texas,cusa,23,True,False,True,Home,True,12,19,70,51,79,5,11,57,1,0,200,407,1321,0.5352006056018168,777,1446,0.5373443983402489,138,363,1235,0.46153846153846156,0.8260869565217391
24,2019-02-09-18-north-texas,40.9,9,17.1,6,85.5,70.7,29,0.461,51,0.431,22,0.33299999999999996,17,0.882,15,10,200,89.9,20.7,6,15,62,,10.1,7,0.353,18,0.16699999999999998,3,50.0,35,0.525,20.4,15,33,0.5760000000000001,19,0.6,15,"February 9, 2019",39.1,9,6.1,2,89.9,79.3,23,0.396,67,0.34299999999999997,23,0.10400000000000001,7,0.857,6,5,200,85.5,29.3,12,17,59,,11.6,8,0.478,32,0.21899999999999997,7,50.0,35,0.419,14.6,12,35,0.457,16,0.8,20,"UNT Coliseum, Denton, Texas",NORTH-TEXAS,North Texas,69.2,Away,WESTERN-KENTUCKY,Western Kentucky,North Texas,cusa,24,False,True,True,Home,False,7,16,67,35,70,3,19,51,0,1,212,426,1391,0.5348670021567218,828,1525,0.5429508196721311,143,374,1292,0.4554953560371517,0.8333333333333334
25,2019-02-14-19-florida-atlantic,61.1,11,9.5,2,90.5,88.5,23,0.39799999999999996,54,0.33299999999999996,18,0.111,6,0.667,4,6,200,74.6,11.1,4,16,47,,11.1,7,0.426,23,0.304,7,43.5,27,0.413,15.0,10,31,0.355,11,0.769,20,"February 14, 2019",64.7,11,6.5,2,74.6,88.9,32,0.47700000000000004,44,0.386,17,0.386,17,0.882,15,11,200,90.5,11.5,3,8,57,,9.5,6,0.523,23,0.348,8,56.5,35,0.547,21.4,14,21,0.429,9,0.5770000000000001,15,"FAU Arena, Boca Raton, Florida",NORTH-TEXAS,North Texas,63.0,Home,FLORIDA-ATLANTIC,Florida Atlantic,North Texas,cusa,25,False,False,False,Away,False,7,11,54,27,62,8,9,44,0,1,219,442,1458,0.5284636488340192,863,1595,0.5410658307210031,146,393,1343,0.45569620253164556,0.8
26,2019-02-16-14-florida-international,61.9,13,5.9,1,113.1,85.7,18,0.52,49,0.429,21,0.245,12,0.667,8,7,200,96.7,23.8,5,14,59,,8.2,5,0.531,26,0.34600000000000003,9,54.8,23,0.539,18.1,12,23,0.522,12,0.741,20,"February 16, 2019",63.6,14,30.4,7,96.7,76.2,16,0.62,46,0.478,22,0.326,15,0.8,12,11,200,113.1,14.3,3,15,69,,13.1,8,0.63,29,0.44799999999999995,13,45.2,19,0.649,17.3,11,17,0.529,9,0.593,16,"FIU Arena, Miami, Florida",NORTH-TEXAS,North Texas,61.4,Home,FLORIDA-INTERNATIONAL,Florida International,North Texas,cusa,26,False,False,False,Away,False,9,12,49,23,42,13,9,46,0,1,226,453,1512,0.5238095238095238,890,1657,0.5371152685576343,154,402,1387,0.4563806777217015,0.7692307692307693
