,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTHERN-MISSISSIPPI_homegame,SOUTHERN-MISSISSIPPI_homegame2,SOUTHERN-MISSISSIPPI_home,SOUTHERN-MISSISSIPPI_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-19-20-kansas-state,75.0,15,7.1,2,85.9,79.3,23,0.373,63,0.317,20,0.095,6,0.667,4,4,200,79.7,23.8,10,17,51,,17.2,11,0.524,33,0.212,7,46.5,33,0.387,10.9,8,30,0.433,13,0.636,7,"December 19, 2018",55.0,11,3.3,1,79.7,76.2,32,0.5,44,0.455,20,0.455,20,0.55,11,2,200,85.9,20.7,6,11,55,,7.8,5,0.364,16,0.25,4,53.5,38,0.514,23.3,16,28,0.5710000000000001,16,0.8,8,"Bramlage Coliseum, Manhattan, Kansas",SOUTHERN-MISSISSIPPI,Southern Miss,63.7,Home,KANSAS-STATE,Kansas State,Southern Mississippi,cusa,10,False,False,False,Away,False,7,13,63,33,71,4,16,44,0,1,81,206,612,0.5351307189542484,370,706,0.5240793201133145,86,142,591,0.45854483925549916,0.7
11,2018-12-21-20-south-dakota,55.6,15,12.0,3,93.8,84.8,28,0.525,60,0.45,27,0.067,4,0.75,3,4,200,103.1,14.7,5,17,66,,7.8,5,0.4,24,0.375,9,49.3,33,0.5329999999999999,8.9,6,36,0.5,18,0.667,8,"December 21, 2018",83.3,15,11.1,4,103.1,85.3,29,0.431,51,0.353,18,0.392,20,0.8,16,7,200,93.8,15.2,5,13,60,,6.3,4,0.51,26,0.308,8,50.7,34,0.496,13.1,9,25,0.4,10,0.462,6,"Sanford Coyote Sports Center, Vermillon, South Dakota",SOUTH-DAKOTA,South Dakota,63.7,Away,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Mississippi,cusa,11,False,False,False,Away,True,9,18,60,33,67,8,10,51,1,0,88,219,675,0.52,403,777,0.5186615186615187,90,158,635,0.46141732283464565,0.6363636363636364
12,2018-12-29-17-louisiana-tech,57.1,12,15.4,4,107.6,67.7,21,0.41,61,0.344,21,0.213,13,0.462,6,5,200,84.8,28.6,12,14,56,,9.1,6,0.311,19,0.42100000000000004,8,45.2,33,0.41700000000000004,14.2,11,42,0.31,13,0.615,8,"December 29, 2018",68.0,17,7.1,3,84.8,71.4,30,0.544,57,0.439,25,0.21100000000000002,12,0.75,9,3,200,107.6,32.3,10,12,71,,13.6,9,0.544,31,0.387,12,54.8,40,0.5660000000000001,17.3,13,26,0.5,13,0.7859999999999999,11,"Thomas Assembly Center, Ruston, Louisiana",SOUTHERN-MISSISSIPPI,Southern Miss,65.9,Home,LOUISIANA-TECH,Louisiana Tech,Southern Mississippi,cusa,12,False,False,False,Away,False,8,13,61,33,73,12,13,57,0,1,97,237,735,0.5204081632653061,436,844,0.5165876777251185,98,168,686,0.45918367346938777,0.6666666666666666
13,2019-01-03-16-rice,53.8,14,3.7,1,100.0,81.8,27,0.469,64,0.406,26,0.109,7,0.7140000000000001,5,6,200,89.0,8.3,3,14,65,,11.0,8,0.297,19,0.42100000000000004,8,43.5,30,0.483,13.0,10,45,0.4,18,0.5710000000000001,8,"January 3, 2019",60.9,14,8.9,4,89.0,91.7,33,0.491,57,0.40399999999999997,23,0.35100000000000003,20,0.85,17,9,200,100.0,18.2,6,7,73,,6.8,5,0.526,30,0.33299999999999996,10,56.5,39,0.5489999999999999,15.4,12,27,0.48100000000000004,13,0.4,6,"Tudor Fieldhouse, Houston, Texas",SOUTHERN-MISSISSIPPI,Southern Miss,73.4,Home,RICE,Rice,Southern Mississippi,cusa,13,False,False,False,Away,False,8,18,64,30,69,10,13,57,0,1,105,250,796,0.5119346733668342,469,917,0.5114503816793893,110,181,743,0.46567967698519513,0.6153846153846154
14,2019-01-05-18-north-texas,32.0,8,7.1,2,100.0,69.0,20,0.5,55,0.455,25,0.273,15,0.467,7,7,200,95.4,18.8,6,15,62,,16.9,11,0.2,11,0.455,5,42.6,26,0.499,14.0,10,44,0.455,20,0.5329999999999999,8,"January 5, 2019",43.5,10,4.5,2,95.4,81.3,26,0.519,52,0.442,23,0.34600000000000003,18,0.611,11,1,200,100.0,31.0,9,13,65,,7.7,5,0.462,24,0.33299999999999996,8,57.4,35,0.537,17.8,13,28,0.536,15,0.938,15,"UNT Coliseum, Denton, Texas",SOUTHERN-MISSISSIPPI,Southern Miss,65.3,Home,NORTH-TEXAS,North Texas,Southern Mississippi,cusa,14,False,False,False,Away,False,5,20,55,26,61,8,15,52,0,1,113,268,860,0.5087209302325582,499,986,0.5060851926977687,120,194,800,0.4675,0.5714285714285714
15,2019-01-10-20-southern-mississippi,50.0,12,0.0,0,111.6,74.2,23,0.5379999999999999,53,0.45299999999999996,24,0.34,18,0.722,13,13,200,101.4,14.3,4,16,70,,14.5,10,0.434,23,0.391,9,45.8,27,0.569,16.5,12,30,0.5,15,0.188,3,"January 10, 2019",75.0,21,3.3,1,101.4,85.7,24,0.561,57,0.491,28,0.298,17,0.765,13,7,200,111.6,25.8,8,13,77,,7.2,5,0.281,16,0.5,8,54.2,32,0.5920000000000001,15.7,12,41,0.488,20,0.562,9,"Reed Green Coliseum, Hattiesburg, Mississippi",MIDDLE-TENNESSEE,Middle Tennessee,69.3,Home,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Mississippi,cusa,15,True,False,True,Home,True,8,20,57,32,59,9,15,53,1,0,118,288,915,0.5081967213114754,525,1047,0.501432664756447,128,209,852,0.4706572769953052,0.5333333333333333
16,2019-01-12-17-southern-mississippi,46.4,13,7.1,2,110.6,78.8,26,0.46299999999999997,67,0.418,28,0.16399999999999998,11,0.545,6,7,200,103.0,22.2,8,19,68,,3.0,2,0.34299999999999997,23,0.261,6,49.3,34,0.47100000000000003,6.5,5,44,0.5,22,0.588,10,"January 12, 2019",69.6,16,6.8,3,103.0,77.8,28,0.528,54,0.426,23,0.389,21,0.762,16,7,200,110.6,21.2,7,14,73,,7.6,5,0.48100000000000004,26,0.423,11,50.7,35,0.5710000000000001,8.7,6,28,0.429,12,0.588,10,"Reed Green Coliseum, Hattiesburg, Mississippi",ALABAMA-BIRMINGHAM,Alabama-Birmingham,66.1,Home,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Mississippi,cusa,16,True,False,True,Home,True,11,12,54,35,69,6,22,67,1,0,126,308,972,0.5113168724279835,557,1106,0.5036166365280289,137,224,905,0.474585635359116,0.5625
17,2019-01-17-19-charlotte,64.0,16,13.0,3,96.8,75.0,21,0.509,58,0.431,25,0.086,5,0.8,4,7,200,101.6,15.6,5,16,63,,8.1,5,0.379,22,0.409,9,43.3,26,0.522,10.4,7,36,0.444,16,0.611,11,"January 17, 2019",36.8,7,11.1,4,101.6,84.4,27,0.479,47,0.40399999999999997,19,0.447,21,0.7140000000000001,15,12,200,96.8,25.0,7,10,60,,9.7,6,0.511,24,0.292,7,56.7,34,0.527,17.6,12,23,0.522,12,0.25,4,"Dale F. Halton Arena, Charlotte, North Carolina",CHARLOTTE,Charlotte,62.2,Away,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Mississippi,cusa,17,False,False,False,Away,True,9,16,58,26,60,7,12,47,1,0,137,320,1026,0.5121832358674464,592,1175,0.5038297872340426,143,246,972,0.4737654320987654,0.5882352941176471
18,2019-01-19-16-old-dominion,60.9,14,14.6,6,120.0,52.5,21,0.51,51,0.451,23,0.294,15,0.667,10,8,200,92.3,29.0,9,16,62,,1.5,1,0.392,20,0.3,6,42.3,30,0.516,18.4,13,31,0.5479999999999999,17,0.579,11,"January 19, 2019",60.7,17,12.9,4,92.3,71.0,22,0.493,67,0.418,28,0.299,20,0.5,10,5,200,120.0,47.5,19,16,76,,13.8,9,0.38799999999999996,26,0.385,10,57.7,41,0.51,11.7,10,41,0.439,18,0.737,14,"Ted Constant Convocation Ctr., Norfolk, Virginia",SOUTHERN-MISSISSIPPI,Southern Miss,64.8,Home,OLD-DOMINION,Old Dominion,Southern Mississippi,cusa,18,False,False,False,Away,False,6,17,51,30,71,10,18,67,0,1,146,336,1084,0.5119926199261993,618,1235,0.5004048582995951,150,258,1019,0.47399411187438667,0.6111111111111112
19,2019-01-24-20-southern-mississippi,46.2,12,2.9,1,91.3,76.3,29,0.509,57,0.456,26,0.281,16,0.5,8,9,200,95.7,27.8,10,11,66,,10.1,7,0.368,21,0.28600000000000003,6,52.7,39,0.511,20.0,16,36,0.556,20,0.55,11,"January 24, 2019",68.0,17,5.6,2,95.7,72.2,26,0.475,61,0.41,25,0.19699999999999998,12,0.41700000000000004,5,9,200,91.3,23.7,9,15,63,,14.5,10,0.426,26,0.308,8,47.3,35,0.47200000000000003,12.0,9,35,0.486,17,0.55,11,"Reed Green Coliseum, Hattiesburg, Mississippi",SOUTHERN-MISSISSIPPI,Southern Miss,68.7,Away,WESTERN-KENTUCKY,Western Kentucky,Southern Mississippi,cusa,19,False,True,True,Home,False,8,17,61,35,74,6,20,57,0,1,152,353,1135,0.5118942731277533,648,1306,0.49617151607963245,160,276,1086,0.47513812154696133,0.5789473684210527
20,2019-01-26-17-southern-mississippi,40.0,6,2.6,1,140.3,68.4,13,0.308,60,0.25,15,0.317,19,0.737,14,9,200,70.8,17.8,8,10,51,,5.6,4,0.583,35,0.2,7,32.8,21,0.369,14.9,12,25,0.32,8,0.5710000000000001,12,"January 26, 2019",71.4,30,4.0,1,70.8,82.2,37,0.746,65,0.6459999999999999,42,0.092,6,0.667,4,9,200,140.3,31.6,6,20,101,,9.7,7,0.415,27,0.48100000000000004,13,67.2,43,0.7440000000000001,11.7,9,38,0.763,29,0.5710000000000001,12,"Reed Green Coliseum, Hattiesburg, Mississippi",MARSHALL,Marshall,71.9,Home,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Mississippi,cusa,20,True,False,True,Home,True,13,29,65,43,64,7,8,60,1,0,160,370,1196,0.5100334448160535,683,1380,0.49492753623188407,166,296,1143,0.4768153980752406,0.55
21,2019-01-31-19-florida-international,60.5,23,21.4,6,97.3,73.0,27,0.625,64,0.594,38,0.188,12,0.75,9,9,200,118.7,20.0,5,12,89,,14.7,11,0.203,13,0.308,4,51.6,32,0.638,13.7,11,51,0.667,34,0.591,13,"January 31, 2019",72.0,18,3.9,2,118.7,80.0,20,0.5,63,0.397,25,0.19,12,0.833,10,9,200,97.3,27.0,10,12,73,,6.7,5,0.556,35,0.371,13,48.4,30,0.531,19.0,16,28,0.429,12,0.591,13,"FIU Arena, Miami, Florida",FLORIDA-INTERNATIONAL,Florida International,75.2,Away,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Mississippi,cusa,21,False,False,False,Away,True,4,34,64,32,62,13,12,63,1,0,173,399,1261,0.5222045995241872,726,1444,0.502770083102493,173,304,1203,0.4684123025768911,0.5714285714285714
22,2019-02-02-16-florida-atlantic,43.3,13,0.0,0,114.3,72.4,21,0.644,52,0.5770000000000001,30,0.17300000000000001,9,0.778,7,9,200,117.5,27.3,6,10,74,,12.7,8,0.365,19,0.368,7,52.9,27,0.657,16.4,11,33,0.6970000000000001,23,0.609,14,"February 2, 2019",59.3,16,3.0,1,117.5,72.7,16,0.5760000000000001,59,0.45799999999999996,27,0.085,5,0.8,4,10,200,114.3,27.6,8,13,72,,7.9,5,0.61,36,0.389,14,47.1,24,0.5870000000000001,15.2,11,23,0.565,13,0.565,13,"FAU Arena, Boca Raton, Florida",FLORIDA-ATLANTIC,Florida Atlantic,62.8,Away,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Mississippi,cusa,22,False,False,False,Away,True,7,23,52,27,51,14,13,59,1,0,177,433,1325,0.5271698113207547,758,1506,0.5033200531208499,186,316,1266,0.46998420221169035,0.5909090909090909
23,2019-02-09-17-southern-mississippi,44.0,11,6.3,2,100.0,75.0,21,0.462,65,0.385,25,0.32299999999999995,21,0.524,11,10,225,97.3,30.0,12,21,71,,6.8,5,0.431,28,0.35700000000000004,10,48.5,33,0.473,12.9,11,37,0.405,15,0.6,15,"February 9, 2019",54.2,13,10.8,4,97.3,70.0,28,0.5489999999999999,51,0.47100000000000003,24,0.47100000000000003,24,0.708,17,9,225,100.0,25.0,7,20,73,,8.2,6,0.373,19,0.42100000000000004,8,51.5,35,0.585,20.6,16,32,0.5,16,0.625,15,"Reed Green Coliseum, Hattiesburg, Mississippi",LOUISIANA-TECH,Louisiana Tech,64.6,Home,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Mississippi,cusa,23,True,False,True,Home,True,8,16,51,35,68,10,15,65,1,0,184,456,1377,0.5315904139433552,785,1557,0.50417469492614,200,329,1325,0.47471698113207544,0.6086956521739131
24,2019-02-14-20-southern-mississippi,30.4,7,8.3,4,108.3,71.4,25,0.42700000000000005,62,0.371,23,0.355,22,0.818,18,11,200,98.6,25.6,10,19,71,,8.3,6,0.435,27,0.259,7,47.3,35,0.49,11.2,9,35,0.457,16,0.5770000000000001,15,"February 14, 2019",60.7,17,11.4,4,98.6,74.4,29,0.5,61,0.45899999999999996,28,0.377,23,0.7390000000000001,17,9,200,108.3,28.6,10,19,78,,8.3,6,0.213,13,0.385,5,52.7,39,0.542,12.3,10,48,0.479,23,0.64,16,"Reed Green Coliseum, Hattiesburg, Mississippi",TEXAS-SAN-ANTONIO,UTSA,71.7,Home,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Mississippi,cusa,24,True,False,True,Home,True,5,23,61,39,74,7,16,62,1,0,192,472,1428,0.5322128851540616,820,1625,0.5046153846153846,210,344,1390,0.4741007194244604,0.625
25,2019-02-16-15-southern-mississippi,35.3,6,3.0,1,120.3,75.9,22,0.377,53,0.321,17,0.28300000000000003,15,0.467,7,17,200,73.4,35.0,14,11,47,,6.3,4,0.434,23,0.261,6,52.2,36,0.391,23.2,18,30,0.36700000000000005,11,0.32,8,"February 16, 2019",65.5,19,13.3,4,73.4,65.0,26,0.625,56,0.518,29,0.196,11,0.636,7,9,200,120.3,24.1,7,16,77,,20.3,13,0.41100000000000003,23,0.522,12,47.8,33,0.629,14.1,10,33,0.515,17,0.654,17,"Reed Green Coliseum, Hattiesburg, Mississippi",TEXAS-EL-PASO,UTEP,64.2,Home,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Mississippi,cusa,25,True,False,True,Home,True,12,17,56,33,69,6,11,53,1,0,197,495,1489,0.5308932169241102,859,1699,0.505591524426133,217,360,1452,0.47210743801652894,0.64
