,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BAYLOR_homegame,BAYLOR_homegame2,BAYLOR_home,BAYLOR_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-21-19-baylor,66.7,12,13.8,4,96.6,55.0,11,0.489,44,0.409,18,0.136,6,0.667,4,4,200,79.7,16.0,4,16,47,,10.2,6,0.409,18,0.389,7,33.3,15,0.502,25.5,16,26,0.423,11,0.667,8,"December 21, 2018",66.7,14,7.7,2,79.7,84.0,21,0.523,44,0.47700000000000004,21,0.409,18,0.611,11,4,200,96.6,45.0,9,14,57,,11.9,7,0.341,15,0.267,4,66.7,30,0.542,23.6,16,29,0.586,17,0.636,7,"Ferrell Center, Waco, Texas",OREGON,Oregon,59.2,Home,BAYLOR,Baylor,Baylor,big-12,10,True,False,True,Home,True,4,17,44,30,45,7,11,44,1,0,64,189,577,0.49393414211438474,354,645,0.5488372093023256,66,151,552,0.4528985507246377,0.6
11,2018-12-29-18-baylor,50.0,8,11.8,4,113.5,69.0,20,0.32,61,0.262,16,0.131,8,0.625,5,6,200,59.5,26.8,11,15,44,,9.5,7,0.361,22,0.318,7,44.3,31,0.34,24.6,21,39,0.231,9,0.455,5,"December 29, 2018",71.0,22,30.8,12,59.5,73.2,30,0.61,59,0.525,31,0.322,19,0.632,12,4,200,113.5,31.0,9,13,84,,18.9,14,0.424,25,0.4,10,55.7,39,0.617,17.2,14,34,0.618,21,0.667,8,"Ferrell Center, Waco, Texas",NEW-ORLEANS,New Orleans,73.9,Home,BAYLOR,Baylor,Baylor,big-12,11,True,False,True,Home,True,10,21,59,39,70,7,9,61,1,0,68,206,621,0.49597423510466987,384,690,0.5565217391304348,73,162,596,0.45553691275167785,0.6363636363636364
12,2019-01-05-16-texas-christian,65.5,19,2.6,1,116.4,73.1,19,0.525,59,0.49200000000000005,29,0.45799999999999996,27,0.7040000000000001,19,5,200,111.0,28.6,8,22,81,,8.2,6,0.271,16,0.25,4,50.0,27,0.564,13.4,11,43,0.581,25,0.615,8,"January 5, 2019",73.3,22,7.0,3,111.0,71.4,20,0.623,53,0.5660000000000001,30,0.642,34,0.5589999999999999,19,1,200,116.4,26.9,7,20,85,,8.2,6,0.264,14,0.429,6,50.0,27,0.615,12.8,10,39,0.615,24,0.9229999999999999,12,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",BAYLOR,Baylor,73.5,Home,TEXAS-CHRISTIAN,TCU,Baylor,big-12,12,False,False,False,Away,False,4,25,59,27,54,6,24,53,0,1,78,227,680,0.5058823529411764,423,760,0.5565789473684211,80,171,657,0.4429223744292237,0.6666666666666666
13,2019-01-08-19-baylor,50.0,14,6.3,2,110.6,73.3,22,0.563,56,0.5,28,0.14300000000000002,8,0.875,7,3,200,106.1,16.7,4,17,70,20.0,9.1,6,0.321,18,0.389,7,48.1,26,0.585,14.4,10,38,0.5529999999999999,21,0.8,12,"January 8, 2019",50.0,12,7.9,3,106.1,83.3,20,0.509,55,0.436,24,0.364,20,0.85,17,5,200,110.6,26.7,8,14,73,,9.1,6,0.418,23,0.348,8,51.9,28,0.5660000000000001,13.6,10,32,0.5,16,0.643,9,"Ferrell Center, Waco, Texas",IOWA-STATE,Iowa State,66.2,Home,BAYLOR,Baylor,Baylor,big-12,13,True,False,True,Home,True,8,16,55,28,54,7,21,56,1,0,82,252,739,0.5074424898511503,450,814,0.5528255528255528,86,195,710,0.4563380281690141,0.6153846153846154
14,2019-01-12-16-baylor,54.2,13,25.0,11,97.1,50.0,22,0.648,44,0.545,24,0.614,27,0.593,16,2,200,104.3,15.4,4,19,73,7.0,8.6,6,0.364,16,0.563,9,37.1,26,0.642,20.0,14,28,0.536,15,0.875,14,"January 12, 2019",52.0,13,10.7,3,104.3,84.6,22,0.39299999999999996,75,0.33299999999999996,25,0.2,15,0.6,9,6,200,97.1,50.0,22,23,68,,12.9,9,0.413,31,0.29,9,62.9,44,0.414,14.6,14,44,0.364,16,0.6,9,"Ferrell Center, Waco, Texas",BAYLOR,Baylor,70.5,Away,KANSAS,Kansas,Baylor,big-12,14,False,True,True,Home,False,9,16,75,44,70,9,15,44,0,1,90,268,794,0.5075566750629723,478,868,0.5506912442396313,93,216,766,0.4640992167101828,0.6428571428571429
15,2019-01-14-21-oklahoma-state,69.6,16,21.4,6,107.8,66.7,24,0.555,55,0.418,23,0.273,15,0.8,12,6,200,114.1,31.3,10,17,73,,7.8,5,0.455,25,0.6,15,50.0,34,0.588,17.4,13,30,0.267,8,0.625,10,"January 14, 2019",77.3,17,23.3,7,114.1,68.8,22,0.5,57,0.386,22,0.298,17,0.706,12,9,200,107.8,33.3,12,12,69,,7.8,5,0.509,29,0.44799999999999995,13,50.0,34,0.53,13.4,10,28,0.321,9,0.47100000000000003,8,"Gallagher-Iba Arena, Stillwater, Oklahoma",OKLAHOMA-STATE,Oklahoma State,64.1,Away,BAYLOR,Baylor,Baylor,big-12,15,False,False,False,Away,True,15,8,55,34,68,13,9,57,1,0,99,284,869,0.49769850402761795,522,938,0.5565031982942431,102,231,810,0.4740740740740741,0.6
16,2019-01-19-18-baylor,57.1,12,10.3,3,110.6,65.5,19,0.522,45,0.467,21,0.42200000000000004,19,0.789,15,3,200,93.9,26.9,7,18,62,8.0,12.1,8,0.33299999999999996,15,0.33299999999999996,5,47.3,26,0.574,24.2,17,30,0.5329999999999999,16,0.833,15,"January 19, 2019",66.7,16,3.3,1,93.9,73.1,19,0.509,58,0.414,24,0.276,16,0.875,14,6,200,110.6,34.5,10,17,73,,15.2,10,0.5,29,0.379,11,52.7,29,0.556,16.7,13,29,0.44799999999999995,13,0.647,11,"Ferrell Center, Waco, Texas",TEXAS-TECH,Texas Tech,66.3,Home,BAYLOR,Baylor,Baylor,big-12,16,True,False,True,Home,True,11,13,58,29,55,5,16,45,1,0,114,292,924,0.5010822510822511,556,1006,0.5526838966202783,115,240,867,0.4757785467128028,0.625
17,2019-01-21-21-west-virginia,58.6,17,0.0,0,94.8,65.9,27,0.569,58,0.5,29,0.534,31,0.613,19,6,200,110.4,41.9,13,26,85,,9.1,7,0.466,27,0.29600000000000004,8,55.6,40,0.584,20.1,18,31,0.677,21,0.667,12,"January 21, 2019",45.8,11,12.9,4,110.4,58.1,18,0.419,62,0.387,24,0.5479999999999999,34,0.618,21,10,200,94.8,34.1,14,26,73,,14.3,11,0.27399999999999997,17,0.235,4,44.4,32,0.467,14.5,13,45,0.444,20,0.474,9,"WVU Coliseum, Morgantown, West Virginia",WEST-VIRGINIA,West Virginia,77.4,Away,BAYLOR,Baylor,Baylor,big-12,17,False,False,False,Away,True,8,21,58,40,72,4,20,62,1,0,125,305,982,0.5015274949083504,585,1061,0.5513666352497644,120,256,912,0.4780701754385965,0.6470588235294118
18,2019-01-26-12-baylor,58.6,17,15.6,7,112.3,58.8,20,0.5529999999999999,57,0.509,29,0.12300000000000001,7,0.7140000000000001,5,7,200,104.6,32.1,9,15,68,,4.6,3,0.298,17,0.294,5,46.8,29,0.564,16.6,12,40,0.6,24,0.632,12,"January 26, 2019",46.7,14,12.5,5,104.6,67.9,19,0.493,67,0.44799999999999995,30,0.149,10,0.7,7,6,200,112.3,41.2,14,11,73,,9.2,6,0.32799999999999996,22,0.273,6,53.2,33,0.509,10.1,8,45,0.5329999999999999,24,0.684,13,"Ferrell Center, Waco, Texas",ALABAMA,Alabama,64.5,Home,BAYLOR,Baylor,Baylor,big-12,18,True,False,True,Home,True,6,24,67,33,62,5,24,57,1,0,133,326,1040,0.5052884615384615,625,1133,0.5516328331862312,124,276,974,0.47433264887063653,0.6666666666666666
19,2019-01-28-21-oklahoma,54.8,17,14.3,5,68.1,78.4,29,0.632,57,0.544,31,0.193,11,0.455,5,6,200,111.6,22.2,6,19,77,,13.0,9,0.35100000000000003,20,0.5,10,54.7,35,0.619,16.3,12,37,0.568,21,0.7,14,"January 28, 2019",73.3,11,8.1,3,111.6,77.8,21,0.309,55,0.273,15,0.309,17,0.765,13,6,200,68.1,21.6,8,14,47,,4.3,3,0.364,20,0.2,4,45.3,29,0.373,18.3,14,35,0.314,11,0.7140000000000001,15,"Lloyd Noble Center, Norman, Oklahoma",OKLAHOMA,Oklahoma,68.7,Away,BAYLOR,Baylor,Baylor,big-12,19,False,False,False,Away,True,10,21,57,35,64,4,11,55,1,0,139,350,1107,0.504516711833785,658,1195,0.5506276150627615,129,300,1031,0.4786614936954413,0.6842105263157895
20,2019-02-02-20-baylor,37.5,9,17.1,6,142.9,48.3,14,0.456,57,0.42100000000000004,24,0.298,17,0.706,12,6,200,101.6,28.6,10,14,64,,3.2,2,0.24600000000000002,14,0.28600000000000003,4,37.5,24,0.49200000000000005,12.2,9,43,0.465,20,0.7140000000000001,15,"February 2, 2019",60.0,21,23.3,10,101.6,71.4,25,0.675,63,0.556,35,0.127,8,0.625,5,6,200,142.9,51.7,15,15,90,,1.6,1,0.444,28,0.536,15,62.5,40,0.674,13.1,10,35,0.5710000000000001,20,0.7140000000000001,15,"Ferrell Center, Waco, Texas",TEXAS-CHRISTIAN,TCU,62.9,Home,BAYLOR,Baylor,Baylor,big-12,20,True,False,True,Home,True,15,20,63,40,64,4,20,57,1,0,149,371,1164,0.5107388316151202,693,1259,0.5504368546465449,133,311,1086,0.47007366482504603,0.7
21,2019-02-06-20-texas,46.4,13,3.4,1,123.5,69.2,18,0.5529999999999999,57,0.491,28,0.263,15,0.6,9,7,200,105.9,29.6,8,27,72,,7.4,5,0.316,18,0.389,7,49.1,26,0.561,18.0,14,39,0.5379999999999999,21,0.682,15,"February 6, 2019",48.1,13,12.8,5,105.9,70.4,19,0.633,49,0.551,27,0.6940000000000001,34,0.647,22,10,200,123.5,30.8,8,16,84,,7.4,5,0.408,20,0.4,8,50.9,27,0.645,12.3,9,29,0.655,19,0.565,13,"Frank Erwin Center, Austin, Texas",BAYLOR,Baylor,68.1,Home,TEXAS,Texas,Baylor,big-12,21,False,False,False,Away,False,7,21,57,26,53,8,19,49,0,1,164,391,1227,0.5191524042379788,733,1323,0.5540438397581254,137,331,1143,0.4693788276465442,0.7142857142857143
22,2019-02-09-18-baylor,73.9,17,6.3,2,103.3,53.3,16,0.48200000000000004,57,0.40399999999999997,23,0.298,17,0.882,15,5,200,114.8,43.3,13,14,70,,8.2,5,0.456,26,0.34600000000000003,9,48.3,29,0.5379999999999999,13.4,10,31,0.452,14,0.7829999999999999,18,"February 9, 2019",52.0,13,22.6,7,114.8,56.7,17,0.5,56,0.446,25,0.196,11,0.636,7,8,200,103.3,46.7,14,17,63,,8.2,5,0.429,24,0.25,6,51.7,31,0.514,17.6,13,32,0.594,19,0.652,15,"Ferrell Center, Waco, Texas",BAYLOR,Baylor,61.2,Away,KANSAS-STATE,Kansas State,Baylor,big-12,22,False,True,True,Home,False,6,19,56,31,60,9,14,57,0,1,171,412,1284,0.5206386292834891,759,1376,0.5515988372093024,145,350,1192,0.47609060402684567,0.6818181818181818
23,2019-02-11-21-baylor,52.4,11,6.3,2,101.7,65.5,19,0.41700000000000004,54,0.389,21,0.278,15,0.5329999999999999,8,10,200,91.4,38.2,13,14,53,,13.8,8,0.29600000000000004,16,0.188,3,50.8,32,0.434,14.2,10,38,0.474,18,0.6,15,"February 11, 2019",71.4,15,13.2,5,91.4,61.8,21,0.48100000000000004,54,0.389,21,0.185,10,0.7,7,8,200,101.7,34.5,10,14,59,,8.6,5,0.40700000000000003,22,0.455,10,49.2,31,0.502,14.6,10,32,0.344,11,0.667,16,"Ferrell Center, Waco, Texas",OKLAHOMA,Oklahoma,58.4,Home,BAYLOR,Baylor,Baylor,big-12,23,True,False,True,Home,True,10,11,54,31,63,3,18,54,1,0,177,431,1340,0.5197761194029851,790,1436,0.5501392757660167,154,364,1249,0.4763811048839071,0.6521739130434783
24,2019-02-16-14-texas-tech,35.3,6,12.0,3,128.4,57.1,16,0.439,49,0.34700000000000003,17,0.5710000000000001,28,0.643,18,9,200,91.0,46.7,14,26,61,,6.0,4,0.51,25,0.36,9,51.7,30,0.49,23.7,19,24,0.33299999999999996,8,0.64,16,"February 16, 2019",54.5,12,20.8,5,91.0,53.3,16,0.519,54,0.40700000000000003,22,0.648,35,0.857,30,5,200,128.4,42.9,12,25,86,15.0,10.4,7,0.537,29,0.414,12,48.3,28,0.609,10.3,8,25,0.4,10,0.8079999999999999,21,"United Supermarkets Arena, Lubbock, Texas",BAYLOR,Baylor,67.0,Home,TEXAS-TECH,Texas Tech,Baylor,big-12,24,False,False,False,Away,False,9,8,49,30,58,12,10,54,0,1,187,442,1394,0.5182926829268293,821,1499,0.5476984656437625,157,382,1303,0.47390636991557944,0.6666666666666666
25,2019-02-19-21-iowa-state,55.2,16,8.1,3,109.5,80.6,25,0.507,67,0.433,29,0.10400000000000001,7,0.7140000000000001,5,9,200,115.9,48.6,18,14,73,,4.8,3,0.418,28,0.35700000000000004,10,63.2,43,0.519,11.4,9,39,0.48700000000000004,19,0.654,17,"February 19, 2019",50.0,13,15.4,6,115.9,51.4,19,0.5,60,0.433,26,0.183,11,0.818,9,7,200,109.5,19.4,6,13,69,19.0,6.3,4,0.38299999999999995,23,0.348,8,36.8,25,0.529,7.2,5,37,0.486,18,0.731,19,"James H. Hilton Coliseum , Ames, Iowa",IOWA-STATE,Iowa State,62.8,Away,BAYLOR,Baylor,Baylor,big-12,25,False,False,False,Away,True,10,19,67,43,68,8,18,60,1,0,196,450,1443,0.5155925155925156,851,1557,0.5465639049454079,169,392,1357,0.4756816507000737,0.64
26,2019-02-23-14-baylor,47.8,11,6.3,2,117.1,64.5,20,0.48100000000000004,54,0.426,23,0.63,34,0.6759999999999999,23,17,200,107.1,26.5,9,28,75,,4.3,3,0.40700000000000003,22,0.273,6,44.6,29,0.535,13.8,11,32,0.531,17,0.37,10,"February 23, 2019",50.0,12,9.4,3,107.1,73.5,25,0.528,53,0.45299999999999996,24,0.66,35,0.743,26,9,200,117.1,35.5,11,23,82,,4.3,3,0.396,21,0.381,8,55.4,36,0.589,12.8,10,32,0.5,16,0.667,18,"Ferrell Center, Waco, Texas",WEST-VIRGINIA,West Virginia,70.4,Home,BAYLOR,Baylor,Baylor,big-12,26,True,False,True,Home,True,8,16,53,36,65,6,17,54,1,0,206,469,1510,0.5152317880794702,894,1625,0.5501538461538461,177,410,1417,0.47671136203246295,0.6538461538461539
27,2019-02-27-21-baylor,67.7,21,13.2,5,120.0,51.5,17,0.621,62,0.5,31,0.177,11,0.545,6,13,225,118.6,27.6,8,16,83,,8.6,6,0.435,27,0.556,15,40.3,25,0.617,16.3,13,35,0.457,16,0.536,15,"February 27, 2019",65.4,17,20.0,7,118.6,72.4,21,0.516,62,0.419,26,0.387,24,0.833,20,9,225,120.0,48.5,16,13,84,,5.7,4,0.387,24,0.5,12,59.7,37,0.5720000000000001,13.2,11,38,0.368,14,0.679,19,"Ferrell Center, Waco, Texas",TEXAS,Texas,62.5,Home,BAYLOR,Baylor,Baylor,big-12,27,True,False,True,Home,True,12,14,62,37,62,15,16,62,1,0,214,485,1563,0.5156749840051184,930,1690,0.5502958579881657,183,427,1471,0.4768864717878994,0.6666666666666666
