,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,IDAHO-STATE_homegame,IDAHO-STATE_homegame2,IDAHO-STATE_home,IDAHO-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-31-16-eastern-washington,45.5,10,9.8,4,100.0,78.6,22,0.491,53,0.415,22,0.113,6,0.5,3,6,200,84.6,24.1,7,13,55,,9.2,6,0.45299999999999996,24,0.33299999999999996,8,50.9,29,0.49200000000000005,22.3,16,29,0.483,14,0.455,5,"December 31, 2018",50.0,13,10.3,3,84.6,75.9,22,0.509,56,0.46399999999999997,26,0.161,9,0.889,8,10,200,100.0,21.4,6,13,65,,15.4,10,0.268,15,0.33299999999999996,5,49.1,28,0.539,14.3,10,41,0.512,21,0.231,3,"Reese Court, Cheney, Washington",IDAHO-STATE,Idaho State,64.6,Home,EASTERN-WASHINGTON,Eastern Washington,Idaho State,big-sky,10,False,False,False,Away,False,8,14,53,29,57,5,21,56,0,1,103,170,599,0.5417362270450752,317,635,0.49921259842519683,72,208,607,0.5205930807248764,0.5
11,2019-01-03-21-idaho-state,15.0,3,4.2,1,115.8,75.9,22,0.375,56,0.35700000000000004,20,0.589,33,0.7879999999999999,26,7,200,89.5,21.1,8,20,68,,1.3,1,0.304,17,0.11800000000000001,2,44.8,30,0.474,15.6,13,39,0.462,18,0.41700000000000004,5,"January 3, 2019",53.8,14,12.8,5,89.5,78.9,30,0.588,57,0.456,26,0.456,26,0.8079999999999999,21,6,200,115.8,24.1,7,25,88,,6.6,5,0.579,33,0.455,15,55.2,37,0.634,14.9,12,24,0.45799999999999996,11,0.5,6,"Holt Arena, Pocatello, Idaho",SOUTHERN-UTAH,Southern Utah,75.5,Home,IDAHO-STATE,Idaho State,Idaho State,big-sky,11,True,False,True,Home,True,15,11,57,37,67,2,18,56,1,0,111,184,652,0.5375766871165644,346,692,0.5,77,229,663,0.5196078431372549,0.45454545454545453
12,2019-01-05-21-idaho-state,40.7,11,11.5,3,101.5,67.6,25,0.6459999999999999,48,0.563,27,0.41700000000000004,20,0.95,19,10,200,119.1,23.5,4,15,81,,7.4,5,0.33299999999999996,16,0.5,8,53.7,29,0.7040000000000001,20.9,15,32,0.594,19,0.28600000000000003,4,"January 5, 2019",65.2,15,12.5,4,119.1,76.5,13,0.46,63,0.365,23,0.222,14,0.7859999999999999,11,7,200,101.5,32.4,12,17,69,,5.9,4,0.5870000000000001,37,0.324,12,46.3,25,0.495,11.5,9,26,0.423,11,0.462,6,"Holt Arena, Pocatello, Idaho",IDAHO-STATE,Idaho State,67.6,Away,NORTHERN-ARIZONA,Northern Arizona,Idaho State,big-sky,12,False,True,True,Home,False,12,11,63,25,54,8,19,48,0,1,126,195,709,0.5416078984485191,383,759,0.5046113306982872,79,247,719,0.5083449235048678,0.5
13,2019-01-12-22-sacramento-state,80.0,20,5.3,2,101.4,73.3,22,0.5,59,0.424,25,0.237,14,0.929,13,7,200,104.3,27.6,8,19,72,,5.8,4,0.441,26,0.34600000000000003,9,50.8,30,0.5479999999999999,17.7,14,33,0.485,16,0.5,7,"January 12, 2019",51.9,14,18.2,6,104.3,72.4,21,0.573,55,0.491,27,0.255,14,0.5,7,7,200,101.4,26.7,8,14,70,,7.2,5,0.309,17,0.529,9,49.2,29,0.568,16.4,12,38,0.474,18,0.462,6,"The Nest, Sacramento, California",SACRAMENTO-STATE,Sacramento State,68.7,Away,IDAHO-STATE,Idaho State,Idaho State,big-sky,13,False,False,False,Away,True,9,16,59,30,59,9,18,55,1,0,138,206,772,0.5349740932642487,408,813,0.5018450184501845,87,266,767,0.5169491525423728,0.46153846153846156
14,2019-01-17-21-weber-state,47.6,10,0.0,0,108.6,80.8,21,0.381,63,0.33299999999999996,21,0.222,14,0.7859999999999999,11,8,200,84.3,25.6,11,13,59,,7.1,5,0.413,26,0.231,6,46.4,32,0.424,14.8,12,37,0.405,15,0.467,7,"January 17, 2019",36.7,11,10.8,4,84.3,74.4,32,0.609,55,0.545,30,0.23600000000000002,13,0.6920000000000001,9,6,200,108.6,19.2,5,16,76,,12.9,9,0.418,23,0.304,7,53.6,37,0.621,17.6,13,32,0.7190000000000001,23,0.647,11,"Dee Events Center, Ogden, Utah",IDAHO-STATE,Idaho State,69.9,Home,WEBER-STATE,Weber State,Idaho State,big-sky,14,False,False,False,Away,False,6,15,63,32,69,7,23,55,0,1,147,222,831,0.5324909747292419,438,872,0.5022935779816514,96,284,822,0.5206812652068127,0.5
15,2019-01-21-21-idaho-state,53.8,14,2.6,1,85.5,73.5,25,0.56,58,0.44799999999999995,26,0.259,15,0.8,12,7,200,124.2,25.9,7,15,77,,8.1,5,0.466,27,0.48100000000000004,13,52.5,32,0.591,7.2,5,31,0.419,13,0.632,12,"January 21, 2019",8.7,2,19.4,6,124.2,74.1,20,0.436,55,0.418,23,0.16399999999999998,9,0.556,5,9,200,85.5,26.5,9,13,53,,3.2,2,0.309,17,0.11800000000000001,2,47.5,29,0.447,15.7,11,38,0.5529999999999999,21,0.43799999999999994,7,"Holt Arena, Pocatello, Idaho",IDAHO-STATE,Idaho State,62.2,Away,NORTHERN-COLORADO,Northern Colorado,Idaho State,big-sky,15,False,True,True,Home,False,2,21,55,29,61,13,13,58,0,1,153,237,894,0.5218120805369127,470,941,0.49946865037194477,103,307,877,0.5262257696693272,0.4666666666666667
16,2019-01-24-21-montana,43.5,10,12.2,5,111.1,70.6,24,0.509,53,0.434,23,0.377,20,0.75,15,10,200,95.8,22.6,7,15,69,,12.5,9,0.434,23,0.348,8,47.7,31,0.552,20.6,16,30,0.5,15,0.41200000000000003,7,"January 24, 2019",55.2,16,10.0,3,95.8,77.4,24,0.523,65,0.446,29,0.24600000000000002,16,0.75,12,6,200,111.1,29.4,10,16,80,,13.9,10,0.369,24,0.41700000000000004,10,52.3,34,0.551,11.1,9,41,0.46299999999999997,19,0.684,13,"Adams Center/Dahlberg Arena, Missoula, Montana",IDAHO-STATE,Idaho State,71.6,Home,MONTANA,Montana,Idaho State,big-sky,16,False,False,False,Away,False,8,15,53,31,65,10,19,65,0,1,155,258,949,0.5168598524762908,499,1002,0.49800399201596807,116,320,935,0.5283422459893048,0.4375
17,2019-01-26-16-montana-state,38.7,12,6.7,3,142.5,71.0,22,0.652,56,0.5539999999999999,31,0.35700000000000004,20,0.55,11,11,200,115.1,32.3,10,18,84,,2.7,2,0.39299999999999996,22,0.5,11,51.6,32,0.6409999999999999,20.8,17,34,0.588,20,0.389,7,"January 26, 2019",48.8,20,2.9,1,115.1,67.7,21,0.662,71,0.5770000000000001,41,0.21100000000000002,15,0.667,10,11,200,142.5,29.0,9,17,104,,8.2,6,0.366,26,0.462,12,48.4,30,0.6659999999999999,6.1,5,45,0.644,29,0.42100000000000004,8,"Max Worthington Arena, Bozeman, Montana",IDAHO-STATE,Idaho State,73.3,Home,MONTANA-STATE,Montana State,Idaho State,big-sky,17,False,False,False,Away,False,11,20,56,32,62,12,29,71,0,1,163,273,1002,0.5164670658682635,530,1067,0.4967197750702905,126,339,1000,0.528,0.4117647058823529
18,2019-01-31-21-idaho-state,46.4,13,16.7,4,85.3,87.5,28,0.608,51,0.5489999999999999,28,0.392,20,0.6,12,9,200,108.8,28.0,7,14,74,,8.8,6,0.255,13,0.462,6,61.4,35,0.612,19.0,14,38,0.579,22,0.5,9,"January 31, 2019",45.0,9,5.3,2,108.8,72.0,18,0.46,50,0.4,20,0.34,17,0.706,12,12,200,85.3,12.5,4,16,58,,13.2,9,0.52,26,0.231,6,38.6,22,0.499,20.7,15,24,0.583,14,0.368,7,"Holt Arena, Pocatello, Idaho",IDAHO-STATE,Idaho State,68.3,Away,SACRAMENTO-STATE,Sacramento State,Idaho State,big-sky,18,False,True,True,Home,False,6,14,50,22,57,6,22,51,0,1,174,293,1058,0.5236294896030246,562,1129,0.4977856510186005,138,368,1071,0.5368814192343604,0.3888888888888889
19,2019-02-02-21-idaho-state,46.2,12,17.9,5,116.9,72.0,18,0.517,60,0.433,26,0.133,8,0.625,5,12,200,113.6,43.8,14,12,67,,1.7,1,0.5,30,0.33299999999999996,10,56.1,32,0.525,12.4,9,30,0.5329999999999999,16,0.429,9,"February 2, 2019",55.6,15,0.0,0,113.6,56.3,18,0.594,53,0.509,27,0.20800000000000002,11,0.545,6,12,200,116.9,28.0,7,13,69,,5.1,3,0.47200000000000003,25,0.36,9,43.9,25,0.593,10.8,7,28,0.643,18,0.4,8,"Holt Arena, Pocatello, Idaho",PORTLAND-STATE,Portland State,58.5,Home,IDAHO-STATE,Idaho State,Idaho State,big-sky,19,True,False,True,Home,True,9,18,53,25,57,10,16,60,1,0,180,307,1108,0.5207581227436823,584,1186,0.4924114671163575,144,390,1122,0.5401069518716578,0.3684210526315789
20,2019-02-07-20-northern-arizona,43.8,14,3.1,1,123.4,60.7,17,0.667,57,0.561,32,0.14,8,0.625,5,12,200,126.6,20.0,5,15,81,,7.8,5,0.42100000000000004,24,0.5,12,41.5,22,0.6659999999999999,12.9,9,33,0.606,20,0.429,9,"February 7, 2019",66.7,18,0.0,0,126.6,80.0,20,0.565,54,0.5,27,0.40700000000000003,22,0.818,18,15,200,123.4,39.3,11,9,79,,10.9,7,0.40700000000000003,22,0.318,7,58.5,31,0.613,12.4,9,32,0.625,20,0.318,7,"Walkup Skydome, Flagstaff, Arizona",NORTHERN-ARIZONA,Northern Arizona,63.6,Away,IDAHO-STATE,Idaho State,Idaho State,big-sky,20,False,False,False,Away,True,12,20,57,22,53,7,20,54,1,0,189,325,1161,0.5241171403962102,609,1243,0.4899436846339501,154,406,1182,0.538917089678511,0.4
21,2019-02-09-16-southern-utah,46.2,12,5.3,2,111.4,83.3,25,0.49200000000000005,62,0.419,26,0.177,11,1.0,11,13,200,102.9,14.3,5,13,72,,4.3,3,0.435,27,0.33299999999999996,9,46.2,30,0.536,10.7,8,35,0.486,17,0.409,9,"February 9, 2019",48.4,15,14.3,5,102.9,85.7,30,0.573,62,0.5,31,0.177,11,0.636,7,10,200,111.4,16.7,5,14,78,,5.7,4,0.387,24,0.375,9,53.8,35,0.58,10.7,8,38,0.579,22,0.545,12,"Centrum, Cedar City, Utah",IDAHO-STATE,Idaho State,70.2,Home,SOUTHERN-UTAH,Southern Utah,Idaho State,big-sky,21,False,False,False,Away,False,9,17,62,30,65,9,22,62,0,1,201,345,1218,0.5307881773399015,631,1296,0.4868827160493827,161,426,1236,0.5400485436893204,0.42857142857142855
22,2019-02-14-21-idaho-state,55.2,16,0.0,0,105.6,78.6,22,0.563,63,0.46,29,0.302,19,0.684,13,12,200,116.7,15.6,5,16,84,,5.6,4,0.47600000000000003,30,0.433,13,45.0,27,0.583,8.9,7,33,0.485,16,0.5,12,"February 14, 2019",32.1,9,9.1,3,116.7,84.4,27,0.583,54,0.519,28,0.33299999999999996,18,0.722,13,14,200,105.6,21.4,6,17,76,,4.2,3,0.37,20,0.35,7,55.0,33,0.608,17.4,13,34,0.618,21,0.391,9,"Reed Gym, Pocatello, Idaho",IDAHO-STATE,Idaho State,71.8,Away,MONTANA-STATE,Montana State,Idaho State,big-sky,22,False,True,True,Home,False,7,21,54,33,60,13,16,63,0,1,210,362,1280,0.52890625,661,1361,0.4856722997795738,170,448,1298,0.5416024653312789,0.4090909090909091
23,2019-02-16-21-idaho-state,54.5,18,5.3,2,94.4,86.1,31,0.633,60,0.55,33,0.1,6,0.667,4,6,200,111.1,12.0,3,15,80,,6.9,5,0.36700000000000005,22,0.455,10,55.7,34,0.636,17.2,13,38,0.605,23,0.76,19,"February 16, 2019",43.5,10,5.3,2,111.1,88.0,22,0.466,59,0.39,23,0.33899999999999997,20,0.65,13,15,200,94.4,13.9,5,11,68,,11.1,8,0.35600000000000004,21,0.429,9,44.3,27,0.496,10.6,8,38,0.368,14,0.375,9,"Reed Gym, Pocatello, Idaho",IDAHO-STATE,Idaho State,72.2,Away,MONTANA,Montana,Idaho State,big-sky,23,False,True,True,Home,False,9,14,59,27,61,10,23,60,0,1,217,383,1334,0.5311094452773614,694,1421,0.4883884588318086,183,464,1361,0.5426157237325496,0.391304347826087
24,2019-02-21-22-portland-state,53.6,15,0.0,0,123.8,56.7,17,0.5660000000000001,61,0.45899999999999996,28,0.557,34,0.706,24,16,200,116.3,23.7,9,19,93,,10.0,8,0.426,26,0.5,13,38.2,26,0.603,12.6,11,35,0.429,15,0.36,9,"February 21, 2019",60.0,21,11.4,4,116.3,76.3,29,0.625,68,0.515,35,0.27899999999999997,19,0.737,14,14,200,123.8,43.3,13,25,99,,5.0,4,0.41200000000000003,28,0.536,15,61.8,42,0.643,17.3,16,40,0.5,20,0.462,12,"Peter W. Stott Center, Portland, Oregon",IDAHO-STATE,Idaho State,79.6,Home,PORTLAND-STATE,Portland State,Idaho State,big-sky,24,False,False,False,Away,False,13,15,61,26,68,15,20,68,0,1,226,397,1393,0.5283560660445082,721,1482,0.4865047233468286,193,487,1421,0.5464461646727656,0.375
25,2019-03-02-21-northern-colorado,41.7,10,13.5,5,106.0,61.3,19,0.473,55,0.436,24,0.2,11,0.909,10,17,200,92.5,25.0,7,16,62,,7.5,5,0.327,18,0.222,4,44.1,26,0.515,19.0,14,37,0.541,20,0.34600000000000003,9,"March 2, 2019",38.5,10,8.1,3,92.5,75.0,21,0.47600000000000003,63,0.413,26,0.175,11,1.0,11,9,200,106.0,38.7,12,13,71,,10.4,7,0.413,26,0.308,8,55.9,33,0.52,12.8,10,37,0.486,18,0.69,20,"Bank of Colorado Arena, Greeley, Colorado",IDAHO-STATE,Idaho State,66.7,Home,NORTHERN-COLORADO,Northern Colorado,Idaho State,big-sky,25,False,False,False,Away,False,4,20,55,26,59,8,18,63,0,1,239,412,1454,0.5299174690508941,747,1550,0.48193548387096774,208,507,1489,0.5500335795836132,0.36
26,2019-03-04-21-idaho-state,48.1,13,7.5,3,114.7,60.0,18,0.598,56,0.48200000000000004,27,0.179,10,0.7,7,13,200,108.8,16.7,4,14,74,,4.4,3,0.518,29,0.44799999999999995,13,40.7,22,0.609,14.2,10,27,0.519,14,0.552,16,"March 4, 2019",38.7,12,14.8,4,108.8,83.3,20,0.546,65,0.47700000000000004,31,0.10800000000000001,7,1.0,7,17,200,114.7,40.0,12,13,78,,5.9,4,0.385,25,0.36,9,59.3,32,0.5710000000000001,16.0,13,40,0.55,22,0.37,10,"Holt Arena, Pocatello, Idaho",WEBER-STATE,Weber State,68.0,Home,IDAHO-STATE,Idaho State,Idaho State,big-sky,26,True,False,True,Home,True,9,22,65,32,54,13,14,56,1,0,243,432,1509,0.5278330019880716,773,1609,0.48042262274704783,216,525,1552,0.5470360824742269,0.34615384615384615
