,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SAINT-FRANCIS-PA_homegame,SAINT-FRANCIS-PA_homegame2,SAINT-FRANCIS-PA_home,SAINT-FRANCIS-PA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-22-12-lehigh,59.3,16,12.1,4,112.8,92.3,24,0.43200000000000005,73,0.37,27,0.205,15,0.867,13,7,200,97.4,40.0,16,17,76,,7.7,6,0.479,35,0.257,9,60.6,40,0.474,15.9,15,38,0.474,18,0.364,4,"December 22, 2018",62.1,18,0.0,0,97.4,60.0,24,0.634,56,0.518,29,0.33899999999999997,19,0.895,17,3,200,112.8,7.7,2,12,88,,9.0,7,0.41100000000000003,23,0.565,13,39.4,26,0.677,17.9,14,33,0.485,16,0.7,7,"Stabler Arena, Bethlehem, Pennsylvania",SAINT-FRANCIS-PA,Saint Francis (PA),78.1,Home,LEHIGH,Lehigh,Saint Francis (PA),northeast,10,False,False,False,Away,False,9,18,73,40,66,13,16,56,0,1,72,211,671,0.47540983606557374,381,725,0.5255172413793103,86,202,622,0.5321543408360129,0.4
11,2019-01-03-19-saint-francis-pa,37.5,9,10.8,4,109.6,70.0,21,0.45299999999999996,64,0.375,24,0.32799999999999996,21,0.524,11,11,200,94.5,23.3,10,16,69,,6.8,5,0.516,33,0.303,10,42.5,31,0.466,12.0,10,31,0.452,14,0.214,3,"January 3, 2019",38.7,12,12.9,4,94.5,76.7,33,0.619,59,0.525,31,0.237,14,0.5,7,7,200,109.6,30.0,9,16,80,,9.6,7,0.373,22,0.5,11,57.5,42,0.609,18.7,15,37,0.541,20,0.41700000000000004,5,"DeGol Arena, Loretto, Pennsylvania",MOUNT-ST-MARYS,Mount St. Mary's,72.8,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,11,True,False,True,Home,True,11,20,59,42,73,10,14,64,1,0,81,229,744,0.47110215053763443,421,791,0.5322376738305942,99,218,678,0.5405604719764012,0.36363636363636365
12,2019-01-05-19-saint-francis-pa,51.5,17,6.7,2,84.7,78.6,22,0.64,57,0.579,33,0.193,11,0.545,6,8,200,109.7,13.0,3,16,79,,12.5,9,0.33299999999999996,19,0.368,7,49.0,25,0.635,16.3,12,38,0.684,26,0.429,6,"January 5, 2019",47.6,10,7.9,3,109.7,87.0,20,0.461,51,0.41200000000000003,21,0.373,19,0.737,14,8,200,84.7,21.4,6,14,61,,9.7,7,0.41200000000000003,21,0.23800000000000002,5,51.0,26,0.508,23.3,18,30,0.5329999999999999,16,0.385,5,"DeGol Arena, Loretto, Pennsylvania",SAINT-FRANCIS-PA,Saint Francis (PA),71.6,Away,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Saint Francis (PA),northeast,12,False,True,True,Home,False,5,16,51,26,51,7,26,57,0,1,92,249,803,0.48194271481942713,463,864,0.5358796296296297,109,232,742,0.5330188679245284,0.4166666666666667
13,2019-01-10-19-long-island-university,35.7,10,12.2,5,87.0,74.4,29,0.455,67,0.418,28,0.313,21,0.619,13,8,200,96.1,31.0,13,16,74,,15.6,12,0.254,17,0.294,5,51.9,42,0.48100000000000004,13.6,12,50,0.46,23,0.429,6,"January 10, 2019",46.2,12,8.0,4,96.1,69.0,29,0.445,64,0.406,26,0.203,13,0.769,10,8,200,87.0,25.6,10,18,67,,5.2,4,0.359,23,0.217,5,48.1,39,0.47700000000000004,20.5,18,41,0.512,21,0.467,7,"Steinberg Wellness Center, Brooklyn, New York",LONG-ISLAND-UNIVERSITY,LIU,77.1,Away,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,13,False,False,False,Away,True,5,23,67,42,81,5,21,64,1,0,97,265,854,0.4806791569086651,489,915,0.5344262295081967,116,258,799,0.5406758448060075,0.38461538461538464
14,2019-01-12-16-st-francis-ny,45.5,10,5.0,2,101.4,58.3,21,0.436,55,0.4,22,0.473,26,0.769,20,9,200,95.8,26.7,8,18,68,,8.5,6,0.273,15,0.267,4,43.9,29,0.505,16.4,13,40,0.45,18,0.4,6,"January 12, 2019",37.0,10,20.0,8,95.8,73.3,22,0.484,63,0.429,27,0.23800000000000002,15,0.733,11,7,200,101.4,41.7,15,22,72,,8.5,6,0.365,23,0.304,7,56.1,37,0.513,16.7,14,40,0.5,20,0.588,10,"Pope Physical Education Center, Brooklyn Heights, New York",SAINT-FRANCIS-PA,Saint Francis (PA),70.7,Home,ST-FRANCIS-NY,St. Francis (NY),Saint Francis (PA),northeast,14,False,False,False,Away,False,4,18,55,29,66,7,20,63,0,1,102,288,921,0.4788273615635179,531,996,0.5331325301204819,121,279,863,0.533603707995365,0.42857142857142855
15,2019-01-19-15-central-connecticut-state,55.6,15,10.3,4,95.8,73.5,25,0.564,55,0.491,27,0.473,26,0.6920000000000001,18,9,200,111.1,25.0,7,20,80,,4.2,3,0.382,21,0.381,8,51.6,32,0.594,17.4,14,34,0.5589999999999999,19,0.43799999999999994,7,"January 19, 2019",60.9,14,17.6,6,111.1,75.0,21,0.44299999999999995,61,0.377,23,0.32799999999999996,20,0.75,15,10,200,95.8,26.5,9,22,69,,8.3,6,0.361,22,0.364,8,48.4,30,0.489,10.3,8,39,0.385,15,0.444,8,"Detrick Gymnasium, New Britain, Connecticut",CENTRAL-CONNECTICUT-STATE,Central Connecticut,71.9,Away,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,15,False,False,False,Away,True,8,19,55,32,62,8,15,61,1,0,106,306,976,0.4764344262295082,560,1062,0.527306967984934,128,299,926,0.5302375809935205,0.4
16,2019-01-21-17-bryant,48.0,12,8.0,2,113.4,80.0,20,0.5,57,0.439,25,0.263,15,0.667,10,10,200,100.0,27.3,9,21,67,,10.4,7,0.42100000000000004,24,0.292,7,50.0,29,0.522,18.0,14,33,0.545,18,0.41200000000000003,7,"January 21, 2019",56.0,14,3.0,1,100.0,72.7,24,0.638,47,0.532,25,0.426,20,0.8,16,11,200,113.4,20.0,5,16,76,,6.0,4,0.46799999999999997,22,0.455,10,50.0,29,0.6729999999999999,20.1,14,25,0.6,15,0.353,6,"Chace Athletic Center , Smithfield, Rhode Island",SAINT-FRANCIS-PA,Saint Francis (PA),67.3,Home,BRYANT,Bryant,Saint Francis (PA),northeast,16,False,False,False,Away,False,7,18,57,29,58,10,15,47,0,1,114,325,1031,0.481086323957323,592,1124,0.5266903914590747,136,314,987,0.524822695035461,0.4375
17,2019-01-24-19-saint-francis-pa,63.0,17,8.6,3,123.4,58.3,14,0.579,57,0.474,27,0.35100000000000003,20,0.85,17,9,200,129.7,44.8,13,16,83,,12.5,8,0.544,31,0.387,12,50.9,27,0.624,12.0,9,26,0.5770000000000001,15,0.5,9,"January 24, 2019",50.0,15,3.8,1,129.7,55.2,16,0.593,59,0.508,30,0.22,13,0.6920000000000001,9,11,200,123.4,41.7,10,17,79,,10.9,7,0.40700000000000003,24,0.41700000000000004,10,49.1,26,0.606,14.5,11,35,0.5710000000000001,20,0.389,7,"DeGol Arena, Loretto, Pennsylvania",SAINT-FRANCIS-PA,Saint Francis (PA),64.3,Away,WAGNER,Wagner,Saint Francis (PA),northeast,17,False,True,True,Home,False,10,20,59,26,53,12,15,57,0,1,121,343,1088,0.4820772058823529,621,1182,0.5253807106598984,146,329,1034,0.5299806576402321,0.4117647058823529
18,2019-01-26-19-saint-francis-pa,55.2,16,12.2,5,108.2,71.8,28,0.583,54,0.537,29,0.35200000000000004,19,0.789,15,13,200,106.8,20.8,5,16,78,,4.1,3,0.315,17,0.294,5,52.4,33,0.619,19.4,15,37,0.649,24,0.381,8,"January 26, 2019",55.6,15,8.1,3,106.8,79.2,19,0.478,69,0.391,27,0.23199999999999998,16,0.813,13,11,200,108.2,28.2,11,15,79,,11.0,8,0.406,28,0.429,12,47.6,30,0.516,8.4,7,41,0.366,15,0.42100000000000004,8,"DeGol Arena, Loretto, Pennsylvania",SACRED-HEART,Sacred Heart,72.8,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,18,True,False,True,Home,True,12,15,69,30,63,5,24,54,1,0,131,363,1147,0.48779424585876197,647,1235,0.5238866396761134,158,344,1091,0.532538955087076,0.3888888888888889
19,2019-01-31-19-robert-morris,55.6,15,9.7,3,107.4,62.5,20,0.608,51,0.529,27,0.392,20,0.7,14,11,200,111.8,37.5,9,20,76,,11.8,8,0.314,16,0.5,8,51.8,29,0.628,21.1,16,35,0.5429999999999999,19,0.45,9,"January 31, 2019",45.8,11,5.7,2,111.8,62.5,15,0.519,54,0.444,24,0.48100000000000004,26,0.654,17,10,200,107.4,37.5,12,17,73,,5.9,4,0.426,23,0.348,8,48.2,27,0.55,18.6,15,31,0.516,16,0.545,12,"North Athletic Complex, Pittsburgh, Pennsylvania",ROBERT-MORRIS,Robert Morris,68.4,Away,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,19,False,False,False,Away,True,8,19,51,29,56,8,16,54,1,0,143,378,1216,0.48725328947368424,677,1298,0.5215716486902927,163,368,1145,0.5349344978165939,0.42105263157894735
20,2019-02-02-16-mount-st-marys,39.1,9,0.0,0,90.0,84.0,21,0.40399999999999997,68,0.33799999999999997,23,0.324,22,0.773,17,11,200,102.9,33.3,14,16,72,,5.7,4,0.353,24,0.375,9,52.2,35,0.45899999999999996,8.3,7,44,0.318,14,0.47600000000000003,10,"February 2, 2019",50.0,13,25.0,11,102.9,66.7,28,0.509,54,0.48100000000000004,26,0.259,14,0.5710000000000001,8,18,200,90.0,16.0,4,16,63,,4.3,3,0.33299999999999996,18,0.16699999999999998,3,47.8,32,0.519,15.5,11,36,0.639,23,0.217,5,"Knott Arena, Emmitsburg, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,69.6,Away,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,20,False,False,False,Away,True,9,14,68,35,67,3,23,54,1,0,151,397,1267,0.4921073401736385,706,1354,0.5214180206794683,171,384,1199,0.5341951626355296,0.45
21,2019-02-07-17-saint-francis-pa,36.7,11,0.0,0,116.9,72.7,24,0.485,68,0.441,30,0.382,26,0.731,19,14,200,110.4,26.8,11,16,85,,10.4,8,0.294,20,0.3,6,47.3,35,0.529,10.2,9,48,0.5,24,0.41700000000000004,10,"February 7, 2019",74.2,23,8.3,4,110.4,73.2,30,0.589,62,0.5,31,0.387,24,0.708,17,11,200,116.9,27.3,9,22,90,,7.8,6,0.419,26,0.423,11,52.7,39,0.613,14.2,12,36,0.556,20,0.5,11,"DeGol Arena, Loretto, Pennsylvania",CENTRAL-CONNECTICUT-STATE,Central Connecticut,77.4,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,21,True,False,True,Home,True,11,20,62,39,74,6,24,68,1,0,160,411,1335,0.48764044943820223,741,1421,0.5214637579169599,174,407,1253,0.533120510774142,0.47619047619047616
22,2019-02-09-19-saint-francis-pa,42.3,11,9.1,3,121.7,65.5,19,0.517,58,0.44799999999999995,26,0.31,18,0.833,15,15,200,108.7,33.3,10,21,75,,2.9,2,0.397,23,0.348,8,49.2,29,0.563,15.4,12,35,0.514,18,0.348,8,"February 9, 2019",69.2,18,20.0,7,108.7,66.7,20,0.574,54,0.48100000000000004,26,0.537,29,0.759,22,11,200,121.7,34.5,10,18,84,,7.2,5,0.389,21,0.47600000000000003,10,50.8,30,0.62,14.1,11,33,0.485,16,0.522,12,"DeGol Arena, Loretto, Pennsylvania",BRYANT,Bryant,68.7,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,22,True,False,True,Home,True,10,16,54,30,59,8,18,58,1,0,171,431,1397,0.4921259842519685,780,1495,0.5217391304347826,180,431,1321,0.5306585919757759,0.5
23,2019-02-14-18-fairleigh-dickinson,50.0,16,7.1,3,86.1,75.0,27,0.594,64,0.5,32,0.25,16,0.688,11,11,200,120.8,23.1,6,16,87,,15.3,11,0.391,25,0.48,12,53.2,33,0.608,12.3,10,39,0.513,20,0.542,13,"February 14, 2019",48.0,12,20.5,8,120.8,76.9,20,0.475,59,0.424,25,0.18600000000000003,11,0.545,6,13,200,86.1,25.0,9,17,62,,4.2,3,0.28800000000000003,17,0.353,6,46.8,29,0.483,18.0,14,42,0.452,19,0.48,12,"Rothman Center, Teaneck, New Jersey",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,72.4,Away,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,23,False,False,False,Away,True,12,20,64,33,62,6,19,59,1,0,181,447,1451,0.49517574086836663,810,1554,0.5212355212355212,188,449,1379,0.5300942712110225,0.5217391304347826
24,2019-02-16-19-saint-francis-pa,50.0,13,9.7,3,101.4,83.9,26,0.526,58,0.44799999999999995,26,0.207,12,0.667,8,14,200,97.2,20.7,6,26,69,,8.5,6,0.379,22,0.409,9,53.3,32,0.542,19.2,15,36,0.47200000000000003,17,0.48100000000000004,13,"February 16, 2019",65.2,15,16.7,6,97.2,79.3,23,0.51,51,0.451,23,0.569,29,0.69,20,11,200,101.4,16.1,5,15,72,,8.5,6,0.392,20,0.3,6,46.7,28,0.556,12.4,9,31,0.5479999999999999,17,0.56,14,"DeGol Arena, Loretto, Pennsylvania",ROBERT-MORRIS,Robert Morris,70.7,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,24,True,False,True,Home,True,6,17,51,28,60,9,17,58,1,0,193,467,1515,0.4993399339933993,843,1616,0.5216584158415841,194,468,1438,0.527816411682893,0.5416666666666666
25,2019-02-21-19-saint-francis-pa,35.7,10,9.3,4,109.5,68.0,17,0.5,61,0.45899999999999996,28,0.24600000000000002,15,0.667,10,12,200,95.9,18.8,6,16,71,,9.5,7,0.32799999999999996,20,0.25,5,40.4,23,0.521,12.9,10,41,0.561,23,0.5710000000000001,16,"February 21, 2019",43.3,13,4.9,2,95.9,81.3,26,0.542,59,0.508,30,0.35600000000000004,21,0.81,17,11,200,109.5,32.0,8,13,81,,9.5,7,0.271,16,0.25,4,59.6,34,0.5870000000000001,18.0,15,43,0.605,26,0.5770000000000001,15,"DeGol Arena, Loretto, Pennsylvania",ST-FRANCIS-NY,St. Francis (NY),74.1,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,25,True,False,True,Home,True,4,26,59,34,57,5,23,61,1,0,199,484,1566,0.4996807151979566,871,1676,0.5196897374701671,203,485,1496,0.5277406417112299,0.56
