,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GONZAGA_homegame,GONZAGA_homegame2,GONZAGA_home,GONZAGA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
12,2018-12-21-21-gonzaga,50.0,8,0.0,0,138.4,80.0,16,0.262,65,0.24600000000000002,16,0.154,10,0.6,6,9,200,54.8,21.7,10,15,40,,5.5,4,0.27699999999999997,18,0.111,2,39.4,26,0.287,14.7,12,47,0.298,14,0.35700000000000004,5,"December 21, 2018",64.1,25,10.6,5,54.8,78.3,36,0.772,57,0.684,39,0.281,16,0.813,13,2,200,138.4,20.0,4,15,101,8.0,8.2,6,0.40399999999999997,23,0.435,10,60.6,40,0.782,16.9,13,34,0.853,29,0.846,11,"McCarthey Athletic Center, Spokane, Washington",DENVER,Denver,72.7,Home,GONZAGA,Gonzaga,Gonzaga,wcc,12,True,False,True,Home,True,10,29,57,40,66,2,14,65,1,0,104,290,755,0.590728476821192,452,822,0.5498783454987834,100,232,803,0.47571606475716066,0.8333333333333334
13,2018-12-28-21-gonzaga,33.3,6,5.1,2,128.0,69.7,23,0.364,55,0.327,18,0.364,20,0.55,11,11,200,68.0,15.2,5,19,51,,5.3,4,0.345,19,0.21100000000000002,4,42.4,28,0.395,20.1,16,36,0.389,14,0.214,3,"December 28, 2018",47.1,16,19.4,7,68.0,84.8,28,0.611,63,0.54,34,0.381,24,0.792,19,2,200,128.0,30.3,10,14,96,7.0,20.0,15,0.381,24,0.375,9,57.6,38,0.645,13.0,11,39,0.6409999999999999,25,0.857,12,"McCarthey Athletic Center, Spokane, Washington",NORTH-ALABAMA,North Alabama,75.5,Home,GONZAGA,Gonzaga,Gonzaga,wcc,13,True,False,True,Home,True,9,25,63,38,66,4,14,55,1,0,114,319,812,0.603448275862069,492,888,0.5540540540540541,102,246,868,0.4596774193548387,0.8461538461538461
14,2018-12-31-21-gonzaga,18.2,4,6.3,2,120.3,71.9,23,0.392,60,0.36700000000000005,22,0.16699999999999998,10,0.7,7,5,200,73.0,31.3,10,23,54,,8.1,6,0.317,19,0.158,3,51.6,33,0.41700000000000004,22.8,19,41,0.46299999999999997,19,0.615,8,"December 31, 2018",53.3,16,12.2,5,73.0,68.8,22,0.603,58,0.517,30,0.483,28,0.679,19,2,200,120.3,28.1,9,17,89,7.0,10.8,8,0.44799999999999995,26,0.385,10,48.4,31,0.624,13.5,11,32,0.625,20,0.867,13,"McCarthey Athletic Center, Spokane, Washington",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,73.5,Home,GONZAGA,Gonzaga,Gonzaga,wcc,14,True,False,True,Home,True,10,20,58,31,64,3,19,60,1,0,123,344,875,0.604,530,954,0.5555555555555556,106,260,923,0.4539544962080173,0.8571428571428571
15,2019-01-05-21-gonzaga,41.2,7,2.3,1,119.7,75.8,25,0.373,51,0.33299999999999996,17,0.431,22,0.455,10,7,200,63.2,17.6,6,23,48,,1.3,1,0.33299999999999996,17,0.235,4,46.3,31,0.391,24.8,20,34,0.382,13,0.562,9,"January 5, 2019",53.1,17,26.5,9,63.2,82.4,28,0.556,62,0.516,32,0.5,31,0.71,22,2,200,119.7,24.2,8,23,91,7.0,18.4,14,0.306,19,0.263,5,53.7,36,0.593,9.6,8,43,0.628,27,0.875,14,"McCarthey Athletic Center, Spokane, Washington",SANTA-CLARA,Santa Clara,76.1,Home,GONZAGA,Gonzaga,Gonzaga,wcc,15,True,False,True,Home,True,5,27,62,36,67,4,13,51,1,0,133,364,933,0.6039657020364416,561,1018,0.5510805500982319,109,279,983,0.4501525940996948,0.8666666666666667
16,2019-01-10-23-gonzaga,58.3,7,3.4,1,100.0,85.7,24,0.311,45,0.267,12,0.289,13,0.615,8,8,200,53.7,17.6,6,22,36,,6.0,4,0.33299999999999996,15,0.267,4,48.4,30,0.35200000000000004,27.3,19,30,0.267,8,0.556,10,"January 10, 2019",52.2,12,20.0,6,53.7,82.4,28,0.491,53,0.434,23,0.358,19,0.789,15,2,200,100.0,14.3,4,15,67,5.0,11.9,8,0.45299999999999996,24,0.25,6,51.6,32,0.54,15.2,11,29,0.586,17,0.882,15,"McCarthey Athletic Center, Spokane, Washington",PACIFIC,Pacific,66.6,Home,GONZAGA,Gonzaga,Gonzaga,wcc,16,True,False,True,Home,True,6,17,53,32,62,4,8,45,1,0,138,391,995,0.6010050251256281,597,1085,0.5502304147465438,113,292,1034,0.4463249516441006,0.875
17,2019-01-12-22-san-francisco,38.9,14,20.5,9,116.9,65.0,26,0.5870000000000001,69,0.522,36,0.304,21,0.7140000000000001,15,2,200,135.2,35.3,12,17,96,5.0,1.4,1,0.29,20,0.45,9,51.4,38,0.608,4.9,4,49,0.551,27,0.889,16,"January 12, 2019",32.1,9,4.1,2,135.2,64.7,22,0.46399999999999997,69,0.406,28,0.36200000000000004,25,0.76,19,3,200,116.9,35.0,14,21,83,,1.4,1,0.36200000000000004,25,0.32,8,48.6,36,0.513,5.9,5,44,0.455,20,0.8240000000000001,14,"War Memorial Gymnasium, San Francisco, California",SAN-FRANCISCO,San Francisco,71.4,Away,GONZAGA,Gonzaga,Gonzaga,wcc,17,False,False,False,Away,True,9,27,69,38,74,8,20,69,1,0,144,408,1048,0.5954198473282443,629,1147,0.5483870967741935,117,300,1079,0.4406858202038925,0.8823529411764706
18,2019-01-17-21-gonzaga,42.9,9,6.3,2,110.6,60.0,15,0.42700000000000005,55,0.382,21,0.2,11,0.727,8,5,200,83.3,32.4,11,15,55,,13.6,9,0.16399999999999998,9,0.556,5,44.1,26,0.457,21.1,16,46,0.348,16,0.722,13,"January 17, 2019",57.1,16,10.9,5,83.3,67.6,23,0.573,55,0.509,28,0.255,14,0.7140000000000001,10,2,200,110.6,40.0,10,12,73,5.0,12.1,8,0.418,23,0.304,7,55.9,33,0.5920000000000001,20.7,16,32,0.6559999999999999,21,0.895,17,"McCarthey Athletic Center, Spokane, Washington",LOYOLA-MARYMOUNT,Loyola Marymount,66.4,Home,GONZAGA,Gonzaga,Gonzaga,wcc,18,True,False,True,Home,True,7,21,55,33,59,5,16,55,1,0,153,435,1117,0.5948970456580125,667,1221,0.5462735462735463,125,320,1148,0.4420731707317073,0.8888888888888888
19,2019-01-19-22-portland,78.8,26,17.4,4,98.5,96.3,26,0.583,66,0.5,33,0.22699999999999998,15,0.8,12,2,200,132.8,44.1,15,19,89,5.0,7.5,5,0.47,31,0.355,11,67.2,41,0.609,9.9,8,35,0.629,22,0.9,18,"January 19, 2019",59.1,13,0.0,0,132.8,55.9,19,0.5539999999999999,46,0.478,22,0.478,22,0.682,15,13,200,98.5,3.7,1,20,66,,3.0,2,0.5,23,0.304,7,32.8,20,0.585,17.7,12,23,0.652,15,0.35,7,"Chiles Center, Portland, Oregon",PORTLAND,Portland,66.8,Away,GONZAGA,Gonzaga,Gonzaga,wcc,19,False,False,False,Away,True,11,22,66,41,61,7,15,46,1,0,160,456,1172,0.5938566552901023,700,1280,0.546875,130,336,1203,0.44139650872817954,0.8947368421052632
20,2019-01-24-23-santa-clara,58.3,21,13.3,4,55.7,90.9,30,0.586,70,0.514,36,0.271,19,0.8420000000000001,16,2,200,140.0,35.3,12,12,98,4.0,12.9,9,0.386,27,0.37,10,62.7,42,0.62,2.5,2,43,0.605,26,0.905,19,"January 24, 2019",38.5,5,7.0,3,140.0,64.7,22,0.302,48,0.271,13,0.313,15,0.667,10,10,200,55.7,9.1,3,16,39,,1.4,1,0.375,18,0.16699999999999998,3,37.3,25,0.354,24.8,18,30,0.33299999999999996,10,0.524,11,"Leavey Center, Santa Clara, California",SANTA-CLARA,Santa Clara,69.6,Away,GONZAGA,Gonzaga,Gonzaga,wcc,20,False,False,False,Away,True,10,26,70,42,67,3,10,48,1,0,171,478,1238,0.5932956381260097,741,1341,0.5525727069351231,137,351,1249,0.4455564451561249,0.9
21,2019-01-31-23-brigham-young,56.8,21,9.1,4,88.7,86.1,31,0.667,63,0.5870000000000001,37,0.222,14,0.643,9,2,200,131.0,29.0,9,12,93,4.0,7.0,5,0.317,20,0.5,10,59.7,40,0.6679999999999999,11.5,9,43,0.628,27,0.909,20,"January 31, 2019",45.8,11,2.3,1,131.0,71.0,22,0.415,65,0.369,24,0.185,12,0.75,9,10,200,88.7,13.9,5,15,63,,8.5,6,0.32299999999999995,21,0.28600000000000003,6,40.3,27,0.446,9.1,7,44,0.409,18,0.565,13,"Marriott Center, Provo, Utah",BRIGHAM-YOUNG,BYU,71.2,Away,GONZAGA,Gonzaga,Gonzaga,wcc,21,False,False,False,Away,True,10,27,63,40,67,6,18,65,1,0,181,504,1308,0.5928899082568807,783,1408,0.5561079545454546,140,361,1297,0.4402467232074017,0.9047619047619048
22,2019-02-02-20-gonzaga,45.8,11,2.5,1,119.7,83.3,20,0.5579999999999999,52,0.462,24,0.308,16,0.688,11,8,200,97.2,14.3,4,21,69,,8.5,6,0.442,23,0.435,10,46.2,24,0.579,19.2,14,29,0.483,14,0.652,15,"February 2, 2019",51.7,15,17.2,5,97.2,85.7,24,0.593,54,0.537,29,0.519,28,0.75,21,2,200,119.7,16.7,4,17,85,4.0,12.7,9,0.259,14,0.429,6,53.8,28,0.632,13.1,10,40,0.575,23,0.9129999999999999,21,"McCarthey Athletic Center, Spokane, Washington",SAN-DIEGO,San Diego,71.5,Home,GONZAGA,Gonzaga,Gonzaga,wcc,22,True,False,True,Home,True,6,23,54,28,52,10,14,52,1,0,191,531,1371,0.5962800875273523,823,1475,0.5579661016949152,146,379,1362,0.4390602055800294,0.9090909090909091
23,2019-02-07-21-gonzaga,34.6,9,4.1,2,124.3,63.6,21,0.425,67,0.38799999999999996,26,0.179,12,0.41700000000000004,5,6,200,83.8,22.0,9,19,62,,10.8,8,0.239,16,0.313,5,40.5,30,0.426,12.2,10,51,0.41200000000000003,21,0.7390000000000001,17,"February 7, 2019",50.0,16,19.6,10,83.8,78.0,32,0.547,64,0.5,32,0.42200000000000004,27,0.815,22,2,200,124.3,36.4,12,14,92,4.0,10.8,8,0.23399999999999999,15,0.4,6,59.5,44,0.599,11.6,10,49,0.531,26,0.917,22,"McCarthey Athletic Center, Spokane, Washington",SAN-FRANCISCO,San Francisco,74.3,Home,GONZAGA,Gonzaga,Gonzaga,wcc,23,True,False,True,Home,True,6,26,64,44,74,5,21,67,1,0,197,554,1425,0.596140350877193,851,1527,0.5573018991486575,156,393,1414,0.4434229137199434,0.9130434782608695
24,2019-02-09-22-gonzaga,6.7,1,4.8,2,138.2,68.0,17,0.267,58,0.259,15,0.32799999999999996,19,0.789,15,10,200,67.6,22.2,8,14,46,,4.4,3,0.22399999999999998,13,0.077,1,41.0,25,0.34299999999999997,13.1,10,45,0.311,14,0.6,15,"February 9, 2019",62.9,22,13.3,6,67.6,77.8,28,0.65,60,0.583,35,0.33299999999999996,20,0.8,16,2,200,138.2,32.0,8,16,94,4.0,13.2,9,0.3,18,0.444,8,59.0,36,0.6759999999999999,8.0,6,42,0.643,27,0.92,23,"McCarthey Athletic Center, Spokane, Washington",SAINT-MARYS-CA,Saint Mary's,68.3,Home,GONZAGA,Gonzaga,Gonzaga,wcc,24,True,False,True,Home,True,8,27,60,36,61,1,14,58,1,0,203,580,1489,0.594022834116857,895,1601,0.5590256089943785,161,414,1481,0.4426063470627954,0.9166666666666666
25,2019-02-14-23-loyola-marymount,73.9,17,11.5,6,90.9,66.7,26,0.52,50,0.46,23,0.44,22,0.955,21,2,200,110.6,22.7,5,15,73,3.0,3.0,2,0.38,19,0.316,6,50.8,31,0.604,14.4,10,31,0.5479999999999999,17,0.9229999999999999,24,"February 14, 2019",56.0,14,9.7,3,110.6,77.3,17,0.386,66,0.379,25,0.242,16,0.563,9,9,200,90.9,33.3,13,19,60,,7.6,5,0.212,14,0.071,1,49.2,30,0.408,6.4,5,52,0.462,24,0.654,17,"Albert Gersten Pavilion, Los Angeles, California",LOYOLA-MARYMOUNT,Loyola Marymount,65.5,Away,GONZAGA,Gonzaga,Gonzaga,wcc,25,False,False,False,Away,True,6,17,50,31,61,1,24,66,1,0,211,607,1549,0.5961910910264687,931,1662,0.5601684717208183,162,428,1539,0.4359974009096816,0.92
26,2019-02-16-22-san-diego,40.6,13,6.3,2,101.5,81.3,26,0.609,55,0.5820000000000001,32,0.255,14,0.857,12,2,200,119.7,22.7,5,18,79,3.0,7.6,5,0.255,14,0.214,3,57.4,31,0.6409999999999999,12.8,9,41,0.7070000000000001,29,0.9259999999999999,25,"February 16, 2019",60.9,14,12.2,5,119.7,77.3,17,0.474,58,0.397,23,0.259,15,0.8,12,11,200,101.5,18.8,6,16,67,,9.1,6,0.44799999999999995,26,0.34600000000000003,9,42.6,23,0.514,11.0,8,32,0.43799999999999994,14,0.593,16,"Jenny Craig Pavillion, San Diego, California",SAN-DIEGO,San Diego,66.4,Away,GONZAGA,Gonzaga,Gonzaga,wcc,26,False,False,False,Away,True,3,29,55,31,54,9,14,58,1,0,217,624,1599,0.5938086303939962,962,1723,0.5583284968078932,163,452,1605,0.4339563862928349,0.9230769230769231
