,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ARKANSAS_homegame,ARKANSAS_homegame2,ARKANSAS_home,ARKANSAS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-22-14-arkansas,44.0,11,0.0,0,102.8,71.9,23,0.517,60,0.41700000000000004,25,0.35,21,0.381,8,2,200,98.6,38.5,15,29,70,,9.9,7,0.433,26,0.462,12,53.5,38,0.5,18.8,16,34,0.382,13,0.833,10,"December 22, 2018",57.1,12,14.7,5,98.6,61.5,24,0.479,47,0.447,21,0.851,40,0.7,28,3,200,102.8,28.1,9,20,73,,11.3,8,0.23399999999999999,11,0.273,3,46.5,33,0.5529999999999999,18.8,15,36,0.5,18,0.727,8,"Bud Walton Arena, Fayetteville, Arkansas",TEXAS-STATE,Texas State,71.5,Home,ARKANSAS,Arkansas,Arkansas,sec,10,True,False,True,Home,True,3,18,47,33,71,12,13,60,1,0,86,205,628,0.5318471337579618,351,693,0.5064935064935064,81,151,606,0.44966996699669964,0.7
11,2018-12-28-20-arkansas,45.8,11,8.9,4,105.6,69.4,25,0.441,59,0.40700000000000003,24,0.33899999999999997,20,0.65,13,5,200,90.3,48.4,15,22,65,,5.6,4,0.424,25,0.16,4,59.7,40,0.474,20.0,17,34,0.588,20,0.615,8,"December 28, 2018",77.8,21,14.7,5,90.3,51.6,16,0.49200000000000005,62,0.435,27,0.387,24,0.625,15,3,200,105.6,30.6,11,21,76,,19.4,14,0.27399999999999997,17,0.41200000000000003,7,40.3,27,0.518,13.2,11,45,0.444,20,0.75,9,"Bud Walton Arena, Fayetteville, Arkansas",AUSTIN-PEAY,Austin Peay,72.0,Home,ARKANSAS,Arkansas,Arkansas,sec,11,True,False,True,Home,True,7,20,62,27,67,4,20,59,1,0,89,223,675,0.5281481481481481,384,764,0.5026178010471204,93,164,666,0.45570570570570573,0.7272727272727273
12,2019-01-05-18-texas-am,61.5,16,8.1,3,97.3,71.1,27,0.44299999999999995,70,0.371,26,0.314,22,0.5,11,3,200,100.0,29.3,12,22,73,,4.1,3,0.47100000000000003,33,0.303,10,49.4,39,0.45399999999999996,9.1,8,37,0.43200000000000005,16,0.769,10,"January 5, 2019",56.0,14,16.2,6,100.0,70.7,29,0.451,61,0.41,25,0.41,25,0.64,16,6,200,97.3,28.9,11,22,71,,2.7,2,0.39299999999999996,24,0.20800000000000002,5,50.6,40,0.48700000000000004,10.0,8,37,0.541,20,0.5,6,"Reed Arena, College Station, Texas",TEXAS-AM,Texas A&M,73.2,Away,ARKANSAS,Arkansas,Arkansas,sec,12,False,False,False,Away,True,10,16,70,39,79,5,20,61,1,0,96,243,737,0.5251017639077341,411,831,0.49458483754512633,97,184,725,0.45448275862068965,0.75
13,2019-01-09-20-arkansas,50.0,9,8.3,2,72.9,79.4,27,0.36200000000000004,58,0.31,18,0.32799999999999996,19,0.789,15,5,200,81.4,22.2,8,25,57,,5.7,4,0.44799999999999995,26,0.231,6,50.0,35,0.425,13.1,10,32,0.375,12,0.643,9,"January 9, 2019",66.7,10,15.6,5,81.4,77.8,28,0.36,50,0.3,15,0.52,26,0.5770000000000001,15,4,200,72.9,20.6,7,20,51,,7.1,5,0.52,26,0.231,6,50.0,35,0.409,19.6,15,24,0.375,9,0.7140000000000001,10,"Bud Walton Arena, Fayetteville, Arkansas",ARKANSAS,Arkansas,69.7,Away,FLORIDA,Florida,Arkansas,sec,13,False,True,True,Home,False,6,9,50,35,70,6,12,58,0,1,106,259,807,0.5179677819083024,450,910,0.4945054945054945,102,204,786,0.4541984732824427,0.7692307692307693
14,2019-01-12-18-arkansas,45.5,15,6.0,3,104.8,71.9,23,0.594,64,0.516,33,0.344,22,0.818,18,3,225,111.9,36.7,11,28,94,,8.3,7,0.391,25,0.4,10,54.8,34,0.631,20.5,19,39,0.59,23,0.8,12,"January 12, 2019",61.8,21,12.8,5,111.9,63.3,19,0.5379999999999999,66,0.515,34,0.424,28,0.607,17,5,225,104.8,28.1,9,24,88,,10.7,9,0.242,16,0.188,3,45.2,28,0.555,17.0,16,50,0.62,31,0.667,10,"Bud Walton Arena, Fayetteville, Arkansas",ARKANSAS,Arkansas,75.0,Away,LOUISIANA-STATE,LSU,Arkansas,sec,14,False,True,True,Home,False,3,31,66,28,62,10,23,64,0,1,112,268,857,0.5087514585764294,485,980,0.49489795918367346,108,216,844,0.44786729857819907,0.7142857142857143
15,2019-01-15-19-tennessee,50.0,16,2.6,1,130.9,59.3,16,0.552,67,0.478,32,0.32799999999999996,22,0.591,13,6,200,107.4,44.1,15,27,87,,11.1,9,0.38799999999999996,26,0.385,10,50.8,31,0.562,19.0,18,41,0.537,22,0.625,10,"January 15, 2019",63.3,19,7.3,3,107.4,55.9,19,0.623,57,0.526,30,0.684,39,0.897,35,1,200,130.9,40.7,11,17,106,3.0,11.1,9,0.316,18,0.611,11,49.2,30,0.7020000000000001,18.6,17,39,0.48700000000000004,19,0.938,15,"Thompson-Boling Arena, Knoxville, Tennessee",ARKANSAS,Arkansas,81.0,Home,TENNESSEE,Tennessee,Arkansas,sec,15,False,False,False,Away,False,10,22,67,31,61,11,19,57,0,1,115,299,923,0.5108342361863488,513,1042,0.4923224568138196,118,239,908,0.4581497797356828,0.6666666666666666
16,2019-01-19-13-mississippi,63.6,14,7.1,3,113.5,65.6,21,0.455,55,0.4,22,0.382,21,0.81,17,7,200,90.5,25.0,9,15,67,,8.1,6,0.418,23,0.261,6,44.1,30,0.516,20.9,17,32,0.5,16,0.588,10,"January 19, 2019",61.3,19,9.4,3,90.5,75.0,27,0.539,64,0.484,31,0.266,17,0.882,15,3,200,113.5,34.4,11,18,84,18.0,17.6,13,0.344,22,0.318,7,55.9,38,0.583,15.4,13,42,0.5710000000000001,24,0.8240000000000001,14,"The Pavilion at Ole Miss, Oxford, Mississippi",ARKANSAS,Arkansas,73.5,Home,MISSISSIPPI,Ole Miss,Arkansas,sec,16,False,False,False,Away,False,6,16,55,30,68,7,24,64,0,1,125,321,990,0.5136363636363637,544,1103,0.4932003626473255,129,258,965,0.4678756476683938,0.625
17,2019-01-23-21-arkansas,47.4,9,0.0,0,102.9,75.8,25,0.5710000000000001,42,0.452,19,0.405,17,0.706,12,7,200,85.7,16.0,4,21,60,,2.9,2,0.595,25,0.4,10,50.0,29,0.599,31.7,23,17,0.529,9,0.588,10,"January 23, 2019",69.2,18,0.0,0,85.7,84.0,21,0.525,59,0.441,26,0.271,16,0.625,10,7,200,102.9,24.2,8,20,72,,18.6,13,0.424,25,0.4,10,50.0,29,0.541,16.4,13,34,0.47100000000000003,16,0.611,11,"Bud Walton Arena, Fayetteville, Arkansas",MISSOURI,Missouri,70.3,Home,ARKANSAS,Arkansas,Arkansas,sec,17,True,False,True,Home,True,10,16,59,29,58,10,9,42,1,0,131,337,1045,0.5105263157894737,574,1171,0.4901793339026473,136,282,1029,0.47230320699708456,0.5882352941176471
18,2019-01-26-18-texas-tech,28.6,6,8.3,2,98.5,73.7,14,0.479,48,0.43799999999999994,21,0.542,26,0.6920000000000001,18,8,200,94.1,20.8,5,20,64,,14.7,10,0.396,19,0.21100000000000002,4,44.2,19,0.53,20.2,15,29,0.586,17,0.579,11,"January 26, 2019",63.6,14,13.8,4,94.1,79.2,19,0.628,43,0.512,22,0.442,19,0.684,13,4,200,98.5,26.3,5,21,67,14.0,7.4,5,0.442,19,0.526,10,55.8,24,0.644,26.0,18,24,0.5,12,0.8,16,"United Supermarkets Arena, Lubbock, Texas",ARKANSAS,Arkansas,67.7,Home,TEXAS-TECH,Texas Tech,Arkansas,sec,18,False,False,False,Away,False,4,17,48,19,43,10,12,43,0,1,141,353,1104,0.511322463768116,603,1229,0.4906427990235964,146,291,1071,0.47619047619047616,0.6111111111111112
19,2019-01-29-19-arkansas,63.2,12,10.0,4,95.9,88.6,31,0.34600000000000003,65,0.292,19,0.446,29,0.517,15,10,200,82.2,44.4,20,26,60,,2.7,2,0.369,24,0.292,7,63.8,51,0.381,17.1,16,41,0.293,12,0.5,10,"January 29, 2019",56.0,14,34.1,14,82.2,55.6,25,0.451,61,0.41,25,0.361,22,0.682,15,8,200,95.9,11.4,4,22,70,,8.2,6,0.344,21,0.23800000000000002,5,36.3,29,0.49,5.4,4,40,0.5,20,0.6,12,"Bud Walton Arena, Fayetteville, Arkansas",GEORGIA,Georgia,73.1,Home,ARKANSAS,Arkansas,Arkansas,sec,19,True,False,True,Home,True,5,20,61,29,80,7,12,65,1,0,145,370,1152,0.5099826388888888,622,1272,0.4889937106918239,156,303,1114,0.48204667863554757,0.5789473684210527
20,2019-02-02-18-louisiana-state,57.1,20,8.6,3,112.7,48.5,16,0.6920000000000001,60,0.583,35,0.183,11,0.636,7,8,200,113.9,14.3,4,29,90,,10.1,8,0.4,24,0.542,13,32.8,20,0.69,19.8,16,36,0.611,22,0.619,13,"February 2, 2019",42.3,11,8.3,3,113.9,85.7,24,0.483,59,0.441,26,0.644,38,0.8420000000000001,32,4,200,112.7,51.5,17,18,89,19.0,10.1,8,0.40700000000000003,24,0.20800000000000002,5,67.2,41,0.578,21.7,21,35,0.6,21,0.81,17,"Maravich Assembly Center, Baton Rouge, Louisiana",LOUISIANA-STATE,LSU,79.1,Away,ARKANSAS,Arkansas,Arkansas,sec,20,False,False,False,Away,True,13,22,60,20,61,5,21,59,1,0,150,390,1213,0.5070074196207749,651,1352,0.48150887573964496,163,315,1179,0.47455470737913485,0.6
21,2019-02-05-21-arkansas,54.5,12,12.5,4,109.5,76.9,20,0.541,49,0.449,22,0.429,21,0.619,13,13,200,104.8,33.3,10,23,66,,7.9,5,0.429,21,0.429,9,53.6,30,0.56,18.2,13,28,0.46399999999999997,13,0.409,9,"February 5, 2019",78.3,18,7.1,2,104.8,66.7,20,0.529,51,0.451,23,0.392,20,0.75,15,8,200,109.5,23.1,6,17,69,,6.3,4,0.373,19,0.42100000000000004,8,46.4,26,0.57,14.3,10,32,0.469,15,0.636,14,"Bud Walton Arena, Fayetteville, Arkansas",VANDERBILT,Vanderbilt,63.2,Home,ARKANSAS,Arkansas,Arkansas,sec,21,True,False,True,Home,True,8,15,51,26,56,9,13,49,1,0,163,412,1273,0.5157109190887667,671,1413,0.4748761500353857,168,336,1238,0.47495961227786754,0.6190476190476191
22,2019-02-09-15-south-carolina,50.0,11,12.1,4,104.1,79.2,19,0.439,57,0.386,22,0.35100000000000003,20,0.75,15,9,200,87.8,22.2,8,18,65,,17.6,13,0.386,22,0.273,6,45.0,27,0.489,17.5,14,35,0.457,16,0.609,14,"February 9, 2019",57.7,15,14.3,5,87.8,77.8,28,0.6459999999999999,48,0.542,26,0.5,24,0.625,15,11,200,104.1,20.8,5,19,77,,5.4,4,0.313,15,0.667,10,55.0,33,0.648,26.4,21,33,0.485,16,0.522,12,"The Colonial Life Arena, Columbia, South Carolina",ARKANSAS,Arkansas,74.0,Home,SOUTH-CAROLINA,South Carolina,Arkansas,sec,22,False,False,False,Away,False,6,16,57,27,60,10,16,48,0,1,171,427,1324,0.5162386706948641,697,1469,0.47447243022464264,177,349,1287,0.47746697746697747,0.6363636363636364
23,2019-02-12-21-missouri,57.1,16,8.6,3,114.5,51.5,17,0.508,60,0.467,28,0.38299999999999995,23,0.7390000000000001,17,10,200,113.0,30.0,9,17,78,,7.2,5,0.33299999999999996,20,0.25,5,41.3,26,0.55,14.6,12,40,0.575,23,0.583,14,"February 12, 2019",50.0,14,10.0,4,113.0,70.0,21,0.5329999999999999,61,0.45899999999999996,28,0.295,18,0.778,14,11,200,114.5,48.5,16,22,79,,5.8,4,0.426,26,0.34600000000000003,9,58.7,37,0.568,12.7,10,35,0.5429999999999999,19,0.522,12,"Mizzou Arena, Columbia, Missouri",ARKANSAS,Arkansas,68.7,Home,MISSOURI,Missouri,Arkansas,sec,23,False,False,False,Away,False,5,23,60,26,63,9,19,61,0,1,177,443,1381,0.5130340333091963,724,1529,0.47351209941138,187,365,1335,0.4835205992509363,0.6086956521739131
24,2019-02-16-20-arkansas,57.7,15,6.3,2,91.8,72.4,21,0.518,56,0.46399999999999997,26,0.48200000000000004,27,0.7040000000000001,19,7,200,105.5,34.5,10,21,77,,19.2,14,0.35700000000000004,20,0.3,6,53.4,31,0.5589999999999999,16.1,13,36,0.556,20,0.72,18,"February 16, 2019",72.7,16,13.9,5,105.5,65.5,19,0.49,52,0.423,22,0.40399999999999997,21,0.762,16,11,200,91.8,27.6,8,23,67,,9.6,7,0.385,20,0.35,7,46.6,27,0.541,24.6,20,32,0.469,15,0.56,14,"Bud Walton Arena, Fayetteville, Arkansas",ARKANSAS,Arkansas,72.9,Away,MISSISSIPPI-STATE,Mississippi State,Arkansas,sec,24,False,True,True,Home,False,7,15,52,27,58,6,20,56,0,1,182,466,1441,0.5128383067314365,750,1592,0.47110552763819097,196,384,1396,0.48567335243553006,0.5833333333333334
25,2019-02-20-20-auburn,47.4,9,14.3,3,106.8,71.4,20,0.36200000000000004,58,0.32799999999999996,19,0.414,24,0.583,14,12,200,75.7,25.6,10,13,56,,13.5,10,0.44799999999999995,26,0.154,4,44.8,30,0.40299999999999997,17.0,14,32,0.469,15,0.5379999999999999,14,"February 20, 2019",61.5,16,18.8,6,75.7,74.4,29,0.639,54,0.48100000000000004,26,0.37,20,0.5,10,8,200,106.8,28.6,8,24,79,,14.9,11,0.611,33,0.515,17,55.2,37,0.622,24.2,20,21,0.429,9,0.6920000000000001,18,"Auburn Arena, Auburn, Alabama",ARKANSAS,Arkansas,74.5,Home,AUBURN,Auburn,Arkansas,sec,25,False,False,False,Away,False,4,15,58,30,67,17,9,54,0,1,189,481,1493,0.5120562625586068,777,1650,0.4709090909090909,202,404,1452,0.4869146005509642,0.56
26,2019-02-23-20-arkansas,46.4,13,12.2,5,108.1,67.7,21,0.6459999999999999,48,0.583,28,0.708,34,0.735,25,14,200,117.6,39.1,9,20,87,,13.5,10,0.33299999999999996,16,0.375,6,55.6,30,0.6779999999999999,22.2,18,32,0.688,22,0.462,12,"February 23, 2019",43.3,13,18.8,6,117.6,60.9,14,0.516,63,0.47600000000000003,30,0.33299999999999996,21,0.7140000000000001,15,13,200,108.1,32.3,10,24,80,,6.8,5,0.349,22,0.22699999999999998,5,44.4,24,0.5479999999999999,14.2,12,41,0.61,25,0.519,14,"Bud Walton Arena, Fayetteville, Arkansas",ARKANSAS,Arkansas,74.1,Away,TEXAS-AM,Texas A&M,Arkansas,sec,26,False,True,True,Home,False,5,25,63,24,54,6,22,48,0,1,193,496,1551,0.5064474532559639,807,1717,0.47000582411182296,219,413,1506,0.49236387782204516,0.5384615384615384
