,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NEW-MEXICO-STATE_homegame,NEW-MEXICO-STATE_homegame2,NEW-MEXICO-STATE_home,NEW-MEXICO-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-19-21-new-mexico-state,28.6,6,11.8,4,137.3,61.8,21,0.48,49,0.429,21,0.327,16,0.625,10,8,200,85.1,12.9,4,13,57,,1.5,1,0.449,22,0.22699999999999998,5,38.5,25,0.504,17.6,12,27,0.593,16,0.273,3,"December 19, 2018",60.0,21,3.7,1,85.1,87.1,27,0.599,71,0.493,35,0.113,8,0.875,7,2,200,137.3,38.2,13,16,92,,9.0,6,0.521,37,0.405,15,61.5,40,0.615,9.7,8,34,0.588,20,0.818,9,"Pan American Center, Las Cruces, New Mexico",CAL-STATE-NORTHRIDGE,Cal State Northridge,67.2,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,10,True,False,True,Home,True,15,20,71,40,65,5,16,49,1,0,84,193,615,0.5186991869918699,373,666,0.56006006006006,85,149,550,0.5027272727272727,0.8
11,2018-12-22-19-drake,25.0,5,8.0,2,97.1,81.8,18,0.377,61,0.32799999999999996,20,0.45899999999999996,28,0.607,17,3,200,92.6,48.8,20,18,63,,14.7,10,0.541,33,0.182,6,60.3,38,0.424,17.0,15,28,0.5,14,0.75,9,"December 22, 2018",52.2,12,17.9,5,92.6,51.2,21,0.52,49,0.469,23,0.34700000000000003,17,0.882,15,2,200,97.1,18.2,4,21,66,,8.8,6,0.49,24,0.20800000000000002,5,39.7,25,0.578,19.9,14,25,0.72,18,0.818,9,"Orleans Arena, Paradise, Nevada",NEW-MEXICO-STATE,New Mexico State,68.2,Home,DRAKE,Drake,New Mexico State,wac,11,False,False,False,Away,False,6,14,61,38,63,5,18,49,0,1,99,213,686,0.5269679300291545,413,731,0.5649794801641587,90,165,599,0.5008347245409015,0.8181818181818182
12,2018-12-23-22-new-mexico-state,58.3,14,6.5,2,115.4,60.0,18,0.5920000000000001,49,0.49,24,0.327,16,0.875,14,5,200,110.8,28.0,7,16,72,,7.7,5,0.469,23,0.435,10,45.5,25,0.636,20.0,14,26,0.5379999999999999,14,0.583,7,"December 23, 2018",55.2,16,3.8,1,110.8,72.0,18,0.5579999999999999,60,0.483,29,0.2,12,0.667,8,3,200,115.4,40.0,12,16,75,,9.2,6,0.483,29,0.31,9,54.5,30,0.5710000000000001,15.5,12,31,0.645,20,0.769,10,"Orleans Arena, Paradise, Nevada",WASHINGTON-STATE,Washington State,64.7,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,12,True,False,True,Home,True,9,20,60,30,55,10,14,49,1,0,105,227,747,0.5147255689424364,451,794,0.5680100755667506,95,183,648,0.5023148148148148,0.75
13,2018-12-30-16-colorado-state,51.4,18,3.1,1,104.6,82.8,24,0.61,68,0.515,35,0.08800000000000001,6,0.833,5,3,200,135.4,35.5,11,21,88,,12.3,8,0.5,34,0.382,13,58.3,35,0.621,9.0,7,34,0.647,22,0.7859999999999999,11,"December 30, 2018",33.3,7,0.0,0,135.4,64.5,20,0.5329999999999999,45,0.467,21,0.6,27,0.741,20,8,200,104.6,17.2,5,11,68,,6.2,4,0.289,13,0.462,6,41.7,25,0.588,15.0,10,32,0.469,15,0.385,5,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,64.8,Away,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,13,False,False,False,Away,True,13,22,68,35,60,6,15,45,1,0,114,247,807,0.5179677819083024,481,849,0.5665488810365136,105,197,697,0.5086083213773315,0.7692307692307693
14,2019-01-03-22-california-baptist,47.8,11,4.3,1,112.3,76.9,20,0.358,74,0.311,23,0.419,31,0.742,23,4,200,104.1,47.8,22,25,76,,8.2,6,0.35100000000000003,26,0.26899999999999996,7,58.3,42,0.428,8.4,8,48,0.33299999999999996,16,0.733,11,"January 3, 2019",27.3,6,6.3,3,104.1,52.2,24,0.556,45,0.489,22,0.8,36,0.889,32,5,200,112.3,23.1,6,28,82,,5.5,4,0.489,22,0.273,6,41.7,30,0.66,20.8,16,23,0.696,16,0.643,9,"CBU Events Center, Riverside, California",NEW-MEXICO-STATE,New Mexico State,73.4,Home,CALIFORNIA-BAPTIST,California Baptist,New Mexico State,wac,14,False,False,False,Away,False,7,16,74,42,72,6,16,45,0,1,127,269,875,0.5251428571428571,516,909,0.5676567656765676,111,212,742,0.5101078167115903,0.7857142857142857
15,2019-01-10-21-new-mexico-state,28.6,8,7.7,3,108.5,75.0,27,0.542,59,0.475,28,0.254,15,0.733,11,7,200,105.6,30.3,10,24,75,,8.5,6,0.424,25,0.32,8,53.6,37,0.5670000000000001,16.5,13,34,0.588,20,0.562,9,"January 10, 2019",46.7,14,8.8,3,105.6,69.7,23,0.575,60,0.5,30,0.317,19,0.42100000000000004,8,4,200,108.5,25.0,9,18,77,,4.2,3,0.35,21,0.429,9,46.4,32,0.5579999999999999,16.0,13,39,0.5379999999999999,21,0.75,12,"Pan American Center, Las Cruces, New Mexico",GRAND-CANYON,Grand Canyon,71.1,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,15,True,False,True,Home,True,9,21,60,32,69,8,20,59,1,0,134,285,949,0.512118018967334,558,981,0.5688073394495413,117,228,787,0.5127064803049556,0.7333333333333333
16,2019-01-12-18-new-mexico-state,30.4,7,4.8,1,117.7,69.0,20,0.39,68,0.33799999999999997,23,0.162,11,0.818,9,6,200,100.0,38.6,17,23,62,,1.6,1,0.353,24,0.292,7,50.7,37,0.423,8.8,7,44,0.364,16,0.647,11,"January 12, 2019",66.7,14,9.1,4,100.0,61.4,27,0.532,47,0.447,21,0.66,31,0.742,23,4,200,117.7,31.0,9,15,73,,3.2,2,0.5529999999999999,26,0.308,8,49.3,36,0.591,12.9,9,21,0.619,13,0.765,13,"Pan American Center, Las Cruces, New Mexico",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,62.5,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,16,True,False,True,Home,True,8,13,47,36,73,7,16,68,1,0,143,306,1009,0.5158572844400396,590,1050,0.5619047619047619,125,248,846,0.514775413711584,0.75
17,2019-01-17-22-seattle,38.7,12,4.5,2,85.7,74.3,26,0.612,58,0.534,31,0.44799999999999995,26,0.615,16,4,200,124.3,38.7,12,18,87,,8.6,6,0.36200000000000004,21,0.429,9,57.6,38,0.618,14.7,12,37,0.595,22,0.778,14,"January 17, 2019",40.0,10,5.4,2,124.3,61.3,19,0.434,61,0.41,25,0.23,14,0.5,7,7,200,85.7,25.7,9,22,60,,8.6,6,0.27899999999999997,17,0.17600000000000002,3,42.4,28,0.44299999999999995,13.0,10,44,0.5,22,0.632,12,"Connolly Center, Seattle, Washington",SEATTLE,Seattle,69.5,Away,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,17,False,False,False,Away,True,9,22,58,38,66,3,22,61,1,0,151,319,1056,0.5165719696969697,626,1123,0.5574354407836153,132,264,914,0.5054704595185996,0.7647058823529411
18,2019-01-19-21-utah-valley,47.8,11,7.4,2,114.7,90.5,19,0.551,49,0.469,23,0.7140000000000001,35,0.8290000000000001,29,4,200,122.1,32.1,9,20,83,,10.3,7,0.429,21,0.381,8,57.1,28,0.632,14.6,11,28,0.536,15,0.789,15,"January 19, 2019",42.3,11,3.6,1,122.1,67.9,19,0.698,43,0.605,26,0.581,25,0.72,18,7,200,114.7,9.5,2,27,78,,4.4,3,0.37200000000000005,16,0.5,8,42.9,21,0.711,21.7,15,27,0.667,18,0.65,13,"UCCU Center, Orem, Utah",UTAH-VALLEY,Utah Valley,67.8,Away,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,18,False,False,False,Away,True,8,15,49,28,49,8,18,43,1,0,160,341,1114,0.5215439856373429,664,1189,0.5584524810765349,135,286,975,0.5010256410256411,0.7777777777777778
19,2019-01-26-20-texas-pan-american,77.3,17,5.1,2,88.4,92.6,25,0.48,51,0.431,22,0.47100000000000003,24,0.583,14,4,200,91.3,37.9,11,19,63,,13.0,9,0.431,22,0.22699999999999998,5,64.3,36,0.505,20.6,16,29,0.586,17,0.8,16,"January 26, 2019",59.1,13,3.4,1,91.3,62.1,18,0.48,51,0.431,22,0.275,14,0.857,12,12,200,88.4,7.4,2,21,61,,8.7,6,0.235,12,0.41700000000000004,5,35.7,20,0.529,19.7,14,39,0.436,17,0.455,10,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,68.5,Away,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,19,False,False,False,Away,True,5,17,51,36,56,5,17,51,1,0,168,356,1163,0.5227858985382631,692,1238,0.5589660743134087,143,304,1018,0.5093320235756386,0.7894736842105263
20,2019-01-31-21-new-mexico-state,42.9,6,3.8,1,120.7,42.9,12,0.4,45,0.311,14,0.5329999999999999,24,0.75,18,14,200,93.1,15.6,5,19,54,,1.7,1,0.467,21,0.381,8,28.3,17,0.479,9.7,6,24,0.25,6,0.364,8,"January 31, 2019",56.0,14,16.7,4,93.1,84.4,27,0.557,53,0.47200000000000003,25,0.28300000000000003,15,0.733,11,4,200,120.7,57.1,16,23,70,,3.4,2,0.509,27,0.33299999999999996,9,71.7,43,0.5820000000000001,20.1,15,26,0.615,16,0.81,17,"Pan American Center, Las Cruces, New Mexico",MISSOURI-KANSAS-CITY,UMKC,58.3,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,20,True,False,True,Home,True,9,16,53,43,60,8,6,45,1,0,173,373,1214,0.521004942339374,728,1294,0.5625965996908809,148,321,1069,0.5079513564078578,0.8
21,2019-02-02-18-new-mexico-state,43.8,7,7.4,2,122.1,60.0,18,0.345,55,0.29100000000000004,16,0.055,3,0.33299999999999996,1,20,200,57.4,21.2,7,19,39,,2.9,2,0.327,18,0.33299999999999996,6,39.7,25,0.34600000000000003,26.2,20,37,0.27,10,0.13,3,"February 2, 2019",56.7,17,10.8,4,57.4,78.8,26,0.586,64,0.469,30,0.188,12,0.667,8,4,200,122.1,40.0,12,9,83,,7.4,5,0.578,37,0.405,15,60.3,38,0.595,10.4,8,27,0.556,15,0.818,18,"Pan American Center, Las Cruces, New Mexico",CHICAGO-STATE,Chicago State,67.6,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,21,True,False,True,Home,True,15,15,64,38,63,6,10,55,1,0,182,389,1267,0.5224940805051302,771,1354,0.569423929098966,156,327,1114,0.5035906642728905,0.8095238095238095
22,2019-02-07-22-cal-state-bakersfield,45.5,10,4.5,2,95.9,64.5,20,0.45399999999999996,54,0.40700000000000003,22,0.611,33,0.667,22,4,225,97.3,43.2,16,18,71,,16.4,12,0.426,23,0.217,5,52.9,36,0.51,19.9,17,31,0.5479999999999999,17,0.826,19,"February 7, 2019",15.4,4,0.0,0,97.3,56.8,21,0.475,60,0.433,26,0.267,16,0.813,13,8,225,95.9,35.5,11,25,70,,11.0,8,0.267,16,0.313,5,47.1,32,0.518,21.2,18,44,0.47700000000000004,21,0.652,15,"Icardo Center, Bakersfield, California",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,64.6,Away,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,22,False,False,False,Away,True,5,17,54,36,68,5,21,60,1,0,197,404,1331,0.5255447032306536,809,1417,0.570924488355681,162,337,1169,0.49615055603079555,0.8181818181818182
23,2019-02-09-21-grand-canyon,61.5,16,3.8,1,103.2,84.0,21,0.526,58,0.44799999999999995,26,0.172,10,0.6,6,4,200,108.1,42.4,14,16,67,,6.5,4,0.44799999999999995,26,0.34600000000000003,9,60.3,35,0.534,16.1,12,32,0.531,17,0.833,20,"February 9, 2019",59.1,13,3.1,1,108.1,57.6,19,0.531,49,0.449,22,0.327,16,0.75,12,9,200,103.2,16.0,4,16,64,,9.7,6,0.469,23,0.348,8,39.7,23,0.565,16.4,11,26,0.5379999999999999,14,0.609,14,"Grand Canyon University Arena, Phoenix, Arizona",GRAND-CANYON,Grand Canyon,62.2,Away,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,23,False,False,False,Away,True,9,17,58,35,58,8,14,49,1,0,202,421,1385,0.5227436823104693,845,1485,0.569023569023569,167,358,1229,0.4951179820992677,0.8260869565217391
24,2019-02-14-21-new-mexico-state,48.1,13,8.8,3,113.5,81.3,26,0.551,59,0.45799999999999996,27,0.254,15,0.8,12,8,200,104.1,14.7,5,22,77,,6.8,5,0.49200000000000005,29,0.379,11,47.0,31,0.5820000000000001,14.4,11,30,0.5329999999999999,16,0.667,16,"February 14, 2019",55.2,16,6.7,2,104.1,85.3,29,0.556,62,0.46799999999999997,29,0.355,22,0.682,15,4,200,113.5,18.8,6,16,84,,5.4,4,0.452,28,0.39299999999999996,11,53.0,35,0.58,11.2,9,34,0.529,18,0.84,21,"Pan American Center, Las Cruces, New Mexico",UTAH-VALLEY,Utah Valley,73.8,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,24,True,False,True,Home,True,11,18,62,35,66,11,16,59,1,0,211,438,1443,0.5228690228690228,880,1543,0.5703175631885936,175,372,1278,0.4964788732394366,0.8333333333333334
25,2019-02-16-21-new-mexico-state,33.3,6,4.2,1,90.8,62.5,20,0.40399999999999997,52,0.34600000000000003,18,0.308,16,0.688,11,12,200,81.5,25.0,7,28,53,,4.6,3,0.385,20,0.3,6,45.0,27,0.445,19.2,14,32,0.375,12,0.52,13,"February 16, 2019",52.9,9,18.8,6,81.5,75.0,21,0.42700000000000005,48,0.354,17,0.563,27,0.667,18,4,200,90.8,37.5,12,18,59,,7.7,5,0.5,24,0.292,7,55.0,33,0.485,18.9,14,24,0.41700000000000004,10,0.846,22,"Pan American Center, Las Cruces, New Mexico",SEATTLE,Seattle,64.7,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,25,True,False,True,Home,True,7,10,48,33,60,6,12,52,1,0,222,456,1505,0.5242524916943522,915,1609,0.5686761963952766,186,388,1337,0.4988780852655198,0.84
26,2019-02-19-21-new-mexico-state,56.3,9,0.0,0,115.9,71.1,27,0.358,53,0.302,16,0.20800000000000002,11,0.364,4,0,200,60.9,7.5,3,12,42,,5.8,4,0.528,28,0.214,6,38.5,30,0.361,18.4,13,25,0.4,10,0.0,0,"February 19, 2019",68.8,22,16.0,4,60.9,92.5,37,0.537,67,0.478,32,0.19399999999999998,13,0.615,8,4,200,115.9,28.9,11,14,80,,13.0,9,0.537,36,0.222,8,61.5,48,0.547,8.8,7,31,0.774,24,0.852,23,"Pan American Center, Las Cruces, New Mexico","Texas A&amp;M-International
			","Texas A&amp;M-International
			",68.7,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,26,True,False,True,Home,True,8,24,67,48,78,6,10,53,1,0,229,466,1553,0.521249195106246,948,1669,0.5680047932893948,192,400,1389,0.4953203743700504,0.8461538461538461
