,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BRYANT_homegame,BRYANT_homegame2,BRYANT_home,BRYANT_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-29-20-iowa,40.0,10,0.0,0,116.1,67.9,19,0.517,58,0.431,25,0.207,12,0.583,7,8,200,108.1,33.3,11,23,67,,4.8,3,0.44799999999999995,26,0.385,10,49.2,30,0.526,13.6,10,32,0.469,15,0.273,3,"December 29, 2018",76.2,16,21.9,7,108.1,66.7,22,0.5539999999999999,46,0.457,21,0.674,31,0.677,21,2,200,116.1,32.1,9,13,72,24.0,9.7,6,0.5429999999999999,25,0.36,9,50.8,31,0.593,13.1,9,21,0.5710000000000001,12,0.846,11,"Carver-Hawkeye Arena, Iowa City, Iowa",BRYANT,Bryant,61.7,Home,IOWA,Iowa,Bryant,northeast,10,False,False,False,Away,False,10,15,58,30,61,9,12,46,0,1,81,145,594,0.44865319865319864,295,651,0.45314900153609833,100,195,577,0.5979202772963604,0.3
11,2019-01-03-19-bryant,39.1,9,15.2,5,118.8,81.0,17,0.491,54,0.426,23,0.29600000000000004,16,0.813,13,6,200,103.1,34.6,9,24,66,,4.7,3,0.389,21,0.33299999999999996,7,55.3,26,0.536,15.3,11,33,0.485,16,0.5710000000000001,8,"January 3, 2019",33.3,7,6.1,2,103.1,65.4,17,0.524,42,0.5,21,0.857,36,0.889,32,8,200,118.8,19.0,4,18,76,,0.0,0,0.214,9,0.222,2,44.7,21,0.643,14.7,10,33,0.5760000000000001,19,0.33299999999999996,4,"Chace Athletic Center , Smithfield, Rhode Island",ST-FRANCIS-NY,St. Francis (NY),64.4,Home,BRYANT,Bryant,Bryant,northeast,11,True,False,True,Home,True,2,19,42,21,47,7,16,54,1,0,91,160,652,0.45475460122699385,325,712,0.45646067415730335,109,207,623,0.5947030497592295,0.2727272727272727
12,2019-01-05-16-bryant,58.3,14,19.5,8,89.7,76.7,23,0.537,54,0.444,24,0.537,29,0.7240000000000001,21,7,200,101.3,30.8,8,21,79,,9.0,7,0.426,23,0.435,10,55.4,31,0.583,21.2,18,31,0.452,14,0.5,7,"January 5, 2019",39.1,9,16.1,5,101.3,69.2,18,0.457,58,0.397,23,0.397,23,0.7390000000000001,17,9,200,89.7,23.3,7,23,70,,12.8,10,0.293,17,0.41200000000000003,7,44.6,25,0.508,19.0,16,41,0.39,16,0.308,4,"Chace Athletic Center , Smithfield, Rhode Island",BRYANT,Bryant,77.9,Away,LONG-ISLAND-UNIVERSITY,LIU,Bryant,northeast,12,False,True,True,Home,False,7,16,58,25,56,10,14,54,0,1,93,179,694,0.4589337175792507,346,759,0.45586297760210803,116,223,677,0.5864106351550961,0.3333333333333333
13,2019-01-10-19-mount-st-marys,43.5,10,4.0,1,86.8,84.6,22,0.531,49,0.469,23,0.551,27,0.519,14,9,200,97.1,20.0,6,20,66,,8.8,6,0.36700000000000005,18,0.33299999999999996,6,50.0,28,0.534,15.3,11,31,0.5479999999999999,17,0.35700000000000004,5,"January 10, 2019",40.0,8,16.1,5,97.1,80.0,24,0.45899999999999996,49,0.408,20,0.408,20,0.7,14,13,200,86.8,15.4,4,24,59,,4.4,3,0.49,24,0.20800000000000002,5,50.0,28,0.504,19.5,14,25,0.6,15,0.188,3,"Knott Arena, Emmitsburg, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,67.7,Away,BRYANT,Bryant,Bryant,northeast,13,False,False,False,Away,True,6,17,49,28,56,5,15,49,1,0,100,195,752,0.4587765957446808,371,815,0.45521472392638035,126,237,731,0.5827633378932968,0.3076923076923077
14,2019-01-12-14-sacred-heart,32.0,8,2.5,1,128.9,78.6,22,0.43200000000000005,59,0.424,25,0.508,30,0.633,19,10,200,92.1,16.2,6,25,70,,6.6,5,0.22,13,0.077,1,43.1,28,0.478,10.0,8,46,0.522,24,0.33299999999999996,5,"January 12, 2019",63.3,19,8.7,4,92.1,83.8,31,0.579,57,0.526,30,0.684,39,0.821,32,10,200,128.9,21.4,6,20,98,,6.6,5,0.298,17,0.353,6,56.9,37,0.649,9.7,8,40,0.6,24,0.41200000000000003,7,"William H. Pitt Center, Fairfield, Connecticut",BRYANT,Bryant,76.4,Home,SACRED-HEART,Sacred Heart,Bryant,northeast,14,False,False,False,Away,False,1,24,59,28,65,6,24,57,0,1,106,212,801,0.4631710362047441,399,871,0.4580941446613088,131,252,780,0.575,0.35714285714285715
15,2019-01-19-16-bryant,57.7,15,3.6,1,95.6,63.6,21,0.6559999999999999,45,0.578,26,0.6,27,0.741,20,9,200,116.2,22.2,4,16,79,,19.1,13,0.33299999999999996,15,0.467,7,49.0,25,0.6829999999999999,20.9,15,30,0.633,19,0.5,9,"January 19, 2019",56.5,13,13.3,4,116.2,77.8,14,0.529,52,0.442,23,0.308,16,0.625,10,11,200,95.6,36.4,12,24,65,,8.8,6,0.462,24,0.375,9,51.0,26,0.545,25.3,20,28,0.5,14,0.312,5,"Chace Athletic Center , Smithfield, Rhode Island",BRYANT,Bryant,68.2,Away,ROBERT-MORRIS,Robert Morris,Bryant,northeast,15,False,True,True,Home,False,9,14,52,26,51,7,19,45,0,1,107,236,860,0.461046511627907,427,936,0.4561965811965812,137,276,837,0.5752688172043011,0.3333333333333333
16,2019-01-21-17-bryant,48.0,12,8.0,2,113.4,80.0,20,0.5,57,0.439,25,0.263,15,0.667,10,10,200,100.0,27.3,9,21,67,,10.4,7,0.42100000000000004,24,0.292,7,50.0,29,0.522,18.0,14,33,0.545,18,0.41200000000000003,7,"January 21, 2019",56.0,14,3.0,1,100.0,72.7,24,0.638,47,0.532,25,0.426,20,0.8,16,11,200,113.4,20.0,5,16,76,,6.0,4,0.46799999999999997,22,0.455,10,50.0,29,0.6729999999999999,20.1,14,25,0.6,15,0.353,6,"Chace Athletic Center , Smithfield, Rhode Island",SAINT-FRANCIS-PA,Saint Francis (PA),67.3,Home,BRYANT,Bryant,Bryant,northeast,16,True,False,True,Home,True,10,15,47,29,58,7,18,57,1,0,116,250,912,0.4649122807017544,453,987,0.45896656534954405,144,295,882,0.5793650793650794,0.3125
17,2019-01-24-19-bryant,32.0,8,17.9,5,100.0,83.3,25,0.444,62,0.40299999999999997,25,0.09699999999999999,6,0.833,5,12,200,95.2,30.6,11,14,60,,1.6,1,0.306,19,0.263,5,54.5,36,0.46299999999999997,13.4,10,43,0.465,20,0.4,8,"January 24, 2019",45.5,10,9.3,4,95.2,69.4,25,0.5,53,0.415,22,0.245,13,0.769,10,11,200,100.0,16.7,5,12,63,,7.9,5,0.47200000000000003,25,0.36,9,45.5,30,0.532,12.0,8,28,0.46399999999999997,13,0.389,7,"Chace Athletic Center , Smithfield, Rhode Island",CENTRAL-CONNECTICUT-STATE,Central Connecticut,63.0,Home,BRYANT,Bryant,Bryant,northeast,17,True,False,True,Home,True,9,13,53,30,66,5,20,62,1,0,126,265,959,0.47340980187695514,482,1045,0.46124401913875596,151,313,939,0.5745473908413206,0.35294117647058826
18,2019-01-26-16-bryant,64.0,16,13.3,4,95.5,71.9,23,0.509,54,0.46299999999999997,25,0.537,29,0.7929999999999999,23,11,200,118.2,27.6,8,18,78,,9.1,6,0.259,14,0.35700000000000004,5,50.8,31,0.575,10.7,8,40,0.5,20,0.45,9,"January 26, 2019",57.9,11,5.0,2,118.2,72.4,21,0.415,53,0.358,19,0.434,23,0.826,19,12,200,95.5,28.1,9,25,63,,3.0,2,0.434,23,0.261,6,49.2,30,0.493,13.7,10,30,0.433,13,0.368,7,"Chace Athletic Center , Smithfield, Rhode Island",BRYANT,Bryant,66.4,Away,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Bryant,northeast,18,False,True,True,Home,False,6,13,53,30,61,5,20,54,0,1,135,278,1012,0.47480237154150196,512,1111,0.4608460846084608,156,333,1001,0.5664335664335665,0.3888888888888889
19,2019-01-31-19-wagner,37.5,9,13.3,4,88.9,72.4,21,0.541,49,0.49,24,0.531,26,0.6920000000000001,18,12,200,98.6,12.0,3,12,71,,8.3,6,0.245,12,0.41700000000000004,5,44.4,24,0.579,17.7,13,37,0.514,19,0.4,8,"January 31, 2019",50.0,12,10.8,4,98.6,88.0,22,0.46,62,0.387,24,0.145,9,0.778,7,11,200,88.9,27.6,8,23,64,,12.5,9,0.516,32,0.281,9,55.6,30,0.483,17.5,14,30,0.5,15,0.45,9,"Spiro Sports Center, Staten Island, New York",WAGNER,Wagner,71.8,Away,BRYANT,Bryant,Bryant,northeast,19,False,False,False,Away,True,5,19,49,24,54,9,15,62,1,0,141,291,1065,0.47183098591549294,542,1172,0.46245733788395904,161,353,1055,0.5635071090047393,0.3684210526315789
20,2019-02-02-15-central-connecticut-state,28.6,6,2.6,1,91.4,62.2,23,0.379,66,0.318,21,0.19699999999999998,13,0.6920000000000001,9,13,200,84.3,26.8,11,20,59,,8.6,6,0.47,31,0.258,8,43.6,34,0.409,13.3,11,35,0.371,13,0.381,8,"February 2, 2019",60.0,12,5.7,2,84.3,73.2,30,0.42,56,0.35700000000000004,20,0.375,21,0.81,17,13,200,91.4,37.8,14,15,64,,1.4,1,0.321,18,0.389,7,56.4,44,0.485,19.7,16,38,0.342,13,0.435,10,"Detrick Gymnasium, New Britain, Connecticut",BRYANT,Bryant,70.1,Home,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Bryant,northeast,20,False,False,False,Away,False,8,13,66,34,78,7,13,56,0,1,146,310,1114,0.4748653500897666,566,1226,0.46166394779771613,170,368,1117,0.5577439570277529,0.4
21,2019-02-07-19-robert-morris,27.8,5,5.1,2,107.5,51.5,17,0.446,46,0.391,18,0.5429999999999999,25,0.72,18,14,200,88.1,19.2,5,23,59,,7.5,5,0.28300000000000003,13,0.385,5,37.3,22,0.51,19.7,14,33,0.39399999999999996,13,0.364,8,"February 7, 2019",74.1,20,6.1,2,88.1,80.8,21,0.5,58,0.466,27,0.379,22,0.636,14,11,200,107.5,48.5,16,21,72,,7.5,5,0.32799999999999996,19,0.21100000000000002,4,62.7,37,0.526,17.1,14,39,0.59,23,0.542,13,"North Athletic Complex, Pittsburgh, Pennsylvania",BRYANT,Bryant,66.7,Home,ROBERT-MORRIS,Robert Morris,Bryant,northeast,21,False,False,False,Away,False,5,13,46,22,59,4,23,58,0,1,154,323,1180,0.4694915254237288,600,1304,0.4601226993865031,177,381,1173,0.551150895140665,0.38095238095238093
22,2019-02-09-19-saint-francis-pa,42.3,11,9.1,3,121.7,65.5,19,0.517,58,0.44799999999999995,26,0.31,18,0.833,15,15,200,108.7,33.3,10,21,75,,2.9,2,0.397,23,0.348,8,49.2,29,0.563,15.4,12,35,0.514,18,0.348,8,"February 9, 2019",69.2,18,20.0,7,108.7,66.7,20,0.574,54,0.48100000000000004,26,0.537,29,0.759,22,11,200,121.7,34.5,10,18,84,,7.2,5,0.389,21,0.47600000000000003,10,50.8,30,0.62,14.1,11,33,0.485,16,0.522,12,"DeGol Arena, Loretto, Pennsylvania",BRYANT,Bryant,68.7,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Bryant,northeast,22,False,False,False,Away,False,8,18,58,29,59,10,16,54,0,1,159,336,1226,0.4685970636215334,622,1363,0.45634629493763756,181,404,1231,0.5487408610885459,0.36363636363636365
23,2019-02-14-19-bryant,53.1,17,10.3,3,144.4,72.2,13,0.643,63,0.508,32,0.429,27,0.889,24,14,200,145.8,32.1,9,23,105,,8.3,6,0.508,32,0.531,17,47.8,22,0.6920000000000001,7.4,6,31,0.484,15,0.462,12,"February 14, 2019",52.8,19,16.1,5,145.8,67.9,19,0.8170000000000001,52,0.6920000000000001,36,0.596,31,0.613,19,16,200,144.4,27.8,5,20,104,,5.6,4,0.442,23,0.565,13,52.2,24,0.779,12.1,9,29,0.7929999999999999,23,0.33299999999999996,8,"Chace Athletic Center , Smithfield, Rhode Island",BRYANT,Bryant,71.8,Away,SACRED-HEART,Sacred Heart,Bryant,northeast,23,False,True,True,Home,False,13,23,52,24,46,17,15,63,0,1,167,354,1284,0.47079439252336447,651,1422,0.4578059071729958,191,420,1285,0.5498054474708172,0.34782608695652173
24,2019-02-16-16-fairleigh-dickinson,42.9,12,5.9,2,131.1,63.0,17,0.569,58,0.483,28,0.397,23,0.7829999999999999,18,17,200,113.5,46.2,12,21,84,,5.4,4,0.397,23,0.435,10,54.7,29,0.609,20.9,18,35,0.514,18,0.32,8,"February 16, 2019",36.4,12,5.7,2,113.5,53.8,14,0.693,57,0.579,33,0.491,28,0.643,18,13,200,131.1,37.0,10,23,97,,13.5,10,0.40399999999999997,23,0.565,13,45.3,24,0.69,15.8,13,34,0.588,20,0.5,13,"Rothman Center, Teaneck, New Jersey",BRYANT,Bryant,74.1,Home,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Bryant,northeast,24,False,False,False,Away,False,10,18,58,29,53,13,20,57,0,1,180,377,1336,0.4842814371257485,675,1468,0.4598092643051771,208,435,1348,0.5541543026706232,0.3333333333333333
25,2019-02-21-19-bryant,40.7,11,20.7,6,101.5,76.2,16,0.47600000000000003,63,0.429,27,0.079,5,1.0,5,13,200,98.5,31.0,9,19,65,,12.1,8,0.27,17,0.353,6,50.0,25,0.49700000000000005,15.5,12,46,0.457,21,0.5,13,"February 21, 2019",50.0,12,4.3,2,98.5,69.0,20,0.5710000000000001,49,0.49,24,0.306,15,0.733,11,17,200,101.5,23.8,5,6,67,,7.6,5,0.408,20,0.4,8,50.0,25,0.597,17.8,12,29,0.552,16,0.34600000000000003,9,"Chace Athletic Center , Smithfield, Rhode Island",WAGNER,Wagner,65.8,Home,BRYANT,Bryant,Bryant,northeast,25,True,False,True,Home,True,8,16,49,25,50,6,21,63,1,0,190,395,1394,0.4878048780487805,704,1521,0.462853385930309,221,455,1405,0.5597864768683274,0.32
26,2019-02-23-16-bryant,50.0,11,6.5,2,114.1,65.6,21,0.446,56,0.39299999999999996,22,0.161,9,0.889,8,21,200,81.7,16.1,5,19,58,,5.6,4,0.375,21,0.28600000000000003,6,41.3,26,0.48100000000000004,18.9,14,35,0.457,16,0.276,8,"February 23, 2019",53.6,15,5.7,2,81.7,83.9,26,0.5660000000000001,61,0.45899999999999996,28,0.311,19,0.632,12,17,200,114.1,34.4,11,16,81,,14.1,10,0.49200000000000005,30,0.433,13,58.7,37,0.578,15.8,13,31,0.484,15,0.37,10,"Chace Athletic Center , Smithfield, Rhode Island",MOUNT-ST-MARYS,Mount St. Mary's,70.7,Home,BRYANT,Bryant,Bryant,northeast,26,True,False,True,Home,True,13,15,61,37,63,6,16,56,1,0,198,411,1443,0.49064449064449067,729,1571,0.464035646085296,227,476,1468,0.5561989100817438,0.34615384615384615
