,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ARKANSAS-STATE_homegame,ARKANSAS-STATE_homegame2,ARKANSAS-STATE_home,ARKANSAS-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-18-20-arkansas-state,47.4,9,18.5,5,98.6,76.7,23,0.43799999999999994,48,0.396,19,0.542,26,0.8079999999999999,21,7,200,87.5,13.3,4,28,63,,6.9,5,0.41700000000000004,20,0.2,4,45.0,27,0.522,22.2,17,28,0.536,15,0.364,4,"December 18, 2018",81.3,13,17.9,5,87.5,86.7,26,0.436,47,0.34,16,0.745,35,0.857,30,6,200,98.6,23.3,7,24,71,,8.3,6,0.426,20,0.45,9,55.0,33,0.5579999999999999,19.4,15,27,0.259,7,0.455,5,"Convocation Center, Jonesboro, Arkansas",MISSOURI-STATE,Missouri State,72.5,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,10,True,False,True,Home,True,9,7,47,33,60,4,15,48,1,0,75,182,636,0.4630503144654088,352,697,0.5050215208034433,65,197,601,0.49001663893510816,0.4
11,2018-12-22-14-syracuse,66.7,12,3.6,1,128.1,56.5,13,0.423,52,0.34600000000000003,18,0.28800000000000003,15,0.5329999999999999,8,7,200,81.3,31.6,12,24,52,,6.3,4,0.462,24,0.33299999999999996,8,41.0,25,0.44,21.4,16,28,0.35700000000000004,10,0.41700000000000004,5,"December 22, 2018",50.0,12,28.6,8,81.3,68.4,26,0.539,51,0.47100000000000003,24,0.647,33,0.818,27,4,200,128.1,43.5,10,14,82,,12.5,8,0.451,23,0.304,7,59.0,36,0.615,10.9,8,28,0.607,17,0.667,8,"Carrier Dome, Syracuse, New York",ARKANSAS-STATE,Arkansas State,63.9,Home,SYRACUSE,Syracuse,Arkansas State,sun-belt,11,False,False,False,Away,False,8,10,52,25,61,7,17,51,0,1,84,189,683,0.4612005856515373,385,757,0.5085865257595773,69,212,649,0.4861325115562404,0.45454545454545453
12,2018-12-29-20-arkansas-state,63.6,14,6.8,3,110.1,73.5,25,0.42200000000000004,64,0.344,22,0.21899999999999997,14,0.5710000000000001,8,0,200,78.5,24.4,10,21,62,,8.9,7,0.45299999999999996,29,0.345,10,46.7,35,0.439,18.6,16,35,0.34299999999999997,12,0.0,0,"December 29, 2018",55.2,16,28.6,10,78.5,75.6,31,0.578,58,0.5,29,0.534,31,0.645,20,7,200,110.1,26.5,9,16,87,,20.3,16,0.24100000000000002,14,0.643,9,53.3,40,0.598,19.2,17,44,0.455,20,0.462,6,"Convocation Center, Jonesboro, Arkansas","Harding
			","Harding
			",78.7,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,12,True,False,True,Home,True,9,20,58,40,75,10,12,64,1,0,92,199,735,0.45850340136054424,410,818,0.5012224938875306,76,229,700,0.49,0.4166666666666667
13,2019-01-03-20-louisiana-lafayette,45.2,14,10.3,4,100.0,83.3,30,0.581,62,0.5,31,0.452,28,0.7859999999999999,22,7,200,113.3,45.5,15,22,94,,8.4,7,0.40299999999999997,25,0.4,10,65.2,45,0.624,22.8,22,37,0.568,21,0.5,7,"January 3, 2019",40.7,11,8.1,3,113.3,54.5,18,0.46799999999999997,63,0.429,27,0.508,32,0.75,24,5,200,100.0,16.7,6,23,83,,9.6,8,0.381,24,0.20800000000000002,5,34.8,24,0.531,12.5,11,39,0.564,22,0.643,9,"Cajundome, Lafayette, Louisiana",LOUISIANA-LAFAYETTE,Louisiana,82.8,Away,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,13,False,False,False,Away,True,10,21,62,45,69,5,22,63,1,0,101,219,793,0.4672131147540984,450,893,0.503919372900336,86,241,764,0.48429319371727747,0.46153846153846156
14,2019-01-05-15-louisiana-monroe,25.0,7,10.3,3,121.4,77.4,24,0.5710000000000001,56,0.5,28,0.304,17,0.647,11,8,200,107.1,27.6,8,24,75,,2.9,2,0.446,25,0.32,8,53.3,32,0.585,17.0,13,31,0.645,20,0.467,7,"January 5, 2019",56.0,14,3.2,1,107.1,72.4,21,0.526,58,0.431,25,0.483,28,0.857,24,5,200,121.4,22.6,7,18,85,,5.7,4,0.5,29,0.379,11,46.7,28,0.596,9.1,7,29,0.483,14,0.643,9,"Fant-Ewing Coliseum, Monroe, Louisiana",ARKANSAS-STATE,Arkansas State,70.2,Home,LOUISIANA-MONROE,Louisiana-Monroe,Arkansas State,sun-belt,14,False,False,False,Away,False,8,20,56,32,60,11,14,58,0,1,111,240,855,0.47543859649122805,495,962,0.5145530145530145,91,263,827,0.4830713422007255,0.5
15,2019-01-10-20-arkansas-state,40.0,10,11.1,4,97.1,62.1,18,0.45299999999999996,64,0.391,25,0.203,13,0.5379999999999999,7,7,200,95.6,25.6,10,22,65,,16.2,11,0.406,26,0.308,8,41.2,28,0.46299999999999997,12.5,10,38,0.447,17,0.562,9,"January 10, 2019",40.9,9,7.9,3,95.6,74.4,29,0.469,49,0.449,22,0.531,26,0.769,20,8,200,97.1,37.9,11,17,66,,8.8,6,0.265,13,0.154,2,58.8,40,0.5379999999999999,20.9,16,36,0.556,20,0.5,8,"Convocation Center, Jonesboro, Arkansas",SOUTH-ALABAMA,South Alabama,68.3,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,15,True,False,True,Home,True,2,20,49,40,68,8,17,64,1,0,119,260,911,0.4813391877058178,527,1022,0.5156555772994129,102,277,885,0.4858757062146893,0.4666666666666667
16,2019-01-12-17-arkansas-state,59.3,16,11.9,5,111.8,60.0,21,0.5820000000000001,55,0.491,27,0.5820000000000001,32,0.813,26,7,225,118.4,25.8,8,22,90,,7.9,6,0.418,23,0.435,10,43.9,29,0.6409999999999999,16.9,14,32,0.531,17,0.562,9,"January 12, 2019",46.4,13,3.1,1,118.4,74.2,23,0.47700000000000004,66,0.424,28,0.39399999999999996,26,0.846,22,9,225,111.8,40.0,14,24,85,,6.6,5,0.364,24,0.292,7,56.1,37,0.542,13.4,12,42,0.5,21,0.47100000000000003,8,"Convocation Center, Jonesboro, Arkansas",ARKANSAS-STATE,Arkansas State,67.8,Away,TROY,Troy,Arkansas State,sun-belt,16,False,True,True,Home,False,7,21,66,37,66,10,17,55,0,1,121,280,960,0.48072916666666665,567,1090,0.5201834862385321,110,294,949,0.48366701791359323,0.5
17,2019-01-17-20-texas-arlington,59.1,13,6.1,2,101.5,71.9,23,0.455,55,0.4,22,0.255,14,0.643,9,10,200,88.1,40.6,13,20,59,,4.5,3,0.4,22,0.273,6,56.3,36,0.479,22.7,18,33,0.485,16,0.444,8,"January 17, 2019",70.0,14,9.1,3,88.1,59.4,19,0.41700000000000004,54,0.37,20,0.556,30,0.767,23,11,200,101.5,28.1,9,17,68,,19.4,13,0.389,21,0.23800000000000002,5,43.8,28,0.498,11.8,9,33,0.455,15,0.389,7,"College Park Center, Arlington, Texas",ARKANSAS-STATE,Arkansas State,67.5,Home,TEXAS-ARLINGTON,Texas-Arlington,Arkansas State,sun-belt,17,False,False,False,Away,False,6,16,55,36,64,5,15,54,0,1,128,301,1026,0.48050682261208577,604,1156,0.5224913494809689,120,311,1004,0.48904382470119523,0.47058823529411764
18,2019-01-19-17-texas-state,40.9,9,17.6,6,105.5,70.0,21,0.456,57,0.386,22,0.33299999999999996,19,0.632,12,11,200,87.7,20.6,7,27,64,,5.5,4,0.456,26,0.308,8,43.8,28,0.485,18.7,15,31,0.452,14,0.42100000000000004,8,"January 19, 2019",50.0,11,12.9,4,87.7,79.4,27,0.49,52,0.423,22,0.75,39,0.667,26,3,200,105.5,30.0,9,19,77,,12.3,9,0.34600000000000003,18,0.389,7,56.3,36,0.546,12.6,10,34,0.441,15,0.8420000000000001,16,"Strahan Coliseum, San Marcos, Texas",ARKANSAS-STATE,Arkansas State,72.8,Home,TEXAS-STATE,Texas State,Arkansas State,sun-belt,18,False,False,False,Away,False,8,14,57,28,64,7,15,52,0,1,134,317,1081,0.4791859389454209,640,1220,0.5245901639344263,125,326,1058,0.4853497164461248,0.4444444444444444
19,2019-01-24-20-arkansas-state,62.5,15,2.0,1,103.8,67.5,27,0.509,58,0.414,24,0.517,30,0.733,22,14,225,102.5,20.0,7,19,81,,2.5,2,0.483,28,0.39299999999999996,11,45.3,34,0.561,17.4,15,30,0.433,13,0.263,5,"January 24, 2019",48.4,15,16.7,5,102.5,80.0,28,0.486,70,0.44299999999999995,31,0.271,19,0.737,14,11,225,103.8,32.5,13,26,82,,13.9,11,0.28600000000000003,20,0.3,6,54.7,41,0.519,13.3,12,50,0.5,25,0.45,9,"Convocation Center, Jonesboro, Arkansas",APPALACHIAN-STATE,Appalachian State,70.3,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,19,True,False,True,Home,True,6,25,70,41,75,11,13,58,1,0,142,331,1138,0.4780316344463972,668,1284,0.5202492211838006,132,341,1110,0.48558558558558557,0.42105263157894735
20,2019-01-26-17-arkansas-state,46.4,13,9.7,3,86.5,65.6,21,0.569,58,0.483,28,0.31,18,0.611,11,9,200,104.1,30.0,9,22,77,,16.2,12,0.36200000000000004,21,0.47600000000000003,10,48.4,30,0.579,22.4,19,37,0.486,18,0.526,10,"January 26, 2019",68.2,15,10.8,4,104.1,70.0,21,0.45399999999999996,54,0.40700000000000003,22,0.444,24,0.625,15,12,200,86.5,34.4,11,15,64,,13.5,10,0.426,23,0.217,5,51.6,32,0.489,21.8,18,31,0.5479999999999999,17,0.429,9,"Convocation Center, Jonesboro, Arkansas",ARKANSAS-STATE,Arkansas State,74.5,Away,COASTAL-CAROLINA,Coastal Carolina,Arkansas State,sun-belt,20,False,True,True,Home,False,5,17,54,32,62,10,18,58,0,1,148,356,1208,0.478476821192053,709,1359,0.5217071376011774,143,354,1168,0.4867294520547945,0.45
21,2019-02-02-18-arkansas-little-rock,37.9,11,6.4,3,106.4,64.9,24,0.596,57,0.509,29,0.456,26,0.615,16,12,200,107.7,38.7,12,20,84,,3.8,3,0.35100000000000003,20,0.5,10,52.9,36,0.606,22.6,20,37,0.514,19,0.455,10,"February 2, 2019",50.0,16,8.1,3,107.7,61.3,19,0.529,69,0.46399999999999997,32,0.217,15,0.667,10,15,200,106.4,35.1,13,23,83,,14.1,11,0.319,22,0.409,9,47.1,32,0.545,16.6,15,47,0.489,23,0.318,7,"Jack Stephens Center, Little Rock, Arkansas",ARKANSAS-LITTLE-ROCK,Little Rock,77.7,Away,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,21,False,False,False,Away,True,10,19,57,36,68,9,23,69,1,0,153,373,1262,0.47741679873217113,741,1421,0.5214637579169599,153,372,1226,0.49061990212071777,0.42857142857142855
22,2019-02-07-20-south-alabama,68.4,13,15.6,5,112.9,73.1,19,0.45399999999999996,54,0.35200000000000004,19,0.29600000000000004,16,0.813,13,13,200,100.0,30.3,10,22,62,,4.8,3,0.444,24,0.45799999999999996,11,49.2,29,0.503,14.1,10,30,0.267,8,0.435,10,"February 7, 2019",34.8,8,20.0,6,100.0,69.7,23,0.5529999999999999,47,0.489,23,0.511,24,0.75,18,11,200,112.9,26.9,7,17,70,,4.8,3,0.319,15,0.4,6,50.8,30,0.599,16.0,11,32,0.531,17,0.522,12,"Mitchell Center, Mobile, Alabama",ARKANSAS-STATE,Arkansas State,62.0,Home,SOUTH-ALABAMA,South Alabama,Arkansas State,sun-belt,22,False,False,False,Away,False,11,8,54,29,59,6,17,47,0,1,163,392,1319,0.4825625473843821,777,1489,0.5218267293485561,162,395,1295,0.49266409266409267,0.45454545454545453
23,2019-02-09-15-troy,26.1,6,11.1,3,116.7,87.0,20,0.41100000000000003,62,0.371,23,0.645,40,0.7,28,14,200,109.7,34.1,14,20,79,,4.2,3,0.32299999999999995,20,0.25,5,53.1,34,0.488,8.1,7,42,0.429,18,0.41700000000000004,10,"February 9, 2019",55.2,16,14.3,6,109.7,65.9,27,0.66,53,0.547,29,0.34,18,0.778,14,12,200,116.7,13.0,3,29,84,,2.8,2,0.491,26,0.462,12,46.9,30,0.682,16.5,12,27,0.63,17,0.478,11,"Trojan Arena, Troy, Alabama",ARKANSAS-STATE,Arkansas State,72.3,Home,TROY,Troy,Arkansas State,sun-belt,23,False,False,False,Away,False,5,18,62,34,64,12,17,53,0,1,174,400,1373,0.48142753095411506,806,1548,0.520671834625323,168,412,1342,0.4947839046199702,0.43478260869565216
24,2019-02-14-20-arkansas-state,42.3,11,7.3,3,104.2,71.4,25,0.431,65,0.4,26,0.5379999999999999,35,0.8,28,5,200,118.3,39.5,15,22,84,,2.8,2,0.24600000000000002,16,0.25,4,54.8,40,0.515,6.9,6,49,0.449,22,0.8,20,"February 14, 2019",40.0,10,14.3,7,118.3,60.5,23,0.474,58,0.431,25,0.431,25,0.76,19,15,200,104.2,28.6,10,29,74,,7.0,5,0.293,17,0.294,5,45.2,33,0.53,11.5,9,41,0.488,20,0.4,10,"Convocation Center, Jonesboro, Arkansas",ARKANSAS-STATE,Arkansas State,70.8,Away,TEXAS-STATE,Texas State,Arkansas State,sun-belt,24,False,True,True,Home,False,5,20,58,33,73,4,22,65,0,1,179,418,1435,0.478397212543554,840,1612,0.5210918114143921,180,429,1395,0.5010752688172043,0.4166666666666667
25,2019-02-16-17-arkansas-state,46.2,12,6.5,2,105.1,87.0,20,0.46799999999999997,63,0.413,26,0.365,23,0.87,20,14,200,100.0,32.4,11,18,79,,6.3,5,0.365,23,0.304,7,54.4,31,0.534,18.9,17,40,0.475,19,0.462,12,"February 16, 2019",59.3,16,20.0,8,100.0,67.6,23,0.625,52,0.519,27,0.48100000000000004,25,0.72,18,15,200,105.1,13.0,3,19,83,,10.1,8,0.40399999999999997,21,0.524,11,45.6,26,0.65,22.2,18,31,0.516,16,0.423,11,"Convocation Center, Jonesboro, Arkansas",TEXAS-ARLINGTON,Texas-Arlington,79.4,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,25,True,False,True,Home,True,11,16,52,26,57,7,19,63,1,0,184,438,1493,0.478231748158071,873,1685,0.5181008902077151,184,451,1460,0.49794520547945204,0.4
26,2019-02-23-17-arkansas-state,34.8,8,6.9,2,102.9,67.9,19,0.46399999999999997,55,0.418,23,0.345,19,0.737,14,17,200,92.9,25.7,9,26,65,,7.1,5,0.255,14,0.35700000000000004,5,44.4,28,0.508,19.1,15,41,0.439,18,0.37,10,"February 23, 2019",60.0,12,9.8,4,92.9,74.3,26,0.45899999999999996,49,0.408,20,0.755,37,0.73,27,15,200,102.9,32.1,9,18,72,,8.6,6,0.408,20,0.25,5,55.6,35,0.541,15.5,12,29,0.517,15,0.444,12,"Convocation Center, Jonesboro, Arkansas",ARKANSAS-LITTLE-ROCK,Little Rock,69.8,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,26,True,False,True,Home,True,5,15,49,35,63,5,18,55,1,0,195,454,1545,0.4831715210355987,899,1742,0.516073478760046,191,470,1523,0.4967170059093894,0.4230769230769231
