,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ABILENE-CHRISTIAN_homegame,ABILENE-CHRISTIAN_homegame2,ABILENE-CHRISTIAN_home,ABILENE-CHRISTIAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-15-19-texas-tech,60.0,9,9.4,3,124.2,77.3,17,0.33,53,0.28300000000000003,15,0.415,22,0.591,13,2,200,72.7,20.0,8,25,48,,6.1,4,0.396,21,0.23800000000000002,5,40.3,25,0.37799999999999995,10.0,7,32,0.313,10,0.818,9,"December 15, 2018",56.7,17,6.3,2,72.7,80.0,32,0.62,54,0.556,30,0.389,21,0.7140000000000001,15,0,200,124.2,22.7,5,21,82,11.0,9.1,6,0.40700000000000003,22,0.318,7,59.7,37,0.6409999999999999,13.7,10,32,0.7190000000000001,23,1.0,10,"Lubbock Municipal Coliseum, Lubbock, Texas",ABILENE-CHRISTIAN,Abilene Christian,65.7,Home,TEXAS-TECH,Texas Tech,Abilene Christian,southland,10,False,False,False,Away,False,5,10,53,25,62,7,23,54,0,1,77,217,561,0.5926916221033868,295,555,0.5315315315315315,55,152,476,0.49264705882352944,0.9
11,2018-12-21-19-southeast-missouri-state,52.2,12,20.0,5,90.7,95.8,23,0.5,50,0.46,23,0.56,28,0.7140000000000001,20,2,200,93.3,16.7,5,16,70,,12.0,9,0.3,15,0.267,4,51.9,28,0.5529999999999999,18.3,14,35,0.5429999999999999,19,0.833,10,"December 21, 2018",58.3,14,8.6,3,93.3,83.3,25,0.602,49,0.49,24,0.265,13,0.6920000000000001,9,8,200,90.7,4.2,1,27,68,,5.3,4,0.49,24,0.45799999999999996,11,48.1,26,0.616,29.6,23,25,0.52,13,0.385,5,"Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,74.7,Away,ABILENE-CHRISTIAN,Abilene Christian,Abilene Christian,southland,11,False,False,False,Away,True,4,19,50,28,54,11,13,49,1,0,82,227,614,0.5700325732899023,320,617,0.5186385737439222,62,175,530,0.5056603773584906,0.8181818181818182
12,2018-12-29-14-abilene-christian,26.7,4,6.1,3,120.5,45.0,18,0.318,55,0.273,15,0.109,6,0.833,5,0,200,54.8,18.4,7,16,40,,13.7,10,0.418,23,0.217,5,32.1,25,0.34600000000000003,27.6,22,32,0.313,10,0.0,0,"December 29, 2018",62.9,22,9.4,3,54.8,81.6,31,0.527,74,0.473,35,0.21600000000000003,16,0.625,10,2,200,120.5,55.0,22,9,88,,19.2,14,0.33799999999999997,25,0.32,8,67.9,53,0.539,14.7,14,49,0.551,27,0.846,11,"Moody Coliseum , Abilene, Texas","McMurry
			","McMurry
			",73.2,Home,ABILENE-CHRISTIAN,Abilene Christian,Abilene Christian,southland,12,True,False,True,Home,True,8,27,74,53,78,5,10,55,1,0,86,246,664,0.5647590361445783,348,671,0.518628912071535,73,188,579,0.5138169257340242,0.8333333333333334
13,2019-01-02-20-abilene-christian,42.9,9,2.8,1,95.8,66.7,18,0.41200000000000003,51,0.41200000000000003,21,0.529,27,0.593,16,7,200,81.7,28.1,9,20,58,,11.3,8,0.157,8,0.0,0,45.8,27,0.45399999999999996,23.2,19,43,0.488,21,0.41700000000000004,5,"January 2, 2019",50.0,12,9.3,4,81.7,71.9,23,0.528,53,0.45299999999999996,24,0.302,16,0.75,12,2,200,95.8,33.3,9,20,68,,15.5,11,0.321,17,0.47100000000000003,8,54.2,32,0.561,22.1,17,36,0.444,16,0.857,12,"Moody Coliseum , Abilene, Texas",NEW-ORLEANS,New Orleans,71.2,Home,ABILENE-CHRISTIAN,Abilene Christian,Abilene Christian,southland,13,True,False,True,Home,True,8,16,53,32,59,0,21,51,1,0,94,273,738,0.5609756097560976,401,749,0.5353805073431241,78,198,634,0.4968454258675079,0.8461538461538461
14,2019-01-05-18-sam-houston-state,63.6,14,6.1,2,106.0,75.0,18,0.54,50,0.44,22,0.32,16,0.875,14,3,200,101.5,34.6,9,17,68,,16.4,11,0.28,14,0.7140000000000001,10,54.0,27,0.59,24.0,18,36,0.33299999999999996,12,0.8,12,"January 5, 2019",51.9,14,13.9,5,101.5,65.4,17,0.633,49,0.551,27,0.265,13,0.6920000000000001,9,8,200,106.0,25.0,6,14,71,,14.9,10,0.327,16,0.5,8,46.0,23,0.643,24.8,18,33,0.5760000000000001,19,0.429,6,"Johnson Coliseum, Huntsville, Texas",ABILENE-CHRISTIAN,Abilene Christian,66.9,Home,SAM-HOUSTON-STATE,Sam Houston State,Abilene Christian,southland,14,False,False,False,Away,False,10,12,50,27,50,8,19,49,0,1,102,289,791,0.5587863463969659,433,808,0.5358910891089109,78,219,685,0.4905109489051095,0.8571428571428571
15,2019-01-09-19-mcneese-state,84.6,22,5.3,2,114.3,82.1,23,0.596,52,0.5,26,0.365,19,0.579,11,3,200,115.9,20.0,6,16,73,,4.8,3,0.423,22,0.455,10,50.0,29,0.598,10.4,7,30,0.5329999999999999,16,0.812,13,"January 9, 2019",80.0,20,13.3,4,115.9,80.0,24,0.547,53,0.47200000000000003,25,0.358,19,0.737,14,11,200,114.3,17.9,5,15,72,,7.9,5,0.28300000000000003,15,0.5329999999999999,8,50.0,29,0.58,8.9,6,38,0.447,17,0.312,5,"H&HP Complex, Lake Charles, Louisiana",MCNEESE-STATE,McNeese State,62.5,Away,ABILENE-CHRISTIAN,Abilene Christian,Abilene Christian,southland,15,False,False,False,Away,True,10,16,52,29,58,8,17,53,1,0,112,301,841,0.5576694411414982,460,858,0.5361305361305362,86,238,734,0.5,0.8
16,2019-01-12-17-southeastern-louisiana,37.0,10,7.1,3,107.5,63.0,17,0.536,56,0.48200000000000004,27,0.35700000000000004,20,0.75,15,3,200,111.9,25.8,8,26,75,,10.4,7,0.23199999999999998,13,0.462,6,43.1,25,0.573,11.0,8,43,0.488,21,0.8240000000000001,14,"January 12, 2019",36.8,7,11.6,5,111.9,74.2,23,0.41,50,0.38,19,0.66,33,0.9390000000000001,31,12,200,107.5,37.0,10,17,72,,4.5,3,0.16,8,0.375,3,56.9,33,0.5479999999999999,16.8,13,42,0.381,16,0.25,4,"University Center, Hammond, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,67.1,Away,ABILENE-CHRISTIAN,Abilene Christian,Abilene Christian,southland,16,False,False,False,Away,True,6,21,56,25,58,3,16,50,1,0,122,317,893,0.5599104143337066,489,916,0.5338427947598253,94,255,787,0.5031766200762389,0.8125
17,2019-01-16-20-abilene-christian,56.0,14,2.6,1,107.1,67.7,21,0.56,50,0.5,25,0.34,17,0.706,12,10,200,97.1,32.0,8,18,68,,8.6,6,0.28,14,0.429,6,51.8,29,0.585,25.8,20,36,0.528,19,0.33299999999999996,5,"January 16, 2019",64.3,18,5.6,2,97.1,68.0,17,0.534,58,0.483,28,0.36200000000000004,21,0.619,13,3,200,107.1,32.3,10,18,75,,14.3,10,0.345,20,0.3,6,48.2,27,0.552,15.1,12,38,0.579,22,0.833,15,"Moody Coliseum , Abilene, Texas",HOUSTON-BAPTIST,Houston Baptist,70.0,Home,ABILENE-CHRISTIAN,Abilene Christian,Abilene Christian,southland,17,True,False,True,Home,True,6,22,58,27,56,6,19,50,1,0,128,338,949,0.5584826132771338,514,974,0.5277207392197125,97,271,837,0.497610513739546,0.8235294117647058
18,2019-01-19-19-abilene-christian,52.2,12,9.8,4,109.9,72.7,24,0.44799999999999995,58,0.397,23,0.397,23,0.7390000000000001,17,11,200,97.2,26.3,10,17,69,,14.1,10,0.414,24,0.25,6,47.9,34,0.501,13.9,11,34,0.5,17,0.389,7,"January 19, 2019",64.3,18,14.7,5,97.2,73.7,28,0.525,61,0.45899999999999996,28,0.32799999999999996,20,0.7,14,3,200,109.9,27.3,9,18,78,,4.2,3,0.32799999999999996,20,0.4,8,52.1,37,0.5529999999999999,13.6,11,41,0.488,20,0.8420000000000001,16,"Moody Coliseum , Abilene, Texas",NORTHWESTERN-STATE,Northwestern State,71.2,Home,ABILENE-CHRISTIAN,Abilene Christian,Abilene Christian,southland,18,True,False,True,Home,True,8,20,61,37,71,6,17,58,1,0,134,360,1007,0.5571002979145978,541,1030,0.525242718446602,103,290,887,0.5011273957158963,0.8333333333333334
19,2019-01-23-19-stephen-f-austin,52.2,12,11.4,4,84.7,72.4,21,0.5,52,0.442,23,0.192,10,0.8,8,4,200,83.3,30.0,9,15,60,,15.3,11,0.327,17,0.353,6,50.8,30,0.529,29.9,24,35,0.486,17,0.8,16,"January 23, 2019",43.5,10,2.9,1,83.3,70.0,21,0.491,54,0.426,23,0.204,11,0.727,8,8,200,84.7,27.6,8,14,61,,16.7,12,0.35200000000000004,19,0.368,7,49.2,29,0.515,26.3,21,35,0.457,16,0.556,10,"William Johnson Coliseum, Nacogdoches, Texas",ABILENE-CHRISTIAN,Abilene Christian,72.0,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Abilene Christian,southland,19,False,False,False,Away,False,6,17,52,30,59,7,16,54,0,1,142,380,1068,0.5552434456928839,578,1101,0.5249772933696639,109,307,945,0.4978835978835979,0.8421052631578947
20,2019-01-26-16-abilene-christian,46.7,7,7.5,3,105.3,69.7,23,0.34,50,0.3,15,0.6,30,0.733,22,11,200,74.7,24.2,8,16,56,,9.3,7,0.4,20,0.2,4,47.0,31,0.436,24.0,20,30,0.36700000000000005,11,0.47600000000000003,10,"January 26, 2019",64.3,18,20.0,6,74.7,75.8,25,0.517,60,0.467,28,0.4,24,0.708,17,4,200,105.3,30.3,10,21,79,,13.3,10,0.33299999999999996,20,0.3,6,53.0,35,0.5529999999999999,14.5,12,40,0.55,22,0.81,17,"Moody Coliseum , Abilene, Texas",CENTRAL-ARKANSAS,Central Arkansas,74.8,Home,ABILENE-CHRISTIAN,Abilene Christian,Abilene Christian,southland,20,True,False,True,Home,True,6,22,60,35,66,4,11,50,1,0,148,397,1120,0.5526785714285715,608,1160,0.5241379310344828,116,323,999,0.4974974974974975,0.8
21,2019-01-30-20-abilene-christian,36.0,9,11.4,4,111.4,62.2,23,0.565,46,0.5429999999999999,25,0.522,24,0.792,19,11,200,101.4,21.7,5,18,71,,11.4,8,0.217,10,0.2,2,46.7,28,0.618,25.1,19,36,0.639,23,0.45,9,"January 30, 2019",68.0,17,8.3,3,101.4,78.3,18,0.525,59,0.424,25,0.35600000000000004,21,0.762,16,4,200,111.4,37.8,14,22,78,,17.1,12,0.40700000000000003,24,0.5,12,53.3,32,0.565,17.0,14,35,0.371,13,0.818,18,"Moody Coliseum , Abilene, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,70.2,Home,ABILENE-CHRISTIAN,Abilene Christian,Abilene Christian,southland,21,True,False,True,Home,True,12,13,59,32,60,2,23,46,1,0,154,419,1180,0.5508474576271186,643,1226,0.5244698205546493,120,334,1049,0.4899904671115348,0.8095238095238095
22,2019-02-06-20-lamar,56.0,14,6.8,3,87.7,58.5,24,0.466,59,0.424,25,0.441,26,0.769,20,4,200,102.7,25.0,9,25,75,,9.6,7,0.254,15,0.33299999999999996,5,42.9,33,0.526,12.4,10,44,0.455,20,0.826,19,"February 6, 2019",45.0,9,9.1,4,102.7,75.0,27,0.35200000000000004,61,0.32799999999999996,20,0.475,29,0.7240000000000001,21,12,200,87.7,41.5,17,22,64,,2.7,2,0.27899999999999997,17,0.17600000000000002,3,57.1,44,0.428,16.9,15,44,0.386,17,0.478,11,"Montagne Center, Beaumont, Texas",LAMAR,Lamar,72.6,Away,ABILENE-CHRISTIAN,Abilene Christian,Abilene Christian,southland,22,False,False,False,Away,True,5,20,59,33,77,3,17,61,1,0,166,432,1239,0.549636803874092,675,1286,0.5248833592534993,122,357,1095,0.4931506849315068,0.8181818181818182
23,2019-02-09-19-abilene-christian,35.5,11,7.5,3,102.4,84.6,22,0.5760000000000001,59,0.525,31,0.424,25,0.88,22,8,250,108.4,28.6,8,22,90,,12.0,10,0.373,22,0.273,6,55.6,30,0.635,21.3,19,37,0.6759999999999999,25,0.667,16,"February 9, 2019",34.4,11,2.7,1,108.4,71.4,20,0.612,58,0.552,32,0.345,20,0.7,14,5,250,102.4,15.4,4,23,85,,7.2,6,0.31,18,0.389,7,44.4,24,0.63,23.0,20,40,0.625,25,0.792,19,"Moody Coliseum , Abilene, Texas",ABILENE-CHRISTIAN,Abilene Christian,66.2,Away,SAM-HOUSTON-STATE,Sam Houston State,Abilene Christian,southland,23,False,True,True,Home,False,7,25,58,24,54,6,25,59,0,1,171,452,1298,0.5458397534668721,708,1363,0.5194424064563463,125,374,1156,0.4857266435986159,0.8260869565217391
24,2019-02-13-20-nicholls-state,62.5,15,9.4,3,71.6,88.6,31,0.433,60,0.4,24,0.233,14,0.857,12,5,200,95.5,18.8,6,12,64,,10.4,7,0.317,19,0.21100000000000002,4,55.2,37,0.48,9.6,7,41,0.488,20,0.8,20,"February 13, 2019",43.8,7,7.3,3,95.5,81.3,26,0.34299999999999997,54,0.29600000000000004,16,0.24100000000000002,13,0.846,11,13,200,71.6,11.4,4,14,48,,6.0,4,0.40700000000000003,22,0.22699999999999998,5,44.8,30,0.39899999999999997,14.3,10,32,0.344,11,0.45799999999999996,11,"David Stopher Gymnasium, Thibodaux, Louisiana",NICHOLLS-STATE,Nicholls State,66.9,Away,ABILENE-CHRISTIAN,Abilene Christian,Abilene Christian,southland,24,False,False,False,Away,True,4,20,60,37,67,5,11,54,1,0,178,477,1356,0.5486725663716814,732,1417,0.5165843330980946,131,399,1215,0.4901234567901235,0.7916666666666666
25,2019-02-16-16-incarnate-word,61.5,16,10.7,3,76.2,90.0,18,0.5670000000000001,52,0.5,26,0.231,12,0.75,9,5,200,107.9,28.0,7,18,68,,14.3,9,0.442,23,0.304,7,55.6,25,0.589,17.3,12,29,0.655,19,0.8079999999999999,21,"February 16, 2019",47.1,8,10.3,3,107.9,72.0,18,0.46299999999999997,41,0.415,17,0.293,12,0.833,10,19,200,76.2,10.0,2,18,48,,6.3,4,0.317,13,0.308,4,44.4,20,0.514,29.1,19,28,0.46399999999999997,13,0.24,6,"McDermott Center, San Antonio, Texas",INCARNATE-WORD,Incarnate Word,63.2,Away,ABILENE-CHRISTIAN,Abilene Christian,Abilene Christian,southland,25,False,False,False,Away,True,7,19,52,25,45,4,13,41,1,0,182,497,1416,0.5437853107344632,769,1484,0.5181940700808625,136,410,1269,0.4838455476753349,0.8
