,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PITTSBURGH_homegame,PITTSBURGH_homegame2,PITTSBURGH_home,PITTSBURGH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-15-14-pittsburgh,41.2,7,5.7,2,109.9,61.1,22,0.336,55,0.309,17,0.23600000000000002,13,0.462,6,10,200,60.6,15.4,6,20,43,,8.5,6,0.327,18,0.16699999999999998,3,37.3,28,0.35100000000000003,20.9,16,37,0.37799999999999995,14,0.091,1,"December 15, 2018",53.6,15,13.5,5,60.6,84.6,33,0.542,60,0.467,28,0.36700000000000005,22,0.591,13,3,200,109.9,38.9,14,15,78,,15.5,11,0.41700000000000004,25,0.36,9,62.7,47,0.5539999999999999,17.7,15,35,0.5429999999999999,19,0.727,8,"Petersen Events Center, Pittsburgh, Pennsylvania",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,71.3,Home,PITTSBURGH,Pitt,Pittsburgh,acc,10,True,False,True,Home,True,9,19,60,47,75,3,14,55,1,0,65,192,559,0.5178890876565295,345,678,0.5088495575221239,74,152,593,0.44350758853288363,0.7
11,2018-12-20-19-pittsburgh,60.9,14,7.1,3,135.6,40.0,12,0.47100000000000003,52,0.442,23,0.212,11,0.727,8,5,200,78.1,21.4,6,22,57,,15.1,11,0.327,17,0.17600000000000002,3,31.0,18,0.498,27.0,21,35,0.5710000000000001,20,0.5,5,"December 20, 2018",52.9,18,8.6,3,78.1,78.6,22,0.583,66,0.515,34,0.348,23,0.9570000000000001,22,3,200,135.6,60.0,18,14,99,,13.7,10,0.364,24,0.375,9,69.0,40,0.643,15.5,14,42,0.595,25,0.75,9,"Petersen Events Center, Pittsburgh, Pennsylvania",NEW-ORLEANS,New Orleans,72.6,Home,PITTSBURGH,Pitt,Pittsburgh,acc,11,True,False,True,Home,True,9,25,66,40,58,3,20,52,1,0,74,211,619,0.5201938610662359,392,753,0.5205843293492696,77,166,648,0.43441358024691357,0.7272727272727273
12,2018-12-29-16-pittsburgh,42.9,9,0.0,0,100.0,72.7,24,0.32899999999999996,70,0.3,21,0.18600000000000003,13,0.615,8,5,200,79.4,51.2,22,17,54,,10.3,7,0.34299999999999997,24,0.16699999999999998,4,60.5,46,0.354,16.5,15,46,0.37,17,0.615,8,"December 29, 2018",47.8,11,28.3,13,79.4,48.8,21,0.5,53,0.434,23,0.415,22,0.682,15,3,200,100.0,27.3,9,12,68,,13.2,9,0.434,23,0.304,7,39.5,30,0.536,17.2,13,30,0.5329999999999999,16,0.769,10,"Petersen Events Center, Pittsburgh, Pennsylvania",COLGATE,Colgate,68.3,Home,PITTSBURGH,Pitt,Pittsburgh,acc,12,True,False,True,Home,True,7,16,53,30,76,4,17,70,1,0,83,236,685,0.5262773722627737,432,811,0.5326757090012331,80,186,700,0.43714285714285717,0.75
13,2019-01-05-12-pittsburgh,75.0,24,16.3,7,75.9,75.0,33,0.5,74,0.43200000000000005,32,0.23,17,0.647,11,3,200,107.6,38.1,16,24,85,15.0,10.1,8,0.324,24,0.41700000000000004,10,57.0,49,0.518,11.9,11,50,0.44,22,0.7859999999999999,11,"January 5, 2019",36.8,7,14.0,7,107.6,61.9,26,0.32299999999999995,62,0.306,19,0.516,32,0.625,20,4,200,75.9,25.0,11,19,60,,8.9,7,0.306,19,0.105,2,43.0,37,0.389,16.5,15,43,0.395,17,0.7140000000000001,10,"Petersen Events Center, Pittsburgh, Pennsylvania",PITTSBURGH,Pitt,79.1,Away,NORTH-CAROLINA,UNC,Pittsburgh,acc,13,False,True,True,Home,False,2,17,62,37,86,10,22,74,0,1,90,252,738,0.524390243902439,462,887,0.5208568207440811,84,203,770,0.42727272727272725,0.7692307692307693
14,2019-01-09-20-pittsburgh,54.8,17,12.2,5,106.0,81.3,26,0.507,68,0.456,31,0.33799999999999997,23,0.7390000000000001,17,5,225,102.4,33.3,11,24,86,,2.4,2,0.41200000000000003,28,0.25,7,56.9,37,0.545,18.7,18,40,0.6,24,0.667,10,"January 9, 2019",46.9,15,15.0,6,102.4,66.7,22,0.598,61,0.525,32,0.541,33,0.485,16,4,225,106.0,18.8,6,26,89,,7.1,6,0.32799999999999996,20,0.45,9,43.1,28,0.58,13.7,12,41,0.561,23,0.733,11,"Petersen Events Center, Pittsburgh, Pennsylvania",LOUISVILLE,Louisville,74.9,Home,PITTSBURGH,Pitt,Pittsburgh,acc,14,True,False,True,Home,True,9,23,61,28,65,7,24,68,1,0,92,269,800,0.50875,499,973,0.512846865364851,94,225,844,0.43364928909952605,0.7142857142857143
15,2019-01-12-12-north-carolina-state,52.0,13,7.8,4,108.9,60.5,23,0.509,55,0.455,25,0.509,28,0.857,24,5,200,101.3,23.3,7,21,80,,10.1,8,0.23600000000000002,13,0.462,6,44.1,30,0.586,19.2,16,42,0.452,19,0.688,11,"January 12, 2019",53.3,16,14.3,6,101.3,76.7,23,0.47200000000000003,71,0.423,30,0.35200000000000004,25,0.76,19,2,200,108.9,39.5,15,19,86,15.0,11.4,9,0.282,20,0.35,7,55.9,38,0.519,13.7,13,51,0.451,23,0.875,14,"PNC Arena, Raleigh, North Carolina",PITTSBURGH,Pitt,79.1,Home,NORTH-CAROLINA-STATE,NC State,Pittsburgh,acc,15,False,False,False,Away,False,6,19,55,30,68,7,23,71,0,1,101,292,861,0.5150987224157956,527,1038,0.5077071290944123,101,249,912,0.43914473684210525,0.7333333333333333
16,2019-01-14-19-pittsburgh,40.0,8,27.6,8,105.6,77.4,24,0.36200000000000004,58,0.345,20,0.466,27,0.741,20,4,200,87.3,34.1,14,31,62,11.0,9.9,7,0.379,22,0.091,2,52.8,38,0.43799999999999994,14.7,12,36,0.5,18,0.765,13,"January 14, 2019",50.0,8,16.7,6,87.3,65.9,27,0.402,46,0.348,16,1.0,46,0.826,38,5,200,105.6,22.6,7,19,75,,9.9,7,0.37,17,0.294,5,47.2,34,0.5529999999999999,15.3,12,29,0.379,11,0.706,12,"Petersen Events Center, Pittsburgh, Pennsylvania",FLORIDA-STATE,Florida State,70.8,Home,PITTSBURGH,Pitt,Pittsburgh,acc,16,True,False,True,Home,True,5,11,46,34,72,2,18,58,1,0,107,311,916,0.5147379912663755,557,1106,0.5036166365280289,108,272,983,0.44150559511698884,0.6875
17,2019-01-19-14-syracuse,36.4,8,7.1,2,102.8,77.4,24,0.423,65,0.33799999999999997,22,0.215,14,0.5710000000000001,8,6,200,87.5,39.5,15,23,63,,5.6,4,0.5379999999999999,35,0.314,11,56.5,39,0.44,18.4,16,30,0.36700000000000005,11,0.667,12,"January 19, 2019",68.0,17,33.3,10,87.5,60.5,23,0.574,54,0.46299999999999997,25,0.426,23,0.522,12,5,200,102.8,22.6,7,14,74,,11.1,8,0.48100000000000004,26,0.462,12,43.5,30,0.57,17.9,14,28,0.46399999999999997,13,0.722,13,"Carrier Dome, Syracuse, New York",PITTSBURGH,Pitt,72.3,Home,SYRACUSE,Syracuse,Pittsburgh,acc,17,False,False,False,Away,False,11,11,65,39,69,12,13,54,0,1,112,322,962,0.5093555093555093,591,1178,0.50169779286927,110,290,1041,0.43707973102785785,0.7058823529411765
18,2019-01-22-21-pittsburgh,53.6,15,18.4,7,90.1,72.4,21,0.485,65,0.431,28,0.308,20,0.8,16,2,200,111.3,38.9,14,17,79,2.0,12.7,9,0.354,23,0.304,7,53.8,35,0.53,14.0,12,42,0.5,21,0.889,16,"January 22, 2019",27.3,6,7.1,3,111.3,61.1,22,0.44299999999999995,53,0.415,22,0.377,20,0.85,17,7,200,90.1,27.6,8,17,64,,7.0,5,0.28300000000000003,15,0.2,3,46.2,30,0.512,18.5,14,38,0.5,19,0.632,12,"Petersen Events Center, Pittsburgh, Pennsylvania",PITTSBURGH,Pitt,70.5,Away,DUKE,Duke,Pittsburgh,acc,18,False,True,True,Home,False,3,19,53,30,65,7,21,65,0,1,123,333,1027,0.5038948393378773,630,1247,0.5052125100240578,122,303,1095,0.4438356164383562,0.6666666666666666
19,2019-01-26-14-louisville,42.1,8,12.1,4,95.7,78.8,26,0.40700000000000003,54,0.35200000000000004,19,0.24100000000000002,13,0.5379999999999999,7,8,200,73.9,18.9,7,19,51,,5.8,4,0.389,21,0.28600000000000003,6,47.1,33,0.424,22.2,17,33,0.39399999999999996,13,0.6,12,"January 26, 2019",63.6,14,12.1,4,73.9,81.1,30,0.46399999999999997,56,0.39299999999999996,22,0.28600000000000003,16,0.875,14,5,200,95.7,21.2,7,15,66,23.0,11.6,8,0.41100000000000003,23,0.348,8,52.9,37,0.519,16.0,12,33,0.424,14,0.75,15,"KFC Yum! Center, Louisville, Kentucky",PITTSBURGH,Pitt,69.4,Home,LOUISVILLE,Louisville,Pittsburgh,acc,19,False,False,False,Away,False,6,13,54,33,70,8,14,56,0,1,126,352,1080,0.5009259259259259,660,1312,0.5030487804878049,129,324,1160,0.44612068965517243,0.631578947368421
20,2019-01-29-21-clemson,8.3,2,5.0,1,124.2,75.0,15,0.528,53,0.45299999999999996,24,0.396,21,0.619,13,9,200,104.5,25.0,8,21,69,,10.6,7,0.415,22,0.364,8,44.2,23,0.5479999999999999,16.2,12,31,0.516,16,0.5710000000000001,12,"January 29, 2019",65.4,17,22.6,7,104.5,75.0,24,0.7020000000000001,47,0.5529999999999999,26,0.447,21,0.762,16,8,200,124.2,25.0,5,19,82,,6.1,4,0.574,27,0.519,14,55.8,29,0.72,19.9,14,20,0.6,12,0.6,12,"Littlejohn Coliseum, Clemson, South Carolina",PITTSBURGH,Pitt,66.5,Home,CLEMSON,Clemson,Pittsburgh,acc,20,False,False,False,Away,False,8,16,53,23,52,14,12,47,0,1,132,365,1134,0.4964726631393298,693,1382,0.5014471780028944,137,338,1216,0.44695723684210525,0.6
21,2019-02-02-18-pittsburgh,50.0,11,17.1,6,91.8,60.0,24,0.48100000000000004,53,0.415,22,0.321,17,0.8240000000000001,14,6,200,106.6,32.3,10,17,65,,11.5,7,0.415,22,0.318,7,47.9,34,0.532,13.0,9,31,0.484,15,0.727,16,"February 2, 2019",77.8,14,3.2,1,106.6,67.7,21,0.36,57,0.316,18,0.386,22,0.682,15,10,200,91.8,40.0,16,17,56,,9.8,6,0.386,22,0.22699999999999998,5,52.1,37,0.415,14.2,11,35,0.371,13,0.545,12,"Petersen Events Center, Pittsburgh, Pennsylvania",PITTSBURGH,Pitt,61.3,Away,SYRACUSE,Syracuse,Pittsburgh,acc,21,False,True,True,Home,False,5,13,57,37,71,7,15,53,0,1,140,381,1187,0.497893850042123,716,1434,0.499302649930265,151,350,1263,0.4564528899445764,0.5714285714285714
22,2019-02-05-19-wake-forest,51.7,15,10.0,4,104.0,56.3,18,0.478,69,0.42,29,0.261,18,0.556,10,11,225,101.3,34.1,14,15,76,,12.0,9,0.304,21,0.381,8,43.8,32,0.49,10.5,9,48,0.43799999999999994,21,0.522,12,"February 5, 2019",59.3,16,12.5,6,101.3,65.9,27,0.49200000000000005,64,0.42200000000000004,27,0.313,20,0.75,15,13,225,104.0,43.8,14,17,78,,5.3,4,0.375,24,0.375,9,56.2,41,0.531,19.8,18,40,0.45,18,0.409,9,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",PITTSBURGH,Pitt,66.7,Home,WAKE-FOREST,Wake Forest,Pittsburgh,acc,22,False,False,False,Away,False,8,21,69,32,73,9,18,64,0,1,145,394,1244,0.4915594855305466,753,1505,0.5003322259136213,158,365,1316,0.4574468085106383,0.5454545454545454
23,2019-02-09-14-pittsburgh,65.4,17,11.1,4,113.4,59.3,16,0.516,64,0.406,26,0.32799999999999996,21,0.619,13,7,200,117.9,43.9,18,16,79,,10.4,7,0.42200000000000004,27,0.519,14,50.0,34,0.534,12.0,10,37,0.324,12,0.708,17,"February 9, 2019",42.3,11,21.6,8,117.9,56.1,23,0.545,55,0.473,26,0.345,19,0.8420000000000001,16,12,200,113.4,40.7,11,20,76,,9.0,6,0.345,19,0.42100000000000004,8,50.0,34,0.594,19.1,15,36,0.5,18,0.5,12,"Petersen Events Center, Pittsburgh, Pennsylvania",PITTSBURGH,Pitt,67.0,Away,NORTH-CAROLINA-STATE,NC State,Pittsburgh,acc,23,False,True,True,Home,False,8,18,55,34,68,14,12,64,0,1,153,415,1313,0.4908606245239909,785,1578,0.49746514575411915,167,383,1380,0.45905797101449275,0.5217391304347826
24,2019-02-12-19-boston-college,65.0,13,5.9,2,97.1,65.7,23,0.36200000000000004,69,0.29,20,0.174,12,0.583,7,13,200,83.8,31.8,14,18,57,,14.7,10,0.536,37,0.27,10,46.8,37,0.382,11.9,10,32,0.313,10,0.48,12,"February 12, 2019",58.3,14,21.9,7,83.8,68.2,30,0.5379999999999999,52,0.462,24,0.365,19,0.526,10,11,200,97.1,34.3,12,16,66,,7.4,5,0.34600000000000003,18,0.444,8,53.2,42,0.541,21.0,16,34,0.47100000000000003,16,0.522,12,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",PITTSBURGH,Pitt,67.9,Home,BOSTON-COLLEGE,Boston College,Pittsburgh,acc,24,False,False,False,Away,False,10,10,69,37,79,8,16,52,0,1,161,433,1368,0.4930555555555556,819,1646,0.4975698663426488,181,395,1444,0.4615650969529086,0.5
25,2019-02-16-16-pittsburgh,66.7,14,4.8,1,101.6,77.8,21,0.634,41,0.512,21,0.634,26,0.6920000000000001,18,5,200,111.1,27.3,6,24,70,22.0,9.5,6,0.512,21,0.47600000000000003,10,55.1,27,0.6559999999999999,21.1,14,20,0.55,11,0.8,20,"February 16, 2019",55.0,11,10.0,2,111.1,72.7,16,0.535,43,0.465,20,0.628,27,0.667,18,14,200,101.6,22.2,6,22,64,,11.1,7,0.512,22,0.273,6,44.9,22,0.573,21.5,15,21,0.667,14,0.462,12,"Petersen Events Center, Pittsburgh, Pennsylvania",PITTSBURGH,Pitt,63.1,Away,VIRGINIA-TECH,Virginia Tech,Pittsburgh,acc,25,False,True,True,Home,False,6,14,43,22,49,10,11,41,0,1,171,443,1437,0.4867780097425191,856,1725,0.49623188405797103,189,411,1496,0.4642379679144385,0.48
26,2019-02-20-21-georgia-tech,63.2,12,3.4,1,109.0,76.0,19,0.395,57,0.33299999999999996,19,0.667,38,0.526,20,15,200,97.0,34.1,14,20,65,,11.9,8,0.35100000000000003,20,0.35,7,50.0,33,0.433,9.8,8,37,0.324,12,0.444,12,"February 20, 2019",54.2,13,32.4,12,97.0,65.9,27,0.573,48,0.5,24,0.5,24,0.75,18,15,200,109.0,24.0,6,24,73,,6.0,4,0.396,19,0.368,7,50.0,33,0.614,17.0,12,29,0.586,17,0.444,12,"McCamish Pavilion, Atlanta, Georgia",PITTSBURGH,Pitt,67.2,Home,GEORGIA-TECH,Georgia Tech,Pittsburgh,acc,26,False,False,False,Away,False,7,12,57,33,66,7,17,48,0,1,177,457,1480,0.48817567567567566,878,1774,0.49492671927846676,199,422,1537,0.4687703318152245,0.46153846153846156
