,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ST-BONAVENTURE_homegame,ST-BONAVENTURE_homegame2,ST-BONAVENTURE_home,ST-BONAVENTURE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-18-19-vermont,33.3,10,7.9,3,103.8,66.7,28,0.54,62,0.484,30,0.21,13,0.6920000000000001,9,7,250,95.0,25.8,8,27,76,,12.5,10,0.32299999999999995,20,0.35,7,49.3,36,0.557,20.1,17,42,0.5479999999999999,23,0.364,4,"December 18, 2018",34.5,10,11.9,5,95.0,74.2,23,0.47200000000000003,72,0.40299999999999997,29,0.306,22,0.682,15,3,250,103.8,33.3,14,16,83,,7.5,6,0.47200000000000003,34,0.294,10,50.7,37,0.503,15.5,15,38,0.5,19,0.75,9,"Roy L. Patrick Gymnasium, Burlington, Vermont",ST-BONAVENTURE,St. Bonaventure,64.3,Home,VERMONT,Vermont,St. Bonaventure,atlantic-10,10,False,False,False,Away,False,7,23,62,36,73,10,19,72,0,1,67,186,577,0.4965337954939341,321,641,0.500780031201248,80,143,555,0.47387387387387386,0.4
11,2018-12-21-12-northeastern,45.0,9,21.7,5,101.6,90.5,19,0.48,50,0.4,20,0.26,13,0.846,11,8,200,93.7,17.9,5,21,59,,11.1,7,0.34,17,0.47100000000000003,8,49.0,24,0.525,16.5,11,33,0.364,12,0.33299999999999996,4,"December 21, 2018",63.6,14,9.1,3,93.7,82.1,23,0.607,42,0.524,22,0.47600000000000003,20,0.65,13,6,200,101.6,9.5,2,16,64,,4.8,3,0.452,19,0.368,7,51.0,25,0.621,22.8,15,23,0.652,15,0.5,6,"Matthews Arena, Boston, Massachusetts",ST-BONAVENTURE,St. Bonaventure,63.3,Home,NORTHEASTERN,Northeastern,St. Bonaventure,atlantic-10,11,False,False,False,Away,False,8,12,50,24,49,7,15,42,0,1,74,209,639,0.5007824726134585,357,714,0.5,90,162,627,0.47368421052631576,0.36363636363636365
12,2018-12-29-14-syracuse,50.0,8,12.1,4,117.4,72.7,16,0.389,45,0.35600000000000004,16,0.489,22,0.591,13,9,200,69.6,26.7,8,20,48,,8.7,6,0.42200000000000004,19,0.158,3,46.2,24,0.433,30.5,24,26,0.5,13,0.308,4,"December 29, 2018",65.5,19,15.4,4,69.6,73.3,22,0.64,50,0.58,29,0.44,22,0.773,17,4,200,117.4,27.3,6,19,81,,24.6,17,0.34,17,0.353,6,53.8,28,0.67,17.9,13,33,0.6970000000000001,23,0.6920000000000001,9,"Carrier Dome, Syracuse, New York",ST-BONAVENTURE,St. Bonaventure,69.5,Home,SYRACUSE,Syracuse,St. Bonaventure,atlantic-10,12,False,False,False,Away,False,3,13,45,24,52,6,23,50,0,1,82,221,689,0.49927431059506533,381,763,0.49934469200524245,97,177,669,0.4820627802690583,0.3333333333333333
13,2019-01-06-16-george-mason,52.2,12,6.5,2,107.9,56.0,14,0.43200000000000005,59,0.39,23,0.051,3,0.667,2,10,200,84.1,19.4,7,17,53,,11.1,7,0.33899999999999997,20,0.25,5,34.4,21,0.439,14.2,10,39,0.462,18,0.28600000000000003,4,"January 6, 2019",43.5,10,2.6,1,84.1,80.6,29,0.51,52,0.442,23,0.385,20,0.75,15,7,200,107.9,44.0,11,10,68,,9.5,6,0.40399999999999997,21,0.33299999999999996,7,65.6,40,0.5529999999999999,17.6,13,31,0.516,16,0.5329999999999999,8,"EagleBank Arena, Fairfax, Virginia",ST-BONAVENTURE,St. Bonaventure,63.5,Home,GEORGE-MASON,George Mason,St. Bonaventure,atlantic-10,13,False,False,False,Away,False,5,18,59,21,61,7,16,52,0,1,85,234,734,0.4925068119891008,405,815,0.49693251533742333,103,200,719,0.49304589707927676,0.3076923076923077
14,2019-01-09-19-st-bonaventure,50.0,8,8.6,3,115.9,72.2,13,0.336,55,0.29100000000000004,16,0.255,14,0.7140000000000001,10,8,200,74.6,24.4,10,14,47,,4.8,3,0.455,25,0.2,5,39.0,23,0.381,12.8,9,30,0.36700000000000005,11,0.467,7,"January 9, 2019",62.1,18,6.7,2,74.6,75.6,31,0.573,55,0.527,29,0.23600000000000002,13,0.769,10,10,200,115.9,27.8,5,14,73,,6.3,4,0.364,20,0.25,5,61.0,36,0.597,12.9,9,35,0.6859999999999999,24,0.33299999999999996,5,"Reilly Center, St. Bonaventure, New York",SAINT-JOSEPHS,St. Joseph's,62.9,Home,ST-BONAVENTURE,St. Bonaventure,St. Bonaventure,atlantic-10,14,True,False,True,Home,True,5,24,55,36,59,5,11,55,1,0,90,252,793,0.4880201765447667,426,876,0.4863013698630137,110,216,771,0.49416342412451364,0.2857142857142857
15,2019-01-12-16-st-bonaventure,38.5,10,3.0,1,112.7,58.3,14,0.535,57,0.456,26,0.105,6,0.5,3,7,200,101.6,23.3,7,23,64,,9.5,6,0.439,25,0.36,9,38.9,21,0.535,14.4,10,32,0.531,17,0.562,9,"January 12, 2019",73.9,17,12.5,4,101.6,76.7,23,0.5329999999999999,46,0.5,23,0.5870000000000001,27,0.815,22,10,200,112.7,41.7,10,10,71,,7.9,5,0.28300000000000003,13,0.231,3,61.1,33,0.603,19.5,14,33,0.606,20,0.375,6,"Blue Cross Arena, Rochester, New York",FORDHAM,Fordham,62.8,Home,ST-BONAVENTURE,St. Bonaventure,St. Bonaventure,atlantic-10,15,True,False,True,Home,True,3,20,46,33,54,9,17,57,1,0,95,276,848,0.49351415094339623,462,935,0.49411764705882355,115,227,826,0.48365617433414043,0.3333333333333333
16,2019-01-16-18-rhode-island,33.3,7,9.1,3,107.1,76.2,16,0.435,54,0.389,21,0.389,21,0.762,16,11,200,90.0,30.3,10,22,63,,10.0,7,0.33299999999999996,18,0.278,5,48.1,26,0.49200000000000005,21.2,17,36,0.444,16,0.353,6,"January 16, 2019",60.0,15,5.6,2,90.0,69.7,23,0.598,46,0.5429999999999999,25,0.565,26,0.769,20,7,200,107.1,23.8,5,20,75,,12.9,9,0.28300000000000003,13,0.385,5,51.9,28,0.643,21.8,16,33,0.606,20,0.562,9,"Ryan Center, Kingston, Rhode Island",ST-BONAVENTURE,St. Bonaventure,70.2,Home,RHODE-ISLAND,Rhode Island,St. Bonaventure,atlantic-10,16,False,False,False,Away,False,5,16,54,26,54,5,20,46,0,1,98,296,894,0.4955257270693512,495,989,0.5005055611729019,124,244,883,0.4869762174405436,0.375
17,2019-01-19-16-st-bonaventure,53.3,16,6.0,3,108.9,65.1,28,0.593,59,0.508,30,0.475,28,0.679,19,6,250,112.7,16.0,4,18,89,,7.6,6,0.424,25,0.4,10,47.1,32,0.615,14.4,12,34,0.588,20,0.667,12,"January 19, 2019",48.4,15,17.6,6,112.7,84.0,21,0.467,76,0.408,31,0.25,19,0.789,15,12,250,108.9,34.9,15,19,86,,5.1,4,0.342,26,0.34600000000000003,9,52.9,36,0.506,7.7,7,50,0.44,22,0.33299999999999996,6,"Reilly Center, St. Bonaventure, New York",ST-BONAVENTURE,St. Bonaventure,62.9,Away,DAYTON,Dayton,St. Bonaventure,atlantic-10,17,False,True,True,Home,False,9,22,76,36,68,10,20,59,0,1,103,312,948,0.4920886075949367,521,1043,0.49952061361457334,129,264,929,0.492465016146394,0.35294117647058826
18,2019-01-23-19-massachusetts,65.2,15,19.0,4,82.3,72.7,24,0.51,52,0.442,23,0.25,13,0.9229999999999999,12,12,200,104.8,30.0,6,11,65,,9.7,6,0.34600000000000003,18,0.389,7,56.6,30,0.5589999999999999,17.2,12,34,0.47100000000000003,16,0.368,7,"January 23, 2019",63.2,12,2.9,1,104.8,70.0,14,0.444,54,0.35200000000000004,19,0.09300000000000001,5,0.6,3,12,200,82.3,27.3,9,14,51,,11.3,7,0.611,33,0.303,10,43.4,23,0.452,17.6,12,21,0.429,9,0.368,7,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,61.8,Away,ST-BONAVENTURE,St. Bonaventure,St. Bonaventure,atlantic-10,18,False,False,False,Away,True,7,16,52,30,53,10,9,54,1,0,112,334,1024,0.490234375,557,1111,0.5013501350135013,139,284,988,0.4984817813765182,0.3333333333333333
19,2019-01-26-18-richmond,37.5,9,14.3,4,95.0,93.3,28,0.456,57,0.42100000000000004,24,0.281,16,0.875,14,12,200,110.0,30.3,10,15,66,,6.7,4,0.21100000000000002,12,0.33299999999999996,4,60.3,38,0.511,8.6,6,45,0.444,20,0.4,8,"January 26, 2019",45.0,9,6.7,3,110.0,69.7,23,0.45799999999999996,48,0.41700000000000004,20,0.43799999999999994,21,0.619,13,13,200,95.0,6.7,2,12,57,,6.7,4,0.41700000000000004,20,0.2,4,39.7,25,0.49200000000000005,6.5,4,28,0.5710000000000001,16,0.35,7,"Robins Center, Richmond, Virginia",RICHMOND,Richmond,60.3,Away,ST-BONAVENTURE,St. Bonaventure,St. Bonaventure,atlantic-10,19,False,False,False,Away,True,4,20,57,38,63,4,16,48,1,0,119,350,1076,0.49117100371747213,587,1164,0.5042955326460481,149,293,1042,0.4956813819577735,0.3684210526315789
20,2019-02-01-19-st-bonaventure,60.9,14,0.0,0,106.5,75.0,24,0.612,49,0.469,23,0.38799999999999996,19,0.789,15,5,200,121.0,19.2,5,11,75,,6.5,4,0.612,30,0.467,14,50.0,29,0.6459999999999999,14.8,10,19,0.474,9,0.762,16,"February 1, 2019",48.0,12,21.1,4,121.0,80.8,21,0.491,57,0.439,25,0.24600000000000002,14,0.7140000000000001,10,13,200,106.5,25.0,8,16,66,,12.9,8,0.386,22,0.273,6,50.0,29,0.518,8.7,6,35,0.5429999999999999,19,0.381,8,"Reilly Center, St. Bonaventure, New York",ST-BONAVENTURE,St. Bonaventure,62.3,Away,DAVIDSON,Davidson,St. Bonaventure,atlantic-10,20,False,True,True,Home,False,6,19,57,29,58,14,9,49,0,1,123,370,1133,0.4894086496028244,625,1227,0.5093724531377343,153,309,1090,0.49403669724770644,0.4
21,2019-02-06-19-duquesne,50.0,10,30.3,10,68.1,81.1,30,0.3,70,0.28600000000000003,20,0.2,14,0.643,9,13,200,70.8,34.6,18,18,51,,4.2,3,0.243,17,0.11800000000000001,2,53.9,48,0.33299999999999996,15.5,14,53,0.34,18,0.409,9,"February 6, 2019",42.1,8,15.1,8,70.8,65.4,34,0.391,55,0.345,19,0.29100000000000004,16,0.375,6,8,200,68.1,18.9,7,16,49,,5.6,4,0.4,22,0.22699999999999998,5,46.1,41,0.391,19.5,15,33,0.424,14,0.652,15,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",DUQUESNE,Duquesne,71.6,Away,ST-BONAVENTURE,St. Bonaventure,St. Bonaventure,atlantic-10,21,False,False,False,Away,True,2,18,70,48,89,5,14,55,1,0,129,389,1190,0.4894957983193277,654,1285,0.5089494163424124,167,318,1139,0.4991220368744513,0.38095238095238093
22,2019-02-09-14-st-bonaventure,41.9,13,13.0,6,72.4,71.4,35,0.557,61,0.508,31,0.377,23,0.7390000000000001,17,6,200,111.8,38.7,12,22,85,,11.8,9,0.361,22,0.273,6,58.8,47,0.591,18.4,16,39,0.6409999999999999,25,0.7390000000000001,17,"February 9, 2019",29.4,5,7.7,3,111.8,61.3,19,0.273,64,0.266,17,0.42200000000000004,27,0.741,20,14,200,72.4,28.6,14,19,55,,7.9,6,0.281,18,0.055999999999999994,1,41.3,33,0.358,14.6,13,46,0.348,16,0.391,9,"Reilly Center, St. Bonaventure, New York",ST-BONAVENTURE,St. Bonaventure,75.9,Away,VIRGINIA-COMMONWEALTH,VCU,St. Bonaventure,atlantic-10,22,False,True,True,Home,False,1,16,64,33,80,6,25,61,0,1,131,407,1260,0.478968253968254,702,1374,0.5109170305676856,172,332,1194,0.49413735343383586,0.4090909090909091
23,2019-02-12-18-saint-josephs,62.1,18,7.4,2,75.0,94.3,33,0.579,57,0.509,29,0.21100000000000002,12,0.833,10,14,200,111.8,14.3,4,15,76,,7.4,5,0.33299999999999996,19,0.42100000000000004,8,58.7,37,0.606,11.4,8,38,0.5529999999999999,21,0.41700000000000004,10,"February 12, 2019",50.0,8,7.9,3,111.8,85.7,24,0.382,55,0.29100000000000004,16,0.327,18,0.5,9,14,200,75.0,5.7,2,12,51,,5.9,4,0.509,28,0.35700000000000004,10,41.3,26,0.401,10.0,7,27,0.222,6,0.44,11,"Hagan Arena, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,67.6,Away,ST-BONAVENTURE,St. Bonaventure,St. Bonaventure,atlantic-10,23,False,False,False,Away,True,8,21,57,37,63,10,6,55,1,0,132,423,1324,0.4690332326283988,735,1454,0.5055020632737276,178,357,1255,0.49721115537848604,0.391304347826087
24,2019-02-17-14-st-bonaventure,40.0,8,2.8,1,121.5,83.3,20,0.462,52,0.385,20,0.26899999999999996,14,0.5710000000000001,8,11,200,86.2,16.1,5,15,56,,4.6,3,0.48100000000000004,25,0.32,8,45.5,25,0.47700000000000004,18.3,13,27,0.444,12,0.5770000000000001,15,"February 17, 2019",58.1,18,25.9,7,86.2,83.9,26,0.664,55,0.564,31,0.182,10,0.6,6,14,200,121.5,16.7,4,13,79,,10.8,7,0.345,19,0.579,11,54.5,30,0.6609999999999999,11.9,8,36,0.556,20,0.44,11,"Reilly Center, St. Bonaventure, New York",GEORGE-MASON,George Mason,65.2,Home,ST-BONAVENTURE,St. Bonaventure,St. Bonaventure,atlantic-10,24,True,False,True,Home,True,11,20,55,30,55,8,12,52,1,0,140,444,1381,0.47356987690079655,772,1517,0.5088991430454846,188,363,1310,0.49236641221374045,0.4166666666666667
25,2019-02-20-19-st-bonaventure,52.2,12,0.0,0,93.9,63.0,17,0.45899999999999996,61,0.377,23,0.066,4,1.0,4,17,200,90.9,31.3,10,16,60,,18.2,12,0.45899999999999996,28,0.35700000000000004,10,45.8,27,0.47700000000000004,18.2,14,33,0.39399999999999996,13,0.32,8,"February 20, 2019",50.0,12,18.2,6,90.9,68.8,22,0.5,51,0.47100000000000003,24,0.33299999999999996,17,0.647,11,14,200,93.9,37.0,10,9,62,,12.1,8,0.294,15,0.2,3,54.2,32,0.525,22.5,17,36,0.583,21,0.462,12,"Reilly Center, St. Bonaventure, New York",LA-SALLE,La Salle,66.5,Home,ST-BONAVENTURE,St. Bonaventure,St. Bonaventure,atlantic-10,25,True,False,True,Home,True,3,21,51,32,59,10,13,61,1,0,151,464,1436,0.48084958217270196,802,1572,0.510178117048346,196,375,1362,0.4911894273127753,0.44
