,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,AUBURN_homegame,AUBURN_homegame2,AUBURN_home,AUBURN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
11,2018-12-22-16-auburn,62.1,18,6.5,2,125.7,62.5,20,0.595,58,0.5,29,0.414,24,0.792,19,2,200,118.9,45.2,14,18,88,,12.2,9,0.431,25,0.44,11,54.0,34,0.634,19.9,17,33,0.545,18,0.8,8,"December 22, 2018",55.9,19,15.2,5,118.9,54.8,17,0.633,64,0.531,34,0.313,20,0.6,12,2,200,125.7,37.5,12,19,93,7.0,13.5,10,0.516,33,0.39399999999999996,13,46.0,29,0.633,16.1,14,31,0.677,21,0.833,10,"Auburn Arena, Auburn, Alabama",MURRAY-STATE,Murray State,74.0,Home,AUBURN,Auburn,Auburn,sec,11,True,False,True,Home,True,13,21,64,29,63,11,18,58,1,0,114,214,720,0.5347222222222222,408,744,0.5483870967741935,91,148,588,0.483843537414966,0.8181818181818182
12,2018-12-29-17-auburn,55.6,10,10.9,5,117.3,52.8,19,0.42,50,0.36,18,0.18,9,0.778,7,9,200,60.5,28.0,7,20,49,,3.7,3,0.52,26,0.231,6,42.6,26,0.451,37.9,33,24,0.5,12,0.35700000000000004,5,"December 29, 2018",67.6,23,29.2,7,60.5,72.0,18,0.535,72,0.47200000000000003,34,0.375,27,0.667,18,2,200,117.3,47.2,17,16,95,12.0,24.7,20,0.361,26,0.34600000000000003,9,57.4,35,0.56,13.4,13,46,0.5429999999999999,25,0.846,11,"Auburn Arena, Auburn, Alabama",NORTH-FLORIDA,North Florida,80.6,Home,AUBURN,Auburn,Auburn,sec,12,True,False,True,Home,True,9,25,72,35,61,6,12,50,1,0,127,235,784,0.5427295918367347,437,807,0.5415117719950434,102,166,646,0.4938080495356037,0.8333333333333334
13,2019-01-09-19-mississippi,50.0,11,17.6,6,103.8,72.4,21,0.433,67,0.32799999999999996,22,0.254,17,0.529,9,3,200,84.8,27.5,11,23,67,11.0,7.6,6,0.5820000000000001,39,0.359,14,46.4,32,0.446,16.8,15,28,0.28600000000000003,8,0.7859999999999999,11,"January 9, 2019",54.2,13,7.1,2,84.8,72.5,29,0.519,53,0.45299999999999996,24,0.698,37,0.73,27,2,200,103.8,27.6,8,15,82,,13.9,11,0.358,19,0.368,7,53.6,37,0.581,19.7,17,34,0.5,17,0.857,12,"The Pavilion at Ole Miss, Oxford, Mississippi",AUBURN,Auburn,79.3,Home,MISSISSIPPI,Ole Miss,Auburn,sec,13,False,False,False,Away,False,14,8,67,32,69,7,17,53,0,1,136,260,856,0.5420560747663551,472,868,0.543778801843318,108,178,696,0.4885057471264368,0.8461538461538461
14,2019-01-12-16-auburn,65.4,17,18.6,8,120.8,64.5,20,0.5429999999999999,58,0.44799999999999995,26,0.345,20,0.75,15,6,200,101.3,25.9,7,18,78,,10.4,8,0.5,29,0.379,11,46.6,27,0.578,19.3,16,29,0.517,15,0.6,9,"January 12, 2019",47.1,16,13.8,4,101.3,74.1,20,0.588,68,0.5,34,0.25,17,0.765,13,3,200,120.8,35.5,11,20,93,11.0,11.7,9,0.368,25,0.48,12,53.4,31,0.611,13.7,12,43,0.512,22,0.8,12,"Auburn Arena, Auburn, Alabama",GEORGIA,Georgia,76.8,Home,AUBURN,Auburn,Auburn,sec,14,True,False,True,Home,True,12,22,68,31,58,11,15,58,1,0,150,268,923,0.5341278439869989,504,937,0.5378868729989328,115,195,749,0.49065420560747663,0.7857142857142857
15,2019-01-16-19-texas-am,50.0,16,26.9,7,90.4,82.9,29,0.507,76,0.42100000000000004,32,0.132,10,0.8,8,3,200,116.4,45.2,19,21,85,14.0,13.7,10,0.447,34,0.382,13,62.3,48,0.526,11.1,10,42,0.452,19,0.812,13,"January 16, 2019",36.8,7,11.9,5,116.4,54.8,23,0.45,50,0.38,19,0.6,30,0.7,21,8,200,90.4,17.1,6,16,66,,6.8,5,0.48,24,0.292,7,37.7,29,0.514,19.2,15,26,0.462,12,0.467,7,"Reed Arena, College Station, Texas",TEXAS-AM,Texas A&M,72.5,Away,AUBURN,Auburn,Auburn,sec,15,False,False,False,Away,True,13,19,76,48,77,7,12,50,1,0,162,290,991,0.5378405650857719,535,995,0.5376884422110553,126,210,807,0.4944237918215613,0.8
16,2019-01-19-16-auburn,53.8,14,7.7,2,115.9,77.4,24,0.604,48,0.542,26,0.688,33,0.727,24,3,200,118.8,32.0,8,20,82,12.0,10.1,7,0.313,15,0.4,6,57.1,32,0.644,17.2,13,33,0.606,20,0.8240000000000001,14,"January 19, 2019",65.4,17,12.1,4,118.8,68.0,17,0.58,56,0.46399999999999997,26,0.35700000000000004,20,0.75,15,4,200,115.9,22.6,7,25,80,14.0,7.2,5,0.536,30,0.433,13,42.9,24,0.611,14.5,11,26,0.5,13,0.765,13,"Auburn Arena, Auburn, Alabama",AUBURN,Auburn,69.1,Away,KENTUCKY,Kentucky,Auburn,sec,16,False,True,True,Home,False,13,13,56,24,56,6,20,48,0,1,175,309,1067,0.5356138706654171,583,1072,0.5438432835820896,133,222,857,0.4918319719953326,0.8125
17,2019-01-22-18-south-carolina,36.0,9,8.7,4,106.7,63.6,21,0.467,61,0.41,25,0.426,26,0.769,20,5,200,102.7,29.0,9,22,77,16.0,9.3,7,0.41,25,0.28,7,46.9,30,0.525,14.2,12,36,0.5,18,0.722,13,"January 22, 2019",53.3,16,22.2,8,102.7,71.0,22,0.516,64,0.469,30,0.344,22,0.636,14,8,200,106.7,36.4,12,21,80,,5.3,4,0.281,18,0.33299999999999996,6,53.1,34,0.537,13.0,11,46,0.522,24,0.556,10,"The Colonial Life Arena, Columbia, South Carolina",AUBURN,Auburn,74.9,Home,SOUTH-CAROLINA,South Carolina,Auburn,sec,17,False,False,False,Away,False,7,18,61,30,64,6,24,64,0,1,188,322,1123,0.5378450578806767,607,1128,0.5381205673758865,139,242,905,0.4977900552486188,0.7647058823529411
18,2019-01-26-20-mississippi-state,46.2,12,12.0,3,124.3,65.5,19,0.643,49,0.531,26,0.469,23,0.9129999999999999,21,6,200,113.5,25.0,6,19,84,16.0,9.5,7,0.429,21,0.524,11,47.2,25,0.701,24.3,19,28,0.536,15,0.684,13,"January 26, 2019",71.4,20,17.9,5,113.5,75.0,18,0.627,55,0.509,28,0.618,34,0.6759999999999999,23,4,200,124.3,34.5,10,21,92,22.0,14.9,11,0.545,30,0.433,13,52.8,28,0.647,15.7,13,25,0.6,15,0.789,15,"Humphrey Coliseum, Starkville, Mississippi",AUBURN,Auburn,73.5,Home,MISSISSIPPI-STATE,Mississippi State,Auburn,sec,18,False,False,False,Away,False,11,15,49,25,53,13,15,55,0,1,195,340,1184,0.534206081081081,637,1192,0.5343959731543624,145,266,969,0.49896800825593396,0.7222222222222222
19,2019-01-30-20-auburn,33.3,7,10.7,3,122.7,72.2,26,0.43799999999999994,56,0.375,21,0.268,15,0.6,9,9,200,77.3,24.3,9,20,58,,6.7,5,0.429,24,0.292,7,47.9,35,0.45899999999999996,24.2,20,32,0.43799999999999994,14,0.526,10,"January 30, 2019",60.6,20,15.6,5,77.3,75.7,28,0.594,69,0.478,33,0.23199999999999998,16,0.625,10,6,200,122.7,27.8,10,20,92,,6.7,5,0.594,41,0.39,16,52.1,38,0.601,10.6,9,28,0.607,17,0.7,14,"Auburn Arena, Auburn, Alabama",MISSOURI,Missouri,74.9,Home,AUBURN,Auburn,Auburn,sec,19,True,False,True,Home,True,16,17,69,38,73,7,14,56,1,0,206,355,1233,0.5385239253852393,662,1245,0.5317269076305221,158,281,1024,0.505859375,0.6842105263157895
20,2019-02-02-20-auburn,57.1,12,8.3,3,121.7,70.4,19,0.532,47,0.447,21,0.38299999999999995,18,0.722,13,8,200,91.3,25.9,7,16,63,,5.8,4,0.40399999999999997,19,0.42100000000000004,8,48.1,26,0.5670000000000001,27.7,21,28,0.46399999999999997,13,0.619,13,"February 2, 2019",50.0,15,10.7,3,91.3,74.1,20,0.629,58,0.517,30,0.24100000000000002,14,0.7859999999999999,11,6,200,121.7,29.6,8,18,84,,18.8,13,0.379,22,0.591,13,51.9,28,0.65,15.8,12,36,0.47200000000000003,17,0.7140000000000001,15,"Auburn Arena, Auburn, Alabama",ALABAMA,Alabama,69.1,Home,AUBURN,Auburn,Auburn,sec,20,True,False,True,Home,True,13,17,58,28,54,8,13,47,1,0,222,372,1302,0.5414746543778802,700,1318,0.5311077389984825,165,295,1080,0.5023148148148148,0.7
21,2019-02-05-21-auburn,39.1,9,7.4,2,115.2,66.7,20,0.5,50,0.46,23,0.24,12,1.0,12,10,200,93.9,21.7,5,22,62,,4.5,3,0.4,20,0.2,4,47.2,25,0.557,23.5,17,30,0.633,19,0.545,12,"February 5, 2019",56.0,14,6.7,2,93.9,78.3,18,0.5670000000000001,52,0.48100000000000004,25,0.519,27,0.63,17,6,200,115.2,33.3,10,16,76,,12.1,8,0.48100000000000004,25,0.36,9,52.8,28,0.586,13.5,10,27,0.593,16,0.727,16,"Auburn Arena, Auburn, Alabama",FLORIDA,Florida,66.3,Home,AUBURN,Auburn,Auburn,sec,21,True,False,True,Home,True,9,16,52,28,53,4,19,50,1,0,235,389,1360,0.5452205882352941,728,1372,0.5306122448979592,173,308,1127,0.5035492457852706,0.7142857142857143
22,2019-02-09-14-louisiana-state,48.1,13,8.9,4,110.7,56.5,26,0.625,56,0.48200000000000004,27,0.23199999999999998,13,0.615,8,7,200,104.0,22.6,7,23,78,,9.3,7,0.679,38,0.42100000000000004,16,42.9,33,0.627,23.5,19,18,0.611,11,0.696,16,"February 9, 2019",53.6,15,5.6,1,104.0,77.4,24,0.445,73,0.384,28,0.35600000000000004,26,0.6920000000000001,18,4,200,110.7,43.5,20,13,83,21.0,16.0,12,0.384,28,0.321,9,57.1,44,0.486,10.6,10,45,0.42200000000000004,19,0.826,19,"Maravich Assembly Center, Baton Rouge, Louisiana",AUBURN,Auburn,74.8,Home,LOUISIANA-STATE,LSU,Auburn,sec,22,False,False,False,Away,False,16,11,56,33,77,9,19,73,0,1,244,405,1412,0.5460339943342776,756,1425,0.5305263157894737,177,327,1177,0.5033984706881903,0.7272727272727273
23,2019-02-13-20-auburn,63.2,12,6.9,2,87.3,69.7,23,0.5,51,0.373,19,0.255,13,0.6920000000000001,9,7,200,95.2,26.7,8,20,60,,12.7,8,0.647,33,0.39399999999999996,13,49.2,31,0.525,18.6,13,18,0.33299999999999996,6,0.708,17,"February 13, 2019",43.8,7,22.2,4,95.2,73.3,22,0.37799999999999995,49,0.327,16,0.469,23,0.7829999999999999,18,8,200,87.3,30.3,10,16,55,,9.5,6,0.408,20,0.25,5,50.8,32,0.45899999999999996,19.1,14,29,0.379,11,0.667,16,"Auburn Arena, Auburn, Alabama",AUBURN,Auburn,63.1,Away,MISSISSIPPI,Ole Miss,Auburn,sec,23,False,True,True,Home,False,5,11,49,32,63,13,6,51,0,1,260,416,1468,0.5490463215258855,789,1502,0.5252996005326231,186,346,1250,0.5,0.6956521739130435
24,2019-02-16-12-vanderbilt,52.9,9,16.0,4,84.1,60.0,18,0.439,49,0.34700000000000003,17,0.5920000000000001,29,0.7240000000000001,21,8,200,101.6,17.1,6,18,64,,15.9,10,0.51,25,0.36,9,36.9,24,0.51,10.2,7,24,0.33299999999999996,8,0.68,17,"February 16, 2019",50.0,8,16.7,4,101.6,82.9,29,0.385,48,0.33299999999999996,16,0.43799999999999994,21,0.762,16,16,200,84.1,40.0,12,20,53,,1.6,1,0.479,23,0.217,5,63.1,41,0.457,21.8,16,25,0.44,11,0.36,9,"Memorial Gymnasium, Nashville, Tennessee",VANDERBILT,Vanderbilt,62.9,Away,AUBURN,Auburn,Auburn,sec,24,False,False,False,Away,True,9,8,49,24,65,5,11,48,1,0,265,427,1517,0.543506921555702,821,1565,0.5246006389776358,199,352,1301,0.5,0.6666666666666666
25,2019-02-20-20-auburn,47.4,9,14.3,3,106.8,71.4,20,0.36200000000000004,58,0.32799999999999996,19,0.414,24,0.583,14,12,200,75.7,25.6,10,13,56,,13.5,10,0.44799999999999995,26,0.154,4,44.8,30,0.40299999999999997,17.0,14,32,0.469,15,0.5379999999999999,14,"February 20, 2019",61.5,16,18.8,6,75.7,74.4,29,0.639,54,0.48100000000000004,26,0.37,20,0.5,10,8,200,106.8,28.6,8,24,79,,14.9,11,0.611,33,0.515,17,55.2,37,0.622,24.2,20,21,0.429,9,0.6920000000000001,18,"Auburn Arena, Auburn, Alabama",ARKANSAS,Arkansas,74.5,Home,AUBURN,Auburn,Auburn,sec,25,True,False,True,Home,True,17,9,54,37,67,4,15,58,1,0,274,435,1566,0.5402298850574713,845,1630,0.5184049079754601,204,363,1349,0.49592290585618976,0.68
26,2019-02-23-13-kentucky,42.1,8,3.2,1,123.1,66.7,16,0.397,58,0.32799999999999996,19,0.19,11,0.636,7,9,200,81.5,12.8,5,12,53,,9.2,6,0.466,27,0.29600000000000004,8,33.3,21,0.419,12.5,9,31,0.355,11,0.667,18,"February 23, 2019",50.0,15,22.6,7,81.5,87.2,34,0.645,55,0.545,30,0.218,12,0.75,9,4,200,123.1,33.3,8,10,80,4.0,7.7,5,0.436,24,0.45799999999999996,11,66.7,42,0.659,14.2,10,31,0.613,19,0.852,23,"Rupp Arena, Lexington, Kentucky",AUBURN,Auburn,65.0,Home,KENTUCKY,Kentucky,Auburn,sec,26,False,False,False,Away,False,8,11,58,21,63,11,19,55,0,1,291,444,1620,0.5435185185185185,882,1697,0.5197407189157337,208,378,1407,0.4904051172707889,0.6923076923076923
27,2019-02-27-21-georgia,44.8,13,10.0,3,119.0,57.1,12,0.539,64,0.45299999999999996,29,0.172,11,0.818,9,9,200,123.8,35.5,11,16,78,,12.7,8,0.484,31,0.355,11,44.2,23,0.563,9.2,7,33,0.545,18,0.679,19,"February 27, 2019",51.9,14,15.2,5,123.8,64.5,20,0.618,51,0.529,27,0.314,16,0.75,12,18,200,119.0,42.9,9,10,75,,9.5,6,0.41200000000000003,21,0.429,9,55.8,29,0.64,17.1,12,30,0.6,18,0.35700000000000004,10,"Stegeman Coliseum, Athens, Georgia",GEORGIA,Georgia,63.4,Away,AUBURN,Auburn,Auburn,sec,27,False,False,False,Away,True,11,18,64,23,52,9,18,51,1,0,299,455,1678,0.5384386174016687,903,1760,0.5130681818181818,219,397,1462,0.49623803009575923,0.6666666666666666
